metrist |A maker of verses. Bale. Spenser was no mere metrist, but a great composer. Lowell.
mexican |Of or pertaining to Mexico or its people. -- n.  A native or inhabitant of Mexico. Mexican poppy (Bot.), a tropical American herb of the Poppy family (Argemone Mexicana) with much the look of a thistle, but having large yellow or white blossoms. -- Mexican tea (Bot.), an aromatic kind of pigweed from tropical America (Chenopodium ambrosioides).
mexicanize |To cause to be like the Mexicans, or their country, esp. in respect of frequent revolutions of government.\n\nTo become like the Mexicans, or their country or government.
meyne |Same as Meine.
mezcal |Same as Mescal.
mezereon |A small European shrub (Daphne Mezereum), whose acrid bark is used in medicine.
mezquita |A mosque.
mezuzoth |A piece of parchment bearing the Decalogue and attached to the doorpost; -- in use among orthodox Hebrews.
mezza majolica |Italian pottery of the epoch and general character of majolica, but less brilliantly decorated, esp. such pottery without tin enamel, but painted and glazed.
mezza voce |With a medium fullness of sound.
mezzanine |(a) Same as Entresol. (b) A partial story which is not on the same level with the story of the main part of the edifice, as of a back building, where the floors are on a level with landings of the staircase of the main house.
mezzo |Mean; not extreme.
mezzo-relievo |Mezzo-rilievo.
mezzo-rilievo |(a) A middle degree of relief in figures, between high and low relief. (b) Sculpture in this kind of relief. See under Alto-rilievo.
mezzo-soprano |Having a medium compass between the soprano and contralto; -- said of the voice of a female singer. -- n. (a) A mezzo-soprano voice. (b) A person having such a voice.
mezzotint |A manner of engraving on copper or steel by drawing upon a surface previously roughened, and then removing the roughness in places by scraping, burnishing, etc., so as to produce the requisite light and shade. Also, an engraving so produced.\n\nTo engrave in mezzotint.
mezzotinter |One who engraves in mezzotint.
mezzotinto |Mezzotint.\n\nTo engrave in mezzotint; to represent by mezzotint.
mho |A unit of conductivity, being the reciprocal of the ohm.
mhometer |An instrument for measuring conductivity.
mhorr |See Mohr.
mi |A syllable applied to the third tone of the scale of C, i. e., to E, in European solmization, but to the third tone of any scale in the American system.
miamis |A tribe of Indians that formerly occupied the country between the Wabash and Maumee rivers.
miargyrite |A mineral of an iron-black color, and very sectile, consisting principally of sulphur, antimony, and silver.
mias |The orang-outang.
miascite |A granitoid rock containing feldspar, biotite, elæolite, and sodalite.
miasm |Miasma.
miasma |Infectious particles or germs floating in the air; air made noxious by the presence of such particles or germs; noxious effluvia; malaria.
miasmal |Containing miasma; miasmatic.
miasmatic |Containing, or relating to, miasma; caused by miasma; as, miasmatic diseases.
miasmatical |Containing, or relating to, miasma; caused by miasma; as, miasmatic diseases.
miasmatist |One who has made a special study of miasma.
miasmology |That department of medical science which treats of miasma.
miaul |To cry as a cat; to mew; to caterwaul. Sir W. Scott.\n\nThe crying of a cat.
mica |The name of a group of minerals characterized by highly perfect cleavage, so that they readily separate into very thin leaves, more or less elastic. They differ widely in composition, and vary in color from pale brown or yellow to green or black. The transparent forms are used in lanterns, the doors of stoves, etc., being popularly called isinglass. Formerly called also cat-silver, and glimmer. Note: The important species of the mica group are: muscovite, common or potash mica, pale brown or green, often silvery, including damourite (also called hydromica); biotite, iron-magnesia mica, dark brown, green, or black; lepidomelane, iron, mica, black; phlogopite, magnesia mica, colorless, yellow, brown; lepidolite, lithia mica, rose-red, lilac. Mica (usually muscovite, also biotite) is an essential constituent of granite, gneiss, and mica slate; biotite is common in many eruptive rocks; phlogopite in crystalline limestone and serpentine. Mica diorite (Min.), an eruptive rock allied to diorite but containing mica (biotite) instead of hornblende. -- Mica powder, a kind of dynamite containing fine scales of mica. -- Mica schist, Mica slate (Geol.), a schistose rock, consisting of mica and quartz with, usually, some feldspar.
micaceo-calcareous |Partaking of the nature of, or consisting of, mica and lime; -- applied to a mica schist containing carbonate of lime.
micaceous |Pertaining to, or containing, mica; splitting into laminæ or leaves like mica.
mice |pl of Mouse.
micella |A theoretical aggregation of molecules constituting a structural particle of protoplasm, capable of increase or diminution without change in chemical nature.
mich |To lie hid; to skulk; to act, or carry one's self, sneakingly. [Obs. or Colloq.] [Written also meach and meech.] Spenser.
michaelmas |The feat of the archangel Michael, a church festival, celebrated on the 29th of September. Hence, colloquially, autumn. Michaelmas daisy. (Bot.) See under Daisy.
miche |To lie hid; to skulk; to act, or carry one's self, sneakingly. [Obs. or Colloq.] [Written also meach and meech.] Spenser.
micher |One who skulks, or keeps out of sight; hence, a truant; an idler; a thief, etc. [Obs.] Shak.
michery |Theft; cheating. [Obs.] Gower.
miching |Hiding; skulking; cowardly. [Colloq.] [Written also meaching and meeching.]
mickle |Much; great. [Written also muckle and mockle.] [Old Eng. & Scot.] \"A man of mickle might.\" Spenser.
micmacs |A tribe of Indians inhabiting Nova Scotia and New Brunswick. [Written also Mikmaks.]
mico |A small South American monkey (Mico melanurus), allied to the marmoset. The name was originally applied to an albino variety.
micr- |A combining form signifying: (a) Small, little, trivial, slight; as, microcosm, microscope. (b) (Metric System, Elec., Mech., etc.) A millionth part of; as, microfarad, microohm, micrometer.
micracoustic |Same as Microustic.
micraster |A genus of sea urchins, similar to Spatangus, abounding in the chalk formation; -- from the starlike disposal of the ambulacral furrows.
micrencephalous |Having a small brain.
micro- |A combining form signifying: (a) Small, little, trivial, slight; as, microcosm, microscope. (b) (Metric System, Elec., Mech., etc.) A millionth part of; as, microfarad, microohm, micrometer.
micro-chemical |Of or pertaining to micro-chemistry; as, a micro-chemical test.
micro-chemistry |The application of chemical tests to minute objects or portions of matter, magnified by the use of the microscopy; -- distinguished from macro-chemistry.
micro-geological |Of or pertaining to micro-geology.
micro-geology |The part of geology relating to structure and organisms which require to be studied with a microscope.
micro-organism |Any microscopic form of life; -- particularly applied to bacteria and similar organisms, esp. such are supposed to cause infectious diseases.
microampere |One of the smaller measures of electrical currents; the millionth part of one ampère.
microanalysis |Analysis of the structure of materials from careful observation of photomicrographs.
microbacteria |In the classification of Cohn, one of the four tribes of Bacteria. Note: In this classification bacteria are divided into four tribes: 1. Spherobacteria, or spherical bacteria, as the genus Micrococcus. 2. Microbacteria, or bacteria in the form of short rods, including the genus Bacterium. 3. Desmobacteria, or bacteria in straight filaments, of which the genus Bacillus is a type. 4. Spirobacteria, or bacteria in spiral filaments, as the genus Vibrio.
microbarograph |An instrument for recording minor fluctuations of atmospheric pressure, as opposed to general barometric surges.
microbe |A microscopic organism; -- particularly applied to bacteria and especially to pathogenic forms; as, the microbe of fowl cholera.
microbian |Of, pertaining to, or caused by, microbes; as, the microbian theory; a microbian disease.
microbic |Of or pertaining to a microbe.
microbicide |Any agent detrimental to, or destructive of, the life of microbes or bacterial organisms.
microbiology |The study of minute organisms, or microbes, as the bacteria. -- Mi`cro*bi`o*log\"ic*al (#), a. -- Mi`cro*bi*ol\"o*gist (#), n.
microbion |A microscopic organism; -- particularly applied to bacteria and especially to pathogenic forms; as, the microbe of fowl cholera.
microcephalic |Having a small head; having the cranial cavity small; -- opposed to Ant: megacephalic.
microcephalous |Having a small head; having the cranial cavity small; -- opposed to Ant: megacephalic.
microchronometer |A chronoscope.
microcline |A mineral of the feldspar group, like orthoclase or common feldspar in composition, but triclinic in form.
micrococcal |Of or pertaining to micrococci; caused by micrococci. Nature.
micrococcus |A genus of Spherobacteria, in the form of very small globular or oval cells, forming, by transverse division, filaments, or chains of cells, or in some cases single organisms shaped like dumb-bells (Diplococcus), all without the power of motion. See Illust. of Ascoccus. Note: Physiologically, micrococci are divided into three groups; chromogenic, characterized by their power of forming pigment; zymogenic, including those associated with definite chemical processes; and pathogenic, those connected with disease.
microcosm |A little world; a miniature universe. Hence (so called by Paracelsus), a man, as a supposed epitome of the exterior universe or great world. Opposed to macrocosm. Shak.
microcosmic |Of or pertaining to the microcosm. Microcosmic salt (Chem.), a white crystalline substance obtained by mixing solutions of sodium phosphate and ammonium phosphate, and also called hydric-sodic- ammonic-phosphate. It is a powerful flux, and is used as a substitute for borax as a blowpipe reagent in testing for the metallic oxides. Originally obtained by the alchemists from human urine, and called sal microcosmicum.
microcosmical |Of or pertaining to the microcosm. Microcosmic salt (Chem.), a white crystalline substance obtained by mixing solutions of sodium phosphate and ammonium phosphate, and also called hydric-sodic- ammonic-phosphate. It is a powerful flux, and is used as a substitute for borax as a blowpipe reagent in testing for the metallic oxides. Originally obtained by the alchemists from human urine, and called sal microcosmicum.
microcosmography |Description of man as a microcosm.
microcoulomb |A measure of electrical quantity; the millionth part of one coulomb.
microcoustic |Pertaining, or suited, to the audition of small sounds; fitted to assist hearing.\n\nAn instrument for making faint sounds audible, as to a partially deaf person.
microcrith |The weight of the half hydrogen molecule, or of the hydrogen atom, taken as the standard in comparing the atomic weights of the elements; thus, an atom of oxygen weighs sixteen microcriths. See Crith. J. P. Cooke.
microcrystalline |Crystalline on a fine, or microscopic, scale; consisting of fine crystals; as, the ground mass of certain porphyrics is microcrystalline.
microcyte |One of the elementary granules found in blood. They are much smaller than an ordinary corpuscle, and are particularly noticeable in disease, as in anæmia.
microdont |Having small teeth.
microfarad |The millionth part of a farad.
microform |A microscopic form of life; an animal or vegetable organism microscopic size.
micrograph |An instrument for executing minute writing or engraving.
micrographic |Of or pertaining to micrography.
micrography |The description of microscopic objects.
microhm |The millionth part of an ohm.
microlepidoptera |A tribe of Lepidoptera, including a vast number of minute species, as the plume moth, clothes moth, etc.
microlestes |An extinct genus of small Triassic mammals, the oldest yet found in European strata.
microlite |1. A rare mineral of resinous luster and high specific gravity. It is a tantalate of calcium, and occurs in octahedral crystals usually very minute. 2. (Min.)  A minute inclosed crystal, often observed when minerals or rocks are examined in thin sections under the microscope.
microlith |Same as Microlite, 2.
microlithic |Formed of small stones.
micrologic |Of or pertaining to micrology; very minute; as, micrologic examination. -- Mi`cro*log\"ic*al*ly, adv.
micrological |Of or pertaining to micrology; very minute; as, micrologic examination. -- Mi`cro*log\"ic*al*ly, adv.
micrology |1. That part of science which treats of microscopic objects, or depends on microscopic observation. 2. Attention to petty items or differences. W. Taylor.
micromere |One of the smaller cells, or blastomeres, resulting from the complete segmentation of a telolecithal ovum.
micrometer |An instrument, used with a telescope or microscope, for measuring minute distances, or the apparent diameters of objects which subtend minute angles. The measurement given directly is that of the image of the object formed at the focus of the object glass. Circular, or Ring, micrometer, a metallic ring fixed in the focus of the object glass of a telescope, and used to determine differences of right ascension and declination between stars by observations of the times at which the stars cross the inner or outer periphery of the ring. -- Double image micrometer, a micrometer in which two images of an object are formed in the field, usually by the two halves of a bisected lens which are movable along their line of section by a screw, and distances are determined by the number of screw revolutions necessary to bring the points to be measured into optical coincidence. When the two images are formed by a bisected objects glass, it is called a divided-object-glass micrometer, and when the instrument is large and equatorially mounted, it is known as a heliometer. -- Double refraction micrometer, a species of double image micrometer, in which the two images are formed by the double refraction of rock crystal. -- Filar, or Bifilar, micrometer. See under Bifilar. -- Micrometer caliper or gauge (Mech.), a caliper or gauge with a micrometer screw, for measuring dimensions with great accuracy. -- Micrometer head, the head of a micrometer screw. -- Micrometer microscope, a compound microscope combined with a filar micrometer, used chiefly for reading and subdividing the divisions of large astronomical and geodetical instruments. -- Micrometer screw, a screw with a graduated head used in some forms of micrometers. -- Position micrometer. See under Position. -- Scale, or Linear, micrometer, a minute and very delicately graduated scale of equal parts used in the field of a telescope or microscope, for measuring distances by direct comparison.
micrometric |Belonging to micrometry; made by the micrometer. -- Mi`cro*met\"ric*al*ly, adv.
micrometrical |Belonging to micrometry; made by the micrometer. -- Mi`cro*met\"ric*al*ly, adv.
micrometry |The art of measuring with a micrometer.
micromillimeter |The millionth part of a meter.
micron |A measure of length; the thousandth part of one millimeter; the millionth part of a meter.
micronesian |Of or pertaining to Micronesia, a collective designation of the islands in the western part of the Pacific Ocean, embracing the Marshall and Gilbert groups, the Ladrones, the Carolines, etc.
micronesians |A dark race inhabiting the Micronesian Islands. They are supposed to be a mixed race, derived from Polynesians and Papuans.
micronometer |An instrument for noting minute portions of time.
microorganism |Any microscopic form of life; -- particularly applied to bacteria and similar organisms, esp. such are supposed to cause infectious diseases.
micropantograph |A kind of pantograph which produces copies microscopically minute.
microparasite |A parasitic microörganism. -- Mi`cro*par`a*sit\"ic (#), a.
micropegmatite |A rock showing under the microscope the structure of a graphic granite (pegmatite). -- Mi`cro*peg`ma*tit\"ic, a.
microphone |An instrument for intensifying and making audible very feeble sounds. It produces its effects by the changes of intensity in an electric current, occasioned by the variations in the contact resistance of conducting bodies, especially of imperfect conductors, under the action of acoustic vibrations.
microphonic |Of or pert. to a microphone; serving to intensify weak sounds.
microphonics |The science which treats of the means of increasing the intensity of low or weak sounds, or of the microphone.
microphonous |Serving to augment the intensity of weak sounds; microcoustic.
microphotograph |1. A microscopically small photograph of a picture, writing, printed page, etc. 2. An enlarged representation of a microscopic object, produced by throwing upon a sensitive plate the magnified image of an object formed by a microscope or other suitable combination of lenses. Note: A picture of this kind is preferably called a photomicrograph.
microphotography |The art of making microphotographs.
microphthalmia |An unnatural smallness of the eyes, occurring as the result of disease or of imperfect development.
microphthalmy |An unnatural smallness of the eyes, occurring as the result of disease or of imperfect development.
microphyllous |Small-leaved.
microphytal |Pertaining to, or of the nature of, microphytes.
microphyte |A very minute plant, one of certain unicellular algæ, such as the germs of various infectious diseases are believed to be.
micropyle |(a) An opening in the membranes surrounding the ovum, by which nutrition is assisted and the entrance of the spermatozoa permitted. (b) An opening in the outer coat of a seed, through which the fecundating pollen enters the ovule. -- Mi*crop\"y*lar, a.
microscopal |Pertaining to microscopy, or to the use of the microscope. Huxley.
microscope |An optical instrument, consisting of a lens, or combination of lenses, for making an enlarged image of an object which is too minute to be viewed by the naked eye. Compound microscope, an instrument consisting of a combination of lenses such that the image formed by the lens or set of lenses nearest the object (called the objective) is magnified by another lens called the ocular or eyepiece. -- Oxyhydrogen microscope, and Solar microscope. See under Oxyhydrogen, and Solar. -- Simple, or Single, microscope, a single convex lens used to magnify objects placed in its focus.
microscopial |Microscopic. [R.] Berkeley.
microscopic |1. Of or pertaining to the microscope or to microscopy; made with a microscope; as, microscopic observation. 2. Able to see extremely minute objects. Why has not man a microscopic eye Pope. 3. Very small; visible only by the aid of a microscope; as, a microscopic insect.
microscopical |1. Of or pertaining to the microscope or to microscopy; made with a microscope; as, microscopic observation. 2. Able to see extremely minute objects. Why has not man a microscopic eye Pope. 3. Very small; visible only by the aid of a microscope; as, a microscopic insect.
microscopically |By the microscope; with minute inspection; in a microscopic manner.
microscopist |One skilled in, or given to, microscopy.
microscopy |The use of the microscope; investigation with the microscope.
microseism |A feeble earth tremor not directly perceptible, but detected only by means of specially constructed apparatus. -- Mi`cro*seis\"mic (#), *seis\"mic*al (#), a.
microseismograph |A microseismometer; specif., a microseismometer producing a graphic record.
microseismology |Science or study of microseisms.
microseismometer |A seismometer for measuring amplitudes or periods, or both, of microseisms. --Mi`cro*seis*mom\"e*try (#), n.
microseme |Having the orbital index relatively small; having the orbits broad transversely; -- opposed to Ant: megaseme.
microspectroscope |A spectroscope arranged for attachment to a microscope, for observation of the spectrum of light from minute portions of any substance.
microsporangium |A sporangium or conceptacle containing only very minute spores. Cf. Macrosporangium.
microspore |One of the exceedingly minute spores found in certain flowerless plants, as Selaginella and Isoetes, which bear two kinds of spores, one very much smaller than the other. Cf. Macrospore.
microsporic |Of or pertaining to microspores.
microsthene |One of a group of mammals having a small size as a typical characteristic. It includes the lower orders, as the Insectivora, Cheiroptera, Rodentia, and Edentata.
microsthenic |Having a typically small size; of or pertaining to the microsthenes.
microtasimeter |A tasimeter, especially when arranged for measuring very small extensions. See Tasimeter.
microtome |An instrument for making very thin sections for microscopical examination.
microtomic |Of or pert. to the microtome or microtomy; cutting thin slices.
microtomical |Of or pert. to the microtome or microtomy; cutting thin slices.
microtomist |One who is skilled in or practices microtomy.
microtomy |The art of using the microtome; investigation carried on with the microtome.
microvolt |A measure of electro-motive force; the millionth part of one volt.
microweber |The millionth part of one weber.
microzoa |The Infusoria.
microzooespore |A small motile spore furnished with two vibratile cilia, found in certain green algæ.
microzoospore |A small motile spore furnished with two vibratile cilia, found in certain green algæ.
microzyme |A microörganism which is supposed to act like a ferment in causing or propagating certain infectious or contagious diseases; a pathogenic bacterial organism.
micturition |The act of voiding urine; also, a morbidly frequent passing of the urine, in consequence of disease.
mid |1. Denoting the middle part; as, in mid ocean. No more the mounting larks, while Daphne sings, Shall list'ning in mid air suspend their wings. Pope. 2. Occupying a middle position; middle; as, the mid finger; the mid hour of night. 3. (Phon.)  Made with a somewhat elevated position of some certain part of the tongue, in relation to the palate; midway between the high and the low; -- said of certain vowel sounds; as, a (ale), ê (êll), o (old). See Guide to Pronunciation, §§ 10, 11. Note: Mid is much used as a prefix, or combining form, denoting the middle or middle part of a thing; as, mid-air, mid-channel, mid-age, midday, midland, etc. Also, specifically, in geometry, to denote a circle inscribed in a triangle (a midcircle), or relation to such a circle; as, mid-center, midradius.\n\nMiddle. [Obs.] About the mid of night come to my tent. Shak.\n\nSee Amid.
mid sea |The middle part of the sea or ocean. Milton. The Mid-sea, the Mediterranean Sea. [Obs.]
mid-sea |The middle part of the sea or ocean. Milton. The Mid-sea, the Mediterranean Sea. [Obs.]
mida |The larva of the bean fly.
midas |A genus of longeared South American monkeys, including numerous species of marmosets. See Marmoset. MIDAS'S EAR Mi\"das's ear\". Etym: [See Midas.] (Zoöl.)  A pulmonate mollusk (Auricula, or Ellobium, aurismidæ); -- so called from resemblance to a human ear.
midbrain |The middle segment of the brain; the mesencephalon. See Brain.
midday |The middle part of the day; noon.\n\nOf or pertaining to noon; meridional; as, the midday sun.
midden |1. A dunghill. [Prov. Eng.] 2. An accumulation of refuse about a dwelling place; especially, an accumulation of shells or of cinders, bones, and other refuse on the supposed site of the dwelling places of prehistoric tribes, -- as on the shores of the Baltic Sea and in many other places. See Kitchen middens.
midden crow |The common European crow. [Prov. Eng.]
middest |Situated most nearly in the middle; middlemost; midmost. [Obs.] \" 'Mongst the middest crowd.\" Spenser.\n\nMidst; middle. [Obs.] Fuller.
midding |Same as Midden.
middle |1. Equally distant from the extreme either of a number of things or of one thing; mean; medial; as, the middle house in a row; a middle rank or station in life; flowers of middle summer; men of middle age. 2. Intermediate; intervening. Will, seeking good, finds many middle ends. Sir J. Davies. Note: Middle is sometimes used in the formation of selfexplaining compounds; as, middle-sized, middle-witted. Middle Ages, the period of time intervening between the decline of the Roman Empire and the revival of letters. Hallam regards it as beginning with the sixth and ending with the fifteenth century. -- Middle class, in England, people who have an intermediate position between the aristocracy and the artisan class. It includes professional men, bankers, merchants, and small landed proprietors The middle-class electorate of Great Britain. M. Arnold. -- Middle distance. (Paint.) See Middle-ground. -- Middle English. See English, n., 2. -- Middle Kingdom, China. -- Middle oil (Chem.), that part of the distillate obtained from coal tar which passes over between 170º and 230º Centigrade; -- distinguished from the light, and the heavy or dead, oil. -- Middle passage, in the slave trade, that part of the Atlantic Ocean between Africa and the West Indies. -- Middle post. (Arch.) Same as King-post. -- Middle States, New York, New Jersey, Pennsylvania, and Delaware; which, at the time of the formation of the Union, occupied a middle position between the Eastern States (or New England) and the Southern States. [U.S.] -- Middle term (Logic), that term of a syllogism with which the two extremes are separately compared, and by means of which they are brought together in the conclusion. Brande. -- Middle tint (Paint.), a subdued or neutral tint. Fairholt. -- Middle voice. (Gram.) See under Voice. -- Middle watch, the period from midnight to four A. M.; also, the men on watch during that time. Ham. Nav. Encyc. -- Middle weight, a pugilist, boxer, or wrestler classed as of medium weight, i. e., over 140 and not over 160 lbs., in distinction from those classed as light weights, heavy weights, etc.\n\nThe point or part equally distant from the extremities or exterior limits, as of a line, a surface, or a solid; an intervening point or part in space, time, or order of series; the midst; central portion; specif., the waist. Chaucer. \"The middle of the land.\" Judg. ix. 37. In this, as in most questions of state, there is a middle. Burke. Syn. -- See Midst.
middle-age |Of or pertaining to the Middle Ages; mediæval.
middle-aged |Being about the middle of the ordinary age of man; between 30 and 50 years old.
middle-earth |The world, considered as lying between heaven and hell. [Obs.] Shak.
middle-ground |That part of a picture between the foreground and the background.
middleman |1. An agent between two parties; a broker; a go-between; any dealer between the producer and the consumer; in Ireland, one who takes land of the proprietors in large tracts, and then rents it out in small portions to the peasantry. 2. A person of intermediate rank; a commoner. 3. (Mil.)  The man who occupies a central position in a file of soldiers.
middlemost |Being in the middle, or nearest the middle; midmost.
middler |One of a middle or intermediate class in some schools and seminaries.
middling |Of middle rank, state, size, or quality; about equally distant from the extremes; medium; moderate; mediocre; ordinary. \"A town of but middling size.\" Hallam. Plainly furnished, as beseemed the middling circumstances of its inhabitants. Hawthorne. -- Mid\"dling*ly, adv. -- Mid\"dling*ness, n.
middlings |1. A combination of the coarser parts of ground wheat the finest bran, separated from the fine flour and coarse bran in bolting; -- formerly regarded as valuable only for feed; but now, after separation of the bran, used for making the best quality of flour. Middlings contain a large proportion of gluten. 2. In the southern and western parts of the United States, the portion of the hog between the ham and the shoulder; bacon; -- called also middles. Bartlett.
middy |A colloquial abbreviation of midshipman.
midfeather |1. (Steam Boilers)  A vertical water space in a fire box or combustion chamber. 2. (Mining)  A support for the center of a tunnel.
midgard |The middle space or region between heaven and hell; the abode of human beings; the earth.\n\nThe middle space or region between heaven and hell, the abode of human beings; the earth.
midgarth |The middle space or region between heaven and hell, the abode of human beings; the earth.
midge |1. Any one of many small, delicate, long-legged flies of the Chironomus, and allied genera, which do not bite. Their larvæ are usually aquatic. 2. A very small fly, abundant in many parts of the United States and Canada, noted for the irritating quality of its bite. Note: The name is also applied to various other small flies. See Wheat midge, under Wheat.
midget |1. (Zoöl.)  A minute bloodsucking fly. [Local, U. S.] 2. A very diminutive person.
midgut |The middle part of the alimentary canal from the stomach, or entrance of the bile duct, to, or including, the large intestine.
midheaven |1. The midst or middle of heaven or the sky. 2. (Astron.)  The meridian, or middle line of the heavens; the point of the ecliptic on the meridian.
midland |1. Being in the interior country; distant from the coast or seashore; as, midland towns or inhabitants. Howell. 2. Surrounded by the land; mediterranean. And on the midland sea the French had awed. Dryden.\n\nThe interior or central region of a country; -- usually in the plural. Drayton.
midmain |The middle part of the main or sea. [Poetic] Chapman.
midmost |Middle; middlemost. Ere night's midmost, stillest hour was past. Byron.
midnight |The middle of the night; twelve o'clock at night. The iron tongue of midnight hath told twelve. Shak.\n\nBeing in, or characteristic of, the middle of the night; as, midnight studies; midnight gloom. \"Midnight shout and revelry.\" Milton.
midnight sun |The sun shining at midnight in the arctic or antarctic summer.
midrash |A talmudic exposition of the Hebrew law, or of some part of it.
midrib |A continuation of the petiole, extending from the base to the apex of the lamina of a leaf.
midriff |See Diaphragm, n., 2. Smote him into the midriff with a stone. Milton.
midship |Of or pertaining to, or being in, the middle of a ship. Midship beam (Naut.), the beam or timber upon which the broadest part of a vessel is formed. -- Midship bend, the broadest frame in a vessel. Weale.
midshipman |1. (a) Formerly, a kind of naval cadet, in a ship of war, whose business was to carry orders, messages, reports, etc., between the officers of the quarter-deck and those of the forecastle, and render other services as required. (b) In the English naval service, the second rank attained by a combatant officer after a term of service as naval cadet. Having served three and a half years in this rank, and passed an examination, he is eligible to promotion to the rank of lieutenant. (c) In the United States navy, the lowest grade of officers in line of promotion, being graduates of the Naval Academy awaiting promotion to the rank of ensign. 2. (Zoöl.)  An American marine fish of the genus Porichthys, allied to the toadfish. Cadet midshipman, formerly a title distinguishing a cadet line officer from a cadet engineer at the U. S. Naval Academy. See under Cadet. -- Cadet midshipman, formerly, a naval cadet who had served his time, passed his examinations, and was awaiting promotion; -- now called, in the United States, midshipman; in England, sublieutenant.
midships |In the middle of a ship; -- properly amidships.\n\nThe timbers at the broadest part of the vessel. R. H. Dana, Jr.
