crinosity |Hairiness. [R.]
critique |1. The art of criticism. [Written also critic.] [R.] 2. A critical examination or estimate of a work of literature or art; a critical dissertation or essay; a careful and through analysis of any subject; a criticism; as, Kant's \"Critique of Pure Reason.\" I should as soon expect to see a critique on the poesy of a ring as on the inscription of a medal. Addison. 3. A critic; one who criticises. [Obs.] A question among critiques in the ages to come. Bp. Lincoln.\n\nTo criticise or pass judgment upon. [Obs.] Pope.
crizzel |A kind of roughness on the surface of glass, which clouds its transparency. [Written also crizzeling and crizzle.]
croak |1. To make a low, hoarse noise in the throat, as a frog, a raven, or a crow; hence, to make any hoarse, dismal sound. Loud thunder to its bottom shook the bog, And the hoarse nation croaked. Pope. 2. To complain; especially, to grumble; to forebode evil; to utter complaints or forebodings habitually. Marat . . . croaks with reasonableness. Carlyle.\n\nTo utter in a low, hoarse voice; to announce by croaking; to forebode; as, to croak disaster. The raven himself is hoarse, That croaks the fatal entrance of Duncan. Shak. Two ravens now began to croak Their nuptial song. Wordsworth.\n\nThe coarse, harsh sound uttered by a frog or a raven, or a like sound.
croaker |1. One who croaks, murmurs, grumbles, or complains unreasonably; one who habitually forebodes evil. 2. (Zoöl.) (a) A small American fish (Micropogon undulatus), of the Atlantic coast. (a) An American fresh-water fish (Aplodinotus grunniens); -- called also drum. (c) The surf fish of California. Note: When caught these fishes make a croaking sound; whence the name, which is often corrupted into crocus.
croat |1. A native of Croatia, in Austria; esp., one of the native Slavic race. 2. An irregular soldier, generally from Croatia.
croatian |Of or pertaining to Croatia. -- n.  A Croat.
crocein |A name given to any one of several yellow or scarlet dyestuffs of artificial production and complex structure. In general they are diazo and sulphonic acid derivatives of benzene and naphthol.
croceous |Of, pertaining to, or like, saffron; deep reddish yellow. [R.]
crocetin |A dyestuff, obtained from the Chinese croicin, which produces a brilliant yellow.
croche |A little bud or knob at the top of a deer's antler.
crochet |A kind of knitting done by means of a hooked needle, with worsted, silk, or cotton; crochet work. Commonly used adjectively. Crochet hook, Crochet needle, a small hook, or a hooked needle (often of bone), used in crochet work.\n\nTo knit with a crochet needle or hook; as, to rochett a shawl.
crociary |One who carries the cross before an archbishop. [Obs.]
crocidolite |A mineral occuring in silky fibers of a lavender blue color. It is related to hornblende and is essentially a silicate of iron and soda; -- called also blue asbestus. A silicified form, in which the fibers penetrating quartz are changed to oxide of iron, is the yellow brown tiger-eye of the jewelers.
crocin |(a) The coloring matter of Chinese yellow pods, the fruit of Gardenia grandiflora. Watts. (b) A red powder (called also polychroite), which is made from the saffron (Crocus sativus). See Polychroite.
crock |The loose black particles collected from combustion, as on pots and kettles, or in a chimney; soot; smut; also, coloring matter which rubs off from cloth.\n\nTo soil by contact, as with soot, or with the coloring matter of badly dyed cloth.\n\nTo give off crock or smut.\n\nA low stool. \"I . . . seated her upon a little crock.\" Tatler.\n\nAny piece of crockery, especially of coarse earthenware; an earthen pot or pitcher. Like foolish flies about an honey crock. Spenser.\n\nTo lay up in a crock; as, to crock butter. Halliwell.
crocker |A potter. [Obs.] Wyclif.
crockery |Earthenware; vessels formed of baked clay, especially the coarser kinds.
crocket |1. (Arch.)  An ornament often resembling curved and bent foliage, projecting from the sloping edge of a gable, spire, etc. 2. A croche, or knob, on the top of a stag's antler. The antlers and the crockets. W. Black.
crocketed |Ornamented with crockets.
crocketing |Ornamentation with crockets. Ruskin.
crocky |Smutty.
crocodile |1. (Zoöl.)  A large reptile of the genus Crocodilus, of several species. They grow to the length of sixteen or eighteen feet, and inhabit the large rivers of Africa, Asia, and America. The eggs, laid in the sand, are hatched by the sun's heat. The best known species is that of the Nile (C. vulgaris, or C. Niloticus). The Florida crocodile (C. Americanus) is much less common than the alligator and has longer jaws. The name is also sometimes applied to the species of other related genera, as the gavial and the alligator. 2. (Logic)  A fallacious dilemma, mythically supposed to have been first used by a crocodile. Crocodile bird (Zoöl.), an African plover (Pluvianus ægypticus) which alights upon the crocodile and devours its insect parasites, even entering its open mouth (according to reliable writers) in pursuit of files, etc.; -- called also Nile bird. It is the trochilos of ancient writers. -- Crocodile tears, false or affected tears; hypocritical sorrow; -- derived from the fiction of old travelers, that crocodiles shed tears over their prey.
crocodilia |An order of reptiles including the crocodiles, gavials, alligators, and many extinct kinds.
crocodilian |Like, or pertaining to, the crocodile; characteristic of the crocodile. -- n.  One of the Crocodilia.
crocodility |A caption or sophistical mode of arguing. [R.]
crocoisite |Same as Crocoite.
crocoite |Lead chromate occuring in crystals of a bright hyacinth red color; -- called also red lead ore.
croconate |A salt formed by the union of croconic acid with a base.
croconic |1. Of, pertaining to, or resembling saffron; having the color of saffron; as, croconic acid. 2. Pertaining to, or derived from, croconic acid. Croconic acid (Chem.), a yellow crystalline substance, C5O3(OH)2, obtained from potassium carboxide, rhodizonic acid, and various phenol and quinone derivatives of benzene, and forming yellow or orange colored salts.
crocose |A white crystalline sugar, metameric with glucose, obtained from the coloring matter of saffron. [Written also crokose.]
crocus |1. (Bot.)  A genus of iridaceous plants, with pretty blossoms rising separately from the bulb or corm. C. vernus is one of the earliest of spring-blooming flowers; C. sativus produces the saffron, and blossoms in the autumn. 2. (Chem.)  A deep yellow powder; the oxide of some metal calcined to a red or deep yellow color; esp., the oxide of iron (Crocus of Mars or colcothar) thus produced from salts of irron, and used as a polishing powder. Crocus of Venus (Old Chem.), oxide of copper.
croesus |A king of Lydia who flourished in the 6th century b. c., and was renowned for his vast wealth; hence, a common appellation for a very rich man; as, he is veritable Croesus.
croft |A small, inclosed field, adjoining a house; a small farm. A few small crofts of stone-encumbered ground. Wordsworth.
crofter |One who rents and tills a small farm or helding; as, the crofters of Scotland.
crofting |1. Croftland. [Scot.] Jamieson. 2. (Textile Manuf.)  Exposing linen to the sun, on the grass, in the process of bleaching.
croftland |Land of superior quality, on which successive crops are raised. [Scot.] Jamieson.
crofton system |A system of prison discipline employing for consecutive periods cellular confinement, associated imprisonment under the mark system, restraint intermediate between imprisonment and freedom, and liberation on ticket of leave.
crois |See Cross, n. [Obs.]
croisade |A holy war; a crusade. [Obs.] Bacon.
croisado |A holy war; a crusade. [Obs.] Bacon.
croise |1. A pilgrim bearing or wearing a cross. [Obs.] 2. A crusader. [Obs.] The conquesta of the croises extending over Palestine. Burke.
croissante |Terminated with crescent; -- said of a cross the ends of which are so terminated.
croker |A cultivator of saffron; a dealer in saffron. [Obs.] Holinshed.
croma |A quaver. [Obs.]
cromlech |A monument of rough stones composed of one or more large ones supported in a horizontal position upon others. They are found chiefly in countris inhabited by the ancient Celts, and are of a period anterior to the introduction of Christianity into these countries.
cromorna |A certain reed stop in the organ, of a quality of tone resembling that of the oboe. [Corruptly written cromona.]
crone |1. An old ewe. [Obs.] Tusser. 2. An old woman; -- usually in contempt. But still the crone was constant to her note. Dryden. 3. An old man; especially, a man who talks and acts like an old woman. [R.] The old crone [a negro man] lived in a hovel, . . . which his master had given him. W. Irving. A few old battered crones of office. Beaconsfield.
cronel |The iron head of a tilting spear.
cronet |The coronet of a horse.
cronian |Saturnian; -- applied to the North Polar Sea. [R.] Milton.
cronstedtite |A mineral consisting principally of silicate of iron, and crystallizing in hexagonal prisms with perfect basal cleavage; -- so named from the Swedish mineralogist Cronstedt.
crony |1. A crone. [Obs.] \"Marry not an old crony.\" Burton. 2. An intimate companion; a familiar frend. [Colloq.] He soon found his former cronies, though all rather the worse for the wear and tear of time. W. Irving.
croodle |1. To cower or cuddle together, as from fear or cold; to lie close and snug together, as pigs in straw. [Prov. Eng.] Wright. Forby. A dove to fly home her nest and croodle there. C. Kingsley. 2. To fawn or coax. [Obs.] 3. To coo. [Scot.]
crook |1. A bend, turn, or curve; curvature; flexure. Through lanes, and crooks, and darkness. Phaer. 2. Any implement having a bent or crooked end. Especially: (a) The staff used by a shepherd, the hook of which serves to hold a runaway sheep. (b) A bishop's staff of office. Cf. Pastoral stafu. He left his crook, he left his flocks. Prior. 3. A pothook. \"As black as the crook.\" Sir W. Scott. 4. An artifice; trick; tricky device; subterfuge. For all yuor brags, hooks, and crooks. Cranmer. 5. (Mus.)  A small tube, usually curved, applied to a trumpet, horn, etc., to change its pitch or key. 6. A person given to fraudulent practices; an accomplice of thieves, forgers, etc. [Cant, U.S.] By hook or by crook, in some way or other; by fair means or foul.\n\n1. To turn from a straight line; to bend; to curve. Crook the pregnant hinges of the knee. Shak. 2. To turn from the path of rectitude; to pervert; to misapply; to twist. [Archaic] There is no one thing that crooks youth more than such unlawfull games. Ascham. What soever affairs pass such a man's hands, he crooketh them to his own ends. Bacon.\n\nTo bend; to curve; to wind; to have a curvature. \" The port . . . crooketh like a bow.\" Phaer. Their shoes and pattens are snouted, and piked more than a finger long, crooking upwards. Camden.
crookback |A crooked back; one who has a crooked or deformed back; a hunchback.\n\nHunched. Shak. `
crookbill |A New Zealand plover (Anarhynchus frontalis), remarkable for having the end of the beak abruptly bent to the right.
crooked |1. Characterized by a crook or curve; not straight; turning; bent; twisted; deformed. \"Crooked paths.\" Locke. he is deformed, crooked, old, and sere. Shak. 2. Not straightforward; deviating from rectitude; distorted from the right. They are a perverse and crooked generation. Deut. xxxii. 5. 3. False; dishonest; fraudulent; as, crooked dealings. Crooked whisky, whisky on wich the paiment of duty has been fraudulently evaded. [Slang, U.S.] Barlett.
crookedly |In a curved or crooked manner; in a perverse or untoward manner.
crookedness |The condition or quality of being crooked; hence, deformity of body or of mind; deviation from moral rectitude; perverseness.
crooken |To make crooked. [Obs.]
crookes space |The dark space within the negative-pole glow at the cathode of a vacuum tube, observed only when the pressure is low enough to give a striated discharge; -- called also Crookes layer.
crookes tube |A vacuum tube in which the exhaustion is carried to a very high degree, with the production of a distinct class of effects; -- so called from W. Crookes who introduced it.
crookneck |Either of two varieties of squash, distinguished by their tapering, recurved necks. The summer crookneck is botanically a variety of the pumpkin (Cucurbita pepo) and matures early in the season. It is pale yellow in color, with warty excrescences. The winter crookneck belongs to a distinct species (C. moschata) and is smooth and often striped. [U. S.]
croon |1. To make a continuous hollow moan, as cattle do when in pain. [Scot.] Jamieson. 2. To hum or sing in a low tone; to murmur softly. Here an old grandmother was crooning over a sick child, and rocking it to and fro. Dickens.\n\n1. To sing in a low tone, as if to one's self; to hum. Hearing such stanzas crooned in her praise. C. Bront 2. To soothe by singing softly. The fragment of the childish hymn with which he sung and crooned himself asleep. Dickens.\n\n1. A low, continued moan; a murmur. 2. A low singing; a plain, artless melody.
crop |1. The pouchlike enlargement of the gullet of birds, serving as a receptacle for food; the craw. 2. The top, end, or highest part of anything, especially of a plant or tree. [Obs.] \"Crop and root.\" Chaucer. 3. That which is cropped, cut, or gathered from a single felld, or of a single kind of grain or fruit, or in a single season; especially, the product of what is planted in the earth; fruit; harvest. Lab'ring the soil, and reaping plenteous crop, Corn, wine, and oil. Milton. 4. Grain or other product of the field while standing. 5. Anything cut off or gathered. Guiltless of steel, and from the razor free, It falls a plenteous crop reserved for thee. Dryden. 6. Hair cut close or short, or the act or style of so cutting; as, a convict's crop. 7. (Arch.)  A projecting ornament in carved stone. Specifically, a finial. [Obs.] 8. (Mining.) (a) Tin ore prepared for smelting. (b) Outcrop of a vein or seam at the surface. Knight. 9. A riding whip with a loop instead of a lash. Neck and crop, altogether; roughly and at once. [Colloq.]\n\n1. To cut off the tops or tips of; to bite or pull off; to browse; to pluck; to mow; to reap. I will crop off from the top of his young twigs a tender one. Ezek. xvii. 22. 2. Fig.: To cut off, as if in harvest. Death . . . .crops the growing boys. Creech. 3. To cause to bear a crop; as, to crop a field.\n\nTo yield harvest. To crop out. (a) (Geol.) To appear above the surface, as a seam or vein, or inclined bed, as of coal. (b) To come to light; to be manifest; to appear; as, the peculiarities of an author crop out. -- To crop up, to sprout; to spring up. \"Cares crop up in villas.\" Beaconsfield.
crop-ear |A person or animal whose ears are cropped.
crop-eared |Having the ears cropped.
crop-tailed |Having the tail cropped.
cropful |Having a full crop or belly; satiated. Milton.
cropper |1. One that crops. 2. A variety of pigeon with a large crop; a pouter. 3. (Mech.)  A machine for cropping, as for shearing off bolts or rod iron, or for facing cloth. 4. A fall on one's head when riding at full speed, as in hunting; hence, a sudden failure or collapse. [Slang.]
cropsick |Sick from excess in eating or drinking. [Obs.] \"Cropsick drunkards.\" Tate. -- Crop\"sick`ness, n. [Obs.] Whitlock.
croquante |A brittle cake or other crisp pastry.
croquet |1. An open-air game in which two or more players endeavor to drive wooden balls, by means of mallets, through a series of hoops or arches set in the ground according to some pattern. 2. The act of croqueting.\n\nIn the game of croquet, to drive away an opponent's ball, after putting one's own in contact with it, by striking one's own ball with the mallet.
croquette |A ball of minced meat, fowl, rice, or other ingredients, highly seasoned, and fried.
crore |Ten millions; as, a crore of rupees (which is nearly $5,000,000). [East Indies] Malcolm.
crosier |The pastoral staff of a bishop (also of an archbishop, being the symbol of his office as a shepherd of the flock of God. Note: The true shape of the crosier was with a hooked or curved top; the archbishop's staff alone bore a cross instead of a crook, and was of exceptional, not of regular form. Skeat.
crosiered |Bearing a crosier.
croslet |See Crosslet.
cross |1. A gibbet, cosisting of two pieces of timber placed transversely upon one another, in various forms, as a T, or +, with the horizontal piece below the upper end of the upright, or as an X. It was anciently used in the execution of criminals. Nailed to the cross By his own nation. Milton. 2. The sign or mark of the cross, made with the finger, or in ink, etc., or actually represented in some material; the symbol of Christ's death; the ensign and chosen symbol of Christianity, of a Christian people, and of Christendom. The custom of making the sign of the cross with the hand or finger, as a means of conferring blessing or preserving from evil, is very old. Schaff-Herzog Encyc. Before the cross has waned the crescent's ray. Sir W. Scott. Tis where the cross is preached. Cowper. 3. Affiction regarded as a test of patience or virtue; trial; disappointment; opposition; misfortune. Heaven prepares a good man with crosses. B. Jonson. 4. A piece of money stamped with the figure of a cross, also, that side of such a piece on which the cross is stamped; hence, money in general. I should bear no cross if I did bear you; for I think you have no money in your purse. Shak. 5. An appendage or ornament or anything in the form of a cross; a badge or ornamental device of the general shape of a cross; hence, such an ornament, even when varying considerably from that form; thus, the Cross of the British Order of St. George and St. Michael consist of a central medallion with seven arms radiating from it. 6. (Arch.)  A monument in the form of a cross, or surmounted bu a cross, set up in a public place; as, a market cross; a boundary cross; Charing Cross in London. Dun-Edin's Cross, a pillared stone, Rose on a turret octagon. Sir W. Scott. 7. (Her.)  A common heraldic bearing, of which there are many varieties. See the Illustration, above. 8. The crosslike mark or symbol used instead of a signature by those unable to write. Five Kentish abbesses . . . .subscribed their names and crosses. Fuller. 9. Church lands. [Ireland] [Obs.] Sir J. Davies. 10. A line drawn across or through another line. 11. Hence: A mixing of breeds or stock, especially in cattle breeding; or the product of such intermixture; a hybrid of any kind. Toning down the ancient Viking into a sort of a cross between Paul Jones and Jeremy Diddler. Lord Dufferin. 12. (Surveying)  An instrument for laying of offsets perpendicular to the main course. 13. (Mech.)  A pipe-fitting with four branches the axes of which usually form's right angle. Cross and pile, a game with money, at which it is put to chance whether a coin shall fall with that side up which bears the cross, or the other, which is called pile, or reverse; the game called heads or tails. -- Cross bottony or bottoné. See under Bottony. -- Cross estoilé (Her.). a cross, each of whose arms is pointed like the ray of a star; that is, a star having four long points only. -- Cross of Calvary. See Calvary, 3. -- Southern cross. (Astron.) See under Southern. -- To do a thing on the cross, to act dishonestly; -- opposed to acting on the square. [Slang] -- To take up the cross, to bear troubles and afflictions with patience from love to Christ.\n\n1. Not parallel; lying or falling athwart; transverse; oblique; intersecting. The cross refraction of the second prism. Sir I. Newton. 2. Not accordant with what is wished or expected; interrupting; adverse; contrary; thwarting; perverse. \"A cross fortune.\" Jer. Taylor. The cross and unlucky issue of my design. Glanvill. The article of the resurrection seems to lie marvelously cross to the common experience of mankind. South. We are both love's captives, but with fates so cross, One must be happy by the other's loss. Dryden. 3. Characterized by, or in a state of, peevishness, fretfullness, or ill humor; as, a cross man or woman. He had received a cross answer from his mistress. Jer. Taylor. 4. Made in an opposite direction, or an inverse relation; mutually inverse; interchanged; as, cross interrogatories; cross marriages, as when a brother and sister marry persons standing in the same relation to each other. Cross action (Law), an action brought by a party who is sued against the person who has sued him, upon the same subject matter, as upon the same contract. Burrill. -- Cross aisle (Arch.), a transept; the lateral divisions of a cruciform church. -- Cross axie. (a) (Mach.) A shaft, windlass, or roller, worked by levers at opposite ends, as in the copperplate printing press. (b) A driving axle. with cranks set at an angle of 90º with each other. -- Cross bedding (Geol.), oblique lamination of horizontal beds, -- Cross bill. See in the Vocabulary. -- Cross bitt. Same as Crosspiece. -- Cross bond, a form of bricklaying, in which the joints of one stretcher course come midway between those of the stretcher courses above and below, a course of headers and stretchers intervening. See Bond, n., 8. -- Cross breed. See in the Vocabulary. -- Cross breeding. See under Breeding. -- Cross buttock, a particular throw in wrestling; hence, an unexpected defeat or repulse. Smollet. -- Cross country, across the country; not by the road. \"The cross- country ride.\" Cowper. -- Cross fertilization, the fertilization of the female products of one physiological individual by the male products of another, -- as the fertilization of the ovules of one plant by pollen from another. See Fertilization. -- Cross file, a double convex file, used in dressing out the arms or crosses of fine wheells. -- Cross fire (Mil.), lines of fire, from two or more points or places, crossing each other. -- Cross forked. (Her.) See under Forked. -- Cross frog. See under Frog. -- Cross furrow, a furrow or trench cut across other furrows to receive the water running in them and conduct it to the side of the field. -- Cross handle, a handle attached transversely to the axis of a tool, as in the augur. Knight. -- Cross lode (Mining), a vein intersecting the true or principal lode. -- Cross purpose. See Cross-purpose, in the Vocabulary. -- Cross reference, a reference made from one part of a book or register to another part, where the same or an allied subject is treated of. -- Cross sea (Naut.), a chopping sea, in which the waves run in contrary directions. -- Cross stroke, a line or stroke across something, as across the letter t. -- Cross wind, a side wind; an unfavorable wind. -- Cross wires, fine wires made to traverse the field of view in a telescope, and moved by a screw with a graduated head, used for delicate astronomical observations; spider lines. Fixed cross wires are also used in microscopes, etc. Syn. -- Fretful; peevish. See Fretful.\n\nAthwart; across. [Archaic or Colloq.] A fox was taking a walk one night cross a village. L'Estrange. To go cross lots, to go across the fields; totake a short cut. [Colloq.]\n\n1. To put across or athwart; to cause to intersect; as, to cross the arms. 2. To lay or draw something, as a line, across; as, to cross the letter t. 3. To pass from one side to the other of; to pass or move over; to traverse; as, to cross a stream. A hunted hare . . . crosses and confounds her former track. I. Watts. 4. To pass, as objects going in an opposite direction at the same time. \"Your kind letter crossed mine.\" J. D. Forbes. 5. To run counter to; to thwart; to obstruct; to hinder; to clash or interfere with. In each thing give him way; cross him in nothing. Shak. An oyster may be crossed onlove. Sheridan. 6. To interfere and cut off; to debar. [Obs.] To cross me from the golden time I look for. Shak. 7. To make the sign of the cross upon; -- followed by the reflexive pronoun; as, he crossed himself. 8. To cancel by marking crosses on or over, or drawing a line across; to erase; -- usually with out, off, or over; as, to cross out a name. 9. To cause to interbreed; -- said of different stoocks or races; to mix the breed of. To cross one's path, to oppose one's plans. Macualay.\n\n1. To lie or be athwart. 2. To move or pass from one side to the other, or from place to place; to make a transit; as, to cross from New York to Liverpool. 3. To be inconsistent. [Obs.] Men's actions do not always cross with reason. Sir P. Sidney. 4. To interbreed, as races; to mix distinct breeds. If two individuals of distinct races cross, a third is invariably produced different from either. Coleridge.
cross-armed |With arms crossed.
cross-banded |A term used when a narrow ribbon of veneer is inserted into the surfase of any piece of furniture, wainscoting, etc., so that the grain of it is contrary to the general surface.
cross-bearer |A subdeacon who bears a cross before an archbishop or primate on solemn occasions.
cross-birth |Any preternatural labor, in whiche the boly of the child lies across the pelvis of the mother, so that the shoulder, arm, or trunk is the part first presented at the mouth of the uterus.
cross-bun |A bun or cake marked with a cross, and intended to be eaten on Good Friday.
cross-buttock |A throw in which the wrestler turns his left side to his opponent, places his left leg across both legs of his opponent, and pulls him forward over his hip; hence, an unexpected defeat or repulse.
cross-crosslet |A cross having the three upper ends crossed, so as to from three small crosses.
cross-days |The three days preceding the Feast of the Ascension.
cross-examination |The interrogating or questioning of a witness by the party against whom he has been called and examined. See Examination.
