neoplatonic |Of, pertaining to, or resembling, Neoplatonism or the Neoplatonists.
nest |1. The bed or receptacle prepared by a fowl for holding her eggs and for hatching and rearing her young. The birds of the air have nests. Matt. viii. 20. 2. Hence: the place in which the eggs of other animals, as insects, turtles, etc., are laid and hatched; a snug place in which young animals are reared. Bentley. 3. A snug, comfortable, or cozy residence or situation; a retreat, or place of habitual resort; hence, those who occupy a nest, frequent a haunt, or are associated in the same pursuit; as, a nest of traitors; a nest of bugs. A little cottage, like some poor man's nest. Spenser. 4. (Geol.)  An aggregated mass of any ore or mineral, in an isolated state, within a rock. 5. A collection of boxes, cases, or the like, of graduated size, each put within the one next larger. 6. (Mech.)  A compact group of pulleys, gears, springs, etc., working together or collectively. Nest egg, an egg left in the nest to prevent the hen from forsaking it, and to induce her to lay more in the same place; hence, figuratively, something laid up as the beginning of a fund or collection. Hudibras.\n\nTo build and occupy a nest. The king of birds nested within his leaves. Howell.\n\nTo put into a nest; to form a nest for. From him who nested himself into the chief power. South.
nestful |As much or many as will fill a nest.
nestle |1. To make and occupy a nest; to nest. [Obs.] The kingfisher ... nestles in hollow banks. L'Estrange. 2. To lie close and snug, as a bird in her nest; to cuddle up; to settle, as in a nest; to harbor; to take shelter. Their purpose was to fortify in some strong place of the wild country, and there nestle till succors came. Bacon. 3. To move about in one's place, like a bird when shaping the interior of her nest or a young bird getting close to the parent; as, a child nestles.\n\nTo house, as in a nest. 2. To cherish, as a bird her young.
nestling |1. A young bird which has not abandoned the nest. Piers Plowman. 2. A nest; a receptacle. [Obs.] Bacon.\n\nNewly hatched; being yet in the nest.
nestor |A genus of parrots with gray heads. of New Zeland and papua, allied to the cockatoos. See Kaka.
nestorian |An adherent of Nestorius, patriarch of Constantinople to the fifth century, who has condemned as a heretic for maintaining that the divine and the human natures were not merged into one nature in Christ (who was God in man), and, hence, that it was improper to call Mary the mother of Christ; also, one of the sect established by the followers of Nestorius in Persia, india, and other Oriental countries, and still in existence. opposed to Ant: Eutychian.\n\n1. Of or relating to the Nestorians. 2. relating to, or resembling, Nestor, the aged warior and counselor mentioned by Homer; hence, wise; experienced; aged; as, Nestorian caution.
nestorianism |The doctrines of the nestorian Christians, or of Nestorius.
net |1. A fabric of twine, thread, or the like, wrought or woven into meshes, and used for catching fish, birds, butterflies, etc. 2. Anything designed or fitted to entrap or catch; a snare; any device for catching and holding. A man that flattereth his neighbor spreadeth a net for his feet. Prov. xxix. 5. In the church's net there are fishes good or bad. Jer. Taylor. 3. Anything wrought or woven in meshes; as, a net for the hair; a mosquito net; a tennis net. 4. (Geom.)  A figure made up of a large number of straight lines or curves, which are connected at certain points and related to each other by some specified law.\n\n1. To make into a net; to make n the style of network; as, to net silk. 2. To take in a net; to capture by stratagem or wile. And now I am here, netted and in the toils. Sir W. Scott. 3. To inclose or cover with a net; as, to net a tree.\n\nTo form network or netting; to knit.\n\n1. Without spot; pure; shining. [Obs.] Her breast all naked as net ivory. Spenser. 2. Free from extraneous substances; pure; unadulterated; neat; as, net wine, etc. [R.] 3. Not including superfluous, incidental, or foreign matter, as boxes, coverings, wraps, etc.; free from charges, deductions, etc; as, net profit; net income; net weight, etc. [Less properly written nett.] Net tonnage (Naut.), the tonnage of a vessel after a deduction from the gross tonnage has been made, to allow space for crew, machinery, etc.\n\nTo produce or gain as clear profit; as, he netted a thousand dollars by the operation.
net-veined |Having veins, or nerves, reticulated or netted; as, a net- veined wing or leaf.
netfish |An astrophyton.
nether |Situated down or below; lying beneath, or in the lower part; having a lower position; belonging to the region below; lower; under; -- opposed to upper. 'Twixt upper, nether, and surrounding fires. Milton. This darksome nether world her light Doth dim with horror and deformity. Spenser. All my nether shape thus grew transformed. Milton.
nethermore |Lower, nether. [Obs.] Holland.
nethermost |Lowest; as, the nethermost abyss. Milton.
nethinim |Servants of the priests and Levites in the menial services about the tabernacle and temple.
netify |To render neat; to clean; to put in order. [R.] Chapman.
netsuke |In Japanese costume and decorative art, a small object carved in wood, ivory, bone, or horn, or wrought in metal, and pierced with holes for cords by which it is connected, for convenience, with the inro, the smoking pouch (tabako-ire), and similar objects carried in the girdle. It is now much used on purses sold in Europe and America.
netting |1. The act or process of making nets or network, or of forming meshes, as for fancywork, fishing nets, etc. 2. A piece of network; any fabric, made of cords, threads, wires, or the like, crossing one another with open spaces between. 3. (Naut.)  A network of ropes used for various purposes, as for holding the hammocks when not in use, also for stowing sails, and for hoisting from the gunwale to the rigging to hinder an enemy from boarding. Totten. Netting needle, a kind of slender shuttle used in netting. See Needle, n., 3.\n\nUrine. [Prov. Eng.] Halliwell.
nettle |A plant of the genus Urtica, covered with minute sharp hairs containing a poison that produces a stinging sensation. Urtica gracitis is common in the Northern, and U. chamædryoides in the Southern, United States. the common European species, U. urens and U. dioica, are also found in the Eastern united States. U. pilulifera is the Roman nettle of England. Note: The term nettle has been given to many plants related to, or to some way resembling, the true nettle; as: Australian nettle, a stinging tree or shrub of the genus Laportea (as L. gigas and L. moroides); -- also called nettle tree. -- Bee nettle, Hemp nettle, a species of Galeopsis. See under Hemp. -- Blind nettle, Dead nettle, a harmless species of Lamium. -- False nettle (Bæhmeria cylindrica), a plant common in the United States, and related to the true nettles. -- Hedge nettle, a species of Stachys. See under Hedge. -- Horse nettle (Solanum Carolinense). See under Horse. -- nettle tree. (a) Same as Hackberry. (b) See Australian nettle (above). -- Spurge nettle, a stinging American herb of the Spurge family (Jatropha urens). -- Wood nettle, a plant (Laportea Canadensis) which stings severely, and is related to the true nettles. Nettle cloth, a kind of thick cotton stuff, japanned, and used as a substitute for leather for various purposes. -- Nettle rash (Med.), an eruptive disease resembling the effects of whipping with nettles. -- Sea nettle (Zoöl.), a medusa.\n\nTo fret or sting; to irritate or vex; to cause to experience sensations of displeasure or uneasiness not amounting to violent anger. The princes were so nettled at the scandal of this affront, that every man took it to himself. L'Estrange.
nettlebird |the European whitethroat. [Prov. Eng.]
nettler |One who nettles. [R.] Milton.
nettles |(a) The halves of yarns in the unlaid end of a rope twisted for pointing or grafting. (b) Small lines used to sling hammocks under the deck beams. (c) Reef points.
nettling |(a) A process (resembling splicing) by which two ropes are jointed end so as to form one rope. (b) The process of tying together the ends of yarns in pairs, to prevent tangling.\n\nStinging; irritating. Nettling cell (Zoöl.), a lasso cell. See under Lasso.
netty |Like a net, or network; netted. [R.]
network |1. A fabric of threads, cords, or wires crossing each other at certain intervals, and knotted or secured at the crossings, thus leaving spaces or meshes between them. 2. Any system of lines or channels interlacing or crossing like the fabric of a net; as, a network of veins; a network of railroads.
neufchatel |A kind of soft sweet-milk cheese; -- so called from Neufchâtel- en-Bray in France.
neurad |Toward the neural side; -- opposed to hæmad.
neural |relating to the nerves or nervous system; taining to, situated in the region of, or on the side with, the neural, or cerebro-spinal, axis; -- opposed to hemal. As applied to vertebrates, neural is the same as dorsal; as applied to invertebrates it is usually the same as ventral. Cf. Hemal. Neural arch (Anat.), the cartilaginous or bony arch on the dorsal side of the centrum of the vertebra in a segment of the spinal skeleton, usually inclosing a segment of the spinal cord.
neuralgia |A disease, the chief symptom of which is a very acute pain, exacerbating or intermitting, which follows the course of a nervous branch, extends to its ramifications, and seems therefore to be seated in the nerve. It seems to be independent of any structural lesion. Dunglison.
neuralgic |of or pertaining to, or having the character of, neuralgia; as, a neuralgic headache.
neuralgy |Neuralgia.
neurapophysial |of or pertaining to a neurapophysis.
neurapophysis |(a) One of the two lateral processes or elements which form the neural arch. (b) The dorsal process of the neural arch; neural spine; spinous process.
neurasthenia |A condition of nervous debility supposed to be dependent upon impairment in the functions of the spinal cord.
neuration |The arrangement or distribution of nerves, as in the leaves of a plant or the wings of an insect; nervation.
neuraxis |See Axis cylinder, under Axis.
neurenteric |Of or pertaining to both the neuron and the enteron; as, the neurenteric canal, which, in embroys of many vertebrates, connects the medullary tube and the primitive intestine. See Illust. of Ectoderm.
neuridin |a nontoxic base, C5H14N2, found in the putrescent matters of flesh, fish, decaying cheese, etc.
neurilemma |(a) The delicate outer sheath of a nerve fiber; the primitive sheath. (b) The perineurium.
neurility |The special properties and functions of the nerves; that capacity for transmitting a stimulus which belongs to nerves. G. H. Lewes.
neurine |A poisonous organic base (a ptomaine) formed in the decomposition of protagon with boiling baryta water, and in the putrefraction of proteid matter. It was for a long time considered identical with choline, a crystalline body originally obtained from bile. Chemically, however, choline is oxyethyl-trimethyl-ammonium hydroxide, while neurine is vinyl-trimethyl-ammonium hydroxide. [Written also neurin.]
neurism |Nerve force. See Vital force, under Vital.
neuritis |Inflammation of a nerve.
neuro- |A combining denoting a nerve, of or pertaining to a nerve or the nervous system.
neuro-central |Between the neural arch and the centrum of a vertebra; as, the neurocentral suture. Huxley.
neuro-epidermal |Pertaining to, or giving rise to, the central nervous system and epiderms; as, the neuroepidermal, or epiblastic, layer of the blastoderm.
neurocele |The central canal and ventricles of the spinal cord and brain; the myelencephalic cavity.
neurochord |See Neurocord.
neurochordal |See Neurocord.
neurocity |Nerve force.
neurocoele |The central canal and ventricles of the spinal cord and brain; the myelencephalic cavity.
neurocord |A cordlike organ composed of elastic fibers situated above the ventral nervous cord of annelids, like the earthworm. -- Neu`ro*cor\"dal, a.
neuroglia |The delicate connective tissue framework which supports the nervous matter and blood vessels of the brain and spinal cord.
neurography |A description of the nerves. Dunglison.
neurokeratin |A substance, resembling keratin, present in nerve tissue, as in the sheath of the axis cylinder of medullated nerve fibers. Like keratin it resists the action of most chemical agents, and by decomposition with sulphuric acid yields leucin and tyrosin.
neurological |Of or pertaining to neurolgy.
neurologist |One who is versed in neurology; also, one skilled in the treatment of nervous diseases.
neurology |The branch of science which treats of the nervous system.
neuroma |A tumor developed on, or connected with, a nerve, esp. one consisting of new-formed nerve fibers.
neuromere |A metameric segment of the cerebro-spinal nervous system.
neuromuscular |Nervomuscular.
neuron |The brain and spinal cord; the cerebro-spinal axis; myelencephalon. B. G. Wilder.
neuropathic |Of or pertaining to neuropathy; of the nature of, or suffering from, nervous disease.
neuropathy |An affection of the nervous system or of a nerve.
neuropod |A neuropodous animal. G. Rolleston.
neuropodium |The ventral lobe or branch of a parapodium.
neuropodous |Having the limbs on, or directed toward, the neural side, as in most invertebrates; -- opposed to Ant: hæmapodous. G. Rolleston.
neuropore |An opening at either end of the embryonic neural canal.
neuropter |One of the Neuroptera.
neuroptera |An order of hexapod insects having two pairs of large, membranous, net-veined wings. The mouth organs are adapted for chewing. They feed upon other insects, and undergo a complete metamorphosis. The ant-lion, hellgamite, and lacewing fly are examples. Formerly, the name was given to a much more extensive group, including the true Neuroptera and the Pseudoneuroptera.
neuropteral |Of or pertaining to the Neuroptera.
neuropteran |A neuropter.
neuropteris |An extensive genus of fossil ferns, of which species have been found from the Devonian to the Triassic formation.
neuropterous |Neuropteral.
neurosensiferous |Pertaining to, or forming, both nerves and sense organs.
neurosis |A functional nervous affection or disease, that is, a disease of the nerves without any appreciable change of nerve structure.
neuroskeletal |Of or pertaining to the neuroskeleton. [R.] Owen.
neuroskeleton |The deep-seated parts of the vertebrate skeleton which are relation with the nervous axis and locomation. Owen.
neurospast |A puppet. [R.] Dr. H. More.
neurotic |1. Of or pertaining to the nerves; seated in the nerves; nervous; as, a neurotic disease. 2. Uself in disorders of, or affecting, the nerves.\n\n1. A disease seated in the nerves. 2. (Med.)  Any toxic agent whose action is mainly directed to the great nerve centers. Note: Neurotic as a class include all those poisons whose mains action is upon the brain and spinal cord. They may be divided three orders: (a) Cerebral neurotics, or those which affect the brain only. (b) Spinal neurotics, or tetanics, those which affect the spinal cord. (c) Cerebro-spinal neurotics, or those which affect both brain and spinal cord.
neurotome |1. An instrument for cutting or dissecting nerves. 2. (Anat.)  A neuromere.
neurotomical |Of or pertaining to neurotomy.
neurotomist |One who skilled in or practices neurotomy.
neurotomy |1. The dissection, or anatomy, of the nervous system. 2. (Med.)  The division of a nerve, for the relief of neuralgia, or for other purposes. Dunglison.
neurula |An embryo or certain invertebrates in the stage when the primitive band is first developed.
neuter |1. Neither the one thing nor the other; on neither side; impartial; neutral. [Archaic] In all our undertakings God will be either our friend or our enemy; for Providence never stands neuter. South. 2. (Gram.) (a) Having a form belonging more especially to words which are not appellations of males or females; expressing or designating that which is of neither sex; as, a neuter noun; a neuter termination; the neuter gender. (b) Intransitive; as, a neuter verb. 3. (Biol.)  Having no generative organs, or imperfectly developed ones; sexless. See Neuter, n., 3.\n\n1. A person who takes no part in a contest; one who is either indifferent to a cause or forbears to interfere; a neutral. The world's no neuter; it will wound or save. Young. 2. (Gram.) (a) A noun of the neuter gender; any one of those words which have the terminations usually found in neuter words. (b) An intransitive verb. 3. (Biol.)  An organism, either vegetable or animal, which at its maturity has no generative organs, or but imperfectly developed ones, as a plant without stamens or pistils, as the garden Hydrangea; esp., one of the imperfectly developed females of certain social insects, as of the ant and the common honeybee, which perform the labors of the community, and are called workers.
neutral |1. Not engaged on either side; not taking part with or assisting either of two or more contending parties; neuter; indifferent. The heart can not possibly remain neutral, but constantly takes part one way or the other. Shaftesbury. 2. Neither good nor bad; of medium quality; middling; not decided or pronounced. Some things good, and some things ill, do seem, And neutral some, in her fantastic eye. Sir J. Davies. 3. (Biol.)  Neuter. See Neuter, a., 3. 4. (Chem.)  Having neither acid nor basic properties; unable to turn red litmus blue or blue litmus red; -- said of certain salts or other compounds. Contrasted with Ant: acid, and Ant: alkaline. Neutral axis, Neutral surface (Mech.), that line or plane, in a beam under transverse pressure, at which the fibers are neither stretched nor compressed, or where the longitudinal stress is zero. See Axis. -- Neutral equilibrium (Mech.), the kind of equilibrium of a body so placed that when moved slighty it neither tends to return to its former position not depart more widely from it, as a perfect sphere or cylinder on a horizontal plane. -- Neutral salt (Chem.), a salt formed by the complete replacement of the hydrogen in an acid or base; in the former case by a positive or basic, in the latter by a negative or acid, element or radical. -- Neutral tint, a bluish gray pigment, used in water colors, made by mixing indigo or other blue some warm color. the shades vary greatly. -- Neutral vowel, the vowel element having an obscure and indefinite quality, such as is commonly taken by the vowel in many unaccented syllables. It is regarded by some as identical with the û in up, and is called also the natural vowel, as unformed by art and effort. See Guide to Pronunciation, § 17.\n\nA person or a nation that takes no part in a contest between others; one who is neutral. The neutral, as far as commerce extends, becomes a party in the war. R. G. Harper.
neutralist |A neutral; one who professes or practices neutrality. Milman.
neutrality |1. The state or quality of being neutral; the condition of being unengaged in contests between others; state of taking no part on either side; indifference. Men who possess a state of neutrality in times of public danger, desert the interest of their fellow subjects. Addison. 2. Indifference in quality; a state neither very good nor bad. [Obs.] Donne. 3. (Chem.)  The quality or state of being neutral. See Neutral, a., 4. 4. (International Law)  The condition of a nation or government which refrains from taking part, directly or indirectly, in a war between other powers. 5. Those who are neutral; a combination of neutral powers or states. Armed neutrality, the condition of a neutral power, in time of war, which holds itself ready to resist by force any aggression of either belligerent.
neutralization |1. The act or process of neutralizing, or the state of being neutralized. 2. (Chem.)  The act or process by which an acid and a base are combined in such proportions that the resulting compound is neutral. See Neutral, a., 4.
neutralize |1. To render neutral; to reduce to a state of neutrality. So here I am neutralized again. Sir W. Scott. 2. (Chem.)  To render inert or imperceptible the peculiar affinities of, as a chemical substance; to destroy the effect of; as, to neutralize an acid with a base. 3. To destroy the peculiar or opposite dispositions of; to reduce to a state of indifference inefficience; to counteract; as, to neutralize parties in government; to neutralize efforts, opposition, etc. Counter citations that neutralize each other. E. Everett.
neutralizer |One who, or that which, neutralizes; that which destroys, disguises, or renders inert the peculiar properties of a body.
neutrally |In a neutral manner; without taking part with either side; indifferently.
neutrophil |One of a group of leucocytes whose granules stain only with neutral dyes. -- Neu\"tro*phil\"ic (#), a., Neu*troph\"i*lous (#), a.
neutrophile |One of a group of leucocytes whose granules stain only with neutral dyes. -- Neu\"tro*phil\"ic (#), a., Neu*troph\"i*lous (#), a.
neuvaines |Prayers offered up for nine successive days.
nevadite |A grantitoid variety of rhyolite, common in Nevada.
neve |The upper part of a glacier, above the limit or perpetual snow. See Galcier.
neven |To name; to mention; to utter. [Obs.] As oft I heard my lord them neven. Chaucer.
