evolutionism |The theory of, or belief in, evolution. See Evolution, 6 and 7.
ex post facto |From or by an after act, or thing done afterward; in consequence of a subsequent act; retrospective. Ex post facto law, a law which operates by after enactment. The phrase is popularly applied to any law, civil or criminal, which is enacted with a retrospective effect, and with intention to produce that effect; but in its true application, as employed in American law, it relates only to crimes, and signifies a law which retroacts, by way of criminal punishment, upon that which was not a crime before its passage, or which raises the grade of an offense, or renders an act punishable in a more severe manner that it was when committed. Ex post facto laws are held to be contrary to the fundamental principles of a free government, and the States are prohibited from passing such laws by the Constitution of the United States.  Burrill.  Kent.
ex postfacto |From or by an after act, or thing done afterward; in consequence of a subsequent act; retrospective. Ex post facto law, a law which operates by after enactment. The phrase is popularly applied to any law, civil or criminal, which is enacted with a retrospective effect, and with intention to produce that effect; but in its true application, as employed in American law, it relates only to crimes, and signifies a law which retroacts, by way of criminal punishment, upon that which was not a crime before its passage, or which raises the grade of an offense, or renders an act punishable in a more severe manner that it was when committed. Ex post facto laws are held to be contrary to the fundamental principles of a free government, and the States are prohibited from passing such laws by the Constitution of the United States.  Burrill.  Kent.
ex- |. A prefix from the latin preposition, ex, akin to Gr. 'ex or 'ek signifying out of, out, proceeding from. Hence, in composition, it signifies out of, as, in exhale, exclude; off, from, or out. as in exscind; beyond, as, in excess, exceed, excel; and sometimes has a privative sense of without, as in exalbuminuos, exsanguinous. In some words, it intensifies the meaning; in others, it has little affect on the signification. It becomes ef- before f, as in effuse. The form e- occurs instead of ex- before b, d, g, l, m, n, r, and v, as in ebullient, emanate, enormous, etc. In words from the French it often appears as es-, sometimes as s- or é-; as, escape, scape, élite. Ex-, prefixed to names implying office, station, condition, denotes that the person formerly held the office, or is out of the office or condition now; as, ex-president, ex-governor, ex-mayor, ex-convict. The Greek form 'ex becomes ex in English, as in exarch; 'ek becomes ec, as in eccentric.
ex-official |Proceeding from office or authority.
ex-voto |An offering to a church in fulfillment of a vow.
exacerbate |To render more violent or bitter; to irriate; to exasperate; to imbitter, as passions or disease. Broughman.
exacerbation |1. The act rendering more violent or bitter; the state of being exacerbated or intensified in violence or malignity; as, exacerbation of passion. 2. (Med.)  A periodical increase of violence in a disease, as in remittent or continious fever; an increased energy of diseased and painful action.
exacerbescence |Increase of irritation or violence, particularly the increase of a fever or disease.
exacervation |The act of heaping up. [Obs.] Bailey.
exacinate |To remove the kernel form.
exacination |Removal of the kernel.
exact |1. Precisely agreeing with a standard, a fact, or the truth; perfectly conforming; neither exceeding nor falling short in any respect; true; correct; precise; as, the clock keeps exact time; he paid the exact debt; an exact copy of a letter; exact accounts. I took a great pains to make out the exact truth. Jowett (Thucyd. ) 2. Habitually careful to agree with a standard, a rule, or a promise; accurate; methodical; punctual; as, a man exact in observing an appointment; in my doings I was exact. \"I see thou art exact of taste.\" Milton. 3. Precisely or definitely conceived or stated; strict. An exact command, Larded with many several sorts of reason. Shak.\n\nTo demand or require authoritatively or peremptorily, as a right; to enforce the payment of, or a yielding of; to compel to yield or to furnish; hence, to wrest, as a fee or reward when none is due; -- followed by from or of before the one subjected to exaction; as, to exact tribute, fees, obedience, etc., from or of some one. He said into them, Exact no more than that which is appointed you. Luke. iii. 13. Years of servise past From grateful souls exact reward at last Dryden. My designs Exact me in another place. Massinger.\n\nTo practice exaction. [R.] The anemy shall not exact upon him. Ps. lxxxix. 22.
exacter |An exactor. [R.]
exacting |Oppressive or unreasonably severe in making demands or requiring the exact fulfillment of obligations; harsh; severe. \"A temper so exacting.\" T. Arnold -- Ex*act\"ing*ly, adv. -- Ex*act\"ing*ness, n.
exaction |1. The act of demanding with authority, and compelling to pay or yield; compulsion to give or furnish; a levying by force; a driving to compliance; as, the exaction to tribute or of obedience; hence, extortion. Take away your exactions from my people. Ezek. xlv. 9. Daily new exactions are devised. Shak. Illegal exactions of sheriffs and officials. Bancroft. 2. That which is exacted; a severe tribute; a fee, reward, or contribution, demanded or levied with severity or injustice. Daniel.
exactitude |The quality of being exact; exactness.
exactly |In an exact manner; precisely according to a rule, standard, or fact; accurately; strictly; correctly; nicely. \"Exactly wrought.\" Shak. His enemies were pleased, for he had acted exactly as their interests required. Bancroft.
exactness |1. The condition of being exact; accuracy; nicety; precision; regularity; as, exactness of jurgement or deportment. 2. Careful observance of method and conformity to truth; as, exactness in accounts or business. He had . . . that sort of exactness which would have made him a respectable antiquary. Macaulay.
exactor |One who exacts or demands by authority or right; hence, an extortioner; also, one unreasonably severe in injunctions or demands. Jer. Taylor.
exactress |A woman who is an exactor. [R.] B. Jonson.
exacuate |To whet or sharpen. [Obs.] B. Jonson. -- Ex*ac`u*a\"tion, n. [Obs.]
exaeresis |In old writers, the operations concerned in the removal of parts of the body.
exaggerate |1. To heap up; to accumulate. [Obs.] \"Earth exaggerated upon them [oaks and firs].\" Sir M. Hale. 2. To amplify; to magnify; to enlarge beyond bounds or the truth ; to delineate extravagantly ; to overstate the truth concerning. A friend exaggerates a man's virtues. Addison.
exaggerated |Enlarged beyond bounds or the truth. -- Ex*ag\"ger*a`ted*ly, adv.
exaggerating |That exaggerates; enlarging beyond bounds. -- Ex*ag\"ger*a`ting*ly, adv.
exaggeration |1. The act of heaping or piling up. [Obs.] \"Exaggeration of sand.\" Sir M. Hale. 2. The act of exaggerating; the act of doing or representing in an excessive manner; a going beyond the bounds of truth reason, or justice; a hyperbolical representation; hyperbole; overstatement. No need of an exaggeration of what they saw. I. Taylor. 3. (Paint.)  A representation of things beyond natural life, in expression, beauty, power, vigor.
exaggerative |Tending to exaggerate; involving exaggeration. \"Exaggerative language.\" Geddes. \"Exaggerative pictures.\" W. J. Linton. -- Ex*ag\"ger*a*tive*ly, adv. Carlyle.
exaggerator |One who exaggerates; one addicted to exaggeration. L. Horner.
exaggeratory |Containing, or tending to, exaggeration; exaggerative. Johnson.
exagitate |1. To stir up; to agitate. [Obs.] Arbuthnot. 2. To satirize; to censure severely. [Obs.] Hooker.
exagitation |Agitation. [Obs.] Bailey.
exalbuminous |Having no albumen about the embryo; -- said of certain seeds.
exalt |1. To raise high; to elevate; to lift up. I will exalt my throne above the stars of God. Is. xiv. 13. Exalt thy towery head, and lift thine eyes Pope. 2. To elevate in rank, dignity, power, wealth, character, or the like; to dignify; to promote; as, to exalt a prince to the throne, a citizen to the presidency. Righteousness exalteth a nation. Prov. xiv. 34. He that humbleth himself shall be exalted. Luke xiv. 11. 3. To elevate by prise or estimation; to magnify; to extol; to glorify. \"Exalt ye the Lord.\" Ps. xcix. 5. In his own grace he doth exalt himself. Shak. 4. To lift up with joy, pride, or success; to inspire with delight or satisfaction; to elate. They who thought they got whatsoever he lost were mightily exalted. Dryden. 5. To elevate the tone of, as of the voice or a musical instrument. Is. xxxvii. 23. Now Mars, she said, let Fame exalt her voice. Prior. 6. (Alchem.)  To render pure or refined; to intensify or concentrate; as, to exalt the juices of bodies. With chemic art exalts the mineral powers. Pope.
exaltate |Exercising its highest influence; -- said of a planet. [Obs.] Chaucer.
exaltation |1. The act of exalting or raising high; also, the state of being exalted; elevation. Wondering at my flight, and change To this high exaltation. Milton. 2. (Alchem.)  The refinement or subtilization of a body, or the increasing of its virtue or principal property. 3. (Astrol.)  That place of a planet in the zodiac in which it was supposed to exert its strongest influence.
exalted |Raised to lofty height; elevated; extolled; refined; dignified; sublime. Wiser far than Solomon, Of more exalted mind. Milton. Time never fails to bring every exalted reputation to a strict scrutiny. Ames. -- Ex*alt\"ed*ly, adv. -- Ex*alt\"ed*ness, n. \"The exaltedness of some minds.\" T. Gray.
exalter |One who exalts or raises to dignity.
exaltment |Exaltation. [Obs.] Barrow.
examen |Examination; inquiry. [R.] \"A critical examen of the two pieces.\" Cowper.
exametron |An hexameter. [Obs.] Chaucer.
examinable |Capable of being examined or inquired into. Bacon.
examinant |1. One who examines; an examiner. Sir W. Scott. 2. One who is to be examined. [Obs.] H. Prideaux.
examinate |A person subjected to examination. [Obs.] Bacon.
examination |1. The act of examining, or state of being examined; a careful search, investigation, or inquiry; scrutiny by study or experiment. 2. A process prescribed or assigned for testing qualification; as, the examination of a student, or of a candidate for admission to the bar or the ministry. He neglected the studies, . . . stood low at the examinations. Macaulay. Examination in chief, or Direct examination (Law), that examination which is made of a witness by a party calling him. -- Cross-examination, that made by the opposite party. -- Reëxamination, or Re-direct examination, that made by a party calling a witness, after, and upon matters arising out of, the cross- examination. Syn. -- Search; inquiry; investigation; research; scrutiny; inquisition; inspection; exploration.
examinator |An examiner. [R.] Sir T. Browne.
examine |1. To test by any appropriate method; to inspect carefully with a view to discover the real character or state of; to subject to inquiry or inspection of particulars for the purpose of obtaining a fuller insight into the subject of examination, as a material substance, a fact, a reason, a cause, the truth of a statement; to inquire or search into; to explore; as, to examine a mineral; to examine a ship to know whether she is seaworthy; to examine a proposition, theory, or question. Examine well your own thoughts. Chaucer. Examine their counsels and their cares. Shak. 2. To interrogate as in a judicial proceeding; to try or test by question; as, to examine a witness in order to elicit testimony, a student to test his qualifications, a bankrupt touching the state of his property, etc. The offenders that are to be examined. Shak. Syn. -- To discuss; debate; scrutinize; search into; investigate; explore. See Discuss.
examinee |A person examined.
examiner |One who examines, tries, or inspects; one who interrogates; an officer or person charged with the duty of making an examination; as, an examiner of students for a degree; an examiner in chancery, in the patent office, etc.
examinership |The office or rank of an examiner.
examining |Having power to examine; appointed to examine; as, an examining committee.
examplary |Serving for example or pattern; exemplary. [Obs.] Hooker.
example |1. One or a portion taken to show the character or quality of the whole; a sample; a specimen. 2. That which is to be followed or imitated as a model; a pattern or copy. For I have given you an example, that ye should do as John xiii. 15. I gave, thou sayest, the example; I led the way. Milton. 3. That which resembles or corresponds with something else; a precedent; a model. Such temperate order in so fierce a cause Doth want example. Shak. 4. That which is to be avoided; one selected for punishment and to serve as a warning; a warning. Hang him; he'll be made an example. Shak. Now these things were our examples, to the intent that we should not lust after evil things, as they also lusted. 1 Cor. x. 6. 5. An instance serving for illustration of a rule or precept, especially a problem to be solved, or a case to be determined, as an exercise in the application of the rules of any study or branch of science; as, in trigonometry and grammar, the principles and rules are illustrated by examples. Syn. -- Precedent; case; instance. -- Example, Instance. The discrimination to be made between these two words relates to cases in which we give \"instances\" or \"examples\" of things done. An instance denotes the single case then \"standing\" before us; if there be others like it, the word does not express this fact. On the contrary, an example is one of an entire class of like things, and should be a true representative or sample of that class. Hence, an example proves a rule or regular course of things; an instance simply points out what may be true only in the case presented. A man's life may be filled up with examples of the self- command and kindness which marked his character, and may present only a solitary instance of haste or severity. Hence, the word \"example\" should never be used to describe what stands singly and alone. We do, however, sometimes apply the word instance to what is really an example, because we are not thinking of the latter under this aspect, but solely as a case which \"stands before us.\" See Precedent.\n\nTo set an example for; to give a precedent for; to exemplify; to give an instance of; to instance. [Obs.] \"I may example my digression by some mighty precedent.\" Shak. Burke devoted himself to this duty with a fervid assiduity that has not often been exampled, and has never been surpassed. J. Morley.
exampleless |Without or above example. [R.]
exampler |A pattern; an exemplar. [Obs.]
exampless |Exampleless. [Wrongly formed.] B. Jonson.
exanguious |Bloodless. [Obs.] See Exsanguious. Sir T. Browne.
exangulous |Having no corners; without angles. [R.]
exanimate |1. Lifeless; dead. [R.] \"Carcasses exanimate.\" Spenser. 2. Destitute of animation; spiritless; disheartened. [R.] \"Pale . . . wretch, exanimate by love.\" Thomson.\n\nTo deprive of animation or of life. [Obs.]
exanimation |Deprivation of life or of spirits. [R.] Bailey.
exanimous |Lifeless; dead. [Obs.] Johnson.
exannulate |Having the sporangium destitute of a ring; -- said of certain genera of ferns.
exanthem |Same as Exanthema.
exanthema |An efflorescence or discoloration of the skin; an eruption or breaking out, as in measles, smallpox, scarlatina, and the like diseases; -- sometimes limited to eruptions attended with fever. Dunglison.
exanthematic |Of, relating to, or characterized by, exanthema; efflorescent; as, an exanthematous eruption.
exanthematous |Of, relating to, or characterized by, exanthema; efflorescent; as, an exanthematous eruption.
exanthesis |An eruption of the skin; cutaneous efflorescence.
exantlate |To exhaust or wear out. [Obs.] \"Seeds . . . wearied or exantlated.\" Boyle.
exantlation |Act of drawing out ; exhaustion. [Obs.] Sir T. Browne.
exarate |To plow up; also, to engrave; to write. [Obs.] Blount.
exaration |Act of plowing; also, act of writing. [Obs.] Bailey.
exarch |A viceroy; in Ravenna, the title of the viceroys of the Byzantine emperors; in the Eastern Church, the superior over several monasteries; in the modern Greek Church, a deputy of the patriarch , who visits the clergy, investigates ecclesiastical cases, etc.
exarchate |The office or the province of an exarch. Jer. Taylor.
exarillate |Having no aril; -- said of certain seeds, or of the plants producing them.
exarticulate |Having but one joint; -- said of certain insects.
exarticulation |Luxation; the dislocation of a joint. Bailey.
exasperate |Exasperated; imbittered. [Obs.] Shak. Like swallows which the exasperate dying year Sets spinning. Mrs. Browning.\n\n1. To irritate in a high degree; to provoke; to enrage; to exscite or to inflame the anger of; as, to exasperate a person or his feelings. To exsasperate them against the king of France. Addison. 2. To make grievous, or more grievous or malignant; to aggravate; to imbitter; as, to exasperate enmity. To exasperate the ways of death. Sir T. Browne. Syn. -- To irritate; provoke. See Irritate.
exasperater |One who exasperates or inflames anger, enmity, or violence.
exasperation |1. The act of exasperating or the state of being exasperated; irritation; keen or bitter anger. Extorted from him by the exasperation of his spirits. South. 2. Increase of violence or malignity; aggravation; exacerbation. \"Exasperation of the fits.\" Sir H. Wotton.
exaspidean |Having the anterior scute
exauctorate |See Exauthorate. [Obs.]
exauctoration |See Exauthoration.
exaugurate |To annul the consecration of; to secularize; to unhellow. [Obs.] Holland.
exauguration |The act of exaugurating; desecration. [Obs.]
exauthorate |To deprive of authority or office; to depose; to discharge. [Obs.] Exauthorated for their unworthiness. Jer. Taylor.
exauthoration |Deprivation of authority or dignity; degration. [Obs.] Jer. Taylor.
exauthorize |To deprive of uthority. [Obs.] Selden.\n\nTo deprive of authority. [Obs.] Selden.
excalceate |To deprive of shoes. [Obs.] Chambers.
excalceation |The act of depriving or divesting of shoes. [Obs.] Chambers.
excalfaction |A heating or warming; calefaction. [Obs.] Blount.
excalfactive |Serving to heat; warming. [Obs.] Cotgrave.
excalfactory |Heating; warming. [Obs.] Holland.
excalibur |The name of King Arthur's mythical sword. [Written also Excalibar, Excalibor, Escalibar, and Caliburn.] Tennyson.
excamb |To exchange; -- used with reference to transfers of land.
excambie |To exchange; -- used with reference to transfers of land.
excambion |Exchange; barter; -- used commonly of lands.
excambium |Exchange; barter; -- used commonly of lands.
excandescence |1. A growing hot; a white or glowing heat; incandescence. [R.] 2. Violent anger; a growing angry. [Obs.] Blount.
excandescent |White or glowing with heat. [R.] Ure.
excantation |Disenchantment by a countercharm. [Obs.] Gayton.
excarnate |To deprive or clear of flesh. Grew.
excarnation |The act of depriving or divesting of flesh; excarnification; -- opposed to incarnation.
excarnificate |To clear of flesh; to excarnate. Dr. H. More.
excarnification |The act of excarnificating or of depriving of flesh; excarnation. Johnson.
excavate |1. To hollow out; to form cavity or hole in; to make hollow by cutting, scooping, or digging; as, to excavate a ball; to excavate the earth. 2. To form by hollowing; to shape, as a cavity, or anything that is hollow; as, to excavate a canoe, a cellar, a channel. 3. (Engin.)  To dig out and remove, as earth. The material excavated was usually sand. E. L. Corthell. Excavating pump, a kind of dredging apparatus for excavating under water, in which silt and loose material mixed with water are drawn up by a pump. Knight.
excavation |1. The act of excavating, or of making hollow, by cutting, scooping, or digging out a part of a solid mass. 2. A cavity formed by cutting, digging, or scooping. \"A winding excavation.\" Glover. 3. (Engin.) (a) An uncovered cutting in the earth, in distinction from a covered cutting or tunnel. (b) The material dug out in making a channel or cavity. The delivery of the excavations at a distance of 250 feet. E. L. Corthell.
excavator |One who, or that which, excavates or hollows out; a machine, as a dredging machine, or a tool, for excavating.
excave |To excavate. [Obs.] Cockeram.
excecate |To blind. [Obs.] Cockeram.
excecation |The act of making blind. [Obs.] Bp. Richardson.
excedent |Excess. [R.]
exceed |To go beyond; to proceed beyond the given or supposed limit or measure of; to outgo; to surpass; -- used both in a good and a bad sense; as, one man exceeds another in bulk, stature, weight, power, skill, etc. ; one offender exceeds another in villainy; his rank exceeds yours. Name the time, but let it not Exceed three days. Shak. Observes how much a chintz exceeds mohair. Pope. Syn. -- To outdo; surpass; excel; transcend; outstrip; outvie; overtop.\n\n1. To go too far; to pass the proper bounds or measure. \"In our reverence to whom, we can not possibly exceed.\" Jer. Taylor. Forty stripes he may give him, and not exceed. Deut. xxv. 3. 2. To be more or greater; to be paramount. Shak.
exceedable |Capable of exceeding or surpassing. [Obs.] Sherwood.
exceeder |One who exceeds. Bp. Montagu.
exceeding |More than usual; extraordinary; more than sufficient; measureless. \"The exceeding riches of his grace.\" Eph. ii. 7. -- Ex*ceed\"ing*ness, n. [Obs.] Sir P. Sidney.\n\nIn a very great degree; extremely; exceedingly. [Archaic. It is not joined to verbs.] \"The voice exceeding loud.\" Keble. His raiment became shining, exceeding white as snow. Mark ix. 3. The Genoese were exceeding powerful by sea. Sir W. Raleigh.
exceedingly |To a very great degree; beyond what is usual; surpassingly. It signifies more than very.
excel |1. To go beyond or surpass in good qualities or laudable deeds; to outdo or outgo, in a good sense. Excelling others, these were great; Thou, greater still, must these excel. Prior. I saw that wisdom excelleth folly, as far as light excelleth darkness. Eccl. ii. 13. 2. To exceed or go beyond; to surpass. She opened; but to shut Excelled her power; the gates wide open stood. Milton.\n\nTo surpass others in good qualities, laudable actions, or acquirements; to be distinguished by superiority; as, to excel in mathematics, or classics. Unstable as water, thou shalt not excel. Gen. xlix. 4. Then peers grew proud in horsemanship t' excel. Pope.
excellence |1. The quality of being excellent; state of possessing good qualities in an eminent degree; exalted merit; superiority in virtue. Consider first that great Or bright infers not excellence. Milton. 2. An excellent or valuable quality; that by which any one excels or is eminent; a virtue. With every excellence refined. Beattie. 3. A title of honor or respect; -- more common in the form excellency. I do greet your excellence With letters of commission from the king. Shak. Syn. -- Superiority; preëminence; perfection; worth; goodness; purity; greatness.
excellency |1. Excellence; virtue; dignity; worth; superiority. His excellency is over Israel. Ps. lxviii. 34. Extinguish in men the sense of their own excellency. Hooker. 2. A title of honor given to certain high dignitaries, esp. to viceroys, ministers, and ambassadors, to English colonial governors, etc. It was formerly sometimes given to kings and princes.
excellent |1. Excelling; surpassing others in some good quality or the sum of qualities; of great worth; eminent, in a good sense; superior; as, an excellent man, artist, citizen, husband, discourse, book, song, etc.; excellent breeding, principles, aims, action. To love . . . What I see excellent in good or fair. Milton. 2. Superior in kind or degree, irrespective of moral quality; -- used with words of a bad significance. [Obs. or Ironical] \"An excellent hypocrite.\" Hume. Their sorrows are most excellent. Beau. & Fl. Syn. -- Worthy; choice; prime; valuable; select; exquisite; transcendent; admirable; worthy.\n\nExcellently; eminently; exceedingly. [Obs.] \"This comes off well and excellent.\" Shak.
excellently |1. In an excellent manner; well in a high degree. 2. In a high or superior degree; -- in this literal use, not implying worthiness. [Obs.] When the whole heart is excellently sorry. J. Fletcher.
excelsior |More lofty; still higher; ever upward.\n\nA kind of stuffing for upholstered furniture, mattresses, etc., in which curled shreds of wood are substituted for curled hair.
excentral |Out of the center.
excentric |1. Same as Eccentric, Eccentrical. 2. (Bot.)  One-sided; having the normally central portion not in the true center. Gray.
excentrical |1. Same as Eccentric, Eccentrical. 2. (Bot.)  One-sided; having the normally central portion not in the true center. Gray.
excentricity |. (Math.) Same as Eccentricity.
except |1. To take or leave out (anything) from a number or a whole as not belonging to it; to exclude; to omit. Who never touched The excepted tree. Milton. Wherein (if we only except the unfitness of the judge) all other things concurred. Bp. Stillingfleet. 2. To object to; to protest against. [Obs.] Shak.\n\nTo take exception; to object; -- usually followed by to, sometimes by against; as, to except to a witness or his testimony. Except thou wilt except against my love. Shak.\n\nWith exclusion of; leaving or left out; excepting. God and his Son except, Created thing naught valued he nor . . . shunned. Milton. Syn. -- Except, Excepting, But, Save, Besides. Excepting, except, but, and save are exclusive. Except marks exclusion more pointedly. \"I have finished all the letters except one,\" is more marked than \"I have finished all the letters but one.\" Excepting is the same as except, but less used. Save is chiefly found in poetry. Besides (lit., by the side of) is in the nature of addition. \"There is no one here except or but him,\" means, take him away and there is nobody present. \"There is nobody here besides him,\" means, hi is present and by the side of, or in addition to, him is nobody. \"Few ladies, except her Majesty, could have made themselves heard.\" In this example, besides should be used, not except.\n\nUnless; if it be not so that. And he said, I will not let thee go, except thou bless me. Gen. xxxii. 26. But yesterday you never opened lip, Except, indeed, to drink. Tennyson. Note: As a conjunction unless has mostly taken the place of except.
exceptant |Making exception.
excepting |, but properly a participle. With rejection or exception of; excluding; except. \"Excepting your worship's presence.\" Shak. No one was ever yet made utterly miserable, excepting by himself. Lubbock.
exception |1. The act of excepting or excluding; exclusion; restriction by taking out something which would otherwise be included, as in a class, statement, rule. 2. That which is excepted or taken out from others; a person, thing, or case, specified as distinct, or not included; as, almost every general rule has its exceptions. Such rare exceptions, shining in the dark, Prove, rather than impeach, the just remark. Cowper. Note: Often with to. That proud exception to all nature's laws. Pope. 3. (Law)  An objection, oral or written, taken, in the course of an action, as to bail or security; or as to the decision of a judge, in the course of a trail, or in his charge to a jury; or as to lapse of time, or scandal, impertinence, or insufficiency in a pleading; also, as in conveyancing, a clause by which the grantor excepts something before granted. Burrill. 4. An objection; cavil; dissent; disapprobation; offense; cause of offense; -- usually followed by to or against. I will never answer what exceptions they can have against our account [relation]. Bentley. He . . . took exception to the place of their burial. Bacon. She takes exceptions at your person. Shak. Bill of exceptions (Law), a statement of exceptions to the decision, or instructions of a judge in the trial of a cause, made for the purpose of putting the points decided on record so as to bring them before a superior court or the full bench for review.
exceptionable |Liable to exception or objection; objectionable. -- Ex*cep\"tion*a*ble*ness, n. This passage I look upon to be the most exceptionable in the whole poem. Addison.
exceptional |Forming an exception; not ordinary; uncommon; rare; hence, better than the average; superior. Lyell. This particular spot had exceptional advantages. Jowett (Th. ) -- Ex*cep\"tion*al*ly(#), adv.
exceptioner |One who takes exceptions or makes objections. [Obs.] Milton.
exceptionless |Without exception. A universal, . . . exceptionless disqualification. Bancroft.
exceptious |Disposed or apt to take exceptions, or to object; captious. [Obs.] At least effectually silence the doubtful and exceptious. South. -- Ex*cep\"tious*ness, n. [Obs.] Barrow.
exceptive |That excepts; including an exception; as, an exceptive proposition. I. Watts. A particular and exceptive law. Milton.
exceptless |Not exceptional; usual. [Obs.] My general and exceptless rashness. Shak.
exceptor |One who takes exceptions. T. Burnet.
excerebration |The act of removing or beating out the brains.
excerebrose |Brainless. [R.]
excern |To excrete; to throw off through the pores; as, fluids are excerned in perspiration. [R.] Bacon.
excernent |Connected with, or pertaining to, excretion.
excerp |To pick out. [Obs.] Hales.
excerpt |To select; to extract; to cite; to quote. Out of which we have excerpted the following particulars. Fuller.\n\nAn extract; a passage selected or copied from a book or record.
excerption |1. The act of excerpting or selecting. [R.] 2. That which is selected or gleaned; an extract. [R.] His excerptions out of the Fathers. Fuller.
excerptive |That excerpts, selects, or chooses. D. L. Mackenzie.
excerptor |One who makes excerpts; a picker; a culler.
excess |1. The state of surpassing or going beyond limits; the being of a measure beyond sufficiency, necessity, or duty; that which exceeds what is usual or prover; immoderateness; superfluity; superabundance; extravagance; as, an excess of provisions or of light. To gild refined gold, to paint the lily, To throw a perfume on the violet, . . . Is wasteful and ridiculous excess. Shak. That kills me with excess of grief, this with excess of joy. Walsh. 2. An undue indulgence of the appetite; transgression of proper moderation in natural gratifications; intemperance; dissipation. Be not drunk with wine, wherein is excess. Eph. v. 18. Thy desire . . . leads to no excess That reaches blame. Milton. 3. The degree or amount by which one thing or number exceeds another; remainder; as, the difference between two numbers is the excess of one over the other. Spherical excess (Geom.), the amount by which the sum of the three angles of a spherical triangle exceeds two right angles. The spherical excess is proportional to the area of the triangle.
excessive |Characterized by, or exhibiting, excess; overmuch. Excessive grief [is] the enemy to the living. Shak. Syn. -- Undue; exorbitant; extreme; overmuch; enormous; immoderate; monstrous; intemperate; unreasonable. See Enormous --Ex*cess*ive*ly, adv. -Ex*cess\"ive*ness, n.
