whobub |Hubbub. [Obs.] Beau. & Fl.
wide |1. Having considerable distance or extent between the sides; spacious across; much extended in a direction at right angles to that of length; not narrow; broad; as, wide cloth; a wide table; a wide highway; a wide bed; a wide hall or entry. The chambers and the stables weren wyde. Chaucer. Wide is the gate . . . that leadeth to destruction. Matt. vii. 18. 2. Having a great extent every way; extended; spacious; broad; vast; extensive; as, a wide plain; the wide ocean; a wide difference. \"This wyde world.\" Chaucer. For sceptered cynics earth were far too wide a den. Byron. When the wide bloom, on earth that lies, Seems of a brighter world than ours. Bryant. 3. Of large scope; comprehensive; liberal; broad; as, wide views; a wide understanding. Men of strongest head and widest culture. M. Arnold. 4. Of a certain measure between the sides; measuring in a direction at right angles to that of length; as, a table three feet wide. 5. Remote; distant; far. The contrary being so wide from the truth of Scripture and the attributes of God. Hammond. 6. Far from truth, from propriety, from necessity, or the like. \"Our wide expositors.\" Milton. It is far wide that the people have such judgments. Latimer. How wide is all this long pretense ! Herbert. 7. On one side or the other of the mark; too far side-wise from the mark, the wicket, the batsman, etc. Surely he shoots wide on the bow hand. Spenser. I was but two bows wide. Massinger. 8. (Phon.)  Made, as a vowel, with a less tense, and more open and relaxed, condition of the mouth organs; -- opposed to primary as used by Mr. Bell, and to narrow as used by Mr. Sweet. The effect, as explained by Mr. Bell, is due to the relaxation or tension of the pharynx; as explained by Mr. Sweet and others, it is due to the action of the tongue. The wide of e (eve) is î (îll); of a (ate) is ê (ênd), etc. See Guide to Pronunciation, § 13-15. Note: Wide is often prefixed to words, esp. to participles and participial adjectives, to form self-explaining compounds; as, wide- beaming, wide-branched, wide-chopped, wide-echoing, wide-extended, wide-mouthed, wide-spread, wide-spreading, and the like. Far and wide. See under Far. -- Wide gauge. See the Note under Cauge, 6.\n\n1. To a distance; far; widely; to a great distance or extent; as, his fame was spread wide. [I] went wyde in this world, wonders to hear. Piers Plowman. 2. So as to leave or have a great space between the sides; so as to form a large opening. Shak. 3. So as to be or strike far from, or on one side of, an object or purpose; aside; astray.\n\n1. That which is wide; wide space; width; extent. \"The waste wide of that abyss.\" Tennyson. 2. That which goes wide, or to one side of the mark.
wide-angle |Having or covering an angle wider than the ordinary; -- applied to certain lenses of relatively short focus. Lenses for ordinary purposes have an angle of 50º or less. Wide-angle lenses may cover as much as 100º and are useful for photographing at short range, but the pictures appear distorted.
wide-awake |Fully awake; not Dickens.\n\nA broad-brimmed, low-crowned felt hat.
widegap |The angler; -- called also widegab, and widegut.
widely |1. In a wide manner; to a wide degree or extent; far; extensively; as, the gospel was widely disseminated by the apostles. 2. Very much; to a great degree or extent; as, to differ widely in opinion.
widen |To make wide or wider; to extend in breadth; to increase the width of; as, to widen a field; to widen a breach; to widen a stocking.\n\nTo grow wide or wider; to enlarge; to spread; to extend. Arches widen, and long aisles extend. Pope.
wideness |1. The quality or state of being wide; breadth; width; great extent from side to side; as, the wideness of a room. \"I landed in a small creek about the wideness of my canoe.\" Swift. 2. Large extent in all directions; broadness; greatness; as, the wideness of the sea or ocean.
widespread |Spread to a great distance; widely extended; extending far and wide; as, widespread wings; a widespread movement.
widewhere |Widely; far and wide. [Obs.] Chaucer.
widgeon |Any one of several species of fresh-water ducks, especially those belonging to the subgenus Mareca, of the genus Anas. The common European widgeon (Anas penelope) and the American widgeon (A. Americana) are the most important species. The latter is called also baldhead, baldpate, baldface, baldcrown, smoking duck, wheat, duck, and whitebelly. Bald-faced, or Green-headed, widgeon, the American widgeon. -- Black widgeon, the European tufted duck. -- Gray widgeon. (a) The gadwall. (b) The pintail duck. -- Great headed widgeon, the poachard. -- Pied widgeon. (a) The poachard. (b) The goosander. Saw-billed widgeon, the merganser. -- Sea widgeon. See in the Vocabulary. -- Spear widgeon, the goosander. [Prov. Eng.] -- Spoonbilled widgeon, the shoveler. -- White widgeon, the smew. -- Wood widgeon, the wood duck.
widish |Moderately wide. Tyndall.
widmanstaetten figures |Certain figures appearing on etched meteoric iron; -- so called after A. B. Widmanstätten, of Vienna, who first described them in 1808. See the Note and Illust. under Meteorite.
widmanstatten figures |Certain figures appearing on etched meteoric iron; -- so called after A. B. Widmanstätten, of Vienna, who first described them in 1808. See the Note and Illust. under Meteorite.
widow |A woman who has lost her husband by death, and has not married again; one living bereaved of a husband. \"A poor widow.\" Chaucer. Grass widow. See under Grass. -- Widow bewitched, a woman separated from her husband; a grass widow. [Colloq.] Widow-in-mourning (Zoöl.), the macavahu. -- Widow monkey (Zoöl.), a small South American monkey (Callithrix lugens); -- so called on account of its color, which is black except the dull whitish arms, neck, and face, and a ring of pure white around the face. -- Widow's chamber (Eng. Law), in London, the apparel and furniture of the bedchamber of the widow of a freeman, to which she was formerly entitled.\n\nWidowed. \"A widow woman.\" 1 Kings xvii. 9. \"This widow lady.\" Shak.\n\n1. To reduce to the condition of a widow; to bereave of a husband; -- rarely used except in the past participle. Though in thus city he Hath widowed and unchilded many a one, Which to this hour bewail the injury. Shak. 2. To deprive of one who is loved; to strip of anything beloved or highly esteemed; to make desolate or bare; to bereave. The widowed isle, in mourning, Dries up her tears. Dryden. Tress of their shriveled fruits Are widowed, dreary storms o'er all prevail. J. Philips. Mourn, widowed queen; forgotten Sion, mourn. Heber. 3. To endow with a widow's right. [R.] Shak. 4. To become, or survive as, the widow of. [Obs.] Let me be married to three kings in a forenoon, and widow them all. Shak.
widow bird |See Whidan bird.
widow-hunter |One who courts widows, seeking to marry one with a fortune. Addison.
widow-maker |One who makes widows by destroying husbands. [R.] Shak.
widow-wail |A low, narrowleaved evergreen shrub (Cneorum tricoccon) found in Southern Europe.
widower |A man who has lost his wife by death, and has not married again. Shak.
widowerhood |The state of being a widower.
widowhood |1. The state of being a widow; the time during which a woman is widow; also, rarely, the state of being a widower. Johnson clung to her memory during a widowhood of more than thirty years. Leslie Stephen. 2. Estate settled on a widow. [Obs.] \"I 'll assure her of her widowhood . . . in all my lands.\" Shak.
widowly |Becoming or like a widow.
width |The quality of being wide; extent from side to side; breadth; wideness; as, the width of cloth; the width of a door.
widual |Of or pertaining to a widow; vidual. [Obs.] Bale.
widwe |A widow. [Obs.] Chaucer.
wield |1. To govern; to rule; to keep, or have in charge; also, to possess. [Obs.] When a strong armed man keepeth his house, all things that he wieldeth ben in peace. Wyclif (Luke xi. 21). Wile [ne will] ye wield gold neither silver ne money in your girdles. Wyclif (Matt. x. 9.) 2. To direct or regulate by influence or authority; to manage; to control; to sway. The famous orators . . . whose resistless eloquence Wielded at will that fierce democraty. Milton. Her newborn power was wielded from the first by unprincipled and ambitions men. De Quincey. 3. To use with full command or power, as a thing not too heavy for the holder; to manage; to handle; hence, to use or employ; as, to wield a sword; to wield the scepter. Base Hungarian wight! wilt thou the spigot wield! Shak. Part wield their arms, part curb the foaming steed. Milton. Nothing but the influence of a civilized power could induce a savage to wield a spade. S. S. Smith. To wield the scepter, to govern with supreme command.
wieldable |Capable of being wielded.
wieldance |The act or power of wielding. [Obs.] \"Our weak wieldance.\" Bp. Hall.
wielder |One who wields or employs; a manager; a controller. A wielder of the great arm of the war. Milton.
wielding |Power; authority; rule. [Obs.] To have them in your might and in your wielding. Chaucer.
wieldless |Not to be wielded; unmanageable; unwieldy. [R.] \"Wieldless might.\" Spenser.
wieldsome |Admitting of being easily wielded or managed. [Obs.] Golding.
wieldy |Capable of being wielded; manageable; wieldable; -- opposed to unwieldy. [R.] Johnson.
wiener schnitzel |A veal cutlet variously seasoned garnished, often with lemon, sardines, and capers.
wier |Same as Weir.
wierangle |Same as Wariangle. [Obs. or Prov. Eng.]
wiery |Wet; moist; marshy. [Obs.]\n\nWiry. [Obs.] \"Wiery gold.\" Peacham.
wife |1. A woman; an adult female; -- now used in literature only in certain compounds and phrases, as alewife, fishwife, goodwife, and the like. \" Both men and wives.\" Piers Plowman. On the green he saw sitting a wife. Chaucer. 2. The lawful consort of a man; a woman who is united to a man in wedlock; a woman who has a husband; a married woman; -- correlative of husband. \" The husband of one wife.\" 1 Tin. iii. 2. Let every one you . . . so love his wife even as himself, and the wife see that she reverence her husband. Eph. v. 33. To give to wife, To take to wife, to give or take (a woman) in marriage. -- Wife's equity (Law), the equitable right or claim of a married woman to a reasonable and adequate provision, by way of settlement or otherwise, out of her choses in action, or out of any property of hers which is under the jurisdiction of the Court of Chancery, for the support of herself and her children. Burrill.
wifehood |1. Womanhood. [Obs.] Chaucer. 2. The state of being a wife; the character of a wife.
wifeless |Without a wife; unmarried. Chaucer.
wifelike |Of, pertaining to, or like, a wife or a woman. \" Wifelike government.\" Shak.
wifely |Becoming or life; of or pertaining to a wife. \"Wifely patience.\" Chaucer. With all the tenderness of wifely love. Dryden.
wig |1. A covering for the head, consisting of hair interwoven or united by a kind of network, either in imitation of the natural growth, or in abundant and flowing curls, worn to supply a deficiency of natural hair, or for ornament, or according to traditional usage, as a part of an official or professional dress, the latter especially in England by judges and barristers. 2. An old seal; -- so called by fishermen. Wig tree. (Bot.) See Smoke tree, under Smoke.\n\nTo censure or rebuke; to hold up to reprobation; to scold. [Slang]\n\nA kind of raised seedcake. \"Wiggs and ale.\" Pepys.
wigan |A kind of canvaslike cotton fabric, used to stiffen and protect the lower part of trousers and of the skirts of women's dresses, etc.; -- so called from Wigan, the name of a town in Lancashire, England.
wigeon |A widgeon. [R.]
wigg |A kind of raised seedcake. \"Wiggs and ale.\" Pepys.
wigged |, a. Having the head covered with a wig; wearing a wig.
wiggery |1. A wig or wigs; false hair. [R.] A. Trollope. 2. Any cover or screen, as red-tapism. [R.] Fire peels the wiggeries away from them [facts.] Carlyle.
wiggle |To move to and fro with a quick, jerking motion; to bend rapidly, or with a wavering motion, from side to side; to wag; to squirm; to wriggle; as, the dog wiggles his tail; the tadpole wiggles in the water. [Prov. Eng. & Colloq. U. S.]\n\nAct of wiggling; a wriggle. [Colloq.]
wiggler |The young, either larva or pupa, of the mosquito; -- called also wiggletail.
wigher |To neigh; to whinny. [Obs.] Beau. & Fl.
wight |Weight. [Obs.]\n\n1. A whit; a bit; a jot. [Obs.] She was fallen asleep a little wight. Chaucer. 2. A supernatural being. [Obs.] Chaucer. 3. A human being; a person, either male or female; -- now used chiefly in irony or burlesque, or in humorous language. \"Worst of all wightes.\" Chaucer. Every wight that hath discretion. Chaucer. Oh, say me true if thou wert mortal wight. Milton.\n\nSwift; nimble; agile; strong and active. [Obs. or Poetic] 'T is full wight, God wot, as is a roe. Chaucer. He was so wimble and so wight. Spenser. They were Night and Day, and Day and Night, Pilgrims wight with steps forthright. Emerson.
wightly |Swiftly; nimbly; quickly. [Obs.]
wigless |Having or wearing no wig.
wigwag |To signal by means of a flag waved from side to side according to a code adopted for the purpose. [Colloq.]
wigwam |An Indian cabin or hut, usually of a conical form, and made of a framework of poles covered with hides, bark, or mats; -- called also tepee. [Sometimes written also weekwam.] Very spacious was the wigwam, Made of deerskin dressed and whitened, With the gods of the Dacotahs Drawn and painted on its curtains. Longfellow. Note: \"The wigwam, or Indian house, of a circular or oval shape, was made of bark or mats laid over a framework of branches of trees stuck in the ground in such a manner as to converge at the top, where was a central aperture for the escape of smoke from the fire beneath. The better sort had also a lining of mats. For entrance and egress, two low openings were left on opposite sides, one or the other of which was closed with bark or mats, according to the direction of the wind.\" Palfrey.
wike |A temporary mark or boundary, as a bough of a tree set up in marking out or dividing anything, as tithes, swaths to be mowed in common ground, etc.; -- called also wicker. [Prov. Eng.]\n\nA home; a dwelling. [Obs. or Prov. Eng.]
wikiup |The hut used by the nomadic Indian tribes of the arid regions of the west and southwest United States, typically elliptical in form, with a rough frame covered with reed mats or grass or brushwood.
wikke |Wicked. [Obs.] Chaucer.
