peevishness |The quality of being peevish; disposition to murmur; sourness of temper. Syn. -- See Petulance.
pell |To pelt; to knock about. [Obs.] Holland.\n\n1. A skin or hide; a pelt. 2. A roll of parchment; a parchment record. Clerk of the pells, formerly, an officer of the exchequer who entered accounts on certain parchment rolls, called pell rolls. [Eng.]
pell-mell |See Pall-mall.
pellack |A porpoise.
pellage |A customs duty on skins of leather.
pellagra |An erythematous affection of the skin, with severe constitutional and nervous symptoms, endemic in Northern Italy.
pellagrin |One who is afficted with pellagra. Chambers's Encyc.
pellagrous |Pertaining to, or affected with, or attendant on, pellagra; as, pellagrous insanity.
pellet |1. A little ball; as, a pellet of wax . 2. A bullet; a ball for firearms. [Obs.] Bacon. As swift as a pellet out of a gun. Chaucer. Pellet molding (Arch.), a narrow band ornamented with smalt, flat disks.\n\nTo form into small balls. [Obs.] Shak.
pelleted |Made of, or like, pellets; furnished with pellets. [R.] \"This pelleted storm.\" Shak.
pellibranchiata |A division of Nudibranchiata, in which the mantle itself serves as a gill.
pellicle |1. A thin skin or film. 2. (Chem.)  A thin film formed on the surface of an evaporating solution.
pellicular |Of or pertaining to a pellicle. Henslow.
pellile |The redshank; -- so called from its note. [Prov. Eng.]
pellitory |The common name of the several species of the genus Parietaria, low, harmless weeds of the Nettle family; -- also called wall pellitory, and lichwort. Note: Parietaria officinalis is common on old walls in Europe; P.Pennsylvanica is found in the United States; and six or seven more species are found near the Mediterranean, or in the Orient.\n\n(a) A composite plant (Anacyclus Pyrethrum) of the Mediterranean region, having finely divided leaves and whitish flowers. The root is the officinal pellitory, and is used as an irritant and sialogogue. Called also bertram, and pellitory of Spain. (b) The feverfew (Chrysanthemum Parthenium); -- so called because it resembles the above.
pellmell |In utter confusion; with confused violence. \"Men, horses, chariots, crowded pellmell.\" Milton.
pellucid |Transparent; clear; limpid; translucent; not opaque. \"Pellucid crystal.\" Dr. H. More. \"Pellucid streams.\" Wordsworth.
pellucidity |The quality or state of being pellucid; transparency; translucency; clearness; as, the pellucidity of the air. Locke.
pellucidly |In a pellucid manner.
pellucidness |The quality or state of being pellucid; transparency; translucency; clearness; as, the pellucidity of the air. Locke.
pelma |The under surface of the foot.
pelopium |A supposed new metal found in columbite, afterwards shown to be identical with columbium, or niobium.
peloponnesian |Of or pertaining to the Peloponnesus, or southern peninsula of Greece. -- n.  A native or an inhabitant of the Peloponnesus.
peloria |Abnormal regularity; the state of certain flowers, which, being naturally irregular, have become regular through a symmetrical repetition of the special irregularity.
peloric |Abnormally regular or symmetrical. Darwin.
pelorus |An instrument similar to a mariner's compass, but without magnetic needles, and having two sight vanes by which bearings are taken, esp. such as cannot be taken by the compass.
pelota |A Basque, Spanish, and Spanish-American game played in a court, in which a ball is struck with a wickerwork racket.
pelotage |Packs or bales of Spanish wool.
pelt |1. The skin of a beast with the hair on; a raw or undressed hide; a skin preserved with the hairy or woolly covering on it. See 4th Fell. Sir T. Browne. Raw pelts clapped about them for their clothes. Fuller. 2. The human skin. [Jocose] Dryden. 3. (Falconry)  The body of any quarry killed by the hawk. Pelt rot, a disease affecting the hair or wool of a beast.\n\n1. To strike with something thrown or driven; to assail with pellets or missiles, as, to pelt with stones; pelted with hail. The children billows seem to pelt the clouds. Shak. 2. To throw; to use as a missile. My Phillis me with pelted apples plies. Dryden.\n\n1. To throw missiles. Shak. 2. To throw out words. [Obs.] Another smothered seems to peltand swear. Shak.\n\nA blow or stroke from something thrown.
pelta |1. (Antiq.)  A small shield, especially one of an approximately elliptic form, or crescent-shaped. 2. (Bot.)  A flat apothecium having no rim.
peltate |Shield-shaped; scutiform; (Bot.) having the stem or support attached to the lower surface, instead of at the base or margin; -- said of a leaf or other organ. -- Pel\"tate*ly, adv.
peltated |Shield-shaped; scutiform; (Bot.) having the stem or support attached to the lower surface, instead of at the base or margin; -- said of a leaf or other organ. -- Pel\"tate*ly, adv.
pelter |One who pelts.\n\nA pinchpenny; a mean, sordid person; a miser; a skinflint. [Obs.] \"Let such pelters prate.\" Gascoigne.
peltier effect |The production or absorption of heat at the junction of two metals on the passage of a current. Heat generated by the passage of the current in one direction will be absorbed if the current is reversed. PELTIER'S CROSS Pel`tier's\" cross. (Elec.)  A cross formed of two strips of different metals, to illustrate the Peltier effect.
peltiform |Shieldlike, with the outline nearly circular; peltate. Henslow.
pelting |Mean; paltry. [Obs.] Shak.
pelton wheel |A form of impulse turbine or water wheel, consisting of a row of double cup-shaped buckets arranged round the rim of a wheel and actuated by one or more jets of water playing into the cups at high velocity.
peltry |Pelts or skins, collectively; skins with the fur on them; furs.
peltryware |Peltry. [Obs.]
peludo |The South American hairy armadillo (Dasypus villosus).
pelure |A crisp, hard, thin paper, sometimes used for postage stamps.
pelusiac |Of or pertaining to Pelusium, an ancient city of Egypt; as, the Pelusiac (or former eastern) outlet of the Nile.
pelvic |Of, pertaining to, or in the region of, the pelvis; as, pelvic cellulitis. Pelvic arch, or Pelvic girdle (Anat.), the two or more bony or cartilaginous pieces of the vertebrate skeleton to which the hind limbs are articulated. When fully ossified, the arch usually consists of three principal bones on each side, the ilium, ischium, and pubis, which are often closely united in the adult, forming the innominate bone. See Innominate bone, under Innominate.
pelvimeter |An instrument for measuring the dimensions of the pelvis. Coxe.
pelvimetry |The measurement of the pelvis.
pelvis |1. (Anat.)  The pelvic arch, or the pelvic arch together with the sacrum. See Pelvic arch, under Pelvic, and Sacrum. 2. (Zoöl.)  The calyx of a crinoid. Pelvis of the kidney (Anat.), the basinlike cavity into which the ureter expands as it joins the kidney.
pembroke table |A style of four-legged table in vogue in England, chiefly in the later Georgian period. The characteristic which gives a table the name of Pembroke consists in the drop leaves, which are held up, when the table is open, by brackets which turn under the top. F. C. Morse.
pemmican |1. Among the North American Indians, meat cut in thin slices, divested of fat, and dried in the sun. Then on pemican they feasted. Longfellow. 2. Meat, without the fat, cut in thin slices, dried in the sun, pounded, then mixed with melted fat and sometimes dried fruit, and compressed into cakes or in bags. It contains much nutriment in small compass, and is of great use in long voyages of exploration.
pemphigus |A somewhat rare skin disease, characterized by the development of blebs upon different part of the body. Quain.
pen |1. A feather. [Obs.] Spenser. 2. A wing. [Obs.] Milton. 3. An instrument used for writing with ink, formerly made of a reed, or of the quill of a goose or other bird, but now also of other materials, as of steel, gold, etc. Also, originally, a stylus or other instrument for scratching or graving. Graven with an iron pen and lead in the rock. Job xix. 24. 4. Fig.: A writer, or his style; as, he has a sharp pen. \"Those learned pens.\" Fuller. 5. (Zoöl.)  The internal shell of a squid. 6. Etym: [Etymol. uncertain.] (Zoöl.)  A female swan. [Prov. Eng.] Bow pen. See Bow-pen. -- Dotting pen, a pen for drawing dotted lines. -- Drawing, or Ruling, pen, a pen for ruling lines having a pair of blades between which the ink is contained. -- Fountain pen, Geometric pen. See under Fountain, and Geometric. -- Music pen, a pen having five points for drawing the five lines of the staff. -- Pen and ink, or pen-and-ink, executed or done with a pen and ink; as, a pen and ink sketch. -- Pen feather. A pin feather. [Obs.] -- Pen name. See under Name. -- Sea pen (Zoöl.), a pennatula. [Usually written sea-pen.]\n\nTo write; to compose and commit to paper; to indite; to compose; as, to pen a sonnet. \"A prayer elaborately penned.\" Milton.\n\nTo shut up, as in a pen or cage; to confine in a small inclosure or narrow space; to coop up, or shut in; to inclose. \"Away with her, and pen her up.\" Shak. Watching where shepherds pen their flocks at eve. Milton.\n\nA small inclosure; as, a pen for sheep or for pigs. My father stole two geese out of a pen. Shak.
penal |Of or pertaining to punishment, to penalties, or to crimes and offenses; pertaining to criminal jurisprudence: as: (a) Enacting or threatening punishment; as, a penal statue; the penal code. (b) Incurring punishment; subject to a penalty; as, a penalact of offense. (c) Inflicted as punishment; used as a means of punishment; as, a penal colony or settlement. \"Adamantine chains and penal fire.\" Milton. Penal code (Law), a code of laws concerning crimes and offenses and their punishment. -- Penal laws, Penal statutes (Law), laws prohibited certain acts, and imposing penalties for committing them. -- Penal servitude, imprisonment with hard labor, in a prison, in lieu of transportation. [Great Brit.] -- Penal suit, Penal action (Law), a suit for penalties.
penality |The quality or state of being penal; lability to punishment. Sir T. Browne.
penalize |1. To make penal. 2. (Sport.)  To put a penalty on. See Penalty, 3. [Eng.]
penally |In a penal manner.
penalty |1. Penal retribution; punishment for crime or offense; the suffering in person or property which is annexed by law or judicial decision to the commission of a crime, offense, or trespass. Death is the penalty imposed. Milton. 2. The suffering, or the sum to be forfeited, to which a person subjects himself by covenant or agreement, in case of nonfulfillment of stipulations; forfeiture; fine. The penalty and forfeit of my bond. Shak. 3. A handicap. [Sporting Cant] Note: The term penalty is in law mostly applied to a pecuniary punishment. Bill of pains and penalties. See under Bill. -- On, or Under, penalty of, on pain of; with exposure to the penalty of, in case of transgression.
penance |1. Repentance. [Obs.] Wyclif (Luke xv. 7). 2. Pain; sorrow; suffering. [Obs.] \"Joy or penance he feeleth none.\" Chaucer. 3. (Eccl.)  A means of repairing a sin committed, and obtaining pardon for it, consisting partly in the performance of expiatory rites, partly in voluntary submission to a punishment corresponding to the transgression. Penance is the fourth of seven sacraments in the Roman Catholic Church. Schaff-Herzog Encyc. And bitter penance, with an iron whip. Spenser. Quoth he, \"The man hath penance done, And penance more will do.\" Coleridge.\n\nTo impose penance; to punish. \"Some penanced lady elf.\" Keats.
penanceless |Free from penance. [R.]
penang lawyer |A kind of walking stick made from the stem of an East Asiatic palm (Licuala acutifida).
penang nut |The betel nut. Balfour (Cyc. of India).
penannular |Nearly annular; having nearly the form of a ring. \"Penannular relics.\" D. Wilson.
penary |Penal. [Obs.] Gauden.
penates |The household gods of the ancient Romans. They presided over the home and the family hearth. See Lar.
penaunt |A penitent. [Obs.] Chaucer.
pence |pl. of Penny. See Penny.
pencel |A small, narrow flag or streamer borne at the top of a lance; - - called also pennoncel. [Obs.] Piers Plowman. Chaucer.
penchant |Inclination; decided taste; bias; as, a penchant for art.
penchute |See Penstock.
pencil |1. A small, fine brush of hair or bristles used by painters for laying on colors. With subtile pencil depainted was this storie. Chaucer. 2. A slender cylinder or strip of black lead, colored chalk, slate etc., or such a cylinder or strip inserted in a small wooden rod intended to be pointed, or in a case, which forms a handle, -- used for drawing or writing. See Graphite. 3. Hence, figuratively, an artist's ability or peculiar manner; also, in general, the act or occupation of the artist, descriptive writer, etc. 4. (Opt.)  An aggregate or collection of rays of light, especially when diverging from, or converging to, a point. 5. (Geom.)  A number of lines that intersect in one point, the point of intersection being called the pencil point. 6. (Med.)  A small medicated bougie. Pencil case, a holder for pencil lead. -- Pencil flower (Bot.), an American perennial leguminous herb (Stylosanthes elatior). -- Pencil lead, a slender rod of black lead, or the like, adapted for insertion in a holder.\n\nTo write or mark with a pencil; to paint or to draw. Cowper. Where nature pencils butterflies on flowers. Harte.
penciled |1. Painted, drawn, sketched, or marked with a pencil. 2. Radiated; having pencils of rays. 3. (Nat. Hist.)  Marked with parallel or radiating lines.
penciling |1. The work of the pencil or bruch; as, delicate penciling in a picture. 2. (Brickwork)  Lines of white or black paint drawn along a mortar joint in a brick wall. Knight.
pencillate |Shaped like a pencil; penicillate.
pencillated |Shaped like a pencil; penicillate.
pencraft |1. Penmanship; skill in writing; chirography. 2. The art of composing or writing; authorship. I would not give a groat for that person's knowledge in pencraft. S
pend |Oil cake; penock. [India]\n\n1. To hang; to depend. [R.] Pending upon certain powerful motions. I. Taylor. 2. To be undecided, or in process of adjustment.\n\nTo pen; to confine. [R.] ended within the limits . . . of Greece. Udall.
pendant |1. Something which hangs or depends; something suspended; a hanging appendage, especially one of an ornamental character; as to a chandelier or an eardrop; also, an appendix or addition, as to a book. Some hang upon the pendants of her ear. Pope. Many . . . have been pleased with this work and its pendant, the Tales and Popular Fictions. Keightley. 2. (Arch.)  A hanging ornament on roofs, ceilings, etc., much used in the later styles of Gothic architecture, where it is of stone, and an important part of the construction. There are imitations in plaster and wood, which are mere decorative features. \"[A bridge] with . . . pendants graven fair.\" Spenser. 3. (Fine Arts)  One of a pair; a counterpart; as, one vase is the pendant to the other vase. 4. A pendulum. [Obs.] Sir K. Digby. 5. The stem and ring of a watch, by which it is suspended. [U.S.] Knight. Pendant post (Arch.), a part of the framing of an open timber roof; a post set close against the wall, and resting upon a corbel or other solid support, and supporting the ends of a collar beam or any part of the roof.
pendence |Slope; inclination. [Obs.] Sir H. Wotton.
pendency |1. The quality or state of being pendent or suspended. 2. The quality or state of being undecided, or in continuance; suspense; as, the pendency of a suit. Ayliffe.
pendent |1. Supported from above; suspended; depending; pendulous; hanging; as, a pendent leaf. \"The pendent world.\" Shak. Often their tresses, when shaken, with pendent icicles tinkle. Longfellow. 2. Jutting over; projecting; overhanging. \"A vapor sometime like a . . . pendent rock.\" Shak.
pendentive |(a) The portion of a vault by means of which the square space in the middle of a building is brought to an octagon or circle to receive a cupola. (b) The part of a groined vault which is supported by, and springs from, one pier or corbel.
pendently |In a pendent manner.
pendice |A sloping roof; a lean-to; a penthouse. [Obs.] Fairfax.
pendicle |An appendage; something dependent on another; an appurtenance; a pendant. Sir W. Scott.
pendicler |An inferior tenant; one who rents a pendicle or croft. [Scot.] Jamieson.
pending |Not yet decided; in continuance; in suspense; as, a pending suit.\n\nDuring; as, pending the trail.
pendragon |A chief leader or a king; a head; a dictator; -- a title assumed by the ancient British chiefs when called to lead other chiefs. The dread Pendragon, Britain's king of kings. Tennyson.
pendular |Pendulous.
pendulate |To swing as a pendulum. [R.]
pendule |A pendulum. [R.] Evelyn.
penduline |A European titmouse (Parus, or Ægithalus, pendulinus). It is noted for its elegant pendulous purselike nest, made of the down of willow trees and lined with feathers.
pendulosity |The state or quality of being pendulous. Sir T. Browne.
pendulous |1. Depending; pendent loosely; hanging; swinging. Shak. \"The pendulous round earth. Milton. 2. Wavering; unstable; doubtful. [R.] \"A pendulous state of mind.\" Atterbury. 3. (Bot.)  Inclined or hanging downwards, as a flower on a recurved stalk, or an ovule which hangs from the upper part of the ovary.
pendulously |In a pendulous manner.
pendulousness |The quality or state of being pendulous; the state of hanging loosely; pendulosity.
pendulum |A body so suspended from a fixed point as to swing freely to and fro by the alternate action of gravity and momentum. It is used to regulate the movements of clockwork and other machinery. Note: The time of oscillation of a pendulum is independent of the arc of vibration, provided this arc be small. Ballistic pendulum. See under Ballistic. -- Compensation pendulum, a clock pendulum in which the effect of changes of temperature of the length of the rod is so counteracted, usually by the opposite expansion of differene metals, that the distance of the center of oscillation from the center of suspension remains invariable; as, the mercurial compensation pendulum, in which the expansion of the rod is compensated by the opposite expansion of mercury in a jar constituting the bob; the gridiron pendulum, in which compensation is effected by the opposite expansion of sets of rodsof different metals. -- Compound pendulum, an ordinary pendulum; -- so called, as being made up of different parts, and contrasted with simple pendulum. -- Conical or Revolving, pendulum, a weight connected by a rod with a fixed point; and revolving in a horizontal cyrcle about the vertical from that point. -- Pendulum bob, the weight at the lower end of a pendulum. -- Pendulum level, a plumb level. See under Level. -- Pendulum wheel, the balance of a watch. -- Simple or Theoretical, pendulum, an imaginary pendulum having no dimensions except length, and no weight except at the center of oscillation; in other words, a material point suspended by an ideal line.
penelope |A genus of curassows, including the guans.
peneplain |A land surface reduced by erosion to the general condition of a plain, but not wholly devoid of hills; a base-level plain.
penetrability |The quality of being penetrable; susceptibility of being penetrated, entered, or pierced. Cheyne.
penetrable |Capable of being penetrated, entered, or pierced. Used also figuratively. And pierce his only penetrable part. Dryden. I am not made of stones, But penetrable to your kind entreats. Shak. -- Pen\"e*tra*ble*ness, n. -- Pen\"e*tra*bly, adv.
penetrail |Penetralia. [Obs.] Harvey.
penetralia |1. The recesses, or innermost parts, of any thing or place, especially of a temple or palace. 2. Hidden things or secrets; privacy; sanctuary; as, the sacred penetralia of the home.
penetrance |The quality or state of being penetrant; power of entering or piercing; penetrating power of quality; as, the penetrancy of subtile effluvia.
penetrancy |The quality or state of being penetrant; power of entering or piercing; penetrating power of quality; as, the penetrancy of subtile effluvia.
penetrant |Having power to enter or pierce; penetrating; sharp; subtile; as, penetrant cold. \"Penetrant and powerful arguments.\" Boyle.
penetrate |1. To enter into; to make way into the interior of; to effect an entrance into; to pierce; as, light penetrates darkness. 2. To affect profoundly through the senses or feelings; to touch with feeling; to make sensible; to move deeply; as, to penetrate one's heart with pity. Shak. The translator of Homer should penetrate himself with a sense of the plainness and directness of Homer's style. M. Arnold. 3. To pierce into by the mind; to arrive at the inner contents or meaning of, as of a mysterious or difficult subject; to comprehend; to understand. Things which here were too subtile for us to penetrate. Ray.\n\nTo pass; to make way; to pierce. Also used figuratively. Preparing to penetrate to the north and west. J. R. Green. Born where Heaven's influence scarce can penetrate. Pope. The sweet of life that penetrates so near. Daniel.
penetrating |1. Having the power of entering, piercing, or pervading; sharp; subtile; penetrative; as, a penetrating odor. 2. Acute; discerning; sagacious; quick to discover; as, a penetrating mind.
penetratingly |In a penetrating manner.
penetration |1. The act or process of penetrating, piercing, or entering; also, the act of mentally penetrating into, or comprehending, anything difficult. And to each in ward part, With gentle penetration, though unseen, Shoots invisible virtue even to the deep. Milton. A penetration into the difficulties of algebra. Watts. 2. Acuteness; insight; sharp discoverment; sagacity; as, a person of singular penetration. Walpole. Syn. -- Discernment; sagacity; acuteness; sharpness; discrimination. See Discernment, and Sagacity.
penetrative |1. Tending to penetrate; of a penetrating quality; piercing; as, the penetrative sun. His look became keen and penetrative. Hawthorne. 2. Having the power to affect or impress the mind or heart; impressive; as, penetrative shame. Shak. 3. Acute; discerning; sagacious; as, penetrative wisdom. \"The penetrative eye.\" Wordsworth. Led on by skill of penetrative soul. Grainger.
penetrativeness |The quality of being penetrative.
penfish |A squid.
penfold |See Pinfold.
pengolin |The pangolin.
penguin |1. (Zoöl.)  Any bird of the order Impennes, or Ptilopteri. They are covered with short, thick feathers, almost scalelike on the wings, which are without true quills. They are unable to fly, but use their wings to aid in diving, in which they are very expert. See King penguin, under Jackass. Note: Penguins are found in the south temperate and antarctic regions. The king penguins (Aptenodytes Patachonica, and A. longirostris) are the largest; the jackass penguins (Spheniscus) and the rock hoppers (Catarractes) congregate in large numbers at their breeding grounds. 2. (Bot.)  The egg-shaped fleshy fruit of a West Indian plant (Bromelia Pinguin) of the Pineapple family; also, the plant itself, which has rigid, pointed, and spiny-toothed leaves, and is used for hedges. [Written also pinguin.] Arctic penguin (Zoöl.), the great auk. See Auk.
penguinery |A breeding place, or rookery, of penguins.
penholder |A handle for a pen.
penhouse |A penthouse. [Obs.]
penible |Painstaking; assidous. [Obs.] Chaucer.
penicil |A tent or pledget for wounds or ulcers.
penicillate |Having the form of a pencil; furnished with a pencil of fine hairs; ending in a tuft of hairs like a camel's-hair brush, as the stigmas of some grasses.
penicilliform |Penicillate.
peninsula |A portion of land nearly surrounded by water, and connected with a larger body by a neck, or isthmus.
peninsula state |Florida; -- a nickname.
peninsular |Of or pertaining to a peninsula; as, a peninsular form; peninsular people; the peninsular war.
peninsulate |To form into a peninsula. South River . . . peninsulates Castle Hill farm. W. Bentley.
penis |The male member, or organ of generation.
penitence |The quality or condition of being penitent; the disposition of a penitent; sorrow for sins or faults; repentance; contrition. \"Penitence of his old guilt.\" Chaucer. Death is deferred, and penitenance has room To mitigate, if not reverse, the doom. Dryden. Syn. -- Repentance; contrition; compunction.
penitencer |A priest who heard confession and enjoined penance in extraordinary cases. [Written also penitenser.] [Obs.] Chaucer.
penitency |Penitence. [Obs.]
penitent |1. Feeling pain or sorrow on account of sins or offenses; repentant; contrite; sincerely affected by a sense of guilt, and resolved on amendment of life. Be penitent, and for thy fault contrite. Milton. The pound he tamed, the penitent he cheered. Dryden. 2. Doing penance. [Obs.] Shak.\n\n1. One who repents of sin; one sorrowful on account of his transgressions. 2. One under church censure, but admitted to penance; one undergoing penance. 3. One under the direction of a confessor. Note: Penitents is an appellation given to certain fraternities in Roman Catholic countries, distinguished by their habit, and employed in charitable acts.
penitential |Of or pertaining to penitence, or to penance; expressing penitence; of the nature of penance; as, the penitential book; penitential tears. \"Penitential stripes.\" Cowper. Guilt that all the penitential fires of hereafter can not cleanse. Sir W. Scott.\n\nA book formerly used by priests hearing confessions, containing rules for the imposition of penances; -- called also penitential book.
penitentially |In a penitential manner.
penitentiary |1. Relating to penance, or to the rules and measures of penance. \"A penitentiary tax.\" Abp. Bramhall. 2. Expressive of penitence; as, a penitentiary letter. 3. Used for punishment, discipline, and reformation. \"Penitentiary houses.\" Blackstone.\n\n1. One who prescribes the rules and measures of penance. [Obs.] Bacon. 2. One who does penance. [Obs.] Hammond. 3. A small building in a monastery where penitents confessed. Shpiley. 4. That part of a church to which penitents were admitted. Shipley. 5. (R. C. Ch.) (a) An office of the papal court which examines cases of conscience, confession, absolution from vows, etc., and delivers decisions, dispensations, etc. Its chief is a cardinal, called the Grand Penitentiary, appointed by the pope. (b) An officer in some dioceses since A. D. 1215, vested with power from the bishop to absolve in cases reserved to him. 6. A house of correction, in which offenders are confined for punishment, discipline, and reformation, and in which they are generally compelled to labor.
penitentiaryship |The office or condition of a penitentiary of the papal court. [R.] Wood.
