defiatory |Bidding or manifesting defiance. [Obs.] Shelford.
deflowerer |See Deflourer. Milton.
defluous |Flowing down; falling off. [Obs.] Bailey.
deflux |Downward flow. [Obs.] Bacon.
defluxion |A discharge or flowing of humors or fluid matter, as from the nose in catarrh; -- sometimes used synonymously with inflammation. Dunglison.
defly |Deftly. [Obs.] Spenser.
defoedation |Defedation. [Obs.]
defoliate |Deprived of leaves, as by their natural fall.
defoliated |Deprived of leaves, as by their natural fall.
defoliation |The separation of ripened leaves from a branch or stem; the falling or shedding of the leaves.
deforce |(a) To keep from the rightful owner; to withhold wrongfully the possession of, as of lands or a freehold. (b) (Scots Law) To resist the execution of the law; to oppose by force, as an officer in the execution of his duty. Burrill.
deforcement |(a) A keeping out by force or wrong; a wrongful withholding, as of lands or tenements, to which another has a right. (b) (Scots Law) Resistance to an officer in the execution of law. Burrill.
deforceor |Same as Deforciant. [Obs.]
deforciant |(a) One who keeps out of possession the rightful owner of an estate. (b) One against whom a fictitious action of fine was brought. [Obs.] Burrill.
deforciation |Same as Deforcement, n.
deforest |To clear of forests; to dis U. S. Agric. Reports.
deform |1. To spoil the form of; to mar in form; to misshape; to disfigure. Deformed, unfinished, sent before my time Into this breathing world. Shak. 2. To render displeasing; to deprive of comeliness, grace, or perfection; to dishonor. Above those passions that this world deform. Thomson.\n\nDeformed; misshapen; shapeless; horrid. [Obs.] Sight so deform what heart of rock could long Dry-eyed behold Milton.
deformation |1. The act of deforming, or state of anything deformed. Bp. Hall. 2. Transformation; change of shape.
deformed |Unnatural or distorted in form; having a deformity; misshapen; disfigured; as, a deformed person; a deformed head. -- De*form\"ed*ly, adv. -- De*form\"ed*ness, n.
deformer |One who deforms.
deformity |1. The state of being deformed; want of proper form or symmetry; any unnatural form or shape; distortion; irregularity of shape or features; ugliness. To make an envious mountain on my back, Where sits deformity to mock my body. Shak. 2. Anything that destroys beauty, grace, or propriety; irregularity; absurdity; gross deviation from other or the established laws of propriety; as, deformity in an edifice; deformity of character. Confounded, that her Maker's eyes Should look so near upon her foul deformities. Milton.
deforser |A deforciant. [Obs.] Blount.
defoul |1. To tread down. [Obs.] Wyclif. 2. To make foul; to defile. [Obs.] Wyclif.
defraud |To deprive of some right, interest, or property, by a deceitful device; to withhold from wrongfully; to injure by embezzlement; to cheat; to overreach; as, to defraud a servant, or a creditor, or the state; -- with of before the thing taken or withheld. We have defrauded no man. 2 Cor. vii. 2. Churches seem injured and defrauded of their rights. Hooker.
defraudation |The act of defrauding; a taking by fraud. [R.] Sir T. Browne.
defrauder |One who defrauds; a cheat; an embezzler; a peculator.
defraudment |Privation by fraud; defrauding. [Obs.] Milton.
defray |1. To pay or discharge; to serve in payment of; to provide for, as a charge, debt, expenses, costs, etc. For the discharge of his expenses, and defraying his cost, he allowed him . . . four times as much. Usher. 2. To avert or appease, as by paying off; to satisfy; as, to defray wrath. [Obs.] Spenser.
defrayal |The act of defraying; payment; as, the defrayal of necessary costs.
defrayer |One who pays off expenses.
defrayment |Payment of charges.
deft |Apt; fit; dexterous; clever; handy; spruce; neat. [Archaic or Poetic] \"The deftest way.\" Shak. \"Deftest feats.\" Gay. The limping god, do deft at his new ministry. Dryden. Let me be deft and debonair. Byron.
deftly |Aptly; fitly; dexterously; neatly. \"Deftly dancing.\" Drayton. Thyself and office deftly show. Shak.
deftness |The quality of being deft. Drayton.
defunct |Having finished the course of life; dead; deceased. \"Defunct organs.\" Shak. The boar, defunct, lay tripped up, near. Byron.\n\nA dead person; one deceased.
defunction |Death. [Obs.] After defunction of King Pharamond. Shak.
defunctive |Funereal. [Obs.] \"Defunctive music.\" Shak.
defuse |To disorder; to make shapeless. [Obs.] Shak.
defy |1. To renounce or dissolve all bonds of affiance, faith, or obligation with; to reject, refuse, or renounce. [Obs.] I defy the surety and the bond. Chaucer. For thee I have defied my constant mistress. Beau. & Fl. 2. To provoke to combat or strife; to call out to combat; to challenge; to dare; to brave; to set at defiance; to treat with contempt; as, to defy an enemy; to defy the power of a magistrate; to defy the arguments of an opponent; to defy public opinion. I once again Defy thee to the trial of mortal fight. Milton. I defy the enemies of our constitution to show the contrary. Burke.\n\nA challenge. [Obs.] Dryden.
degage |Unconstrained; easy; free. Vanbrugh. A graceful and dégagé manner. Poe.
degarnish |1. To strip or deprive of entirely, as of furniture, ornaments, etc.; to disgarnish; as, to degarnish a house, etc. [R.] 2. To deprive of a garrison, or of troops necessary for defense; as, to degarnish a city or fort. [R.] Washington.
degarnishment |The act of depriving, as of furniture, apparatus, or a garrison. [R.]
degender |To degenerate. [Obs.] \"Degendering to hate.\" Spenser. He degenereth into beastliness. Joye.
degener |To degenerate. [Obs.] \"Degendering to hate.\" Spenser. He degenereth into beastliness. Joye.
degeneracy |1. The act of becoming degenerate; a growing worse. Willful degeneracy from goodness. Tillotson. 2. The state of having become degenerate; decline in good qualities; deterioration; meanness. Degeneracy of spirit in a state of slavery. Addison. To recover mankind out of their universal corruption and degeneracy. S. Clarke.
degenerate |Having become worse than one's kind, or one's former state; having declined in worth; having lost in goodness; deteriorated; degraded; unworthy; base; low. Faint-hearted and degenerate king. Shak. A degenerate and degraded state. Milton. Degenerate from their ancient blood. Swift. These degenerate days. Pope. I had planted thee a noble vine . . . : how then art thou turned into the degenerate plant of a strange vine unto me Jer. ii. 21.\n\n1. To be or grow worse than one's kind, or than one was originally; hence, to be inferior; to grow poorer, meaner, or more vicious; to decline in good qualities; to deteriorate. When wit transgresseth decency, it degenerates into insolence and impiety. Tillotson. 2. (Biol.)  To fall off from the normal quality or the healthy structure of its kind; to become of a lower type.
degenerately |In a degenerate manner; unworthily.
degenerateness |Degeneracy.
degeneration |1. The act or state of growing worse, or the state of having become worse; decline; degradation; debasement; degeneracy; deterioration. Our degeneration and apostasy. Bates. 2. (Physiol.)  That condition of a tissue or an organ in which its vitality has become either diminished or perverted; a substitution of a lower for a higher form of structure; as, fatty degeneration of the liver. 3. (Biol.)  A gradual deterioration, from natural causes, of any class of animals or plants or any particular or organs; hereditary degradation of type. 4. The thing degenerated. [R.] Cockle, aracus, . . . and other degenerations. Sir T. Browne. Amyloid degeneration, Caseous degeneration, etc. See under Amyloid, Caseous, etc.
degenerationist |A believer in the theory of degeneration, or hereditary degradation of type; as, the degenerationists hold that savagery is the result of degeneration from a superior state.
degenerative |Undergoing or producing degeneration; tending to degenerate.
degenerous |Degenerate; base. [Obs.] \"Degenerous passions.\" Dryden. \"Degenerous practices.\" South.
degenerously |Basely. [Obs.]
degerm |To extract the germs from, as from wheat grains.
degerminator |A machine for breaking open the kernels of wheat or other grain and removing the germs.
deglaze |To remove the glaze from, as pottery or porcelain, so as to give a dull finish.
deglazing |The process of giving a dull or ground surface to glass by acid or by mechanical means. Knight.
degloried |Deprived of glory; dishonored. [Obs.] \"With thorns degloried.\" G. Fletcher.
deglutinate |To loosen or separate by dissolving the glue which unties; to unglue.
deglutination |The act of ungluing.
deglutition |The act or process of swallowing food; the power of swallowing. The muscles employed in the act of deglutition. Paley.
deglutitious |Pertaining to deglutition. [R.]
deglutitory |Serving for, or aiding in, deglutition.
degradation |1. The act of reducing in rank, character, or reputation, or of abasing; a lowering from one's standing or rank in office or society; diminution; as, the degradation of a peer, a knight, a general, or a bishop. He saw many removes and degradations in all the other offices of which he had been possessed. Clarendon. 2. The state of being reduced in rank, character, or reputation; baseness; moral, physical, or intellectual degeneracy; disgrace; abasement; debasement. The . . . degradation of a needy man of letters. Macaulay. Deplorable is the degradation of our nature. South. Moments there frequently must be, when a sidegradation of his state. Blair. 3. Diminution or reduction of strength, efficacy, or value; degeneration; deterioration. The development and degradation of the alphabetic forms can be traced. I. Taylor (The Alphabet). 4. (Geol.)  A gradual wearing down or wasting, as of rocks and banks, by the action of water, fro 5. (Biol.)  The state or condition of a species or group which exhibits degraded forms; degeneration. The degradation of the species man is observed in some of its varieties. Dana. 6. (Physiol.)  Arrest of development, or degeneration of any organ, or of the body as a whole. Degradation of energy, or Dissipation of energy (Physics), the transformation of energy into some form in which it is less available for doing work. Syn. -- Abasement; debasement; reduction; decline.
degrade |1. To reduce from a higher to a lower rank or degree; to lower in rank' to deprive of office or dignity; to strip of honors; as, to degrade a nobleman, or a general officer. Prynne was sentenced by the Star Chamber Court to be degraded from the bar. Palfrey. 2. To reduce in estimation, character, or reputation; to lessen the value of; to lower the physical, moral, or intellectual character of; to debase; to bring shame or contempt upon; to disgrace; as, vice degrades a man. O miserable mankind, to what fall Degraded, to what wretched state reserved! Milton. He pride . . . struggled hard against this degrading passion. Macaulay. 3. (Geol.)  To reduce in altitude or magnitude, as hills and mountains; to wear down. Syn. -- To abase; demean; lower; reduce. See Abase.\n\nTo degenerate; to pass from a higher to a lower type of structure; as, a family of plants or animals degrades through this or that genus or group of genera.
degraded |1. Reduced in rank, character, or reputation; debased; sunken; low; base. The Netherlands . . . were reduced practically to a very degraded condition. Motley. 2. (Biol.)  Having the typical characters or organs in a partially developed condition, or lacking certain parts. Some families of plants are degraded dicotyledons. Dana. 3. Etym: [Cf. F. degré step.] (Her.)  Having steps; -- said of a cross each of whose extremities finishes in steps growing larger as they leave the center; -- termed also on degrees.
degradement |Deprivation of rank or office; degradation. [R.] Milton.
degradingly |In a degrading manner.
degras |A semisolid emulsion produced by the treatment of certain skins with oxidized fish oil, which extracts their soluble albuminoids. It was formerly solely a by-product of chamois leather manufacture, but is now made for its own sake, being valuable as a dressing for hides.\n\nA semisolid emulsion produced by the treatment of certain skins with oxidized fish oil, which extracts their soluble albuminoids. It was formerly solely a by-product of chamois leather manufacture, but is now made for its own sake, being valuable as a dressing for hides.
degravation |The act of making heavy. [Obs.] Bailey.
degrease |To remove grease or fatty matter from, as wool or silk.
degree |1. A step, stair, or staircase. [Obs.] By ladders, or else by degree. Rom. of R. 2. One of a series of progressive steps upward or downward, in quality, rank, acquirement, and the like; a stage in progression; grade; gradation; as, degrees of vice and virtue; to advance by slow degrees; degree of comparison. 3. The point or step of progression to which a person has arrived; rank or station in life; position. \"A dame of high degree.\" Dryden. \"A knight is your degree.\" Shak. \"Lord or lady of high degree.\" Lowell. 4. Measure of advancement; quality; extent; as, tastes differ in kind as well as in degree. The degree of excellence which proclaims genius, is different in different times and different places. Sir. J. Reynolds. 5. Grade or rank to which scholars are admitted by a college or university, in recognition of their attainments; as, the degree of bachelor of arts, master, doctor, etc. Note: In the United States diplomas are usually given as the evidence of a degree conferred. In the humanities the first degree is that of bachelor of arts (B. A. or A. B.); the second that of master of arts (M. A. or A. M.). The degree of bachelor (of arts, science, divinity, law, etc.) is conferred upon those who complete a prescribed course of undergraduate study. The first degree in medicine is that of doctor of medicine (M. D.). The degrees of master and doctor are sometimes conferred, in course, upon those who have completed certain prescribed postgraduate studies, as doctor of philosophy (Ph. D.); but more frequently the degree of doctor is conferred as a complimentary recognition of eminent services in science or letters, or for public services or distinction (as doctor of laws (LL. D.) or doctor of divinity (D. D.), when they are called honorary degrees. The youth attained his bachelor's degree, and left the university. Macaulay. 5. (Genealogy)  A certain distance or remove in the line of descent, determining the proximity of blood; one remove in the chain of relationship; as, a relation in the third or fourth degree. In the 11th century an opinion began to gain ground in Italy, that third cousins might marry, being in the seventh degree according to the civil law. Hallam. 7. (Arith.)  Three figures taken together in numeration; thus, 140 is one degree, 222,140 two degrees. 8. (Algebra)  State as indicated by sum of exponents; more particularly, the degree of a term is indicated by the sum of the exponents of its literal factors; thus, a2b2c is a term of the sixth degree. The degree of a power, or radical, is denoted by its index, that of an equation by the greatest sum of the exponents of the unknown quantities in any term; thus, ax4 + bx2 = c, and mx2y2 + nyx = p, are both equations of the fourth degree. 9. (Trig.)  A 360th part of the circumference of a circle, which part is taken as the principal unit of measure for arcs and angles. The degree is divided into 60 minutes and the minute into 60 seconds. 10. A division, space, or interval, marked on a mathematical or other instrument, as on a thermometer. 11. (Mus.)  A line or space of the staff. Note: The short lines and their spaces are added degrees. Accumulation of degrees. (Eng. Univ.) See under Accumulation. -- By degrees, step by step; by little and little; by moderate advances. \"I 'll leave by degrees.\" Shak. -- Degree of a curve or surface (Geom.), the number which expresses the degree of the equation of the curve or surface in rectilinear coördinates. A straight line will, in general, meet the curve or surface in a number of points equal to the degree of the curve or surface and no more. -- Degree of latitude (Geog.), on the earth, the distance on a meridian between two parallels of latitude whose latitudes differ from each other by one degree. This distance is not the same on different parts of a meridian, on account of the flattened figure of the earth, being 68.702 statute miles at the equator, and 69.396 at the poles. -- Degree of longitude, the distance on a parallel of latitude between two meridians that make an angle of one degree with each other at the poles -- a distance which varies as the cosine of the latitude, being at the equator 69.16 statute miles. -- To a degree, to an extreme; exceedingly; as, mendacious to a degree. It has been said that Scotsmen . . . are . . . grave to a degree on occasions when races more favored by nature are gladsome to excess. Prof. Wilson.
degu |A small South American rodent (Octodon Cumingii), of the family Octodontidæ.
degum |To deprive of, or free from, gum; as, to degum ramie.
degust |To taste. [Obs.] Cockeram.
degustation |Tasting; the appreciation of sapid qualities by the taste organs. Bp. Hall.
dehisce |To gape; to open by dehiscence.
dehiscence |1. The act of gaping. 2. (Biol.)  A gaping or bursting open along a definite line of attachment or suture, without tearing, as in the opening of pods, or the bursting of capsules at maturity so as to emit seeds, etc.; also, the bursting open of follicles, as in the ovaries of animals, for the expulsion of their contents.
dehiscent |Characterized by dehiscence; opening in some definite way, as the capsule of a plant.
dehonestate |To disparage. [Obs.]
dehonestation |A dishonoring; disgracing. [Obs.] Gauden.
dehorn |To deprive of horns; to prevent the growth or the horns of (cattle) by burning their ends soon after they start. See Dishorn. \"Dehorning cattle.\" Farm Journal (1886).
dehors |Out of; without; foreign to; out of the agreement, record, will, or other instrument.\n\nAll sorts of outworks in general, at a distance from the main works; any advanced works for protection or cover. Farrow.
dehort |To urge to abstain or refrain; to dissuade. [Obs.] The apostles vehemently dehort us from unbelief. Bp. Ward. \"Exhort\" remains, but dehort, a word whose place neither \"dissuade\" nor any other exactly supplies, has escaped us. Trench.
dehortation |Dissuasion; advice against something. [R.]
dehortative |Dissuasive. [R.]
dehortatory |Fitted or designed to dehort or dissuade. Bp. Hall.
dehorter |A dissuader; an adviser to the contrary. [Obs.]
dehumanize |To divest of human qualities, such as pity, tenderness, etc.; as, dehumanizing influences.
dehusk |To remove the husk from. [Obs.] \"Wheat dehusked upon the floor.\" Drant.
dehydration |The act or process of freeing from water; also, the condition of a body from which the water has been removed.
dehydrogenate |To deprive of, or free from, hydrogen.
dehydrogenation |The act or process or freeing from hydrogen; also, the condition resulting from the removal of hydrogen.
deicide |1. The act of killing a being of a divine nature; particularly, the putting to death of Jesus Christ. [R.] Earth profaned, yet blessed, with deicide. Prior. 2. One concerned in putting Christ to death.
deictic |Direct; proving directly; -- applied to reasoning, and opposed to elenchtic or refutative.
deictically |In a manner to show or point out; directly; absolutely; definitely. When Christ spake it deictically. Hammond.
deific |Making divine; producing a likeness to God; god-making. \"A deifical communion.\" Homilies.
deifical |Making divine; producing a likeness to God; god-making. \"A deifical communion.\" Homilies.
deification |The act of deifying; exaltation to divine honors; apotheosis; excessive praise.
deified |Honored or worshiped as a deity; treated with supreme regard; godlike.
deifier |One who deifies.
deiform |1. Godlike, or of a godlike form. Dr. H. More. 2. Conformable to the will of God. [R.] Bp. Burnet.
deiformity |Likeness to deity. [Obs.]
deify |1. To make a god of; to exalt to the rank of a deity; to enroll among the deities; to apotheosize; as, Julius Cæsar was deified. 2. To praise or revere as a deity; to treat as an object of supreme regard; as, to deify money. He did again to extol and deify the pope. Bacon. 3. To render godlike. By our own spirits are we deified. Wordsworth.
deign |1. To esteem worthy; to consider worth notice; -- opposed to disdain. [Obs.] I fear my Julia would not deign my lines. Shak. 2. To condescend to give or bestow; to stoop to furnish; to vouchsafe; to allow; to grant. Nor would we deign him burial of his men. Shak.\n\nTo think worthy; to vouchsafe; to condescend; -- followed by an infinitive. O deign to visit our forsaken seats. Pope. Yet not Lord Cranstone deigned she greet. Sir W. Scott. Round turned he, as not deigning Those craven ranks to see. Macaulay. Note: In early English deign was often used impersonally. Him deyneth not to set his foot to ground. Chaucer.
deignous |Haughty; disdainful. [Obs.] Chaucer.
deil |Devil; -- spelt also deel. [Scot.] Deil's buckie. See under Buckie.
deinoceras |See Dinoceras.
deinornis |See Dinornis.
deinosaur |See Dinosaur.
deinotherium |See Dinotherium.
deintegrate |To disintegrate. [Obs.]
deinteous |Rare; excellent; costly. [Obs.] Chaucer.
deintevous |Rare; excellent; costly. [Obs.] Chaucer.
deiparous |Bearing or bringing forth a god; -- said of the Virgin Mary. [Obs.] Bailey.
deipnosophist |One of an ancient sect of philosophers, who cultivated learned conversation at meals.
deis |See Dais.
deism |The doctrine or creed of a deist; the belief or system of those who acknowledge the existence of one God, but deny revelation. Note: Deism is the belief in natural religion only, or those truths, in doctrine and practice, which man is to discover by the light of reason, independent of any revelation from God. Hence, deism implies infidelity, or a disbelief in the divine origin of the Scriptures.
deist |One who believes in the existence of a God, but denies revealed religion; a freethinker. Note: A deist, as denying a revelation, is opposed to a Christian; as, opposed to the denier of a God, whether atheist or patheist, a deist is generally denominated theist. Latham. Syn. -- See Infidel.
deistic |Pertaining to, savoring of, or consisting in, deism; as, a deistic writer; a deistical book. The deistical or antichristian scheme. I. Watts.
deistical |Pertaining to, savoring of, or consisting in, deism; as, a deistic writer; a deistical book. The deistical or antichristian scheme. I. Watts.
deistically |After the manner of deists.
deisticalness |State of being deistical.
deitate |Deified. [Obs.] Granmer.
deity |1. The collection of attributes which make up the nature of a god; divinity; godhead; as, the deity of the Supreme Being is seen in his works. They declared with emphasis the perfect deity and the perfect manhood of Christ. Milman. 2. A god or goddess; a heathen god. To worship calves, the deities Of Egypt. Milton. The Deity, God, the Supreme Being. This great poet and philosopher [Simonides], the more he contemplated the nature of the Deity, found that he waded but the more out of his depth. Addison.
deject |1. To cast down. [Obs. or Archaic] Christ dejected himself even unto the hells. Udall. Sometimes she dejects her eyes in a seeming civility; and many mistake in her a cunning for a modest look. Fuller. 2. To cast down the spirits of; to dispirit; to discourage; to dishearten. Nor think, to die dejects my lofty mind. Pope.\n\nDejected. [Obs.]
dejecta |Excrements; as, the dejecta of the sick.
dejected |Cast down; afflicted; low-spirited; sad; as, a dejected look or countenance. -- De*ject\"ed*ly, adv. -- De*ject\"ed*ness, n.
dejecter |One who casts down, or dejects.
dejection |1. A casting down; depression. [Obs. or Archaic] Hallywell. 2. The act of humbling or abasing one's self. Adoration implies submission and dejection. Bp. Pearson. 3. Lowness of spirits occasioned by grief or misfortune; mental depression; melancholy. What besides, Of sorrow, and dejection, and despair, Our frailty can sustain, thy tidings bring. Milton. 4. A low condition; weakness; inability. [R.] A dejection of appetite. Arbuthnot. 5. (Physiol.) (a) The discharge of excrement. (b) Fæces; excrement. Ray.
dejectly |Dejectedly. [Obs.]
dejectory |1. Having power, or tending, to cast down. 2. Promoting evacuations by stool. Ferrand.
dejecture |That which is voided; excrements. Arbuthnot.
dejerate |To swear solemnly; to take an oath. [Obs.] Cockeram.
dejeration |The act of swearing solemnly. [Obs.] Bp. Hall.
dejeune |A déjeuner. Take a déjeuné of muskadel and eggs. B. Jonson.
dejeuner |A breakfast; sometimes, also, a lunch or collation.
deka- |A prefix signifying ten. See Deca-.
dekabrist |A Decembrist.
dekagram |Same as Decagram.
dekaliter |Same as Decaliter.
dekameter |Same as Decameter.
dekastere |Same as Decastere.
dekle |See Deckle.
del |Share; portion; part. [Obs.] Chaucer.
