circumvolant |Flying around. The circumvolant troubles of humanity. G. Macdonald.
citizen |1. One who enjoys the freedom and privileges of a city; a freeman of a city, as distinguished from a foreigner, or one not entitled to its franchises. That large body of the working men who were not counted as citizens and had not so much as a vote to serve as an anodyne to their stomachs. G. Eliot. 2. An inhabitant of a city; a townsman. Shak. 3. A person, native or naturalized, of either sex, who owes allegiance to a government, and is entitled to reciprocal protection from it. Note: This protection is . . . national protection, recognition of the individual, in the face of foreign nations, as a member of the state, and assertion of his security and rights abroad as well as at home. Abbot 4. One who is domiciled in a country, and who is a citizen, though neither native nor naturalized, in such a sense that he takes his legal status from such country.\n\n1. Having the condition or qualities of a citizen, or of citizens; as, a citizen soldiery. 2. Of or pertaining to the inhabitants of a city; characteristic of citizens; effeminate; luxurious. [Obs.] I am not well, But not so citizen a wanton as To seem to die ere sick. Shak.
citizeness |A female citizen. [R.]
citizenship |The state of being a citizen; the status of a citizen.
citole |A musical instrument; a kind of dulcimer. [Obs.]
citraconic |Pertaining to, derived from, or having certain characteristics of, citric and aconitic acids. Citraconic acid (Chem.), a white, crystalline, deliquescent substance, C3H4(CO2H)2, obtained by distillation of citric acid. It is a compound of the ethylene series.
citrange |A citrous fruit produced by a cross between the sweet orange and the trifoliate orange (Citrus trifoliata). It is more acid and has a more pronounced aroma than the orange; the tree is hardier. There are several varieties.
citrate |A salt of citric acid.
citric |Of, pertaining to, or derived from, the citron or lemon; as, citric acid. Citric acid (Chem.), an organic acid, C3H4OH.(CO2H)3, extracted from lemons, currants, gooseberies, etc., as a white crystalline substance, having a pleasant sour taste.
citrination |The process by which anything becomes of the color of a lemon; esp., in alchemy, the state of perfection in the philosopher's stone indicated by its assuming a deep yellow color. Thynne.
citrine |Like a citron or lemon; of a lemon color; greenish yellow. Citrine ointment (Med.), a yellowish mercurial ointment, the unquentum hydrargyri nitratis.\n\nA yellow, pellucid variety of quartz.
citron |1. (Bot)  A fruit resembling a lemon, but larger, and pleasantly aromatic. The thick rind, when candied, is the citron of commerce. 2. A citron tree. 3. A citron melon. Citron melon. (a) A small variety of muskmelon with sugary greenish flesh. (b) A small variety of watermelon, whose solid white flesh is used in making sweetmeats and preserves. -- Citron tree (Bot.), the tree which bears citrons. It was probably a native of northern India, and is now understood to be the typical form of Citrus Medica.
citrus |A genus of trees including the orange, lemon, citron, etc., originally natives of southern Asia.
cittern |An instrument shaped like a lute, but strung with wire and played with a quill or plectrum. [Written also cithern.] Shak. Note: Not to be confounded with zither.
cittern-head |Blockhead; dunce; -- so called because the handle of a cittern usually ended with a carved head. Marsion
city |1. A large town. 2. A corporate town; in the United States, a town or collective body of inhabitants, incorporated and governed by a mayor and aldermen or a city council consisting of a board of aldermen and a common council; in Great Britain, a town corporate, which is or has been the seat of a bishop, or the capital of his see. A city is a town incorporated; which is, or has been, the see of a bishop; and though the bishopric has been dissolved, as at Westminster, it yet remaineth a city. Blackstone When Gorges constituted York a city, he of course meant it to be the seat of a bishop, for the word city has no other meaning in English law. Palfrey 3. The collective body of citizens, or inhabitants of a city. \"What is the city but the people\" Shak. Syn. -- See Village.\n\nOf or pertaining to a city. Shak. City council. See under Council. -- City court, The municipal court of a city. [U. S.] -- City ward, a watchman, or the collective watchmen, of a city. [Obs.] Fairfax.
cive |Same as Chive.
civet |1. A substance, of the consistence of butter or honey, taken from glands in the anal pouch of the civet (Viverra civetta). It is of clear yellowish or brownish color, of a strong, musky odor, offensive when undiluted, but agreeble when a small portion is mixed with another substance. It is used as a perfume. 2. (Zoöl)  The animal that produces civet (Viverra civetta); -- called also civet cat. It is carnivorous, from two to three feet long, and of a brownish gray color, with transverse black bands and spots on the body and tail. It is a native of northern Africa and of Asia. The name is also applied to other species.\n\nTo scent or perfume with civet. Cowper
civic |Relating to, or derived from, a city or citizen; relating to man as a member of society, or to civil affairs. Civic crown (Rom. Antiq.), a crown or garland of oak leaves and acorns, bestowed on a soldier who had saved the life of a citizen in battle.
civicism |The principle of civil government.
civics |The science of civil government.
civil |1. Pertaining to a city or state, or to a citizen in his relations to his fellow citizens or to the state; within the city or state. 2. Subject to government; reduced to order; civilized; not barbarous; -- said of the community. England was very rude and barbarous; for it is but even the other day since England grew civil. Spenser. 3. Performing the duties of a citizen; obedient to government; -- said of an individual. Civil men come nearer the saints of God than others; they come within a step or two of heaven. Preston 4. Having the manners of one dwelling in a city, as opposed to those of savages or rustics; polite; courteous; complaisant; affable. Note: \"A civil man now is one observant of slight external courtesies in the mutual intercourse between man and man; a civil man once was one who fulfilled all the duties and obligations flowing from his position as a 'civis' and his relations to the other members of that 'civitas.'\" Trench 5. Pertaining to civic life and affairs, in distinction from military, ecclesiastical, or official state. 6. Relating to rights and remedies sought by action or suit distinct from criminal proceedings. Civil action, an action to enforce the rights or redress the wrongs of an individual, not involving a criminal proceeding. -- Civil architecture, the architecture which is employed in constructing buildings for the purposes of civil life, in distinction from military and naval architecture, as private houses, palaces, churches, etc. -- Civil death. (Law.) See under Death. -- Civil engineering. See under Engineering. -- Civil law. See under Law. -- Civil list. See under List. -- Civil remedy (Law), that given to a person injured, by action, as opposed to a criminal prosecution. -- Civil service, all service rendered to and paid for by the state or nation other than that pertaining to naval or military affairs. -- Civil service reform, the substitution of business principles and methods for the spoils system in the conduct of the civil service, esp. in the matter of appointments to office. -- Civil state, the whole body of the laity or citizens not included under the military, maritime, and ecclesiastical states. -- Civil suit. Same as Civil action. -- CCivil war. See under War. -- Civil year. See under Year.
civil service commission |In the United States, a commission appointed by the President, consisting of three members, not more than two of whom may be adherents of the same party, which has the control, through examinations, of appointments and promotions in the classified civil service. It was created by act of Jan, 16, 1883 (22 Stat. 403).
civil service reform |The substitution of business principles and methods for political methods in the conduct of the civil service. esp. the merit system instead of the spoils system in making appointments to office.
civilian |1. One skilled in the civil law. Ancient civilians and writers upon government. Swift. 2. A student of the civil law at a university or college. R. Graves. 3. One whose pursuits are those of civil life, not military or clerical.
civilist |A civilian. [R.] Warbur
civility |1. The state of society in which the relations and duties of a citizen are recognized and obeyed; a state of civilization. [Obs.] Monarchies have risen from barbarrism to civility, and fallen again to ruin. Sir J. Davies. The gradual depature of all deeper signification from the word civility has obliged the creation of another word -- civilization. Trench. 2. A civil office, or a civil process [Obs.] To serve in a civility. Latimer. 3. Courtesy; politeness; kind attention; good breeding; a polite act or expression. The insolent civility of a proud man is, if possible, more shocking than his rudeness could be. Chesterfield. The sweet civilities of life. Dryden. Syn. -- Urbanity; affability; complaisance.
civilizable |Capable of being civilized.
civilization |1. The act of civilizing, or the state of being civilized; national culture; refinement. Our manners, our civilization, and all the good things connected with manners, and with civilization, have, in this European world of ours, depended for ages upon two principles -- . . . the spirit of a gentleman, and spirit of religion. Burke 2. (Law)  Rendering a criminal process civil. [Obs.]
civilize |1. To reclaim from a savage state; to instruct in the rules and customs of civilization; to educate; to refine. Yet blest that fate which did his arms dispose Her land to civilize, as to subdue. Dryden 2. To admit as suitable to a civilized state. [Obs. or R.] \"Civilizing adultery.\" Milton. Syn. -- To polish; refine; humanize.
civilized |Reclaimed from savage life and manners; instructed in arts, learning, and civil manners; refined; cultivated. Sale of conscience and duty in open market is not reconcilable with the present state of civilized society. J. Quincy.
civilizer |One who, or that which, civilizes or tends to civilize.
civily |In a civil manner; as regards civil rights and privileges; politely; courteously; in a well bred manner.
civism |State of citizenship. [R.] Dyer.
cizar |To clip with scissors. [Obs.] Beau. & Fl.
cizars |Scissors. [Obs.] Swift.
cize |Bulk; largeness. [Obs.] See Size.
clabber |Milk curdled so as to become thick.\n\nTo become clabber; to lopper.
clachan |A small village containing a church. [Scot.] Sir W. Scott Sitting at the clachon alehouse. R. L. Stevenson.
clack |1. To make a sudden, sharp noise, or a succesion of such noises, as by striking an object, or by collision of parts; to rattle; to click. We heard Mr.Hodson's whip clacking on the ahoulders of the poor little wretches. Thackeray. 2. To utter words rapidly and continually, or with abruptness; to let the tongue run.\n\n1. To cause to make a sudden, sharp noise, or succession of noises; to click. 2. To utter rapidly and inconsiderately. Feltham. To clack wool, to cut off the sheep's mark, in order to make the wool weigh less and thus yield less duty. [Eng.]\n\n1. A sharp, abrupt noise, or succession of noises, made by striking an object. 2. Anything that causes a clacking noise, as the clapper of a mill, or a clack valve. 3. Continual or importunate talk; prattle; prating. Whose chief intent is to vaunt his spiritual clack. South. Clack box (Mach.), the box or chamber in which a clack valve works. -- Clack dish, a dish with a movable lid, formerly carried by beggars, who clacked the lid to attract notice. Shak. Clack door (Mining), removable cover of the opening through which access is had to a pump valve. -- Clack valve (Mach.), a valve; esp. one hinged at one edge, which, when raised from its seat, falls with a clacking sound.
clacker |1. One who clacks; that which clacks; especially, the clapper of a mill. 2. A claqueur. See Claqueur.
clad |To clothe. [Obs.] Holland.\n\nimp. & p. p. of Clothe.
cladocera |An order of the Entomostraca. Note: They have a bivalve shell, covering the body but not the head, and from four to six pairs of legs and two pairs of antenæ, for use in swimming. They mostly inhabit fresh water.
cladophyll |A special branch, resembling a leaf, as in the apparent foliage of the broom (Ruscus) and of the common cultivated smilax (Myrsiphillum).
claggy |Adhesive; -- said of a roof in a mine to which coal clings.
claik |See Clake.\n\nThe bernicle goose; -- called also clack goose.
claim |1. To ask for, or seek to obtain, by virtue of authority, right, or supposed right; to challenge as a right; to demand as due. 2. To proclaim. [Obs.] Spenser. 3. To call or name. [Obs.] Spenser. 4. To assert; to maintain. [Colloq.]\n\nTo be entitled to anything; to deduce a right or title; to have a claim. We must know how the first ruler, from whom any one claims, came by his authority. Locke.\n\n1. A demand of a right or supposed right; a calling on another for something due or supposed to be due; an assertion of a right or fact. 2. A right to claim or demand something; a title to any debt, privilege, or other thing in possession of another; also, a title to anything which another should give or concede to, or confer on, the claimant. \"A bar to all claims upon land.\" Hallam. 3. The thing claimed or demanded; that (as land) to which any one intends to establish a right; as a settler's claim; a miner's claim. [U.S. & Australia] 4. A laoud call. [Obs.] Spenser To lay claim to, to demand as a right. \"Doth he lay claim to thine inheritance\" Shak.
claimable |Capable of being claimed.
claimant |One who claims; one who asserts a right or title; a claimer.
claimer |One who claims; a claimant.
claimless |Having no claim.
clair-obscur |See Chiaroscuro.
clairaudience |Act of hearing, or the ability to hear, sounds not normally audible; -- usually claimed as a special faculty of spiritualistic mediums, or the like.
clairaudient |Pertaining to, or characterized by, clairaudience.\n\nOne alleged to have the power of clairaudience.
claire |A small inclosed pond used for gathering and greening oysters.
clairvoyance |A power, attributed to some persons while in a mesmeric state, of discering objects not perceptible by the senses in their normal condition.
clairvoyant |Pertaining to clairvoyance; discerning objects while in a mesmeric state which are not present to the senses.\n\nOne who is able, when in a mesmeric state, to discern objects not present to the senses.
clake |The bernicle goose; -- called also clack goose.
clam |1. (Zoöl.)  A bivalve mollusk of many kinds, especially those that are edible; as, the long clam (Mya arenaria), the quahog or round clam (Venus mercenaria), the sea clam or hen clam (Spisula solidissima), and other species of the United States. The name is said to have been given originally to the Tridacna gigas, a huge East Indian bivalve. You shall scarce find any bay or shallow shore, or cove of sand, where you may not take many clampes, or lobsters, or both, at your pleasure. Capt. John Smith (1616). Clams, or clamps, is a shellfish not much unlike a coclke; it lieth under the sand. Wood (1634). 2. (Ship Carp.)  Strong pinchers or forceps. 3. pl. (Mech.)  A kind of vise, usually of wood. Blood clam. See under Blood.\n\nTo clog, as with glutinous or viscous matter. A swarm of wasps got into a honey pot, and there they cloyed and clammed Themselves till there was no getting out again. L'Estrange.\n\nTo be moist or glutinous; to stick; to adhere. [R.] Dryden\n\nClaminess; moisture. [R.] \"The clam of death.\" Carlyle.\n\nA crash or clangor made by ringing all the bells of a chime at once. Nares.\n\nTo produce, in bell ringing, a clam or clangor; to cause to clang. Nares.
clamant |Crying earnestly, beseeching clamorousky. \"Clamant children.\" Thomson.
clamation |The act of crying out. Sir T. Browne.
clamatores |A division of passerine birds in which the vocal muscles are but little developed, so that they lack the power of singing.
clamatorial |Like or pertaining to the Clamatores.
clambake |The backing or steaming of clams on heated stones, between layers of seaweed; hence, a picnic party, gathered on such an occasion.
clamber |To climb with difficulty, or with hands and feet; -- also used figuratively. The narrow street that clambered toward the mill. Tennyson.\n\nThe act of clambering. T. Moore.\n\nTo ascend by climbing with difficulty. Clambering the walls to eye him. Shak.
clamjamphrie |Low, worthless people; the rabble. [Scot.] Jamieson.
clammily |In a clammy manner. \"Oozing so clammily.\" Hood.
clamminess |State of being clammy or viscous.
clammy |Having the quality of being viscous or adhesive; soft and sticky; glutinous; damp and adhesive, as if covered with a cold perspiration.
clamor |1. A great outcry or vociferation; loud and continued shouting or exclamation. Shak. 2. Any loud and continued noise. Addison. 3. A continued expression of dissatisfaction or discontent; a popular outcry. Macaulay. Syn. -- Outcry; exclamation; noise; uproar.\n\n1. To salute loudly. [R.] The people with a shout Rifted the air, clamoring their god with praise. Milton . 2. To stun with noise. [R.] Bacon. 3. To utter loudly or repeatedly; to shout. Clamored their piteous prayer incessantly. Longfellow. To clamor bells, to repeat the strokes quickly so as to produce a loud clang. Bp. Warbur\n\nTo utter loud sounds or outcries; to vociferate; to complain; to make importunate demands. The obscure bird Clamored the livelong night. Shak.
clamorer |One who clamors.
clamorous |Speaking and repeating loud words; full of clamor; calling or demanding loudly or urgently; vociferous; noisy; bawling; loud; turbulent. \"My young ones were clamorous for a morning's excursion.\" Southey. -- Clam\"or*ous*ly, adv. -- Clam\"or*ous*ness, n.
clamp |1. Something rigid that holds fast or binds things together; a piece of wood or metal, used to hold two or more pieces together. 2. (a) An instrument with a screw or screws by which work is held in its place or two parts are temporarily held together. (b) (Joinery) A piece of wood placed across another, or inserted into another, to bind or strengthen. 3. One of a pair of movable pieces of lead, or other soft material, to cover the jaws of a vise and enable it to grasp without bruising. 4. (Shipbuilding)  A thick plank on the inner part of a ship's side, used to sustuan the ends of beams. 5. A mass of bricks heaped up to be burned; or of ore for roasting, or of coal coking. 6. A mollusk. See Clam. [Obs.] Clamp nails, nails used to fasten on clamps in ships.\n\n1. To fasten with a clamp or clamps; to apply a clamp to; to place in a clamp. 2. To cover, as vegetables, with earth. [Eng.]\n\nA heavy footstep; a tramp.\n\nTo tread heavily or clumsily; to clump. The policeman with clamping feet. Thackeray.
clamper |An instrument of iron, with sharp prongs, attached to a boot or shoe to enable the wearer to walk securely upon ice; a creeper. Kane.
clan |1. A tribe or collection of families, united under a chieftain, regarded as having the same common ancestor, and bearing the same surname; as, the clan of Macdonald. \"I have marshaled my clan.\" Campbell. 2. A clique; a sect, society, or body of persons; esp., a body of persons united by some common interest or pursuit; -- sometimes used contemptuously. Partidge and the rest of his clan may hoot me. Smolett. The whole clan of the enlightened among us. Burke.
clan-na-gael |A secret society of Irish Fenians founded in Philadelphia in 1881.
clancular |Conducted with secrecy; clandestine; concealed. [Obs.] Not close and clancular, but frank and open. Barrow.
clancularly |privately; secretly. [Obs.]
clandestine |Conducted with secrecy; withdrawn from public notice, usually for an evil purpose; kept secret; hidden; private; underhand; as, a clandestine marriage. Locke. Syn. -- Hidden; secret; private; concealed; underhand; sly; stealthy; surreptitious; furtive; fraudulent. -- Clan*des\"tine*ly, adv. -- Clan*des\"tine*ness, n.
clandestinity |Privacy or secrecy. [R.]
clang |To strike together so as to produce a ringing metallic sound. The fierce Caretes . . . clanged their sounding arms. Prior.\n\nTo give out a clang; to resound. \"Clanging hoofs.\" Tennyson.\n\n1. A loud, ringing sound, like that made by metallic substances when clanged or struck together. The broadsword's deadly clang, As if a thousand anvils rang. Sir W. Scott. 2. (Mus.)  Qualyty of tone.
clangor |A sharp, harsh, ringing sound. Dryden.
clangorous |Making a clangor; having a ringing, metallic sound.
clangous |Making a clang, or a ringing metallic sound. [Obs.]
clanjamfrie |Same as Clamjamphrie. [Scot.] Sir W. Scott.
clank |A sharp, brief, ringing sound, made by a collision of metallic or other sonorous bodies; -- usually expressing a duller or less resounding sound than clang, and a deeper and stronger sound than clink. But not in chains to pine, His spirit withered with tyeur clank. Byron.\n\nTo cause to sound with a clank; as, the prisoners clank their chains.\n\nTo sound with a clank.
clankless |Without a clank. Byreon.
clannish |Of or pertaining to a clan; closely united, like a clan; disposed to associate only with one's clan or clique; actuated by the traditions, prejudices, habits, etc., of a clan. -- Clan\"nish*ly, adv. -- Clan\"nish*ness, n.
clanship |A state of being united togheter as in a clan; an association under a chieftain.
clansman |One belonging to the same clan with another.
clap |1. To strike; to slap; to strike, or strike together, with a quick motion, so, as to make a sharp noise; as, to clap one's hands; a clapping of wings. Then like a bird it sits and sings, And whets and claps its silver wings. Marvell. 2. To thrust, drive, put, or close, in a hasty or abrupt manner; -- often followed by to, into, on, or upon. He had just time to get in and clap to the door. Locke Clap an extinguaisher upon your irony. Lamb. 3. To manifest approbation of, by striking the hands together; to applaud; as, to clap a performance. To clap hands. (a) To pledge faith by joining hands. [Obs.] Shak. (b) To express contempt or derision. [Obs.] Lam. ii. 15. To clap hold of, to seize roughly or quickly. -- To clap up. (a) To imprison hastily or without due formality. (b) To make or contrive hastily. [Obs.] \"Was ever match clapped up so suddenly\" Shak.\n\n1. To knock, as at a door. [Obs.] Chaucer. 2. To strike the hands together in applause. Their ladies bid them clap. Shak. 3. To come together suddenly with noise. The doors around me clapped. Dryden. 4. To enter with alacrity and briskness; -- with to or into. [Obs.] \"Shall we clap into it roundly, without . . . saying we are hoarse\" Shak. 5. To talk noisily; to chatter loudly. [Obs.] Chaucer.\n\n1. A loud noise made by sudden collision; a bang. \"Give the door such a clap, as you go out, as will shake the whole room.\" Swift. 2. A burst of sound; a sudden explosion. Horrible claps of thunder. Hakewill. 3. A single, sudden act or motion; a stroke; a blow. What, fifty of my followers at a clap! Shak. 4. A striking of hands to express approbation. Unextrected claps or hisses. Addison. 5. Noisy talk; chatter. [Obs.] Chaucer. 6. (Falconry)  The nether part of the beak of a hawk. Clap dish. See Clack dish, under Clack, n. -- Clap net, a net for taking birds, made to close or clap together.\n\nGonorrhea.
clapboard |1. A narrow board, thicker at one edge than at the other; -- used for weatherboarding the outside of houses. [U. S.] 2. A stave for a cask. [Eng.] Halliwell.\n\nTo cover with clapboards; as, to clapboard the sides of a house. [U. S.] Bartlett.
clapbread |Oatmeal cake or bread clapped or beaten till it is thin. [Obs.] Halliwell.
clapcake |Oatmeal cake or bread clapped or beaten till it is thin. [Obs.] Halliwell.
clape |A bird; the flicker.
clapper |1. A person who claps. 2. That which strikes or claps, as the tongue of a bell, or the piece of wood that strikes a mill hopper, etc. See Illust. of Bell. Clapper rail (Zoöl.), an Americam species of rail (Rallus scepitans).\n\nA rabbit burrow. [Obs.]
clapperclaw |1. To fight and scratch. C. Smart. 2. To abuse with the tongue; to revile; to scold.
claps |Variant of Clasp [Obs.] Chaucer.
claptrap |1. A contrivance for clapping in theaters. [Obs.] 2. A trick or device to gain applause; humbug.\n\nContrived for the purpose of making a show, or gaining applause; deceptive; unreal.
claque |A collection of persons employed to applaud at a theatrical exhibition.
claqueur |One of the claque employed to applaud at a theater.
clare |A nun of the order of St.Clare.
clare-obscure |See Chiaroscuro.
clarence |A close four-wheeled carriage, with one seat inside, and a seat for the driver.
clarenceux |See King-at-arms.
clarencieux |See King-at-arms.
clarendon |A style of type having a narrow and heave face. It is made in all sizes. Note: This line is in nonpareil Clarendon.
claret |The name firat given in England to the red wines of M
claribella |A soft, sweet stop, or set of open wood pipes in an organ.
clarichord |A musical instrument, formerly in use, in form of a spinet; -- called also manichord and clavichord.
clarification |1. The act or process of making clear or transparent, by freeing visible impurities; as, the clarification of wine. 2. The act of freeing from obscurities. The clarification of men's ideas. Whewell.
clarifier |1. That which clarifies. 2. A vessel in which the process of clarification is conducted; as, the clarifier in sugar works. Ure.
clarify |1. To make clear or bright by freeing from feculent matter; to defecate; to fine; -- said of liquids, as wine or sirup. \"Boiled and clarified.\" Ure. 2. To make clear; to free from obscurities; to brighten or illuminate. To clarify his reason, and to rectify his will. South. 3. To glorify. [Obs.] Fadir, clarifie thi name. Wyclif (John ii. 28).\n\n1. To grow or become clear or transparent; to become free from feculent impurities, as wine or other liquid under clarification. 2. To grow clear or bright; to clear up. Whosoever hath his mind fraught with many thoughts, his wits and understanding do clarify and break up in the discoursing with another. Bacon.
clarigate |To declare war with certain ceremonies. [Obs.] Holland.
clarinet |A wind instrument, blown by a single reed, of richer and fuller tone than the oboe, which has a double reed. It is the leading instrument in a military band. Note: [Often improperly called clarionet.]
clarino |A reed stop in an organ.
clarion |A kind of trumpet, whose note is clear and shrill. He sounds his imperial clarion along the whole line of battle. E. Everett.
clarionet |See Clarinet.
clarisonus |Having a clear sound. [Obs.] Ash.
claritude |Clearness; splendor. [Obs.] Beau. & Fl.
clarity |Clearness; brightness; splendor. Floods, in whose more than crystal clarity, Innumerable virgin graces row. Beaumont.
claro-obscuro |See Chiaroscuro.
clarre |Wine with a mixture of honey and species. [Obs.] Chaucer.
clart |To daub, smear, or spread, as with mud, etc. [Prov. Eng.] Halliwell.
clarty |Sticky and foul; muddy; filthy; dirty. [Prov. Eng.] Halliwell.
clary |To make a loud or shrill noise. [Obs.] Golding.\n\nA plant (Salvia sclarea) of the Sage family, used in flavoring soups. Clary water, a composition of clary flowers with brandy, etc., formerly used as a cardiac.
