mostahiba |See Mustaiba.
mother |1. A female parent; especially, one of the human race; a woman who has borne a child. 2. That which has produced or nurtured anything; source of birth or origin; generatrix. Alas! poor country! ... it can not Be called our mother, but our grave. Shak. I behold ... the solitary majesty of Crete, mother of a religion, it is said, that lived two thousand years. Landor. 3. An old woman or matron. [Familiar] 4. The female superior or head of a religious house, as an abbess, etc. 5. Hysterical passion; hysteria. [Obs.] Shak. Mother Carey's chicken (Zoöl.), any one of several species of small petrels, as the stormy petrel (Procellaria pelagica), and Leach's petrel (Oceanodroma leucorhoa), both of the Atlantic, and O. furcata of the North Pacific. -- Mother Carey's goose (Zoöl.), the giant fulmar of the Pacific. See Fulmar. -- Mother's mark (Med.), a congenital mark upon the body; a nævus.\n\nReceived by birth or from ancestors; native, natural; as, mother language; also acting the part, or having the place of a mother; producing others; originating. It is the mother falsehood from which all idolatry is derived. T. Arnold. Mother cell (Biol.), a cell which, by endogenous divisions, gives rise to other cells (daughter cells); a parent cell. -- Mother church, the original church; a church from which other churches have sprung; as, the mother church of a diocese. -- Mother country, the country of one's parents or ancestors; the country from which the people of a colony derive their origin. -- Mother liquor (Chem.), the impure or complex residual solution which remains after the salts readily or regularly crystallizing have been removed. -- Mother queen, the mother of a reigning sovereign; a queen mother. -- Mother tongue. (a) A language from which another language has had its origin. (b) The language of one's native land; native tongue. -- Mother water. See Mother liquor (above). -- Mother wit, natural or native wit or intelligence.\n\nTo adopt as a son or daughter; to perform the duties of a mother to. The queen, to have put lady Elizabeth besides the crown, would have mothered another body's child. Howell.\n\nA film or membrane which is developed on the surface of fermented alcoholic liquids, such as vinegar, wine, etc., and acts as a means of conveying the oxygen of the air to the alcohol and other combustible principles of the liquid, thus leading to their oxidation. Note: The film is composed of a mass of rapidly developing microörganisms of the genus Mycoderma, and in the mother of vinegar the microörganisms (Mycoderma aceti) composing the film are the active agents in the Conversion of the alcohol into vinegar. When thickened by growth, the film may settle to the bottom of the fluid. See Acetous fermentation, under Fermentation.\n\nTo become like, or full of, mother, or thick matter, as vinegar.
mother-in-law |The mother of one's husband or wife.
mother-naked |Naked as when born.
mother-of-pearl |The hard pearly internal layer of several kinds of shells, esp. of pearl oysters, river mussels, and the abalone shells; nacre. See Pearl.
mother-of-thyme |An aromatic plant (Thymus Serphyllum); -- called also wild thyme. MOTHER'S DAY Moth\"er's Day.  A day appointed for the honor and uplift of motherhood by the loving remembrance of each person of his mother through the performance of some act of kindness, visit, tribute, or letter. The founder of the day is Anna Jarvis, of Philadelphia, who designated the second Sunday in May, or for schools the second Friday, as the time, and a white carnation as the badge.
mothered |Thick, like mother; viscid. They oint their naked limbs with mothered oil. Dryden.
motherhood |The state of being a mother; the character or office of a mother.
mothering |A rural custom in England, of visiting one's parents on Midlent Sunday, -- supposed to have been originally visiting the mother church to make offerings at the high altar.
motherland |The country of one's ancestors; -- same as fatherland.
motherless |Destitute of a mother; having lost a mother; as, motherless children.
motherliness |The state or quality of being motherly.
motherly |Of or pertaining to a mother; like, or suitable for, a mother; tender; maternal; as, motherly authority, love, or care. Hooker. Syn. -- Maternal; paternal. -- Motherly, Maternal. Motherly, being Anglo-Saxon, is the most familiar word of the two when both have the same meaning. Besides this, maternal is confined to the feelings of a mother toward her own children, whereas motherly has a secondary sense, denoting a care like that of a mother for her offspring. There is, perhaps, a growing tendency thus to separate the two, confining motherly to the latter signification. \"They termed her the great mother, for her motherly care in cherishing her brethren whilst young.\" Sir W. Raleigh.\n\nIn a manner of a mother.
motherwort |(a) A labiate herb (Leonurus Cardiaca), of a bitter taste, used popularly in medicine; lion's tail. (b) The mugwort. See Mugwort.
mothery |Consisting of, containing, or resembling, mother (in vinegar).
mothy |Infested with moths; moth-eaten. \"An old mothy saddle.\" Shak.
motif |Motive.
motific |Producing motion. [R.]
motile |1. (Biol.)  Having powers of self-motion, though unconscious; as, the motile spores of certain seaweeds. 2. Producing motion; as, motile powers.
motility |Capability of motion; contractility.
motion |1. The act, process, or state of changing place or position; movement; the passing of a body from one place or position to another, whether voluntary or involuntary; -- opposed to rest. Speaking or mute, all comeliness and grace attends thee, and each word, each motion, forms. Milton. 2. Power of, or capacity for, motion. Devoid of sense and motion. Milton. 3. Direction of movement; course; tendency; as, the motion of the planets is from west to east. In our proper motion we ascend. Milton. 4. Change in the relative position of the parts of anything; action of a machine with respect to the relative movement of its parts. This is the great wheel to which the clock owes its motion. Dr. H. More. 5. Movement of the mind, desires, or passions; mental act, or impulse to any action; internal activity. Let a good man obey every good motion rising in his heart, knowing that every such motion proceeds from God. South. 6. A proposal or suggestion looking to action or progress; esp., a formal proposal made in a deliberative assembly; as, a motion to adjourn. Yes, I agree, and thank you for your motion. Shak. 7. (Law)  An application made to a court or judge orally in open court. Its object is to obtain an order or rule directing some act to be done in favor of the applicant. Mozley & W. 8. (Mus.)  Change of pitch in successive sounds, whether in the same part or in groups of parts. The independent motions of different parts sounding together constitute counterpoint. Grove. Note: Conjunct motion is that by single degrees of the scale. Contrary motion is that when parts move in opposite directions. Disjunct motion is motion by skips. Oblique motion is that when one part is stationary while another moves. Similar or direct motion is that when parts move in the same direction. 9. A puppet show or puppet. [Obs.] What motion's this the model of Nineveh Beau. & Fl. Note: Motion, in mechanics, may be simple or compound. Simple motions are: (a) straight translation, which, if of indefinite duration, must be reciprocating. (b) Simple rotation, which may be either continuous or reciprocating, and when reciprocating is called oscillating. (c) Helical, which, if of indefinite duration, must be reciprocating. Compound motion consists of combinations of any of the simple motions. Center of motion, Harmonic motion, etc. See under Center, Harmonic, etc. -- Motion block (Steam Engine), a crosshead. -- Perpetual motion (Mech.), an incessant motion conceived to be attainable by a machine supplying its own motive forces independently of any action from without. Syn. -- See Movement.\n\n1. To make a significant movement or gesture, as with the hand; as, to motion to one to take a seat. 2. To make proposal; to offer plans. [Obs.] Shak.\n\n1. To direct or invite by a motion, as of the hand or head; as, to motion one to a seat. 2. To propose; to move. [Obs.] I want friends to motion such a matter. Burton.
motion picture |A moving picture.
motioner |One who makes a motion; a mover. Udall.
motionist |A mover. [Obs.]
motionless |Without motion; being at rest.
motivate |To provide with a motive; to move; impel; induce; incite. -- Mo`ti*va\"tion (#), n.  William James.
motive |1. That which moves; a mover. [Obs.] Shak. 2. That which incites to action; anything prompting or exciting to choise, or moving the will; cause; reason; inducement; object. By motive, I mean the whole of that which moves, excites, or invites the mind to volition, whether that be one thing singly, or many things conjunctively. J. Edwards. 3. (Mus.)  The theme or subject; a leading phrase or passage which is reproduced and varied through the course of a comor a movement; a short figure, or melodic germ, out of which a whole movement is develpoed. See also Leading motive, under Leading. [Written also motivo.] 4. (Fine Arts)  That which produces conception, invention, or creation in the mind of the artist in undertaking his subject; the guiding or controlling idea manifested in a work of art, or any part of one. Syn. -- Incentive; incitement; inducement; reason; spur; stimulus; cause. -- Motive, Inducement, Reason. Motive is the word originally used in speaking of that which determines the choice. We call it an inducement when it is attractive in its nature. We call it a reason when it is more immediately addressed to the intellect in the form of argument.\n\nCausing motion; having power to move, or tending to move; as, a motive argument; motive power. \"Motive faculty.\" Bp. Wilkins. Motive power (Mach.), a natural agent, as water, steam, wind, electricity, etc., used to impart motion to machinery; a motor; a mover.\n\nTo prompt or incite by a motive or motives; to move.
motiveless |Destitute of a motive; not incited by a motive. -- Mo\"tive*less*ness, n. G. Eliot.
motivity |1. The power of moving or producing motion. 2. The quality of being influenced by motives. [R.]
motivo |See Motive, n., 3, 4.
motley |1. Variegated in color; consisting of different colors; dappled; party-colored; as, a motley coat. 2. Wearing motley or party-colored clothing. See Motley, n., 1. \"A motley fool.\" Shak. 3. Composed of different or various parts; heterogeneously made or mixed up; discordantly composite; as, motley style. Byron.\n\n1. A combination of distinct colors; esp., the party-colored cloth, or clothing, worn by the professional fool. Chaucer. \"Motley 's the only wear.\" Shak. 2. Hence, a jester, a fool. [Obs.] Shak. Man of motley, a fool. [Obs.] Beau. & Fl.
motley-minded |Having a mind of a jester; foolish. Shak.
motmot |Any one of several species of long-tailed, passerine birds of the genus Momotus, having a strong serrated beak. In most of the species the two long middle tail feathers are racket-shaped at the tip, when mature. The bird itself is said by some writers to trim them into this shape. They feed on insects, reptiles, and fruit, and are found from Mexico to Brazil. The name is derived from its note. [Written also momot.]
moto |Movement; manner of movement; particularly, movement with increased rapidity; -- used especially in the phrase con moto, directing to a somewhat quicker movement; as, andante con moto, a little more rapidly than andante, etc.
motograph |A device utilized in the making of a loud-speaking telephone, depending on the fact that the friction between a metallic point and a moving cylinder of moistened chalk, or a moving slip of paper, on which it rests is diminished by the passage of a current between the point and the moving surface. -- Mo`to*graph\"ic (#), a.
moton |A small plate covering the armpit in armor of the 14th century and later.
motor |1. One who, or that which, imparts motion; a source of mechanical power. 2. (Mach.)  A prime mover; a machine by means of which a source of power, as steam, moving water, electricity, etc., is made available for doing mechanical work.\n\nCausing or setting up motion; pertaining to organs of motion; - - applied especially in physiology to those nerves or nerve fibers which only convey impressions from a nerve center to muscles, thereby causing motion.
motor car |1. An automobile, locomobile, or locomotive designed to run and be steered on a street or roadway; esp., an automobile specially designed for passengers. 2.  (Elec. Railroads) Any car containing motors for propulsion. [U. S.]
motor cycle |A bicycle having a motor attached so as to be self-propelled. In Great Britain the term motor cycle is treated by statute (3 Ed VII. c. 36) as limited to motor cars (self-propelled vehicles) designed to travel on not more than three wheels, and weighing unladen (that is, without water, fuel, or accumulators necessary for propulsion) not more than three hundred weight (336 lbs.).
motor generator |The combination consisting of a generator and a driving motor mechanically connected, usually on a common bedplate and with the two shafts directly coupled or combined into a single shaft.
motor-driven |Driven or actuated by a motor, esp. by an individual electric motor. An electric motor forms an integral part of many machine tools in numerous modern machine shops.
motorcar |1. An automobile, locomobile, or locomotive designed to run and be steered on a street or roadway; esp., an automobile specially designed for passengers. 2.  (Elec. Railroads) Any car containing motors for propulsion. [U. S.]
motorcycle |A bicycle having a motor attached so as to be self-propelled. In Great Britain the term motor cycle is treated by statute (3 Ed VII. c. 36) as limited to motor cars (self-propelled vehicles) designed to travel on not more than three wheels, and weighing unladen (that is, without water, fuel, or accumulators necessary for propulsion) not more than three hundred weight (336 lbs.).
motorial |Causing or setting up motion; pertaining to organs of motion; - - applied especially in physiology to those nerves or nerve fibers which only convey impressions from a nerve center to muscles, thereby causing motion.
motoring |Act or recreation of riding in or driving a motor car or automobile.\n\nPertaining to motor cars or automobiles, or to the technology of such; addicted to riding in or driving automobiles; as, motoring parlance; my motoring friend.
motorize |To substitute motor-driven vehicles, or automobiles, for the horses and horse-drawn vehicles of (a fire department, city, etc.). - -Mo`tor*i*za\"tion (#), n.
motorman |A man who controls a motor.
motorpathic |Of or pertaining to motorpathy.
motorpathy |Kinesiatrics.
motory |Causing or setting up motion; pertaining to organs of motion; - - applied especially in physiology to those nerves or nerve fibers which only convey impressions from a nerve center to muscles, thereby causing motion.
motte |A clump of trees in a prairie. [Local, U.S.]
mottle |To mark with spots of different color, or shades of color, as if stained; to spot; to maculate.\n\nA mottled appearance.
mottled |Marked with spots of different colors; variegated; spotted; as, mottled wood. \"The mottled meadows.\" Drayton.
motto |1. (Her.)  A sentence, phrase, or word, forming part of an heraldic achievment. 2. A sentence, phrase, or word, prefixed to an essay, discourse, chapter, canto, or the like, suggestive of its subject matter; a short, suggestive expression of a guiding principle; a maxim. It was the motto of a bishop eminent for his piety and good works, ... \"Serve God, and be cheerful.\" Addison.
mottoed |Bearing or having a motto; as, a mottoed coat or device.
motty |Full of, or consisting of, motes. [Written also mottie.] [Scot.] The motty dust reek raised by the workmen. H. Miller.
mouchoir |A handkerchief.
mouezzin |See Muezzin.
mouflon |A wild sheep (Ovis musimon), inhabiting the mountains of Sardinia, Corsica, etc. Its horns are very large, with a triangular base and rounded angles. It is supposed by some to be the original of the domestic sheep. Called also musimon or musmon. [Written also moufflon.]
mought |of May. Might.
mouillation |The act of uttering the sound of a mouillé letter.
mouille |Applied to certain consonants having a \"liquid\" or softened sound; e.g., in French, l or ll and gn (like the lli in million and ni in minion); in Italian, gl and gn; in Spanish, ll and ñ; in Portuguese, lh and nh.
mould |1. Crumbling, soft, friable earth; esp., earth containing the remains or constituents of organic matter, and suited to the growth of plants; soil. 2. Earthy material; the matter of which anything is formed; composing substance; material. The etherial mold, Incapable of stain. Milton. Nature formed me of her softest mold. Addison.\n\nTo cover with mold or soil. [R.]\n\nA growth of minute fungi of various kinds, esp. those of the great groups Hyphomycetes, and Physomycetes, forming on damp or decaying organic matter. Note: The common blue mold of cheese, the brick-red cheese mold, and the scarlet or orange strata which grow on tubers or roots stored up for use, when commencing to decay, are familiar examples. M. J. Berkley.\n\nTo cause to become moldy; to cause mold to grow upon.\n\nTo become moldy; to be covered or filled, in whole or in part, with a mold.\n\n1. The matrix, or cavity, in which anything is shaped, and from which it takes its form; also, the body or mass containing the cavity; as, a sand mold; a jelly mold. Milton. 2. That on which, or in accordance with which, anything is modeled or formed; anything which serves to regulate the size, form, etc., as the pattern or templet used by a shipbuilder, carpenter, or mason. The glass of fashion and the mold of form. Shak. 3. Cast; form; shape; character. Crowned with an architrave of antique mold. Pope. 4. (Arch.)  A group of moldings; as, the arch mold of a porch or doorway; the pier mold of a Gothic pier, meaning the whole profile, section, or combination of parts. 5. (Anat.)  A fontanel. 6. (Paper Making)  A frame with a wire cloth bottom, on which the pump is drained to form a sheet, in making paper by hand.\n\n1. To form into a particular shape; to shape; to model; to fashion. He forgeth and moldeth metals. Sir M. Hale. Did I request thee, Maker, from my clay To mold me man Milton. 2. To ornament by molding or carving the material of; as, a molded window jamb. 3. To knead; as, to mold dough or bread. 4. (Founding)  To form a mold of, as in sand, in which a casting may be made.\n\nSee Mold, Molder, Moldy, etc.
mouldable |Capable of being molded or formed.
mouldboard |1. A curved plate of iron (originally of wood) back of the share of a plow, which turns over the earth in plowing. 2. (Founding)  A follow board.
moulder |One who, or that which, molds or forms into shape; specifically (Founding), one skilled in the art of making molds for castings.\n\nTo crumble into small particles; to turn to dust by natural decay; to lose form, or waste away, by a gradual separation of the component particles, without the presence of water; to crumble away. The moldering of earth in frosts and sun. Bacon. When statues molder, and when arches fall. Prior. If he had sat still, the enemy's army would have moldered to nothing. Clarendon.\n\nTo turn to dust; to cause to crumble; to cause to waste away. [Time's] gradual touch Has moldered into beauty many a tower. Mason.\n\nSee Mold, Molder, Moldy, etc.
mouldery |Covered or filled with mold; consisting of, or resembling, mold.
mouldiness |The state of being moldy.
moulding |1. The act or process of shaping in or on a mold, or of making molds; the art or occupation of a molder. 2. Anything cast in a mold, or which appears to be so, as grooved or ornamental bars of wood or metal. 3. (Arch.)  A plane, or curved, narrow surface, either sunk or projecting, used for decoration by means of the lights and shades upon its surface. Moldings vary greatly in pattern, and are generally used in groups, the different members of each group projecting or retreating, one beyond another. See Cable, n., 3, and Crenelated molding, under Crenelate, v. t.\n\nUsed in making a mold or moldings; used in shaping anything according to a pattern. Molding, or Moulding, board. (a) See Follow board, under Follow, v. t. (b) A board on which bread or pastry is kneaded and shaped. -- Molding, or Moulding, machine. (a) (Woodworking) A planing machine for making moldings. (b) (Founding) A machine to assist in making molds for castings. -- Molding, or Moulding, mill, a mill for shaping timber. -- Molding, or Moulding, sand (Founding), a kind of sand containing clay, used in making molds.
mouldwarp |See Mole the animal. Spenser.
mouldy |Overgrown with, or containing, mold; as, moldy cheese or bread.\n\nSee Mold, Molder, Moldy, etc.
moule |To contract mold; to grow moldy; to mold. [Obs.] Let us not moulen thus in idleness. Chaucer.
mouline |1. The drum upon which the rope is wound in a capstan, crane, or the like. 2. A machine formerly used for bending a crossbow by winding it up. 3. In sword and saber exercises, a circular swing of the weawon.
moulinet |1. The drum upon which the rope is wound in a capstan, crane, or the like. 2. A machine formerly used for bending a crossbow by winding it up. 3. In sword and saber exercises, a circular swing of the weawon.
moult |To shed or cast the hair, feathers, skin, horns, or the like, as an animal or a bird. Bacon.\n\nTo cast, as the hair, skin, feathers, or the like; to shed.\n\nThe act or process of changing the feathers, hair, skin, etc.; molting.\n\nSee Molt.
moulten |Having molted. [Obs.] \"A moulten raven.\" Shak.
moun |pl. of Mow, may. [Obs.] Wyclif.
mounch |To munch. [Obs.]
mound |A ball or globe forming part of the regalia of an emperor or other sovereign. It is encircled with bands, enriched with precious stones, and surmounted with a cross; -- called also globe.\n\nAn artificial hill or elevation of earth; a raised bank; an embarkment thrown up for defense; a bulwark; a rampart; also, a natural elevation appearing as if thrown up artificially; a regular and isolated hill, hillock, or knoll. To thrid the thickets or to leap the mounds. Dryden. Mound bird. (Zoöl.) Same as Mound maker (below). -- Mound builders (Ethnol.), the tribe, or tribes, of North American aborigines who built, in former times, extensive mounds of earth, esp. in the valleys of the Mississippi and Ohio Rivers. Formerly they were supposed to have preceded the Indians, but later investigations go to show that they were, in general, identical with the tribes that occupied the country when discovered by Europeans. -- Mound maker (Zoöl.), any one of the megapodes. -- Shell mound, a mound of refuse shells, collected by aborigines who subsisted largely on shellfish. See Midden, and Kitchen middens.\n\nTo fortify or inclose with a mound.
mount |1. A mass of earth, or earth and rock, rising considerably above the common surface of the surrounding land; a mountain; a high hill; -- used always instead of mountain, when put before a proper name; as, Mount Washington; otherwise, chiefly in poetry. 2. A bulwark for offense or defense; a mound. [Obs.] Hew ye down trees, and cast a mount against Jerusalem. Jer. vi. 6. 3. Etym: [See Mont de piété.]  A bank; a fund. Mount of piety. See Mont de piété.\n\n1. To rise on high; to go up; to be upraised or uplifted; to tower aloft; to ascend; -- often with up. Though Babylon should mount up to heaven. Jer. li. 53. The fire of trees and houses mounts on high. Cowley. 2. To get up on anything, as a platform or scaffold; especially, to seat one's self on a horse for riding. 3. To attain in value; to amount. Bring then these blessings to a strict account, Make fair deductions, see to what they mount. Pope.\n\n1. To get upon; to ascend; to climb. Shall we mount again the rural throne Dryden. 2. To place one's self on, as a horse or other animal, or anything that one sits upon; to bestride. 3. To cause to mount; to put on horseback; to furnish with animals for riding; to furnish with horses. \"To mount the Trojan troop.\" Dryden. 4. Hence: To put upon anything that sustains and fits for use, as a gun on a carriage, a map or picture on cloth or paper; to prepare for being worn or otherwise used, as a diamond by setting, or a sword blade by adding the hilt, scabbard, etc. 5. To raise aloft; to lift on high. What power is it which mounts my love so high Shak. Note: A fort or ship is said to mount cannon, when it has them arranged for use in or about it. To mount guard (Mil.), to go on guard; to march on guard; to do duty as a guard. -- To mount a play, to prepare and arrange the scenery, furniture, etc., used in the play.\n\nThat upon which a person or thing is mounted, as: (a) A horse. She had so good a seat and hand, she might be trusted with any mount. G. Eliot. (b) The cardboard or cloth on which a drawing, photograph, or the like is mounted; a mounting.
mountable |Such as can be mounted.
mountain |1. A large mass of earth and rock, rising above the common level of the earth or adjacent land; earth and rock forming an isolated peak or a ridge; an eminence higher than a hill; a mount. 2. pl.  A range, chain, or group of such elevations; as, the White Mountains. 3. A mountainlike mass; something of great bulk. I should have been a mountain of mummy. Shak. The Mountain (La montagne) (French Hist.), a popular name given in 1793 to a party of extreme Jacobins in the National Convention, who occupied the highest rows of seats.\n\n1. Of or pertaining to a mountain or mountains; growing or living on a mountain; found on or peculiar to mountains; among mountains; as, a mountain torrent; mountain pines; mountain goats; mountain air; mountain howitzer. 2. Like a mountain; mountainous; vast; very great. The high, the mountain majesty of worth. Byron. Mountain anthelope (Zoöl.), the goral. -- Mountain ash (Bot.), an ornamental tree, the Pyrus (Sorbus) Americana, producing beautiful bunches of red berries. Its leaves are pinnate, and its flowers white, growing in fragrant clusters. The European species is the P. aucuparia, or rowan tree. -- Mountain barometer, a portable barometer, adapted for safe transportation, used in measuring the heights of mountains. -- Mountain beaver (Zoöl.), the sewellel. -- Mountain blue (Min.), blue carbonate of copper; azurite. -- Mountain cat (Zoöl.), the catamount. See Catamount. -- Mountain chain, a series of contiguous mountain ranges, generally in parallel or consecutive lines or curves. -- Mountain cock (Zoöl.), capercailzie. See Capercailzie. -- Mountain cork (Min.), a variety of asbestus, resembling cork in its texture. -- Mountain crystal. See under Crystal. -- Mountain damson (Bot.), a large tree of the genus Simaruba (S. amarga) growing in the West Indies, which affords a bitter tonic and astringent, sometimes used in medicine. -- Mountain dew, Scotch whisky, so called because often illicitly distilled among the mountains. [Humorous] -- Mountain ebony (Bot.), a small leguminous tree (Bauhinia variegata) of the East and West Indies; -- so called because of its dark wood. The bark is used medicinally and in tanning. -- Mountain flax (Min.), a variety of asbestus, having very fine fibers; amianthus. See Amianthus. -- Mountain fringe (Bot.), climbing fumitory. See under Fumitory. -- Mountain goat. (Zoöl.) See Mazama. -- Mountain green. (Min.) (a) Green malachite, or carbonate of copper. (b) See Green earth, under Green, a. -- Mountain holly (Bot.), a branching shrub (Nemopanthes Canadensis), having smooth oblong leaves and red berries. It is found in the Northern United States. -- Mountain laurel (Bot.), an American shrub (Kalmia latifolia) with glossy evergreen leaves and showy clusters of rose-colored or white flowers. The foliage is poisonous. Called also American laurel, ivy bush, and calico bush. See Kalmia. -- Mountain leather (Min.), a variety of asbestus, resembling leather in its texture. -- Mountain licorice (Bot.), a plant of the genus Trifolium (T. Alpinum). -- Mountain limestone (Geol.), a series of marine limestone strata below the coal measures, and above the old red standstone of Great Britain. See Chart of Geology. -- Mountain linnet (Zoöl.), the twite. -- Mountain magpie. (Zoöl.) (a) The yaffle, or green woodpecker. (b) The European gray shrike. -- Mountain mahogany (Bot.) See under Mahogany. -- Mountain meal (Min.), a light powdery variety of calcite, occurring as an efflorescence. -- Mountain milk (Min.), a soft spongy variety of carbonate of lime. -- Mountain mint. (Bot.) See Mint. -- Mountain ousel (Zoöl.), the ring ousel; -- called also mountain thrush and mountain colley. See Ousel. -- Mountain pride, or Mountain green (Bot.), a tree of Jamaica (Spathelia simplex), which has an unbranched palmlike stem, and a terminal cluster of large, pinnate leaves. -- Mountain quail (Zoöl.), the plumed partridge (Oreortyx pictus) of California. It has two long, slender, plumelike feathers on the head. The throat and sides are chestnut; the belly is brown with transverse bars of black and white; the neck and breast are dark gray. -- Mountain range, a series of mountains closely related in position and direction. -- Mountain rice. (Bot.) (a) An upland variety of rice, grown without irrigation, in some parts of Asia, Europe, and the United States. (b) An American genus of grasses (Oryzopsis). -- Mountain rose (Bot.), a species of rose with solitary flowers, growing in the mountains of Europe (Rosa alpina). -- Mountain soap (Min.), a soft earthy mineral, of a brownish color, used in crayon painting; saxonite. -- Mountain sorrel (Bot.), a low perennial plant (Oxyria digyna with rounded kidney-form leaves, and small greenish flowers, found in the White Mountains of New Hampshire, and in high northern latitudes. Gray. -- Mountain sparrow (Zoöl.), the European tree sparrow. -- Mountain spinach. (Bot.) See Orach. -- Mountain tobacco (Bot.), a composite plant (Arnica montana) of Europe; called also leopard's bane. -- Mountain witch (Zoöl.), a ground pigeon of Jamaica, of the genus Geotrygon.
mountain specter |An optical phenomenon sometimes seen on the summit of mountains (as on the Brocken) when the observer is between the sun and a mass of cloud. The figures of the observer and surrounding objects are seen projected on the cloud, greatly enlarged and often encircled by rainbow colors.
mountain state |Montana; -- a nickname.
mountaineer |1. An inhabitant of a mountain; one who lives among mountains. 2. A rude, fierce person. [Obs.] No savage fierce, bandit, or mountaineer. Milton.\n\nTo lie or act as a mountaineer; to climb mountains. You can't go mountaineering in a flat country. H. James.
mountainer |A mountaineer. [Obs.]
mountainet |A small mountain. [R.]
mountainous |1. Full of, or containing, mountains; as, the mountainous country of the Swiss. 2. Inhabiting mountains. [Obs.] Bacon. 3. Large as, or resembling, a mountain; huge; of great bulk; as, a mountainous heap. Prior.
mountainousness |The state or quality of being mountainous.
mountance |Amount; sum; quantity; extent. [Obs.] Chaucer.
mountant |Raised; high. [Obs.]
mountebank |1. One who mounts a bench or stage in the market or other public place, boasts of his skill in curing diseases, and vends medicines which he pretends are infalliable remedies; a quack doctor. Such is the weakness and easy credulity of men, that a mountebank ... is preferred before an able physician. Whitlock. 2. Any boastful or false pretender; a charlatan; a quack. Nothing so impossible in nature but mountebanks will undertake. Arbuthnot.\n\nTo cheat by boasting and false pretenses; to gull. [R.] Shak.\n\nTo play the mountebank.
mountebankery |The practices of a mountebank; quackery; boastful and vain pretenses.
mountebankish |Like a mountebank or his quackery. Howell.
mountebankism |The practices of a mountebank; mountebankery.
mounted |1. Seated or serving on horseback or similarly; as, mounted police; mounted infantry. 2. Placed on a suitable support, or fixed in a setting; as, a mounted gun; a mounted map; a mounted gem.
mountenaunce |Mountance. [Obs.]
mounter |1. One who mounts. 2. An animal mounted; a monture. [Obs.]
mounting |1. The act of one that mounts. 2. That by which anything is prepared for use, or set off to advantage; equipment; embellishment; setting; as, the mounting of a sword or diamond.
mountingly |In an ascending manner.
mountlet |A small or low mountain. [R.]
mounty |The rise of a hawk after prey. Sir P. Sidney.
