naples yellow |See under Yellow.
narragansetts |A tribe of Indians who formerly inhabited the shores of Narragansett Bay.
narrate |To tell, rehearse, or recite, as a story; to relate the particulars of; to go through with in detail, as an incident or transaction; to give an account of. Syn. -- To relate; recount; detail; describe.
narration |1. The act of telling or relating the particulars of an event; rehearsal; recital. 2. That which is related; the relation in words or writing of the particulars of any transaction or event, or of any series of transactions or events; story; history. 3. (Rhet.)  That part of a discourse which recites the time, manner, or consequences of an action, or simply states the facts connected with the subject. Syn. -- Account; recital; rehearsal; relation; description; explanation; detail; narrative; story; tale; history. See Account.
narrative |1. Of or pertaining to narration; relating to the particulars of an event or transaction. 2. Apt or inclined to relate stories, or to tell particulars of events; story-telling; garrulous. But wise through time, and narrative with age. Pope.\n\nThat which is narrated; the recital of a story; a continuous account of the particulars of an event or transaction; a story. Cyntio was much taken with my narrative. Tatler. Syn. -- Account; recital; rehearsal; relation; narration; story; tale. See Account.
narratively |In the style of narration.
narrator |One who narrates; one who relates a series of events or transactions.
narratory |Giving an account of events; narrative; as, narratory letters. Howell.
narre |Nearer. [Obs.] Spenser.
narrow |1. Of little breadth; not wide or broad; having little distance from side to side; as, a narrow board; a narrow street; a narrow hem. Hath passed in safety through the narrow seas. Shak. 2. Of little extent; very limited; circumscribed. The Jews were but a small nation, and confined to a narrow compass in the world. Bp. Wilkins. 3. Having but a little margin; having barely sufficient space, time, or number, etc.; close; near; -- with special reference to some peril or misfortune; as, a narrow shot; a narrow escape; a narrow majority. Dryden. 4. Limited as to means; straitened; pinching; as, narrow circumstances. 5. Contracted; of limited scope; illiberal; bigoted; as, a narrow mind; narrow views. \"A narrow understanding.\" Macaulay. 6. Parsimonious; niggardly; covetous; selfish. A very narrow and stinted charity. Smalridge. 7. Scrutinizing in detail; close; accurate; exact. But first with narrow search I must walk round This garden, and no corner leave unspied. Milton. 8. (Phon.)  Formed (as a vowel) by a close position of some part of the tongue in relation to the palate; or (according to Bell) by a tense condition of the pharynx; -- distinguished from wide; as e (eve) and oo (food), etc., from ì (ìll) and oo (foot), etc. See Guide to Pronunciation, § 13. Note: Narrow is not unfrequently prefixed to words, especially to participles and adjectives, forming compounds of obvious signification; as, narrow-bordered, narrow-brimmed, narrow-breasted, narrow-edged, narrow-faced, narrow-headed, narrow-leaved, narrow- pointed, narrow-souled, narrow-sphered, etc. Narrow gauge. (Railroad) See Note under Gauge, n., 6.\n\nA narrow passage; esp., a contracted part of a stream, lake, or sea; a strait connecting two bodies of water; -- usually in the plural; as, The Narrows of New York harbor. Near the island lay on one side the jaws of a dangerous narrow. Gladstone.\n\n1. To lessen the breadth of; to contract; to draw into a smaller compass; to reduce the width or extent of. Sir W. Temple. 2. To contract the reach or sphere of; to make less liberal or more selfish; to limit; to confine; to restrict; as, to narrow one's views or knowledge; to narrow a question in discussion. Our knowledge is much more narrowed if we confine ourselves to our own solitary reasonings. I. Watts. 3. (Knitting)  To contract the size of, as a stocking, by taking two stitches into one.\n\n1. To become less broad; to contract; to become narrower; as, the sea narrows into a strait. 2. (Man.)  Not to step out enough to the one hand or the other; as, a horse narrows. Farrier's Dict. 3. (Knitting)  To contract the size of a stocking or other knit article, by taking two stitches into one.
narrow-minded |Of narrow mental scope; illiberal; mean. -- Nar\"row-mind`ed*ness, n.
narrower |One who, or that which, narrows or contracts. Hannah More.
narrowing |1. The act of contracting, or of making or becoming less in breadth or extent. 2. The part of a stocking which is narrowed.
narrowly |1. With little breadth; in a narrow manner. 2. Without much extent; contractedly. 3. With minute scrutiny; closely; as, to look or watch narrowly; to search narrowly. 4. With a little margin or space; by a small distance; hence, closely; hardly; barely; only just; -- often with reference to an avoided danger or misfortune; as, he narrowly escaped. 5. Sparingly; parsimoniously.
narrowness |The condition or quality of being narrow.
nart |Art not. [Obs.] Chaucer.
narthex |1. (Bot.)  A tall umbelliferous plant (Ferula communis). See Giant fennel, under Fennel. 2. (Arch.)  The portico in front of ancient churches; sometimes, the atrium or outer court surrounded by ambulatories; -- used, generally, for any vestibule, lobby, or outer porch, leading to the nave of a church.
narwal |See Narwhal.
narwe |Narrow. [Obs.] Chaucer.
narwhal |An arctic cetacean (Monodon monocerous), about twenty feet long. The male usually has one long, twisted, pointed canine tooth, or tusk projecting forward from the upper jaw like a horn, whence it is called also sea unicorn, unicorn fish, and unicorn whale. Sometimes two horns are developed, side by side.
nas |Was not. [Obs.] Chaucer.\n\nHas not. [Obs.] Spenser.
nasal |1. (Anat.)  Of or pertaining to the nose. 2. (Phon.)  Having a quality imparted by means of the nose; and specifically, made by lowering the soft palate, in some cases with closure of the oral passage, the voice thus issuing (wholly or partially) through the nose, as in the consonants m, n, ng (see Guide to Pronunciation, §§ 20, 208); characterized by resonance in the nasal passage; as, a nasal vowel; a nasal utterance. Nasal bones (Anat.), two bones of the skull, in front of the frontals. -- Nasal index (Anat.), in the skull, the ratio of the transverse the base of the aperture to the nasion, which latter distance is taken as the standard, equal to 100.\n\n1. An elementary sound which is uttered through the nose, or through both the nose and the mouth simultaneously. 2. (Med.)  A medicine that operates through the nose; an errhine. [Archaic] 3. (Anc. Armor)  Part of a helmet projecting to protect the nose; a nose guard. 4. (Anat.)  One of the nasal bones. 5. (Zoöl.)  A plate, or scale, on the nose of a fish, etc.
nasality |The quality or state of being nasal.
nasalization |The act of nasalizing, or the state of being nasalized.
nasalize |To render nasal, as sound; to insert a nasal or sound in.\n\nTo utter words or letters with a nasal sound; to speak through the nose.
nasally |In a nasal manner; by the nose.
nascal |A kind of pessary of medicated wool or cotton, formerly used.
nascency |State of being nascent; birth; beginning; origin.
nascent |1. Commencing, or in process of development; beginning to exist or to grow; coming into being; as, a nascent germ. Nascent passions and anxieties. Berkley. 2. (Chem.)  Evolving; being evolved or produced. Nascent state (Chem.), the supposed instantaneous or momentary state of an uncombined atom or radical just separated from one compound acid, and not yet united with another, -- a hypothetical condition implying peculiarly active chemical properties; as, hydrogen in the nascent state is a strong reducer.
naseberry |A tropical fruit. See Sapodilla. [Written also nisberry.]
nash |Firm; stiff; hard; also, chilly. [Prov. Eng.] Halliwell.
nasicornous |Bearing a horn, or horns, on the nose, as the rhinoceros.
nasiform |Having the shape of a nose.
nasion |The middle point of the nasofrontal suture.
naso- |A combining form denoting pertaining to, or connected with, the nose; as, nasofrontal.
nasobuccal |Connected with both the nose and the mouth; as, the nasobuccal groove in the skate.
nasofrontal |of or pertaining to the nose and the front of the head; as, the embryonic nasofrontal process which forms the anterior boundary of the mouth.
nasolachrymal |Connected with the lachrymal apparatus and the nose; as, the nasolachrymal, or lachrymal duct.
nasopalatal |Connected with both the nose and the palate; as, the nasopalatine or incisor, canal connecting the mouth and the nasal chamber in some animals; the nasopalatine nerve.
nasopalatine |Connected with both the nose and the palate; as, the nasopalatine or incisor, canal connecting the mouth and the nasal chamber in some animals; the nasopalatine nerve.
nasopharyngeal |Of or pertaining to both throat and nose; as, a nasopharyngeal polypus.
nasoseptal |Of or pertaining to the internasal septum.
nasoturbinal |Connected with, or near, both the turbinal and the nasal bones; as, the nasalturbinal bone, made up of the uppermost lammelæ of the ethmoturbinal, and sometimes united with the nasal. -- n.  The nasoturbinal bone.
nassa |Any species of marine gastropods, of the genera Nassa, Tritia, and other allied genera of the family Nassidæ; a dog whelk. See Illust. under Gastropoda. -- nas\"soid, a.
nastily |In a nasty manner.
nastiness |The quality or state of being nasty; extreme filthness; dirtiness; also, indecency; obscenity. The nastiness of Plautus and Aristophanes. Dryden.
nasturtion |Same as Nasturtium.
nasturtium |1. (Bot.)  A genus of cruciferous plants, having white or yellowish flowers, including several species of cress. They are found chiefly in wet or damp grounds, and have a pungent biting taste. 2. (Bot.)  Any plant of the genus Tropæolum, geraniaceous herbs, having mostly climbing stems, peltate leaves, and spurred flowers, and including the common Indian cress (Tropæolum majus), the canary-bird flower (T. peregrinum), and about thirty more species, all natives of South America. The whole plant has a warm pungent flavor, and the fleshy fruits are used as a substitute for capers, while the leaves and flowers are sometimes used in salads.
nasty |1. Offensively filthy; very dirty, foul, or defiled; disgusting; nauseous. 2. Hence, loosely: Offensive; disagreeable; unpropitious; wet; drizzling; as, a nasty rain, day, sky. 3. Characterized by obcenity; indecent; indelicate; gross; filthy. Syn. -- Nasty, Filthy, Foul, Dirty. Anything nasty is usually wet or damp as well as filthy or dirty, and disgusts by its stickness or odor; but filthy and foul imply that a thing is filled or covered with offensive matter, while dirty describes it as defiled or sullied with dirt of any kind; as, filthy clothing, foul vapors, etc.
nasute |1. Having a nice sense of smell. [Obs.] Evelyn. 2. Critically nice; captious. [Obs.] auden.
nasutness |Quickness of scent; hence, nice discernment; acuteness. [Obs.] Dr. H. More.
nat |Not. [Obs.] Chaucer.\n\nNot at; nor at. [Obs.] haucer.
natal |1. Of or pertaining to one's birth; accompying or dating from one's birth; native. Princes' children took names from their natal places. Camden. Propitious star, whose sacred power Presided o'er the monarch's natal hour. Prior. 2. (Actrol.)  Presiding over nativity; as, natal Jove. Syn. -- Native, natural. See Native.
natal boil |= Aleppo boil.
natal plum |The drupaceous fruit of two South African shrubs of the genus Arduina (A. bispinosa and A. grandiflora).
natalitial |Of or pertaining to one's birth or birthday, or one's nativity. [Obs.] \"Natalitial poplar.\" Evelyn. \"Natalitious fire.\" W. Cartwright.
natalitious |Of or pertaining to one's birth or birthday, or one's nativity. [Obs.] \"Natalitial poplar.\" Evelyn. \"Natalitious fire.\" W. Cartwright.
nataloin |A bitter crystalline substance constituting the essential principle of Natal aloes. Cf. Aloon.
natals |One's birth, or the circumstances attending it. [Obs.] Fitz- Geffry.
natant |1. (Bot.)  Floating in water, as the leaves of water lilies, or submersed, as those of many aquatic plants. 2. (Her.)  Placed horizontally across the field, as if swimmimg toward the dexter side; said of all sorts of fishes except the flying fish.
natantly |In a floating manner; swimmingly.
natation |The act of floating on the water; swimming. Sir T. Browne.
natatores |The swimming birds. Note: They were formerly united into one order, which is now considered an artifical group.
natatorial |Inclined or adapted to swim; swimming; as, natatorial birds.
natatorious |Adapted for swimming; -- said of the legs of certain insects.
natatorium |A swimming bath.
natatory |Adapted for swimming or floating; as, natatory organs.
natch |The rump of beef; esp., the lower and back part of the rump. Natch bone, the edgebone, or aitchbone, in beef.
natchez |A tribe of Indians who formerly lived near the site of the city of Natchez, Mississippi. In 1729 they were subdued by the French; the survivors joined the Creek Confederacy.
natchnee |An annual grass (Eleusine coracona), cultivated in India as a food plant.
nates |1. (Anat.) (a) The buttocks. (b) The two anterior of the four lobes on the dorsal side of the midbrain of most mammals; the anterior optic lobes. 2. (Zoöl.)  The umbones of a bivalve shell.
nath |hath not. [Obs.]
nathless |Nevertheless. [Archaic] Chaucer. Milton. E. Arnold.
nathmore |Not the more; never the more. [Obs.] penser.
natica |Any one of numerous species of marine gastropods belonging to Natica, Lunatia, Neverita, and other allied genera (family Naticidæ.) They burrow beneath the sand, or mud, and drill other shells.
naticoid |Like or belonging to Natica, or the family Naticæ.
nation |1. (Ethnol.)  A part, or division, of the people of the earth, distinguished from the rest by common descent, language, or institutions; a race; a stock. All nations, and kindreds, and people, and tongues. Rev. vii. 9. 2. The body of inhabitants of a country, united under an independent government of their own. A nation is the unity of a people. Coleridge. Praise the power that hath made and preserved us a nation. F. S. Key. 3. Family; lineage. [Obs.] Chaucer. 4. (a) One of the divisions of university students in a classification according to nativity, formerly common in Europe. (b) (Scotch Universities) One of the four divisions (named from the parts of Scotland) in which students were classified according to their nativity. 5. A great number; a great deal; -- by way of emphasis; as, a nation of herbs. Sterne. Five nations. See under Five. -- Law of nations. See International law, under International, and Law. Syn. -- people; race. See People.
national |1. Of or pertaining to a nation; common to a whole people or race; public; general; as, a national government, language, dress, custom, calamity, etc. 2. Attached to one's own country or nation. National anthem, a popular song or hymn which has become by general acceptance the recognized musical expression of the patriotic sentiment of a nation; as, \"God save the King\" is called the national anthem of England. -- National bank, the official common name of a class of banking corporations established under the laws of the United States. -- National flag. See under Flag. -- National guard, a body of militia, or a local military organization, as in Paris during the French Revolution, or as certain bodies of militia in other European countries and in the United States. -- National salute, a salute consisting of as many guns as there are States in the Union. [U.S.]
nationalism |1. The state of being national; national attachment; nationality. 2. An idiom, trait, or character peculiar to any nation. 3. National independence; the principles of the Nationalists.
nationalist |One who advocates national unity and independence; one of a party favoring Irish independence.
nationality |1. The quality of being national, or strongly attached to one's own nation; patriotism. 2. The sum of the qualities which distinguish a nation; national character. 3. A race or people, as determined by common language and character, and not by political bias or divisions; a nation. the fulfillment of his mission is to be looked for in the condition of nationalities and the character of peoples. H. W. Beecher. 4. Existence as a distinct or individual nation; national unity and integrity. 5. The state or quality of belonging to or being connected with a nation or government by nativity, character, ownership, allegiance, etc.
nationalization |The act of nationalizing, or the state of being nationalized.
nationalize |To make national; to make a nation of; to endow with the character and habits of a nation, or the peculiar sentiments and attachment of citizens of a nation.
nationally |In a national manner or way; as a nation. \"The jews ... being nationally espoused to God by covenant.\" South.
nationalness |The quality or state of being national; nationality. Johnson.
nationalrath |See Legislature.
native |1. Arising by birth; having an origin; born. [Obs.] Anaximander's opinion is, that the gods are native, rising and vanishing again in long periods of times. Cudworth. 2. Of or pertaining to one's birth; natal; belonging to the place or the circumstances in which one is born; -- opposed to foreign; as, native land, language, color, etc. 3. Born in the region in which one lives; as, a native inhabitant, race; grown or originating in the region where used or sold; not foreign or imported; as, native oysters, or strawberries. 4. Original; constituting the original substance of anything; as, native dust. Milton. 5. Conferred by birth; derived from origin; born with one; inherent; inborn; not acquired; as, native genius, cheerfulness, simplicity, rights, etc. Courage is native to you. Jowett (Thucyd. ). 6. Naturally related; cognate; connected (with). [R.] the head is not more native to the heart, ... Than is the throne of Denmark to thy father. Shak. 7. (Min.) (a) Found in nature uncombined with other elements; as, native silver. (b) Found in nature; not artificial; as native sodium chloride. Native American party. See under American, a. -- Native bear (Zoöl.), the koala. -- Native bread (Bot.), a large underground fungus, of Australia (Mylitta australis), somewhat resembling a truffle, but much larger. -- Native devil. (Zoöl.) Same as Tasmanian devil, under Devil. -- Native hen (Zoöl.), an Australian rail (Tribonyx Mortierii). -- Native pheasant. (Zoöl.) See Leipoa. -- Native rabbit (Zoöl.), an Australian marsupial (Perameles lagotis) resembling a rabbit in size and form. -- Native sloth (Zoöl.), the koala. -- Native thrush (Zoöl.), an Australian singing bird (Pachycephala olivacea); -- called also thickhead. -- Native turkey (Zoöl.), the Australian bustard (Choriotis australis); -- called also bebilya. Syn. -- Natural; natal; original; congential. -- Native, Natural, Natal. natural refers to the nature of a thing, or that which springs therefrom; native, to one's birth or origin; as, a native country, language, etc.; natal, to the circumstances of one's birth; as, a natal day, or star. Native talent is that which is inborn; natural talent is that which springs from the structure of the mind. Native eloquence is the result of strong innate emotion; natural eloquence is opposed to that which is studied or artifical.\n\n1. One who, or that which, is born in a place or country referred to; a denizen by birth; an animal, a fruit, or vegetable, produced in a certain region; as, a native of France. 2. (Stock Breeding)  Any of the live stock found in a region, as distinguished from such as belong to pure and distinct imported breeds. [U.S.]
native steel |A sort of steel which has been found where a burning coal seam had reduced and carbonized adjacent iron ore.
natively |By natural or original condition; naturally; originally.
nativeness |The quality or state of being native.
nativism |1. The disposition to favor the native inhabitants of a country, in preference to immigrants from foreign countries. 2. (Philos.)  The doctrine of innate ideas, or that the mind possesses forms of thought independent of sensation.
nativist |An advocate of nativism.
nativistic |Relating to nativism.
nativity |1. The coming into life or into the world; birth; also, the circumstances attending birth, as time, place, manner, etc. Chaucer. I have served him from the hour of my nativity. Shak. Thou hast left ... the land of thy nativity. Ruth ii. 11. These in their dark nativity the deep Shall yield us, pregnant with infernal flame. Milton. 2. (Fine Arts)  A picture representing or symbolizing the early infancy of Christ. The simplest form is the babe in a rude cradle, and the heads of an ox and an ass to express the stable in which he was born. 3. (Astrol.)  A representation of the positions of the heavenly bodies as the moment of one's birth, supposed to indicate his future destinies; a horoscope. The Nativity, the birth or birthday of Christ; Christmas day. -- To cast, or calculate, one's nativity (Astrol.), to find out and represent the position of the heavenly bodies at the time of one's birth.
natka |A species of shrike.
natrium |The technical name for sodium.
natrolite |A zeolite occuring in groups of glassy acicular crystals, and in masses which often have a radiated structure. It is a hydrous silicate of alumina and soda.
natron |Native sodium carbonate. [Written also anatron.]
natter |To find fault; to be peevish. [Prov. Eng. or Scot.]
natterjack |A European toad (Bufo calamita), having a yellow line along its back.
natty |Neat; tidy; spruce. [Colloq.] -- Nat\"ti*ly, adv. -- Nat\"ti*ness, n.
natural |1. Fixed or determined by nature; pertaining to the constitution of a thing; belonging to native character; according to nature; essential; characteristic; not artifical, foreign, assumed, put on, or acquired; as, the natural growth of animals or plants; the natural motion of a gravitating body; natural strength or disposition; the natural heat of the body; natural color. With strong natural sense, and rare force of will. Macaulay. 2. Conformed to the order, laws, or actual facts, of nature; consonant to the methods of nature; according to the stated course of things, or in accordance with the laws which govern events, feelings, etc.; not exceptional or violent; legitimate; normal; regular; as, the natural consequence of crime; a natural death. What can be more natural than the circumstances in the behavior of those women who had lost their husbands on this fatal day Addison. 3. Having to do with existing system to things; dealing with, or derived from, the creation, or the world of matter and mind, as known by man; within the scope of human reason or experience; not supernatural; as, a natural law; natural science; history, theology. I call that natural religion which men might know ... by the mere principles of reason, improved by consideration and experience, without the help of revelation. Bp. Wilkins. 4. Conformed to truth or reality; as: (a) Springing from true sentiment; not artifical or exaggerated; -- said of action, delivery, etc.; as, a natural gesture, tone, etc. (b) Resembling the object imitated; true to nature; according to the life; -- said of anything copied or imitated; as, a portrait is natural. 5. Having the character or sentiments properly belonging to one's position; not unnatural in feelings. To leave his wife, to leave his babes, ... He wants the natural touch. Shak. 6. Connected by the ties of consanguinity. \"Natural friends.\" J. H. Newman. 7. Begotten without the sanction of law; born out of wedlock; illegitimate; bastard; as, a natural child. 8. Of or pertaining to the lower or animal nature, as contrasted with the higher or moral powers, or that which is spiritual; being in a state of nature; unregenerate. The natural man receiveth not the things of the Spirit of God. 1 Cor. ii. 14. 9. (Math.)  Belonging to, to be taken in, or referred to, some system, in which the base is 1; -- said or certain functions or numbers; as, natural numbers, those commencing at 1; natural sines, cosines, etc., those taken in arcs whose radii are 1. 10. (Mus.) (a) Produced by natural organs, as those of the human throat, in distinction from instrumental music. (b) of or pertaining to a key which has neither a flat nor a sharp for its signature, as the key of C major. (c) Applied to an air or modulation of harmony which moves by easy and smooth transitions, digressing but little from the original key. Moore (Encyc. of Music). Natural day, the space of twenty-four hours. Chaucer. -- Natural fats, Natural gas, etc. See under Fat, Gas. etc. -- Natural Harmony (Mus.), the harmony of the triad or common chord. -- Natural history, in its broadest sense, a history or description of nature as a whole, incuding the sciences of botany, zoölogy, geology, mineralogy, paleontology, chemistry, and physics. In recent usage the term is often restricted to the sciences of botany and zoölogy collectively, and sometimes to the science of zoology alone. -- Natural law, that instinctive sense of justice and of right and wrong, which is native in mankind, as distinguished from specifically revealed divine law, and formulated human law. -- Natural modulation (Mus.), transition from one key to its relative keys. -- Natural order. (Nat. Hist.) See under order. -- Natural person. (Law) See under person, n. -- Natural philosophy, originally, the study of nature in general; in modern usage, that branch of physical science, commonly called physics, which treats of the phenomena and laws of matter and considers those effects only which are unaccompanied by any change of a chemical nature; -- contrasted with mental and moral philosophy. -- Natural scale (Mus.), a scale which is written without flats or sharps. Model would be a preferable term, as less likely to mislead, the so-called artificial scales (scales represented by the use of flats and sharps) being equally natural with the so-called natural scale -- Natural science, natural history, in its broadest sense; -- used especially in contradistinction to mental or moral science. -- Natural selection (Biol.), a supposed operation of natural laws analogous, in its operation and results, to designed selection in breeding plants and animals, and resulting in the survival of the fittest. The theory of natural selection supposes that this has been brought about mainly by gradual changes of environment which have led to corresponding changes of structure, and that those forms which have become so modified as to be best adapted to the changed environment have tended to survive and leave similarly adapted descendants, while those less perfectly adapted have tended to die out though lack of fitness for the environment, thus resulting in the survival of the fittest. See Darwinism. -- Natural system (Bot. & Zoöl.), a classification based upon real affinities, as shown in the structure of all parts of the organisms, and by their embryology. It should be borne in mind that the natural system of botany is natural only in the constitution of its genera, tribes, orders, etc., and in its grand divisions. Gray. -- Natural theology, or Natural religion, that part of theological science which treats of those evidences of the existence and attributes of the Supreme Being which are exhibited in nature; -- distinguished from revealed religion. See Quotation under Natural, a., 3. -- Natural vowel, the vowel sound heard in urn, furl, sir, her, etc.; -- so called as being uttered in the easiest open position of the mouth organs. See Neutral vowel, under Neutral and Guide to Pronunciation, § 17. Syn. -- See Native.\n\n1. A native; an aboriginal. [Obs.] Sir W. Raleigh. 2. pl.  Natural gifts, impulses, etc. [Obs.] Fuller. 3. One born without the usual powers of reason or understanding; an idiot. \"The minds of naturals.\" Locke. 4. (Mus.)  A character [] used to contradict, or to remove the effect of, a sharp or flat which has preceded it, and to restore the unaltered note.
natural steel |Steel made by the direct refining of cast iron in a finery, or, as wootz, by a direct process from the ore.
naturalism |1. A state of nature; conformity to nature. 2. (Metaph.)  The doctrine of those who deny a supernatural agency in the miracles and revelations recorded in the Bible, and in spiritual influences; also, any system of philosophy which refers the phenomena of nature to a blind force or forces acting necessarily or according to fixed laws, excluding origination or direction by one intelligent will.
naturalist |1. One versed in natural science; a student of natural history, esp. of the natural history of animals. 2. One who holds or maintains the doctrine of naturalism in religion. H. Bushnell.
naturalistic |1. Belonging to the doctrines of naturalism. 2. Closely resembling nature; realistic. \"Naturalistic bit of pantomime.\" W. D. Howells.
naturality |Nature; naturalness. [R.]
naturalization |The act or process of naturalizing, esp. of investing an alien with the rights and privileges of a native or citizen; also, the state of being naturalized.
naturalize |1. To make natural; as, custom naturalizes labor or study. 2. To confer the rights and privileges of a native subject or citizen on; to make as if native; to adopt, as a foreigner into a nation or state, and place in the condition of a native subject. 3. To receive or adopt as native, natural, or vernacular; to make one's own; as, to naturalize foreign words. 4. To adapt; to accustom; to habituate; to acclimate; to cause to grow as under natural conditions. Its wearer suggested that pears and peaches might yet be naturalized in the New England climate. Hawthorne.\n\n1. To become as if native. 2. To explain phenomena by natural agencies or laws, to the exclusion of the supernatural. Infected by this naturalizing tendency. H. Bushnell.
naturally |In a natural manner or way; according to the usual course of things; spontaneously.
naturalness |The state or quality of being natural; conformity to nature.
nature |1. The existing system of things; the world of matter, or of matter and mind; the creation; the universe. But looks through nature up to nature's God. Pope. Nature has caprices which art can not imitate. Macaulay. 2. The personified sum and order of causes and effects; the powers which produce existing phenomena, whether in the total or in detail; the agencies which carry on the processes of creation or of being; -- often conceived of as a single and separate entity, embodying the total of all finite agencies and forces as disconnected from a creating or ordering intelligence. I oft admire How Nature, wise and frugal, could commit Such disproportions. Milton. 3. The established or regular course of things; usual order of events; connection of cause and effect. 4. Conformity to that which is natural, as distinguished from that which is artifical, or forced, or remote from actual experience. One touch of nature makes the whole world kin. Shak. 5. The sum of qualities and attributes which make a person or thing what it is, as distinct from others; native character; inherent or essential qualities or attributes; peculiar constitution or quality of being. Thou, therefore, whom thou only canst redeem, Their nature also to thy nature join, And be thyself man among men on earth. Milton. 6. Hence: Kind, sort; character; quality. A dispute of this nature caused mischief. Dryden. 7. Physical constitution or existence; the vital powers; the natural life. \"My days of nature.\" Shak. Oppressed nature sleeps. Shak. 8. Natural affection or reverence. Have we not seen The murdering son ascend his parent's bed, Through violated nature foce his way Pope. 9. Constitution or quality of mind or character. A born devil, on whose nature Nurture can never stick. Shak. That reverence which is due to a superior nature. Addison. Good nature, Ill nature. see under Good and Ill. -- In a state of nature. (a) Naked as when born; nude. (b) In a condition of sin; unregenerate. (c) Untamed; uncvilized. -- Nature printng, a process of printing from metallic or other plates which have received an impression, as by heavy pressure, of an object such as a leaf, lace, or the like. -- Nature worship, the worship of the personified powers of nature. -- To pay the debt of nature, to die.\n\nTo endow with natural qualities. [Obs.] He [God] which natureth every kind. Gower.
natured |Having (such) a nature, temper, or disposition; disposed; -- used in composition; as, good-natured, ill-natured, etc.
natureless |Not in accordance with nature; unnatural. [Obs.] Milton.
naturism |The belief or doctrine that attributes everything to nature as a sanative agent.
naturist |One who believes in, or conforms to, the theory of naturism. Boyle.
naturity |The quality or state of being produced by nature. [Obs.] Sir T. Browne.
naturize |To endow with a nature or qualities; to refer to nature. [Obs.] B. Jonson.
naufrage |Shipwreck; ruin. [Obs.] acon.
naufragous |causing shipwreck. [Obs.] r. Taylor.
