bergmaster |See Barmaster.
beta rays |Penetrating rays readily deflected by a magnetic or electric field, emitted by radioactive substances, as radium. They consist of negatively charged particles or electrons, apparently the same in kind as those of the cathode rays, but having much higher velocities (about 35,000 to 180,000 miles per second).
betacism |Excessive or extended use of the b sound in speech, due to conversion of other sounds into it, as through inability to distinguish them from  b, or because of difficulty in pronouncing them.
betacismus |Excessive or extended use of the b sound in speech, due to conversion of other sounds into it, as through inability to distinguish them from  b, or because of difficulty in pronouncing them.
betaine |A nitrogenous base, C5H11NO2, produced artificially, and also occurring naturally in beetroot molasses and its residues, from which it is extracted as a white crystalline substance; -- called also lycine and oxyneurine. It has a sweetish taste.
betake |1. To take or seize. [Obs.] Spenser. 2. To have recourse to; to apply; to resort; to go; -- with a reflexive pronoun. They betook themselves to treaty and submission. Burke. The rest, in imitation, to like arms Betook them. Milton. Whither shall I betake me, where subsist Milton. 3. To commend or intrust to; to commit to. [Obs.]
betaught |Delivered; committed in trust. [Obs.]
bete |1. To mend; to repair. [Obs.] Chaucer. 2. To renew or enkindle (a fire). [Obs.] Chaucer.\n\nTo better; to mend. See Beete. [Obs.] Chaucer.
bete noire |Something especially hated or dreaded; a bugbear.
beteela |An East India muslin, formerly used for cravats, veils, etc. [Obs.]
beteem |1. To give ; to bestow; to grant; to accord; to consent. [Obs.] Spenser. Milton. 2. To allow; to permit; to suffer. [Obs.] So loving to my mother, That he might not beteem the winds of heaven Visit her face too roughly. Shak.
betel |A species of pepper (Piper betle), the leaves of which are chewed, with the areca or betel nut and a little shell lime, by the inhabitants of the East Indies. I is a woody climber with ovate manynerved leaves.
betel nut |The nutlike seed of the areca palm, chewed in the East with betel leaves (whence its name) and shell lime.
betelguese |A bright star of the first magnitude, near one shoulder of Orion. [Written also Betelgeux and Betelgeuse.]
bethabara wood |A highly elastic wood, used for fishing rods, etc. The tree is unknown, but it is thought to be East Indian.
bethel |1. A place of worship; a hallowed spot. S. F. Adams. 2. A chapel for dissenters. [Eng.] 3. A house of worship for seamen.
bethink |To call to mind; to recall or bring to recollection, reflection, or consideration; to think; to consider; -- generally followed by a reflexive pronoun, often with of or that before the subject of thought. I have bethought me of another fault. Shak. The rest . . . may . . . bethink themselves, and recover. Milton. We bethink a means to break it off. Shak. Syn. -- To recollect; remember; reflect.\n\nTo think; to recollect; to consider. \"Bethink ere thou dismiss us.\" Byron.
bethlehem |1. A hospital for lunatics; -- corrupted into bedlam. 2. (Arch.)  In the Ethiopic church, a small building attached to a church edifice, in which the bread for the eucharist is made. Audsley.
bethlehemite |1. An inhabitant of Bethlehem in Judea. 2. An insane person; a madman; a bedlamite. 3. One of an extinct English order of monks.
bethlemite |1. An inhabitant of Bethlehem in Judea. 2. An insane person; a madman; a bedlamite. 3. One of an extinct English order of monks.
bethought |imp. & p. p. of Bethink.
bethrall |To reduce to thralldom; to inthrall. [Obs.] Spenser.
bethumb |To handle; to wear or soil by handling; as books. Poe.
bethump |To beat or thump soundly. Shak.
betide |To happen to; to befall; to come to ; as, woe betide the wanderer. What will betide the few Milton.\n\nTo come to pass; to happen; to occur. A salve for any sore that may betide. Shak. Note: Shakespeare has used it with of. \"What would betide of me \",
  "chenomorphae |An order of birds, including the swans, ducks, geese, flamingoes and screamers.
betime |1. In good season or time; before it is late; seasonably; early. To measure life learn thou betimes. Milton. To rise betimes is often harder than to do all the day's work. Barrow. 2. In a short time; soon; speedily; forth with. He tires betimes that spurs too fast betimes. Shak.
betimes |1. In good season or time; before it is late; seasonably; early. To measure life learn thou betimes. Milton. To rise betimes is often harder than to do all the day's work. Barrow. 2. In a short time; soon; speedily; forth with. He tires betimes that spurs too fast betimes. Shak.
betitle |To furnish with a title or titles; to entitle. [Obs.] Carlyle.
betoken |1. To signify by some visible object; to show by signs or tokens. A dewy cloud, and in the cloud a bow . . . Betokening peace from God, and covenant new. Milton. 2. To foreshow by present signs; to indicate something future by that which is seen or known; as, a dark cloud often betokens a storm. Syn. -- To presage; portend; indicate; mark; note.
beton |The French name for concrete; hence, concrete made after the French fashion.
betongue |To attack with the tongue; to abuse; to insult.
betony |A plant of the genus Betonica (Linn.). Note: The purple or wood betony (B. officinalis, Linn.) is common in Europe, being formerly used in medicine, and (according to Loudon) in dyeing wool a yellow color.
betook |of Betake.
betorn |Torn in pieces; tattered.
betoss |To put in violent motion; to agitate; to disturb; to toss. \"My betossed soul.\" Shak.
betrap |1. To draw into, or catch in, a trap; to insnare; to circumvent. Gower. 2. To put trappings on; to clothe; to deck. After them followed two other chariots covered with red satin, and the horses betrapped with the same. Stow.
betray |1. To deliver into the hands of an enemy by treachery or fraud, in violation of trust; to give up treacherously or faithlessly; as, an officer betrayed the city. Jesus said unto them, The Son of man shall be betrayed into the hands of men. Matt. xvii. 22. 2. To prove faithless or treacherous to, as to a trust or one who trusts; to be false to; to deceive; as, to betray a person or a cause. But when I rise, I shall find my legs betraying me. Johnson. 3. To violate the confidence of, by disclosing a secret, or that which one is bound in honor not to make known. Willing to serve or betray any government for hire. Macaulay. 4. To disclose or discover, as something which prudence would conceal; to reveal unintentionally. Be swift to hear, but cautious of your tongue, lest you betray your ignorance. T. Watts. 5. To mislead; to expose to inconvenience not foreseen to lead into error or sin. Genius . . . often betrays itself into great errors. T. Watts. 6. To lead astray, as a maiden; to seduce (as under promise of marriage) and then abandon. 7. To show or to indicate; -- said of what is not obvious at first, or would otherwise be concealed. All the names in the country betray great antiquity. Bryant.
betrayal |The act or the result of betraying.
betrayer |One who, or that which, betrays.
betrayment |Betrayal. [R.] Udall.
betrim |To set in order; to adorn; to deck, to embellish; to trim. Shak.
betroth |1. To contract to any one for a marriage; to engage or promise in order to marriage; to affiance; -- used esp. of a woman. He, in the first flower of my freshest age, Betrothed me unto the only heir. Spenser. Ay, and we are betrothed. Shak. 2. To promise to take (as a future spouse); to plight one's troth to. What man is there that hath betrothed a wife, and hath not taken her Deut. xx. 7. 3. To nominate to a bishopric, in order to consecration. Ayliffe.
betrothal |The act of betrothing, or the fact of being betrothed; a mutual promise, engagement, or contract for a future marriage between the persons betrothed; betrothment; affiance. \"The feast of betrothal.\" Longfellow.
betrothment |The act of betrothing, or the state of being betrothed; betrothal.
betrust |To trust or intrust. [Obs.]
betrustment |The act of intrusting, or the thing intrusted. [Obs.] Chipman.
betso |A small brass Venetian coin. [Obs.]
