displosive |Explosive.
disproportionate |Not proportioned; unsymmetrical; unsuitable to something else in bulk, form, value, or extent; out of proportion; inadequate; as, in a perfect body none of the limbs are disproportionate; it is wisdom not to undertake a work disproportionate means. -- Dis`pro*por\"tion*ate*ly, adv. -- Dis`pro*por\"tion*ate*ness, n.
dispropriate |To cancel the appropriation of; to disappropriate. [R.]
disprovable |Capable of being disproved or refuted. Boyle.
disproval |Act of disproving; disproof. [R.]
disprove |1. To prove to be false or erroneous; to confute; to refute. That false supposition I advanced in order to disprove it. Atterbury. 2. To disallow; to disapprove of. [Obs.] Stirling.
disprover |One who disproves or confutes.
disprovide |Not to provide; to fail to provide. [Obs.] Boyle.
dispunct |Wanting in punctilious respect; discourteous. [Obs.] That were dispunct to the ladies. B. Jonson.\n\nTo expunge. [Obs.] Foxe.
dispunge |To expunge; to erase. [Obs.]\n\nSee Disponge. [Obs.]
dispunishable |Without penal restraint; not punishable. [R.] Swift.
dispurpose |To dissuade; to frustrate; as, to dispurpose plots. [R.] A. Brewer.
dispurse |To disburse. [Obs.] Shak.
dispurvey |To disfurnish; to strip. [Obs.] Heywood.
dispurveyance |Want of provisions; [Obs.] Spenser.
disputable |1. Capable of being disputed; liable to be called in question, controverted, or contested; or doubtful certainty or propriety; controvertible; as, disputable opinions, propositions, points, or questions. Actions, every one of which is very disputable. Jer. Taylor. 2. Disputatious; contentious. [Obs.] Shak.
disputableness |State of being disputable.
disputacity |Proneness to dispute. [Obs.] Bp. Ward.
disputant |Disputing; engaged in controversy. Milton.\n\nOne who disputes; one who argues A singularly eager, acute, and pertinacious disputant. Macaulay.
disputation |1. The act of disputing; a reasoning or argumentation in opposition to something, or on opposite sides; controversy in words; verbal contest respecting the truth of some fact, opinion, proposition, or argument. 2. A rhetorical exercise in which parties reason in opposition to each other on some question proposed.
disputatious |Inclined to dispute; apt to civil or controvert; characterized by dispute; as, a disputatious person or temper. The Christian doctrine of a future life was no recommendation of the new religion to the wits and philosophers of that disputations period. Buckminster. -- Dis`pu*ta\"tious*ly, adv. -- Dis`pu*ta\"tious*ness, n.
disputative |Disposed to dispute; inclined to cavil or to reason in opposition; as, a disputative temper. I. Watts.
dispute |To contend in argument; to argue against something maintained, upheld, or claimed, by another; to discuss; to reason; to debate; to altercate; to wrangle. Therefore disputed [reasoned, Rev. Ver .] he in synagogue with the Jews. Acts xvii. 17.\n\n1. To make a subject of disputation; to argue pro and con; to discuss. The rest I reserve it be disputed how the magistrate is to do herein. Milton. 2. To oppose by argument or assertion; to attempt to overthrow; to controvert; to express dissent or opposition to; to call in question; to deny the truth or validity of; as, to dispute assertions or arguments. To seize goods under the disputed authority of writs of assistance. Bancroft. 3. To strive or contend about; to contest. To dispute the possession of the ground with the Spaniards. Prescott. 4. To struggle against; to resist. [Obs.] Dispute it [grief] like a man. Shak. Syn. -- To controvert; contest; gainsay; doubt; question; argue; debate; discuss; impugn. See Argue.\n\n1. Verbal controversy; contest by opposing argument or expression of opposing views or claims; controversial discussion; altercation; debate. Addicted more To contemplation and profound dispute. Milton. 2. Contest; struggle; quarrel. De Foe. Beyond dispute, Without dispute, indisputably; incontrovertibly. Syn. -- Altercation; controversy; argumentation; debate; discussion; quarrel; disagreement; difference; contention; wrangling. See Altercation.
disputeless |Admitting no dispute; incontrovertible. Bailey.
disputer |One who disputes, or who is given to disputes; a controvertist. Where is the disputer of this world 1 Cor. i. 20.
disputison |Dispute; discussion. [Obs.] Chaucer.
disqualification |1. The act of disqualifying, or state of being disqualified; want of qualification; incompetency; disability; as, the disqualification of men for holding certain offices. 2. That which disqualifies; that which incapacitates or makes unfit; as, conviction of crime is a disqualification of a person for office; sickness is a disqualification for labor. I must still retain the consciousness of those disqualifications which you have been pleased to overlook. Sir J. Shore.
disqualify |1. To deprive of the qualities or properties necessary for any purpose; to render unfit; to incapacitate; -- with for or from before the purpose, state, or act. My common illness disqualifies me for all conversation; I mean my deafness. Swift. Me are not disqualified by their engagements in trade from being received in high society. Southey. 2. To deprive of some power, right, or privilege, by positive restriction; to disable; to debar legally; as, a conviction of perjury disqualifies a man to be a witness.
disquantity |To diminish the quantity of; to lessen. [Obs.] Shak.
disquiet |Deprived of quiet; impatient; restless; uneasy. [R.] Shak.\n\nWant of quiet; want of tranquility in body or mind; uneasiness; restlessness; disturbance; anxiety. Swift.\n\nTo render unquiet; to deprive of peace, rest, or tranquility; to make uneasy or restless; to disturb. Why art thou cast down, O my soul, and why art thou disquieted within me Ps. xlii. 11. As quiet as these disquieted times will permit. Sir W. Scott. Syn. -- To harass; disturb; vex; fret; excite; agitate.
disquietal |The act of disquieting; a state of disquiet. [Obs.] [It] roars and strives 'gainst its disquietal. Dr. H. More.
disquieter |One who, or that which, disquiets, or makes uneasy; a disturber.
disquietful |Producing inquietude or uneasiness. [R.] Barrow.
disquietive |Tending to disquiet. [R.]
disquietly |In a disquiet manner; uneasily; as, he rested disquietly that night. [R.] Wiseman.
disquietment |State of being disquieted; uneasiness; harassment. [R.] Hopkins.
disquietness |Disturbance of quiet in body or mind; restlessness; uneasiness. Hooker.
disquietous |Causing uneasiness. [R.] So distasteful and disquietous to a number of men. Milton.
disquiettude |Want of peace or tranquility; uneasiness; disturbance; agitation; anxiety. Fears and disquietude, and unavoidable anxieties of mind. Abp. Sharp.
disquisition |A formal or systematic inquiry into, or discussion of, any subject; a full examination or investigation of a matter, with the arguments and facts bearing upon it; elaborate essay; dissertation. For accurate research or grave disquisition he was not well qualified. Macaulay.
disquisitional |Pertaining to disquisition; of the nature of disquisition.
disquisitionary |Pertaining to disquisition; disquisitional.
disquisitive |Relating to disquisition; fond discussion or investigation; examining; inquisitive.
disquisitorial |Disquisitory.
disquisitory |Of or pertaining to disquisition; disquisitive. Ed. Rev.
disrange |To disarrange. [Obs.] Wood.
disrank |1. To degrade from rank. [Obs.] 2. To throw out of rank or into confusion. Decker.
disrate |To reduce to a lower rating or rank; to degrade. Marryat.
disray |of Disarray. [Obs.] Holland.
disrealize |To divest of reality; to make uncertain. [Obs.] Udall.
disregard |Not to regard; to pay no heed to; to omit to take notice of; to neglect to observe; to slight as unworthy of regard or notice; as, to disregard the admonitions of conscience. Studious of good, man disregarded fame. Blackmore.\n\nThe act of disregarding, or the state of being disregarded; intentional neglect; omission of notice; want of attention; slight. The disregard of experience. Whewell.
disregarder |One who disregards.
disregardful |Neglect; negligent; heedless; regardless.
disregardfully |Negligently; heedlessly.
disrelish |1. Want of relish; dislike (of the palate or of the mind); distaste; a slight degree of disgust; as, a disrelish for some kinds of food. Men love to hear of their power, but have an extreme disrelish to be told of their duty. Burke. 2. Absence of relishing or palatable quality; bad taste; nauseousness. Milton.\n\n1. Not to relish; to regard as unpalatable or offensive; to feel a degree of disgust at. Pope. 2. To deprive of relish; to make nauseous or disgusting in a slight degree. Milton.
disremember |To fail to remember; to forget. [Obs. or Archaic]
disrepair |A state of being in bad condition, and wanting repair. The fortifications were ancient and in disrepair. Sir W. Scott.
disreputability |The state of being disreputable. [R.]
disreputable |Not reputable; of bad repute; not in esteem; dishonorable; disgracing the reputation; tending to bring into disesteem; as, it is disreputable to associate familiarly with the mean, the lewd, and the profane. Why should you think that conduct disreputable in priests which you probably consider as laudable in yourself Bp. Watson. Syn. -- Dishonorable; discreditable; low; mean; disgraceful; shameful.
disreputably |In a disreputable manner.
disreputation |Loss or want of reputation or good name; dishonor; disrepute; disesteem. \"A disreputation of piety.\" Jer. Taylor.
disrepute |Loss or want of reputation; ill character; disesteem; discredit. At the beginning of the eighteenth century astrology fell into general disrepute. Sir W. Scott. Syn. -- Disesteem; discredit; dishonor; disgrace.\n\nTo bring into disreputation; to hold in dishonor. [R.] More inclined to love them tan to disrepute them. Jer. Taylor.
disrespect |Want of respect or reverence; disesteem; incivility; discourtesy. Impatience of bearing the least affront or disrespect. Pope.\n\nTo show disrespect to. We have disrespected and slighted God. Comber.
disrespectability |Want of respectability. Thackeray.
disrespectable |Not respectable; disreputable. M. Arnold.
disrespecter |One who disrespects.
disrespectful |Wanting in respect; manifesting disesteem or lack of respect; uncivil; as, disrespectful behavior. -- Dis`re*spect\"ful*ly, adv. -- Dis`re*spect\"ful*ness, n.
disrespective |Showing want of respect; disrespectful. [Obs.] Bp. Hall.
disreverence |To treat irreverently or with disrespect. [Obs.] Sir T. More.
disrobe |To divest of a robe; to undress; figuratively, to strip of covering; to divest of that which clothes or decorates; as, autumn disrobes the fields of verdure. Two great peers were disrobed of their glory. Sir H. Wotton.
disrober |One who, or that which, disrobes.
disroof |To unroof. [R.] Carlyle.
disroot |To tear up the roots of, or by the roots; hence, to tear from a foundation; to uproot. A piece of ground disrooted from its situation by subterraneous inundations. Goldsmith.
disrout |To put to rout. Taylor (1630).
disrudder |To deprive of the rudder, as a ship.
disrulily |In a disorderly manner. [Obs.] Rom. of R.
disruly |Unruly; disorderly. [Obs.]
disrupt |Rent off; torn asunder; severed; disrupted.\n\nTo break asunder; to rend. Thomson.
disruption |The act or rending asunder, or the state of being rent asunder or broken in pieces; breach; rent; dilaceration; rupture; as, the disruption of rocks in an earthquake; disruption of a state.
disruptive |Causing, or tending to cause, disruption; caused by disruption; breaking through; bursting; as, the disruptive discharge of an electrical battery. Nichol.
disrupture |Disruption. [R.] Jefferson.
dissatisfaction |The state of being dissatisfied, unsatisfied, or discontented; uneasiness proceeding from the want of gratification, or from disappointed wishes and expectations. The ambitious man has little happiness, but is subject to much uneasiness and dissatisfaction. Addison. Syn. -- Discontent; discontentment; displeasure; disapprobation; distaste; dislike.
dissatisfactory |Causing dissatisfaction; unable to give content; unsatisfactory; displeasing. To have reduced the different qualifications in the different States to one uniform rule, would probably have been as dissatisfactory to some of the States, as difficult for the Convention. A. Hamilton. -- Dis*sat`is*fac\"to*ri*ness, n.
dissatisfy |To render unsatisfied or discontented; to excite uneasiness in by frustrating wishes or expectations; to displease by the want of something requisite; as, to be dissatisfied with one's fortune. The dissatisfied factions of the autocracy. Bancroft.
disseat |To unseat. [R.] Shak.
dissect |1. (Anat.)  To divide into separate parts; to cut in pieces; to separate and expose the parts of, as an animal or a plant, for examination and to show their structure and relations; to anatomize. 2. To analyze, for the purposes of science or criticism; to divide and examine minutely. This paragraph . . . I have dissected for a sample. Atterbury.
dissected |1. Cut into several parts; divided into sections; as, a dissected map. 2. (Bot.)  Cut deeply into many lobes or divisions; as, a dissected leaf.
dissectible |Capable of being dissected, or separated by dissection. Paley.
dissecting |1. Dividing or separating the parts of an animal or vegetable body; as, a dissecting aneurism, one which makes its way between or within the coats of an artery. 2. Of or pertaining to, or received during, a dissection; as, a dissecting wound. 3. Used for or in dissecting; as, a dissecting knife; a dissecting microscope.
dissection |1. The act of dissecting an animal or plant; as, dissection of the human body was held sacrilege till the time of Francis I. 2. Fig.: The act of separating or dividing for the purpose of critical examination. 3. Anything dissected; especially, some part, or the whole, of an animal or plant dissected so as to exhibit the structure; an anatomical so prepared. Dissection wound, a poisoned wound incurred during the dissection of a dead body.
dissector |One who dissects; an anatomist.
disseize |To deprive of seizin or possession; to dispossess or oust wrongfully (one in freehold possession of land); -- followed by of; as, to disseize a tenant of his freehold. [Written also disseise.] Which savage beasts strive as eagerly to keep and hold those golden mines, as the Arimaspians to disseize them thereof. Holland.
disseizee |A person disseized, or put out of possession of an estate unlawfully; -- correlative to disseizor. [Written also disseisee.]
disseizin |The act of disseizing; an unlawful dispossessing and ouster of a person actually seized of the freehold. [Written also disseisin.] Blackstone.
disseizor |One who wrongfully disseizes, or puts another out of possession of a freehold. [Written also disseisor.] Blackstone.
disseizoress |A woman disseizes.
disseizure |Disseizin. Speed.
dissemblance |Want of resemblance; dissimilitude. [R.] Osborne.\n\nThe act or art of dissembling; dissimulation. [Obs.]
dissemble |1. To hide under a false semblance or seeming; to feign (something) not to be what it really is; to put an untrue appearance upon; to disguise; to mask. Dissemble all your griefs and discontents. Shak. Perhaps it was right to dissemble your love, But -- why did you kick me down stairs J. P. Kemble. 2. To put on the semblance of; to make pretense of; to simulate; to feign. He soon dissembled a sleep. Tatler. Syn. -- To conceal; disguise; cloak; cover; equivocate. See Conceal.\n\nTo conceal the real fact, motives, He that hateth dissembleth with his lips. Prov. xxvi. 24. He [an enemy] dissembles when he assumes an air of friendship. C. J. Smith.
dissembler |One who dissembles; one who conceals his opinions or dispositions under a false appearance; a hypocrite. It is the weakest sort of politicians that are the greatest dissemblers. Bacon. Priests, princes, women, no dissemblers here. Pope. Syn. -- Dissembler, Hypocrite. A person is called a dissembler with reference to his concealment of his real character, and a hypocrite with reference to his assumption of a false character. But hypocrite is the stronger word, being commonly used to characterize a person who is habitually insincere and false, especially one who makes professions of goodness when his aims are selfish and his life corrupt.
dissembling |That dissembles; hypocritical; false. -- Dis*sem\"bling*ly, adv.
disseminate |1. To sow broadcast or as seed; to scatter for growth and propagation, like seed; to spread abroad; to diffuse; as, principles, ideas, opinions, and errors are disseminated when they are spread abroad for propagation. 2. To spread or extend by dispersion. A nearly uniform and constant fire or heat disseminated throughout the body of the earth. Woodward. Syn. -- To spread; diffuse; propagate; circulate; disperse; scatter.
disseminated |Occurring in small portions scattered through some other substance.
dissemination |The act of disseminating, or the state of being disseminated; diffusion for propagation and permanence; a scattering or spreading abroad, as of ideas, beliefs, etc. The universal dissemination of those writings. Wayland.
disseminative |Tending to disseminate, or to become disseminated. The effect of heresy is, like the plague, infectious and disseminative. Jer. Taylor.
disseminator |One who, or that which, disseminates, spreads, or propagates; as, disseminators of disease.
dissension |Disagreement in opinion, usually of a violent character, producing warm debates or angry words; contention in words; partisan and contentious divisions; breach of friendship and union; strife; discord; quarrel. Paul and Barnabas had no small dissension and disputation with them. Acts xv. 2. Debates, dissension, uproars are thy joy. Dryden. A seditious person and raiser-up of dissension among the people. Robynson (More's Utopia).
dissensious |Disposed to discord; contentious; dissentious. [R.] Ascham. -- Dis*sen\"sious*ly, adv. Chapman.
dissent |1. To differ in opinion; to be of unlike or contrary sentiment; to disagree; -- followed by from. The bill passed . . . without a dissenting voice. Hallam. Opinions in which multitudes of men dissent from us. Addison. 2. (Eccl.)  To differ from an established church in regard to doctrines, rites, or government. 3. To differ; to be of a contrary nature. Hooker.\n\n1. The act of dissenting; difference of opinion; refusal to adopt something proposed; nonagreement, nonconcurrence, or disagreement. The dissent of no small number [of peers] is frequently recorded. Hallam. 2. (Eccl.)  Separation from an established church, especially that of England; nonconformity. It is the dissidence of dissent and the protestantism of the Protestant religion. Burke. 3. Contrariety of nature; diversity in quality. [Obs.] The dissent of the metals. Bacon. Syn. -- Disagreement; variance; difference; nonconcurrence; nonconformity.
dissentaneous |Disagreeing; contrary; differing; -- opposed to consentaneous. [R.] Barrow.
dissentany |Dissentaneous; inconsistent. [Obs.] Milton.
dissentation |Dissension. [Obs.] W. Browne.
dissenter |1. One who dissents; one who differs in opinion, or declares his disagreement. 2. (Eccl.)  One who separates from the service and worship of an established church; especially, one who disputes the authority or tenets of the Church of England; a nonconformist. Dissenters from the establishment of their several countries. Burke. Robert Brown is said to have the first formal dissenter. Shipley. Note: \"The word is commonly applied only to Protestants. The Roman Catholics are generally referred to as a distinct class.\" Brande & C.
dissenterism |The spirit or principles of dissenters. Ed. Rev.
dissentiate |To throw into a state of dissent. [R.] Feltham.
dissentient |Disagreeing; declaring dissent; dissenting. -- n.  One who dissents. Macaulay.
dissentious |Marked by dissensions; apt to breed discord; quarrelsome; contentious; factious. -- Dis*sen\"tious*ly, adv.
dissentive |Disagreeing; inconsistent. [Obs.] Feltham.
dissepiment |1. A separating tissue; a partition; a septum. 2. (Bot.)  One of the partitions which divide a compound ovary into cells. 3. (Zoöl.)  One of the transverse, calcareous partitions between the radiating septa of a coral.
dissert |To discourse or dispute; to discuss. [R.] We have disserted upon it a little longer than was necessary. Jeffrey.
dissertate |To deal in dissertation; to write dissertations; to discourse. [R.] J. Foster.
dissertation |A formal or elaborate argumentative discourse, oral or written; a disquisition; an essay; a discussion; as, Dissertations on the Prophecies.
dissertational |Relating to dissertations; resembling a dissertation.
dissertationist |A writer of dissertations.
dissertator |One who writers a dissertation; one who discourses. Boyle.
dissertly |See Disertly. [Obs.]
disserve |To fail to serve; to do injury or mischief to; to damage; to hurt; to harm. Have neither served nor disserved the interests of any party. Jer. Taylor.
disservice |Injury; mischief. We shall rather perform good offices unto truth than any disservice unto their relators. Sir T. Browne.
disserviceable |Calculated to do disservice or harm; not serviceable; injurious; harmful; unserviceable. Shaftesbury. -- Dis*serv\"ice*a*ble*ness, n. Norris. -- Dis*serv\"ice*a*bly, adv.
dissettle |To unsettle. [Obs.]
dissettlement |The act of unsettling, or the state of being unsettled. Marvell.
dissever |To part in two; to sever thoroughly; to sunder; to disunite; to separate; to disperse. The storm so dissevered the company . . . that most of therm never met again. Sir P. Sidney. States disserved, discordant, belligerent. D. Webster.\n\nTo part; to separate. Chaucer.
disseverance |The act of disserving; separation.
disseveration |The act of disserving; disseverance. [Obs.]
disseverment |Disseverance. Sir W. Scott.
disshadow |To free from shadow or shade. [Obs.] G. Fletcher.
dissheathe |To become unsheathed. [Obs.] Sir W. Raleigh.
disship |To dismiss from service on board ship. [Obs.] Hakluyt.
disshiver |To shiver or break in pieces. [Obs.]
dissidence |Disagreement; dissent; separation from the established religion. I. Taylor. It is the dissidence of dissent. Burke.
dissident |No agreeing; dissenting; discordant; different. Our life and manners be dissident from theirs. Robynson (More's Utopia).\n\nOne who disagrees or dissents; one who separates from the established religion. The dissident, habituated and taught to think of his dissidencI. Taylor.
dissidently |In a dissident manner.
dissilience |The act of leaping or starting asunder. Johnson.
dissiliency |The act of leaping or starting asunder. Johnson.
dissilient |Starting asunder; bursting and opening with an elastic force; dehiscing explosively; as, a dissilient pericarp.
dissilition |The act of bursting or springing apart. [R.] Boyle.
dissimilar |Not similar; unlike; heterogeneous; as, the tempers of men are as dissimilar as their features. This part very dissimilar to any other. Boyle.
dissimilarity |Want of resemblance; unlikeness; dissimilitude; variety; as, the dissimilarity of human faces and forms. Sir W. Jones.
dissimilarly |In a dissimilar manner; in a varied style. With verdant shrubs dissimilarly gay. C. Smart.
dissimilate |To render dissimilar.
dissimilation |The act of making dissimilar. H. Sweet.
dissimile |Comparison or illustration by contraries.
dissimilitude |1. Want of resemblance; unlikeness; dissimilarity. Dissimilitude between the Divinity and images. Stillingfleet. 2. (Rhet.)  A comparison by contrast; a dissimile.
dissimulate |Feigning; simulating; pretending. [Obs.] Henryson.\n\nTo dissemble; to feign; to pretend.
dissimulation |The act of dissembling; a hiding under a false appearance; concealment by feigning; false pretension; hypocrisy. Let love be without dissimulation. Rom. xii. 9. Dissimulation . . . when a man lets fall signs and arguments that he is not that he is. Bacon. Simulation is a pretense of what is not, and dissimulation a concealment of what is. Tatler.
dissimulator |One who dissimulates; a dissembler.
dissimule |To dissemble. [Obs.] Chaucer.
dissimuler |A dissembler. [Obs.]
dissimulour |A dissembler. [Obs.] Chaucer.
dissipable |Capable of being scattered or dissipated. [R.] The heat of those plants is very dissipable. Bacon.
