choregraphical |Pertaining to choregraphy.
christen |1. To baptize and give a Christian name to. 2. To give a name; to denominate. \"Christen the thing what you will.\" Bp. Burnet. 3. To Christianize. [Obs.] Jer. Taylor. 4. To use for the first time. [Colloq.]
christendom |1. The profession of faith in Christ by baptism; hence, the Christian religion, or the adoption of it. [Obs.] Shak. 2. The name received at baptism; or, more generally, any name or appelation. [Obs.] Pretty, fond, adoptious christendoms. Shak. 3. That portion of the world in which Christianity prevails, or which is governed under Christian institutions, in distinction from heathen or Mohammedan lands. The Arian doctrine which then divided Christendom. Milton A wide and still widening Christendom. Coleridge. 4. The whole body of Christians. Hooker.
christian |1. One who believes, or professes or is assumed to believe, in Jesus Christ, and the truth as taught by Him; especially, one whose inward and outward life is conformed to the doctrines of Christ. The disciples were called Christians first in Antioch. Acts xi. 26. 2. One born in a Christian country or of Christian parents, and who has not definitely becomes an adherent of an opposing system. 3. (Eccl.) (a) One of a Christian denomination which rejects human creeds as bases of fellowship, and sectarian names. They are congregational in church government, and baptize by immersion. They are also called Disciples of Christ, and Campbellites. (b) One of a sect (called Christian Connection) of open-communion immersionists. The Bible is their only authoritative rule of faith and practice. Note: In this sense, often pronounced, but not by the members of the sects, kris\"chan.\n\n1. Pertaining to Christ or his religion; as, Christian people. 3. Pertaining to the church; ecclesiastical; as, a Christian court. Blackstone. 4. Characteristic of Christian people; civilized; kind; kindly; gentle; beneficent. The graceful tact; the Christian art. Tennyson. Christian Commission. See under Commission. -- Christian court. Same as Ecclesiastical court. -- Christian era, the present era, commencing with the birth of Christ. It is supposed that owing to an error of a monk (Dionysius Exiguus, d. about 556) employed to calculate the era, its commencement was fixed three or four years too late, so that 1890 should be 1893 or 1894. -- Christian name, the name given in baptism, as distinct from the family name, or surname.
christian era |The era in use in all Christian countries, which was intended to commence with the birth of Christ. The era as now established was first used by Dionysius Exiguus (died about 540), who placed the birth of Christ on the 25th of December in the year of Rome 754, which year he counted as 1 a. d. This date for Christ's birth is now generally thought to be about four years too late.
christian science |A system of healing disease of mind and body which teaches that all cause and effect is mental, and that sin, sickness, and death will be destroyed by a full understanding of the Divine Principle of Jesus' teaching and healing. The system was founded by Rev. Mary Baker Glover Eddy, of Concord, N. H., in 1866, and bases its teaching on the Scriptures as understood by its adherents.
christian scientist |A believer in Christian Science; one who practices its teachings.
christian seneca |Joseph Hall (1574 -- 1656), Bishop of Norwich, a divine eminent as a moralist.
christian socialism |Any theory or system that aims to combine the teachings of Christ with the teachings of socialism in their applications to life; Christianized socialism; esp., the principles of this nature advocated by F. D. Maurice, Charles Kingsley, and others in England about 1850. -- Christian socialist.
christianism |1. The Christian religion. [Obs.] Milton. 2. The Christian world; Christendom. [Obs.] Johnson
christianite |(a) Same as Anorthite. [R.] (b) See Phillipsite.
christianity |1. The religion of Christians; the system of doctrines and precepts taught by Christ. 2. Practical conformity of one's inward and outward life to the spirit of the Christian religion 3. The body of Christian believers. [Obs.] To Walys fled the christianitee Of olde Britons. Chaucer.
christianization |The act or process of converting or being converted to a true Christianity.
christianize |1. To make Christian; to convert to Christianity; as, to Christianize pagans. 2. To imbue with or adapt to Christian principles. Christianized philosophers. I. Taylor.\n\nTo adopt the character or belief of a Christian; to become Christian. The pagans began to Christianize. Latham.
christianlike |Becoming to a Christian. A virtuous and a Christianlike conclusion. Shak.
christianly |In a manner becoming the principles of the Christian religion. Sufferings . . . patiently and Christianly borne. Sharp.\n\nChristianlike. Longfellow.
christianness |Consonance with the doctrines of Christianity. [Obs.] Hammond.
christless |Without faith in Christ; unchristian. Tennyson.
christlike |Resembling Christ in character, actions, etc. -- Christ\"like`ness, n.
christly |Christlike. H. Bushnell.
christmas |An annual church festival (December 25) and in some States a legal holiday, in memory of the birth of Christ, often celebrated by a particular church service, and also by special gifts, greetings, and hospitality. Christmas box. (a) A box in which presents are deposited at Christmas. (b) A present or small gratuity given to young people and servants at Christmas; a Christmas gift. -- Christmas carol, a carol sung at, or suitable for, Christmas. -- Christmas day. Same as Christmas. -- Christmas eve, the evening before Christmas. -- Christmas fern (Bot.), an evergreen North American fern (Aspidium acrostichoides), which is much used for decoration in winter. -- Christmas flower, Christmas rose, the black hellebore, a poisonous plant of the buttercup family, which in Southern Europe often produces beautiful roselike flowers midwinter. -- Christmas tree, a small evergreen tree, set up indoors, to be decorated with bonbons, presents, etc., and illuminated on Christmas eve.
christmastide |The season of Christmas.
christocentric |Making Christ the center, about whom all things are grouped, as in religion or history; tending toward Christ, as the central object of thought or emotion. J. W. Chadwick.
christology |A treatise on Christ; that department of theology which treats of the personality, attributes, or life of Christ.
christom |See Chrisom. [Obs.] Shak.
christophany |An appearance of Christ, as to his disciples after the crucifixion. CHRIST'S-THORN Christ's-thorn`, n. (Bot.)  One of several prickly or thorny shrubs found in Palestine, especially the Paliurus aculeatus, Zizyphus Spina-Christi, and Z. vulgaris. The last bears the fruit called jujube, and may be considered to have been the most readily obtainable for the Crown of Thorns.
chromascope |An instrument for showing the optical effects of color.
chromate |A salt of chromic acid.
chromatic |1. Relating to color, or to colors. 2. (Mus.)  Proceeding by the smaller intervals (half steps or semitones) of the scale, instead of the regular intervals of the diatonic scale. Note: The intermediate tones were formerly written and printed in colors. Chromatic aberration. (Opt.) See Aberration, 4. -- Chromatic printing, printing from type or blocks covered with inks of various colors. -- Chromatic scale (Mus.), the scale consisting of thirteen tones, including the eight scale tones and the five intermediate tones.
chromatical |Chromatic. [Obs.]
chromatically |In a chromatic manner.
chromatics |The science of colors; that part of optics which treats of the properties of colors.
chromatin |Tissue which is capable of being stained by dyes.
chromatism |1. (Optics)  The state of being colored, as in the case of images formed by a lens. 2. (Bot.)  An abnormal coloring of plants.
chromatogenous |Producing color.
chromatography |A treatise on colors
chromatology |A treatise on colors.
chromatophore |1. (Zoöl.)  A contractile cell or vesicle containing liquid pigment and capable of changing its form or size, thus causing changes of color in the translucent skin of such animals as possess them. They are highly developed and numerous in the cephalopods. 2. (Bot.)  One of the granules of protoplasm, which in mass give color to the part of the plant containing them.
chromatoscope |A reflecting telescope, part of which is made to rotate eccentrically, so as to produce a ringlike image of a star, instead of a point; -- used in studying the scintillation of the stars.
chromatosphere |A chromosphere. [R.]
chromatrope |1. (Physics)  An instrument for exhibiting certain chromatic effects of light (depending upon the persistence of vision and mixture of colors) by means of rapidly rotating disks variously colored. 2. A device in a magic lantern or stereopticon to produce kaleidoscopic effects.
chromatype |1. (Photog.)  A colored photographic picture taken upon paper made sensitive with potassium bichromate or some other salt of chromium. 2. The process by which such picture is made.
chrome |Same as Chromium. Chrome alum (Chem.), a dark violet substance, (SO4)3Cr2.K2SO4.24H2O, analogous to, and crystallizing like, common alum. It is regarded as a double sulphate of chromium and potassium. -- Chrome green (a) The green oxide of chromium, Cr2O3, used in enamel painting, and glass staining. (b) A pigment made by mixing chrome yellow with Prussian blue. -- Chrome red, a beautiful red pigment originally prepared from the basic chromate of lead, but now made from red oxide of lead. -- Chrome yellow, a brilliant yellow pigment, PbCrO4, used by painters.
chrome steel |Same as Chromium steel, under Steel.
chromic |Pertaining to, or obtained from, chromium; -- said of the compounds of chromium in which it has its higher valence. Chromic acid, an acid, H2CrO4, analogous to sulphuric acid, not readily obtained in the free state, but forming well known salts, many of which are colored pigments, as chrome yellow, chrome red, etc. -- Chromic anhydride, a brilliant red crystalline substance, CrO3, regarded as the anhydride of chromic acid. It is one of the most powerful oxidizers known.
chromid |One of the Chromidæ, a family of fresh-water fishes abundant in the tropical parts of America and Africa. Some are valuable food fishes, as the bulti of the Nile.
chromidrosis |Secretion of abnormally colored perspiration.
chromism |Same as Chromatism.
chromite |1. (Min.)  A black submetallic mineral consisting of oxide of chromium and iron; -- called also chromic iron. 2. (Chem.)  A compound or salt of chromous hydroxide regarded as an acid. [R.]
chromium |A comparatively rare element occurring most abundantly in the mineral chromite. Atomic weight 52.5. Symbol Cr. When isolated it is a hard, brittle, grayish white metal, fusible with difficulty. Its chief commercial importance is for its compounds, as potassium chromate, lead chromate, etc., which are brilliantly colored and are used dyeing and calico printing. Called also chrome.
chromo |A chromolithograph.
chromoblast |An embryonic cell which develops into a pigment cell.
chromogen |1. (Biol.)  Vegetable coloring matter other than green; chromule. 2. (Chem.)  Any colored compound, supposed to contain one or more chromophores.
chromogenic |Containing, or capable of forming, chromogen; as, chromogenic bacteria.
chromograph |An apparatus by which a number of copies of written matter, maps, plans, etc., can be made; -- called also hectograph.
chromoleucite |A chromoplastid.
chromolithograph |A picture printed in tints and colors by repeated impressions from a series of stones prepared by the lithographic process.
chromolithographer |One who is engaged in chromolithography.
chromolithographic |Pertaining to, or made by, chromolithography.
chromolithography |Lithography adapted to printing in inks of various colors.
chromophane |A general name for the several coloring matters, red, green, yellow, etc., present in the inner segments in the cones of the retina, held in solution by fats, and slowly decolorized by light; distinct from the photochemical pigments of the rods of the retina.
chromophore |Any chemical group or residue (as NO
chromophotograph |A picture made by any of the processes for reproducing photographs in colors. --Chro`mo*pho`to*graph\"ic (#), a.
chromophotography |The art of producing photographs in colors.
chromophotolithograph |A photolithograph printed in colors.
chromoplastid |A protoplasmic granule of some other color than green; -- also called chromoleucite.
chromosome |One of the minute bodies into which the chromatin of the nucleus is resolved during mitotic cell division; the idant of Weismann.
chromosphere |An atmosphere of rare matter, composed principally of incandescent hydrogen gas, surrounding the sun and enveloping the photosphere. Portions of the chromosphere are here and there thrown up into enormous tongues of flame.
chromospheric |Of or pertaining to the chromosphere.
chromotype |1. A sheet printed in colors by any process, as a chromolithograph. See Chromolithograph. 2. A photographic picture in the natural colors.
chromous |Of, pertaining to, or derived from, chromium, when this element has a valence lower than that in chromic compounds. Chromous acid, a bluish gray powder, CrO.OH, of weak acid properties and regard as an acid.
chromule |A general name for coloring matter of plants other than chlorophyll, especially that of petals.
chronic |1. Relating to time; according to time. 2. Continuing for a long time; lingering; habitual. Chronic disease, one which is inveterate, of long continuance, or progresses slowly, in distinction from an acute disease, which speedly terminates.
chronical |Chronic. Partly on a chronical, and partly on a topical method. J. A. Alexander.
chronicle |1. An historical register or account of facts or events disposed in the order of time. 2. A narrative of events; a history; a record. 3. pl.  The two canonical books of the Old Testament in which immediately follow 2 Kings. Syn. - Register; record; annals. See History.\n\nTo record in a history or chronicle; to record; to register. Shak.
chronicler |A writer of a chronicle; a recorder of events in the order of time; an historian. Such an honest chronicler as Griffith. Shak.
chronique |A chronicle. L. Addison.
chronogram |1. An inscription in which certain numeral letters, made to appear specially conspicuous, on being added together, express a particular date or epoch, as in the motto of a medal struck by Gustavus Adolphus in 1632: ChrIstVs DVX; ergo trIVMphVs. - the capitals of which give, when added as numerals, the sum 1632. 2. The record or inscription made by a chronograph.
chronogrammatic |Belonging to a chronogram, or containing one.
chronogrammatical |Belonging to a chronogram, or containing one.
chronogrammatist |A writer of chronograms.
chronograph |1. An instrument for measuring or recording intervals of time, upon a revolving drum or strip of paper moved by clockwork. The action of the stylus or pen is controlled by electricity. 2. Same as Chronogram, 1. [R.] 3. A chronoscope.
chronographer |One who writes a chronography; a chronologer. Tooke.
chronographic |Of or pertaining to a chronograph.
chronography |A description or record of past time; history. [Obs.] Bp. Hall.
chronologer |Same as Chronologist.\n\nA person who investigates dates of events and transactions; one skilled in chronology. That learned noise and dust of the chronologist is wholly to be avoided. Locke. THe most exact chronologers tell us that Christ was born in October, and not in December. John Knox.
chronologic |Relating to chronology; containing an account of events in the order of time; according to the order of time; as, chronological tables. Raleigh. -- Chron`o*log\"ic*al*ly, adv.
chronological |Relating to chronology; containing an account of events in the order of time; according to the order of time; as, chronological tables. Raleigh. -- Chron`o*log\"ic*al*ly, adv.
chronologist |A person who investigates dates of events and transactions; one skilled in chronology. That learned noise and dust of the chronologist is wholly to be avoided. Locke. THe most exact chronologers tell us that Christ was born in October, and not in December. John Knox.
chronology |The science which treats of measuring time by regular divisions or periods, and which assigns to events or transactions their proper dates. If history without chronology is dark and confused, chronology without history is dry and insipid. A. Holmes.
chronometer |1. An instrument for measuring time; a timekeeper. 2. A portable timekeeper, with a heavy compensation balance, and usually beating half seconds; -- intended to keep time with great accuracy for use an astronomical observations, in determining longitude, etc. 3. (Mus.)  A metronome. Box chronometer. See under Box. -- Pocket chronometer, a chronometer in the form of a large watch. -- To rate a chronometer. See Rate, v. t.
chronometric |Pertaining to a chronometer; measured by a chronometer.
chronometrical |Pertaining to a chronometer; measured by a chronometer.
chronometry |The art of measuring time; the measuring of time by periods or divisions.
chronopher |An instrument signaling the correct time to distant points by electricity.
chronophotograph |One of a set of photographs of a moving object, taken for the purpose of recording and exhibiting successive phases of the motion. --Chron`o*pho*tog\"ra*phy, n.
chronoscope |An instrument for measuring minute intervals of time; used in determining the velocity of projectiles, the duration of short-lived luminous phenomena, etc.
chrysalid |Pertaining to a chrysalis; resembling a chrysalis.\n\nSee Chrysalis.
chrysalis |The pupa state of certain insects, esp. of butterflies, from which the perfect insect emerges. See Pupa, and Aurelia (a).
chrysaniline |A yellow substance obtained as a by-product in the manufacture of rosaniline. It dyes silk a fine golden-yellow color.
chrysanthemum |A genus of composite plants, mostly perennial, and of many species including the many varieties of garden chrysanthemums (annual and perennial), and also the feverfew and the oxeye daisy.
chrysarobin |A bitter, yellow substance forming the essential constituent of Goa powder, and yielding chrysophanic acid proper; hence formerly called also chrysphanic acid.
chrysaurin |An orange-colored dyestuff, of artificial production.
chryselephantine |Composed of, or adorned with, gold and ivory. Note: The chryselephantine statues of the Greeks were built up with inferior materials, veneered, as it were, with ivory for the flesh, and gold decorated with color for the hair and garments.
chrysene |One of the higher aromatic hydrocarbons of coal tar, allied to napthalene and anthracene. It is a white crystalline substance, C18H12, of strong blue fluorescence, but generally colored yellow by impurities.
chrysoberyl |A mineral, found in crystals, of a yellow to green or brown color, and consisting of aluminia and glucina. It is very hard, and is often used as a gem.
chrysochlore |A South African mole of the genus Chrysochloris; the golden mole, the fur of which reflects brilliant metallic hues of green and gold.
chrysocolla |A hydrous silicate of copper, occurring massive, of a blue or greenish blue color.
chrysogen |A yellow crystalline substance extracted from crude anthracene.
chrysography |1. The art of writing in letters of gold. 2. A writing executed in letters of gold.
chrysoidine |An artificial, yellow, crystalline dye, C6H5N2.C6H3(NH2)2. Also, one of a group of dyestuffs resembling chrysoïdine proper.
chrysolite |A mineral, composed of silica, magnesia, and iron, of a yellow to green color. It is common in certain volcanic rocks; -- called also olivine and peridot. Sometimes used as a gem. The name was also early used for yellow varieties of tourmaline and topaz.
chrysology |That branch of political economy which relates to the production of wealth.
chrysopa |A genus of neuropterous insects. See Lacewing.
chrysophane |A glucoside extracted from rhubarb as a bitter, yellow, crystalline powder, and yielding chrysophanic acid on decomposition.
chrysophanic |Pertaining to, or derived from, or resembling, chrysophane. Chrysophanic acid (Chem.), a yellow crystalline substance extracted from rhubarb, yellow dock, sienna, chrysarobin, etc., and shown to be a derivative of an anthracene. It is used in the treatment of skin diseases; -- called also rhein, rheic acid, rhubarbarin, etc.
chrysoprase |An apple-green variety of chalcedony, colored by nickel. It has a dull flinty luster, and is sometimes used in jewelry.
chrysoprasus |See Chrysoprase. Rev. xxi. 20.
chrysosperm |The seed of gold; a means of creating gold. [Obs.] B. Jonson.
chrysotype |1. A photographic picture taken upon paper prepared by the use of a sensitive salt of iron and developed by the application of chloride of gold. Abney. 2. 2process, invented by Sir J.Herschel.
chthonian |Designating, or pertaining to, gods or spirits of the underworld; esp., relating to the underworld gods of the Greeks, whose worship is widely considered as more primitive in form than that of the Olympian gods. The characteristics of chthonian worship are propitiatory and magical rites and generalized or euphemistic names of the deities, which are supposed to have been primarily ghosts.
chthonic |Pertaining to the earth; earthy; as, chthonic religions. [The] chthonic character of the wife of Zeus. Max Müller.
chthonophagia |A disease characterized by an irresistible desire to eat earth, observed in some parts of the southern United States, the West Indies, etc.
chthonophagy |A disease characterized by an irresistible desire to eat earth, observed in some parts of the southern United States, the West Indies, etc.
chub |A species to fresh-water fish of the Cyprinidæ or Carp family. The common European species is Leuciscus cephalus; the cheven. In America the name is applied to various fishes of the same family, of the genera Semotilus, Squalius, Ceratichthys, etc., and locally to several very different fishes, as the tautog, black bass, etc. Chub mackerel (Zoöl.), a species of mackerel (Scomber colias) in some years found in abundance on the Atlantic coast, but absent in others; -- called also bull mackerel, thimble-eye, and big-eye mackerel. -- Chub sucker (Zoöl.), a fresh-water fish of the United States (Erimyzon sucetta); -- called also creekfish.
chub-faced |Having a plump, short face.
chubbed |Chubby. [R.] H. Brooke.
chubbedness |The state of being chubby.
chubby |Like a chub; plump, short, and thick. \"Chubby faces.\" I. Taylor.
chuck |1. To make a noise resembling that of a hen when she calls her chickens; to cluck. 2. To chuckle; to laugh. [R.] Marston.\n\nTo call, as a hen her chickens. Dryden.\n\n1. The chuck or call of a hen. 2. A sudden, small noise. 3. A word of endearment; -- corrupted from chick. \"Pray, chuck, come hither.\" Shak.\n\n1. To strike gently; to give a gentle blow to. Chucked the barmaid under the chin. W. Irving. 2. To toss or throw smartly out of the hand; to pitch. [Colloq.] \"Mahomet Ali will just be chucked into the Nile.\" Lord Palmerson. 3. (Mech.)  To place in a chuck, or hold by means of a chuck, as in turning; to bore or turn (a hole) in a revolving piece held in a chuck.\n\n1. A slight blow or pat under the chin. 2. A short throw; a toss. 3. (Mach.)  A contrivance or machine fixed to the mandrel of a lathe, for holding a tool or the material to be operated upon. Chuck farthing, a play in which a farthing is pitched into a hole; pitch farthing. -- Chuck hole, a deep hole in a wagon rut. -- Elliptic chuck, a chuck having a silder and an eccentric circle, which, as the work turns round, give it a sliding motion across the center which generates an ellipse. Knight.\n\n1. A small pebble; -- called also chuckstone and chuckiestone. [Scot.] 2. pl.  A game played with chucks, in which one or more are tossed up and caught; jackstones. [Scot.]\n\nA piece of the backbone of an animal, from between the neck and the collar bone, with the adjoining parts, cut for cooking; as, a chuck steak; a chuck roast. [Colloq.]
chuckle |1. To call, as a hen her chickens; to cluck. [Obs.] Dryden. 2. To fondle; to cocker. [Obs.] Dryden.\n\nA short, suppressed laugh; the expression of satisfaction, exultation, or derision.\n\nTo laugh in a suppressed or broken manner, as expressing inward satisfaction, exultation, or derision.
chucklehead |A person with a large head; a numskull; a dunce. [Low] Knowles.
chuckleheaded |Having a large head; thickheaded; dull; stupid. Smart. CHUCK-WILL'S-WIDOW Chuck`-Will's-wid\"ow, n. (Zool.)  A species of goatsucker (Antrostomus Carolinensis), of the southern United States; -- so called from its note.
chud |To champ; to bite. [Obs.] A. Stafford.
chuet |Minced meat. [Obs.] Bacon.
chufa |A sedgelike plant (Cyperus esculentus) producing edible tubers, native about the Mediterranean, now cultivated in many regions; the earth almond.
chuff |A coarse or stupid fellow. Shak.\n\nStupid; churlish. [Prov. Eng.] Wright.
chuffily |Clownishly; surlily.
chuffiness |The quality of being chuffy.
chuffy |1. Fat or puffed out in the cheeks. 2. Rough; clownish; surly.
chulan |The fragrant flowers of the Chloranthus inconspicuus, used in China for perfuming tea.
chum |A roommate, especially in a college or university; an old and intimate friend.\n\nTo occupy a chamber with another; as, to chum together at college. [U. S.]\n\nChopped pieces of fish used as bait. [U. S.]
chump |A short, thick, heavy piece of wood. Morton. Chump end, the thick end; as, the chump end of a joint of meat. Dickens.
chunam |Quicklime; also, plaster or mortar. [India] Whitworth.
chunk |A short, thick piece of anything. [Colloq. U. S. & Prov. Eng.]
chunky |Short and thick. [U. S.] Kane.
chupatty |A kind of griddlecake of unleavened bread, used among the natives of India. [Anglo-Indian]
chuprassie |A messenger or servant wearing an official badge. [Anglo- Indian]
chuprassy |A messenger or servant wearing an official badge. [Anglo- Indian]
church |1. A building set apart for Christian worship. 2. A Jewish or heathen temple. [Obs.] Acts xix. 37. 3. A formally organized body of Christian believers worshiping together. \"When they had ordained them elders in every church.\" Acts xiv. 23. 4. A body of Christian believers, holding the same creed, observing the same rites, and acknowledging the same ecclesiastical authority; a denomination; as, the Roman Catholic church; the Presbyterian church. 5. The collective body of Christians. 6. Any body of worshipers; as, the Jewish church; the church of Brahm. 7. The aggregate of religious influences in a community; ecclesiastical influence, authority, etc.; as, to array the power of the church against some moral evil. Remember that both church and state are properly the rulers of the people, only because they are their benefactors. Bulwer. Note: Church is often used in composition to denote something belonging or relating to the church; as, church authority; church history; church member; church music, etc. Apostolic church. See under Apostolic. -- Broad church. See Broad Church. -- Catholic or Universal church, the whole body of believers in Christ throughout the world. -- Church of England, or English church, the Episcopal church established and endowed in England by law. -- Church living, a benefice in an established church. -- Church militant. See under Militant. -- Church owl (Zoöl.), the white owl. See Barn owl. -- Church rate, a tax levied on parishioners for the maintenance of the church and its services. -- Church session. See under Session. -- Church triumphant. See under Triumphant. -- Church work, work on, or in behalf of, a church; the work of a particular church for the spread of religion. -- Established church, the church maintained by the civil authority; a state church.\n\nTo bless according to a prescribed form, or to unite with in publicly returning thanks in church, as after deliverance from the dangers of childbirth; as, the churching of women.
church modes |The modes or scales used in ancient church music. See Gregorian.
church-ale |A church or parish festival (as in commemoration of the dedication of a church), at which much ale was used. Wright. Nares.
church-bench |A seat in the porch of a church. Shak.
church-haw |Churchyard. [Obs.] Chaucer.
churchdom |The institution, government, or authority of a church. [R.] Bp. Pearson.
churchgoer |One who attends church.
churchgoing |1. Habitually attending church. 2. Summoning to church. The sound of the churchgoing bell. Cowper.
