freebooty |Freebootery. [Obs.]
freight |1. That with which anything in fraught or laden for transportation; lading; cargo, especially of a ship, or a car on a railroad, etc.; as, a freight of cotton; a full freight. 2. (Law) (a) The sum paid by a party hiring a ship or part of a ship for the use of what is thus hired. (b) The price paid a common carrier for the carriage of goods. Wharton. 3. Freight transportation, or freight line.\n\nEmployed in the transportation of freight; having to do with freight; as, a freight car. Freight agent, a person employed by a transportation company to receive, forward, or deliver goods. -- Freight car. See under Car. -- Freight train, a railroad train made up of freight cars; -- called in England goods train.\n\nTo load with goods, as a ship, or vehicle of any kind, for transporting them from one place to another; to furnish with freight; as, to freight a ship; to freight a car.
freightage |1. Charge for transportation; expense of carriage. 2. The transportation of freight. 3. Freight; cargo; lading. Milton.
freighter |1. One who loads a ship, or one who charters and loads a ship. 2. One employed in receiving and forwarding freight. 3. One for whom freight is transported. 4. A vessel used mainly to carry freight.
freightless |Destitute of freight.
freiherr |In Germany and Austria, a baron.
frejol |1. In Mexico, the southwestern United States, and the West Indies, any cultivated bean of the genus Phaseolus, esp. the black seed of a variety of P. vulgaris. 2.  The beanlike seed of any of several related plants, as the cowpea. Frijoles are an important article of diet among Spanish- American peoples, being used as an ingredient of many dishes.
frelte |Frailty. [Obs.] Chaucer.
fremd |Strange; foreign. [Old Eng. & Scot.] Chaucer.
fremed |Strange; foreign. [Old Eng. & Scot.] Chaucer.
fremescent |Becoming murmurous, roaring. \"Fremescent clangor.\" Carlyle. -- Fre*mes\"cence (#), n.
fremitus |Palpable vibration or thrill; as, the rhonchial fremitus.
fren |A stranger. [Obs.] Spenser.
french |Of or pertaining to France or its inhabitants. French bean (Bot.), the common kidney bean (Phaseolus vulgaris). -- French berry (Bot.), the berry of a species of buckthorn (Rhamnus catharticus), which affords a saffron, green or purple pigment. -- French casement (Arch.) See French window, under Window. -- French chalk (Min.), a variety of granular talc; -- used for drawing lines on cloth, etc. See under Chalk. -- French cowslip (Bot.) The Primula Auricula. See Bear's-ear. -- French fake (Naut.), a mode of coiling a rope by running it backward and forward in parallel bends, so that it may run freely. -- French honeysuckle (Bot.) a plant of the genus Hedysarum (H. coronarium); -- called also garland honeysuckle. -- French horn, a metallic wind instrument, consisting of a long tube twisted into circular folds and gradually expanding from the mouthpiece to the end at which the sound issues; -- called in France cor de chasse. -- French leave, an informal, hasty, or secret departure; esp., the leaving a place without paying one's debts. -- French pie Etym: [French (here used in sense of \"foreign\") + pie a magpie (in allusion to its black and white color)] (Zoöl.), the European great spotted woodpecker (Dryobstes major); -- called also wood pie. -- French polish. (a) A preparation for the surface of woodwork, consisting of gums dissolved in alcohol, either shellac alone, or shellac with other gums added. (b) The glossy surface produced by the application of the above. -- French purple, a dyestuff obtained from lichens and used for coloring woolen and silken fabrics, without the aid of mordants. Ure. -- French red rouge. -- French rice, amelcorn. -- French roof (Arch.), a modified form of mansard roof having a nearly flat deck for the upper slope. -- French tub, a dyer's mixture of protochloride of tin and logwood; -- called also plum tub. Ure. -- French window. See under Window.\n\n1. The language spoken in France. 2. Collectively, the people of France.
frenchify |To make French; to infect or imbue with the manners or tastes of the French; to Gallicize. Burke.
frenchism |A French mode or characteristic; an idiom peculiar to the French language. Earle.
frenchman |A native or one of the people of France.
frenetic |Distracted; mad; frantic; phrenetic. Milton.
frenetical |Frenetic; frantic; frenzied. -- Frenet\"ic*al*ly, adv.
frenum |A connecting fold of membrane serving to support or restrain any part; as, the frænum of the tongue.\n\n1. (Zoöl.)  A cheek stripe of color. 2. (Anat.)  Same as Frænum.
frenzical |Frantic. [Obs.] Orrery.
frenzied |Affected with frenzy; frantic; maddened. -- Fren\"zied-ly, adv. The people frenzied by centuries of oppression. Buckle. Up starting with a frenzied look. Sir W Scott.
frenzy |Any violent agitation of the mind approaching to distraction; violent and temporary derangement of the mental faculties; madness; rage. All else is towering frenzy and distraction. Addison. The poet's eye in a fine frenzy rolling. Shak. Syn. -- Insanity; lunacy; madness; derangment; alienation; aberration; delirium. See Insanity.\n\nMad; frantic. [R.] They thought that some frenzy distemper had got into his head. Bunyan.\n\nTo affect with frenzy; to drive to madness [R.] \"Frenzying anguish.\" Southey.
frequence |1. A crowd; a throng; a concourse. [Archaic.] Tennyson. 2. Frequency; abundance. [R.] Bp. Hall.
frequency |1. The condition of returning frequently; occurrence often repeated; common occurence; as, the frequency of crimes; the frequency of miracles. The reasons that moved her to remove were, because Rome was a place of riot and luxury, her soul being almost stifled with, the frequencies of ladies' visits. Fuller. 2. A crowd; a throng. [Obs.] B. Jonson.
frequent |1. Often to be met with; happening at short intervals; often repeated or occurring; as, frequent visits. \"Frequent feudal towers.\" Byron. 2. Addicted to any course of conduct; inclined to indulge in any practice; habitual; persistent. He has been loud and frequent in declaring himself hearty for the government. Swift. 3. Full; crowded; thronged. [Obs.] 'T is Cæsar's will to have a frequent senate. B. Jonson. 4. Often or commonly reported. [Obs.] 'T is frequent in the city he hath subdued The Catti and the Daci. Massinger.\n\n1. To visit often; to resort to often or habitually. He frequented the court of Augustus. Dryden. 2. To make full; to fill. [Obs.] With their sighs the air Frequenting, sent from hearts contrite. Milton.
frequentable |Accessible. [R.] Sidney.
frequentage |The practice or habit of frequenting. [R.] Southey.
frequentation |The act or habit of frequenting or visiting often; resort. Chesterfield.
frequentative |Serving to express the frequent repetition of an action; as, a frequentative verb. -- n.  A frequentative verb.
frequenter |One who frequents; one who often visits, or resorts to customarily.
frequently |At frequent or short intervals; many times; often; repeatedly; commonly.
frequentness |The quality of being frequent.
frere |A friar. Chaucer.
frescade |A cool walk; shady place. [R.] Maunder.
fresco |1. A cool, refreshing state of the air; duskiness; coolness; shade. [R.] Prior. 2. (Fine Arts) (a) The art of painting on freshly spread plaster, before it dries. (b) In modern parlance, incorrectly applied to painting on plaster in any manner. (c) A painting on plaster in either of senses a and b.\n\nTo paint in fresco, as walls.
fresh |1. Possessed of original life and vigor; new and strong; unimpaired; sound. 2. New; original; additional. \"Fear of fresh mistakes.\" Sir W. Scott. A fresh pleasure in every fresh posture of the limbs. Landor. 3. Lately produced, gathered, or prepared for market; not stale; not dried or preserved; not wilted, faded, or tainted; in good condition; as, fresh vegetables, flowers, eggs, meat, fruit, etc.; recently made or obtained; occurring again; repeated; as, a fresh supply of goods; fresh tea, raisins, etc.; lately come or made public; as, fresh news; recently taken from a well or spring; as, fresh water. 4. Youthful; florid; as, these fresh nymphs. Shak. 5. In a raw, green, or untried state; uncultivated; uncultured; unpracticed; as, a fresh hand on a ship. 6. Renewed in vigor, alacrity, or readiness for action; as, fresh for a combat; hence, tending to renew in vigor; rather strong; cool or brisk; as, a fresh wind. 7. Not salt; as, fresh water, in distinction from that which is from the sea, or brackish; fresh meat, in distinction from that which is pickled or salted. Fresh breeze (Naut.), a breeze between a moderate and a strong breeze; one blowinq about twenty miles an hour. -- Fresh gale, a gale blowing about forty-five miles an hour. -- Fresh way (Naut.), increased speed. Syn. -- Sound; unimpaired; recent; unfaded: ruddy; florid; sweet; good: inexperienced; unpracticed: unused; lively; vigorous; strong.\n\n1. A stream or spring of fresh water. He shall drink naught but brine; for I'll not show him Where the quick freshes are. Shak. 2. A flood; a freshet. [Prov. Eng.] Halliwell. 3. The mingling of fresh water with salt in rivers or bays, as by means of a flood of fresh water flowing toward or into the sea. Beverly.\n\nTo refresh; to freshen. [Obs.] Rom. of R.
fresh-new |Unpracticed. [Obs.] Shak.
fresh-water |1. Of, pertaining to, or living in, water not salt; as, fresh-water geological deposits; a fresh-water fish; fresh-water mussels. 2. Accustomed to sail on fresh water only; unskilled as a seaman; as, a fresh-water sailor. 3. Unskilled; raw. [Colloq.] \"Fresh-water soldiers.\" Knolles.
freshen |1. To make fresh; to separate, as water, from saline ingredients; to make less salt; as, to freshen water, fish, or flesh. 2. To refresh; to revive. [Obs.] Spenser. 3. (Naut.)  To relieve, as a rope, by change of place where friction wears it; or to renew, as the material used to prevent chafing; as, to freshen a hawse. Totten. To freshen ballast (Naut.), to shift Or restore it. -- To freshen the hawse, to pay out a little more cable, so as to bring the chafe on another part. -- To freshen the way, to increase the speed of a vessel. Ham. Nav. Encyc.\n\n1. To grow fresh; to lose saltness. 2. To grow brisk or strong; as, the wind freshens.
freshet |1. A stream of fresh water. [Obs.] Milton. 2. A flood or overflowing of a stream caused by heavy rains or melted snow; a sudden inundation. Cracked the sky, as ice in rivers When the freshet is at highest. Longfellow.
freshly |In a fresh manner; vigorously; newly, recently; brightly; briskly; coolly; as, freshly gathered; freshly painted; the wind blows freshly. Looks he as freshly as he did Shak.
freshman |novice; one in the rudiments of knowledge; especially, a student during his fist year in a college or university. He drank his glass and cracked his joke, And freshmen wondered as he spoke. Goldsmith. Freshman class, the lowest of the four classes in an American college. [ U. S.]
freshmanship |The state of being a freshman.
freshment |Refreshment. [Obs.]
freshness |The state of being fresh. The Scots had the advantage both for number and freshness of men. Hayward. And breathe the freshness of the open air. Dryden. Her cheeks their freshness lose and wonted grace. Granville.
fresnel lamp |A lantern having a lamp surrounded by a hollow cylindrical Fresnel lens.
fresnel lantern |A lantern having a lamp surrounded by a hollow cylindrical Fresnel lens.
fresnel lens |See under Lens.
fret |See 1st Frith.\n\n1. To devour. [Obs.] The sow frete the child right in the cradle. Chaucer. 2. To rub; to wear away by friction; to chafe; to gall; hence, to eat away; to gnaw; as, to fret cloth; to fret a piece of gold or other metal; a worm frets the plants of a ship. With many a curve my banks I fret. Tennyson. 3. To impair; to wear away; to diminish. By starts His fretted fortunes give him hope and fear. Shak. 4. To make rough, agitate, or disturb; to cause to ripple; as, to fret the surface of water. 5. To tease; to irritate; to vex. Fret not thyself because of evil doers. Ps. xxxvii. 1.\n\n1. To be worn away; to chafe; to fray; as, a wristband frets on the edges. 2. To eat in; to make way by corrosion. Many wheals arose, and fretted one into another with great excoriation. Wiseman. 3. To be agitated; to be in violent commotion; to rankle; as, rancor frets in the malignant breast. 4. To be vexed; to be chafed or irritated; to be angry; to utter peevish expressions. He frets, he fumes, he stares, he stamps the ground. Dryden.\n\n1. The agitation of the surface of a fluid by fermentation or other cause; a rippling on the surface of water. Addison. 2. Agitation of mind marked by complaint and impatience; disturbance of temper; irritation; as, he keeps his mind in a continual fret. Yet then did Dennis rave in furious fret. Pope. 3. Herpes; tetter. Dunglison. 4. pl. (Mining)  The worn sides of river banks, where ores, or stones containing them, accumulate by being washed down from the hills, and thus indicate to the miners the locality of the veins.\n\nTo ornament with raised work; to variegate; to diversify. Whose skirt with gold was fretted all about. Spenser. Yon gray lines, That fret the clouds, are messengers of day. Shak.\n\n1. Ornamental work in relief, as carving or embossing. See Fretwork. 2. (Arch.)  An ornament consisting of smmall fillets or slats intersecting each other or bent at right angles, as in classical designs, or at obilique angles, as often in Oriental art. His lady's cabinet is a adorned on the fret, ceiling, and chimney- piece with . . . carving. Evelyn. 3. The reticulated headdress or net, made of gold or silver wire, in which ladies in the Middle Ages confined their hair. A fret of gold she had next her hair. Chaucer. Fret saw, a saw with a long, narrow blade, used in cutting frets, scrolls, etc.; a scroll saw; a keyhole saw; a compass saw.\n\n1. (Her.)  A saltire interlaced with a mascle. 2. (Mus.)  A short piece of wire, or other material fixed across the finger board of a guitar or a similar instrument, to indicate where the finger is to be placed.\n\nTo furnish with frets, as an instrument of music.
fretful |Disposed to fret; ill-humored; peevish; angry; in a state of vexation; as, a fretful temper. -- Fret\"ful-ly, adv. -- Fret\"ful-ness, n. Syn. -- Peevish; ill-humored; ill-natured; irritable; waspish; captious; petulant; splenetic; spleeny; passionate; angry. -- Fretful, Peevish, Cross. These words all indicate an unamiable working and expression of temper. Peevish marks more especially the inward spirit: a peevish man is always ready to find fault. Fretful points rather to the outward act, and marks a complaining impatience: sickly children are apt to be fretful. Crossness is peevishness mingled with vexation or anger.
frett |The worn side of the bank of a river. See 4th Fret, n., 4.\n\nA vitreous compound, used by potters in glazing, consisting of lime, silica, borax, lead, and soda.
fretted |1. Rubbed or worn away; chafed. 2. Agitated; vexed; worried.\n\n1. Ornamented with fretwork; furnished with frets; variegated; made rough on the surface. 2. (Her.)  Interlaced one with another; -- said of charges and ordinaries.
fretten |Rubbed; marked; as, pock-fretten, marked with the smallpox. [Obs.] Wright.
fretter |One who, or that which, frets.
fretty |Adorned with fretwork.
fretum |A strait, or arm of the sea.
fretwork |Work adorned with frets; ornamental openwork or work in relief, esp. when elaborate and minute in its parts. Heuce, any minute play of light andshade, dark and light, or the like. Banqueting on the turf in the fretwork of shade and sunshine. Macaulay.
freya |The daughter of Njörd, aud goddess of love and beauty; the Scandinavian Venus; -- in Teutonic myths confounded with Frigga, but in Scandinavian, distinct. [Written also Frea, Fraying, and Ereyja.]
friabiiity |The quality of being friable; friableness. Locke.
friable |[friabilis, fr. friare to rub, break, or crumble into small pieces, cf. fricare to rub, E. fray. cf. F. friable.) Easily crumbled, pulverized, or reduced to powder. \"Friable ground.\" Evelyn. \"Soft and friable texture.\" Paley. -- Fri'a-ble-ness, n.
friar |1. (R. C. Ch.)  A brother or member of any religious order, but especially of one of the four mendicant orders, viz: (a) Minors, Gray Friars, or Franciscans. (b) Augustines. (c) Dominicans or Black Friars. (d) White Friars or Carmelites. See these names in the Vocabulary. 2. (Print.)  A white or pale patch on a printed page. 3. (Zoöl.)  An American fish; the silversides. Friar bird (Zoöl.), an Australian bird (Tropidorhynchus corniculatus), having the head destitute of feathers; -- called also coldong, leatherhead, pimlico; poor soldier, and four-o'clock. The name is also applied to several other species of the same genus. -- Friar's balsam (Med.), a stimulating application for wounds and ulcers, being an alcoholic solution of benzoin, styrax, tolu balsam, and aloes; compound tincture of benzoin. Brande & C. -- Friar's cap (Bot.), the monkshood. -- Friar's cowl (Bot.), an arumlike plant (Arisarum vulgare) with a spathe or involucral leaf resembling a cowl. -- Friar's lantern, the ignis fatuus or Will-o'-the-wisp. Milton. -- Friar skate (Zoöl.), the European white or sharpnosed skate (Raia alba); -- called also Burton skate, border ray, scad, and doctor.
friarly |Like a friar; inexperienced. Bacon.
friary |Like a friar; pertaining to friars or to a convent. [Obs.] Camden.\n\n1. A monastery; a convent of friars. Drugdale. 2. The institution or praactices of friars. Fuller.
friation |The act of breaking up or pulverizing.
fribble |Frivolous; trifling; sily.\n\nA frivolous, contemptible fellow; a fop. A pert fribble of a peer. Thackeray.\n\n1. To act in a trifling or foolish manner; to act frivolously. The fools that are fribbling round about you. Thackeray. 2. To totter. [Obs.]
fribbler |A trifler; a fribble.
fribbling |Frivolous; trining; toolishly captious.
friborg |The pledge and tithing, afterwards called by the Normans frankpledge. See Frankpledge. [Written also friburgh and fribourg.] Burril.
friborgh |The pledge and tithing, afterwards called by the Normans frankpledge. See Frankpledge. [Written also friburgh and fribourg.] Burril.
fricace |1. Meat sliced and dressed with strong sauce. [Obs.] King. 2. An unguent; also, the act of rubbing with the unguent.
fricandeau |A ragout or fricassee of veal; a fancy dish of veal or of boned turkey, served as an entrée, -- called also fricandel. A. J. Cooley.
fricando |A ragout or fricassee of veal; a fancy dish of veal or of boned turkey, served as an entrée, -- called also fricandel. A. J. Cooley.
fricassee |A dish made of fowls, veal, or other meat of small animals cut into pieces, and stewed in a gravy.\n\nTo dress like a fricassee.
frication |Friction. [Obs.] Bacon.
fricative |Produced by the friction or rustling of the breath, intonated or unintonated, through a narrow opening between two of the mouth organs; uttered through a close approach, but not with a complete closure, of the organs of articulation, and hence capable of being continued or prolonged; -- said of certain consonantal sounds, as f, v, s, z, etc. -- n.  A fricative consonant letter or sound. See Guide to Pronunciation, §§ 197-206, etc.
fricatrice |A lewd woman; a harlot. [Obs.] B. Jonson.
frickle |A bushel basket. [Obs.]
friction |1. The act of rubbing the surface of one body against that of another; attrition; in hygiene, the act of rubbing the body with the hand, with flannel, or with a brush etc., to excite the skin to healthy action. 2. (Mech.)  The resistance which a body meets with from the surface on which it moves. It may be resistance to sliding motion, or to rolling motion. 3. A clashing between two persons or parties in opinions or work; a disagreement tending to prevent or retard progress. Angle of friction (Mech.), the angle which a plane onwhich a body is lying makes with a horizontal plane,when the hody is just ready to slide dewn the plane. Note: This angle varies for different bodies, and for planes of different materials. -- Anti-friction wheels (Mach.), wheels turning freely on small pivots, and sustaining, at the angle formed by their circumferences, the pivot or journal of a revolving shaft, to relieve it of friction; -- called also friction wheels. -- Friction balls, or Friction rollers, balls or rollers placed so as to receive the pressure or weight of bodies in motion, and relieve friction, as in the hub of a bicycle wheel. -- Friction brake (Mach.), a form of dynamometer for measuring the power a motor exerts. A clamp around the revolving shaft or fly wheel of the motor resists the motion by its friction, the work thus absorbed being ascertained by observing the force required to keep the clamp from revolving with the shaft; a Prony brake. -- Friction chocks, brakes attached to the common standing garrison carriages of guns, so as to raise the trucks or wheels off the platform when the gun begins to recoil, and prevent its running back. Earrow. -- Friction clutch, Friction coupling, an engaging and disengaging gear for revolving shafts, pulleys, etc., acting by friction; esp.: (a) A device in which a piece on one shaft or pulley is so forcibly pressed against a piece on another shaft that the two will revolve together; as, in the illustration, the cone a on one shaft, when thrust forcibly into the corresponding hollow cone b on the other shaft, compels the shafts to rotate together, by the hold the friction of the conical surfaces gives. (b) A toothed clutch, one member of which, instead of being made fast on its shaft, is held by friction and can turn, by slipping, under excessive strain or in starting. -- Friction drop hammer, one in which the hammer is raised for striking by the friction of revolving rollers which nip the hammer rod. -- Friction gear. See Frictional gearing, under Frictional. -- Friction machine, an electrical machine, generating electricity by friction. -- Friction meter, an instrument for measuring friction, as in testing lubricants. -- Friction powder, Friction composition, a composition of chlorate of potassium, antimony, sulphide, etc, which readily ignites by friction. -- Friction primer, Friction tube, a tube used for firing cannon by means of the friction of a roughened wire in the friction powder or composition with which the tube is filled -- Friction wheel (Mach.), one of the wheels in frictional gearing. See under Frictional.
frictional |Relating to friction; moved by friction; produced by friction; as, frictional electricity. Frictional gearing, wheels which transmit motion by surface friction instead of teeth. The faces are sometimes made more or less V-shaped to increase or decrease friction, as required.
frictionless |Having no friction.
friday |The sixth day of the week, following Thursday and preceding Saturday.
fridge |To rub; to fray. [Obs.] Sterne.
fridstol |A seat in churches near the altar, to which offenders formerly fled for sanctuary. [Written variously fridstool, freedstool, etc.] [Obs.]
fried |imp. & p. p. of Fry.
friend |1. One who entertains for another suo Want gives to know the flatterer from the friend. Dryden. A friend that sticketh closer than a brother. Prov. xviii. 24. 2. One not inimical or hostile; one not a foe or enemy; also, one of the same nation, party, kin, etc., whose friendly feelings may be assumed. The word is some times used as a term of friendly address. Friend, how camest thou in hither Matt. xxii. 12. 3. One who looks propitiously on a cause, an institution, a project, and the like; a favorer; a promoter; as, a friend to commerce, to poetry, to an institution. 4. One of a religious sect characterized by disuse of outward rites and an ordained ministry, by simplicity of dress and speech, and esp. by opposition to war and a desire to live at peace with all men. They are popularly called Quakers. America was first visited by Friends in 1656. T. Chase. 5. A paramour of either sex. [Obs.] Shak. A friend at court or in court, one disposed to act as a friend in a place of special opportunity or influence. -- To be friends with, to have friendly relations with. \"He's . . . friends with Cæsar.\" Shak. -- To make friends with, to become reconciled to or on friendly terms with. \"Having now made friends with the Athenians.\" Jowett (Thucyd. ).\n\nTo act as the friend of; to favor; to countenance; to befriend. [Obs.] Fortune friends the bold. Spenser.
friended |1. Having friends; [Obs.] 2. Iuclined to love; well-disposed. [Obs.] Shak.
friending |Friendliness. [Obs.] Shak.
friendless |Destitute of friends; forsaken. -- Friend\"less*ness, n.
friendlily |In a friendly manner. Pope.
friendliness |The condition or quality of being friendly. Sir P. Sidney.
friendly |1. Having the temper and disposition of a friend; disposed to promote the good of another; kind; favorable. 2. Appropriate to, or implying, friendship; befitting friends; amicable. In friendly relations with his moderate opponents. Macaulay. 3. Not hostile; as, a friendly power or state. 4. Promoting the good of any person; favorable; propitious; serviceable; as, a friendly breeze or gale. On the first friendly bank he throws him down. Addison. Syn. -- Amicable; kind; conciliatory; propitious; favorable. See Amicable.\n\nIn the manner of friends; amicably; like friends. [Obs.] Shak. In whom all graces that can perfect beauty Are friendly met. Beau. & Fl.
friendship |1. The state of being friends; friendly relation, or attachment, to a person, or between persons; affection arising from mutual esteem and good will; friendliness; amity; good will. There is little friendship in the world. Bacon. There can be no friendship without confidence, and no confidence without integrity. Rambler. Preferred by friendship, and not chosen by sufficiency. Spenser. 2. Kindly aid; help; assistance, [Obs.] Some friendship will it [a hovel] lend you gainst the tempest. Shak. 3. Aptness to unite; conformity; affinity; harmony; correspondence. [Obs.] Those colors . . . have a friendship with each other. Dryden.
frier |One who fries.
friese |Same as Friesic, n.
friesic |Of or pertaining to Friesland, a province in the northern part of the Netherlands.\n\nThe language of the Frisians, a Teutonic people formerly occupying a large part of the coast of Holland and Northwestern Germany. The modern dialects of Friesic are spoken chiefly in the province of Friesland, and on some of the islands near the coast of Germany and Denmark.
friesish |Friesic. [R.]
frieze |(a) That part of the entablature of an order which is between the architrave and cornice. It is a flat member or face, either uniform or broken by triglyphs, and often enriched with figures and other ornaments of sculpture. (b) Any sculptured or richly ornamented band in a building or, by extension, in rich pieces of furniture. See Illust. of Column. Cornice or frieze with bossy sculptures graven. Milton.\n\nA kind of coarse woolen cloth or stuff with a shaggy or tufted (friezed) nap on one side. \"Robes of frieze.\" Goldsmith.\n\nTo make a nap on (cloth); to friz. See Friz, v. t., 2. Friezing machine, a machine for friezing cloth; a friezing machine.
friezed |Gathered, or having the map gathered, into little tufts, knots, or protuberances. Cf. Frieze, v. t., and Friz, v. t., 2.
friezer |One who, or that which, friezes or frizzes.
frigate |1. Originally, a vessel of the Mediterranean propelled by sails and by oars. The French, about 1650, transferred the name to larger vessels, and by 1750 it had been appropriated for a class of war vessels intermediate between corvettes and ships of the line. Frigates, from about 1750 to 1850, had one full battery deck and, often, a spar deck with a lighter battery. They carried sometimes as many as fifty guns. After the application of steam to navigation steam frigates of largely increased size and power were built, and formed the main part of the navies of the world till about 1870, when the introduction of ironclads superseded them. [Formerly spelled frigat and friggot.] 2. Any small vessel on the water. [Obs.] Spenser. Frigate bird (Zoöl.), a web-footed rapacious bird, of the genus Fregata; -- called also man-of-war bird, and frigate pelican. Two species are known; that of the Southern United States and West Indies is F. aquila. They are remarkable for their long wings and powerful flight. Their food consists of fish which they obtain by robbing gulls, terns, and other birds, of their prey. They are related to the pelicans. -- Frigate mackerel (Zoöl.), an oceanic fish (Auxis Rochei) of little or no value as food, often very abundant off the coast of the United States. -- Frigate pelican. (Zoöl.) Same as Frigate bird.
frigate-built |Built like a frigate with a raised quarter-deck and forecastle.
frigatoon |A Venetian vessel, with a square stern, having only a mainmast, jigger mast, and bowsprit; also a sloop of war ship-rigged.
frigefaction |The act of making cold. [Obs.]
frigefactive |Cooling. [Obs.] Boyle.
frigerate |To make cool. [Obs.] Blount.
frigg |The wife of Odin and mother of the gods; the supreme goddess; the Juno of the Valhalla. Cf. Freya.
frigga |The wife of Odin and mother of the gods; the supreme goddess; the Juno of the Valhalla. Cf. Freya.
fright |1. A state of terror excited by the sudden appearance of danger; sudden and violent fear, usually of short duration; a sudden alarm. 2. Anything strange, ugly or shocking, producing a feeling of alarm or aversion. [Colloq.] Syn. -- Alarm; terror; consternation. See Alarm.\n\nTo alarm suddenly; to shock by causing sudden fear; to terrify; to scare. Nor exile or danger can fright a brave spirit. Dryden. Syn. -- To affright; dismay; daunt; intimidate.
frighten |To disturb with fear; to throw into a state of alarm or fright; to affright; to terrify. More frightened than hurt. Old Proverb.
frightful |1. Full of fright; affrighted; frightened. [Obs.] See how the frightful herds run from the wood. W. Browne. 2. Full of that which causes fright; exciting alarm; impressing terror; shocking; as, a frightful chasm, or tempest; a frightful appearance. Syn. -- Terrible; dreadful; alarming; fearful; terrific; awful; horrid; horrible; shocking. -- Frightful, Dreadful, Awful. These words all express fear. In frightful, it is a sudden emotion; in dreadful, it is deeper and more prolonged; in awful, the fear is mingled with the emotion of awe, which subdues us before the presence of some invisible power. An accident may be frightful; the approach of death is dreadful to most men; the convulsions of the earthquake are awful.
