seedcake |A sweet cake or cooky containing aromatic seeds, as caraway. Tusser.
seemingly |In appearance; in show; in semblance; apparently; ostensibly. This the father seemingly complied with. Addison.
seemingness |Semblance; fair appearance; plausibility. Sir K. Digby.
seemless |Unseemly. [Obs.] Spenser.
seemlily |In a seemly manner. [Obs.]
seemliness |The quality or state of being seemly: comeliness; propriety.
seemly |Suited to the object, occasion, purpose, or character; suitable; fit; becoming; comely; decorous. He had a seemly nose. Chaucer. I am a woman, lacking wit To make a seemly answer to such persons. Shak. Suspense of judgment and exercise of charity were safer and seemlier for Christian men than the hot pursuit of these controversies. Hooker. Syn. -- Becoming; fit; suitable; proper; appropriate; congruous; meet; decent; decorous.\n\nIn a decent or suitable manner; becomingly. Suddenly a men before him stood, Not rustic as before, but seemlier clad, As one in city or court or place bred. Milton.
seemlyhed |Comely or decent appearance. [Obs.] Rom. of R. Spenser.
seen |of See.\n\nVersed; skilled; accomplished. [Obs.] Well seen in every science that mote be. Spenser. Noble Boyle, not less in nature seen, Than his great brother read in states and men. Dryden.
seep |To run or soak through fine pores and interstices; to ooze. [Scot. & U. S.] Water seeps up through the sidewalks. G. W. Cable.
seepage |Water that seeped or oozed through a porous soil. [Scot. & U. S.]
seepy |Oozy; -- applied to land under cultivation that is not well drained.
seer |Sore; painful. [Prov. Eng.] Ray.\n\nOne who sees. Addison.\n\nA person who foresees events; a prophet. Milton.
seeress |A female seer; a prophetess.
seerfish |A scombroid food fish of Maderia (Cybium Commersonii).
seerhand |A kind of muslin of a texture between nainsook and mull.
seership |The office or quality of a seer.
seersucker |A light fabric, originally made in the East Indies, of silk and linen, usually having alternating stripes, and a slightly craped or puckered surface; also, a cotton fabric of similar appearance.
seerwood |Dry wood. [Written also searwood.] [Obs.] Dryden.
seesaw |1. A play among children in which they are seated upon the opposite ends of a plank which is balanced in the middle, and move alternately up and down. 2. A plank or board adjusted for this play. 3. A vibratory or reciprocating motion. He has been arguing in a circle; there is thus a seesaw between the hypothesis and fact. Sir W. Hamilton. 4. (Whist.)  Same as Crossruff.\n\nTo move with a reciprocating motion; to move backward and forward, or upward and downward.\n\nTo cause to move backward and forward in seesaw fashion. He seesaws himself to and fro. Ld. Lytton.\n\nMoving up and down, or to and fro; having a reciprocating motion.
seet |Sate; sat. Chaucer.
seeth |imp. of Seethe. Chaucer.
seethe |To decoct or prepare for food in hot liquid; to boil; as, to seethe flesh. [Written also seeth.] Set on the great pot, and seethe pottage for the sons of the prophets. 2 Kings iv. 38.\n\nTo be a state of ebullition or violent commotion; to be hot; to boil. 1 Sam. ii. 13. A long Pointe, round which the Mississippi used to whirl, and seethe, and foam. G. W. Cable.
seether |A pot for boiling things; a boiler. Like burnished gold the little seether shone. Dryden.
seg |1. Sedge. [Obs.] 2. The gladen, and other species of Iris. Prior.\n\nA castrated bull. [Prov. Eng. & Scot.] Halliwell.
segar |See Cigar.
seggar |A case or holder made of fire clay, in which fine pottery is inclosed while baking in the kin. [Written also saggar, sagger, and segger.] Ure.
segge |The hedge sparrow. [Prov. Eng.] Halliwell.
segment |1. One of the parts into which any body naturally separates or is divided; a part divided or cut off; a section; a portion; as, a segment of an orange; a segment of a compound or divided leaf. 2. (Geom.)  A part cut off from a figure by a line or plane; especially, that part of a circle contained between a chord and an arc of that circle, or so much of the circle as is cut off by the chord; as, the segment acb in the Illustration. 3. (Mach.) (a) A piece in the form of the sector of a circle, or part of a ring; as, the segment of a sectional fly wheel or flywheel rim. (b) A segment gear. 4. (Biol.) (a) One of the cells or division formed by segmentation, as in egg cleavage or in fissiparous cell formation. (b) One of the divisions, rings, or joints into which many animal bodies are divided; a somite; a metamere; a somatome. Segment gear, a piece for receiving or communicating reciprocating motion from or to a cogwheel, consisting of a sector of a circular gear, or ring, having cogs on the periphery, or face. -- Segment of a line, the part of a line contained between two points on it. -- Segment of a sphere, the part of a sphere cut off by a plane, or included between two parallel planes. -- Ventral segment. (Acoustics) See Loor, n., 5.\n\nTo divide or separate into parts in growth; to undergo segmentation, or cleavage, as in the segmentation of the ovum.
segmental |1. Relating to, or being, a segment. 2. (Anat. & Zoöl.) (a) Of or pertaining to the segments of animals; as, a segmental duct; segmental papillæ. (b) Of or pertaining to the segmental organs. Segmental duct (Anat.), the primitive duct of the embryonic excretory organs which gives rise to the Wolffian duct and ureter; the pronephric duct. -- Segmental organs. (a) (Anat.) The embryonic excretory organs of vertebrates, consisting primarily of the segmental tubes and segmental ducts. (b) (Zoöl.) The tubular excretory organs, a pair of which often occur in each of several segments in annelids. They serve as renal organs, and often, also, as oviducts and sperm ducts. See Illust. under Sipunculacea. -- Segmental tubes (Anat.), the tubes which primarily open into the segmental duct, some of which become the urinary tubules of the adult.
segmentation |The act or process of dividing into segments; specifically (Biol.), a self-division into segments as a result of growth; cell cleavage; cell multiplication; endogenous cell formation. Segmentation cavity (Biol.), the cavity formed by the arrangement of the cells in segmentation or cleavage of the ovum; the cavity of the blastosphere. In the gastrula stage, the segmentation cavity in which the mesoblast is formed lies between the entoblast and ectoblast. See Illust. of Invagination. -- Segmentation nucleus (Biol.), the body formed by fusion of the male and female pronucleus in an impregnated ovum. See the Note under Pronucleus. -- Segmentation of the ovum, or Egg cleavage (Biol.), the process by which the embryos of all the higher plants and animals are derived from the germ cell. In the simplest case, that of small ova destitute of food yolk, the ovum or egg divides into two similar halves or segments (blastomeres), each of these again divides into two, and so on, thus giving rise to a mass of cells (mulberry mass, or morula), all equal and similar, from the growth and development of which the future animal is to be formed. This constitutes regular segmentation. Quite frequently, however, the equality and regularity of cleavage is interfered with by the presence of food yolk, from which results unequal segmentation. See Holoblastic, Meroblastic, Alecithal, Centrolecithal, Ectolecithal, and Ovum. -- Segmentation sphere (Biol.), the blastosphere, or morula. See Morula.
segmented |Divided into segments or joints; articulated.
segnitude |Sluggishness; dullness; inactivity. [Obs.]
segnity |Sluggishness; dullness; inactivity. [Obs.]
segno |A sign. See Al segno, and Dal segno.
sego |A liliaceous plant (Calochortus Nuttallii) of Western North America, and its edible bulb; -- so called by the Ute Indians and the Mormons.
segregate |1. Separate; select. 2. (Bot.)  Separated from others of the same kind.\n\nTo separate from others; to set apart. They are still segregated, Christians from Christians, under odious designations. I. Taylor.\n\nTo separate from a mass, and collect together about centers or along lines of fracture, as in the process of crystallization or solidification.
segregation |1. The act of segregating, or the state of being segregated; separation from others; a parting. 2. (Geol.)  Separation from a mass, and gathering about centers or into cavities at hand through cohesive attraction or the crystallizing process.
seiches |Local oscillations in level observed in the case of some lakes, as Lake Geneva.
seid |A descendant of Mohammed through his daughter Fatima and nephew Ali.
seidlitz |Of or pertaining to Seidlitz, a village in Bohemia. [Written also Sedlitz.] Seidlitz powders, effervescing salts, consisting of two separate powders, one of which contains forty grains of sodium bicarbonate mixed with two drachms of RochellRochelle powders. -- Seidlitz water, a natural water from Seidlitz, containing magnesium, sodium, calcium, and potassium sulphates, with calcium carbonate and a little magnesium chloride. It is used as an aperient.
seigh |obs. imp. sing. of See. Saw. Chaucer.
seigneurial |1. Of or pertaining to the lord of a manor; manorial. Sir W. Temple. 2. Vested with large powers; independent.
seignior |1. A lord; the lord of a manor. 2. A title of honor or of address in the South of Europe, corresponding to Sir or Mr. in English. Grand Seignior, the sultan of Turkey.
seigniorage |1. Something claimed or taken by virtue of sovereign prerogative; specifically, a charge or toll deducted from bullion brought to a mint to be coined; the difference between the cost of a mass of bullion and the value as money of the pieces coined from it. If government, however, throws the expense of coinage, as is reasonable, upon the holders, by making a charge to cover the expense (which is done by giving back rather less in coin than has been received in bullion, and is called \"levying a seigniorage\"), the coin will rise to the extent of the seigniorage above the value of the bullion. J. S. Mill. 2. A share of the receipts of a business taken in payment for the use of a right, as a copyright or a patent.
seignioral |Of or pertaining to a seignior; seigneurial. \"Kingly or seignioral patronage.\" Burke.
seignioralty |The territory or authority of a seignior, or lord. Milman.
seigniorial |Same as Seigneurial.
seigniorize |To lord it over. [Obs.] As proud as he that seigniorizeth hell. Fairfax.
seigniory |1. The power or authority of a lord; dominion. O'Neal never had any seigniory over that country but what by encroachment he got upon the English. Spenser. 2. The territory over which a lord holds jurisdiction; a manor. [Written also seigneury, and seignory.]
seine |A large net, one edge of which is provided with sinkers, and the other with floats. It hangs vertically in the water, and when its ends are brought together or drawn ashore incloses the fish. Seine boat, a boat specially constructed to carry and pay out a seine.
seining |Fishing with a seine.
seint |A girdle. [Obs.] \"Girt with a seint of silk.\" Chaucer.\n\nA saint. [Obs.] Chaucer.
seintuary |Sanctuary. [Obs.]
seirfish |Same as Seerfish.
seirospore |One of several spores arranged in a chain as in certain algæ of the genus Callithamnion.
seise |See Seize. Spenser. Note: This is the common spelling in the law phrase to be seised of (an estate).
seisin |See Seizin. Spenser.
seismal |Of or pertaining to an earthquake; caused by an earthquake. Seismic vertical, the point upon the earth's surface vertically over the center of effort or focal point whence the earthquake's impulse proceeds, or the vertical line connecting these two points.
seismic |Of or pertaining to an earthquake; caused by an earthquake. Seismic vertical, the point upon the earth's surface vertically over the center of effort or focal point whence the earthquake's impulse proceeds, or the vertical line connecting these two points.
seismogram |The trace or record of an earth tremor, made by means of a seismograph.
seismograph |An apparatus for registering the shocks and undulatory motions of earthquakes.
seismographic |Of or pertaining to a seismograph; indicated by a seismograph.
seismography |1. A writing about, or a description of, earthquakes. 2. The art of registering the shocks and undulatory movements of earthquakes.
seismological |Of or pertaining to seismology. -- Seis`mo*log\"ic*al*ly, adv.
seismology |The science of earthquakes.
seismometer |An instrument for measuring the direction, duration, and force of earthquakes and like concussions.
seismometric |Of or pertaining to seismometry, or seismometer; as, seismometric instruments; seismometric measurements.
seismometry |The mensuration of such phenomena of earthquakes as can be expressed in numbers, or by their relation to the coördinates of space.
seismoscope |A seismometer.
seity |Something peculiar to one's self. [R.] Tatler.
seizable |That may be seized.
seize |1. To fall or rush upon suddenly and lay hold of; to gripe or grasp suddenly; to reach and grasp. For by no means the high bank he could seize. Spenser. Seek you to seize and gripe into your hands The royalties and rights of banished Hereford Shak. 2. To take possession of by force. At last they seize The scepter, and regard not David's sons. Milton. 3. To invade suddenly; to take sudden hold of; to come upon suddenly; as, a fever seizes a patient. Hope and deubt alternate seize her seul. Pope. 4. (law)  To take possession of by virtue of a warrant or other legal authority; as, the sheriff seized the debtor's goods. 5. To fasten; to fix. [Obs.] As when a bear hath seized her cruel claws Upon the carcass of some beast too weak. Spenser. 6. To grap with the mind; to comprehend fully and distinctly; as, to seize an idea. 7. (Naut.)  To bind or fasten together with a lashing of small stuff, as yarn or marline; as, to seize ropes. Note: This word, by writers on law, is commonly written seise, in the phrase to be seised of (an estate), as also, in composition, disseise, disseisin. To be seized of, to have possession, or right of possession; as, A B was seized and possessed of the manor of Dale. \"Whom age might see seized of what youth made prize.\" Chapman. -- To seize on or upon, to fall on and grasp; to take hold on; to take possession of suddenly and forcibly. Syn. -- To catch; grasp; clutch; snatch; apprehend; arrest; take; capture.
seizer |One who, or that which, seizes.
seizin |1. (Law)  Possession; possession of an estate of froehold. It may be either in deed or in law; the former when there is actual possession, the latter when there is a right to such possession by construction of law. In some of the United States seizin means merely ownership. Burrill. 2. The act of taking possession. [Obs.] 3. The thing possessed; property. Sir M. Halle. Note: Commonly spelt by writers on law seisin. Livery of seizin. (Eng. Law) See Note under Livery, 1.
seizing |1. The act of taking or grasping suddenly. 2. (Naut.) (a) The operation of fastening together or lashing. (b) The cord or lashing used for such fastening.
seizor |One who seizes, or takes possession.
seizure |1. The act of seizing, or the state of being seized; sudden and violent grasp or gripe; a taking into possession; as, the seizure of a thief, a property, a throne, etc. 2. Retention within one's grasp or power; hold; possession; ownership. Make o'er thy honor by a deed of trust, And give me seizure of the mighty wealth. Dryden. 3. That which is seized, or taken possession of; a thing laid hold of, or possessed.
sejant |Sitting, as a lion or other beast. Sejant rampant, sitting with the forefeet lifted up. Wright.
sejeant |Sitting, as a lion or other beast. Sejant rampant, sitting with the forefeet lifted up. Wright.
sejein |To separate. [Obs.]
sejunction |The act of disjoining, or the state of being disjoined. [Obs.] Bp. Pearson.
sejungible |Capable of being disjoined. [Obs.] Bp. Pearson.
seke |Sick. [Obs.] Chaucer.\n\nTo seek. [Obs.] Chaucer.
sekes |A place in a pagan temple in which the images of the deities were inclosed.
selachian |One of the Selachii. See Illustration in Appendix.
selachii |An order of elasmobranchs including the sharks and rays; the Plagiostomi. Called also Selacha, Selache, and Selachoidei.
selachoidei |Same as Selachii.
selachostomi |A division of ganoid fishes which includes the paddlefish, in which the mouth is armed with small teeth.
selaginella |A genus of cryptogamous plants resembling Lycopodia, but producing two kinds of spores; also, any plant of this genus. Many species are cultivated in conservatories.
selah |A word of doubtful meaning, occuring frequently in the Psalms; by some, supposed to signify silence or a pause in the musical performance of the song. Beyond the fact that Selach is a musical term, we know absolutely nothing about it. Dr. W. Smith (Bib. Dict.)
selch |A seal. [Scotch]
selcouth |Rarely known; unusual; strange. [Obs.] [She] wondered much at his so selcouth case. Spenser.
seld |Rare; uncommon; unusual. [Obs.] Chaucer. Spenser.\n\nRarely; seldom. [Obs.] Chaucer.
selden |Seldom. [Obs.] Chaucer.
seldom |Rarely; not often; not frequently. Wisdom and youth are seldom joined in one. Hooker.\n\nRare; infrequent. [Archaic.] \"A suppressed and seldom anger.\" Jer. Taylor.
seldomness |Rareness. Hooker.
seldseen |Seldom seen. [Obs.] Drayton.
seldshewn |Rarely shown or exhibited. [Obs.] Shak.
select |Taken from a number by preferance; picked out as more valuable or exellent than others; of special value or exellence; nicely chosen; selected; choice. A few select spirits had separated from the crowd, and formed a fit audience round a far greater teacher. Macaulay.\n\nTo choose and take from a number; to take by preference from among others; to pick out; to cull; as, to select the best authors for perusal. \"One peculiar nation to select.\" Milton. The pious chief . . . A hundred youths from all his train selects. Dryden.
selectedly |With care and selection. [R.]
selection |The act of selecting, or the state of being selected; choice, by preference. 2. That which is selected; a collection of things chosen; as, a choice selection of books. Natural selection. (Biol.) See under Natural.
selective |Selecting; tending to select. This selective providence of the Almighty. Bp. Hall.
selectman |One of a board of town officers chosen annually in the New England States to transact the general public business of the town, and have a kind of executive authority. The number is usually from three to seven in each town. The system of delegated town action was then, perhaps, the same which was defined in an \"order made in 1635 by the inhabitants of Charlestown at a full meeting for the government of the town, by selectmen;\" the name presently extended throughout New England to municipal governors. Palfrey.
selectness |The quality or state of being select.
selector |One who selects.
selenate |A salt of selenic acid; -- formerly called also seleniate.
selenhydric |Of, pertaining to, or designating, hydrogen selenide, H2Se, regarded as an acid analogous to sulphydric acid.
selenic |Of or pertaining to selenium; derived from, or containing, selenium; specifically, designating those compounds in which the element has a higher valence as contrasted with selenious compounds.
selenide |A binary compound of selenium, or a compound regarded as binary; as, ethyl selenide.
seleniferous |Containing, or impregnated with, selenium; as, seleniferous pyrites.
selenio- |A combining form (also used adjectively) denoting the presence of selenium or its compounds; as, selenio-phosphate, a phosphate having selenium in place of all, or a part, of the oxygen.
selenious |Of, pertaining to, or containing, selenium; specifically, designating those compounds in which the element has a lower valence as contrasted with selenic compounds.
selenite |A salt of selenious acid.\n\nA variety of gypsum, occuring in transparent crystals or crystalline masses.
selenitic |Of or pertaining to selenite; resembling or containing selenite.
selenitical |Of or pertaining to selenite; resembling or containing selenite.
selenium |A nonmetallic element of the sulphur group, and analogous to sulphur in its compounds. It is found in small quantities with sulphur and some sulphur ores, and obtained in the free state as a dark reddish powder or crystalline mass, or as a dark metallic- looking substance. It exhibits under the action of light a remarkable variation in electric conductivity, and is used in certain electric apparatus. Symbol Se. Atomic weight 78.9.
seleniuret |A selenide. [Obs.]
seleniureted |Combined with selenium as in a selenide; as, seleniureted hydrogen. [Written also seleniuretted.] [Obsoles.]
selenocentric |As seen or estimated from the center of the moon; with the moon central.
selenograph |, n. A picture or delineation of the moon's surface, or of any part of it.
selenographer |One skilled in selenography. Wright.
selenographic |Of or pertaining to selenography.
selenographical |Of or pertaining to selenography.
selenographist |A selenographer.
selenography |The science that treats of the physical features of the moon; - - corresponding to physical geography in respect to the earth. \"Accurate selenography, or description of the moon.\" Sir T. Browne.
selenology |That branch of astronomy which treats of the moon. -- Sel`e*no*log\"i*cal, a.
selenonium |A hypothetical radical of selenium, analogous to sulphonium. [R.]
self |Same; particular; very; identical. [Obs., except in the compound selfsame.] \"On these self hills.\" Sir. W. Raleigh. To shoot another arrow that self way Which you did shoot the first. Shak. At that self moment enters Palamon. Dryden.\n\n1. The individual as the object of his own reflective consciousness; the man viewed by his own cognition as the subject of all his mental phenomena, the agent in his own activities, the subject of his own feelings, and the possessor of capacities and character; a person as a distinct individual; a being regarded as having personality. \"Those who liked their real selves.\" Addison. A man's self may be the worst fellow to converse with in the world. Pope. The self, the I, is recognized in every act of intelligence as the subject to which that act belongs. It is I that perceive, I that imagine, I that remember, I that attend, I that compare, I that feel, I that will, I that am conscious. Sir W. Hamilton. 2. Hence, personal interest, or love of private interest; selfishness; as, self is his whole aim. 3. Personification; embodiment. [Poetic.] She was beauty's self. Thomson. Note: Self is united to certain personal pronouns and pronominal adjectives to express emphasis or distinction. Thus, for emphasis; I myself will write; I will examine for myself; thou thyself shalt go; thou shalt see for thyself; you yourself shall write; you shall see for yourself; he himself shall write; he shall examine for himself; she herself shall write; she shall examine for herself; the child itself shall be carried; it shall be present itself. It is also used reflexively; as, I abhor myself; thou enrichest thyself; he loves himself; she admires herself; it pleases itself; we walue ourselves; ye hurry yourselves; they see themselves. Himself, herself, themselves, are used in the nominative case, as well as in the objective. \"Jesus himself baptized not, but his disciples.\" John iv. 2. Note: Self is used in the formation of innumerable compounds, usually of obvious signification, in most of which it denotes either the agent or the object of the action expressed by the word with which it is joined, or the person in behalf of whom it is performed, or the person or thing to, for, or towards whom or which a quality, attribute, or feeling expressed by the following word belongs, is directed, or is exerted, or from which it proceeds; or it denotes the subject of, or object affected by, such action, quality, attribute, feeling, or the like; as, self-abandoning, self-abnegation, self- abhorring, self-absorbed, self-accusing, self-adjusting, self- balanced, self-boasting, self-canceled, self-combating, self- commendation, self-condemned, self-conflict, self-conquest, self- constituted, self-consumed, self-contempt, self-controlled, self- deceiving, self-denying, self-destroyed, self-disclosure, self- display, self-dominion, self-doomed, self-elected, self-evolved, self-exalting, self-excusing, self-exile, self-fed, self-fulfillment, self-governed, self-harming, self-helpless, self-humiliation, self- idolized, self-inflicted, self-improvement, self-instruction, self- invited, self-judging, self-justification, self-loathing, self- loving, self-maintenance, self-mastered, self-nourishment, self- perfect, self-perpetuation, self-pleasing, self-praising, self- preserving, self-questioned, self-relying, self-restraining, self- revelation, self-ruined, self-satisfaction, self-support, self- sustained, self-sustaining, self-tormenting, self-troubling, self- trust, self-tuition, self-upbraiding, self-valuing, self-worshiping, and many others.
self-abased |Humbled by consciousness of inferiority, unworthiness, guilt, or shame.
self-abasement |1. Degradation of one's self by one's own act. 2. Humiliation or abasement proceeding from consciousness of inferiority, guilt, or shame.
self-abasing |Lowering or humbling one's self.
self-abhorrence |Abhorrence of one's self.
self-abnegation |Self-denial; self-renunciation; self-sacrifice.
self-abuse |1. The abuse of one's own self, powers, or faculties. 2. Self-deception; delusion. [Obs.] Shak. 3. Masturbation; onanism; self-pollution.
self-accused |Accused by one's self or by one's conscience. \"Die self- accused.\" Cowper.
self-acting |Acting of or by one's self or by itself; -- said especially of a machine or mechanism which is made to perform of or for itself what is usually done by human agency; automatic; as, a self-acting feed apparatus; a self-acting mule; a self-acting press.
self-action |Action by, or originating in, one's self or itself.
self-active |Acting of one's self or of itself; acting without depending on other agents.
self-activity |The quality or state of being self-active; self-action.
self-adjusting |Capable of assuming a desired position or condition with relation to other parts, under varying circumstances, without requiring to be adjusted by hand; -- said of a piece in machinery. Self-adjusting bearing (Shafting), a bearing which is supported in such a manner that it may tip to accomodate flexure or displacement of the shaft.
self-admiration |Admiration of one's self.
self-affairs |One's own affairs; one's private business. [Obs.] Shak.
self-affrighted |Frightened at or by one's self. Shak.
self-aggrandizement |The aggrandizement of one's self.
self-annihilated |Annihilated by one's self.
self-annihilation |Annihilation by one's own acts; annihilation of one's desires. Addison.
self-applause |Applause of one's self.
self-applying |Applying to or by one's self.
self-approving |Approving one's own action or character by one's own judgment. One self-approving hour whole years outweighs Of stupid starers and of loud huzzas. Pope.
self-asserting |asserting one's self, or one's own rights or claims; hence, putting one's self forward in a confident or assuming manner.
self-assertion |The act of asserting one's self, or one's own rights or claims; the quality of being self-asserting.
self-assertive |Disposed to self-assertion; self-asserting.
self-assumed |Assumed by one's own act, or without authority.
self-assured |Assured by or of one's self; self-reliant; complacent.
self-banished |Exiled voluntarily.
self-begotten |Begotten by one's self, or one's own powers.
self-binder |A reaping machine containing mechanism for binding the grain into sheaves.
self-born |Born or produced by one's self.
self-centered |Centered in itself, or in one's self. There hangs the ball of earth and water mixt, Self-centered and unmoved. Dryden.
self-centering |Centering in one's self.
self-centration |The quality or state of being self-centered.
self-centred |Centered in itself, or in one's self. There hangs the ball of earth and water mixt, Self-centered and unmoved. Dryden.
self-centring |Centering in one's self.
self-charity |Self-love. [Obs.] Shak.
self-color |A color not mixed or variegated.
self-colored |Being of a single color; -- applied to flowers, animals, and textile fabrics.
self-command |Control over one's own feelings, temper, etc.; self-control.
self-commune |Self-communion. [R.]
self-communicative |Imparting or communicating by its own powers.
self-communion |Communion with one's self; thoughts about one's self.
self-complacency |The quality of being self-complacent. J. Foster.
self-complacent |Satisfied with one's own character, capacity, and doings; self- satisfied.
self-conceit |Conceit of one's self; an overweening opinion of one's powers or endowments. Syn. -- See Egotism.
self-conceited |Having an overweening opinion of one's own powers, attainments; vain; conceited. -- Self`-con*ceit\"ed*ness, n.
self-concern |Concern for one's self.
self-condemnation |Condemnation of one's self by one's own judgment.
self-confidence |The quality or state of being self-confident; self-reliance. A feeling of self-confidence which supported and sustained him. Beaconsfield.
self-confident |Confident of one's own strength or powers; relying on one's judgment or ability; self-reliant. -- Self`-con\"fi*dent*ly, adv.
self-conjugate |Having the two things that are conjugate parts of the same figure; as, self-conjugate triangles.
self-conscious |1. Conscious of one's acts or state as belonging to, or originating in, one's self. \"My self-conscious worth.\" Dryden. 2. Conscious of one's self as an object of the observation of others; as, the speaker was too self-conscious.
self-consciousness |The quality or state of being self-conscious.
self-considering |Considering in one's own mind; deliberating. Pope.
self-consistency |The quality or state of being self-consistent.
self-consistent |Consistent with one's self or with itself; not deviation from the ordinary standard by which the conduct is guided; logically consistent throughout; having each part consistent with the rest.
self-consuming |Consuming one's self or itself.
