loather |One who loathes.
local |Of or pertaining to a particular place, or to a definite region or portion of space; restricted to one place or region; as, a local custom. Gives to airy nothing A local habitation and a name. Shak. Local actions (Law), actions such as must be brought in a particular county, where the cause arises; -- distinguished from transitory actions. -- Local affection (Med.), a disease or ailment confined to a particular part or organ, and not directly affecting the system. -- Local attraction (Magnetism), an attraction near a compass, causing its needle to deviate from its proper direction, especially on shipboard. -- Local battery (Teleg.), the battery which actuates the recording instruments of a telegraphic station, as distinguished from the battery furnishing a current for the line. -- Local circuit (Teleg.), the circuit of the local battery. -- Local color. (a) (Paint.) The color which belongs to an object, and is not caused by accidental influences, as of reflection, shadow, etc. (b) (Literature) Peculiarities of the place and its inhabitants where the scene of an action or story is laid. -- Local option, the right or obligation of determining by popular vote within certain districts, as in each county, city, or town, whether the sale of alcoholic beverages within the district shall be allowed.\n\n1. (Railroad)  A train which receives and deposits passengers or freight along the line of the road; a train for the accommodation of a certain district. [U.S.] 2. On newspaper cant, an item of news relating to the place where the paper is published. [U.S.]
locale |1. A place, spot, or location. 2. A principle, practice, form of speech, or other thing of local use, or limited to a locality.
localism |1. The state or quality of being local; affection for a particular place. 2. A method of speaking or acting peculiar to a certain district; a local idiom or phrase.
locality |1. The state, or condition, of belonging to a definite place, or of being contained within definite limits. It is thought that the soul and angels are devoid of quantity and dimension, and that they have nothing to do with grosser locality. Glanvill. 2. Position; situation; a place; a spot; esp., a geographical place or situation, as of a mineral or plant. 3. Limitation to a county, district, or place; as, locality of trial. Blackstone. 4. (Phren.)  The perceptive faculty concerned with the ability to remember the relative positions of places.
localization |Act of localizing, or state of being localized. Cerebral localization (Physiol.), the localization of the control of special functions, as of sight or of the various movements of the body, in special regions of the brain.
localize |To make local; to fix in, or assign to, a definite place. H. Spencer. Wordsworth.
locally |With respect to place; in place; as, to be locally separated or distant.
locate |1. To place; to set in a particular spot or position. The captives and emigrants whom he brought with him were located in the trans-Tiberine quarter. B. F. Westcott. 2. To designate the site or place of; to define the limits of; as, to locate a public building; to locate a mining claim; to locate (the land granted by) a land warrant. That part of the body in which the sense of touch is located. H. Spencer.\n\nTo place one's self; to take up one's residence; to settle. [Colloq.]
location |1. The act or process of locating. 2. Situation; place; locality. Locke. 3. That which is located; a tract of land designated in place. [U.S.] 4. (Law) (a) (Civil Law) A leasing on rent. (b) (Scots Law) A contract for the use of a thing, or service of a person, for hire. Wharton. (c) (Amer. Law)  The marking out of the boundaries, or identifying the place or site of, a piece of land, according to the description given in an entry, plan, map, etc. Burrill. Bouvier.
locative |Indicating place, or the place where, or wherein; as, a locative adjective; locative case of a noun. -- n.  The locative case.
locator |One who locates, or is entitled to locate, land or a mining claim. [U.S.]
locellate |Divided into secondary compartments or cells, as where one cavity is separated into several smaller ones.
loch |A lake; a bay or arm of the sea. [Scot.]\n\nA kind of medicine to be taken by licking with the tongue; a lambative; a lincture.
lochaber ax |A weapon of war, consisting of a pole armed with an axhead at its end, formerly used by the Scotch Highlanders.
lochaber axe |A weapon of war, consisting of a pole armed with an axhead at its end, formerly used by the Scotch Highlanders.
lochage |An officer who commanded a company; a captain. Mitford.
lochan |A small lake; a pond. [Scot.] A pond or lochan rather than a lake. H. Miller.
loche |See Loach.
lochia |The discharge from the womb and vagina which follows childbirth.
lochial |Of or pertaining to the lochia.
lock |A tuft of hair; a flock or small quantity of wool, hay, or other like substance; a tress or ringlet of hair. These gray locks, the pursuivants of death. Shak.\n\n1. Anything that fastens; specifically, a fastening, as for a door, a lid, a trunk, a drawer, and the like, in which a bolt is moved by a key so as to hold or to release the thing fastened. 2. A fastening together or interlacing; a closing of one thing upon another; a state of being fixed or immovable. Albemarle Street closed by a lock of carriages. De Quincey. 3. A place from which egress is prevented, as by a lock. Dryden. 4. The barrier or works which confine the water of a stream or canal. 5. An inclosure in a canal with gates at each end, used in raising or lowering boats as they pass from one level to another; -- called also lift lock. 6. That part or apparatus of a firearm by which the charge is exploded; as, a matchlock, flintlock, percussion lock, etc. 7. A device for keeping a wheel from turning. 8. A grapple in wrestling. Milton. Detector lock, a lock containing a contrivance for showing whether it as has been tampered with. -- Lock bay (Canals), the body of water in a lock chamber. -- Lock chamber, the inclosed space between the gates of a canal lock. -- Lock nut. See Check nut, under Check. -- Lock plate, a plate to which the mechanism of a gunlock is attached. -- Lock rail (Arch.), in ordinary paneled doors, the rail nearest the lock. Lock rand (Masonry), a range of bond stone. Knight. -- Mortise lock, a door lock inserted in a mortise. -- Rim lock, a lock fastened to the face of a door, thus differing from a mortise lock.\n\n1. To fasten with a lock, or as with a lock; to make fast; to prevent free movement of; as, to lock a door, a carriage wheel, a river, etc. 2. To prevent ingress or access to, or exit from, by fastening the lock or locks of; -- often with up; as, to lock or lock up, a house, jail, room, trunk. etc. 3. To fasten in or out, or to make secure by means of, or as with, locks; to confine, or to shut in or out -- often with up; as, to lock one's self in a room; to lock up the prisoners; to lock up one's silver; to lock intruders out of the house; to lock money into a vault; to lock a child in one's arms; to lock a secret in one's breast. 4. To link together; to clasp closely; as, to lock arms. \" Lock hand in hand.\" Shak. 5. (Canals)  To furnish with locks; also, to raise or lower (a boat) in a lock. 6. (Fencing)  To seize, as the sword arm of an antagonist, by turning the left arm around it, to disarm him.\n\nTo become fast, as by means of a lock or by interlacing; as, the door locks close. When it locked none might through it pass. Spenser. To lock into, to fit or slide into; as, they lock into each other. Boyle.
lock hospital |. A hospital for the treatment of venereal diseases. [Eng.]
lock step |. A mode of marching by a body of men going one after another as closely as possible, in which the leg of each moves at the same time with the corresponding leg of the person before him.
lock stitch |. A peculiar sort of stitch formed by the locking of two threads together, as in the work done by some sewing machines. See Stitch.
lock-down |A contrivance to fasten logs together in rafting; -- used by lumbermen. [U.S.]
lock-weir |A waste weir for a canal, discharging into a lock chamber.
lockage |1. Materials for locks in a canal, or the works forming a lock or locks. 2. Toll paid for passing the locks of a canal. 3. Amount of elevation and descent made by the locks of a canal. The entire lock will be about fifty feet. De Witt Clinton.
locked-jaw |See Lockjaw.
locken |of Lock. Chaucer.\n\nThe globeflower (Trollius).
locker |1. One who, or that which, locks. 2. A drawer, cupboard, compartment, or chest, esp. one in a ship, that may be closed with a lock. Chain locker (Naut.), a compartment in the hold of a vessel, for holding the chain cables. -- Davy Jones's locker, or Davy's locker. See Davy Jones. -- Shot locker, a compartment where shot are deposited. Totten.
locket |1. A small lock; a catch or spring to fasten a necklace or other ornament. 2. A little case for holding a miniature or lock of hair, usually suspended from a necklace or watch chain.
lockjaw |A contraction of the muscles of the jaw by which its motion is suspended; a variety of tetanus.
lockless |Destitute of a lock.
lockman |A public executioner. [Scot.]
lockout |The closing of a factory or workshop by an employer, usually in order to bring the workmen to satisfactory terms by a suspension of wages.
lockram |A kind of linen cloth anciently used in England, originally imported from Brittany. Shak.
locksmith |An artificer whose occupation is to make or mend locks.
lockup |A place where persons under arrest are temporarily locked up; a watchhouse.
locky |Having locks or tufts. [R.] Sherwood.
loco |A direction in written or printed music to return to the proper pitch after having played an octave higher.\n\nA plant (Astragalus Hornii) growing in the Southwestern United States, which is said to poison horses and cattle, first making them insane. The name is also given vaguely to several other species of the same genus. Called also loco weed.
loco disease |A chronic nervous affection of cattle, horses, and sheep, caused by eating the loco weed and characterized by a slow, measured gait, high step, glassy eyes with defective vision, delirium, and gradual emaciation.
locofoco |1. A friction match. [U.S.] 2. A nickname formerly given to a member of the Democratic party. [U.S.] Note: The name was first applied, in 1834, to a portion of the Democratic party, because, at a meeting in Tammany Hall, New York, in which there was great diversity of sentiment, the chairman left his seat, and the lights were extinguished, for the purpose of dissolving the meeting; when those who were opposed to an adjournment produced locofoco matches, rekindled the lights, continued the meeting, and accomplished their object.
locomotion |1. The act of moving from place to place. \" Animal locomotion.\" Milton. 2. The power of moving from place to place, characteristic of the higher animals and some of the lower forms of plant life.
locomotive |1. Moving from place to place; changing place, or able to change place; as, a locomotive animal. 2. Used in producing motion; as, the locomotive organs of an animal.\n\nA locomotive engine; a self-propelling wheel carriage, especially one which bears a steam boiler and one or more steam engines which communicate motion to the wheels and thus propel the carriage, -- used to convey goods or passengers, or to draw wagons, railroad cars, etc. See Illustration in Appendix. Consolidation locomotive, a locomotive having four pairs of connected drivers. -- Locomotive car, a locomotive and a car combined in one vehicle; a dummy engine. [U.S.] -- Locomotive engine. Same as Locomotive, above. -- Mogul locomotive. See Mogul.
locomotiveness |The power of changing place.
locomotivity |The power of changing place.
locomotor |Of or pertaining to movement or locomotion. Locomotor ataxia, or Progressive locomotor ataxy (Med.), a disease of the spinal cord characterized by peculiar disturbances of gait, and difficulty in coördinating voluntary movements.
loculament |The cell of a pericarp in which the seed is lodged.
locular |Of or relating to the cell or compartment of an ovary, etc.; in composition, having cells; as trilocular. Gray.
loculate |Divided into compartments.
locule |A little hollow; a loculus.
loculicidal |Dehiscent through the middle of the back of each cell; -- said of capsules.
loculose |Divided by internal partitions into cells, as the pith of the pokeweed.
loculous |Divided by internal partitions into cells, as the pith of the pokeweed.
loculus |1. (Zoöl.)  One of the spaces between the septa in the Anthozoa. 2. (Bot.)  One of the compartments of a several-celled ovary; loculament.
locum tenens |A substitute or deputy; one filling an office for a time.
locus |1. A place; a locality. 2. (Math.)  The line traced by a point which varies its position according to some determinate law; the surface described by a point or line that moves according to a given law. Plane locus, a locus that is a straight line, or a circle. -- Solid locus, a locus that is one of the conic sections.
locust |1. (Zoöl.)  Any one of numerous species of long-winged, migratory, orthopterous insects, of the family Acrididæ, allied to the grasshoppers; esp., (Edipoda, or Pachytylus, migratoria, and Acridium perigrinum, of Southern Europe, Asia, and Africa. In the United States the related species with similar habits are usually called grasshoppers. See Grasshopper. Note: These insects are at times so numerous in Africa and the south of Asia as to devour every green thing; and when they migrate, they fly in an immense cloud. In the United States the harvest flies are improperly called locusts. See Cicada. Locust beetle (Zoöl.), a longicorn beetle (Cyllene robiniæ), which, in the larval state, bores holes in the wood of the locust tree. Its color is brownish black, barred with yellow. Called also locust borer. -- Locust bird (Zoöl.) the rose-colored starling or pastor of India. See Pastor. -- Locust hunter (Zoöl.), an African bird; the beefeater. 2. Etym: [Etymol. uncertain.] (Bot.)  The locust tree. See Locust Tree (definition, note, and phrases). Locust bean (Bot.), a commercial name for the sweet pod of the carob tree.
locust tree |A large North American tree of the genus Robinia (R. Pseudacacia), producing large slender racemes of white, fragrant, papilionaceous flowers, and often cultivated as an ornamental tree. In England it is called acacia. Note: The name is also applied to other trees of different genera, especially to those of the genus Hymenæa, of which H. Courbaril is a lofty, spreading tree of South America; also to the carob tree (Ceratonia siliqua), a tree growing in the Mediterranean region. Honey locust tree (Bot.), a tree of the genus Gleditschia ) G. triacanthus), having pinnate leaves and strong branching thorns; -- so called from a sweet pulp found between the seeds in the pods. Called also simply honey locust. -- Water locust tree (Bot.), a small swamp tree (Gleditschia monosperma), of the Southern United States.
locusta |The spikelet or flower cluster of grasses. Gray.
locustella |The European cricket warbler.
locustic |Pertaining to, or derived from, the locust; -- formerly used to designate a supposed acid.
locusting |Swarming and devastating like locusts. [R.] Tennyson.
locution |Speech or discourse; a phrase; a form or mode of expression. \" Stumbling locutions.\" G. Eliot. I hate these figures in locution, These about phrases forced by ceremony. Marston.
locutory |A room for conversation; especially, a room in monasteries, where the monks were allowed to converse.
lodde |The capelin.
lode |1. A water course or way; a reach of water. Down that long, dark lode . . . he and his brother skated home in triumph. C. Kingsley. 2. (Mining)  A metallic vein; any regular vein or course, whether metallic or not.
lode-ship |An old name for a pilot boat.
lodemanage |Pilotage; skill of a pilot or loadsman. [Obs.] Chaucer.\n\nPilotage. [Obs.]
lodesman |A pilot. [Obs.] Chaucer.\n\nSame as Loadsman. [Obs.]
lodestar |A star that leads; a guiding star; esp., the polestar; the cynosure. Chaucer. \" Your eyes are lodestars.\" Shak. The pilot can no loadstar see. Spenser.\n\nSame as Loadstar.
lodestone |A piece of magnetic iron ore possessing polarity like a magnetic needle. See Magnetite.\n\nSame as Loadstone.
lodge |1. A shelter in which one may rest; as: (a) A shed; a rude cabin; a hut; as, an Indian's lodge. Chaucer. Their lodges and their tentis up they gan bigge [to build]. Robert of Brunne. O for a lodge in some vast wilderness! Cowper. (b) A small dwelling house, as for a gamekeeper or gatekeeper of an estate. Shak. (c) A den or cave. (d) The meeting room of an association; hence, the regularly constituted body of members which meets there; as, a masonic lodge. (c) The chamber of an abbot, prior, or head of a college. 2. (Mining)  The space at the mouth of a level next the shaft, widened to permit wagons to pass, or ore to be deposited for hoisting; -- called also platt. Raymond. 3. A collection of objects lodged together. The Maldives, a famous lodge of islands. De Foe. 4. A family of North American Indians, or the persons who usually occupy an Indian lodge, -- as a unit of enumeration, reckoned from four to six persons; as, the tribe consists of about two hundred lodges, that is, of about a thousand individuals. Lodge gate, a park gate, or entrance gate, near the lodge. See Lodge, n., 1 (b).\n\n1. To rest or remain a lodge house, or other shelter; to rest; to stay; to abide; esp., to sleep at night; as, to lodge in York Street. Chaucer. Stay and lodge by me this night. Shak. Something holy lodges in that breast. Milton . 2. To fall or lie down, as grass or grain, when overgrown or beaten down by the wind. Mortimer. 3. To come to a rest; to stop and remain; as, the bullet lodged in the bark of a tree.\n\n1. To give shelter or rest to; especially, to furnish a sleeping place for; to harbor; to shelter; hence, to receive; to hold. Every house was proud to lodge a knight. Dryden. The memory can lodge a greater stone of images that all the senses can present at one time. Cheyne. 2. To drive to shelter; to track to covert. The deer is lodged; I have tracked her to her covert. Addison. 3. To deposit for keeping or preservation; as, the men lodged their arms in the arsenal. 4. To cause to stop or rest in; to implant. He lodged an arrow in a tender breast. Addison. 5. To lay down; to prostrate. Though bladed corn be lodged, and trees blown down. Shak. To lodge an information, to enter a formal complaint.
lodgeable |1. That may be or can be lodged; as, so many persons are not lodgeable in this village. 2. Capable of affording lodging; fit for lodging in. [R.] \" The lodgeable area of the earth.\" Jeffrey.
lodged |Lying down; -- used of beasts of the chase, as couchant is of beasts of prey.
lodgement |See Lodgment.
lodger |One who, or that which, lodges; one who occupies a hired room in another's house.
lodging |1. The act of one who, or that which, lodges. 2. A place of rest, or of temporary habitation; esp., a sleeping apartment; -- often in the plural with a singular meaning. Gower. Wits take lodgings in the sound of Bow. Pope. 3. Abiding place; harbor; cover. Fair bosom . . . the lodging of delight. Spenser. Lodging house, a house where lodgings are provided and let. -- Lodging room, a room in which a person lodges, esp. a hired room.
lodgment |1. The act of lodging, or the state of being lodged. Any particle which is of size enough to make a lodgment afterwards in the small arteries. Paley. 2. A lodging place; a room. [Obs.] 3. An accumulation or collection of something deposited in a place or remaining at rest. 4. (Mil.)  The occupation and holding of a position, as by a besieging party; an instrument thrown up in a captured position; as, to effect a lodgment.
lodicule |One of the two or three delicate membranous scales which are next to the stamens in grasses.
loellingite |A tin-white arsenide of iron, isomorphous with arsenopyrite.
loess |A quaternary deposit, usually consisting of a fine yellowish earth, on the banks of the Rhine and other large rivers. LOEVEN'S LARVA Loev\"en's lar\"va. Etym: [Named after the Swedish zoölogist, S. F. Löven, who discovered it.] (Zoöl.)  The peculiar larva of Polygordius. See Polygordius.
loffe |To laugh. [Obs.] Shak.
loft |That which is lifted up; an elevation. Hence, especially: (a) The room or space under a roof and above the ceiling of the uppermost story. (b) A gallery or raised apartment in a church, hall, etc.; as, an organ loft. (c) A floor or room placed above another; a story. Eutychus . . . fell down from the third loft. Acts xx. 9. On loft, aloft; on high. Cf. Onloft. [Obs.] Chaucer.\n\nLofty; proud. [R. & Obs.] Surrey.
lofter |An iron club used in lofting the ball; -- called also lofting iron.
loftily |In a lofty manner or position; haughtily.
loftiness |The state or quality of being lofty.
lofting iron |Same as Lofter.
lofty |1. Lifted high up; having great height; towering; high. See lofty Lebanon his head advance. Pope. 2. Fig.: Elevated in character, rank, dignity, spirit, bearing, language, etc.; exalted; noble; stately; characterized by pride; haughty. The high and lofty One, that inhabiteth eternity. Is. lvii. 15. Lofty and sour to them that loved him not. Shak. Himself to sing, and build the lofty rhyme. Milton. Syn. -- Tall; high; exalted; dignified; stately; majestic; sublime; proud; haughty. See Tall.
log |A Hebrew measure of liquids, containing 2.37 gills. W. H. Ward.\n\n1. A bulky piece of wood which has not been shaped by hewing or sawing. 2. Etym: [Prob. the same word as in sense 1; cf. LG. log, lock, Dan. log, Sw. logg.] (Naut.)  An apparatus for measuring the rate of a ship's motion through the water. Note: The common log consists of the log-chip, or logship, often exclusively called the log, and the log line, the former being commonly a thin wooden quadrant of five or six inches radius, loaded with lead on the arc to make it float with the point up. It is attached to the log line by cords from each corner. This line is divided into equal spaces, called knots, each bearing the same proportion to a mile that half a minute does to an hour. The line is wound on a reel which is so held as to let it run off freely. When the log is thrown, the log-chip is kept by the water from being drawn forward, and the speed of the ship is shown by the number of knots run out in half a minute. There are improved logs, consisting of a piece of mechanism which, being towed astern, shows the distance actually gone through by the ship, by means of the revolutions of a fly, which are registered on a dial plate. 3. Hence: The record of the rate of ship's speed or of her daily progress; also, the full nautical record of a ship's cruise or voyage; a log slate; a log book. 4. A record and tabulated statement of the work done by an engine, as of a steamship, of the coal consumed, and of other items relating to the performance of machinery during a given time. 5. (Mining)  A weight or block near the free end of a hoisting rope to prevent it from being drawn through the sheave. Log board (Naut.), a board consisting of two parts shutting together like a book, with columns in which are entered the direction of the wind, course of the ship, etc., during each hour of the day and night. These entries are transferred to the log book. A folding slate is now used instead. -- Log book, or Logbook (Naut.), a book in which is entered the daily progress of a ship at sea, as indicated by the log, with notes on the weather and incidents of the voyage; the contents of the log board. Log cabin, Log house, a cabin or house made of logs. -- Log canoe, a canoe made by shaping and hollowing out a single log. -- Log glass (Naut.), a small sandglass used to time the running out of the log line. -- Log line (Naut.), a line or cord about a hundred and fifty fathoms long, fastened to the log-chip. See Note under 2d Log, n., 2. -- Log perch (Zoöl.), an ethiostomoid fish, or darter (Percina caprodes); -- called also hogfish and rockfish. -- Log reel (Naut.), the reel on which the log line is wound. -- Log slate. (Naut.) See Log board (above). -- Rough log (Naut.), a first draught of a record of the cruise or voyage. -- Smooth log (Naut.), a clean copy of the rough log. In the case of naval vessels this copy is forwarded to the proper officer of the government. -- To heave the log (Naut.), to cast the log-chip into the water; also, the whole process of ascertaining a vessel's speed by the log.\n\n, To enter in a ship's log book; as, to log the miles run. J. F. Cooper.\n\n1. To engage in the business of cutting or transporting logs for timber; to get out logs. [U.S.] 2. To move to and fro; to rock. [Obs.]
log-chip |A thin, flat piece of board in the form of a quadrant of a circle attached to the log line; -- called also log-ship. See 2d Log, n., 2.
log-ship |A part of the log. See Log-chip, and 2d Log, n., 2.
logan |A rocking or balanced stone. Gwill.
logaoedic |Composed of dactyls and trochees so arranged as to produce a movement like that of ordinary speech.
logarithm |One of a class of auxiliary numbers, devised by John Napier, of Merchiston, Scotland (1550-1617), to abridge arithmetical calculations, by the use of addition and subtraction in place of multiplication and division. Note: The relation of logarithms to common numbers is that of numbers in an arithmetical series to corresponding numbers in a geometrical series, so that sums and differences of the former indicate respectively products and quotients of the latter; thus 0 1 2 3 4 Indices or logarithms 1 10 100 1000 10,000 Numbers in geometrical progression Hence, the logarithm of any given number is the exponent of a power to which another given invariable number, called the base, must be raised in order to produce that given number. Thus, let 10 be the base, then 2 is the logarithm of 100, because 102 = 100, and 3 is the logarithm of 1,000, because 103 = 1,000. Arithmetical complement of a logarithm, the difference between a logarithm and the number ten. -- Binary logarithms. See under Binary. -- Common logarithms, or Brigg's logarithms, logarithms of which the base is 10; -- so called from Henry Briggs, who invented them. -- Gauss's logarithms, tables of logarithms constructed for facilitating the operation of finding the logarithm of the sum of difference of two quantities from the logarithms of the quantities, one entry of those tables and two additions or subtractions answering the purpose of three entries of the common tables and one addition or subtraction. They were suggested by the celebrated German mathematician Karl Friedrich Gauss (died in 1855), and are of great service in many astronomical computations. -- Hyperbolic, or Napierian, logarithms, those logarithms (devised by John Speidell, 1619) of which the base is 2.7182818; -- so called from Napier, the inventor of logarithms. -- Logistic or Proportionallogarithms., See under Logistic.
logarithmetic |See Logarithmic.
logarithmetical |See Logarithmic.
logarithmetically |Logarithmically.
logarithmic |Of or pertaining to logarithms; consisting of logarithms. Logarithmic curve (Math.), a curve which, referred to a system of rectangular coördinate axes, is such that the ordinate of any point will be the logarithm of its abscissa. -- Logarithmic spiral, a spiral curve such that radii drawn from its pole or eye at equal angles with each other are in continual proportion. See Spiral.
logarithmical |Of or pertaining to logarithms; consisting of logarithms. Logarithmic curve (Math.), a curve which, referred to a system of rectangular coördinate axes, is such that the ordinate of any point will be the logarithm of its abscissa. -- Logarithmic spiral, a spiral curve such that radii drawn from its pole or eye at equal angles with each other are in continual proportion. See Spiral.
logarithmically |By the use of logarithms.
logcock |The pileated woodpecker.
loge |A lodge; a habitation. [Obs.] Chaucer.
loggan |See Logan.
loggat |1. A small log or piece of wood. [Obs.] B. Jonson. 2. pl.  An old game in England, played by throwing pieces of wood at a stake set in the ground. [Obs.] Shak.
logge |See Lodge. [Obs.] Chaucer.
logged |Made slow and heavy in movement; water-logged. Beaconsfield.
logger |One engaged in logging. See Log, v. i. [U.S.] Lowell.
loggerhead |1. A blockhead; a dunce; a numskull. Shak. Milton. 2. A spherical mass of iron, with a long handle, used to heat tar. 3. (Naut.)  An upright piece of round timber, in a whaleboat, over which a turn of the line is taken when it is running out too fast. Ham. Nav. Encyc. 4. (Zoöl.)  A very large marine turtle (Thalassochelys caretta, or caouana), common in the warmer parts of the Atlantic Ocean, from Brazil to Cape Cod; -- called also logger-headed turtle. 5. (Zoöl.)  An American shrike (Lanius Ludovicianus), similar to the butcher bird, but smaller. See Shrike. To be at loggerheads, To fall to loggerheads, or To go to loggerheads, to quarrel; to be at strife. L' Estrange.
loggerheaded |Dull; stupid. Shak. A rabble of loggerheaded physicians. Urquhart.
loggerheads |The knapweed.
loggia |A roofed open gallery. It differs from a veranda in being more architectural, and in forming more decidedly a part of the main edifice to which it is attached; from a porch, in being intended not for entrance but for an out-of-door sitting-room.
logging |The business of felling trees, cutting them into logs, and transporting the logs to sawmills or to market.
