resupply |To supply again.
retort |1. To bend or curve back; as, a retorted line. With retorted head, pruned themselves as they floated. Southey. 2. To throw back; to reverberate; to reflect. As when his virtues, shining upon others, Heat them and they retort that heat again To the first giver. Shak. 3. To return, as an argument, accusation, censure, or incivility; as, to retort the charge of vanity. And with retorted scorn his back he turned. Milton.\n\nTo return an argument or a charge; to make a severe reply. Pope.\n\n1. The return of, or reply to, an argument, charge, censure, incivility, taunt, or witticism; a quick and witty or severe response. This is called the retort courteous. Shak. 2. Etym: [F. retorte (cf. Sp. retorta), fr. L. retortus, p. p. of retorquere. So named from its bent shape. See Retort, v. t.] (Chem. & the Arts)  A vessel in which substances are subjected to distillation or decomposition by heat. It is made of different forms and materials for different uses, as a bulb of glass with a curved beak to enter a receiver for general chemical operations, or a cylinder or semicylinder of cast iron for the manufacture of gas in gas works. Tubulated retort (Chem.), a retort having a tubulure for the introduction or removal of the substances which are to be acted upon. Syn. -- Repartee; answer. -- Retort, Repartee. A retort is a short and pointed reply, turning back on an assailant the arguments, censure, or derision he had thrown out. A repartee is usually a good-natured return to some witty or sportive remark.
retorter |One who retorts.
retortion |1. Act of retorting or throwing back; reflection or turning back. [Written also retorsion.] It was, however, necessary to possess some single term expressive of this intellectual retortion. Sir W. Hamilton. 2. (Law)  Retaliation. Wharton.
retortive |Containing retort.
retoss |To toss back or again.
retouch |1. To touch again, or rework, in order to improve; to revise; as, to retouch a picture or an essay. 2. (Photog.)  To correct or change, as a negative, by handwork.\n\nA partial reworking,as of a painting, a sculptor's clay model, or the like.
retoucher |One who retouches.
retrace |1. To trace back, as a line. Then if the line of Turnus you retrace, He springs from Inachus of Argive race. Driden. 2. To go back, in or over (a previous course); to go over again in a reverse direction; as, to retrace one's steps; to retrace one's proceedings. 3. To trace over again, or renew the outline of, as a drawing; to draw again.
retract |1. To draw back; to draw up or shorten; as, the cat can retract its claws; to retract a muscle. 2. Ti withdraw; to recall; to disavow; to recant; to take back; as, to retract an accusation or an assertion. I would as freely have retracted this charge of idolatry as I ever made it. Bp. Stillingfleet. 3. To take back,, as a grant or favor previously bestowed; to revoke. [Obs.] Woodward. Syn. -- To recal; withdraw; rescind; revoke; unsay; disavow; recant; abjure; disown.\n\n1. To draw back; to draw up; as, muscles retract after amputation. 2. To take back what has been said; to withdraw a concession or a declaration. She will, and she will not; she grants, denies, Consents, retracts, advances, and then files. Granville.\n\nThe pricking of a horse's foot in nailing on a shoe.
retractable |Capable of being retracted; retractile.
retractate |To retract; to recant. [Obs.]
retractation |The act of retracting what has been said; recantation.
retractible |Retractable.
retractile |CApable of retraction; capable of being drawn back or up; as, the claws of a cat are retractile.
retraction |1. The act of retracting, or drawing back; the state of being retracted; as, the retraction of a cat's claws. 2. The act of withdrawing something advanced, stated, claimed, or done; declaration of change of opinion; recantation. Other men's insatiable desire of revenge hath wholly beguiled both church and state of the benefit of all my either retractions or Eikon Basilike. 3. (Physiol.) (a) The act of retracting or shortening; as, the retraction of a severed muscle; the retraction of a sinew. (b) The state or condition of a part when drawn back, or towards the center of the body.
retractive |Serving to retract; of the nature of a retraction. -- Re*tract\"ive*ly, adv.\n\nThat which retracts, or withdraws.
retractor |One who, or that which, retracts. Specifically: (a) In breech-loading firearms, a device for withdrawing a cartridge shell from the barrel. (b) (Surg.)  An instrument for holding apart the edges of a wound during amputation. (c) (Surg.) A bandage to protect the soft parts from injury by the saw during amputation. (d) (Anat. & Zoöl.)  A muscle serving to draw in any organ or part. See Illust. under Phylactolæmata.
retraict |Retreat. [Obs.] Bacon.
retrait |A portrait; a likeness. [Obs.] Whose fair retrait I in my shield do bear. Spenser.
retransform |To transform anew or back. -- Re`trans*for*ma\"tion, n.
retranslate |To translate anew; especially, to translate back into the original language.
retraxit |The withdrawing, or open renunciation, of a suit in court by the plaintiff, by which he forever lost his right of action. Blackstone.
retread |To tread again.
retreat |1. The act of retiring or withdrawing one's self, especially from what is dangerous or disagreeable. In a retreat he oShak. 2. The place to which anyone retires; a place or privacy or safety; a refuge; an asylum. He built his son a house of pleasure, and spared no cost to make a delicious retreat. L'Estrange. That pleasing shade they sought, a soft retreat From sudden April showers, a shelter from the heat. Dryden. 3. (Mil. & Naval.) (a) The retiring of an army or body of men from the face of an enemy, or from any ground occupied to a greater distance from the enemy, or from an advanced position. (b) The withdrawing of a ship or fleet from an enemy for the purpose of avoiding an engagement or escaping after defeat. (c) A signal given in the army or navy, by the beat of a drum or the sounding of trumpet or bugle, at sunset (when the roll is called), or for retiring from action. Note: A retreat is properly an orderly march, in which circumstance it differs from a flight. 4. (Eccl.) (a) A special season of solitude and silence to engage in religious exercises. (b) A period of several days of withdrawal from society to a religious house for exclusive occupation in the duties of devotion; as, to appoint or observe a retreat. Syn. -- Retirement; departure; withdrawment; seclusion; solitude; privacy; asylum; shelter; refuge.\n\nTo make a retreat; to retire from any position or place; to withdraw; as, the defeated army retreated from the field. The rapid currents drive Towards the retreating sea their furious tide. Milton.
retreatful |Furnishing or serving as a retreat. [R.] \"Our retreatful flood.\" Chapman.
retreatment |The act of retreating; specifically, the Hegira. [R.] D'Urfey.
retrench |1. To cut off; to pare away. Thy exuberant parts retrench. Denham. 2. To lessen; to abridge; to curtail; as, to retrench superfluities or expenses. But this thy glory shall be soon retrenched. Milton. 3. To confine; to limit; to restrict. Addison. These figures, ought they then to receive a retrenched interpretation I. Taylor. 4. (Fort.)  To furnish with a retrenchment; as, to retrench bastions. Syn. -- To lesen; diminish; curtail; abridge.\n\nTo cause or suffer retrenchment; specifically, to cut down living expenses; as, it is more reputable to retrench than to live embarrassed.
retrenchment |1. The act or process of retrenching; as, the retrenchment of words in a writing. The retrenchment of my expenses will convince you that Walpole. 2. (Fort.)  A work constructed within another, to prolong the defense of the position when the enemy has gained possession of the outer work; or to protect the defenders till they can retreat or obtain terms for a capitulation. Syn. -- Lessening; curtailment; diminution; reduction; abridgment.
retrial |A secdond trial, experiment, or test; a second judicial trial, as of an accused person.
retribute |To pay back; to give in return, as payment, reward, or punishment; to requite; as, to retribute one for his kindness; to retribute just punishment to a criminal. [Obs. or R.] Locke.
retributer |One who makes retribution.
retribution |1. The act of retributing; repayment. In good offices and due retributions, we may not be pinching and niggardly. Bp. Hall. 2. That which is given in repayment or compensation; return suitable to the merits or deserts of, as an action; commonly, condign punishment for evil or wrong. All who have their reward on earth, . . . Naught seeking but the praise of men, here find Fit retribution, empty as their deeds. Milton. 3. Specifically, reward and punishment, as distributed at the general judgment. It is a strong argument for a state of retribution hereafter, that in this world virtuous persons are very often unfortunate, and vicious persons prosperous. Addison. Syn. -- Repayment; requital; recompense; payment; retaliation.
retributive |Of or pertaining to retribution; of the nature of retribution; involving retribution or repayment; as, retributive justice; retributory comforts.
retributory |Of or pertaining to retribution; of the nature of retribution; involving retribution or repayment; as, retributive justice; retributory comforts.
retrievable |That may be retrieved or recovered; admitting of retrieval. -- Re*triev\"a*ble*ness, n. -- Re*triev\"a*bly, adv.
retrieval |The act retrieving.
retrieve |1. To find again; to recover; to regain; to restore from loss or injury; as, to retrieve one's character; to retrieve independence. With late repentance now they would retrieve The bodies they forsook, and wish to live. Dryden 2. To recall; to bring back. To retrieve them from their cold, trivial conceits. Berkeley. 3. To remedy the evil consequence of, to repair, as a loss or damadge. Accept my sorrow, and retrieve my fall. Prior. There is much to be done . . . and much to be retrieved. Burke. Syn. -- To recover; regain; recruit; repair; restore.\n\nTo discover and bring in game that has been killed or wounded; as, a dog naturally inclined to retrieve. Walsh.\n\n1. A seeking again; a discovery. [Obs.] B. Jonson. 2. The recovery of game once sprung; -- an old sporting term. [Obs.] Nares.
retrievement |Retrieval.
retriever |1. One who retrieves. 2. (Zoöl.)  A dor, or a breed of dogs, chiefly employed to retrieve, or to find and recover game birds that have been killed or wounded.
retrim |To trim again.
retriment |Refuse; dregs. [R.]
retro- |A prefix or combining form signifying backward, back; as, retroact, to act backward; retrospect, a looking back.
retroact |To act backward, or in return; to act in opposition; to be retrospective.
retroaction |1. Action returned, or action backward. 2. Operation on something past or preceding.
retroactive |Fitted or designed to retroact; operating by returned action; affecting what is past; retrospective. Beddoes. Retroactive law or statute (Law), one which operates to make criminal or punishable, or in any way expressly to affect, acts done prior to the passing of the law.
retroactively |In a retroactive manner.
retrocede |To cede or grant back; as, to retrocede a territory to a former proprietor.\n\nTo go back.
retrocedent |Disposed or likely to retrocede; -- said of diseases which go from one part of the body to another, as the gout.
retrocession |1. The act of retroceding. 2. The state of being retroceded, or granted back. 3. (Med.)  Metastasis of an eruption or a tumor from the surface to the interior of the body.
retrochoir |Any extension of a church behind the higggggggh altar, as a chapel; also, in an apsidal church, all the space beyond the line of the back or eastern face of the altar.
retrocopulant |Copulating backward, or from behind.
retrocopulation |Copulation from behind. Sir T. Browne.
retroduction |A leading or bringing back.
retroflex |Reflexed; bent or turned abruptly backward.
retroflexed |Reflexed; bent or turned abruptly backward.
retroflexion |The act of reflexing; the state of being retroflexed. Cf. Retroversion.
retrofract |Refracted; as, a retrofract stem.
retrofracted |Refracted; as, a retrofract stem.
retrogenerative |Begetting young by retrocopulation.
retrogradation |1. The act of retrograding, or moving backward. 2. The state of being retrograde; decline.
retrograde |1. (Astron.)  Apparently moving backward, and contrary to the succession of the signs, that is, from east to west, as a planet. Hutton. And if he be in the west side in that condition, then is he retrograde. Chaucer. 2. Tending or moving backward; having a backward course; contrary; as, a retrograde motion; -- opposed to Ant: progressive. \"Progressive and not retrograde.\" Bacon. It is most retrograde to our desire. Shak. 3. Declining from a better to a worse state; as, a retrograde people; retrograde ideas, morals, etc. Bacon.\n\n1. To go in a retrograde direction; to move, or appear to move, backward, as a planet. 2. Hence, to decline from a better to a worse condition, as in morals or intelligence.
retrogradingly |By retrograding; so as to retrograde.
retrogress |Retrogression. [R.] H. Spenser.
retrogression |1. The act of retrograding, or going backward; retrogradation. 2. (Biol.)  Backward development; a passing from a higher to a lower state of organization or structure, as when an animal, approaching maturity, becomes less highly organized than would be expected from its earlier stages or known relationship. Called also retrograde development, and regressive metamorphism.
retrogressive |1. Tending to retrograde; going or moving backward; declining from a better to a worse state. 2. (Biol.)  Passing from a higher to a lower condition; declining from a more perfect state of organization; regressive.
retrogressively |In a retrogressive manner.
retromingency |The quality or state of being retromingent. Sir T. Browne.
retromingent |Organized so as to discharge the urine backward. -- n. (Zoöl.)  An animal that discharges its urine backward.
retropulsive |Driving back; repelling.
retrorse |Bent backward or downward. -- Re*trorse\"ly, adv.
retrospect |To look backward; hence, to affect or concern what is past. It may be useful to retrospect to an early period. A. Hamilton.\n\nA looking back on things past; view or contemplation of the past. Cowper. We may introduce a song without retrospect to the old comedy. Landor.
retrospection |The act, or the faculty, of looking back on things past.
retrospective |1. Looking backward; contemplating things past; -- opposed to prospective; as, a retrospective view. The sage, with retrospective eye. Pope. 2. Having reference to what is past; affecting things past; retroactive; as, a retrospective law. Inflicting death by a retrospective enactment. Macaulay.
retrospectively |By way of retrospect.
retrousse |Turned up; -- said of a pug nose.
retrovaccination |The inoculation of a cow with human vaccine virus.
retroversion |A turning or bending backward; also, the state of being turned or bent backward; displacement backwards; as, retroversion of the uterus. Note: In retroversion the bending is gradual or curved; in retroflexion it is abrupt or angular.
retrovert |To turn back.
retroverted |In a state of retroversion.
retrude |To thrust back. [R.] Dr. H. More.
retruse |Abstruse. [Obs.] Dr. H. More.
retrusion |The act of retruding, or the state of being retruded. In virtue of an endless remotion or retrusion of the constituent cause. Coleridge.
retry |To try (esp. judicially) a second time; as, to retry a case; to retry an accused person.
rette |See Aret. [Obs.] Chaucer.
rettery |A place or establishment where flax is retted. See Ret. Ure.
retting |1. The act or process of preparing flax for use by soaking, meceration, and kindred processes; -- also called rotting. See Ret. Ure. 2. A place where flax is retted; a rettery. Ure.
retund |To blunt; to turn, as an edge; figuratively, to cause to be obtuse or dull; as, to retund confidence. Ray. Cudworth.
