murdress |A battlement in ancient fortifications with interstices for firing through.
murre |Any one of several species of sea birds of the genus Uria, or Catarractes; a guillemot. Note: The murres are allied to the auks, and are abundant on the northern coasts of Europe and America. They often breed in large communities on the projecting ledges of precipituous cliffs, laying one or two large eggs on the bare rocks.
murrelet |One of several species of sea birds of the genera Synthliboramphus and Brachyramphus, inhabiting the North Pacific. They are closely related to the murres.
murrey |A dark red color. -- a.  Of a dark red color. Bacon.
murrhine |Made of the stone or material called by the Romans murrha; -- applied to certain costly vases of great beauty and delicacy used by the luxurious in Rome as wine cups; as, murrhine vases, cups, vessels. Murrhine glass, glassware made in imitation of murrhine vases and cups.
murrion |Infected with or killed by murrain. [Obs.] Shak.\n\nA morion. See Morion.
murry |See Muræna.
murth |Plenty; abundance. [Obs. or Prov. Eng.]
murther |Murder, n. & v. [Obs. or Prov.] \"The treason of the murthering.\" Chaucer.
murtherer |A murderer. [Obs. or Prov.]
murza |One of the hereditary nobility among the Tatars, esp. one of the second class. Note: This word must not be confounded with the Persian Mirza, though perhaps of the same origin.
mus |A genus of small rodents, including the common mouse and rat.
musa |A genus of perennial, herbaceous, endogenous plants of great size, including the banana (Musa sapientum), the plantain (M. paradisiaca of Linnæus, but probably not a distinct species), the Abyssinian (M. Ensete), the Philippine Island (M. textilis, which yields Manila hemp), and about eighteen other species. See Illust. of Banana and Plantain.
musaceous |Of, pertaining to, or resembling, plants of the genus Musa.
musal |Of or pertaining to the Muses, or to Poetry. [R.]
musang |A small animal of Java (Paradoxirus fasciatus), allied to the civets. It swallows, but does not digest, large quantities of ripe coffee berries, thus serving to disseminate the coffee plant; hence it is called also coffee rat.
musar |An itinerant player on the musette, an instrument formerly common in Europe.
musard |A dreamer; an absent-minded person. [Obs.] Rom. of R.
musca |1. (Zoöl.)  A genus of dipterous insects, including the common house fly, and numerous allied species. Note: Formerly, a large part of the Diptera were included under the genus Musca. 2. (Astron.)  A small constellation situated between the Southern Cross and the Pole. Muscæ volitantes (. Etym: [L., flying flies.] (Med.) Specks or filaments apparently seen moving or glinding about in the field of vision. Their appearance is often a symptom of disease of the eye, or of disorder of the nervous system.
muscadel |See Muscatel, n. Quaffed off the muscadel. Shak.
muscadine |1. (Bot.)  A name given to several very different kinds of grapes, but in America used chiefly for the scuppernong, or southern fox grape, which is said to be the parent stock of the Catawba. See Grapevine. 2. (Bot.)  A fragrant and delicious pear. 3. (Zoöl.)  See Muscardin. Northern muscadine (Bot.), a derivative of the northern fox grape, and scarcely an improvement upon it. -- Royal muscadine (Bot.), a European grape of great value. Its berries are large, round, and of a pale amber color. Called also golden chasselas.
muscales |An old name for mosses in the widest sense, including the true mosses and also hepaticæ and sphagna.
muscallonge |See Muskellunge.
muscardin |The common European dormouse; -- so named from its odor. [Written also muscadine.]
muscardine |A disease which is very destructive to silkworms, and which sometimes extends to other insects. It is attended by the development of a fungus (provisionally called Botrytis bassiana). Also, the fungus itself.
muscariform |Having the form of a brush.
muscarin |A solid crystalline substance, C5H13NO2, found in the toadstool (Agaricus muscarius), and in putrid fish. It is a typical ptomaine, and a violent poison.
muscat |A name given to several varieties of Old World grapes, differing in color, size, etc., but all having a somewhat musky flavor. The muscat of Alexandria is a large oval grape of a pale amber color. [Written also muskat.]
muscatel |Of, pertaining to, or designating, or derived from, a muscat grapes or similar grapes; a muscatel grapes; muscatel wine, etc.\n\n1. A common name for several varieties of rich sweet wine, made in Italy, Spain, and France. 2. pl.  Finest raisins, dried on the vine; \"sun raisins.\" [Variously written moscatel, muscadel, etc.]
muschelkalk |A kind of shell limestone, whose strata form the middle one of the three divisions of the Triassic formation in Germany. See Chart, under Geology.
musci |An order or subclass of cryptogamous plants; the mosses. See Moss, and Cryptogamia.
muscicapine |Of or pertaining to the Muscicapidæ, a family of birds that includes the true flycatchers.
muscid |Any fly of the genus Musca, or family Muscidæ.
musciform |Having the form or structure of flies of the genus Musca, or family Muscidæ.\n\nHaving the appearance or form of a moss.
muscle |1. (Anat.) (a) An organ which, by its contraction, produces motion. See Illust. of Muscles of the Human Body, in Appendix. (b) The contractile tissue of which muscles are largely made up. Note: Muscles are of two kinds, striated and nonstriated. The striated muscles, which, in most of the higher animals, constitute the principal part of the flesh, exclusive of the fat, are mostly under the control of the will, or voluntary, and are made up of great numbers of elongated fibres bound together into bundles and inclosed in a sheath of connective tissue, the perimysium. Each fiber is inclosed in a delicate membrane (the sarcolemma), is made up of alternate segments of lighter and darker material which give it a transversely striated appearance, and contains, scattered through its substance, protoplasmic nuclei, the so-called muscle corpuscles. The nonstriated muscles are involuntary. They constitute a large part of the walls of the alimentary canal, blood vessels, uterus, and bladder, and are found also in the iris, skin, etc. They are made up of greatly elongated cells, usually grouped in bundles or sheets. 2. Muscular strength or development; as, to show one's muscle by lifting a heavy weight. [Colloq.] 3. Etym: [AS. muscle, L. musculus a muscle, mussel. See above.] (Zoöl.)  See Mussel. Muscle curve (Physiol.), contraction curve of a muscle; a myogram; the curve inscribed, upon a prepared surface, by means of a myograph when acted upon by a contracting muscle. The character of the curve represents the extent of the contraction.
muscle reading |The art of making discriminations between objects of choice, of discovering the whereabouts of hidden objects, etc., by inference from the involuntary movements of one whose hand the reader holds or with whom he is otherwise in muscular contact.
muscled |Furnished with muscles; having muscles; as, things well muscled.
muscling |Exhibition or representation of the muscles. [R.] A good piece, the painters say, must have good muscling, as well as coloring and drapery. Shaftesbury.
muscogees |See Muskogees.
muscoid |Mosslike; resembling moss.\n\nA term formerly applied to any mosslike flowerless plant, with a distinct stem, and often with leaves, but without any vascular system.
muscology |Bryology.
muscosity |Mossiness. Jonhson.
muscovado |Pertaining to, or of the nature of, unrefined or raw sugar, obtained from the juice of the sugar cane by evaporating and draining off the molasses. Muscovado sugar contains impurities which render it dark colored and moist.\n\nUnrefined or raw sugar.
muscovite |1. A native or inhabitant of Muscovy or ancient Russia; hence, a Russian. 2. (Min.)  Common potash mica. See Mica.
muscovy duck |A duck (Cairina moschata), larger than the common duck, often raised in poultry yards. Called also musk duck. It is native of tropical America, from Mexico to Southern Brazil.
muscovy glass |Mica; muscovite. See Mica.
muscular |1. Of or pertaining to a muscle, or to a system of muscles; consisting of, or constituting, a muscle or muscles; as, muscular fiber. Great muscular strength, accompanied by much awkwardness. Macaulay. 2. Performed by, or dependent on, a muscle or the muscles. \"The muscular motion.\" Arbuthnot. 3. Well furnished with muscles; having well-developed muscles; brawny; hence, strong; powerful; vigorous; as, a muscular body or arm. Muscular Christian, one who believes in a part of religious duty to maintain a healthful and vigorous physical state. T. Hughes. -- Muscular CHristianity. (a) The practice and opinion of those Christians who believe that it is a part of religious duty to maintain a vigorous condition of the body, and who therefore approve of athletic sports and exercises as conductive to good health, good morals, and right feelings in religious matters. T. Hughes. (b) An active, robust, and cheerful Christian life, as opposed to a meditative and gloomy one. C. Kingsley. -- Muscular excitability (Physiol.), that property in virtue of which a muscle shortens, when it is stimulated; irritability. -- Muscular sense (Physiol.), muscular sensibility; the sense by which we obtain knowledge of the condition of our muscles and to what extent they are contracted, also of the position of the various parts of our bodies and the resistance offering by external objects.
muscularity |The state or quality of being muscular. Grew.
muscularize |To make muscular. Lowell.
muscularly |In a muscular manner.
musculation |The muscular system of an animal, or of any of its parts.
musculature |Musculation.
muscule |A long movable shed used by besiegers in ancient times in attacking the walls of a fortified town.
musculin |See Syntonin.
musculocutaneous |Pertaining both to muscles and skin; as, the musculocutaneous nerve.
musculophrenic |Pertaining to the muscles and the diaphragm; as, the musculophrenic artery.
musculosity |The quality or state of being musculous; muscularity. [Obs.]
musculospiral |Of or pertaining to the muscles, and taking a spiral course; -- applied esp. to a large nerve of the arm.
musculous |Muscular. [Obs.] Jonhson.
muse |A gap or hole in a hedge, hence, wall, or the like, through which a wild animal is accustomed to pass; a muset. Find a hare without a muse. Old Prov.\n\n1. (Class. Myth.)  One of the nine goddesses who presided over song and the different kinds of poetry, and also the arts and sciences; -- often used in the plural. Granville commands; your aid, O Muses, bring: What Muse for Granville can refuse to sing Pope. Note: The names of the Muses were Calliope, Clio, Erato, Euterpe, Melpomene, Polymnia or Polyhymnia, Terpsichore, Thalia, and Urania. 2. A particular power and practice of poetry. Shak. 3. A poet; a bard. [R.] Milton.\n\n1. To think closely; to study in silence; to meditate. \"Thereon mused he.\" Chaucer. He mused upon some dangerous plot. Sir P. Sidney. 2. To be absent in mind; to be so occupied in study or contemplation as not to observe passing scenes or things present; to be in a brown study. Daniel. 3. To wonder. [Obs.] Spenser. B. Jonson. Syn. -- To consider; meditate; ruminate. See Ponder.\n\n1. To think on; to meditate on. Come, then, expressive Silence, muse his praise. Thomson. 2. To wonder at. [Obs.] Shak.\n\n1. Contemplation which abstracts the mind from passing scenes; absorbing thought; hence, absence of mind; a brown study. Milton. 2. Wonder, or admiration. [Obs.] Spenser.
museful |Meditative; thoughtfully silent. \"Museful mopings.\" Dryden. -- Muse\"ful*ly, adv.
museless |Unregardful of the Muses; disregarding the power of poetry; unpoetical. Milton.
muser |One who muses.
muset |A small hole or gap through which a wild animal passes; a muse. Shak.
musette |1. A small bagpipe formerly in use, having a soft and sweet tone. 2. An air adapted to this instrument; also, a kind of rustic dance.
museum |A repository or a collection of natural, scientific, or literary curiosities, or of works of art. Museum beetle, Museum pest. (Zoöl.) See Anthrenus.
mush |Meal (esp. Indian meal) boiled in water; hasty pudding; supawn. [U.S.]\n\nTo notch, cut, or indent, as cloth, with a stamp.
mushroom |1. (Bot.) (a) An edible fungus (Agaricus campestris), having a white stalk which bears a convex or oven flattish expanded portion called the pileus. This is whitish and silky or somewhat scaly above, and bears on the under side radiating gills which are at first flesh-colored, but gradually become brown. The plant grows in rich pastures and is proverbial for rapidity of growth and shortness of duration. It has a pleasant smell, and is largely used as food. It is also cultivated from spawn. (b) Any large fungus, especially one of the genus Agaricus; a toadstool. Several species are edible; but many are very poisonous. 2. One who rises suddenly from a low condition in life; an upstart. Bacon.\n\n1. Of or pertaining to mushrooms; as, mushroom catchup. 2. Resembling mushrooms in rapidity of growth and shortness of duration; short-lived; ephemerial; as, mushroom cities. Mushroom anchor, an anchor shaped like a mushroom, capable of grasping the ground in whatever way it falls. -- Mushroom coral (Zoöl.), any coral of the genus Fungia. See Fungia. -- Mushroom spawn (Bot.), the mycelium, or primary filamentous growth, of the mushroom; also, cakes of earth and manure containing this growth, which are used for propagation of the mushroom.
mushroom-headed |Having a cylindrical body with a convex head of larger diameter; having a head like that of a mushroom.
mushy |Soft like mush; figuratively, good-naturedly weak and effusive; weakly sentimental. She 's not mushy, but her heart is tender. G. Eliot.
music |1. The science and the art of tones, or musical sounds, i.e., sounds of higher or lower pitch, begotten of uniform and synchronous vibrations, as of a string at various degrees of tension; the science of harmonical tones which treats of the principles of harmony, or the properties, dependences, and relations of tones to each other; the art of combining tones in a manner to please the ear. Note: Not all sounds are tones. Sounds may be unmusical and yet please the ear. Music deals with tones, and with no other sounds. See Tone. 2. (a) Melody; a rhythmical and otherwise agreeable succession of tones. (b) Harmony; an accordant combination of simultaneous tones. 3. The written and printed notation of a musical composition; the score. 4. Love of music; capacity of enjoying music. The man that hath ni music in himself Nor is not moved with concord of sweet sounds, Is fit for treasons, stratagems, and spoils. Shak. 5. (Zoöl.)  A more or less musical sound made by many of the lower animals. See Stridulation. Magic music, a game in which a person is guided in finding a hidden article, or in doing a specific art required, by music which is made more loud or rapid as he approaches success, and slower as he recedes. Tennyson. -- Music box. See Musical box, under Musical. -- Music hall, a place for public musical entertainments. -- Music loft, a gallery for musicians, as in a dancing room or a church. -- Music of the spheres, the harmony supposed to be produced by the accordant movement of the celestial spheres. -- Music paper, paper ruled with the musical staff, for the use of composers and copyists. -- Music pen, a pen for ruling at one time the five lines of the musical staff. -- Music shell (Zoöl.), a handsomely colored marine gastropod shell (Voluta musica) found in the East Indies; -- so called because the color markings often resemble printed music. Sometimes applied to other shells similarly marked. -- To face the music, to meet any disagreeable necessity without flinching. [Colloq. or Slang]
music drama |An opera in which the text and action are not interrupted by set arias, duets, etc., the music being determined throughout by dramatic appropriateness; musical drama of this character, in general. It involves the use of a kind of melodious declamation, the development of leitmotif, great orchestral elaboration, and a fusion of poetry, music, action, and scene into an organic whole. The term is applied esp. to the later works of Wagner: \"Tristan und Isolde,\" \"Die Meistersinger,\" \"Rheingold,\" \"Walküre,\" \"Siegfried,\" \"Götterdämmerung,\" and \"Parsifal.\",
  "marmoration |A covering or incrusting with marble; a casing of marble; a variegating so as to resemble marble. [R.]
music hall |A place for public musical entertainments; specif. (Eng.), esp. a public hall for vaudeville performances, in which smoking and drinking are usually allowed in the auditorium.
musical |Of or pertaining to music; having the qualities of music; or the power of producing music; devoted to music; melodious; harmonious; as, musical proportion; a musical voice; musical instruments; a musical sentence; musical persons. Musical, or Music, box, a box or case containing apparatus moved by clockwork so as to play certain tunes automatically. -- Musical fish (Zoöl.), any fish which utters sounds under water, as the drumfish, grunt, gizzard shad, etc. -- Musical glasses, glass goblets or bowls so tuned and arranged that when struck, or rubbed, they produce musical notes. CF. Harmonica, 1.\n\n1. Music. [Obs.] To fetch home May with their musical. Spenser. 2. A social entertainment of which music is the leading feature; a musical party. [Colloq.]
musicale |A social musical party. [Colloq.]
musically |In a musical manner.
musicalness |The quality of being musical.
musician |One skilled in the art or science of music; esp., a skilled singer, or performer on a musical instrument.
musicomania |A kind of monomania in which the passion for music becomes so strong as to derange the intellectual faculties. Dunglison.
musimon |See Mouflon.
musingly |In a musing manner.
musit |See Muset.
musk |1. A substance of a reddish brown color, and when fresh of the consistence of honey, obtained from a bag being behind the navel of the male musk deer. It has a slightly bitter taste, but is specially remarkable for its powerful and enduring odor. It is used in medicine as a stimulant antispasmodic. The term is also applied to secretions of various other animals, having a similar odor. 2. (Zoöl.)  The musk deer. See Musk deer (below). 3. The perfume emitted by musk, or any perfume somewhat similar. 4. (Bot.) (a) The musk plant (Mimulus moschatus). (b) A plant of the genus Erodium (E. moschatum); -- called also musky heron's-bill. (c) A plant of the genus Muscari; grape hyacinth. Musk beaver (Zoöl.), muskrat (1). -- Musk beetle (Zoöl.), a European longicorn beetle (Aromia moschata), having an agreeable odor resembling that of attar of roses. -- Musk cat. See Bondar. -- Musk cattle (Zoöl.), musk oxen. See Musk ox (below). -- Musk deer (Zoöl.), a small hornless deer (Moschus moschiferus), which inhabits the elevated parts of Central Asia. The upper canine teeth of the male are developed into sharp tusks, curved downward. The male has scent bags on the belly, from which the musk of commerce is derived. The deer is yellow or red-brown above, whitish below. The pygmy musk deer are chevrotains, as the kanchil and napu. -- Musk duck. (Zoöl.) (a) The Muscovy duck. (b) An Australian duck (Biziura lobata). -- Musk lorikeet (Zoöl.), the Pacific lorikeet (Glossopsitta australis) of Australia. -- Musk mallow (Bot.), a name of two malvaceous plants: (a) A species of mallow (Malva moschata), the foliage of which has a faint musky smell. (b) An Asiatic shrub. See Abelmosk. -- Musk orchis (Bot.), a European plant of the Orchis family (Herminium Minorchis); -- so called from its peculiar scent. -- Musk ox (Zoöl.), an Arctic hollow-horned ruminant (Ovibos moschatus), now existing only in America, but found fossil in Europe and Asia. It is covered with a thick coat of fine yellowish wool, and with long dark hair, which is abundant and shaggy on the neck and shoulders. The full-grown male weighs over four hundred pounds. -- Musk parakeet. (Zoöl.) Same as Musk lorikeet (above). -- Musk pear (Bot.), a fragrant kind of pear much resembling the Seckel pear. -- Musk plant (Bot.), the Mimulus moschatus, a plant found in Western North America, often cultivated, and having a strong musky odor. -- Musk root (Bot.), the name of several roots with a strong odor, as that of the nard (Nardostachys Jatamansi) and of a species of Angelica. -- Musk rose (Bot.), a species of rose (Rosa moschata), having peculiarly fragrant white blossoms. -- Musk seed (Bot.), the seed of a plant of the Mallow family (Hibiscus moschatus), used in perfumery and in flavoring. See Abelmosk. -- Musk sheep (Zoöl.), the musk ox. -- Musk shrew (Zoöl.), a shrew (Sorex murinus), found in India. It has a powerful odor of musk. Called also sondeli, and mondjourou. -- Musk thistle (Bot.), a species of thistle (Carduus nutans), having fine large flowers, and leaves smelling strongly of musk. -- Musk tortoise, Musk turtle (Zoöl.), a small American fresh-water tortoise (Armochelys, or Ozotheca, odorata), which has a distinct odor of musk; -- called also stinkpot.\n\nTo perfume with musk.
muskadel |See Muscadel.
muskat |See Muscat.
muskellunge |A large American pike (Esox nobilitor) found in the Great Lakes, and other Northern lakes, and in the St. Lawrence River. It is valued as a food fish. [Written also maskallonge, maskinonge, muskallonge, muskellonge, and muskelunjeh.]
musket |1. (Zoöl.)  The male of the sparrow hawk. 2. A species of firearm formerly carried by the infantry of an army. It was originally fired by means of a match, or matchlock, for which several mechanical appliances (including the flintlock, and finally the percussion lock) were successively substituted. This arm has been generally superseded by the rifle.
musketeer |A soldier armed with a musket.
musketo |See Mosquito.
musketoon |1. A short musket. 2. One who is armed with such a musket.
musketry |1. Muskets, collectively. 2. The fire of muskets. Motley.
muskiness |The quality or state of being musky; the scent of musk.
muskmelon |The fruit of a cucubritaceous plant (Cicumis Melo), having a peculiar aromatic flavor, and cultivated in many varieties, the principal sorts being the cantaloupe, of oval form and yellowish flesh, and the smaller nutmeg melon with greenish flesh. See Illust. of Melon.
muskogees |A powerful tribe of North American Indians that formerly occupied the region of Georgia, Florida, and Alabama. They constituted a large part of the Creek confederacy. [Written also Muscogees.]
muskrat |1. (Zoöl.)  A North American aquatic fur-bearing rodent (Fiber zibethicus). It resembles a rat in color and having a long scaly tail, but the tail is compressed, the bind feet are webbed, and the ears are concealed in the fur. It has scent glands which secrete a substance having a strong odor of musk. Called also musquash, musk beaver, and ondatra. 2. (Zoöl.)  The musk shrew. 3. (Zoöl.)  The desman.
muskwood |(a) The wood of a West Indian tree of the Mahogany family (Moschoxylum Swartzii). (b) The wood of an Australian tree (Eurybia argophylla).
musky |Having an odor of musk, or somewhat the like. Milton.
muslim |See Moslem.
muslin |A thin cotton, white, dyed, or printed. The name is also applied to coarser and heavier cotton goods; as, shirting and sheeting muslins. Muslin cambric. See Cambric. -- Muslin delaine, a light woolen fabric for women's dresses. See Delaine. [Written also mousseline de laine.]
muslinet |A sort of coarse or light cotton cloth.
musmon |See Mouflon.
musomania |See Musicomania.
musquash |See Muskrat. Musquash root (Bot.), an umbelliferous plant (Cicuta maculata), having a poisonous root. See Water hemlock.
musquaw |The American black bear. See Bear.
musquet |See Musket.
musquito |See Mosquito.
musrol |The nose band of a horse's bridle.
musrole |The nose band of a horse's bridle.
muss |A scramble, as when small objects are thrown down, to be taken by those who can seize them; a confused struggle. Shak.\n\nA state of confusion or disorder; -- prob. variant of mess, but influenced by muss, a scramble. [Colloq. U.S.]\n\nTo disarrange, as clothing; to rumple. [Colloq. U.S.]\n\nA term of endearment. [Obs.] See Mouse. B. Jonson.
mussel |1. (Zoöl.)  Any one of many species of marine bivalve shells of the genus Mytilus, and related genera, of the family Mytidæ. The common mussel (Mytilus edulis; see Illust. under Byssus), and the larger, or horse, mussel (Modiola modiolus), inhabiting the shores both of Europe and America, are edible. The former is extensively used as food in Europe. 2. (Zoöl.)  Any one of numerous species of Unio, and related fresh-water genera; -- called also river mussel. See Naiad, and Unio. Mussel digger (Zoöl.), the grayback whale. See Gray whale, under Gray.
mussitation |A speaking in a low tone; mumbling. [Obs.]
mussite |A variety of pyroxene, from the Mussa Alp in Piedmont; diopside.
mussulman |A Mohammedan; a Moslem.
mussulmanic |Of, pertaining to, or like, the Mussulmans, or their customs: Mohammedan.
mussulmanish |Mohammedan.
mussulmanism |Mohammedanism.
mussulmanly |In the manner of Moslems.
mussy |Disarranged; rumpled. [Colloq. U.S.]
must |1. To be obliged; to be necessitated; -- expressing either physical or moral necessity; as, a man must eat for nourishment; we must submit to the laws. 2. To be morally required; to be necessary or essential to a certain quality, character, end, or result; as, he must reconsider the matter; he must have been insane. Likewise must the deacons be grave. 1 Tim. iii. 8. Morover, he [a bishop] must have a good report of them which are without. 1 Tim. iii. 7. Note: The principal verb, if easy supplied by the mind, was formerly often omitted when must was used; as, I must away. \"I must to Coventry.\" Shak.\n\n1. The expressed juice of the grape, or other fruit, before fermentation. \"These men ben full of must.\" Wyclif (Acts ii. 13. ). No fermenting must fills ... the deep vats. Longfellow. 2. Etym: [Cf. Musty.]  Mustiness.\n\nTo make musty; to become musty.
mustac |A small tufted monkey.
mustache |1. That part of the beard which grows on the upper lip; hair left growing above the mouth. 2. (Zoöl.)  A West African monkey (Cercopithecus cephus). It has yellow whiskers, and a triangular blue mark on the nose. 3. (Zoöl.)  Any conspicuous stripe of color on the side of the head, beneath the eye of a bird.
mustacho |A mustache. Longfellow.
mustachoed |Having mustachios.
mustahfiz |See Army organization, above.
mustaiba |A close-grained, neavy wood of a brownish color, brought from Brazil, and used in turning, for making the handles of tools, and the like. [Written also mostahiba.] MaElrath.
mustang |The half-wild horse of the plains in Mexico, California, etc. It is small, hardy, and easily sustained. Mustard grape (Bot.), a species of grape (Vitis candicans), native in Arkansas and Texas. The berries are small, light-colored, with an acid skin and a sweet pulp.
mustard |1. (Bot.)  The name of several cruciferous plants of the genus Brassica (formerly Sinapis), as white mustard (B. alba), black mustard (B. Nigra), wild mustard or charlock (B. Sinapistrum). Note: There are also many herbs of the same family which are called mustard, and have more or less of the flavor of the true mustard; as, bowyer's mustard (Lepidium ruderale); hedge mustard (Sisymbrium officinale); Mithridate mustard (Thlaspi arvense); tower mustard (Arabis perfoliata); treacle mustard (Erysimum cheiranthoides). 2. A powder or a paste made from the seeds of black or white mustard, used as a condiment and a rubefacient. Taken internally it is stimulant and diuretic, and in large doses is emetic. Mustard oil (Chem.), a substance obtained from mustard, as a transparent, volatile and intensely pungent oil. The name is also extended to a number of analogous compounds produced either naturally or artificially.
mustee |See Mestee.
musteline |Like or pertaining to the family Mustelidæ, or the weasels and martens.
muster |1. Something shown for imitation; a pattern. [Obs.] 2. A show; a display. [Obs.] Piers Plowman. 3. An assembling or review of troops, as for parade, verification of numbers, inspection, exercise, or introduction into service. The hurried muster of the soldiers of liberty. Hawthorne. See how in warlike muster they appear, In rhombs, and wedges, and half-moons, and wings. Milton. 4. The sum total of an army when assembled for review and inspection; the whole number of effective men in an army. And the muster was thirty thousands of men. Wyclif. Ye publish the musters of your own bands, and proclaim them to amount of thousands. Hooker. 5. Any assemblage or display; a gathering. Of the temporal grandees of the realm, mentof their wives and daughters, the muster was great and splendid. Macaulay. Muster book, a book in which military forces are registred. -- Muster file, a muster roll. -- Muster master (Mil.), one who takes an account of troops, and of their equipment; a mustering officer; an inspector. [Eng.] -- Muster roll (Mil.), a list or register of all the men in a company, troop, or regiment, present or accounted for on the day of muster. -- To pass muster, to pass through a muster or inspection without censure. Such excuses will not pass muster with God. South.\n\n1. To collect and display; to assemble, as troops for parade, inspection, exercise, or the like. Spenser. 2. Hence: To summon together; to enroll in service; to get together. \"Mustering all its force.\" Cowper. All the gay feathers he could muster. L'Estrange. To muster troops into service (Mil.), to inspect and enter troops on the muster roll of the army. -- To muster troops out of service (Mil.), to register them for final payment and discharge. -- To muster up, to gather up; to succeed in obtaining; to obtain with some effort or difficulty. One of those who can muster up sufficient sprightliness to engage in a game of forfeits. Hazlitt.\n\nTo be gathered together for parade, inspection, exercise, or the like; to come together as parts of a force or body; as, his supporters mustered in force. \"The mustering squadron.\" Byron.
mustily |In a musty state.
mustiness |The quality or state of being musty.
musty |1. Having the rank, pungent, offencive odor and taste which substances of organic origin acquire during warm, moist weather; foul or sour and fetid; moldy; as, musty corn; musty books. Harvey. 2. Spoiled by age; rank; stale. The proverb is somewhat musty. Shak. 3. Dull; heavy; spiritless. \"That he may not grow musty and unfit for conversation.\" Addison.
mutability |The quality of being mutable, or subject to change or alteration, either in form, state, or essential character; susceptibility of change; changeableness; inconstancy; variation. Plato confessed that the heavens and the frame of the world are corporeal, and therefore subject to mutability. Stillingfleet.
