rehire |To hire again.
reintroduce |To introduce again. -- Re*in`tro*duc\"tion (-d, n.
reinvest |To invest again or anew.
reinvestigate |To investigate again. -- Re`in*ves`ti*ga\"tion (-g, n.
reinvestment |The act of investing anew; a second or repeated investment.
reinvigorate |To invigorate anew.
reinvolve |To involve anew.
reis |The word is used as a Portuguese designation of money of account, one hundred reis being about equal in value to eleven cents.\n\nA common title in the East for a person in authority, especially the captain of a ship. [Written also rais and ras.]
reis effendi |A title formerly given to one of the chief Turkish officers of state. He was chancellor of the empire, etc. REISSNER'S MEMBRANE Reiss\"ner's mem\"brane (rs\"nrz mm\"brn). Etym: [Named from E. Reissner, A German anatomist.] (Anat.)  The thin membrane which separates the canal of the cochlea from the vestibular scala in the internal ear.
reissuable |Capable of being reissued.
reissue |To issue a second time.\n\nA second or repeated issue.
reit |Sedge; seaweed. [Obs. or Prov. Eng.]
reiter |A German cavalry soldier of the fourteenth and fifteenth centuries.
reiterant |Reiterating. [R.] Mrs. Browning.
reiterate |To repeat again and again; to say or do repeatedly; sometimes, to repeat. That with reiterated crimes he might Heap on himself damnation. Milton. You never spoke what did become you less Than this; which to reiterate were sin. Shak. Syn. -- To repeat; recapitulate; rehearse.\n\nReiterated; repeated. [R.]
reiteratedly |Repeatedly.
reiteration |The act of reiterating; that which is reiterated.
reiterative |1. (Gram.)  A word expressing repeated or reiterated action. 2. A word formed from another, or used to form another, by repetition; as, dillydally.
reiver |See Reaver. Ruskin.
reject |1. To cast from one; to throw away; to discard. Therefore all this exercise of hunting . . . the Utopians have rejected to their butchers. Robynson (More's Utopia). Reject me not from among thy children. Wisdom ix. 4. 2. To refuse to receive or to acknowledge; to decline haughtily or harshly; to repudiate. That golden scepter which thou didst reject. Milton. Because thou hast rejected knowledge, I will also reject thee, that thou shalt be no priest to me. Hog. iv. 6. 3. To refuse to grant; as, to reject a prayer or request. Syn. -- To repel; renounce; discard; rebuff; refuse; decline.
rejectable |Capable of being, or that ought to be, rejected.
rejectamenta |Things thrown out or away; especially, things excreted by a living organism. J. Fleming.
rejectaneous |Not chosen orr received; rejected. [Obs.] \"Profane, rejectaneous, and reprobate people.\" Barrow.
rejecter |One who rejects.
rejection |Act of rejecting, or state of being rejected.
rejectitious |Implying or requiring rejection; rejectable. Cudworth.
rejective |Rejecting, or tending to reject.
rejectment |Act of rejecting; matter rejected, or thrown away. Eaton.
rejoice |To feel joy; to experience gladness in a high degree; to have pleasurable satisfaction; to be delighted. \"O, rejoice beyond a common joy.\" Shak. I will be glad and rejoice in thy mercy. Ps. xxxi. 7. Syn. To delight; joy; exult; triumph.\n\n1. To enjoy. [Obs.] Bp. Peacock. 2. To give joi to; to make joyful; to gladden. I me rejoysed of my liberty. Chaucer. While she, great saint, rejoices heaven. Prior. Were he [Cain] alive, it would rejoice his soul to see what mischief it had made. Arbuthnot. Syn. -- To please; cheer; exhilarate; delight.\n\nThe act of rejoicing. Sir T. Browne.
rejoicement |Rejoicing. [Obs.]
rejoicer |One who rejoices.
rejoicing |1. Joy; gladness; delight. We should particularly express our rejoicing by love and charity to our neighbors. R. Nelson. 2. The expression of joy or gladness. The voice of rejoicing and salvation is in the tabernacles of the righteous. Ps. cxviii. 15. 3. That which causes to rejoice; occasion of joy. Thy testimonies have I taken as an heritage forever, for they are the rejoicing of my heart. Ps. cxix. 111.
rejoicingly |With joi or exultation.
rejoin |1. To join again; to unite after separation. 2. To come, or go, again into the presence of; to join the company of again. Meet and rejoin me, in the pensive grot. Pope. 3. To state in reply; -- followed by an object clause.\n\n1. To answer to a reply. 2. (Law)  To answer, as the defendant to the plaintiff's replication.
rejoinder |1. An answer to a reply; or, in general, an answer or reply. 2. (Law)  The defendant's answer to the plaintiff's replication. Syn. -- Reply; ansswer; replication. See Reply.\n\nTo make a rejoinder. [Archaic]
rejoindure |Act of joining again. [Obs.] \"Beguiles our lips of all rejoindure\" (i.e., kisses). Shak.
rejoint |1. To reunite the joints of; to joint anew. Barrow. 2. Specifically (Arch.), to fill up the joints of, as stones in buildings when the mortar has been dislodged by age and the action of the weather. Gwilt.
rejolt |A reacting jolt or shock; a rebound or recoil. [R.] These inward rejolts and recoilings of the mind. South.\n\nTo jolt or shake again. Locke.
rejourn |To adjourn; to put off. [Obs.] Shak.
rejournment |Adjournment. [Obs.]
rejudge |To judge again; to re Rejudge his acts, and dignify disgrace. Pope.
rejuvenate |To render young again.
rejuvenated |1. Rendered young again; as, rejuvenated life. 2.  (Phys. Geog.) (a) Stimulated by uplift to renewed erosive activity; -- said of streams. (b) Developed with steep slopes inside a district previously worn down nearly to base level; -- said of topography, or features of topography, as valleys, hills, etc.
rejuvenation |Rejuvenescence.
rejuvenescence |1. A renewing of youth; the state of being or growing young again. 2. (Bot.)  A method of cell formation in which the entire protoplasm of an old cell escapes by rupture of the cell wall, and then develops a new cell wall. It is seen sometimes in the formation of zo
rejuvenescency |Rejuvenescence.
rejuvenescent |Becoming, or causing to become, rejuvenated; rejuvenating.
rejuvenize |To rejuvenate.
rekindle |To kindle again.
rekne |To reckon. [Obs.] Chaucer.
relade |To lade or load again.
relaid |imp. & p. p. of Relay.
relais |A narrow space between the foot of the rampart and the scarp of the ditch, serving to receive the earth that may crumble off or be washed down, and prevent its falling into the ditch. Wilhelm.
reland |To land again; to put on land, as that which had been shipped or embarked.\n\nTo go on shore after having embarked; to land again.
relapse |1. To slip or slide back, in a literal sense; to turn back. [Obs.] Dryden. 2. To slide or turn back into a former state or practice; to fall back from some condition attained; -- generally in a bad sense, as from a state of convalescence or amended condition; as, to relaps into a stupor, into vice, or into barbarism; -- sometimes in a good sense; as, to relapse into slumber after being disturbed. That task performed, [preachers] relapse into themselves. Cowper. 3. (Theol.)  To fall from Christian faith into paganism, heresy, or unbelief; to backslide. They enter into the justified state, and so continue all along, unless they relapse. Waterland.\n\n1. A sliding or falling back, especially into a former bad state, either of body or morals; backsliding; the state of having fallen back. Alas! from what high hope to what relapse Unlooked for are we fallen! Milton. 2. One who has relapsed, or fallen back, into error; a backlider; specifically, one who, after recanting error, returns to it again. [Obs.]
relapser |One who relapses. Bp. Hall.
relapsing |Marked by a relapse; falling back; tending to return to a former worse state. Relapsing fever (Med.), an acute, epidemic, contagious fever, which prevails also endemically in Ireland, Russia, and some other regions. It is marked by one or two remissions of the fever, by articular and muscular pains, and by the presence, during the paroxism of spiral bacterium (Spirochæte) in the blood. It is not usually fatal. Called also famine fever, and recurring fever.
relate |1. To bring back; to restore. [Obs.] Abate your zealous haste, till morrow next again Both light of heaven and strength of men relate. Spenser. 2. To refer; to ascribe, as to a source. [Obs. or R.] 3. To recount; to narrate; to tell over. This heavy act with heavy heart relate. Shak. 4. To ally by connection or kindred. To relate one's self, to vent thoughts in words. [R.] Syn. -- To tell; recite; narrate; recount; rehearse; report; detail; describe.\n\n1. To stand in some relation; to have bearing or concern; to pertain; to refer; -- with to. All negative or privative words relate positive ideas. Locke. 2. To make reference; to take account. [R.& Obs.] Reckoning by the years of their own consecration without relating to any imperial account. Fuller.
related |1. Allied by kindred; connected by blood or alliance, particularly by consanguinity; as, persons related in the first or second degree. 2. Standing in relation or connection; as, the electric and magnetic forcec are closely related. 3. Narrated; told. 4. (Mus.)  Same as Relative, 4.
relatedness |The state or condition of being related; relationship; affinity. [R.] Emerson.
relater |One who relates or narrates.
relation |1. The act of relating or telling; also, that which is related; recital; account; narration; narrative; as, the relation of historical events. relation doth well figure them. Bacon. 2. The state of being related or of referring; what is apprehended as appertaining to a being or quality, by considering it in its bearing upon something else; relative quality or condition; the being such and such with regard or respect to some other thing; connection; as, the relation of experience to knowledge; the relation of master to servant. Any sort of connection which is perceived or imagined between two or more things, or any comparison which is made by the mind, is a relation. I. Taylor. 3. Reference; respect; regard. I have been importuned to make some observations on this art in relation to its agreement with poetry. Dryden. 4. Connection by consanguinity or affinity; kinship; relationship; as, the relation of parents and children. Relations dear, and all the charities Of father, son, and brother, first were known. Milton. 5. A person connected by cosanguinity or affinity; a relative; a kinsman or kinswoman. For me . . . my relation does not care a rush. Ld. Lytton. 6. (Law) (a) The carrying back, and giving effect or operation to, an act or proceeding frrom some previous date or time, by a sort of fiction, as if it had happened or begun at that time. In such case the act is said to take effect by relation. (b) The act of a relator at whose instance a suit is begun. Wharton. Burrill. Syn. -- Recital; rehearsal; narration; account; narrative; tale; detail; description; kindred; kinship; consanguinity; affinity; kinsman; kinswoman.
relational |1. Having relation or kindred; related. We might be tempted to take these two nations for relational stems. Tooke. 2. Indicating or specifying some relation. Relational words, as prepositions, auxiliaries, etc. R. Morris.
relationist |A relative; a relation. [Obs.]
relationship |The state of being related by kindred, affinity, or other alliance. Mason.
relative |1. Having relation or reference; referring; respecting; standing in connection; pertaining; as, arguments not relative to the subject. I'll have grounds More relative than this. Shak. 2. Arising from relation; resulting from connection with, or reference to, something else; not absolute. Every thing sustains both an absolute and a relative capacity: an absolute, as it is such a thing, endued with such a nature; and a relative, as it is a part of the universe, and so stands in such a relations to the whole. South. 3. (Gram.)  Indicating or expressing relation; refering to an antecedent; as, a relative pronoun. 4. (Mus.)  Characterizing or pertaining to chords and keys, which, by reason of the identify of some of their tones, admit of a natural transition from one to the other. Moore (Encyc. of Music). Relative clause (Gram.), a clause introduced by a relative pronoun. -- Relative term, a term which implies relation to, as guardian to ward, matter to servant, husband to wife. Cf. Correlative.\n\nOne who, or that which, relates to, or is considered in its relation to, something else; a relative object or term; one of two object or term; one of two objects directly connected by any relation. Specifically: (a) A person connected by blood or affinity; strictly, one allied by blood; a relation; a kinsman or kinswoman. \"Confining our care . . . to ourselves and relatives.\" Bp. Fell. (b) (Gram.) A relative prnoun; a word which relates to, or represents, another word or phrase, called its antecedent; as, the relatives \" who\| \"which\"| \"that\"."
relatively |In a relative manner; in relation or respect to something else; not absolutely. Consider the absolute affections of any being as it is in itself, before you consider it relatively. I. Watts.
relativeness |The state of being relative, or having relation; relativity.
relativity |The state of being relative; as, the relativity of a subject. Coleridge.
relator |1. One who relates; a relater. \"The several relators of this history.\" Fuller. 2. (Law)  A private person at whose relation, or in whose behalf, the attorney-general allows an information in the nature of a quo warranto to be filed.
relatrix |A female relator.
relax |1. To make lax or loose; to make less close, firm, rigid, tense, or the like; to slacken; to loosen; to open; as, to relax a rope or cord; to relax the muscles or sinews. Horror . . . all his joints relaxed. Milton. Nor served it to relax their serried files. Milton. 2. To make less severe or rogorous; to abate the stringency of; to remit in respect to strenuousness, esrnestness, or effort; as, to relax discipline; to relax one's attention or endeavors. The stature of mortmain was at several times relaxed by the legilature. Swift. 3. Hence, to relieve from attention or effort; to ease; to recreate; to divert; as, amusement relaxes the mind. 4. To relieve from constipation; to loosen; to open; as, an aperient relaxes the bowels. Syn. -- To slacken; loosen; loose; remit; abate; mitigate; ease; unbend; divert.\n\n1. To become lax, weak, or loose; as, to let one's grasp relax. His knees relax with toil. Pope. 2. To abate in severity; to become less rigorous. In others she relaxed again, And governed with a looser rein. Prior. 3. To remit attention or effort; to become less diligent; to unbend; as, to relax in study.\n\nRelaxation. [Obs.] Feltham.\n\nRelaxed; lax; hence, remiss; careless.
relaxable |Capable of being relaxed.
relaxant |A medicine that relaxes; a laxative.
relaxation |1. The act or process of relaxing, or the state of being relaxed; as, relaxation of the muscles; relaxation of a law. 2. Remission from attention and effort; indulgence in recreation, diversion, or amusement. \"Hours of careless relaxation.\" Macaulay.
relaxative |Having the quality of relaxing; laxative. -- n.  A relaxant. B. Jonson.
relay |To lay again; to lay a second time; as, to relay a pavement.\n\n1. A supply of anything arranged beforehand for affording relief from time to time, or at successive stages; provision for successive relief. Specifically: (a) A supply of horses placced at stations to be in readiness to relieve others, so that a trveler may proceed without delay. (b) A supply of hunting dogs or horses kept in readiness at certain places to relive the tired dogs or horses, and to continnue the pursuit of the game if it comes that way. (c) A number of men who relieve others in carrying on some work. 2. (Elec.)  In various forms of telegrapfhic apparatus, a megnet which receives the circuit current, and is caused by it to bring into into action the power of a local battery for performing the work of making the record; also, a similar device by which the current in one circuit is made to open or close another circuit in which a current is passing. Relay battery (Elec.), the local battery which is brought into use by the action of the relay magnet, or relay.
relay cylinder |In a variable expansion central-valve engine, a small auxiliary engine for automatically adjusting the steam distribution to the load on the main engine. [Webster 1913 Suppl.]
relay governor |A speed regulator, as a water-wheel governor, embodying the relay principle. [Webster 1913 Suppl.]
relbun |The roots of the Chilian plant Calceolaria arachnoidea, -- used for dyeing crimson.
releasable |That may be released.
release |To lease again; to grant a new lease of; to let back.\n\n1. To let loose again; to set free from restraint, confinement, or servitude; to give liberty to, or to set at liberty; to let go. Now at that feast he released unto them one prisoner, whomsoever they desired. Mark xv. 6. 2. To relieve from something that confines, burdens, or oppresses, as from pain, trouble, obligation, penalty. 3. (Law)  To let go, as a legal claim; to discharge or relinquish a right to, as lands or tenements, by conveying to another who has some right or estate in possession, as when the person in remainder releases his right to the tenant in possession; to quit. 4. To loosen; to relax; to remove the obligation of; as, to release an ordinance. [Obs.] Hooker. A sacred vow that none should aye Spenser. Syn. -- To free; liberate; loose; discharge; disengage; extracate; let go; quit; acquit.\n\n1. The act of letting loose or freeing, or the state of being let loose or freed; liberation or discharge from restraint of any kind, as from confinement or bondage. \"Who boast'st release from hell.\" Milton. 2. Relief from care, pain, or any burden. 3. Discharge from obligation or responsibility, as from debt, penalty, or claim of any kind; acquittance. 4. (Law)  A giving up or relinquishment of some right or claim; a conveyance of a man's right in lands or tenements to another who has some estate in possession; a quitclaim. Blackstone. 5. (Steam Engine)  The act of opening the exhaust port to allow the steam to escape. Lease and release. (Law) See under Lease. -- Out of release, without cessation. [Obs.] Chaucer. Syn. -- Liberation; freedom; discharge. See Death.
releasee |One to whom a release is given.
releasement |The act of releasing, as from confinement or obligation. Milton.
releaser |One who releases, or sets free.
releasor |One by whom a release is given.
relegate |To remove, usually to an inferior position; to consign; to transfer; specifically, to send into exile; to banish. It [the Latin language] was relegated into the study of the scholar. Milman.
relegation |The act of relegating, or the state of being relegated; removal; banishment; exile.
relent |1. To become less rigid or hard; to yield; to dissolve; to melt; to deliquesce. [Obs.] He stirred the coals till relente gan The wax again the fire. Chaucer. [Salt of tartar] placed in a cellar will . . . begin to relent. Boyle. When opening buds salute the welcome day, And earth, relenting, feels the genial ray. Pope. 2. To become less severe or intense; to become less hard, harsh, cruel, or the like; to soften in temper; to become more mild and tender; to feel compassion. Can you . . . behold My sighs and tears, and will not once relent Shak.\n\n1. To slacken; to abate. [Obs.] And oftentimes he would relent his pace. Spenser. 2. To soften; to dissolve. [Obs.] 3. To mollify ; to cause to be less harsh or severe. [Obs.]\n\nStay; stop; delay. [Obs.] Nor rested till she came without relent Unto the land of Amazona. Spenser.
relentless |Unmoved by appeals for sympathy or forgiveness; insensible to the distresses of others; destitute of tenderness; unrelenting; unyielding; unpitying; as, a prey to relentless despotism. For this the avenging power employs his darts,.. Thus will persist, relentless in his ire. Dryden. -- Re*lent\"less*ly, adv. -- Re*lent\"less*ness, n.
relentment |The act or process of retenting; the state of having relented. Sir T. Browne.
relesse |To release. [Obs.] Chaucer.
relessee |See Releasee.
relessor |See Releasor.
relevance |1. The quality or state of being relevant; pertinency; applicability. Its answer little meaning, little relevancy bore. Poe. 2. (Scots Law)  Sufficiency to infer the conclusion.
relevancy |1. The quality or state of being relevant; pertinency; applicability. Its answer little meaning, little relevancy bore. Poe. 2. (Scots Law)  Sufficiency to infer the conclusion.
relevant |1. Relieving; lending aid or support. [R.] Pownall. 2. Bearing upon, or properly applying to, the case in hand; pertinent; applicable. Close and relevant arguments have very little hold on the passions. Sydney Smith. 3. (SScots Law)  Sufficient to support the cause.
relevantly |In a relevant manner.
relevation |A raising or lifting up. [Obs.]
reliability |The state or quality of being reliable; reliableness.
reliable |Suitable or fit to be relied on; worthy of dependance or reliance; trustworthy. \"A reliable witness to the truth of the miracles.\" A. Norton. The best means, and most reliable pledge, of a higher object. Coleridge. According to General Livingston's humorous account, his own village of Elizabethtown was not much more reliable, being peopled in those agitated times by \"unknown, unrecommended strangers, guilty-looking Tories, and very knavish Whigs.\" W. Irving. Note: Some authors take exception to this word, maintaining that it is unnecessary, and irregular in formation. It is, however, sanctioned by the practice of many careful writers as a most convenient substitute for the phrase to be relied upon, and a useful synonym for trustworthy, which is by preference applied to persons, as reliable is to things, such as an account, statement, or the like. The objection that adjectives derived from neuter verbs do not admit of a passive sense is met by the citation of laughable, worthy of being laughed at, from the neuter verb to laugh; available, fit or able to be availed of, from the neuter verb to avail; dispensable, capable of being dispensed with, from the neuter verb to dispense. Other examples might be added. -- Re*li\"a*ble*ness, n. -- Re*li\"a*bly, adv.
reliance |1. The act of relying, or the condition or quality of being reliant; dependence; confidence; trust; repose of mind upon what is deemed sufficient support or authority. In reliance on promises which proved to be of very little value. Macaulay. 2. Anything on which to rely; dependence; ground of trust; as, the boat was a poor reliance. Richardson.
reliant |Having, or characterized by, reliance; confident; trusting.
relic |1. That which remains; that which is left after loss or decay; a remaining portion; a remnant. Chaucer. Wyclif. The relics of lost innocence. Kebe. The fragments, scraps, the bits and greasy relics. Shak. 2. The body from which the soul has departed; a corpse; especially, the body, or some part of the body, of a deceased saint or martyr; -- usually in the plural when referring to the whole body. There are very few treasuries of relics in Italy that have not a tooth or a bone of this saint. Addison. Thy relics, Rowe, to this fair urn we trust, And sacred place by Dryden's awful dust. Pope. 3. Hence, a memorial; anything preserved in remembrance; as, relics of youthful days or friendships. The pearis were split; Some lost, some stolen, some as relics kept. Tennyson.
relicly |In the manner of relics. [Obs.]
relict |A woman whose husband is dead; a widow. Eli dying without issue, Jacob was obbliged by law to marry his relict, and so to raise up seed to his brother Eli. South.
relicted |Left uncovered, as land by recession of water. Bouvier.
reliction |A leaving dry; a recession of the sea or other water, leaving dry land; land left uncovered by such recession. Burrill.
relief |1. The act of relieving, or the state of being relieved; the removal, or partial removal, of any evil, or of anything oppressive or burdensome, by which some ease is obtained; succor; alleviation; comfort; ease; redress. He seec the dire contagion spread so fast, That, where it seizes, all relief is vain. Dryden. 2. Release from a post, or from the performance of duty, by the intervention of others, by discharge, or by relay; as, a relief of a sentry. For this relief much thanks; ;tis bitter cold. Shak. 3. That which removes or lessenc evil, pain, discomfort, uneasiness, etc.; that which gives succor, aid, or comfort; also, the person who relieves from performance of duty by taking the place of another; a relay. 4. (Feudal Law)  A fine or composition which the heir of a deceased tenant paid to the lord for the privilege of taking up the estate, which, on strict feudal principles, had lapsed or fallen to the lord on the death of the tenant. 5. (Sculp. & Arch.)  The projection of a figure above the ground or plane on wwhich it is formed. Note: Relief is of three kinds, namely, high relief (altorilievo), low relief, (basso-rilievo), and demirelief (mezzo-rilievo). See these terms in the Vocabulary. 6. (Paint.)  The appearance of projection given by shading, shadow, etc., to any figure. 7. (Fort.)  The height to which works are raised above the bottom of the ditch. Wilhelm. 8. (Physical Geog.)  The elevations and surface undulations of a country. Guyot. Relief valve, a valve arranged for relieving pressure of steam, gas, or liquid; an escape valve. Syn. -- Alleviation; mitigation; aid; help; succor; assistance; remedy; redress; indemnification.
reliefful |Giving relief. [Obs.]
reliefless |Destitute of relief; also, remediless.
relier |One who relies.
relievable |Capable of being relieved; fitted to recieve relief. Sir M. Hale.
relieve |1. To lift up; to raise again, as one who has fallen; to cause to rise. [Obs.] Piers Plowman. 2. To cause to seem to rise; to put in relief; to give prominence or conspicuousness to; to Her tall figure relieved against the blue sky; seemed almost of supernatural height. Sir W. Scott. 3. To raise up something in; to introduce a contrast or variety into; to remove the monotony or sameness of. The poet must . . . sometimes relieve the subject with a moral reflection. Addison. 4. To raise or remove, as anything which depresses, weighs down, or cruches; to render less burdensome or afflicting; to allevate; to- abate; to mitigate; to lessen; as, to relieve pain; to relieve the wants of the poor. 5. To free, wholly or partly, from any burden, trial, evil, distress, or the like; to give ease, comfort, or consolation to; to give aid, help, or succor to; to support, strengthen, or deliver; as, to relieve a besieged town. Now lend assistance and relieve the poor. Dryden. 6. To release from a post, station, or duty; to put another in place of, or to take the place of, in the bearing of any burden, or discharge of any duty. Who hath relieved you Shak. 7. To ease of any imposition, burden, wrong, or oppression, by judicial or legislative interposition, as by the removal of a grievance, by indemnification for losses, or the like; to right. Syn. -- To alleviate; assuage; succor; assist; aid; help; support; substain; ease; mitigate; lighten; diminish; remove; free; remedy; redress; indemnify.
relievement |The act of relieving, or the state of being relieved; relief; release. [Archaic.]
reliever |One who, or that which, relieves.
relieving |Serving or tending to relieve. Relieving arch (Arch.), a discharging arch. See under Discharge, v. t. -- Relieving tackle. (Naut.) (a) A temporary tackle attached to the tiller of a vessel during gales or an action, in case of accident to the tiller ropes. (b) A strong tackle from a wharf to a careened vessel, to prevent her from going over entirely, and to assist in righting her. Totten. Craig.
relievo |See Relief, n., 5.
relight |To light or kindle anew.
religieuse |A person bound by monastic vows; a nun; a monk.
religieux |A person bound by monastic vows; a nun; a monk.
