cerotype |A printing process of engraving on a surface of wax spread on a steel plate, for electrotyping.
ceruminous |Pertaining to, or secreting, cerumen; as, the ceruminous glands.
ceruse |1. White lead, used as a pigment. See White lead, under White. 2. A cosmetic containing white lead. To distinguish ceruse from natural bloom. Macaulay. 3. (Min.)  The native carbonate of lead.
cerused |Washed with a preparation of white lead; as, cerused face. Beau. & Fl.
cerusite |Native lead carbonate; a mineral occurring in colorless, white, or yellowish transparent crystals, with an adamantine, also massive and compact.
cerussite |Native lead carbonate; a mineral occurring in colorless, white, or yellowish transparent crystals, with an adamantine, also massive and compact.
cervantite |See under Antimony.
cervelat |An ancient wind instrument, resembling the bassoon in tone.
cervical |Of or pertaining to the neck; as, the cervical vertebræ.
cervicide |The act of killing deer; deer-slaying. [R.]
cervine |Of or pertaining to the deer, or to the family Cervidæ.
cervix |The neck; also, the necklike portion of any part, as of the womb. See Illust. of Bird.
cervus |A genus of ruminants, including the red deer and other allied species. Note: Formerly all species of deer were included in the genus Cervus.
ceryl |A radical, C27H55 supposed to exist in several compounds obtained from Chinese wax, beeswax, etc.
cesarean |Same as Cæsarean, Cæsarian.
cesarian |Same as Cæsarean, Cæsarian.
cesarism |See Cæsarism.
cespitine |An oil obtained by distillation of peat, and containing various members of the pyridine series.
cespititious |Same as Cespitious. [R.] Gough.
cespitose |Having the form a piece of turf, i. e., many stems from one rootstock or from many entangled rootstocks or roots. [Written also cæspitose.]
cespitous |Pertaining to, consisting, of resembling, turf; turfy. A cespitous or turfy plant has many stems from the same root, usually forming a close, thick carpet of matting. Martyn.
cess |1. A rate or tax. [Obs. or Prof. Eng. & Scot.] Spenser. 2. Bound; measure. [Obs.] The poor jade is wrung in the withers out of all cess. Shak.\n\nTo rate; to tax; to assess. Spenser.\n\nTo cease; to neglect. [Obs.] Spenser.
cessant |Inactive; dormant [Obs.] W. Montagu.
cessation |A ceasing of discontinuance, as of action, whether termporary or final; a stop; as, a cessation of the war. The temporary cessation of the papal iniquities. Motley. The day was yearly observed for a festival by cessation from labor. Sir J. Hayward. Cessation of arms (Mil.), an armistice, or truce, agreed to by the commanders of armies, to give time for a capitulation, or for other purposes. Syn. -- Stop; rest; stay; pause; discontinuance; intermission; interval; respite; interruption; recess; remission.
cessavit |A writ given by statute to recover lands when the tenant has for two years failed to perform the conditions of his tenure.
cesser |a neglect of a tenant to perform services, or make payment, for two years.
cessible |Giving way; yielding. [Obs.] -- Ces`si*bil\"i*ty, n. [Obs.] Sir K. Digby.
cession |1. A yielding to physical force. [Obs.] Bacon. 2. Concession; compliance. [Obs.] 3. A yielding, or surrender, as of property or rights, to another person; the act of ceding. A cession of the island of New Orleans. Bancroft. 4. (Eccl. Law)  The giving up or vacating a benefice by accepting another without a proper dispensation. 5. (Civil Law)  The voluntary surrender of a person's effects to his creditors to avoid imprisonment.
cessionary |Having surrendered the effects; as, a cessionary bankrupt. Martin.
cessment |An assessment or tax. [Obs.] Johnson.
cessor |One who neglects, for two years, to perform the service by which he holds lands, so that he incurs the danger of the writ of cessavit. See Cessavit. Cowell.\n\nAn assessor. [Obs.]
cesspipe |A pipe for carrying off waste water, etc., from a sink or cesspool. Knight.
cesspool |A cistern in the course, or the termination, of a drain, to collect sedimentary or superfluous matter; a privy vault; any receptace of filth. [Written also sesspool.]
cest |A woman's girdle; a cestus. [R.] Collins.
cestode |Of or pertaining to the Cestoidea. -- n.  One of the Cestoidea.
cestoid |Of or pertaining to the Cestoidea. -- n.  One of the Cestoidea.
cestoidea |A class of parasitic worms (Platelminthes) of which the tapeworms are the most common examples. The body is flattened, and usually but not always long, and composed of numerous joints or segments, each of which may contain a complete set of male and female reproductive organs. They have neither mouth nor intestine. See Tapeworm. [Written also Cestoda.]
cestoldean |One of the Cestoidea.
cestraciont |A shark of the genus Cestracion, and of related genera. The posterior teeth form a pavement of bony plates for crushing shellfish. Most of the species are extinct. The Port Jackson shark and a similar one found in California are living examples.\n\nPertaining to, or characteristic of, the genus Cestracion.
cestui |He; the one. Cestuy que trust ( Etym: [norm. F.], a person who has the equitable and beneficial interest in property, the legal interest in which is vested in a trustee. Wharton. -- Cestuy que use ( Etym: [Norm. F.], a person for whose use land, etc., is granted to another.
cestus |1. (Antiq.)  A girdle; particularly that of Aphrodite (or Venus) which gave the wearer the power of exciting love. 2. (Zoöl.)  A genus of Ctenophora. The typical species (Cestus Veneris) is remarkable for its brilliant iridescent colors, and its long, girdlelike form.\n\nA covering for the hands of boxers, made of leather bands, and often loaded with lead or iron.
cestuy |He; the one. Cestuy que trust ( Etym: [norm. F.], a person who has the equitable and beneficial interest in property, the legal interest in which is vested in a trustee. Wharton. -- Cestuy que use ( Etym: [Norm. F.], a person for whose use land, etc., is granted to another.
cesura |See Cæsura.
cesural |See Cæsural.
cetacea |An order of marine mammals, including the whales. Like ordinary mammals they breathe by means of lungs, and bring forth living young which they suckle for some time. The anterior limbs are changed to paddles; the tail flukes are horizontal. There are two living suborders: (a) The Mysticete or whalebone whales, having no true teeth after birth, but with a series of plates of whalebone [see Baleen.] hanging down from the upper jaw on each side, thus making a strainer, through which they receive the small animals upon which they feed. (b) The Denticete, including the dolphins and sperm whale, which have teeth. Another suborder (Zeuglodontia) is extinct. The Sirenia were formerly included in the Cetacea, but are now made a separate order.
cetacean |One of the Cetacea.
cetaceous |Of or pertaining to the Cetacea.
cete |One of the Cetacea, or collectively, the Cetacea.
cetene |An oily hydrocarbon, C16H32, of the ethylene series, obtained from spermaceti.
ceterach |A species of fern with fronds (Asplenium Ceterach).
cetewale |Same as Zedoary. [Obs.] Chaucer.
cetic |Of or pertaining to a whale.
cetin |A white, waxy substance, forming the essential part of spermaceti.
cetological |Of or pertaining to cetology.
cetologist |One versed in cetology.
cetology |The description or natural history of cetaceous animals.
cetraric |Pertaining to, or derived from, the lichen, Iceland moss (Cetaria Islandica). Cetraric acid. See Cetrarin.
cetrarin |A white substance extracted from the lichen, Iceland moss (Cetraria Islandica). It consists of several ingredients, among which is cetraric acid, a white, crystalline, bitter substance.
cetyl |A radical, C16H33, not yet isolated, but supposed to exist in a series of compounds homologous with the ethyl compounds, and derived from spermaceti.
cetylic |Of, pertaining to, or derived from, spermaceti. Cetylic alcohol (Chem.), a white, waxy, crystalline solid, obtained from spermaceti, and regarded as homologous with ordinary, or ethyl, alcohol; ethal; - - called also cetyl alcohol.
ceylanite |A dingy blue, or grayish black, variety of spinel. It is also called pleonaste. [Written also ceylonite.]
ceylonese |Of or pertaining to Ceylon. -- n. sing. & pl.  A native or natives of Ceylon. C.G.S. C.G.S.  An abbreviation for Centimeter, Gram, Second. -- applied to a system of units much empoyed in physical science, based upon the centimeter as the unit of length, the gram as the unit of weight or mass, and the second as the unit of time. C. G. S. C. G. S.  An abbreviation for Centimeter, Gram, Second. -- applied to a system of units much employed in physical science, based upon the centimeter as the unit of length, the gram as the unit of weight or mass, and the second as the unit of time. C. G. T. C. G. T.   An abbreviation for Confédération Générale du Travail (the French syndicalist labor union).
cha |Tea; -- the Chinese (Mandarin) name, used generally in early works of travel, and now for a kind of rolled tea used in Central Asia. A pot with hot water . . . made with the powder of a certain herb called chaa, which is much esteemed. Tr. J. Van Linschoten's Voyages (1598).
chab |The red-bellied wood pecker (Melanerpes Carolinus).
chabasite |A mineral occuring in glassy rhombohedral crystals, varying, in color from white to yellow or red. It is essentially a hydrous silicate of alumina and lime. Called also chabasie.
chablis |A white wine made near Chablis, a town in France.
chabouk |A long whip, such as is used in the East in the infliction of punishment. Balfour.
chabuk |A long whip, such as is used in the East in the infliction of punishment. Balfour.
chace |See 3d Chase, n., 3.\n\nTo pursue. See Chase v. t.
chachalaca |The texan guan (Ortalis vetula). [written also chiacalaca.]
chacma |A large species of African baboon (Cynocephalus porcarius); -- called also ursine baboon. Note: [See Illust. of Baboon.]
chaconne |An old Spanish dance in moderate three-four measure, like the Passacaglia, which is slower. Both are used by classical composers as themes for variations.
chad |See Shad. [Obs.]
chaetetes |A genus of fossil corals, common in the lower Silurian limestones.
chaetiferous |Bearing setæ.
chaetodont |A marine fish of the family Chætodontidæ. The chætodonts have broad, compressed bodies, and usually bright colors.\n\nOf or pertaining to the Chætodonts or the family Chætodontidæ.
chaetognath |Of or pertaining to the Chætognatha.
chaetognatha |An order of free-swimming marine worms, of which the genus Sagitta is the type. They have groups of curved spines on each side of the head.
chaetopod |Pertaining to the Chætopoda. -- n.  One of the Chætopoda.
chaetopoda |A very extensive order of Annelida, characterized by the presence of lateral setæ, or spines, on most or all of the segments. They are divided into two principal groups: Oligochæta, including the earthworms and allied forms, and Polychæta, including most of the marine species.
chaetotaxy |The arrangement of bristles on an insect.
chafe |1. To ecxite heat in by friction; to rub in order to stimulate and make warm. To rub her temples, and to chafe her skin. Spenser. 2. To excite passion or anger in; to fret; to irritate. Her intercession chafed him. Shak. 3. To fret and wear by rubbing; as, to chafe a cable. Two slips of parchment which she sewed round it to prevent its being chafed. Sir W. Scott. Syn. -- To rub; fret; gall; vex; excite; inflame.\n\nTo rub; to come together so as to wear by rubbing; to wear by friction. Made its great boughs chafe together. Longfellow. The troubled Tiber chafing with her shores. Shak. 2. To be worn by rubbing; as, a cable chafes. 3. To have a feeling of vexation; to be vexed; to fret; to be irritated. Spenser. He will chafe at the doctor's marrying my daughter. Shak.\n\n1. Heat excited by friction. 2. Injury or wear caused by friction. 3. Vexation; irritation of mind; rage. The cardinal in a chafe sent for him to Whitehall. Camden.
chafer |1. One who chafes. 2. A vessel for heating water; -- hence, a dish or pan. A chafer of water to cool the ends of the irons. Baker.\n\nA kind of beetle; the cockchafer. The name is also applied to other species; as, the rose chafer.
chafery |An open furnace or forge, in which blooms are heated before being wrought into bars.
chafewax |Formerly a chancery officer who fitted wax for sealing writs and other documents.
chafeweed |The cudweed (Gnaphalium), used to prevent or cure chafing.
chaff |1. The glumes or husks of grains and grasses separated from the seed by threshing and winnowing, etc. So take the corn and leave the chaff behind. Dryden. Old birds are not caught with caff. Old Proverb. 2. Anything of a comparatively light and worthless character; the refuse part of anything. The chaff and ruin of the times. Shak. 3. Straw or hay cut up fine for the food of cattle. By adding chaff to his corn, the horse must take more time to eat it. In this way chaff is very useful. Ywatt. 4. Light jesting talk; banter; raillery. 5. (Bot.)  The scales or bracts on the receptacle, which subtend each flower in the heads of many Compositæ, as the sunflower. Gray. Chaff cutter, a machine for cutting, up straw, etc., into \"chaff\" for the use of cattle.\n\nTo use light, idle lagnguage by way of fun or ridicule; to banter.\n\nTo make fun of; to turn into ridicule by addressing in ironical or bantering language; to quiz. Morgan saw that his master was chaffing him. Thackeray. A dozen honest fellows . . . chaffed each other about their sweethearts. C. Kingsley.
chaffer |One who chaffs.\n\nBargaining; merchandise. [Obs.] Holished.\n\n1. To treat or dispute about a purchase; to bargain; to haggle or higgle; to negotiate. To chaffer for preferments with his gold. Dryden. 2. To talk much and idly; to chatter. Trench.\n\n1. To buy or sell; to trade in. He chaffered chairs in which churchmen were set. Spenser. 2. To exchange; to bandy, as words. Spenser.
chafferer |One who chaffers; a bargainer.
chaffern |A vessel for heating water. [Obs.] Johnson.
chaffery |Traffic; bargaining. [Obs.] Spenser.
chaffinch |A bird of Europe (Fringilla coelebs), having a variety of very sweet songs, and highly valued as a cage bird; -- called also copper finch.
chaffing |The use of light, frivolous language by way of fun or ridicule; raillery; banter.
chaffless |Without chaff.
chaffwax |Formerly a chancery officer who fitted wax for sealing writs and other documents.
chaffy |1. Abounding in, or resembling, chaff. Chaffy grain beneath the thresher's flail. Coleridge. 2. Light or worthless as chaff. Slight and chaffy opinion. Glanvill. 3. (Bot.) (a) Resembling chaff; composed of light dry scales. (b) Bearing or covered with dry scales, as the under surface of certain ferns, or the disk of some composite flowers.
chafing |The act of rubbing, or wearing by friction; making by rubbing. Chafing dish, a dish or vessel for cooking on the table, or for keeping food warm, either by coals, by a lamp, or by hot water; a portable grate for coals. -- Chafing gear (Naut.), any material used to protect sails, rigging, or the like, at points where they are exposed to friction.
chagreen |See Shagreen.
chagres fever |A form of malarial fever occurring along the Chagres River, Panama.
chagrin |Vexation; mortification. I must own that I felt rather vexation and chagrin than hope and satisfaction. Richard Porson. Hear me, and touch Belinda with chagrin. Pope. Syn. -- Vexation; mortification; peevishness; fretfulness; disgust; disquiet. Chagrin, Vexation, Mortification. These words agree in the general sense of pain produced by untoward circumstances. Vexation is a feeling of disquietude or irritating uneasiness from numerous causes, such as losses, disappointments, etc. Mortification is a stronger word, and denotes that keen sense of pain which results fron wounded pride or humiliating occurrences. Chagrin is literally the cutting pain produced by the friction of Shagreen leather; in its figurative sense, it varies in meaning, denoting in its lower degrees simply a state of vexation, and its higher degrees the keenest sense of mortification. \"Vexation arises chiefly fron our wishes and views being crossed: mortification, from our self-importance being hurt; chagrin, from a mixture of the two.\" Crabb.\n\nTo excite ill-humor in; to vex; to mortify; as, he was not a little chagrined.\n\nTo be vexed or annoyed. Fielding.\n\nChagrined. Dryden.
chain |1. A series of links or rings, usually of metal, connected, or fitted into one another, used for various purposes, as of support, of restraint, of ornament, of the exertion and transmission of mechanical power, etc. [They] put a chain of gold about his neck. Dan. v. 29. 2. That which confines, fetters, or secures, as a chain; a bond; as, the chains of habit. Driven down To chains of darkness and the undying worm. Milton. 3. A series of things linked together; or a series of things connected and following each other in succession; as, a chain of mountains; a chain of events or ideas. 4. (Surv.)  An instrument which consists of links and is used in measuring land. Note: One commonly in use is Gunter's chain, which consists of one hundred links, each link being seven inches and ninety-two one hundredths in length; making up the total length of rods, or sixty- six, feet; hence, a measure of that length; hence, also, a unit for land measure equal to four rods square, or one tenth of an acre. 5. pl. (Naut.)  Iron links bolted to the side of a vessel to bold the dead-eyes connected with the shrouds; also, the channels. 6. (Weaving)  The warp threads of a web. Knight. Chain belt (Mach.), a belt made of a chain; -- used for transmitting power. -- Chain boat, a boat fitted up for recovering lost cables, anchors, etc. -- Chain bolt (a) (Naut.) The bolt at the lower end of the chain plate, which fastens it to the vessel's side. (b) A bolt with a chain attached for drawing it out of position. -- Chain bond. See Chain timber. -- Chain bridge, a bridge supported by chain cables; a suspension bridge. -- Chain cable, a cable made of iron links. -- Chain coral (Zoöl.), a fossil coral of the genus Halysites, common in the middle and upper Silurian rocks. The tubular corallites are united side by side in groups, looking in an end view like links of a chain. When perfect, the calicles show twelve septa. -- Chain coupling. (a) A shackle for uniting lengths of chain, or connecting a chain with an object. (b) (Railroad) Supplementary coupling together of cars with a chain. -- Chain gang, a gang of convicts chained together. -- Chain hook (Naut.), a hook, used for dragging cables about the deck. -- Chain mail, flexible, defensive armor of hammered metal links wrought into the form of a garment. -- Chain molding (Arch.), a form of molding in imitation of a chain, used in the Normal style. -- Chain pier, a pier suspended by chain. -- Chain pipe (Naut.), an opening in the deck, lined with iron, through which the cable is passed into the lockers or tiers. -- Chain plate (Shipbuilding), one of the iron plates or bands, on a vessel's side, to which the standing rigging is fastened. -- Chain pulley, a pulley with depressions in the periphery of its wheel, or projections from it, made to fit the links of a chain. -- Chain pumps. See in the Vocabulary. -- Chain rule (Arith.), a theorem for solving numerical problems by composition of ratios, or compound proportion, by which, when several ratios of equality are given, the consequent of each being the same as the antecedent of the next, the relation between the first antecedent and the last consequent is discovered. -- Chain shot (Mil.), two cannon balls united by a shot chain, formerly used in naval warfare on account of their destructive effect on a ship's rigging. -- Chain stitch. See in the Vocabulary. -- Chain timber. (Arch.) See Bond timber, under Bond. -- Chain wales. (Naut.) Same as Channels. -- Chain wheel. See in the Vocabulary. -- Closed chain, Open chain (Chem.), terms applied to the chemical structure of compounds whose rational formulæ are written respectively in the form of a closed ring (see Benzene nucleus, under Benzene), or in an open extended form. -- Endless chain, a chain whose ends have been united by a link.\n\n1. To fasten, bind, or connect with a chain; to fasten or bind securely, as with a chain; as, to chain a bulldog. Chained behind the hostile car. Prior. 2. To keep in slavery; to enslave. And which more blest who chained his country, say Or he whose virtue sighed to lose a day Pope. 3. To unite closely and strongly. And in this vow do chain my soul to thine. Shak. 4. (Surveying)  To measure with the chain. 5. To protect by drawing a chain across, as a harbor.
chain pump |A pump consisting of an endless chain, running over a drum or wheel by which it is moved, and dipping below the water to be raised. The chain has at intervals disks or lifts which fit the tube through which the ascending part passes and carry the water to the point of discharge.
chain stitch |1. An ornamental stitch like the links of a chain; -- used in crocheting, sewing, and embroidery. 2. (Machine Sewing)  A stitch in which the looping of the thread or threads forms a chain on the under side of the work; the loop stitch, as distinguished from the lock stitch. See Stitch.
chain tie |A tie consisting of a series of connected iron bars or rods.
chain wheel |1. A chain pulley, or sprocket wheel. 2. An inversion of the chain pump, by which it becomes a motor driven by water.
chainless |Having no chain; not restrained or fettered. \"The chainless mind.\" Byron.
chainlet |A small chain. Sir W. Scott.
chainwork |Work looped or linked after the manner of a chain; chain stitch work.
chair |1. A movable single seat with a back. 2. An official seat, as of a chief magistrate or a judge, but esp. that of a professor; hence, the office itself. The chair of a philosophical school. Whewell. A chair of philology. M. Arnold. 3. The presiding officer of an assembly; a chairman; as, to address the chair. 4. A vehicle for one person; either a sedan borne upon poles, or two- wheeled carriage, drawn by one horse; a gig. Shak. Think what an equipage thou hast in air, And view with scorn two pages and a chair. Pope. 5. An iron blok used on railways to support the rails and secure them to the sleepers. Chair days, days of repose and age. -- To put into the chair, to elect as president, or as chairman of a meeting. Macaulay. -- To take the chair, to assume the position of president, or of chairman of a meeting.\n\n1. To place in a chair. 2. To carry publicly in a chair in triumph. [Eng.]
chairman |1. The presiding officer of a committee, or of a public or private meeting, or of any organized body. 2. One whose business it is to cary a chair or sedan. Breaks watchmen's heads and chairmen's glasses. Prior.
chairmanship |The office of a chairman of a meeting or organized body.
chaise |1. A two-wheeled carriage for two persons, with a calash top, and the body hung on leather straps, or thoroughbraces. It is usually drawn by one horse. 2. Loosely,  a carriage in general. Cowper.
chaja |The crested screamer of Brazil (Palamedea, or Chauna, chavaria), so called in imitation of its notes; -- called also chauna, and faithful kamichi. It is often domesticated and is useful in guarding other poultry. See Kamichi.
chak |To toss up the head frequently, as a horse to avoid the restraint of the bridle.
chalaza |1. (Bot.)  The place on an ovule, or seed, where its outer coats cohere with each other and the nucleus. 2. (Biol.)  A spiral band of thickened albuminous substance which exists in the white of the bird's egg, and serves to maintain the yolk in its position; the treadle.
chalazal |Of or pertaining to the chalaza.
chalaze |Same as Chalaza.
chalaziferous |Having or bearing chalazas.
chalazion |A small circumscribed tumor of the eyelid caused by retention of secretion, and by inflammation of the Melbomian glands.
chalazogamy |A process of fecundation in which the pollen tube penetrates to the embryosac through the tissue of the chalaza, instead of entering through the micropyle. It was originally discovered by Treub in Casuarina, and has since been found to occur regularly in the families Betulaceæ and Juglandaceæ. Partial chalazogamy is found in Ulmus, the tube here penetrating the nucleus midway between the chalaza and micropyle. --Chal`a*zo*gam\"ic (#), a.
chalcanthite |Native blue vitriol. See Blue vitriol, under Blue.
chalcedonic |Of or pertaining to chalcedony.
chalcedony |A cryptocrystalline, translucent variety of quartz, having usually a whitish color, and a luster nearly like wax. [Written also calcedony.] Note: When chalcedony is variegated with with spots or figures, or arranged in differently colored layers, it is called agate; and if by reason of the thickness, color, and arrangement of the layers it is suitable for being carved into cameos, it is called onyx. Chrysoprase is green chalcedony; carnelian, a flesh red, and sard, a brownish red variety.
chalchihuitl |The Mexican name for turquoise. See Turquoise.
chalcid fly |One of a numerous family of hymenopterous insects (Chalcididæ. Many are gallflies, others are parasitic on insects.
chalcidian |One of a tropical family of snakelike lizards (Chalcidæ), having four small or rudimentary legs.
chalcocite |Native copper sulphide, called also copper glance, and vitreous copper; a mineral of a black color and metallic luster. [Formerly written chalcosine.]
chalcographer |An engraver on copper or brass; hence, an engraver of copper plates for printing upon paper.
chalcographist |An engraver on copper or brass; hence, an engraver of copper plates for printing upon paper.
chalcography |The act or art of engraving on copper or brass, especially of engraving for printing.
chalcopyrite |Copper pyrites, or yellow copper ore; a common ore of opper, containing copper, iron, and sulphur. It occurs massive and in tetragonal crystals of a bright brass yellow color.
chaldaic |Of or pertaining to Chaldes. -- n.  The language or dialect of the Chaldeans; Chaldee.
chaldaism |An idiom or peculiarity in the Chaldee dialect.
chaldean |Of or pertaining to Chaldea. -- n. (a) A native or inhabitant of Chaldea. (b) A learned man, esp. an astrologer; -- so called among the Eastern nations, because astrology and the kindred arts were much cultivated by the Chaldeans. (c) Nestorian.
chaldee |Of or pertaining to Chaldea. -- n.  The language or dialect of the Chaldeans; eastern Aramaic, or the Aramaic used in Chaldea. Chaldee Paraphrase, A targum written in Aramaic.
chalder |A kind of bird; the oyster catcher.
chaldrich |A kind of bird; the oyster catcher.
chaldron |An English dry measure, being, at London, 36 bushels heaped up, or its equivalent weight, and more than twice as much at Newcastle. Now used exlusively for coal and coke. Note: In the United States the chaldron is ordinarily 2,940 lbs, but at New York it is 2,500 lbs. De Colange.
chalet |1. A herdsman's hut in the mountains of Switzerland. Chalets are summer huts for the Swiss herdsmen. Wordsworth. 2. A summer cottage or country house in the Swiss mountains; any country house built in the style of the Swiss cottages.
chalice |A cup or bowl; especially, the cup used in the sacrament of the Lord's Supper.
chaliced |Having a calyx or cup; cupshaped. \"Chaliced flowers.\" Shak.
chalk |1. (Min.)  A soft, earthy substance, of a white, grayish, or yellowish white color, consisting of calcium carbonate, and having the same composition as common limestone. 2. (Fine Arts)  Finely prepared chalk, used as a drawing implement; also, by extension, a compound, as of clay and black lead, or the like, used in the same manner. See Crayon. Black chalk, a mineral of a bluish color, of a slaty texture, and soiling the fingers when handled; a variety of argillaceous slate. -- By a long chalk, by a long way; by many degrees. [Slang] Lowell. -- Chalk drawing (Fine Arts), a drawing made with crayons. See Crayon. -- Chalk formation. See Cretaceous formation, under Cretaceous. -- Chalk line, a cord rubbed with chalk, used for making straight lines on boards or other material, as a guide in cutting or in arranging work. -- Chalk mixture, a preparation of chalk, cinnamon, and sugar in gum water, much used in diarrheal affection, esp. of infants. -- Chalk period. (Geol.) See Cretaceous period, under Cretaceous. -- Chalk pit, a pit in which chalk is dug. -- Drawing chalk. See Crayon, n., 1. -- French chalk, steatite or soapstone, a soft magnesian mineral. -- Red chalk, an indurated clayey ocher containing iron, and used by painters and artificers; reddle.\n\n1. To rub or mark with chalk. 2. To manure with chalk, as land. Morimer. 3. To make white, as with chalk; to make pale; to bleach. Tennyson. Let a bleak paleness chalk the door. Herbert. To chalk out, to sketch with, or as with, chalk; to outline; to indicate; to plan. [Colloq.] \"I shall pursue the plan I have chalked out.\" Burke.
chalkcutter |A man who digs chalk.
chalkiness |The state of being chalky.
chalkstone |1. A mass of chalk. As chalkstones . . . beaten in sunder. Isa. xxvii. 9. 2. (Med.)  A chalklike concretion, consisting mainly of urate of sodium, found in and about the small joints, in the external ear, and in other situations, in those affected with gout; a tophus.
chalky |Consisting of, or resembling, chalk; containing chalk; as, a chalky cliff; a chalky taste.
