plied |imp. & p. p. of Ply.
plongee |A slope or sloping toward the front; as, the plongée of a parapet; the plongée of a shell in its course. [Sometimes written plonge.]
plop |To fall, drop, or move in any way, with a sudden splash or slap, as on the surface of water. The body plopped up, turning on its side. Kipling.\n\nAct of plopping; the sound made in plopping.
plot |1. A small extent of ground; a plat; as, a garden plot. Shak. 2. A plantation laid out. [Obs.] Sir P. Sidney. 3. (Surv.)  A plan or draught of a field, farm, estate, etc., drawn to a scale.\n\nTo make a plot, map, pr plan, of; to mark the position of on a plan; to delineate. This treatise plotteth down Cornwall as it now standeth. Carew.\n\n1. Any scheme, stratagem, secret design, or plan, of a complicated nature, adapted to the accomplishment of some purpose, usually a treacherous and mischievous one; a conspiracy; an intrigue; as, the Rye-house Plot. I have overheard a plot of death. Shak. O, think what anxious moments pass between The birth of plots and their last fatal periods! Addison. 2. A share in such a plot or scheme; a participation in any stratagem or conspiracy. [Obs.] And when Christ saith. Who marries the divorced commits adultery, it is to be understood, if he had any plot in the divorce. Milton. 3. Contrivance; deep reach thought; ability to plot or intrigue. [Obs.] \"A man of much plot.\" Denham. 4. A plan; a purpose. \"No other plot in their religion but serve Got and save their souls.\" Jer. Taylor. 5. In fiction, the story of a play, novel, romance, or poem, comprising a complication of incidents which are gradually unfolded, sometimes by unexpected means. If the plot or intrigue must be natural, and such as springs from the subject, then the winding up of the plot must be a probable consequence of all that went before. Pope. Syn. -- Intrigue; stratagem; conspiracy; cabal; combination; contrivance.\n\n1. To form a scheme of mischief against another, especially against a government or those who administer it; to conspire. Shak. The wicked plotteth against the just. Ps. xxxvii. 12. 2. To contrive a plan or stratagem; to scheme. The prince did plot to be secretly gone. Sir H. Wotton.\n\nTo plan; to scheme; to devise; to contrive secretly. \"Plotting an unprofitable crime.\" Dryden. \"Plotting now the fall of others.\" Milton
plot-proof |Secure against harm by plots. Shak.
plotful |Abounding with plots.
plotinian |Of pertaining to the Plotinists or their doctrines.
plotinist |A disciple of Plotinus, a celebrated Platonic philosopher of the third century, who taught that the human soul emanates from the divine Being, to whom it reunited at death.
plotter |One who plots or schemes; a contriver; a conspirator; a schemer. Dryden.
plough |See Plow.\n\n1. A well-known implement, drawn by horses, mules, oxen, or other power, for turning up the soil to prepare it for bearing crops; also used to furrow or break up the soil for other purposes; as, the subsoil plow; the draining plow. Where fern succeeds ungrateful to the plow. Dryden. 2. Fig.: Agriculture; husbandry. Johnson. 3. A carucate of land; a plowland. [Obs.] [Eng.] Johan, mine eldest son, shall have plowes five. Tale of Gamelyn. 4. A joiner's plane for making grooves; a grooving plane. 5. (Bookbinding)  An implement for trimming or shaving off the edges of books. 6. (Astron.)  Same as Charles's Wain. Ice plow, a plow used for cutting ice on rivers, ponds, etc., into cakes suitable for storing. [U. S.] -- Mackerel plow. See under Mackerel. -- Plow alms, a penny formerly paid by every plowland to the church. Cowell. -- Plow beam, that part of the frame of a plow to which the draught is applied. See Beam, n., 9. -- Plow Monday, the Monday after Twelth Day, or the end of Christmas holidays. -- Plow staff. (a) A kind of long-handled spade or paddle for cleaning the plowshare; a paddle staff. (b) A plow handle. -- Snow plow, a structure, usually\n\n1. To turn up, break up, or trench, with a plow; to till with, or as with, a plow; as, to plow the ground; to plow a field. 2. To furrow; to make furrows, grooves, or ridges in; to run through, as in sailing. Let patient Octavia plow thy visage up With her prepared nails. Shak. With speed we plow the watery way. Pope. 3. (Bookbinding)  To trim, or shave off the edges of, as a book or paper, with a plow. See Plow, n., 5. 4. (Joinery)  To cut a groove in, as in a plank, or the edge of a board; especially, a rectangular groove to receive the end of a shelf or tread, the edge of a panel, a tongue, etc. To plow in, to cover by plowing; as, to plow in wheat. -- To plow up, to turn out of the ground by plowing.plow ahead, to continue in spite of obstacles or resistence by others. Note: Often used in a bad sense, meaning to continue obstinately in spite of the contrary advice of others. plow through, to execute a difficult or laborious task steadily, esp. one containing many parts; as, he plowed through the stack of correspondence until all had been answered.\n\nTo labor with, or as with, a plow; to till or turn up the soil with a plow; to till or turn up the soil with a plow; to prepare the soil or bed for anything. Shak. Doth the plowman plow all day to sow Isa. xxviii. 24.
ploughable |Capable of being plowed; arable.
ploughbote |Wood or timber allowed to a tenant for the repair of instruments of husbandry. See Bote.
ploughboy |A boy that drives or guides a team in plowing; a young rustic.
plougher |One who plows; a plowman; a cultivator.
ploughfoot |An adjustable staff formerly attached to the plow beam to determine the depth of the furrow. Piers Plowman.
ploughgang |Same as Plowgate.
ploughgate |The Scotch equivalent of the English word plowland. Not having one plowgate of land. Sir W. Scott.
ploughhead |The clevis or draught iron of a plow.
ploughman |1. One who plows, or who holds and guides a plow; hence, a husbandman. Chaucer. Macaulay. 2. A rustic; a countryman; a field laborer. Plowman's spikenard (Bot.), a European composite weed (Conyza squarrosa), having fragrant roots. Dr. Prior.
ploughpoint |A detachable share at the extreme front end of the plow body.
ploughshare |The share of a plow, or that part which cuts the slice of earth or sod at the bottom of the furrow. Plowshare bone (Anat.), the pygostyle.
ploughtail |The hind part or handle of a plow.
ploughwright |One who makes or repairs plows.
plougland |1. Land that is plowed, or suitable for tillage. 2. (O. Eng. Law)  the quantity of land allotted for the work of one plow; a hide.
plouter |To wade or move about with splashing; to dabble; also, to potter; trifle; idle. [Scot. & Dial. Eng.] I did not want to plowter about any more. Kipling.\n\nAct of ploutering; floundering; act or sound of splashing. [Scot. & Dial.Eng.]
plover |1. (Zoöl.)  Any one of numerous species of limicoline birds belonging to the family Charadridæ, and especially those belonging to the subfamily Charadrinsæ. They are prized as game birds. 2. (Zoöl.)  Any grallatorial bird allied to, or resembling, the true plovers, as the crab plover (Dromas ardeola); the American upland, plover (Bartramia longicauda); and other species of sandpipers. Note: Among the more important species are the blackbellied, or blackbreasted, plover (Charadrius squatarola) of America and Europe; -- called also gray plover, bull-head plover, Swiss plover, sea plover, and oxeye; the golden plover (see under Golden); the ring or ringed plover (Ægialitis hiaticula). See Ringneck. The piping plover (Ægialitis meloda); Wilson's plover (Æ. Wilsonia); the mountain plover (Æ. montana); and the semipalmated plover (Æ. semipalmata), are all small American species. Bastard plover (Zoöl.), the lapwing. -- Long-legged, or yellow-legged, plover. See Tattler. -- Plover's page, the dunlin. [Prov. Eng.] -- Rock plover, or Stone plover, the black-bellied plover. [Prov. Eng.] -- Whistling plover. (a) The golden plover. (b) The black-bellied plover.
plow |1. A well-known implement, drawn by horses, mules, oxen, or other power, for turning up the soil to prepare it for bearing crops; also used to furrow or break up the soil for other purposes; as, the subsoil plow; the draining plow. Where fern succeeds ungrateful to the plow. Dryden. 2. Fig.: Agriculture; husbandry. Johnson. 3. A carucate of land; a plowland. [Obs.] [Eng.] Johan, mine eldest son, shall have plowes five. Tale of Gamelyn. 4. A joiner's plane for making grooves; a grooving plane. 5. (Bookbinding)  An implement for trimming or shaving off the edges of books. 6. (Astron.)  Same as Charles's Wain. Ice plow, a plow used for cutting ice on rivers, ponds, etc., into cakes suitable for storing. [U. S.] -- Mackerel plow. See under Mackerel. -- Plow alms, a penny formerly paid by every plowland to the church. Cowell. -- Plow beam, that part of the frame of a plow to which the draught is applied. See Beam, n., 9. -- Plow Monday, the Monday after Twelth Day, or the end of Christmas holidays. -- Plow staff. (a) A kind of long-handled spade or paddle for cleaning the plowshare; a paddle staff. (b) A plow handle. -- Snow plow, a structure, usually\n\n1. To turn up, break up, or trench, with a plow; to till with, or as with, a plow; as, to plow the ground; to plow a field. 2. To furrow; to make furrows, grooves, or ridges in; to run through, as in sailing. Let patient Octavia plow thy visage up With her prepared nails. Shak. With speed we plow the watery way. Pope. 3. (Bookbinding)  To trim, or shave off the edges of, as a book or paper, with a plow. See Plow, n., 5. 4. (Joinery)  To cut a groove in, as in a plank, or the edge of a board; especially, a rectangular groove to receive the end of a shelf or tread, the edge of a panel, a tongue, etc. To plow in, to cover by plowing; as, to plow in wheat. -- To plow up, to turn out of the ground by plowing.plow ahead, to continue in spite of obstacles or resistence by others. Note: Often used in a bad sense, meaning to continue obstinately in spite of the contrary advice of others. plow through, to execute a difficult or laborious task steadily, esp. one containing many parts; as, he plowed through the stack of correspondence until all had been answered.\n\nTo labor with, or as with, a plow; to till or turn up the soil with a plow; to till or turn up the soil with a plow; to prepare the soil or bed for anything. Shak. Doth the plowman plow all day to sow Isa. xxviii. 24.
plowable |Capable of being plowed; arable.
plowbote |Wood or timber allowed to a tenant for the repair of instruments of husbandry. See Bote.
plowboy |A boy that drives or guides a team in plowing; a young rustic.
plower |One who plows; a plowman; a cultivator.
plowfoot |An adjustable staff formerly attached to the plow beam to determine the depth of the furrow. Piers Plowman.
plowgang |Same as Plowgate.
plowgate |The Scotch equivalent of the English word plowland. Not having one plowgate of land. Sir W. Scott.
plowhead |The clevis or draught iron of a plow.
plowland |1. Land that is plowed, or suitable for tillage. 2. (O. Eng. Law)  the quantity of land allotted for the work of one plow; a hide.
plowman |1. One who plows, or who holds and guides a plow; hence, a husbandman. Chaucer. Macaulay. 2. A rustic; a countryman; a field laborer. Plowman's spikenard (Bot.), a European composite weed (Conyza squarrosa), having fragrant roots. Dr. Prior.
plowpoint |A detachable share at the extreme front end of the plow body.
plowshare |The share of a plow, or that part which cuts the slice of earth or sod at the bottom of the furrow. Plowshare bone (Anat.), the pygostyle.
plowtail |The hind part or handle of a plow.
plowwright |One who makes or repairs plows.
ploy |Sport; frolic. [Prov. Eng. & Scot.]\n\nTo form a column from a line of troops on some designated subdivision; -- the opposite of deploy. Wilhelm.
ployment |The act or movement of forming a column from a line of troops on some designated subdivision; -- the opposite of deployment.
pluck |1. To pull; to draw. Its own nature . . . plucks on its own dissolution. Je 2. Especially, to pull with sudden force or effort, or to pull off or out from something, with a twitch; to twitch; also, to gather, to pick; as, to pluck feathers from a fowl; to pluck hair or wool from a skin; to pluck grapes. I come to pluck your berries harsh and crude. Milton. E'en children followed, with endearing wile, And plucked his gown to share the good man's smile. Goldsmith. 3. To strip of, or as of, feathers; as, to pluck a fowl. They which pass by the way do pluck her. Ps. lxxx. 4. (Eng. Universities)  To reject at an examination for degrees. C. Bronté. To pluck away, to pull away, or to separate by pulling; to tear away. -- To pluck down, to pull down; to demolish; to reduce to a lower state. -- to pluck off, to pull or tear off; as, to pluck off the skin. -- to pluck up. (a) To tear up by the roots or from the foundation; to eradicate; to exterminate; to destroy; as, to pluck up a plant; to pluk up a nation. Jer. xii. 17. (b) To gather up; to summon; as, to pluck up courage.\n\nTo make a motion of pulling or twitching; -- usually with at; as, to pluck at one's gown.\n\n1. The act of plucking; a pull; a twitch. 2. Etym: [Prob. so called as being plucked out after the animal is killed; or cf. Gael. & Ir. pluc a lump, a knot, a bunch.]  The heart, liver, and lights of an animal. 3. Spirit; courage; indomitable resolution; fortitude. Decay of English spirit, decay of manly pluck. Thackeray. 4. The act of plucking, or the state of being plucked, at college. See Pluck, v. t., 4. 5. (Zoöl.)  The lyrie. [Prov. Eng.]
plucked |Having courage and spirit. [R.]
plucker |1. One who, or that which, plucks. Thou setter up and plucker down of kings. Shak. 2. A machine for straightening and cleaning wool.
plucker tube |(a) A vacuum tube, used in spectrum analysis, in which the part through which the discharge takes place is a capillary tube, thus producing intense incandescence of the contained gases. (b) Crookes tube.
pluckily |In a plucky manner.
pluckiness |The quality or state of being plucky.
pluckless |Without pluck; timid; faint-hearted.
plucky |Having pluck or courage; characterized by pluck; displaying pluck; courageous; spirited; as, a plucky race. If you're plucky, and not over subject to fright. Barham.
pluff |To throw out, as smoke, dust, etc., in puffs. [Scot.]\n\n1. A puff, as of smoke from a pipe, or of dust from a puffball; a slight explosion, as of a small quantity of gunpowder. [Scot.] 2. A hairdresser's powder puff; also, the act of using it. [Scot.]
plug |1. Any piece of wood, metal, or other substance used to stop or fill a hole; a stopple. 2. A flat oblong cake of pressed tobacco. [U. S.] 3. A high, tapering silk hat. [Slang, U.S.] 4. A worthless horse. [Slang, U.S.] 5. (Building)  A block of wood let into a wall, to afford a hold for nails. Fire plug, a street hydrant to which hose may be attached. [U. S.] -- Hawse plug (Naut.), a plug to stop a hawse hole. -- Plug and feather. (Stone Working) See Feather, n., 7. -- Plug centerbit, a centerbit ending in a small cylinder instead of a point, so as to follow and enlarge a hole previously made, or to form a counterbore around it. -- Plug rod (Steam Eng.) , a rod attached to the beam for working the valves, as in the Cornish engine. -- Plug valve (Mech.), a tapering valve, which turns in a case like the plug of a faucet.\n\nTo stop with a plug; to make tight by stopping a hole.
plug board |A switchboard in which connections are made by means of plugs.
plugger |One who, or that which, plugs.
plugging |1. The act of stopping with a plug. 2. The material of which a plug or stopple is made.
plum |1. (Bot.)  The edible drupaceous fruit of the Prunus domestica, and of several other species of Prunus; also, the tree itself, usually called plum tree. The bullace, the damson, and the numerous varieties of plum, of our gardens, although growing into thornless trees, are believed to be varieties of the blackthorn, produced by long cultivation. G. Bentham. are in bold format, like collocations. Note: Two or three hundred varieties of plums derived from the Prunus domestica are described; among them the greengage, the Orleans, the purple gage, or Reine Claude Violette, and the German prune, are some of the best known. Note: Among the true plums are; Beach plum, the Prunus maritima, and its crimson or purple globular drupes, -- Bullace plum. See Bullace. -- Chickasaw plum, the American Prunus Chicasa, and its round red drupes. -- Orleans plum, a dark reddish purple plum of medium size, much grown in England for sale in the markets. -- Wild plum of America, Prunus Americana, with red or yellow fruit, the original of the Iowa plum and several other varieties. Among plants called plum, but of other genera than Prunus, are; Australian plum, Cargillia arborea and C. australis, of the same family with the persimmon. -- Blood plum, the West African Hæmatostaphes Barteri. -- Cocoa plum, the Spanish nectarine. See under Nectarine. -- Date plum. See under Date. -- Gingerbread plum, the West African Parinarium macrophyllum. -- Gopher plum, the Ogeechee lime. -- Gray plum, Guinea plum. See under Guinea. -- Indian plum, several species of Flacourtia. 2. A grape dried in the sun; a raisin. 3. A handsome fortune or property; formerly, in cant language, the sum of £100,000 sterling; also, the person possessing it. Plum bird, Plum budder (Zoöl.), the European bullfinch. -- Plum gouger (Zoöl.), a weevil, or curculio (Coccotorus scutellaris), which destroys plums. It makes round holes in the pulp, for the reception of its eggs. The larva bores into the stone and eats the kernel. -- Plum weevil (Zoöl.), an American weevil which is very destructive to plums, nectarines cherries, and many other stone fruits. It lays its eggs in crescent-shaped incisions made with its jaws. The larva lives upon the pulp around the stone. Called also turk, and plum curculio. See Illust. under Curculio.
pluma |A feather.
plumage |The entire clothing of a bird. Note: It consist of the contour feathers, or the ordinary feathers covering the head, neck, and body; the tail feathers, with their upper and lower coverts; the wing feathers, including primaries, secondaries, and tertiaries, with their coverts; and the down which lies beneath the contour feathers. See Illust. under Bird.
plumassary |A plume or collection of ornamental feathers.
plumassier |One who prepares or deals in ornamental plumes or feathers.
plumb |A little mass or weight of lead, or the like, attached to a line, and used by builders, etc., to indicate a vertical direction; a plummet; a plumb bob. See Plumb line, below. Plumb bob. See Bob, 4. -- Plumb joint, in sheet-metal work, a lap joint, fastened by solder. -- Plumb level. See under Level. -- Plumb line. (a) The cord by which a plumb bob is suspended; a plummet. (b) A line directed to the center of gravity of the earth. -- Plumb rule, a narrow board with a plumb line, used by builders and carpenters.\n\nPerpendicular; vertical; conforming the direction of a line attached to a plumb; as, the wall is plumb.\n\nIn a plumb direction; perpendicularly. \"Plumb down he falls.\" Milton.\n\n1. To adjust by a plumb line; to cause to be perpendicular; as, to plumb a building or a wall. 2. To sound with a plumb or plummet, as the depth of water; hence, to examine by test; to ascertain the depth, quality, dimension, etc.; to sound; to fathom; to test. He did not attempt to plumb his intellect. Ld. Lytton. 3. To seal with lead; as, to plumb a drainpipe. 4. To supply, as a building, with a system of plumbing.
plumbage |Leadwork [R.]
plumbagin |A crystalline substance said to be found in the root of a certain plant of the Leadwort (Plumbago) family.
plumbagineous |Pertaining to natural order (Plumbagineæ) of gamopetalous herbs, of which plumbago is the type. The order includes also the marsh rosemary, the thrift, and a few other genera.
plumbaginous |Resembling plumbago; consisting of, or containing, plumbago; as, a plumbaginous slate.
plumbago |1. (Min.)  Same as Graphite. 2. (Bot.)  A genus of herbaceous plants with pretty salver-shaped corollas, usually blue or violet; leadwort.
plumbean |1. Consisting of, or resembling, lead. J. Ellis. 2. Dull; heavy; stupid. [R.] J. P. Smith.
plumbeous |1. Consisting of, or resembling, lead. J. Ellis. 2. Dull; heavy; stupid. [R.] J. P. Smith.
plumber |One who works in lead; esp., one who furnishes, fits, and repairs lead, iron, or glass pipes, and other apparatus for the conveyance of water, gas, or drainage in buildings.
plumber block |A pillow block.
plumbery |1. The business of a plumber. [Obs.] 2. A place where plumbing is carried on; lead works.
plumbic |Of, pertaining to, resembling, or containing, lead; -- used specifically to designate those compounds in which it has a higher valence as contrasted with plumbous compounds; as, plumbic oxide.
plumbiferous |Producing or containing lead. Kirwan.
plumbing |1. The art of casting and working in lead, and applying it to building purposes; especially, the business of furnishing, fitting, and repairing pipes for conducting water, sewage, etc. Gwilt. 2. The lead or iron pipes, and other apparatus, used in conveying water, sewage, etc., in a building.
plumbism |A diseased condition, produced by the absorption of lead, common among workers in this metal or in its compounds, as among painters, typesetters, etc. It is characterized by various symptoms, as lead colic, lead line, and wrist drop. See under Colic, Lead, and Wrist.
plumbous |Of, pertaining to, or containing, lead; -- used specifically to designate those compounds in which it has a lower valence as contrasted with plumbic compounds.
plumbum |The technical name of lead. See Lead.
plumcot |A cross between the plum and apricot.
plume |1. A feather; esp., a soft, downy feather, or a long, conspicuous, or handsome feather. Wings . . . of many a colored plume. Milton. 2. (Zoöl.)  An ornamental tuft of feathers. 3. A feather, or group of feathers, worn as an ornament; a waving ornament of hair, or other material resembling feathers. His high plume, that nodded o'er his head. Dryden. 4. A token of honor or prowess; that on which one prides himself; a prize or reward. \"Ambitious to win from me some plume.\" Milton. 5. (Bot.)  A large and flexible panicle of inflorescence resembling a feather, such as is seen in certain large ornamental grasses. Plume bird (Zoöl.), any bird that yields ornamental plumes, especially the species of Epimarchus from New Guinea, and some of the herons and egrets, as the white heron of Florida (Ardea candidissima). -- Plume grass. (Bot) (a) A kind of grass (Erianthus saccharoides) with the spikelets arranged in great silky plumes, growing in swamps in the Southern United States. (b) The still finer E. Ravennæ from the Mediterranean region. The name is sometimes extended to the whole genus. -- Plume moth (Zoöl.), any one of numerous small, slender moths, belonging to the family Pterophoridæ. Most of them have the wings deeply divided into two or more plumelike lobes. Some species are injurious to the grapevine. -- Plume nutmeg (Bot.), an aromatic Australian tree (Atherosperma moschata), whose numerous carpels are tipped with long plumose persistent styles.\n\n1. To pick and adjust the plumes or feathers of; to dress or prink. Pluming her wings among the breezy bowers. W. Irving. 2. To strip of feathers; to pluck; to strip; to pillage; also, to peel. [Obs.] Bacon. Dryden. 3. To adorn with feathers or plumes. \"Farewell the plumed troop.\" Shak. 4. To pride; to vaunt; to boast; -- used reflexively; as, he plumes himself on his skill. South. Plumed adder (Zoöl.), an African viper (Vipera, or Clotho, cornuta), having a plumelike structure over each eye. It is venomous, and is related to the African puff adder. Called also horned viper and hornsman. -- Plumed partridge (Zoöl.), the California mountain quail (Oreortyx pictus). See Mountain quail, under Mountain.
plumeless |Without plumes.
plumelet |A small plume. When rosy plumelets tuft the larch. Tennyson.
plumery |Plumes, collectively or in general; plumage. [R.] Southey.
plumicorn |An ear tuft of feathers, as in the horned owls.
plumigerous |Feathered; having feathers. Bailey
plumiliform |Having the of a plume or feather. [R.]
plumiped |Having feet covered with feathers. -- n.  A plumiped bird.
plummet |1. A piece of lead attached to a line, used in sounding the depth of water. I'll sink him deeper than e'er plummet sounded. Shak. 2. A plumb bob or a plumb line. See under Plumb, n. 3. Hence, any weight. 4. A piece of lead formerly used by school children to rule paper for writing. Plummet line, a line with a plummet; a sounding line.
plumming |The operation of finding, by means of a mine dial, the place where to sink an air shaft, or to bring an adit to the work, or to find which way the lode inclines.
plummy |Of the nature of a plum; desirable; profitable; advantageous. [Colloq.] \"For the sake of getting something plummy.\" G. Eliot.
plumose |1. Having feathers or plumes. 2. Having hairs, or other párts, arranged along an axis like a feather; feathery; plumelike; as, a plumose leaf; plumose tentacles.
plumosite |Same as Jamesonite.
plumosity |The quality or state of being plumose.
plumous |1. Having feathers or plumes. 2. Having hairs, or other párts, arranged along an axis like a feather; feathery; plumelike; as, a plumose leaf; plumose tentacles.
plump |Well rounded or filled out; full; fleshy; fat; as, a plump baby; plump cheeks. Shak. The god of wine did his plump clusters bring. T. Carew.\n\nA knot; a cluster; a group; a crowd; a flock; as, a plump of trees, fowls, or spears. [Obs.] To visit islands and the plumps of men. Chapman.\n\n1. To grow plump; to swell out; as, her cheeks have plumped. 2. To drop or fall suddenly or heavily, all at once.\"Dulcissa plumps into a chair.\" Spectator. 3. To give a plumper. See Plumper, 2.\n\n1. To make plump; to fill (out) or support; -- often with up.plump up the pillows To plump up the hollowness of their history with improbable miracles. Fuller. 2. To cast or let drop all at once, suddenly and heavily; as, to plump a stone into water. 3. To give (a vote), as a plumper. See Plumper, 2.\n\nDirectly; suddenly; perpendicularly. \"Fall plump.\" Beau. & Fl.
plumper |1. One who, or that which, plumps or swells out something else; hence, something carried in the mouth to distend the cheeks. 2. (English Elections)  A vote given to one candidate only, when two or more are to be elected, thus giving him the advantage over the others. A person who gives his vote thus is said to plump, or to plump his vote. 3. A voter who plumps his vote. [Eng.] 4. A downright, unqualified lie. [Colloq. or Low]
plumply |Fully; roundly; plainly; without reserve. [Colloq.]
plumpness |The quality or state of being plump.
plumpy |Plump; fat; sleek. \"Plumpy Bacchus.\" Shak.
plumula |1. (Bot.)  A plumule. 2. (Zoöl.)  A down feather.
plumulaceous |Downy; bearing down.
plumular |Relating to a plumule.
plumularia |Any hydroid belonging to Plumularia and other genera of the family Plumularidæ. They generally grow in plumelike forms.
plumularian |Any Plumularia. Also used adjectively.
plumule |1. (Bot.)  The first bud, or gemmule, of a young plant; the bud, or growing point, of the embryo, above the cotyledons. See Illust. of Radicle. Gray. 2. (Zoöl.) (a) A down feather. (b) The aftershaft of a feather. See Illust. under Feather. (c) One of the featherlike scales of certain male butterflies.
plumulose |Having hairs branching out laterally, like the parts of a feather.
plumy |Covered or adorned with plumes, or as with plumes; feathery. \"His plumy crest.\" Addison. \"The plumy trees.\" J. S. Blackie.
plunder |1. To take the goods of by force, or without right; to pillage; to spoil; to sack; to strip; to rob; as, to plunder travelers. Nebuchadnezzar plunders the temple of God. South. 2. To take by pillage; to appropriate forcibly; as, the enemy plundered all the goods they found. Syn. -- To pillage; despoil; sack; rifle; strip; rob.\n\n1. The act of plundering or pillaging; robbery. See Syn. of Pillage. Inroads and plunders of the Saracens. Sir T. North. 2. That which is taken by open force from an enemy; pillage; spoil; booty; also, that which is taken by theft or fraud. \"He shared in the plunder.\" Cowper. 3. Personal property and effects; baggage or luggage. [Slang, Southwestern U.S.]
plunderage |The embezzlement of goods on shipboard. Wharton.
plunderer |One who plunders or pillages.
plunge |1. To thrust into water, or into any substance that is penetrable; to immerse; to cause to penetrate or enter quickly and forcibly; to thrust; as, to plunge the body into water; to plunge a dagger into the breast. Also used figuratively; as, to plunge a nation into war. \"To plunge the boy in pleasing sleep.\" Dryden. Bound and plunged him into a cell. Tennyson. We shall be plunged into perpetual errors. I. Watts. 2. To baptize by immersion. 3. To entangle; to embarrass; to overcome. [Obs.] Plunged and graveled with three lines of Seneca. Sir T. Browne.\n\n1. To thrust or cast one's self into water or other fluid; to submerge one's self; to dive, or to rush in; as, he plunged into the river. Also used figuratively; as, to plunge into debt. Forced to plunge naked in the raging sea. Dryden. To plunge into guilt of a murther. Tillotson. 2. To pitch or throw one's self headlong or violently forward, as a horse does. Some wild colt, which . . . flings and plunges. Bp. Hall. 3. To bet heavily and with seeming recklessness on a race, or other contest; in an extended sense, to risk large sums in hazardous speculations. [Cant] Plunging fire (Gun.), firing directed upon an enemy from an elevated position.\n\n1. The act of thrusting into or submerging; a dive, leap, rush, or pitch into, or as into, water; as, to take the water with a plunge. 2. Hence, a desperate hazard or act; a state of being submerged or overwhelmed with difficulties. [R.] She was brought to that plunge, to conceal her husband's murder or accuse her son. Sir P. Sidney. And with thou not reach out a friendly arm, To raise me from amidst this plunge of sorrows Addison. 3. The act of pitching or throwing one's self headlong or violently forward, like an unruly horse. 4. Heavy and reckless betting in horse racing; hazardous speculation. [Cant] Plunge bath, an immersion by plunging; also, a large bath in which the bather can wholly immerse himself. -- Plunge, or plunging, battery (Elec.), a voltaic battery so arranged that the plates can be plunged into, or withdrawn from, the exciting liquid at pleasure.
plunger |1. One who, or that which, plunges; a diver. 2. A long solid cylinder, used, instead of a piston or bucket, as a forcer in pumps. 3. One who bets heavily and recklessly on a race; a reckless speculator. [Cant] 4. (Pottery)  A boiler in which clay is beaten by a wheel to a creamy consistence. Knight. 5. (Gun.)  The firing pin of a breechloader. Plunger bucket, a piston, without a valve, in a pump. -- Plunger pole, the pump rod of a pumping engine. -- Plunger pump, a pump, as for water, having a plunger, instead of a piston, to act upon the water. It may be single-acting or double- acting
