mebles |See Moebles. [Obs.]
medal |A piece of metal in the form of a coin, struck with a device, and intended to preserve the remembrance of a notable event or an illustrious person, or to serve as a reward.\n\nTo honor or reward with a medal. \"Medaled by the king.\" Thackeray.
medal play |Play in which the score is reckoned by counting the number of strokes.
medalet |A small medal.
medalist |1. A person that is skilled or curious in medals; a collector of medals. Addison. 2. A designer of medals. Macaulay. 3. One who has gained a medal as the reward of merit.
medallic |Of or pertaining to a medal, or to medals. \"Our medallic history.\" Walpole.
medallion |1. A large medal or memorial coin. 2. A circular or oval (or, sometimes, square) tablet bearing a figure or figures represented in relief.
medalurgy |The art of making and striking medals and coins. [Written also medallurgy.]
meddle |1. To mix; to mingle. [Obs.] More to know Did never meddle with my thoughts. Shak. 2. To interest or engage one's self; to have to do; -- [Obs.] Barrow. Study to be quiet, and to meddle with your own business. Tyndale. 3. To interest or engage one's self unnecessarily or impertinently, to interfere or busy one's self improperly with another's affairs; specifically, to handle or distrub another's property without permission; -- often followed by with or in. Why shouldst thou meddle to thy hurt 2 Kings xiv. 10. The civil lawyers . . . have meddled in a matter that belongs not to them. Locke. To meddle and make, to intrude one's self into another person's concerns. [Archaic] Shak. Syn. -- To interpose; interfere; intermeddle.\n\nTo mix; to mingle. [Obs.] Chaucer. \"Wine meddled with gall.\" Wyclif (Matt. xxvii. 34).
meddler |One who meddles; one who interferes or busies himself with things in which he has no concern; an officious person; a busybody.
meddlesome |Given to meddling; apt to interpose in the affairs of others; officiously intrusive. -- Med\"dle*some*ness, n.
meddling |Meddlesome. Macaulay.
meddlingly |In a meddling manner.
mede |A native or inhabitant of Media in Asia.\n\nSee lst & 2d Mead, and Meed. [Obs.]
media |pl. of Medium.\n\nOne of the sonant mutes b, d, g (b, d, g), in Greek, or of their equivalents in other languages, so named as intermediate between the tenues, p, t, k (p, t, k), and the aspiratæ (aspirates) f, th, x (ph or f, th, ch). Also called middle mute, or medial, and sometimes soft mute.
mediacy |The state or quality of being mediate. Sir W. Hamilton.
mediaeval |Of or relating to the Middle Ages; as, mediæval architecture. [Written also medieval.]
mediaevalism |The method or spirit of the Middle Ages; devotion to the institutions and practices of the Middle Ages; a survival from the Middle Ages. [Written also medievalism.]
mediaevalist |One who has a taste for, or is versed in, the history of the Middle Ages; one in sympathy with the spirit or forms of the Middle Ages. [Written also medievalist.]
mediaevally |In the manner of the Middle Ages; in accordance with mediævalism.
mediaevals |The people who lived in the Middle Ages. Ruskin.
medial |Of or pertaining to a mean or average; mean; as, medial alligation.\n\nSee 2d Media.
medialuna |See Half-moon.
median |1. Being in the middle; running through the middle; as, a median groove. 2. (Zoöl.)  Situated in the middle; lying in a plane dividing a bilateral animal into right and left halves; -- said of unpaired organs and parts; as, median coverts. Median line. (a) (Anat.) Any line in the mesial plane; specif., either of the lines in which the mesial plane meets the surface of the body. (b) (Geom.) The line drawn from an angle of a triangle to the middle of the opposite side; any line having the nature of a diameter. -- Median plane (Anat.), the mesial plane. -- Median point (Geom.), the point where the three median lines of a triangle mutually intersect.\n\nA median line or point.
mediant |The third above the keynote; -- so called because it divides the interval between the tonic and dominant into two thirds.
mediastinal |Of or pertaining to a mediastinum.
mediastine |A partition; a septum; specifically, the folds of the pleura (and the space included between them) which divide the thorax into a right and left cavity. The space included between these folds of the pleura, called the mediastinal space, contains the heart and gives passage to the esophagus and great blood vessels.
mediastinum |A partition; a septum; specifically, the folds of the pleura (and the space included between them) which divide the thorax into a right and left cavity. The space included between these folds of the pleura, called the mediastinal space, contains the heart and gives passage to the esophagus and great blood vessels.
mediate |1. Being between the two extremes; middle; interposed; intervening; intermediate. Prior. 2. Acting by means, or by an intervening cause or instrument; not direct or immediate; acting or suffering through an intervening agent or condition. 3. Gained or effected by a medium or condition. Bacon. An act of mediate knowledge is complex. Sir W. Hamilton.\n\n1. To be in the middle, or between two; to intervene. [R.] 2. To interpose between parties, as the equal friend of each, esp. for the purpose of effecting a reconciliation or agreement; as, to mediate between nations.\n\n1. To effect by mediation or interposition; to bring about as a mediator, instrument, or means; as, to mediate a peace. 2. To divide into two equal parts. [R.] Holder.
mediately |In a mediate manner; by a secondary cause or agent; not directly or primarily; by means; -- opposed to immediately. God worketh all things amongst us mediately. Sir W. Raleigh. The king grants a manor to A, and A grants a portion of it to B. In this case. B holds his lands immediately of A, but mediately of the king. Blakstone.
mediateness |The state of being mediate.
mediation |1. The act of mediating; action or relation of anything interposed; action as a necessary condition, means, or instrument; interposition; intervention. The soul [acts] by the mediation of these passions. South. 2. Hence, specifically, agency between parties at variance, with a view to reconcile them; entreaty for another; intercession. Bacon.
mediative |Pertaining to mediation; used in mediation; as, mediative efforts. Beaconsfield.
mediatization |The act of mediatizing.
mediatize |To cause to act through an agent or to hold a subordinate position; to annex; -- specifically applied to the annexation during the former German empire of a smaller German state to a larger, while allowing it a nominal sovereignty, and its prince his rank. The misfortune of being a mediatized prince. Beaconsfield.
mediator |One who mediates; especially, one who interposes between parties at variance for the purpose of reconciling them; hence, an intercessor. For there is one God, and one mediator between God and men, the man Christ Jesus. 1 Tim. ii. 5.
mediatorial |Of or pertaining to a mediator, or to mediation; mediatory; as, a mediatorial office. -- Me`di*a*to\"ri*al*ly, adv. My measures were . . . healing and mediatorial. Burke.
mediatorship |The office or character of a mediator.
mediatory |Mediatorial.
mediatress |A female mediator.
mediatrix |A female mediator.
medic |A leguminous plant of the genus Medicago. The black medic is the Medicago lupulina; the purple medic, or lucern, is M. sativa.\n\nMedical. [R.]
medicable |Capable of being medicated; admitting of being cured or healed.
medical |1. Of, pertaining to, or having to do with, the art of healing disease, or the science of medicine; as, the medical profession; medical services; a medical dictionary; medical jurisprudence. 2. Containing medicine; used in medicine; medicinal; as, the medical properties of a plant.
medically |In a medical manner; with reference to healing, or to the principles of the healing art.
medicament |Anything used for healing diseases or wounds; a medicine; a healing application.
medicamental |Of or pertaining to medicaments or healing applications; having the qualities of medicaments. -- Med`ica*men\"tal*ly, adv.
medicaster |A quack. [R.] Whitlock.
medicate |1. To tincture or impregnate with anything medicinal; to drug. \"Medicated waters.\" Arbuthnot. 2. To treat with medicine.
medication |The act or process of medicating.
medicative |Medicinal; acting like a medicine.
medicean |Of or relating to the Medici, a noted Italian family; as, the Medicean Venus. Medicean planets (Astron.), a name given by Galileo to the satellites of Jupiter.
medicinable |Medicinal; having the power of healing. [Obs.] Shak.
medicinal |1. Having curative or palliative properties; used for the cure or alleviation of bodily disorders; as, medicinal tinctures, plants, or springs. Drop tears as fast as the Arabian trees Their medicinal gum. Shak. 2. Of or pertaining to medicine; medical.
medicinally |In a medicinal manner.
medicine |1. The science which relates to the prevention, cure, or alleviation of disease. 2. Any substance administered in the treatment of disease; a remedial agent; a remedy; physic. By medicine, life may be prolonged. Shak. 3. A philter or love potion. [Obs.] Shak. 4. Etym: [F. médecin.]  A physician. [Obs.] Shak. Medicine bag, a charm; -- so called among the North American Indians, or in works relating to them. -- Medicine man (among the North American Indians), a person who professes to cure sickness, drive away evil spirits, and regulate the weather by the arts of magic. -- Medicine seal, a small gem or paste engraved with reversed characters, to serve as a seal. Such seals were used by Roman physicians to stamp the names of their medicines.\n\nTo give medicine to; to affect as a medicine does; to remedy; to cure. \"Medicine thee to that sweet sleep.\" Shak.
medico-legal |Of or pertaining to law as affected by medical facts.
medicommissure |A large transverse commissure in the third ventricle of the brain; the middle or soft commissure. B. G. Wildex.
medicornu |The middle or inferior horn of each lateral ventricle of the brain. B. G. Wilder.
medics |Science of medicine. [Obs.]
mediety |The middle part; half; moiety. [Obs.] Sir T. Browne.
medieval |Same as Medi, Medi, etc.
medievalism |Same as Medi, Medi, etc.
medievalist |Same as Medi, Medi, etc.
medina epoch |A subdivision of the Niagara period in the American upper Silurian, characterized by the formations known as the Oneida conglomerate, and the Medina sandstone. See the Chart of Geology.
medino |Same as Para.
mediocral |Mediocre. [R.]
mediocre |Of a middle quality; of but a moderate or low degree of excellence; indifferent; ordinary. \" A very mediocre poet.\" Pope.\n\n1. A mediocre person. [R.] 2. A young monk who was excused from performing a portion of a monk's duties. Shipley.
mediocrist |A mediocre person. [R.]
mediocrity |1. The quality of being mediocre; a middle state or degree; a moderate degree or rate. \"A mediocrity of success.\" Bacon. 2. Moderation; temperance. [Obs.] Hooker.
mediostapedial |Pertaining to that part of the columella of the ear which, in some animals, connects the stapes with the other parts of the columella. -- n.  The mediostapedial part of the columella.
medioxumous |Intermediate. [Obs.] Dr. H. More.
meditance |Meditation. [Obs.]
meditate |To keep the mind in a state of contemplation; to dwell on anything in thought; to think seriously; to muse; to cogitate; to reflect. Jer. Taylor. In his law doth he meditate day and night. Ps. i. 2.\n\n1. To contemplate; to keep the mind fixed upon; to study. \"Blessed is the man that doth meditate good things.\" Ecclus. xiv. 20. 2. To purpose; to intend; to design; to plan by revolving in the mind; as, to meditate a war. I meditate to pass the remainder of life in a state of undisturbed repose. Washington. Syn. -- To consider; ponder; weigh; revolve; study. -- To Meditate, Contemplate, Intend. We meditate a design when we are looking out or waiting for the means of its accomplishment; we contemplate it when the means are at hand, and our decision is nearly or quite made. To intend is stronger, implying that we have decided to act when an opportunity may offer. A general meditates an attack upon the enemy; he contemplates or intends undertaking it at the earliest convenient season.
meditation |1. The act of meditating; close or continued thought; the turning or revolving of a subject in the mind; serious contemplation; reflection; musing. Let the words of my mouth and the meditation of my heart be acceptable in thy sight. Ps. xix. 14. 2. Thought; -- without regard to kind. [Obs.] With wings as swift As meditation or the thoughts of love. Shak.
meditatist |One who is given to meditation.
meditative |Disposed to meditate, or to meditation; as, a meditative man; a meditative mood. -- Med\"i*ta*tive*ly, adv. -- Med\"i*ta*tive*ness, n.
mediterranean |1. Inclosed, or nearly inclosed, with land; as, the Mediterranean Sea, between Europe and Africa. 2. Inland; remote from the ocean. [Obs.] Cities, as well mediterranean as maritime. Holland. 3. Of or pertaining to the Mediterranean Sea; as, Mediterranean trade; a Mediterranean voyage.
mediterranean fruit fly |A two-winged fly (Ceratitis capitata) with black and white markings, native of the Mediterranean countries, but now widely distributed. Its larva lives in ripening oranges, peaches, and other fruits, causing them to decay and fall.
mediterraneous |Inland. Sir T. Browne.
medium |1. That which lies in the middle, or between other things; intervening body or quantity. Hence, specifically: (a) Middle place or degree; mean. The just medium . . . lies between pride and abjection. L'Estrange. (b) (Math.)  See Mean. (c) (Logic) The mean or middle term of a syllogism; that by which the extremes are brought into connection. 2. A substance through which an effect is transmitted from one thing to another; as, air is the common medium of sound. Hence: The condition upon which any event or action occurs; necessary means of motion or action; that through or by which anything is accomplished, conveyed, or carried on; specifically, in animal magnetism, spiritualism, etc., a person through whom the action of another being is said to be manifested and transmitted. Whether any other liquors, being made mediums, cause a diversity of sound from water, it may be tried. Bacon. I must bring together All these extremes; and must remove all mediums. Denham. 3. An average. [R.] A medium of six years of war, and six years of peace. Burke. 4. A trade name for printing and writing paper of certain sizes. See Paper. 5. (Paint.)  The liquid vehicle with which dry colors are ground and prepared for application. Circulating medium, a current medium of exchange, whether coin, bank notes, or government notes. -- Ethereal medium (Physics), the ether. -- Medium of exchange, that which is used for effecting an exchange of commodities -- money or current representatives of money.\n\nHaving a middle position or degree; mean; intermediate; medial; as, a horse of medium size; a decoction of medium strength.
medium-sized |Having a medium size; as, a medium-sized man.
medius |The third or middle finger; the third digit, or that which corresponds to it.
medjidie |1. (a) A silver coin of Turkey formerly rated at twenty, but since 1880 at nineteen, piasters (about 83 cents). (b) A gold coin of Turkey equal to one hundred piastres ($4.396 or 18s. ¾d.); a lira, or Turkish pound. 2.  A Turkish honorary order established in 1851 by Abdul-Mejid, having as its badge a medallion surrounded by seven silver rays and crescents. It is often conferred on foreigners.
medjidieh |1. (a) A silver coin of Turkey formerly rated at twenty, but since 1880 at nineteen, piasters (about 83 cents). (b) A gold coin of Turkey equal to one hundred piastres ($4.396 or 18s. ¾d.); a lira, or Turkish pound. 2.  A Turkish honorary order established in 1851 by Abdul-Mejid, having as its badge a medallion surrounded by seven silver rays and crescents. It is often conferred on foreigners.
medlar |A tree of the genus Mespilus (M. Germanica); also, the fruit of the tree. The fruit is something like a small apple, but has a bony endocarp. When first gathered the flesh is hard and austere, and it is not eaten until it has begun to decay. Japan medlar (Bot.), the loquat. See Loquat. -- Neapolitan medlar (Bot.), a kind of thorn tree (Cratægus Azarolus); also, its fruit.
medle |To mix; to mingle; to meddle. [Written also medly.] [Obs.] Chaucer.
medley |1. A mixture; a mingled and confused mass of ingredients, usually inharmonious; a jumble; a hodgepodge; -- often used contemptuously. This medley of philosophy and war. Addison. Love is a medley of endearments, jars, Suspicions, reconcilements, wars. W. Walsh. 2. The confusion of a hand to hand battle; a brisk, hand to hand engagement; a mêlée. [Obs.] Holland. 3. (Mus.)  A composition of passages detached from several different compositions; a potpourri. Note: Medley is usually applied to vocal, potpourri to instrumental, compositions. 4. A cloth of mixed colors. Fuller.\n\n1. Mixed; of mixed material or color. [Obs.] \"A medlè coat.\" Chaucer. 2. Mingled; confused. Dryden.
medly |See Medle. Johnson.
medoc |A class of claret wines, including several varieties, from the district of Médoc in the department of Gironde.
medregal |See Bonito, 3.
medrick |A species of gull or tern. [Prov.] Lowell.
medulla |1. Marrow; pith; hence, essence. [Obs.] Milton. 2. (Anat.)  The marrow of bones; the deep or inner portion of an organ or part; as, the medulla, or medullary substance, of the kidney; specifically, the medula oblongata. 3. (Bot.)  A soft tissue, occupying the center of the stem or branch of a plant; pith. Medulla oblongata. Etym: [L., oblong medulla] (Anat.), the posterior part of the brain connected with the spinal cord. It includes all the hindbrain except the cerebellum and pons, and from it a large part of the cranial nerves arise. It controls very largely respiration, circulation, swallowing, and other functions, and is the most vital part of the brain; -- called also bulb of the spinal cord. See Brain.
medullar |See Medullary.
medullary |1. (Anat.) (a) Pertaining to, consisting of, or resembling, marrow or medulla. (b) Pertaining to the medula oblongata. 2. (Bot.)  Filled with spongy pith; pithy. Medullary groove (Anat.), a groove, in the epiblast of the vertebrate blastoderm, the edges of which unite, making a tube (the medullary canal) from which the brain and spinal cord are developed. -- Medullary rays (Bot.), the rays of cellular tissue seen in a transverse section of exogenous wood, which pass from the pith to the bark. -- Medullary sheath (Anat.), the layer of white semifluid substance (myelin), between the primitive sheath and axis cylinder of a medullated nerve fiber.
medullated |Furnished with a medulla or marrow, or with a medullary sheath; as, a medullated nerve fiber.
medullin |A variety of lignin or cellulose found in the medulla, or pith, of certain plants. Cf. Lignin, and Cellulose.
medusa |1. (Class. Myth.)  The Gorgon; or one of the Gorgons whose hair was changed into serpents, after which all who looked upon her were turned into stone. 2. [pl. Medusae (.] (Zoöl.)  Any free swimming acaleph; a jellyfish. Note: The larger medusæ belong to the Discophora, and are sometimes called covered-eyed medusæ; others, known as naked-eyed medusæ, belong to the Hydroidea, and are usually developed by budding from hidroids. See Discophora, Hydroidea, and Hydromedusa. Medusa bud (Zoöl.), one of the buds of a hydroid, destined to develop into a gonophore or medusa. See Athecata, and Gonotheca. -- Medusa's head. (a) (Zoöl.) An astrophyton. (b) (Astron.) A cluster of stars in the constellation Perseus. It contains the bright star Algol.
medusian |A medusa.
medusiform |Resembling a medusa in shape or structure.
medusoid |Like a medusa; having the fundamental structure of a medusa, but without a locomotive disk; -- said of the sessile gonophores of hydroids. -- n.  A sessile gonophore. See Illust. under Gonosome.
meech |See Mich. [Obs. or Colloq.]
meed |1. That which is bestowed or rendered in consideration of merit; reward; recompense. A rosy garland was the victor's meed. Spenser. 2. Merit or desert; worth. My meed hath got me fame. Shak. 3. A gift; also, a bride. [Obs.] Chaucer.\n\n1. To reward; to repay. [Obs.] Waytt. 2. To deserve; to merit. [Obs.] Heywood.
meedful |Worthy of meed, reward, or recompense; meritorious. \"Meedful works.\" Wiclif.
meedfully |According to merit; suitably.
meek |1. Mild of temper; not easily provoked or orritated; patient under injuries; not vain, or haughty, or resentful; forbearing; submissive. Not the man Moses was very meek. Num. xii. 3. 2. Evincing mildness of temper, or patience; characterized by mildness or patience; as, a meek answer; a meek face. \"Her meek prayer.\" Chaucer. Syn. -- Gentle; mild; soft; yielding; pacific; unassuming; humble. See Gentle.\n\nTo make meek; to nurture in gentleness and humility. [Obs.] Chaucer.
meeken |To make meek; to nurture in gentleness and humility. [Obs.] Chaucer.
meekly |In a meek manner. Spenser.
meekness |The quality or state of being meek.
meer |Simple; unmixed. See Mere, a. [Obs.]\n\nSee Mere, a lake.\n\nA boundary. See Mere.
meerkat |A South African carnivore (Cynictis penicillata), allied to the ichneumons.
meerschaum |1. (Min.)  A fine white claylike mineral, soft, and light enough when in dry masses to float in water. It is a hydrous silicate of magnesia, and is obtained chiefly in Asia Minor. It is manufacturd into tobacco pipes, cigar holders, etc. Also called sepiolite. 2. A tobacco pipe made of this mineral.
meet |1. To join, or come in contact with; esp., to come in contact with by approach from an opposite direction; to come upon or against, front to front, as distinguished from contact by following and overtaking. 2. To come in collision with; to confront in conflict; to encounter hostilely; as, they met the enemy and defeated them; the ship met opposing winds and currents. 3. To come into the presence of without contact; to come close to; to intercept; to come within the perception, influence, or recognition of; as, to meet a train at a junction; to meet carriages or persons in the street; to meet friends at a party; sweet sounds met the ear. His daughter came out to meet him. Judg. xi. 34. 4. To perceive; to come to a knowledge of; to have personal acquaintance with; to experience; to suffer; as, the eye met a horrid sight; he met his fate. Of vice or virtue, whether blest or curst, Which meets contempt, or which compassion first. Pope. 5. To come up to; to be even with; to equal; to match; to satisfy; to ansver; as, to meet one's expectations; the supply meets the demand. To meet half way, literally, to go half the distance between in order to meet (one); hence, figuratively, to yield or concede half of the difference in order to effect a compromise or reconciliation with.\n\n1. To come together by mutual approach; esp., to come in contact, or into proximity, by approach from opposite directions; to join; to come face to face; to come in close relationship; as, we met in the street; two lines meet so as to form an angle. O, when meet now Such pairs in love and mutual honor joined ! Milton. 2. To come together with hostile purpose; to have an encounter or conflict. Weapons more violent, when next we meet, May serve to better us and worse our foes. Milton. 3. To assemble together; to congregate; as, Congress meets on the first Monday of December. They . . . appointed a day to meet together. 2. Macc. xiv. 21. 4. To come together by mutual concessions; hence, to agree; to harmonize; to unite. To meet with. (a) To light upon; to find; to come to; -- often with the sense of unexpectedness. We met with many things worthy of observation. Bacon. (b) To join; to unite in company. Shak. (c) To suffer unexpectedly; as, to meet with a fall; to meet with a loss. (d) To encounter; to be subjected to. Prepare to meet with more than brutal fury From the fierce prince. Rowe. (e) To obviate. [Obs.] Bacon.\n\nAn assembling together; esp., the assembling of huntsmen for the hunt; also, the persons who so assemble, and the place of meeting.\n\nSuitable; fit; proper; appropriate; qualified; convenient. It was meet that we should make merry. Luke xv. 32. To be meet with, to be even with; to be equal to. [Obs.]\n\nMeetly. [Obs.] Shak.
meeten |To render fit. [R.]
meeter |One who meets.
meeth |, Mead. See Meathe. [Obs.] Chaucer.
meeting |1. A coming together; an assembling; as, the meeting of Congress. 2. A junction, crossing, or union; as, the meeting of the roads or of two rivers. 3. A congregation; a collection of people; a convention; as, a large meeting; an harmonius meeting. 4. An assembly for worship; as, to attend meeting on Sunday; -- in England, applied distinctively and disparagingly to the worshiping assemblies of Dissenters. Syn. -- Conference; assembly; company; convention; congregation; junction; confluence; union.
meetinghouse |A house used as a place of worship; a church; -- in England, applied only to a house so used by Dissenters.
meetly |Fitly; suitably; properly.
meetness |Fitness; suitableness; propriety.
meg- |Combining forms signifying: (a) Great, extended, powerful; as, megascope, megacosm. (b) (Metric System, Elec., Mech., etc.)  A million times, a million of; as, megameter, a million meters; megafarad, a million farads; megohm, a million ohms.
mega |Combining forms signifying: (a) Great, extended, powerful; as, megascope, megacosm. (b) (Metric System, Elec., Mech., etc.)  A million times, a million of; as, megameter, a million meters; megafarad, a million farads; megohm, a million ohms.
megacephalic |Large headed; -- applied to animals, and to plants when they have large flower heads.
megacephalous |Large headed; -- applied to animals, and to plants when they have large flower heads.
megaceros |The Irish elk.
megachile |A leaf-cutting bee of the genus Megachilus. See Leaf cutter, under Leaf.
megacosm |See Macrocosm. Croft.
megacoulomb |A million coulombs.
megaderm |Any one of several species of Old World blood-sucking bats of the genus Megaderma.
megadyne |One of the larger measures of force, amounting to one million dynes.
megafarad |One of the larger measures of electrical capacity, amounting to one million farads; a macrofarad.
megalerg |A million ergs; a megerg.
megalesian |Pertaining to, or in honor of, Cybele; as, the Megalesian games at Rome.
megalethoscope |An optical apparatus in which pictures are viewed through a large lens with stereoptical effects. It is often combined with the stereoscope.
megalith |A large stone; especially, a large stone used in ancient building. -- Meg`a*lith\"ic, a.
megalo- |Combining forms signifying: (a) Great, extended, powerful; as, megascope, megacosm. (b) (Metric System, Elec., Mech., etc.)  A million times, a million of; as, megameter, a million meters; megafarad, a million farads; megohm, a million ohms.\n\nSee Meg-.
megalocephalia |The condition of having an abnormally large head. -- Meg`a*lo*ce*phal\"ic (#), a.
megalocephaly |The condition of having an abnormally large head. -- Meg`a*lo*ce*phal\"ic (#), a.
megalocyte |A large, flattened corpuscle, twice the diameter of the ordinary red corpuscle, found in considerable numbers in the blood in profound anæmia.
megalomania |A form of mental alienation in which the patient has grandiose delusions.
megalonyx |An extinct quaternary mammal, of great size, allied to the sloth.
megalophonous |Having a loud voice.
megalopolis |A chief city; a metropolis. [R.]
megalops |1. A larva, in a stage following the zoëa, in the development of most crabs. In this stage the legs and abdominal appendages have appeared, the abdomen is relatively long, and the eyes are large. Also used adjectively. 2. A large fish; the tarpum.
megalopsychy |Greatness of soul. [Obs. & R.]
megalosaur |A gigantic carnivorous dinosaur, whose fossil remains have been found in England and elsewhere.
megalosaurus |A gigantic carnivorous dinosaur, whose fossil remains have been found in England and elsewhere.
megameter |1. An instrument for determining longitude by observation of the stars. 2. A micrometer. [R.] Knight.\n\nIn the metric system, one million meters, or one thousand kilometers.
megametre |In the metric system, one million meters, or one thousand kilometers.
megampere |A million ampères.
megaphone |A device to magnify sound, or direct it in a given direction in a greater volume, as a very large funnel used as an ear trumpet or as a speaking trumpet.
megaphyton |An extinct genus of tree ferns with large, two-ranked leaves, or fronds.
megapode |Any one of several species of large-footed, gallinaceous birds of the genera Megapodius and Leipoa, inhabiting Australia and other Pacific islands. See Jungle fowl (b) under Jungle, and Leipoa.
megapolis |A metropolis. [Obs.] Sir T. Herbert.
