debarrass |To disembarrass; to relieve. [R.]
debit |A debt; an entry on the debtor (Dr.) side of an account; -- mostly used adjectively; as, the debit side of an account.\n\n1. To charge with debt; -- the opposite of, and correlative to, credit; as, to debit a purchaser for the goods sold. 2. (Bookkeeping)  To enter on the debtor (Dr.) side of an account; as, to debit the amount of goods sold.
debitor |A debtor. [Obs.] Shak.
debituminization |The act of depriving of bitumen.
debituminize |To deprive of bitumen.
deblai |The cavity from which the earth for parapets, etc. (remblai), is taken.
debonair |Characterized by courteousness, affability, or gentleness; of good appearance and manners; graceful; complaisant. Was never prince so meek and debonair. Spenser.
debonairity |Debonairness. [Obs.] Chaucer.
debonairly |Courteously; elegantly.
debonairness |The quality of being debonair; good humor; gentleness; courtesy. Sterne.
debosh |To debauch. [Obs.] \"A deboshed lady.\" Beau. & Fl.
deboshment |Debauchment. [Obs.]
debouch |To march out from a wood, defile, or other confined spot, into open ground; to issue. Battalions debouching on the plain. Prescott.
debouche |A place for exit; an outlet; hence, a market for goods. The débouchés were ordered widened to afford easy egress. The Century.
debouchure |The outward opening of a river, of a valley, or of a strait.
debris |1. (Geol.)  Broken and detached fragments, taken collectively; especially, fragments detached from a rock or mountain, and piled up at the base. 2. Rubbish, especially such as results from the destruction of anything; remains; ruins.
debruised |Surmounted by an ordinary; as, a lion is debruised when a bend or other ordinary is placed over it, as in the cut. The lion of England and the lilies of France without the baton sinister, under which, according to the laws of heraldry, they where debruised in token of his illegitimate birth. Macaulay.
debt |1. That which is due from one person to another, whether money, goods, or services; that which one person is bound to pay to another, or to perform for his benefit; thing owed; obligation; liability. Your son, my lord, has paid a soldier's debt. Shak. When you run in debt, you give to another power over your liberty. Franklin. 2. A duty neglected or violated; a fault; a sin; a trespass. \"Forgive us our debts.\" Matt. vi. 12. 3. (Law)  An action at law to recover a certain specified sum of money alleged to be due. Burrill. Bond debt, Book debt, etc. See under Bond, Book, etc. -- Debt of nature, death.
debted |Indebted; obliged to. [R.] I stand debted to this gentleman. Shak.
debtee |One to whom a debt is due; creditor; -- correlative to debtor. Blackstone.
debtless |Free from debt. Chaucer.
debtor |One who owes a debt; one who is indebted; -- correlative to creditor. [I 'll] bring your latter hazard back again, And thankfully rest debtor for the first. Shak. In Athens an insolvent debtor became slave to his creditor. Mitford. Debtors for our lives to you. Tennyson.
debulliate |To boil over. [Obs.]
debullition |A bubbling or boiling over. [Obs.] Bailey.
deburse |To disburse. [Obs.] Ludlow.
debuscope |A modification of the kaleidoscope; -- used to reflect images so as to form beautiful designs.
debut |A beginning or first attempt; hence, a first appearance before the public, as of an actor or public speaker.
debutant |A person who makes his (or her) first appearance before the public.
debutante |A person who makes his (or her) first appearance before the public.
deca- |A prefix, from Gr. de`ka, signifying ten; specifically (Metric System), a prefix signifying the weight or measure that is ten times the principal unit.
decacerata |The division of Cephalopoda which includes the squids, cuttlefishes, and others having ten arms or tentacles; -- called also Decapoda. [Written also Decacera.] See Dibranchiata.
decachord |1. An ancient Greek musical instrument of ten strings, resembling the harp. 2. Something consisting of ten parts. W. Watson.
decachordon |1. An ancient Greek musical instrument of ten strings, resembling the harp. 2. Something consisting of ten parts. W. Watson.
decacuminated |Having the point or top cut off. [Obs.] Bailey.
decad |A decade. Averill was a decad and a half his elder. Tennyson.
decadal |Pertaining to ten; consisting of tens.
decade |A group or division of ten; esp., a period of ten years; a decennium; as, a decade of years or days; a decade of soldiers; the second decade of Livy. [Written also decad.] During this notable decade of years. Gladstone.
decadence |A falling away; decay; deterioration; declension. \"The old castle, where the family lived in their decadence.' Sir W. Scott.
decadency |A falling away; decay; deterioration; declension. \"The old castle, where the family lived in their decadence.' Sir W. Scott.
decadent |Decaying; deteriorating.
decadist |A writer of a book divided into decades; as, Livy was a decadist. [R.]
decagon |A plane figure having ten sides and ten angles; any figure having ten angles. A regular decagon is one that has all its sides and angles equal.
decagonal |Pertaining to a decagon; having ten sides.
decagram |A weight of the metric system; ten grams, equal to about 154.32 grains avoirdupois.
decagramme |A weight of the metric system; ten grams, equal to about 154.32 grains avoirdupois.
decagynia |A Linnæan order of plants characterized by having ten styles.
decagynian |Belonging to the Decagynia; having ten styles.
decahedral |Having ten sides.
decahedron |A solid figure or body inclosed by ten plane surfaces. [Written also, less correctly, decaedron.]
decalcification |The removal of calcareous matter.
decalcify |To deprive of calcareous matter; thus, to decalcify bones is to remove the stony part, and leave only the gelatin.
decalcomania |The art or process of transferring pictures and designs to china, glass, marble, etc., and permanently fixing them thereto.
decalcomanie |The art or process of transferring pictures and designs to china, glass, marble, etc., and permanently fixing them thereto.
decaliter |A measure of capacity in the metric system; a cubic volume of ten liters, equal to about 610.24 cubic inches, that is, 2.642 wine gallons.
decalitre |A measure of capacity in the metric system; a cubic volume of ten liters, equal to about 610.24 cubic inches, that is, 2.642 wine gallons.
decalog |Decalogue.
decalogist |One who explains the decalogue. J. Gregory.
decalogue |The Ten Commandments or precepts given by God to Moses on Mount Sinai, and originally written on two tables of stone.
decameron |A celebrated collection of tales, supposed to be related in ten days; -- written in the 14th century, by Boccaccio, an Italian.
decameter |A measure of length in the metric system; ten meters, equal to about 393.7 inches.
decametre |A measure of length in the metric system; ten meters, equal to about 393.7 inches.
decamp |1. To break up a camp; to move away from a camping ground, usually by night or secretly. Macaulay. 2. Hence, to depart suddenly; to run away; -- generally used disparagingly. The fathers were ordered to decamp, and the house was once again converted into a tavern. Goldsmith.
decampment |Departure from a camp; a marching off.
decanal |Pertaining to a dean or deanery. His rectorial as well as decanal residence. Churton. Decanal side, the side of the choir on which the dean's tall is placed. -- Decanal stall, the stall allotted to the dean in the choir, on the right or south side of the chancel. Shipley.
decandria |A Linnæan class of plants characterized by having ten stamens.
decandrian |Belonging to the Decandria; having ten stamens.
decandrous |Belonging to the Decandria; having ten stamens.
decane |A liquid hydrocarbon, C10H22, of the paraffin series, including several isomeric modifications.
decangular |Having ten angles.
decani |Used of the side of the choir on which the dean's stall is placed; decanal; -- correlative to cantoris; as, the decanal, or decani, side.
decant |To pour off gently, as liquor, so as not to disturb the sediment; or to pour from one vessel into another; as, to decant wine.
decantate |To decant. [Obs.]
decantation |The act of pouring off a clear liquor gently from its lees or sediment, or from one vessel into another.
decanter |1. A vessel used to decant liquors, or for receiving decanted liquors; a kind of glass bottle used for holding wine or other liquors, from which drinking glasses are filled. 2. One who decants liquors.
decaphyllous |Having ten leaves.
decapitate |1. To cut off the head of; to behead. 2. To remove summarily from office. [Colloq. U. S.]
decapitation |The act of beheading; beheading.
decapod |A crustacean with ten feet or legs, as a crab; one of the Decapoda. Also used adjectively.
decapoda |1. (Zoöl.)  The order of Crustacea which includes the shrimps, lobsters, crabs, etc. Note: They have a carapace, covering and uniting the somites of the head and thorax and inclosing a gill chamber on each side, and usually have five (rarely six) pairs of legs. They are divided into two principal groups: Brachyura and Macrura. Some writers recognize a third (Anomura) intermediate between the others. 2. (Zoöl.)  A division of the dibranchiate cephalopods including the cuttlefishes and squids. See Decacera.
decapodal |Belonging to the decapods; having ten feet; ten-footed.
decapodous |Belonging to the decapods; having ten feet; ten-footed.
decarbonate |To deprive of carbonic acid.
decarbonization |The action or process of depriving a substance of carbon.
decarbonize |To deprive of carbon; as, to decarbonize steel; to decarbonize the blood. Decarbonized iron. See Malleable iron. -- Decarbonized steel, homogenous wrought iron made by a steel process, as that of Bessemer; ingot iron.
decarbonizer |He who, or that which, decarbonizes a substance.
decarburization |The act, process, or result of decarburizing.
decarburize |To deprive of carbon; to remove the carbon from.
decard |To discard. [Obs.] You have cast those by, decarded them. J. Fletcher.
decardinalize |To depose from the rank of cardinal.
decastere |A measure of capacity, equal to ten steres, or ten cubic meters.
decastich |A poem consisting of ten lines.
decastyle |Having ten columns in front; -- said of a portico, temple, etc. -- n.  A portico having ten pillars or columns in front.
decasyllabic |Having, or consisting of, ten syllables.
decathlon |In the modern Olympic Games, a composite contest consisting of a 100-meter run, a broad jump, putting the shot, a running high-jump, a 400-meter run, throwing the discus, a 100-meter hurdle race, pole vaulting, throwing the javelin, and a 1500-meter run.
decatoic |Pertaining to, or derived from, decane.
decay |To pass gradually from a sound, prosperous, or perfect state, to one of imperfection, adversity, or dissolution; to waste away; to decline; to fail; to become weak, corrupt, or disintegrated; to rot; to perish; as, a tree decays; fortunes decay; hopes decay. Ill fares the land, to hastening ills a prey, Where wealth accumulates and men decay. Goldsmith.\n\n1. To cause to decay; to impair. [R.] Infirmity, that decays the wise. Shak. 2. To destroy. [Obs.] Shak.\n\n1. Gradual failure of health, strength, soundness, prosperity, or of any species of excellence or perfection; tendency toward dissolution or extinction; corruption; rottenness; decline; deterioration; as, the decay of the body; the decay of virtue; the decay of the Roman empire; a castle in decay. Perhaps my God, though he be far before, May turn, and take me by the hand, and more -May strengthen my decays. Herbert. His [Johnson's] failure was not to be ascribed to intellectual decay. Macaulay. Which has caused the decay of the consonants to follow somewhat different laws. James Byrne. 2. Destruction; death. [Obs.] Spenser. 3. Cause of decay. [R.] He that plots to be the only figure among ciphers, is the decay of the whole age. Bacon. Syn. -- Decline; consumption. See Decline.
decayed |Fallen, as to physical or social condition; affected with decay; rotten; as, decayed vegetation or vegetables; a decayed fortune or gentleman. -- De*cay\"ed*ness, n.
decayer |A causer of decay. [R.]
deccagynous |Belonging to the Decagynia; having ten styles.
decease |Departure, especially departure from this life; death. His decease, which he should accomplish at Jerusalem. Luke ix. 31. And I, the whilst you mourn for his decease, Will with my mourning plaints your plaint increase. Spenser. Syn. -- Death; departure; dissolution; demise; release. See Death.\n\nTo depart from this life; to die; to pass away. She's dead, deceased, she's dead. Shak. When our summers have deceased. Tennyson. Inasmuch as he carries the malignity and the lie with him, he so far deceases from nature. Emerson.
deceased |Passed away; dead; gone. The deceased, the dead person.
decede |To withdraw. [Obs.] Fuller.
decedent |Removing; departing. Ash.\n\nA deceased person. Bouvier.
deceit |1. An attempt or disposition to deceive or lead into error; any declaration, artifice, or practice, which misleads another, or causes him to believe what is false; a contrivance to entrap; deception; a wily device; fraud. Making the ephah small and the shekel great, and falsifying the balances by deceit. Amos viii. 5. Friendly to man, far from deceit or guile. Milton. Yet still we hug the dear deceit. N. Cotton. 2. (Law)  Any trick, collusion, contrivance, false representation, or underhand practice, used to defraud another. When injury is thereby effected, an action of deceit, as it called, lies for compensation. Syn. -- Deception; fraud; imposition; duplicity; trickery; guile; falsifying; double-dealing; stratagem. See Deception.
deceitful |Full of, or characterized by, deceit; serving to mislead or insnare; trickish; fraudulent; cheating; insincere. Harboring foul deceitful thoughts. Shak.
deceitfully |With intent to deceive.
deceitfulness |1. The disposition to deceive; as, a man's deceitfulness may be habitual. 2. The quality of being deceitful; as, the deceitfulness of a man's practices. 3. Tendency to mislead or deceive. \"The deceitfulness of riches.\" Matt. xiii. 22.
deceitless |Free from deceit. Bp. Hall.
deceivable |1. Fitted to deceive; deceitful. [Obs.] The fraud of deceivable traditions. Milton. 2. Subject to deceit; capable of being misled. Blind, and thereby deceivable. Milton.
deceivableness |1. Capability of deceiving. With all deceivableness of unrighteousness. 2 Thess. ii. 10. 2. Liability to be deceived or misled; as, the deceivableness of a child.
deceivably |In a deceivable manner.
deceive |1. To lead into error; to cause to believe what is false, or disbelieve what is true; to impose upon; to mislead; to cheat; to disappoint; to delude; to insnare. Evil men and seducers shall wax worse and worse, deceiving, and being deceived. 2 Tim. iii. 13. Nimble jugglers that deceive the eye. Shak. What can 'scape the eye Of God all-seeing, or deceive his heart Milton. 2. To beguile; to amuse, so as to divert the attention; to while away; to take away as if by deception. These occupations oftentimes deceived The listless hour. Wordsworth. 3. To deprive by fraud or stealth; to defraud. [Obs.] Plant fruit trees in large borders, and set therein fine flowers, but thin and sparingly, lest they deceive the trees. Bacon. Syn. -- Deceive, Delude, Mislead. Deceive is a general word applicable to any kind of misrepresentation affecting faith or life. To delude, primarily, is to make sport of, by deceiving, and is accomplished by playing upon one's imagination or credulity, as by exciting false hopes, causing him to undertake or expect what is impracticable, and making his failure ridiculous. It implies some infirmity of judgment in the victim, and intention to deceive in the deluder. But it is often used reflexively, indicating that a person's own weakness has made him the sport of others or of fortune; as, he deluded himself with a belief that luck would always favor him. To mislead is to lead, guide, or direct in a wrong way, either willfully or ignorantly.
deceiver |One who deceives; one who leads into error; a cheat; an impostor. The deceived and the deceiver are his. Job xii. 16. Syn. -- Deceiver, Impostor. A deceiver operates by stealth and in private upon individuals; an impostor practices his arts on the community at large. The one succeeds by artful falsehoods, the other by bold assumption. The faithless friend and the fickle lover are deceivers; the false prophet and the pretended prince are impostors.
december |1. The twelfth and last month of the year, containing thirty-one days. During this month occurs the winter solstice. 2. Fig.: With reference to the end of the year and to the winter season; as, the December of his life.
decembrist |One of those who conspired for constitutional government against the Emperor Nicholas on his accession to the throne at the death of Alexander I., in December, 1825; -- called also Dekabrist. He recalls the history of the decembrists . . . that gallant band of revolutionists. G. Kennan.
decemdentate |Having ten points or teeth.
decemfid |Cleft into ten parts.
decemlocular |Having ten cells for seeds.
decempedal |1. Ten feet in length. 2. (Zoöl.)  Having ten feet; decapodal. [R.] Bailey.
decemvir |1. One of a body of ten magistrates in ancient Rome. Note: The title of decemvirs was given to various bodies of Roman magistrates. The most celebrated decemvirs framed \"the laws of the Twelve Tables,\" about 450 B. C., and had absolute authority for three years. 2. A member of any body of ten men in authority.
decemviral |Pertaining to the decemvirs in Rome.
decemvirate |1. The office or term of office of the decemvirs in Rome. 2. A body of ten men in authority.
decemvirship |The office of a decemvir. Holland.
decence |Decency. [Obs.] Dryden.
decency |1. The quality or state of being decent, suitable, or becoming, in words or behavior; propriety of form in social intercourse, in actions, or in discourse; proper formality; becoming ceremony; seemliness; hence, freedom from obscenity or indecorum; modesty. Observances of time, place, and of decency in general. Burke. Immodest words admit of no defense, For want of decency is want of sense. Roscommon. 2. That which is proper or becoming. The external decencies of worship. Atterbury. Those thousand decencies, that daily flow From all her words and actions. Milton.
decene |One of the higher hydrocarbons, C10H20, of the ethylene series.
decennary |1. A period of ten years. 2. (O. Eng. Law)  A tithing consisting of ten neighboring families. Burrill.
decennial |Consisting of ten years; happening every ten years; as, a decennial period; decennial games. Hallam.\n\nA tenth year or tenth anniversary.
decennium |A period of ten years. \"The present decennium.\" Hallam. \"The last decennium of Chaucer's life.\" A. W. Ward.
decennoval |Pertaining to the number nineteen; of nineteen years. [R.] Holder.
decennovary |Pertaining to the number nineteen; of nineteen years. [R.] Holder.
decent |1. Suitable in words, behavior, dress, or ceremony; becoming; fit; decorous; proper; seemly; as, decent conduct; decent language. Shak. Before his decent steps. Milton. 2. Free from immodesty or obscenity; modest. 3. Comely; shapely; well-formed. [Archaic] A sable stole of cyprus lawn Over thy decent shoulders drawn. Milton. By foreign hands thy decent limbs composed. Pope. 4. Moderate, but competent; sufficient; hence, respectable; fairly good; reasonably comfortable or satisfying; as, a decent fortune; a decent person. A decent retreat in the mutability of human affairs. Burke. -- De\"cent*ly, adv. -- De\"cent*ness, n.
decentralization |The action of decentralizing, or the state of being decentralized. \"The decentralization of France.\" J. P. Peters.
decentralize |To prevent from centralizing; to cause to withdraw from the center or place of concentration; to divide and distribute (what has been united or concentrated); -- esp. said of authority, or the administration of public affairs.
deceptible |Capable of being deceived; deceivable. Sir T. Browne. -- De*cep`ti*bil\"i*ty (, n.
deception |1. The act of deceiving or misleading. South. 2. The state of being deceived or misled. There is one thing relating either to the action or enjoyments of man in which he is not liable to deception. South. 3. That which deceives or is intended to deceive; false representation; artifice; cheat; fraud. There was of course room for vast deception. Motley. Syn. -- Deception, Deceit, Fraud, Imposition. Deception usually refers to the act, and deceit to the habit of the mind; hence we speak of a person as skilled in deception and addicted to deceit. The practice of deceit springs altogether from design, and that of the worst kind; but a deception does not always imply aim and intention. It may be undesigned or accidental. An imposition is an act of deception practiced upon some one to his annoyance or injury; a fraud implies the use of stratagem, with a view to some unlawful gain or advantage.
deceptious |Tending deceive; delusive. [R.] As if those organs had deceptious functions. Shak.
deceptive |Tending to deceive; having power to mislead, or impress with false opinions; as, a deceptive countenance or appearance. Language altogether deceptive, and hiding the deeper reality from our eyes. Trench. Deceptive cadence (Mus.), a cadence on the subdominant, or in some foreign key, postponing the final close.
deceptively |In a manner to deceive.
deceptiveness |The power or habit of deceiving; tendency or aptness to deceive.
deceptivity |Deceptiveness; a deception; a sham. [R.] Carlyle.
deceptory |Deceptive. [R.]
decern |1. To perceive, discern, or decide. [Obs.] Granmer. 2. (Scots Law)  To decree; to adjudge.
decerniture |A decree or sentence of a court. Stormonth.
decerp |To pluck off; to crop; to gather. [Obs.]
decerpt |Plucked off or away. [Obs.]
decerptible |That may be plucked off, cropped, or torn away. [Obs.] Bailey.
decerption |1. The act of plucking off; a cropping. 2. That which is plucked off or rent away; a fragment; a piece. Glanvill.
decertation |Contest for mastery; contention; strife. [R.] Arnway.
decession |Departure; decrease; -- opposed to accesion. [Obs.] Jer. Taylor.
decharm |To free from a charm; to disenchant.
dechristianize |To turn from, or divest of, Christianity.
deciare |A measure of area, the tenth part of an are; ten square meters.
decidable |Capable of being decided; determinable.
decide |1. To cut off; to separate. [Obs.] Our seat denies us traffic here; The sea, too near, decides us from the rest. Fuller. 2. To bring to a termination, as a question, controversy, struggle, by giving the victory to one side or party; to render judgment concerning; to determine; to settle. So shall thy judgment be; thyself hast decided it. 1 Kings xx. 40. The quarrel toucheth none but us alone; Betwixt ourselves let us decide it then. Shak.\n\nTo determine; to form a definite opinion; to come to a conclusion; to give decision; as, the court decided in favor of the defendant. Who shall decide, when doctors disagree Pope.
decided |1. Free from ambiguity; unequivocal; unmistakable; unquestionable; clear; evident; as, a decided advantage. \"A more decided taste for science.\" Prescott. 2. Free from doubt or wavering; determined; of fixed purpose; fully settled; positive; resolute; as, a decided opinion or purpose. Syn. -- Decided, Decisive. We call a thing decisive when it has the power or quality of deciding; as, a decisive battle; we speak of it as decided when it is so fully settled as to leave no room for doubt; as, a decided preference, a decided aversion. Hence, a decided victory is one about which there is no question; a decisive victory is one which ends the contest. Decisive is applied only to things; as, a decisive sentence, a decisive decree, a decisive judgment. Decided is applied equally to persons and things. Thus we speak of a man as decided in his whole of conduct; and as having a decided disgust, or a decided reluctance, to certain measures. \"A politic caution, a guarded circumspection, were among the ruling principles of our forefathers in their most decided conduct.\" Burke. \"The sentences of superior judges are final, decisive, and irrevocable. Blackstone.
decidedly |In a decided manner; indisputably; clearly; thoroughly.
decidement |Means of forming a decision. [Obs.] Beau. & Fl.
decidence |A falling off. [R.] Sir T. Browne.
decider |One who decides.
decidua |The inner layer of the wall of the uterus, which envelops the embryo, forms a part of the placenta, and is discharged with it.
deciduata |A group of Mammalia in which a decidua is thrown off with, or after, the fetus, as in the human species.
deciduate |Possessed of, or characterized by, a decidua.
deciduity |Deciduousness. [R.]
deciduous |Falling off, or subject to fall or be shed, at a certain season, or a certain stage or interval of growth, as leaves (except of evergreens) in autumn, or as parts of animals, such as hair, teeth, antlers, etc.; also, shedding leaves or parts at certain seasons, stages, or intervals; as, deciduous trees; the deciduous membrane.
deciduousness |The quality or state of being deciduous.
decigram |A weight in the metric system; one tenth of a gram, equal to 1.5432 grains avoirdupois.
decigramme |A weight in the metric system; one tenth of a gram, equal to 1.5432 grains avoirdupois.
decil |An aspect or position of two planets, when they are distant from each other a tenth part of the zodiac, or 36º.
decile |An aspect or position of two planets, when they are distant from each other a tenth part of the zodiac, or 36º.
deciliter |A measure of capacity or volume in the metric system; one tenth of a liter, equal to 6.1022 cubic inches, or 3.38 fluid ounces.
decilitre |A measure of capacity or volume in the metric system; one tenth of a liter, equal to 6.1022 cubic inches, or 3.38 fluid ounces.
decillion |According to the English notation, a million involved to the tenth power, or a unit with sixty ciphers annexed; according to the French and American notation, a thousand involved to the eleventh power, or a unit with thirty-three ciphers annexed. [See the Note under Numeration.]
decillionth |Pertaining to a decillion, or to the quotient of unity divided by a decillion.\n\n(a) The quotient of unity divided by a decillion. (b) One of a decillion equal parts.
decimal |Of or pertaining to decimals; numbered or proceeding by tens; having a tenfold increase or decrease, each unit being ten times the unit next smaller; as, decimal notation; a decimal coinage. Decimal arithmetic, the common arithmetic, in which numeration proceeds by tens. -- Decimal fraction, a fraction in which the denominator is some power of 10, as -- Decimal point, a dot or full stop at the left of a decimal fraction. The figures at the left of the point represent units or whole numbers, as 1.05.\n\nA number expressed in the scale of tens; specifically, and almost exclusively, used as synonymous with a decimal fraction. Circulating, or Circulatory, decimal, a decimal fraction in which the same figure, or set of figures, is constantly repeated; as, 0.354354354; -- called also recurring decimal, repeating decimal, and repetend.
decimalism |The system of a decimal currency, decimal weights, measures, etc.
decimalize |To reduce to a decimal system; as, to decimalize the currency. -- Dec`i*mal*i*za\"tion, n.
decimally |By tens; by means of decimals.
decimate |1. To take the tenth part of; to tithe. Johnson. 2. To select by lot and punish with death every tenth man of; as, to decimate a regiment as a punishment for mutiny. Macaulay. 3. To destroy a considerable part of; as, to decimate an army in battle; to decimate a people by disease.
decimation |1. A tithing. [Obs.] State Trials (1630). 2. A selection of every tenth person by lot, as for punishment. Shak. 3. The destruction of any large proportion, as of people by pestilence or war. Milman.
decimator |One who decimates. South.
decime |A French coin, the tenth part of a franc, equal to about two cents.
decimeter |A measure of length in the metric system; one tenth of a meter, equal to 3.937 inches.
decimetre |A measure of length in the metric system; one tenth of a meter, equal to 3.937 inches.
decimosexto |A book consisting of sheets, each of which is folded into sixteen leaves; hence, indicating, more or less definitely, a size of book; -- usually written 16mo or 16º.\n\nHaving sixteen leaves to a sheet; as, a decimosexto form, book, leaf, size.
decine |One of the higher hydrocarbons, C10H15, of the acetylene series; -- called also decenylene.
decipher |1. To translate from secret characters or ciphers into intelligible terms; as, to decipher a letter written in secret characters. 2. To find out, so as to be able to make known the meaning of; to make out or read, as words badly written or partly obliterated; to detect; to reveal; to unfold. 3. To stamp; to detect; to discover. [R.] You are both deciphered, . . . For villains. Shak.
decipherable |Capable of being deciphered; as, old writings not decipherable.
decipherer |One who deciphers.
decipheress |A woman who deciphers.
decipherment |The act of deciphering.
decipiency |State of being deceived; hallucination. [Obs.] Sir T. Browne.
decipium |A supposed rare element, said to be associated with cerium, yttrium, etc., in the mineral samarskite, and more recently called samarium. Symbol Dp. See Samarium.
