shewer |One who shews. See Shower.
shifty |Full of, or ready with, shifts; fertile in expedients or contrivance. Wright. Shifty and thrifty as old Greek or modern Scot, there were few things he could not invent, and perhaps nothing he could not endure. C. Kingsley.
shiite |A member of that branch of the Mohammedans to which the Persians belong. They reject the first three caliphs, and consider Ali as being the first and only rightful successor of Mohammed. They do not acknowledge the Sunna, or body of traditions respecting Mohammed, as any part of the law, and on these accounts are treated as heretics by the Sunnites, or orthodox Mohammedans.
shikaree |A sportsman; esp., a native hunter. [India]
shikari |A sportsman; esp., a native hunter. [India]
shilf |Straw. [Obs.]
shilfa |The chaffinch; -- so named from its call note. [Prov. Eng.]
shill |To shell. [Obs. or Prov. Eng.]\n\nTo put under cover; to sheal. [Prov.ng.] Brockett.
shill-i-shall-i |In an irresolute, undecided, or hesitating manner. I am somewhat dainty in making a resolution, because when I make it, I keep it; I don't stand shill-I-shall-I then; if I say 't, I'll do 't. Congreve.
shillalah |An oaken sapling or cudgel; any cudgel; -- so called from Shillelagh, a place in Ireland of that name famous for its oaks. [Irish] [Written also shillaly, and shillely.]
shillelah |An oaken sapling or cudgel; any cudgel; -- so called from Shillelagh, a place in Ireland of that name famous for its oaks. [Irish] [Written also shillaly, and shillely.]
shilling |1. A silver coin, and money of account, of Great Britain and its dependencies, equal to twelve pence, or the twentieth part of a pound, equivalent to about twenty-four cents of the United States currency. 2. In the United States, a denomination of money, differing in value in different States. It is not now legally recognized. Note: Many of the States while colonies had issued bills of credit which had depreciated in different degrees in the different colonies. Thus, in New England currency (used also in Virginia, Kentucky, Tennessee, Indiana, Illinois, Missouri, Mississippi, Alabama, and Florida), after the adoption of the decimal system, the pound in paper money was worth only $3.333, and the shilling 16 Am. Cyc. 3. The Spanish real, of the value of one eight of a dollar, or 12 York shilling. Same as Shilling, 3.
shilly-shally |In an irresolute, undecided, or hesitating manner. I am somewhat dainty in making a resolution, because when I make it, I keep it; I don't stand shill-I-shall-I then; if I say 't, I'll do 't. Congreve.\n\nTo hesitate; to act in an irresolute manner; hence, to occupy one's self with trifles.\n\nIrresolution; hesitation; also, occupation with trifles. She lost not one of her forty-five minutes in picking and choosing, - - no shilly-shally in Kate. De Quincey.
shiloh |A word used by Jacob on his deathbed, and interpreted variously, as \"the Messiah,\" or as the city \"Shiloh,\" or as \"Rest.\",
  "polyandric |Pertaining to, or characterized by, polyandry; mating with several males. \"Polyandric societies.\" H. Spencer.
shily |See Shyly.
shim |1. A kind of shallow plow used in tillage to break the ground, and clear it of weeds. 2. (Mach.)  A thin piece of metal placed between two parts to make a fit.
shimmer |To shine with a tremulous or intermittent light; to shine faintly; to gleam; to glisten; to glimmer. The shimmering glimpses of a stream. Tennyson.\n\nA faint, tremulous light; a gleaming; a glimmer. TWo silver lamps, fed with perfumed oil, diffused . . . a trembling twilight-seeming shimmer through the quiet apartment. Sir W. Scott.
shimmering |A gleam or glimmering. \"A little shimmering of a light.\" Chaucer.
shimmy |A chemise. [Colloq.]
shin |1. The front part of the leg below the knee; the front edge of the shin bone; the lower part of the leg; the shank. \"On his shin.\" Chaucer. 2. (Railbroad)  A fish plate for rails. Knight. Shin bone (Anat.), the tibia. -- Shin leaf (Bot.), a perennial ericaceous herb (Pyrola elliptica) with a cluster of radical leaves and a raceme of greenish white flowers.\n\n1. To climb a mast, tree, rope, or the like, by embracing it alternately with the arms and legs, without help of steps, spurs, or the like; -- used with up; as, to shin up a mast. [Slang] 2. To run about borrowing money hastily and temporarily, as for the payment of one's notes at the bank. [Slang, U.S.] Bartlett.\n\nTo climb (a pole, etc.) by shinning up. [Slang]
shin shu |The leading and most progressive Buddhist sect of Japan, resting its faith rather upon Amida than Gautama Buddha. Rites and ceremonies are held useless without uprightness.
shindle |A shingle; also, a slate for roofing. [Obs.] Holland.\n\nTo cover or roof with shindles. [Obs.]
shindy |1. An uproar or disturbance; a spree; a row; a riot. [Slang] Thackeray. 2. Hockey; shinney. Bartlett. 3. A fancy or liking. [Local, U. S.] Bartlett.
shine |1. To emit rays of light; to give light; to beam with steady radiance; to exhibit brightness or splendor; as, the sun shines by day; the moon shines by night. Hyperion's quickening fire doth shine. Shak. God, who commanded the light to shine out of darkness, hath shined in our hearts, to give the light of the knowledge of the glory of God in the face of Jesus Cghrist. 2 Cor. iv. 6. Let thine eyes shine forth in their full luster. Denham. 2. To be bright by reflection of light; to gleam; to be glossy; as, to shine like polished silver. 3. To be effulgent in splendor or beauty. \"So proud she shined in her princely state.\" Spenser. Once brightest shined this child of heat and air. Pope. 4. To be eminent, conspicuous, or distinguished; to exhibit brilliant intellectual powers; as, to shine in courts; to shine in conversation. Few are qualified to shine in company; but it in most men's power to be agreeable. Swift. To make, or cause, the face to shine upon, to be propitious to; to be gracious to. Num. vi. 25.\n\n1. To cause to shine, as a light. [Obs.] He [God] doth not rain wealth, nor shine honor and virtues, upon men equally. Bacon. 2. To make bright; to cause to shine by reflected light; as, in hunting, to shine the eyes of a deer at night by throwing a light on them. [U. S.] Bartlett.\n\n1. The quality or state of shining; brightness; luster, gloss; polish; sheen. Now sits not girt with taper's holy shine. Milton. Fair opening to some court's propitious shine. Pope. The distant shine of the celestial city. Hawthorne. 2. Sunshine; fair weather. Be it fair or foul, or rain or shine. Dryden. 3. A liking for a person; a fancy. [Slang, U.S.] 4. Caper; antic; row. [Slang] To cut up shines, to play pranks. [Slang, U.S.]\n\nShining; sheen. [Obs.] Spenser.
shiner |That which shines. Specifically: (a) A luminary. (b) A bright piece of money. [Slang] Has she the shiners, d' ye think Foote. black eye. (c) (Zoöl.) Any one of numerous species of small freshwater American cyprinoid fishes, belonging to Notropis, or Minnilus, and allied genera; as the redfin (Notropis megalops), and the golden shiner (Notemigonus chrysoleucus) of the Eastern United States; also loosely applied to various other silvery fishes, as the dollar fish, or horsefish, menhaden, moonfish, sailor's choice, and the sparada. (d) (Zoöl.)  The common Lepisma, or furniture bug. Blunt-nosed shiner (Zoöl.), the silver moonfish.
shiness |See Shyness.
shingle |Round, water-worn, and loose gravel and pebbles, or a collection of roundish stones, such as are common on the seashore and elsewhere.\n\n1. A piece of wood sawed or rived thin and small, with one end thinner than the other, -- used in covering buildings, especially roofs, the thick ends of one row overlapping the thin ends of the row below. I reached St. Asaph, . . . where there is a very poor cathedral church covered with shingles or tiles. Ray. 2. A sign for an office or a shop; as, to hang out one's shingle. [Jocose, U. S.] Shingle oak (Bot.), a kind of oak (Quercus imbricaria) used in the Western States for making shingles.\n\n1. To cover with shingles; as, to shingle a roof. They shingle their houses with it. Evelyn. 2. To cut, as hair, so that the ends are evenly exposed all over the head, as shingles on a roof.\n\nTo subject to the process of shindling, as a mass of iron from the pudding furnace.
shingler |1. One who shingles. 2. A machine for shingling puddled iron.
shingles |A kind of herpes (Herpes zoster) which spreads half way around the body like a girdle, and is usually attended with violent neuralgic pain.
shingling |1. The act of covering with shingles; shingles, collectively; a covering made of shingles. 2. (Metal)  The process of expelling scoriæ and other impurities by hammering and squeezing, in the production of wrought iron. Shingling hammer, a ponderous hammer moved by machinery, used in shingling puddled iron. -- Shingling mill, a mill or forge where puddled iron is shingled.
shingly |Abounding with shingle, or gravel.
shinhopple |The hobblebush.
shining |1. Emitting light, esp. in a continuous manner; radiant; as, shining lamps; also, bright by the reflection of light; as, shining armor. \"Fish . . . with their fins and shining scales.\" Milton. 2. Splendid; illustrious; brilliant; distinguished; conspicious; as, a shining example of charity. 3. Having the surface smooth and polished; -- said of leaves, the surfaces of shells, etc. Syn. -- Glistening; bright; radiant; resplendent; effulgent; lustrous; brilliant; glittering; splendid; illustrious. -- Shining, Brilliant, Sparking. Shining describes the steady emission of a strong light, or the steady reflection of light from a clear or polished surface. Brilliant denotes a shining of great brightness, but with gleams or flashes. Sparkling implies a fitful, intense shining from radiant points or sparks, by which the eye is dazzled. The same distinctions obtain when these epithets are figuratively applied. A man of shining talents is made conspicious by possessing them; if they flash upon the mind with a peculiarly striking effect, we call them brilliant; if his brilliancy is marked by great vivacity and occasional intensity, he is sparkling. True paradise . . . inclosed with shining rock. Milton. Some in a brilliant buckle bind her waist, Some round her neck a circling light display. Gay. His sparkling blade about his head he blest. Spenser.\n\nEmission or reflection of light.
shiningness |Brightness. J. Spence.
shinney |The game of hockey; -- so called because of the liability of the players to receive blows on the shin. Halliwell.
shinplaster |Formerly, a jocose term for a bank note greatly depreciated in value; also, for paper money of a denomination less than a dollar. [U. S.]
shintiism |One of the two great systems of religious belief in Japan. Its essence is ancestor worship, and sacrifice to dead heroes. [Written also Sintu, and Sintuism.]
shintiyan |A kind of wide loose drawers or trousers worn by women in Mohammedan countries.
shinto |One of the two great systems of religious belief in Japan. Its essence is ancestor worship, and sacrifice to dead heroes. [Written also Sintu, and Sintuism.]
shintoist |An adherent of Shintoism.
shinty |A Scotch game resembling hockey; also, the club used in the game. Jamieson.
shintyan |A kind of wide loose drawers or trousers worn by women in Mohammedan countries.
shiny |Bright; luminous; clear; unclouded. Like distant thunder on a shiny day. Dryden.
ship |Pay; reward. [Obs.] In withholding or abridging of the ship or the hire or the wages of servants. Chaucer.\n\n1. Any large seagoing vessel. Like a stately ship . . . With all her bravery on, and tackle trim, Sails filled, and streamers waving. Milton. Thou, too, sail on, O Ship of State! Longfellow. 2. Specifically, a vessel furnished with a bowsprit and three masts (a mainmast, a foremast, and a mizzenmast), each of which is composed of a lower mast, a topmast, and a topgallant mast, and square-rigged on all masts. See Illustation in Appendix. l Port or Larboard Side; s Starboard Side; 1 Roundhouse or Deck House; 2 Tiller; 3 Grating; 4 Wheel; 5 Wheel Chains; 6 Binnacle; 7 Mizzenmast; 8 Skylight; 9 Capstan; 10 Mainmast; 11 Pumps; 12 Galley or Caboose; 13 Main Hatchway; 14 Windlass; 15 Foremast; 16 Fore Hatchway; 17 Bitts; 18 Bowsprit; 19 Head Rail; 20 Boomkins; 21 Catheads on Port Bow and Starboard Bow; 22 Fore Chains; 23 Main Chains; 24 Mizzen Chains; 25 Stern. 1 Fore Royal Stay; 2 Flying Jib Stay; 3 Fore Topgallant Stay;4 Jib Stay; 5 Fore Topmast Stays; 6 Fore Tacks; 8 Flying Martingale; 9 Martingale Stay, shackled to Dolphin Striker; 10 Jib Guys; 11 Jumper Guys; 12 Back Ropes; 13 Robstays; 14 Flying Jib Boom; 15 Flying Jib Footropes; 16 Jib Boom; 17 Jib Foottropes; 18 Bowsprit; 19 Fore Truck; 20 Fore Royal Mast; 21 Fore Royal Lift; 22 Fore Royal Yard; 23 Fore Royal Backstays; 24 Fore Royal Braces; 25 Fore Topgallant Mast and Rigging; 26 Fore Topgallant Lift; 27 Fore Topgallant Yard; 28 Fore Topgallant Backstays; 29 Fore Topgallant Braces; 30 Fore Topmast and Rigging; 31 Fore Topsail Lift; 32 Fore Topsail Yard; 33 Fore Topsail Footropes; 34 Fore Topsail Braces; 35 Fore Yard; 36 Fore Brace; 37 Fore Lift; 38 Fore Gaff; 39 Fore Trysail Vangs; 40 Fore Topmast Studding-sail Boom; 41 Foremast and Rigging; 42 Fore Topmast Backstays; 43 Fore Sheets; 44 Main Truck and Pennant; 45 Main Royal Mast and Backstay; 46 Main Royal Stay; 47 Main Royal Lift; 48 Main Royal Yard; 49 Main Royal Braces; 50 Main Topgallant Mast and Rigging; 51 Main Topgallant Lift; 52 Main Topgallant Backstays; 53 Main Topgallant Yard; 54 Main Topgallant Stay; 55 Main Topgallant Braces; 56 Main Topmast and Rigging; 57 Topsail Lift; 58 Topsail Yard; 59 Topsail Footropes; 60 Topsail Braces; 61 Topmast Stays; 62 Main Topgallant Studding-sail Boom; 63 Main Topmast Backstay; 64 Main Yard; 65 Main Footropes; 66 Mainmast and Rigging; 67 Main Lift; 68 Main Braces; 69 Main Tacks; 70 Main Sheets; 71 Main Trysail Gaff; 72 Main Trysail Vangs; 73 Main Stays; 74 Mizzen Truck; 75 Mizzen Royal Mast and Rigging; 76 Mizzen Royal Stay; 77 Mizzen Royal Lift; 78 Mizzen Royal Yard; 79 Mizzen Royal Braces; 80 Mizzen Topgallant Mast and Rigging; 81 Mizzen Topgallant Lift; 82 Mizzen Topgallant Backstays; 83 Mizzen Topgallant Braces; 84 Mizzen Topgallant Yard; 85 Mizzen Topgallant Stay; 86 Mizzen Topmast and Rigging; 87 Mizzen Topmast Stay; 88 Mizzen Topsail Lift; 89 Mizzen Topmast Backstays; 90 Mizzen Topsail Braces; 91 Mizzen Topsail Yard; 92 Mizzen Topsail Footropes; 93 Crossjack Yard; 94 Crossjack Footropes; 95 Crossjack Lift; 96 Crossjack Braces; 97 Mizzenmast and Rigging; 98 Mizzen Stay; 99 Spanker Gaff; 100 Peak Halyards; 101 Spanker Vangs; 102 Spanker Boom; 103 Spanker Boom Topping Lift; 104 Jacob's Ladder, or Stern Ladder; 105 Spanker Sheet; 106 Cutwater; 107 Starboard Bow; 108 Starboard Beam; 109 Water Line; 110 Starboard Quarter; 111 Rudder. 3. A dish or utensil (originally fashioned like the hull of a ship) used to hold incense. [Obs.] Tyndale. Armed ship, a private ship taken into the service of the government in time of war, and armed and equipped like a ship of war. [Eng.] Brande & C. -- General ship. See under General. -- Ship biscuit, hard biscuit prepared for use on shipboard; -- called also ship bread. See Hardtack. -- Ship boy, a boy who serves in a ship. \"Seal up the ship boy's eyes.\" Shak. -- Ship breaker, one who breaks up vessels when unfit for further use. -- Ship broker, a mercantile agent employed in buying and selling ships, procuring cargoes, etc., and generally in transacting the business of a ship or ships when in port. -- Ship canal, a canal suitable for the passage of seagoing vessels. -- Ship carpenter, a carpenter who works at shipbuilding; a shipwright. -- Ship chandler, one who deals in cordage, canvas, and other, furniture of vessels. -- Ship chandlery, the commodities in which a ship chandler deals; also, the business of a ship chandler. -- Ship fever (Med.), a form of typhus fever; -- called also putrid, jail, or hospital fever. -- Ship joiner, a joiner who works upon ships. -- Ship letter, a letter conveyed by a ship not a mail packet. -- Ship money (Eng. Hist.), an imposition formerly charged on the ports, towns, cities, boroughs, and counties, of England, for providing and furnishing certain ships for the king's service. The attempt made by Charles I. to revive and enforce this tax was resisted by John Hampden, and was one of the causes which led to the death of Charles. It was finally abolished. -- Ship of the line. See under Line. -- Ship pendulum, a pendulum hung amidships to show the extent of the rolling and pitching of a vessel. -- Ship railway. (a) An inclined railway with a cradelike car, by means of which a ship may be drawn out of water, as for repairs. (b) A railway arranged for the transportation of vessels overland between two water courses or harbors. -- Ship's company, the crew of a ship or other vessel. -- Ship's days, the days allowed a vessel for loading or unloading. -- Ship's husband. See under Husband. -- Ship's papers (Mar. Law), papers with which a vessel is required by law to be provided, and the production of which may be required on certain occasions. Among these papers are the register, passport or sea letter, charter party, bills of lading, invoice, log book, muster roll, bill of health, etc. Bouvier. Kent. -- To make ship, to embark in a ship or other vessel.\n\n1. To put on board of a ship, or vessel of any kind, for transportation; to send by water. The timber was . . . shipped in the bay of Attalia, from whence it was by sea transported to Pelusium. Knolles. 2. By extension, in commercial usage, to commit to any conveyance for transportation to a distance; as, to ship freight by railroad. 3. Hence, to send away; to get rid of. [Colloq.] 4. To engage or secure for service on board of a ship; as, to ship seamen. 5. To receive on board ship; as, to ship a sea. 6. To put in its place; as, to ship the tiller or rudder.\n\n1. To engage to serve on board of a vessel; as, to ship on a man-of- war. 2. To embark on a ship. Wyclif (Acts xxviii. 11)
ship railway |(a) An inclined railway running into the water with a cradelike car on which a vessel may be drawn out on land, as for repairs. (b) A railway on which to transport vessels overland between bodies of water.
ship-rigged |Rigged like a ship, that is, having three masts, each with square sails.
shipboard |A ship's side; hence, by extension, a ship; -- found chiefly in adverbial phrases; as, on shipboard; a shipboard.
shipbuilder |A person whose occupation is to construct ships and other vessels; a naval architect; a shipwright.
shipbuilding |Naval architecturel the art of constructing ships and other vessels.
shipful |As much or as many as a ship will hold; enough to fill a ship.
shipholder |A shipowner.
shipless |Destitute of ships. Gray.
shiplet |A little ship. [R.] Holinshed.
shipload |The load, or cargo, of a ship.
shipman |A seaman, or sailor. [Obs. or Poetic] Chaucer. R. Browning. About midnight the shipmen deemed that they drew near to some country. Acts xxvii. 27. Shipman's card, the mariner's compass. [Obs.] Shak.
shipmaster |The captain, master, or commander of a ship. Jonah i. 6.
shipmate |One who serves on board of the same ship with another; a fellow sailor.
shipment |1. The act or process of shipping; as, he was engaged in the shipment of coal for London; an active shipment of wheat from the West. 2. That which is shipped. The question is, whether the share of M. in the shipment is exempted from condemnation by reason of his neutral domicle. Story.
shipowner |Owner of a ship or ships.
shippen |A stable; a cowhouse. [Obs. or Prov.Eng.]
shipper |One who sends goods from one place to another not in the same city or town, esp. one who sends goods by water.
shipping |1. Relating to ships, their ownership, transfer, or employment; as, shiping concerns. 2. Relating to, or concerned in, the forwarding of goods; as, a shipping clerk.\n\n1. The act of one who, or of that which, ships; as, the shipping of flour to Liverpool. 2. The collective body of ships in one place, or belonging to one port, country, etc.; vessels, generally; tonnage. 3. Navigation. \"God send 'em good shipping.\" Shak. Shipping articles, articles of agreement between the captain of a vessel and the seamen on board, in respect to the amount of wages, length of time for which they are shipping, etc. Bouvier. -- To take shipping, to embark; to take ship. [Obs.] John vi.24. Shak.
shipping note |A document used in shipping goods by sea. In the case of free goods the shipping notes are the receiving note, addressed by the shipper to the chief officer of the vessel, requesting him to receive on board specified goods, and a receipt for the mate to sign, on receiving whose signature it is called the mate's receipt, and is surrendered by the shipper for the bills of lading.
shippo |Cloisonné enamel on a background of metal or porcelain.
shippon |A cowhouse; a shippen. [Prov. Eng.] Bessy would either do fieldwork, or attend to the cows, the shippon, or churn, or make cheese. Dickens.
shipshape |Arranged in a manner befitting a ship; hence, trim; tidy; orderly. Even then she expressed her scorn for the lubbery executioner's mode of tying a knot, and did it herself in a shipshape orthodox manner. De Quincey. Keep everything shipshape, for I must go Tennyson.\n\nIn a shipshape or seamanlike manner.
shipworm |Any long, slender, worm-shaped bivalve mollusk of Teredo and allied genera. The shipworms burrow in wood, and are destructive to wooden ships, piles of wharves, etc. See Teredo.
shipwreck |1. The breaking in pieces, or shattering, of a ship or other vessel by being cast ashore or driven against rocks, shoals, etc., by the violence of the winds and waves. 2. A ship wrecked or destroyed upon the water, or the parts of such a ship; wreckage. Dryden. 3. Fig.: Destruction; ruin; irretrievable loss. Holding faith and a good conscience, which some having put away concerning faith have made shipwreck. 1 Tim. 1. 19. It was upon an Indian bill that the late ministry had made shipwreck. J. Morley.\n\n1. To destroy, as a ship at sea, by running ashore or on rocks or sandbanks, or by the force of wind and waves in a tempest. Shipwrecking storms and direful thunders break. Shak. 2. To cause to experience shipwreck, as sailors or passengers. Hence, to cause to suffer some disaster or loss; to destroy or ruin, as if by shipwreck; to wreck; as, to shipwreck a business. Addison.
shipwright |One whose occupation is to construct ships; a builder of ships or other vessels.
shipyard |A yard, place, or inclosure where ships are built or repaired.
shiraz |A kind of Persian wine; -- so called from the place whence it is brought.
shire |1. A portion of Great Britain originally under the supervision of an earl; a territorial division, usually identical with a county, but sometimes limited to a smaller district; as, Wiltshire, Yorkshire, Richmondshire, Hallamshire. An indefinite number of these hundreds make up a county or shire. Blackstone. 2. A division of a State, embracing several contiguous townships; a county. [U. S.] Note: Shire is commonly added to the specific designation of a county as a part of its name; as, Yorkshire instead of York shire, or the shire of York; Berkshire instead of Berks shire. Such expressions as the county of Yorkshire, which in a strict sense are tautological, are used in England. In the United States the composite word is sometimes the only name of a county; as, Berkshire county, as it is called in Massachusetts, instead of Berks county, as in Pensylvania. The Tyne, Tees, Humber, Wash, Yare, Stour, and Thames separate the counties of Northumberland, Durham, Yorkshire, Lincolnshire, etc. Encyc. Brit. Knight of the shire. See under Knight. -- Shire clerk, an officer of a county court; also, an under sheriff. [Eng.] -- Shire mote (Old. Eng. Law), the county court; sheriff's turn, or court. [Obs.] Cowell. Blackstone. -- Shire reeve (Old Eng. Law), the reeve, or bailiff, of a shire; a sheriff. Burrill. -- Shire town, the capital town of a county; a county town. -- Shire wick, a county; a shire. [Obs.] Holland.
shire horse |One of an English breed of heavy draft horses believed to be descended largely from the horses used in war in the days of heavy armor. They are the  largest of the British draft breeds, and have long hair on the back of the cannons and fetlocks. Brown or bay with white on the face and legs is now the commonest color.
shirk |1. To procure by petty fraud and trickery; to obtain by mean solicitation. You that never heard the call of any vocation, . . . that shirk living from others, but time from Yourselves. Bp. Rainbow. 2. To avoid; to escape; to neglect; -- implying unfaithfulness or fraud; as, to shirk duty. The usual makeshift by which they try to shirk difficulties. Hare.\n\n1. To live by shifts and fraud; to shark. 2. To evade an obligation; to avoid the performance of duty, as by running away. One of the cities shirked from the league. Byron.\n\nOne who lives by shifts and tricks; one who avoids the performance of duty or labor.
shirker |One who shirks. Macaulay.
shirky |Disposed to shirk. [Colloq.]
shirl |Shrill. [Prov. Eng.] Halliwell.\n\nSee Schorl.
shirley |The bullfinch.
shirr |A series of close parallel runnings which are drawn up so as to make the material between them set full by gatherings; -- called also shirring, and gauging.
shirred |1. (Sewing)  Made or gathered into a shirr; as, a shirred bonnet. 2. (Cookery)  Broken into an earthen dish and baked over the fire; -- said of eggs.
shirt |A loose under-garment for the upper part of the body, made of cotton, linen, or other material; -- formerly used of the under- garment of either sex, now commonly restricted to that worn by men and boys. Several persons in December had nothing over their shoulders but their shirts. Addison. She had her shirts and girdles of hair. Bp. Fisher.\n\nTo cover or clothe with a shirt, or as with a shirt. Dryden.
shirt waist |A belted waist resembling a shirt in plainness of cut and style, worn by women or children; -- in England called a blouse.
shirt-waist suit |A costume consisting of a plain belted waist and skirt of the same material.
