rhizophaga |A division of marsupials. The wombat is the type.
rhodopsin |The visual purple. See under Visual.
rhodosperm |Any seaweed with red spores. Note: As the name of a subclass, Rhodosperms, or Rhodospermeæ, is synonymous with Florideæ (which see.)
rhomb |1. (Geom.)  An equilateral parallelogram, or quadrilateral figure whose sides are equal and the opposite sides parallel. The angles may be unequal, two being obtuse and two acute, as in the cut, or the angles may be equal, in which case it is usually called a square. 2. (Geom.)  A rhombohedron. Fresnel's rhomb (Opt.), a rhomb or oblique parallelopiped of crown or St. Gobain glass so cut that a ray of light entering one of its faces at right angles shall emerge at right angles at the opposite face, after undergoing within the rhomb, at other faces, two reflections. It is used to produce a ray circularly polarized from a plane-polarized ray, or the reverse. Nichol.
rhomb spar |A variety of dolomite.
rhombic |1. Shaped like a rhomb. 2. (Crystallog.)  Same as Orthorhombic.
rhomboganoid |A ganoid fish having rhombic enameled scales; one of the Rhomboganoidei.
rhomboganoidei |Same as Ginglymodi.
rhombogene |A dicyemid which produces infusorialike embryos; -- opposed to nematogene. See Dicyemata. [Written also rhombogen.]
rhombohedral |Related to the rhombohedron; presenting the form of a rhombohedron, or a form derivable from a rhombohedron; relating to a system of forms including the rhombohedron and scalenohedron. Rhombohedral iron ore (Min.) See Hematite. -- Rhombohedral system (Crystallog.), a division of the hexagonal system embracing the rhombohedron, scalenohedron, etc.
rhombohedric |Rhombohedral.
rhombohedron |A solid contained by six rhomboids; a parallelopiped.
rhomboid |An oblique-angled parallelogram like a rhomb, but having only the opposite sides equal, the length and with being different.\n\nSame as Rhomboidal.
rhomboid-ovate |Between rhomboid and ovate, or oval, in shape.
rhomboidal |Having, or approaching, the shape of a rhomboid.
rhomboides |A rhomboid. [R.] Milton.
rhombus |Same as Rhomb, 1.
rhonchal |Rhonchial.
rhonchial |Of or pertaining to a rhonchus; produced by rhonchi. Rhonchial fremitus. Etym: [L. fremitus a dull roaring or murmuring.] (Med.) A vibration of the chest wall that may be felt by the hand laid upon its surface. It is caused in the production of rhonchi in the bronchial tubes.
rhonchisonant |Making a snorting noise; snorting. [R.]
rhonchus |An adventitious whistling or snoring sound heard on auscultation of the chest when the air channels are partially obstructed. By some writers the term rhonchus is used as equivalent to râle in its widest sense. See Râle.
rhopalic |Applied to a line or verse in which each successive word has one more syllable than the preceding.
rhopalium |One of the marginal sensory bodies of medusæ belonging to the Discophora.
rhopalocera |A division of Lepidoptera including all the butterflies. They differ from other Lepidoptera in having club-shaped antennæ.
rhotacism |An oversounding, or a misuse, of the letter r; specifically (Phylol.), the tendency, exhibited in the Indo-European languages, to change s to r, as wese to were.
rhubarb |1. (Bot.)  The name of several large perennial herbs of the genus Rheum and order Polygonaceæ. 2. The large and fleshy leafstalks of Rheum Rhaponticum and other species of the same genus. They are pleasantly acid, and are used in cookery. Called also pieplant. 3. (Med.)  The root of several species of Rheum, used much as a cathartic medicine. Monk's rhubarb. (Bot.) See under Monk. -- Turkey rhubarb (Med.), the roots of Rheum Emodi.
rhubarby |Like rhubarb.
rhumb |A line which crosses successive meridians at a constant angle; -- called also rhumb line, and loxodromic curve. See Loxodromic. To sail on a rhumb, to sail continuously on one course, following a rhumb line.
rhus |A genus of shrubs and small treets. See Sumac.
rhusma |A mixtire of caustic lime and orpiment, or tersulphide of arsenic, -- used in the depilation of hides. Knight.
rhyme |1. An expression of thought in numbers, measure, or verse; a composition in verse; a rhymed tale; poetry; harmony of language. \"Railing rhymes.\" Daniel. A ryme I learned long ago. Chaucer. He knew Himself to sing, and build the lofty rime. Milton. 2. (Pros.)  Correspondence of sound in the terminating words or syllables of two or more verses, one succeeding another immediately or at no great distance. The words or syllables so used must not begin with the same consonant, or if one begins with a vowel the other must begin with a consonant. The vowel sounds and accents must be the same, as also the sounds of the final consonants if there be any. For rhyme with reason may dispense, And sound has right to govern sense. Prior. 3. Verses, usually two, having this correspondence with each other; a couplet; a poem containing rhymes. 4. A word answering in sound to another word. Female rhyme. See under Female. -- Male rhyme. See under Male. -- Rhyme or reason, sound or sense. -- Rhyme royal (Pros.), a stanza of seven decasyllabic verses, of which the first and third, the second, fourth, and fifth, and the sixth and seventh rhyme.\n\n1. To make rhymes, or verses. \"Thou shalt no longer ryme.\" Chaucer. There marched the bard and blockhead, side by side, Who rhymed for hire, and patronized for pride. Pope. 2. To accord in rhyme or sound. And, if they rhymed and rattled, all was well. Dryden.\n\n1. To put into rhyme. Sir T. Wilson. 2. To influence by rhyme. Hearken to a verser, who may chance Rhyme thee to good. Herbert.
rhymeless |Destitute of rhyme. Bp. Hall.
rhymer |One who makes rhymes; a versifier; -- generally in contempt; a poor poet; a poetaster. This would make them soon perceive what despicaple creatures our common rhymers and playwriters be. Milton.
rhymery |The art or habit of making rhymes; rhyming; -- in contempt.
rhymester |A rhymer; a maker of poor poetry. Bp. Hall. Byron.
rhymic |Pertaining to rhyme.
rhymist |A rhymer; a rhymester. Johnston.
rhynchobdellea |A suborder of leeches including those that have a protractile proboscis, without jaws. Clepsine is the type.
rhynchocephala |An order of reptiles having biconcave vertebræ, immovable quadrate bones, and many other peculiar osteological characters. Hatteria is the only living genus, but numerous fossil genera are known, some of which are among the earliest of reptiles. See Hatteria. Called also Rhynchocephalia.
rhynchocoela |Same as Nemertina. -- Rhyn`cho*coe\"lous, a.
rhyncholite |A fossil cephalopod beak.
rhynchonella |A genus of brachiopods of which some species are still living, while many are found fossil.
rhynchophora |A group of Coleoptera having a snoutlike head; the snout beetles, curculios, or weevils.
rhynchophore |One of the Rhynchophora.
rhynchota |Same as Hemiptera. [Written also Rhyncota.]
rhyolite |A quartzose trachyte, an igneous rock often showing a fluidal structure. -- Rhy`o*lit\"ic, a.
rhyparography |In ancient art, the painting of genre or still-life pictures.
rhysimeter |An instrument, acting on the principle of Pitot's tube, for measuring the velocity of a fluid current, the speed of a ship, etc.
rhythm |1. In the widest sense, a dividing into short portions by a regular succession of motions, impulses, sounds, accents, etc., producing an agreeable effect, as in music poetry, the dance, or the like. 2. (Mus.)  Movement in musical time, with periodical recurrence of accent; the measured beat or pulse which marks the character and expression of the music; symmetry of movement and accent. Moore (Encyc. ) 3. A division of lines into short portions by a regular succession of arses and theses, or percussions and remissions of voice on words or syllables. 4. The harmonious flow of vocal sounds.
rhythmer |One who writes in rhythm, esp. in poetic rhythm or meter. [R.] One now scarce counted a rhythmer, formerly admitted for a poet. Fuller.
rhythmic |Pertaining to, or of the nature of, rhythm DAy and night I worked my rhythmic thought. Mrs. Browning. Rhythmical accent. (Mus.) See Accent, n., 6 (c).
rhythmical |Pertaining to, or of the nature of, rhythm DAy and night I worked my rhythmic thought. Mrs. Browning. Rhythmical accent. (Mus.) See Accent, n., 6 (c).
rhythmically |In a rhythmical manner.
rhythmics |The department of musical science which treats of the length of sounds.
rhythming |Writing rhythm; verse making. \"The rhythming monk.\" Fuller.
rhythmless |Being without rhythm. Coleridge.
rhythmometer |An instrument for marking time in musical movements. See Metronome.
rhythmus |Rhythm.
rhytina |See Rytina.
rial |A Spanish coin. See Real. [Obs.]\n\nRoyal. [Obs.] Chaucer.\n\nA gold coin formerly current in England, of the value of ten shillings sterling in the reign of Henry VI., and of fifteen shillings in the reign of Elizabeth. [Spelt also ryal.] Brande & C.
riant |Laughing; laughable; exciting gayety; gay; merry; delightful to the view, as a landscape. In such cases the sublimity must be drawn from the other sources, with a strict caution, howewer, against anything light and riant. Burke.
rib |1. (Anat.)  One of the curved bones attached to the vertebral column and supporting the lateral walls of the thorax. Note: In man there are twelve ribs on each side, of which the upper seven are directly connected with the sternum by cartilages, and are called sternal, or true, ribs. The remaining five pairs are called asternal, or false, ribs, and of these each of the three upper pairs is attached to the cartilage of the rib above, while the two lower pairs are free at the ventral ends, and are called floating ribs. See Thorax. 2. That which resembles a rib in form or use. Specifically: (a) (Shipbuilding) One of the timbers, or bars of iron or steel, that branch outward and upward from the keel, to support the skin or planking, and give shape and strength to the vessel. (b) (Mach. & Structures)  A ridge, fin, or wing, as on a plate, cylinder, beam, etc., to strengthen or stiffen it. (c) One of the rods on which the cover of an umbrella is extended. (d) A prominent line or ridge, as in cloth. (e) A longitudinal strip of metal uniting the barrels of a double- barreled gun. 3. (Bot.)  The chief nerve, or one of the chief nerves, of a leaf. (b) Any longitudinal ridge in a plant. 4. (Arch.) (a) In Gothic vaulting, one of the primary members of the vault. These are strong arches, meeting and crossing one another, dividing the whole space into triangles, which are then filled by vaulted construction of lighter material. Hence, an imitation of one of these in wood, plaster, or the like. (b) A projecting mold, or group of moldings, forming with others a pattern, as on a ceiling, ornamental door, or the like. 5. (Mining) (a) Solid coal on the side of a gallery; solid ore in a vein. (b) An elongated pillar of ore or coal left as a support. Raymond. 6. A wife; -- in allusion to Eve, as made out of Adam's rib. [Familiar & Sportive] How many have we known whose heads have been broken with their own rib. Bp. Hall. Chuck rib, a cut of beef immediately in front of the middle rib. See Chuck. -- Fore ribs, a cut of beef immediately in front of the sirloin. -- Middle rib, a cut of beef between the chuck rib and the fore ribs. -- Rib grass. (Bot.) Same as Ribwort.\n\n1. To furnish with ribs; to form with rising lines and channels; as, to rib cloth. 2. To inclose, as with ribs, and protect; to shut in. It [lead] were too gross To rib her cerecloth in the obscure grave. Shak. To rib land, to leave strips of undisturbed ground between the furrows in plowing.
ribald |A low, vulgar, brutal, foul-mouthed wretch; a lewd fellow. Spenser. Pope. Ribald was almost a class name in the feudal system . . . He was his patron's parasite, bulldog, and tool . . . It is not to be wondered at that the word rapidly became a synonym for everything ruffianly and brutal. Earle.\n\nLow; base; mean; filthy; obscene. The busy day, Waked by the lark, hath roused the ribald crows. Shak.
ribaldish |Like a ribald. Bp. Hall.
ribaldrous |Of a ribald quality. [R.]
ribaldry |The talk of a ribald; low, vulgar language; indecency; obscenity; lewdness; -- now chiefly applied to indecent language, but formerly, as by Chaucer, also to indecent acts or conduct. The ribaldry of his conversation moved Macaulay.
riban |See Ribbon. [Obs.] Piers Plowman.
riband |See Ribbon. Riband jasper (Min.), a variety of jasper having stripes of different colors, as red and green.\n\nSee Rib-band. Totten.
ribanded |Ribboned. B. Jonson.
ribaud |A ribald. [Obs.] P. Plowman.
ribaudequin |1. An engine of war used in the Middle Ages, consisting of a protected elevated staging on wheels, and armed in front with pikes. It was (after the 14th century) furnished with small cannon. 2. A huge bow fixed on the wall of a fortified town for casting javelins.
ribaudred |Filthy; obscene; ribald. [Obs.]
ribaudrous |Filthy; obscene; ribald. [Obs.]
ribaudry |Ribaldry. [Obs.] Spenser.
ribaudy |Ribaldry. [Obs.] Chaucer.
ribauld |A ribald. [Obs.] Spenser.
ribband |A ribbon. Pope.\n\nA long, narrow strip of timber bent and bolted longitudinally to the ribs of a vessel, to hold them in position, and give rigidity to the framework. Rib-band lines, oblique longitudinal sectionss of the hull of a vessel. Knight.
ribbed |1. Furnished or formed with ribs; as, a ribbed cylinder; ribbed cloth. 2. (Mining)  Intercalated with slate; -- said of a seam of coal. Raymond.
ribbing |An assemblage or arrangement of ribs, as the timberwork for the support of an arch or coved ceiling, the veins in the leaves of some plants, ridges in the fabric of cloth, or the like.
ribbon |1. A fillet or narrow woven fabric, commonly of silk, used for trimming some part of a woman's attire, for badges, and other decorative purposes. 2. A narrow strip or shred; as, a steel or magnesium ribbon; sails torn to ribbons. 3. (Shipbuilding)  Same as Rib-band. 4. pl.  Driving reins. [Cant] London Athenæum. 5. (Her.)  A bearing similar to the bend, but only one eighth as wide. 6. (Spinning)  A silver. Note: The blue ribbon, and The red ribbon, are phrases often used to designate the British orders of the Garter and of the Bath, respectively, the badges of which are suspended by ribbons of these colors. See Blue ribbon, under Blue. Ribbon fish. (Zoöl.) (a) Any elongated, compressed, ribbon-shaped marine fish of the family Trachypteridæ, especially the species of the genus Trachypterus, and the oarfish (Regelecus Banksii) of the North Atlantic, which is sometimes over twenty feet long. (b) The hairtail, or bladefish. (c) A small compressed marine fish of the genus Cepola, having a long, slender, tapering tail. The European species (C. rubescens) is light red throughout. Called also band fish. -- Ribbon grass (Bot.), a variety of reed canary grass having the leaves stripped with green and white; -- called also Lady's garters. See Reed grass, under Reed. -- Ribbon seal (Zoöl.), a North Pacific seal (Histriophoca fasciata). The adult male is dark brown, conspicuously banded and striped with yellowish white. -- Ribbon snake (Zoöl.), a common North American snake (Eutainia saurita). It is conspicuously striped with bright yellow and dark brown. -- Ribbon Society, a society in Ireland, founded in the early part of the 19th century in antagonism to the Orangemen. It afterwards became an organization of tennant farmers banded together to prevent eviction by landlords. It took its name from the green ribbon worn by members as a badge. -- Ribborn worm. (Zoöl.) (a) A tapeworm. (b) A nemertean.\n\nTo adorn with, or as with, ribbons; to mark with stripes resembling ribbons.
ribbonism |The principles and practices of the Ribbonmen. See Ribbon Society, under Ribbon.
ribbonman |A member of the Ribbon Society. See Ribbon Society, under Ribbon.
ribbonwood |A malvaceous tree (Hoheria populnea) of New Zealand, the bark of which is used for cordage.
ribes |A genus of shrubs including gooseberries and currants of many kinds.
ribibe |1. A sort of stringed instrument; a rebec. [Obs.] Nares. 2. An old woman; -- in contempt. [Obs.] Chaucer. 3. A bawd; a prostitute. [Obs.] B. Jonson.
ribible |A small threestringed viol; a rebec. Moore (Encyc. of Music). All can be play on gittern or ribible. Chaucer.
ribless |Having no ribs.
ribroast |To beat soundly. [Slang]
ribwort |A species of plantain (Plantago lanceolata) with long, narrow, ribbed leaves; -- called also rib grass, ripple grass, ribwort plantain.
rice |A well-known cereal grass (Oryza sativa) and its seed. This plant is extensively cultivated in warm climates, and the grain forms a large portion of the food of the inhabitants. In America it grows chiefly on low, moist land, which can be overflowed. Ant rice. (Bot.) See under Ant. -- French rice. (Bot.) See Amelcorn. -- Indian rice., a tall reedlike water grass (Zizania aquatica), bearing panicles of a long, slender grain, much used for food by North American Indians. It is common in shallow water in the Northern States. Called also water oat, Canadian wild rice, etc. -- Mountain rice, any species of an American genus (Oryzopsis) of grasses, somewhat resembling rice. -- Rice bunting. (Zoöl.) Same as Ricebird. -- Rice hen (Zoöl.), the Florida gallinule. -- Rice mouse (Zoöl.), a large dark-colored field mouse (Calomys palistris) of the Southern United States. -- Rice paper, a kind of thin, delicate paper, brought from China, - - used for painting upon, and for the manufacture of fancy articles. It is made by cutting the pith of a large herb (Fatsia papyrifera, related to the ginseng) into one roll or sheet, which is flattened out under pressure. Called also pith paper. -- Rice troupial (Zoöl.), the bobolink. -- Rice water, a drink for invalids made by boiling a small quantity of rice in water. -- Rice-water discharge (Med.), a liquid, resembling rice water in appearance, which is vomited, and discharged from the bowels, in cholera. -- Rice weevil (Zoöl.), a small beetle (Calandra, or Sitophilus, oryzæ) which destroys rice, wheat, and Indian corn by eating out the interior; -- called also black weevil.
rice-shell |Any one of numerous species of small white polished marine shells of the genus Olivella.
ricebird |(a) The Java sparrow. (b) The bobolink.
rich |1. Having an abundance of material possessions; possessed of a large amount of property; well supplied with land, goods, or money; wealthy; opulent; affluent; -- opposed to Ant: poor. \"Rich merchants.\" Chaucer. The rich [person] hath many friends. Prov. xiv. 20. As a thief, bent to unhoard the cash Of some rich burgher. Milton. 2. Hence, in general, well supplied; abounding; abundant; copious; bountiful; as, a rich treasury; a rich entertainment; a rich crop. If life be short, it shall be glorious; Each minute shall be rich in some great action. Rowe. The gorgeous East with richest hand Showers on her kings barbaric pearl and gold. Milton. 3. Yielding large returns; productive or fertile; fruitful; as, rich soil or land; a rich mine. 4. Composed of valuable or costly materials or ingredients; procured at great outlay; highly valued; precious; sumptuous; costly; as, a rich dress; rich silk or fur; rich presents. Like to rich and various gems. Milton. 5. Abounding in agreeable or nutritive qualities; -- especially applied to articles of food or drink which are high-seasoned or abound in oleaginous ingredients, or are sweet, luscious, and high- flavored; as, a rich dish; rich cream or soup; rich pastry; rich wine or fruit. Sauces and rich spices are fetched from India. Baker. 6. Not faint or delicate; vivid; as, a rich color. 7. Full of sweet and harmonius sounds; as, a rich voice; rich music. 8. Abounding in beauty; gorgeous; as, a rich landscape; rich scenery. 9. Abounding in humor; exciting amusement; entertaining; as, the scene was a rich one; a rich incident or character. [Colloq.] Thackeray. Note: Rich is sometimes used in the formation of self-explaining compounds; as, rich-fleeced, rich-jeweled, rich-laden, rich-stained. Syn. -- Wealthy; affluent; opulent; ample; copious; abundant; plentiful; fruitful; costly; sumptuous; precious; generous; luscious.\n\nTo enrich. [Obs.] Gower.
riches |1. That which makes one rich; an abundance of land, goods, money, or other property; wealth; opulence; affluence. Riches do not consist in having more gold and silver, but in having more in proportion, than our neighbors. Locke. 2. That which appears rich, sumptuous, precious, or the like. The riche of heaven's pavement, trodden gold. Milton. Note: Richesse, the older form of this word, was in the singular number. The form riches, however, is plural in appearance, and has now come to be used as a plural. Against the richesses of this world shall they have misease of poverty. Chaucer. In one hour so great riches is come to nought. Rev. xviii. 17. And for that riches where is my deserving Shak. Syn. -- Wealth; opulence; affluence; wealthiness; richness; plenty; abundance.
richesse |Wealth; riches. See the Note under Riches. [Obs.] Some man desireth for to have richesse. Chaucer. The richesse of all heavenly grace. Spenser.
richly |In a rich manner.
richness |The quality or state of being rich (in any sense of the adjective).
richweed |An herb (Pilea pumila) of the Nettle family, having a smooth, juicy, pellucid stem; -- called also clearweed.
ricinelaidic |Pertaining to, or designating, an isomeric modification of ricinoleic acid obtained as a white crystalline solid.
ricinelaidin |The glycerin salt of ricinelaidic acid, obtained as a white crystalline waxy substance by treating castor oil with nitrous acid.
ricinic |Pertaining to, or derived from, castor oil; formerly, designating an acid now called ricinoleic acid.
ricinine |A bitter white crystalline alkaloid extracted from the seeds of the castor-oil plant.
ricinoleate |A salt of ricinoleic acid; -- formerly called palmate.
ricinoleic |Pertaining to, or designating, a fatty acid analogous to oleic acid, obtained from castor oil as an oily substance, Cricinolic.
ricinolein |The glycerin salt of ricinoleic acid, occuring as a characteristic constituent of castor oil; -- formerly called palmin.
ricinolic |Ricinoleic.
ricinus |A genus of plants of the Spurge family, containing but one species (R. communis), the castor-oil plant. The fruit is three- celled, and contains three large seeds from which castor oil iss expressed. See Palma Christi.
rick |A stack or pile, as of grain, straw, or hay, in the open air, usually protected from wet with thatching. Golden clusters of beehive ricks, rising at intervals beyond the hedgerows. G. Eliot.\n\nTo heap up in ricks, as hay, etc.
ricker |A stout pole for use in making a rick, or for a spar to a boat.
ricketish |Rickety. [Obs.] Fuller.
rickets |A disease which affects children, and which is characterized by a bulky head, crooked spine and limbs, depressed ribs, enlarged and spongy articular epiphyses, tumid abdomen, and short stature, together with clear and often premature mental faculties. The essential cause of the disease appears to be the nondeposition of earthy salts in the osteoid tissues. Children afflicted with this malady stand and walk unsteadily. Called also rachitis.
rickety |1. Affected with rickets. 2. Feeble in the joints; imperfect; weak; shaky.
rickrack |A kind of openwork edging made of serpentine braid.
rickstand |A flooring or framework on which a rick is made.
ricochet |A rebound or skipping, as of a ball along the ground when a gun is fired at a low angle of elevation, or of a fiat stone thrown along the surface of water. Ricochet firing (Mil.), the firing of guns or howitzers, usually with small charges, at an elevation of only a few degrees, so as to cause the balls or shells to bound or skip along the ground.\n\nTo operate upon by ricochet firing. See Ricochet, n. [R.]\n\nTo skip with a rebound or rebounds, as a flat stone on the surface of water, or a cannon ball on the ground. See Ricochet, n.
rictal |Of or pertaining to the rictus; as, rictal bristles.
ricture |A gaping. [Obs.]
rictus |The gape of the mouth, as of birds; -- often resricted to the corners of the mouth.
rid |imp. & p. p. of Ride, v. i. [Archaic] He rid to the end of the village, where he alighted. Thackeray.\n\n1. To save; to rescue; to deliver; -- with out of. [Obs.] Deliver the poor and needy; rid them out of the hand of the wicked. Ps. lxxxii. 4. 2. To free; to clear; to disencumber; -- followed by of. \"Rid all the sea of pirates.\" Shak. In never ridded myself of an overmastering and brooding sense of some great calamity traveling toward me. De Quincey. 3. To drive away; to remove by effort or violence; to make away with; to destroy. [Obs.] I will red evil beasts out of the land. Lev. xxvi. 6. Death's men, you have rid this sweet young prince! Shak. 4. To get over; to dispose of; to dispatch; to finish. [R.] \"Willingness rids way.\" Shak. Mirth will make us rid ground faster than if thieves were at our tails. J. Webster. To be rid of, to be free or delivered from. -- To get rid of, to get deliverance from; to free one's self from.
ridable |Suitable for riding; as, a ridable horse; a ridable road.
riddance |1. The act of ridding or freeing; deliverance; a cleaning up or out. Thou shalt not make clean riddance of the corners of thy field. Lev. xxiii. 22. 2. The state of being rid or free; freedom; escape. \"Riddance from all adversity.\" Hooker.
ridden |p. p. of Ride.
ridder |One who, or that which, rids.
riddle |1. A sieve with coarse meshes, usually of wire, for separating coarser materials from finer, as chaff from grain, cinders from ashes, or gravel from sand. 2. A board having a row of pins, set zigzag, between which wire is drawn to straighten it.\n\n1. To separate, as grain from the chaff, with a riddle; to pass through a riddle; as, riddle wheat; to riddle coal or gravel. 2. To perforate so as to make like a riddle; to make many holes in; as, a house riddled with shot.\n\nSomething proposed to be solved by guessing or conjecture; a puzzling question; an ambiguous proposition; an enigma; hence, anything ambiguous or puzzling. To wring from me, and tell to them, my secret, That solved the riddle which I had proposed. Milton. 'T was a strange riddle of a lady. Hudibras.\n\nTo explain; to solve; to unriddle. Riddle me this, and guess him if you can. Dryden.\n\nTo speak ambiguously or enigmatically. \"Lysander riddels very prettily.\" Shak.
riddler |One who riddles (grain, sand, etc.).\n\nOne who speaks in, or propounds, riddles.
riddling |Speaking in a riddle or riddles; containing a riddle. \"Riddling triplets.\" Tennyson. -- Rid\"dling, adv.
ride |1. To be carried on the back of an animal, as a horse. To-morrow, when ye riden by the way. Chaucer. Let your master ride on before, and do you gallop after him. Swift. 2. To be borne in a carriage; as, to ride in a coach, in a car, and the like. See Synonym, below. The richest inhabitants exhibited their wealth, not by riding in gilden carriages, but by walking the streets with trains of servants. Macaulay. 3. To be borne or in a fluid; to float; to lie. Men once walked where ships at anchor ride. Dryden. 4. To be supported in motion; to rest. Strong as the exletree On which heaven rides. Shak. On whose foolish honesty My practices ride easy! Shak. 5. To manage a horse, as an equestrian. He rode, he fenced, he moved with graceful ease. Dryden. 6. To support a rider, as a horse; to move under the saddle; as, a horse rides easy or hard, slow or fast. To ride easy (Naut.), to lie at anchor without violent pitching or straining at the cables. -- To ride hard (Naut.), to pitch violently. -- To ride out. (a) To go upon a military expedition. [Obs.] Chaucer. (b) To ride in the open air. [Colloq.] -- To ride to hounds, to ride behind, and near to, the hounds in hunting. Syn. -- Drive. -- Ride, Drive. Ride originally meant (and is so used throughout the English Bible) to be carried on horseback or in a vehicle of any kind. At present in England, drive is the word applied in most cases to progress in a carriage; as, a drive around the park, etc.; while ride is appropriated to progress on a horse. Johnson seems to sanction this distinction by giving \"to travel on horseback\" as the leading sense of ride; though he adds \"to travel in a vehicle\" as a secondary sense. This latter use of the word still occurs to some extent; as, the queen rides to Parliament in her coach of state; to ride in an omnibus. \"Will you ride over or drive\" said Lord Willowby to his quest, after breakfast that morning. W. Black.\n\n1. To sit on, so as to be carried; as, to ride a horse; to ride a bicycle. [They] rend up both rocks and hills, and ride the air In whirlwind. Milton. 2. To manage insolently at will; to domineer over. The nobility could no longer endure to be ridden by bakers, cobblers, and brewers. Swift. 3. To convey, as by riding; to make or do by riding. Tue only men that safe can ride Mine errands on the Scottish side. Sir W. Scott. 4. (Surg.)  To overlap (each other); -- said of bones or fractured fragments. To ride a hobby, to have some favorite occupation or subject of talk. -- To ride and tie, to take turn with another in labor and rest; -- from the expedient adopted by two persons with one horse, one of whom rides the animal a certain distance, and then ties him for the use of the other, who is coming up on foot. Fielding. -- To ride down. (a) To ride over; to trample down in riding; to overthrow by riding against; as, to ride down an enemy. (b) (Naut.) To bear down, as on a halyard when hoisting a sail. -- To ride out (Naut.), to keep safe afloat during (a storm) while riding at anchor or when hove to on the open sea; as, to ride out the gale. to ride the lightning, (Colloq.) to be executed by electrocution in an electric chair.\n\n1. The act of riding; an excursion on horseback or in a vehicle. 2. A saddle horse. [Prov. Eng.] Wright. 3. A road or avenue cut in a wood, or through grounds, to be used as a place for riding; a riding.
rideau |A small mound of earth; ground slightly elevated; a small ridge.
riden |imp. pl. & p. p. of Ride. Chaucer.
rident |Laughing. [R.] Thackeray.
rider |1. One who, or that which, rides. 2. Formerly, an agent who went out with samples of goods to obtain orders; a commercial traveler. [Eng.] 3. One who breaks or manages a horse. Shak. 4. An addition or amendment to a manuscript or other document, which is attached on a separate piece of paper; in legislative practice, an additional clause annexed to a bill while in course of passage; something extra or burdensome that is imposed. After the third reading, a foolish man stood up to propose a rider. Macaulay. This [question] was a rider which Mab found difficult to answer. A. S. Hardy. 5. (Math.)  A problem of more than usual difficulty added to another on an examination paper. 6. Etym: [D. rijder.]  A Dutch gold coin having the figure of a man on horseback stamped upon it. His moldy money ! half a dozen riders. J. Fletcher. 7. (Mining)  Rock material in a vein of ore, dividing it. 8. (Shipbuilding)  An interior rib occasionally fixed in a ship's hold, reaching from the keelson to the beame of the lower deck, to strengthen her frame. Totten. 9. (Naut.)  The second tier of casks in a vessel's hold. 10. A small forked weight which straddles the beam of a balance, along which it can be moved in the manner of the weight on a steelyard. 11. A robber. [Obs. or Prov. Eng.] Drummond. Rider's bone (Med.), a bony deposit in the muscles of the upper and inner part of the thigh, due to the pressure and irritation caused by the saddle in riding.
riderless |Having no rider; as, a riderless horse. H. Kingsley.
