glassily |So as to resemble glass.
gleam |To disgorge filth, as a hawk.\n\n1. A shoot of light; a small stream of light; a beam; a ray; a glimpse. Transient unexpected gleams of joi. Addison. At last a gleam Of dawning light turned thitherward in haste His [Satan's] traveled steps. Milton. A glimmer, and then a gleam of light. Longfellow. 2. Brightness; splendor. In the clear azure gleam the flocks are seen. Pope.\n\n1. To shoot, or dart, as rays of light; as, at the dawn, light gleams in the east. 2. To shine; to cast light; to glitter. Syn. -- To Gleam, Glimmer, Glitter. To gleam denotes a faint but distinct emission of light. To glimmer describes an indistinct and unsteady giving of light. To glitter imports a brightness that is intense, but varying. The morning light gleams upon the earth; a distant taper glimmers through the mist; a dewdrop glitters in the sun. See Flash.\n\nTo shoot out (flashes of light, etc.). Dying eyes gleamed forth their ashy lights. Shak.
gleamy |Darting beams of light; casting light in rays; flashing; coruscating. In brazed arms, that cast a gleamy ray, Swift through the town the warrior bends his way. Pope.
glean |1. To gather after a reaper; to collect in scattered or fragmentary parcels, as the grain left by a reaper, or grapes left after the gathering. To glean the broken ears after the man That the main harvest reaps. Shak. 2. To gather from (a field or vineyard) what is left. 3. To collect with patient and minute labor; to pick out; to obtain. Content to glean what we can from . . . experiments. Locke.\n\n1. To gather stalks or ears of grain left by reapers. And she went, and came, and gleaned in the field after the reapers. Ruth ii. 3. 2. To pick up or gather anything by degrees. Piecemeal they this acre first, then that; Glean on, and gather up the whole estate. Pope.\n\nA collection made by gleaning. The gleans of yellow thyme distend his thighs. Dryden.\n\nCleaning; afterbirth. [Obs.] Holland.
gleaner |1. One who gathers after reapers. 2. One who gathers slowly with labor. Locke.
gleaning |The act of gathering after reapers; that which is collected by gleaning. Glenings of natural knowledge. Cook.
gleba |The chambered sporogenous tissue forming the central mass of the sporophore in puff balls, stinkhorns, etc.
glebe |1. A lump; a clod. 2. Turf; soil; ground; sod. Fertile of corn the glebe, of oil, and wine. Milton. 3. (Eccl. Law)  The land belonging, or yielding revenue, to a parish church or ecclesiastical benefice.
glebeless |Having no glebe.
glebosity |The quality of being glebous. [R.]
glebous |Pertaining to the glebe; turfy; cloddy; fertile; fruitful. \"Gleby land.\" Prior.
gleby |Pertaining to the glebe; turfy; cloddy; fertile; fruitful. \"Gleby land.\" Prior.
glede |The common European kite (Milvus ictinus). This name is also sometimes applied to the buzzard. [Written also glead, gled, gleed, glade, and glide.]\n\nA live coal. [Archaic] The cruel ire, red as any glede. Chaucer.
glee |1. Music; minstrelsy; entertainment. [Obs.] Chaucer. 2. Joy; merriment; mirth; gayety; paricularly, the mirth enjoyed at a feast. Spenser. 3. (Mus.)  An unaccompanied part song for three or more solo voices. It is not necessarily gleesome.
glee club |A club or company organized for singing glees, and (by extension) part songs, ballads, etc.
gleed |A live or glowing coal; a glede. [Archaic] Chaucer. Longfellow.
gleeful |Merry; gay; joyous. Shak.
gleek |1. A jest or scoff; a trick or deception. [Obs.] Where's the Bastard's braves, and Charles his gleeks Shak. 2. Etym: [Cf. Glicke]  An enticing look or glance. [Obs.] A pretty gleek coming from Pallas' eye. Beau. & Fl.\n\nTo make sport; to gibe; to sneer; to spend time idly. [Obs.] Shak.\n\n1. A game at cards, once popular, played by three persons. [Obs.] Pepys. Evelyn. 2. Three of the same cards held in the same hand; -- hence, three of anything. [Obs.]
gleeman |A name anciently given to an itinerant minstrel or musician.
gleen |To glisten; to gleam. [Obs.] Prior.
gleesome |Merry; joyous; gleeful.
gleet |A transparent mucous discharge from the membrane of the urethra, commonly an effect of gonorrhea. Hoblyn.\n\n1. To flow in a thin, limpid humor; to ooze, as gleet. Wiseman. 2. To flow slowly, as water. Cheyne.
gleety |Ichorous; thin; limpid. Wiseman.
gleg |Quick of perception; alert; sharp. [Scot.] Jamieson.
gleire |See Glair. [Obs.] Chaucer.
glen |A secluded and narrow valley; a dale; a depression between hills. And wooes the widow's daughter of the glen. Spenser.
glengarry |A kind of Highland Scotch cap for men, with straight sides and a hollow top sloping to the back, where it is parted and held together by ribbons or strings. The long silk streamers of his Glengarry bonnet. L. Hutton.
glengarry bonnet |A kind of Highland Scotch cap for men, with straight sides and a hollow top sloping to the back, where it is parted and held together by ribbons or strings. The long silk streamers of his Glengarry bonnet. L. Hutton.
glenlivat |A kind of Scotch whisky, named from the district in which it was first made. W. E. Aytoun.
glenlivet |A kind of Scotch whisky, named from the district in which it was first made. W. E. Aytoun.
glenoid |Having the form of a smooth and shallow depression; sockas, the glenoid cavity, or fossa, of the scapula, in which the head of the humerus articulates.
glenoidal |Glenoid.
glent |See Glint.
gleucometer |An instrument for measuring the specific gravity and ascertaining the quantity of sugar contained in must.
glew |See Glue. [Obs.]
gley |To squint; to look obliquely; to overlook things. [Scot.] Jamieson.\n\nAsquint; askance; obliquely.
gleyre |See Glair. [Obs.] Chaucer.
gliadin |Vegetable glue or gelatin; glutin. It is one of the constituents of wheat gluten, and is a tough, amorphous substance, which resembles animal glue or gelatin.
glib |1. Smooth; slippery; as, ice is glib. [Obs.] 2. Speaking or spoken smoothly and with flippant rapidity; fluent; voluble; as, a glib tongue; a glib speech. I want that glib and oily art, To speak and purpose not. Shak. Syn. -- Slippery; smooth; fluent; voluble; flippant.\n\nTo make glib. [Obs.] Bp. Hall.\n\nA thick lock of hair, hanging over the eyes. [Obs.] The Irish have, from the Scythians, mantles and long glibs, which is a thick curied bush of hair hanging down over their eyes, and monstrously disguising them. Spenser. Their wild costume of the glib and mantle. Southey.\n\nTo castrate; to geld; to emasculate. [Obs.] Shak.
glibbery |1. Slippery; changeable. [Obs.] My love is glibbery; there is no hold on't. Marston. 2. Moving easily; nimble; voluble. [Obs.] Thy lubrical and glibbery muse. B. Jonson.
glibly |In a glib manner; as, to speak glibly.
glibness |The quality of being glib.
glicke |An ogling look. [Obs.]
glidden |p. p. of Glide. Chaucer.
glidder |Giving no sure footing; smooth; slippery. [Prov. Eng.] Shingle, slates, and gliddery stones. R. D. Blackmore.
gliddery |Giving no sure footing; smooth; slippery. [Prov. Eng.] Shingle, slates, and gliddery stones. R. D. Blackmore.
glide |The glede or kite.\n\n1. To move gently and smoothly; to pass along without noise, violence, or apparent effort; to pass rapidly and easily, or with a smooth, silent motion, as a river in its channel, a bird in the air, a skater over ice. The river glideth at his own sweet will. Wordsworth. 2. (Phon.)  To pass with a glide, as the voice.\n\n1. The act or manner of moving smoothly, swiftly, and without labor or obstruction. They prey at last ensnared, he dreadful darts, With rapid glide, along the leaning line. Thomson. Seeing Orlando, it unlink'd itself, And with indented glides did slip away. Shak. 2. (Phon.)  A transitional sound in speech which is produced by the changing of the mouth organs from one definite position to another, and with gradual change in the most frequent cases; as in passing from the begining to the end of a regular diphthong, or from vowel to consonant or consonant to vowel in a syllable, or from one component to the other of a double or diphthongal consonant (see Guide to Pronunciation, §§ 19, 161, 162). Also (by Bell and others), the vanish (or brief final element) or the brief initial element, in a class of diphthongal vowels, or the brief final or initial part of some consonants (see Guide to Pronunciation, §§ 18, 97, 191). Note: The on-glide of a vowel or consonant is the glidemade in passing to it, the off-glide, one made in passing from it. Glides of the other sort are distinguished as initial or final, or fore-glides and after-glides. For voice-glide, see Guide to Pronunciation, §§ 17, 95.
gliden |p. p. of Glide. Chaucer.
glider |One who, or that which, glides.
gliding angle |The angle, esp. the least angle, at which a gliding machine or aëroplane will glide to earth by virtue of gravity without applied power.
gliding machine |A construction consisting essentially of one or more aëroplanes for gliding in an inclined path from a height to the ground.
glidingly |In a gliding manner.
gliff |1. A transient glance; an unexpected view of something that startles one; a sudden fear. [Prov. Eng. & Scot.] Halliwell. 2. A moment: as, for a gliff. [Scot.] Sir W. Scott.
glike |A sneer; a flout. [Obs.]
glim |1. Brightness; splendor. [Obs.] 2. A light or candle. [Slang] Dickens. Douse the glim, put out the light. [Slang]
glimmer |To give feeble or scattered rays of light; to shine faintly; to show a faint, unsteady light; as, the glimmering dawn; a glimmering lamp. The west yet glimmers with some streaks of day. Shak. Syn. -- To gleam; to glitter. See Gleam, Flash.\n\n1. A faint, unsteady light; feeble, scattered rays of light; also, a gleam. Gloss of satin and glimmer of pearls. Tennyson. 2. Mica. See Mica. Woodsward. Glimmer gowk, an owl. [Prov. Eng.] Tennyson.
glimmering |1. Faint, unsteady light; a glimmer. South. 2. A faint view or idea; a glimpse; an inkling.
glimpse |1. A sudden flash; transient luster. LIght as the lightning glimpse they ran. Milton. 2. A short, hurried view; a transitory or fragmentary perception; a quick sight. Here hid by shrub wood, there by glimpses seen. S. Rogers. 3. A faint idea; an inkling.\n\nto appear by glimpses; to catch glimpses. Drayton.\n\nTo catch a glimpse of; to see by glimpses; to have a short or hurried view of. Some glimpsing and no perfect sight. Chaucer.
glint |A glimpse, glance, or gleam. [Scot.] \"He saw a glint of light.\" Ramsay.\n\nTo glance; to peep forth, as a flower from the bud; to glitter. Burns.\n\nTo glance; to turn; as, to glint the eye.
glioma |A tumor springing from the neuroglia or connective tissue of the brain, spinal cord, or other portions of the nervous system.
glires |An order of mammals; the Rodentia. -- Gli\"rine, a.
glissade |A sliding, as down a snow slope in the Alps. Tyndall.
glissando |A gliding effect; gliding.
glissette |The locus described by any point attached to a curve that slips continuously on another fixed curve, the movable curve having no rotation at any instant.
glist |Glimmer; mica.
glisten |To sparkle or shine; especially, to shine with a mild, subdued, and fitful luster; to emit a soft, scintillating light; to gleam; as, the glistening stars. Syn. -- See Flash.
glister |To be bright; to sparkle; to be brilliant; to shine; to glisten; to glitter. All that glisters is not gold. Shak.\n\nGlitter; luster.\n\nSame as Clyster.
glisteringly |In a glistering manner.
glitter |1. To sparkle with light; to shine with a brilliant and broken light or showy luster; to gleam; as, a glittering sword. The field yet glitters with the pomp of war. Dryden. 2. To be showy, specious, or striking, and hence attractive; as, the glittering scenes of a court. Syn. -- To gleam; to glisten; to shine; to sparkle; to glare. See Gleam, Flash.\n\nA bright, sparkling light; brilliant and showy luster; brilliancy; as, the glitter of arms; the glitter of royal equipage. Milton.
glitterand |Glittering. [Obs.] Spenser.
glitteringly |In a glittering manner.
gloam |1. To begin to grow dark; to grow dusky. 2.  To be sullen or morose. [Obs.]\n\nThe twilight; gloaming. [R.] Keats.
gloaming |1. Twilight; dusk; the fall of the evening. [Scot. & North of Eng., and in poetry.] Hogg. 2. Sullenness; melancholy. [Obs.] J. Still.
gloar |To squint; to stare. [Obs.]
gloat |To look steadfastly; to gaz In vengeance gloating on another's pain. Byron.
globard |A glowworm. {Obs.] Holland.
globate |Having the form of a globe; spherical.
globated |Having the form of a globe; spherical.
globe |1. A round or spherical body, solid or hollow; a body whose surface is in every part equidistant from the center; a ball; a sphere. 2. Anything which is nearly spherical or globular in shape; as, the globe of the eye; the globe of a lamp. 3. The earth; the terraqueous ball; -- usually preceded by the definite article. Locke. 4. A round model of the world; a spherical representation of the earth or heavens; as, a terrestrial or celestial globe; -- called also artificial globe. 5. A body of troops, or of men or animals, drawn up in a circle; -- a military formation used by the Romans, answering to the modern infantry square. Him round A globe of fiery seraphim inclosed. Milton. Globe amaranth (Bot.), a plant of the genus Gomphrena (G. globosa), bearing round heads of variously colored flowers, which long retain color when gathered. -- Globe animalcule, a small, globular, locomotive organism (Volvox globator), once throught to be an animal, afterward supposed to be a colony of microscopic algæ. -- Globe of compression (Mil.), a kind of mine producing a wide crater; -- called also overcharged mine. -- Globe daisy (Bot.), a plant or flower of the genus Globularing, common in Europe. The flowers are minute and form globular heads. -- Globe sight, a form of front sight placed on target rifles. -- Globe slater (Zoöl.), an isopod crustacean of the genus Spheroma. -- Globe thistle (Bot.), a thistlelike plant with the flowers in large globular heads (Cynara Scolymus); also, certain species of the related genus Echinops. -- Globe valve. (a) A ball valve. (b) A valve inclosed in a globular chamber. Knight. Syn. -- Globe, Sphere, Orb, Ball. -- Globe denotes a round, and usually a solid body; sphere is the term applied in astronomy to such a body, or to the concentric spheres or orbs of the old astronomers; orb is used, especially in poetry, for globe or sphere, and also for the pathway of a heavenly body; ball is applied to the heavenly bodies concieved of as impelled through space.\n\nTo gather or form into a globe.
globe-shaped |Shaped like a globe.
globefish |A plectognath fish of the genera Diodon, Tetrodon, and allied genera. The globefishes can suck in water or air and distend the body to a more or less globular form. Called also porcupine fish, and sea hedgehog. See Diodon.
globeflower |(a) A plant of the genus Trollius (T. Europæus), found in the mountainous parts of Europe, and producing handsome globe-shaped flowers. (b) The American plant Trollius laxus. Japan globeflower. See Corchorus.
globiferous |Having a round or globular tip.
globigerina |A genus of small Foraminifera, which live abundantly at or near the surface of the sea. Their dead shells, falling to the bottom, make up a large part of the soft mud, generally found in depths below 3,000 feet, and called globigerina ooze. See Illust. of Foraminifera.
globose |Having a rounded form resembling that of a globe; globular, or nearly so; spherical. Milton.
globosely |In a globular manner; globularly.
globosity |Sphericity. Ray.
globous |Spherical. Milton.
globular |Globe-shaped; having the form of a ball or sphere; spherical, or nearly so; as, globular atoms. Milton. Globular chart, a chart of the earth's surface constructed on the principles of the globular projection. -- Globular projection (Map Projection), a perspective projection of the surface of a hemisphere upon a plane parallel to the base of the hemisphere, the point of sight being taken in the axis produced beyond the surface of the opposite hemisphere a distance equal to the radius of the sphere into the sine of 45º. -- Globular sailing, sailing on the arc of a great circle, or so as to make the shortest distance between two places; circular sailing.
globularity |The state of being globular; globosity; sphericity.
globularly |Spherically.
globularness |Sphericity; globosity.
globule |1. A little globe; a small particle of matter, of a spherical form. Globules of snow. Sir I. Newton. These minute globules [a mole's eyes] are sunk . . . deeply in the skull. Paley. 2. (Biol.)  A minute spherical or rounded structure; as blood, lymph, and pus corpuscles, minute fungi, spores, etc. 3. A little pill or pellet used by homeopathists.
globulet |A little globule. Crabb.
globuliferous |Bearing globules; in geology, used of rocks, and denoting a variety of concretionary structure, where the concretions are isolated globules and evenly distributed through the texture of the rock.
globulimeter |An instrument for measuring the number of red blood corpuscles in the blood. Note: The method depends on the differences of tint obtained by mixing a sample of the blood with sodium carbonate solution.
globulin |An albuminous body, insoluble in water, but soluble in dilute solutions of salt. It is present in the red blood corpuscles united with hæmatin to form hæmoglobin. It is also found in the crystalline lens of the eye, and in blood serum, and is sometimes called crystallin. In the plural the word is applied to a group of proteid substances such as vitellin, myosin, fibrinogen, etc., all insoluble in water, but soluble in dilute salt solutions.
globulite |A rudimentary form of crystallite, spherical in shape.
globulous |Globular; spherical; orbicular. -- Glob\"u*lous*ness, n.
globy |Resembling, or pertaining to, a globe; round; orbicular. \"The globy sea.\" Milton.
glochidiate |Having barbs; as, glochidiate bristles. Gray.
glochidium |The larva or young of the mussel, formerly thought to be a parasite upon the parent's gills.
glockenspiel |An instrument, originally a series of bells on an iron rod, now a set of flat metal bars, diatonically tuned, giving a bell-like tone when played with a mallet; a carillon.
glode |imp. of Glide. Chaucer.
glombe |To gloom; to look gloomy, morose, or sullen. [Obs.] Surrey.
glome |To gloom; to look gloomy, morose, or sullen. [Obs.] Surrey.\n\nGloom. [Obs.]\n\nOne of the two prominences at the posterior extremity of the frog of the horse's foot.
glomerate |Gathered together in a roundish mass or dense cluster; conglomerate.\n\nTo gather or wind into a ball; to collect into a spherical form or mass, as threads.
glomeration |1. The act of forming or gathering into a ball or round mass; the state of being gathered into a ball; conglomeration. 2. That which is formed into a ball; a ball. Bacon.
glomerous |Gathered or formed into a ball or round mass. [Obs.] Blount.
glomerule |1. (Bot.)  A head or dense cluster of flowers, formed by condensation of a cyme, as in the flowering dogwood. 2. (Anat.)  A glomerulus.
glomerulus |The bunch of looped capillary blood vessels in a Malpighian capsule of the kidney.
glomuliferous |Having small clusters of minutely branched coral-like excrescences. M. C. Cooke.
glonoin |1. Same as Nitroglycerin; -- called also oil of glonoin. [Obs.] 2. (Med.)  A dilute solution of nitroglycerin used as a neurotic.
glonoine |1. Same as Nitroglycerin; -- called also oil of glonoin. [Obs.] 2. (Med.)  A dilute solution of nitroglycerin used as a neurotic.
gloom |1. Partial or total darkness; thick shade; obscurity; as, the gloom of a forest, or of midnight. 2. A shady, gloomy, or dark place or grove. Before a gloom of stubborn-shafted oaks. Tennyson . 3. Cloudiness or heaviness of mind; melancholy; aspect of sorrow; low spirits; dullness. A sullen gloom and furious disorder prevailed by fits. Burke. 4. In gunpowder manufacture, the drying oven. Syn. -- Darkness; dimness; obscurity; heaviness; dullness; depression; melancholy; dejection; sadness. See Darkness.\n\n1. To shine or appear obscurely or imperfectly; to glimmer. 2. To become dark or dim; to be or appear dismal, gloomy, or sad; to come to the evening twilight. The black gibbet glooms beside the way. Goldsmith. [This weary day] . . . at last I see it gloom. Spenser.\n\n1. To render gloomy or dark; to obscure; to darken. A bow window . . . gloomed with limes. Walpole. A black yew gloomed the stagnant air. Tennyson. 2. To fill with gloom; to make sad, dismal, or sullen. Such a mood as that which lately gloomed Your fancy. Tennison. What sorrows gloomed that parting day. Goldsmith.
gloomily |In a gloomy manner.
gloominess |State of being gloomy. Addison.
glooming |Twilight (of morning or evening); the gloaming. When the faint glooming in the sky First lightened into day. Trench. The balmy glooming, crescent-lit. Tennyson.
gloomth |Gloom. [R.] Walpole.
gloomy |1. Imperfectly illuminated; dismal through obscurity or darkness; dusky; dim; clouded; as, the cavern was gloomy. \"Though hid in gloomiest shade.\" Milton. 2. Affected with, or expressing, gloom; melancholy; dejected; as, a gloomy temper or countenance. Syn. -- Dark; dim; dusky; dismal; cloudy; moody; sullen; morose; melancholy; sad; downcast; depressed; dejected; disheartened.
gloppen |To surprise or astonish; to be startled or astonished. [Prov. Eng.] Halliwell.
glore |To glare; to glower. [Obs.] Halliwell.
gloria |(a) A doxology (beginning Gloria Patri, Glory be to the Father), sung or said at the end of the Psalms in the service of the Roman Catholic and other churches. (b) A portion of the Mass (Gloria in Excelsis Deo, Glory be to God on high), and also of the communion service in some churches. In the Episcopal Church the version in English is used. (c) The musical setting of a gloria.
gloriation |Boast; a triumphing. [Obs.] Bp. Richardson. Internal gloriation or triumph of the mind. Hobbes.
gloried |Illustrious; honorable; noble. [Obs.] Milton.
glorification |1. The act of glorifyng or of giving glory to. Jer. Taylor. 2. The state of being glorifed; as, the glorification of Christ after his resurrection.
glorify |1. To make glorious by bestowing glory upon; to confer honor and distinction upon; to elevate to power or happiness, or to celestial glory. Jesus was not yet glorified. John vii. 39. 2. To make glorious in thought or with the heart, by ascribing glory to; to asknowledge the excellence of; to render homage to; to magnify in worship; to adore. That we for thee may glorify the Lord. Shak.
gloriole |An aureole. [R.] Msr. Browning.
gloriosa |A genus of climbing plants with very showy lilylike blossoms, natives of India.
glorioser |A boaster. [Obs.] Greene.
glorioso |A boaster. [Obs.] Fuller.
glorious |1. Exhibiting attributes, qualities, or acts that are worthy of or receive glory; noble; praiseworthy; excellent; splendid; illustrious; inspiring admiration; as, glorious deeds. These are thy glorious works, Parent of good ! Milton. 2. Eager for glory or distinction; haughty; boastful; ostentatious; vainglorious. [Obs.] Most miserable Is the desire that's glorious. Shak. 3. Ecstatic; hilarious; elated with drink. [Colloq.] kings may be blest, but Tam was glorious, O'er all the ills of life victorious. Burns. During his office treason was no crime, The sons of Belial had a glorious time. Dryden. Syn. -- Eniment; noble; excellent; renowned; illustrious; celebrated; magnificent; grand; splendid. -- Glo\"ri*ous*ly, adv. -- Glo\"ri*ous*ness, n. Udall. Sing ye to the Lord, for he hath triumphed gloriously. Ex. xv. 21. I speak it not gloriously, nor out of affectation. B. Jonson.
glory |1. Praise, honor, admiration, or distinction, accorded by common consent to a person or thing; high reputation; honorable fame; renown. Glory to God in the highest. Luke ii. 14. Spread his glory through all countries wide. Spenser. 2. That quality in a person or thing which secures general praise or honor; that which brings or gives renown; an object of pride or boast; the occasion of praise; excellency; brilliancy; splendor. Think it no glory to swell in tyranny. Sir P. Sidney. Jewels lose their glory if neglected. Shak. Your sex's glory 't is to shine unknown. Young. 3. Pride; boastfulness; arrogance. In glory of thy fortunes. Chapman. 4. The presence of the Divine Being; the manifestations of the divine nature and favor to the blessed in heaven; celestial honor; heaven. Thou shalt guide me with thy counsel, and afterward receive me to glory. Ps. lxxiii. 24. 5. An emanation of light supposed to proceed from beings of peculiar sanctity. It is represented in art by rays of gold, or the like, proceeding from the head or body, or by a disk, or a mere line. Note: This is the general term; when confined to the head it is properly called nimbus; when encircling the whole body, aureola or aureole. Glory hole, an opening in the wall of a glass furnace, exposing the brilliant white light of the interior. Knight. -- Glory pea (Bot.), the name of two leguminous plants (Clianthus Dampieri and C. puniceus) of Australia and New Zeland. They have showy scarlet or crimson flowers. -- Glory tree (Bot.), a name given to several species of the verbenaceous genus Clerodendron, showy flowering shrubs of tropical regions.\n\n1. To exult with joy; to rejoice. Glory ye in his holy name. Ps. cv. 2. To boast; to be proud. God forbid that I should glory, save in the cross of our Lord Jesus Christ. Gal. vi. 14 No one . . . should glory in his prosperity. Richardson.
glose |See Gloze. Chaucer.
gloser |See Glosser.
gloss |1. Bbrightness or luster of a body proceeding from a smooth surface; polish; as, the gloss of silk; cloth is calendered to give it a gloss. It is no part . . . to set on the face of this cause any fairer gloss than the naked truth doth afford. Hooker. 2. A specious appearance; superficial quality or show. To me more dear, congenial to my heart, One native charm than all the gloss of art. Goldsmith.\n\nTo give a superficial luster or gloss to; to make smooth and shining; as, to gloss cloth. The glossed and gleamy wave. J. R. Drake.\n\n1. A foreign, archaic, technical, or other uncommon word requiring explanation. [Obs.] 2. An interpretation, consisting of one or more words, interlinear or marginal; an explanatory note or comment; a running commentary. All this, without a gloss or comment, He would unriddle in a moment. Hudibras. Explaining the text in short glosses. T. Baker. 3. A false or specious explanation. Dryden.\n\n1. To render clear and evident by comments; to illustrate; to explain; to annotate. 2. To give a specious appearance to; to render specious and plausible; to palliate by specious explanation. You have the art to gloss the foulest cause. Philips.\n\n1. To make comments; to comment; to explain. Dryden. 2. To make sly remarks, or insinuations. Prior.
glossa |The tongue, or lingua, of an insect. See Hymenoptera.
glossal |Of or pertaining to the tongue; lingual.
glossanthrax |A disease of horses and cattle accompanied by carbuncles in the mouth and on the tongue.
glossarial |Of or pertaining to glosses or to a glossary; containing a glossary.
glossarially |In the manner of a glossary.
glossarist |A writer of glosses or of a glossary; a commentator; a scholiast. Tyrwhitt.
glossary |A collection of glosses or explanations of words and passages of a work or author; a partial dictionary of a work, an author, a dialect, art, or science, explaining archaic, technical, or other uncommon words.
glossata |The Lepidoptera.
glossator |A writer of glosses or comments; a commentator. [R.] \"The . . . glossators of Aristotle.\" Milman.
glosser |A polisher; one who gives a luster.\n\nA writer of glosses; a scholiast; a commentator. L. Addison.
glossic |A system of phonetic spelling based upon the present values of English letters, but invariably using one symbol to represent one sound only. Ingglish Glosik konvaiA. J. Ellis.
glossily |In a glossy manner.
glossiness |The condition or quality of being glossy; the luster or brightness of a smooth surface. Boyle.
glossist |A writer of comments. [Obs.] Milton.
glossitis |Inflammation of the tongue.
glossly |Like gloss; specious. Cowley.
glossocomon |A kind of hoisting winch.
glossoepiglottic |Pertaining to both tongue and epiglottis; as, glossoepiglottic folds.
glossographer |A writer of a glossary; a commentator; a scholiast. Hayward.
glossographical |Of or pertaining to glossography.
glossography |The writing of glossaries, glosses, or comments for illustrating an author.
