cystoidea |Same as Cystidea.
dado |(a) That part of a pedestal included between the base and the cornice (or surbase); the die. See Illust. of Column. Hence: (b) In any wall, that part of the basement included between the base and the base course. See Base course, under Base. (c) In interior decoration, the lower part of the wall of an apartment when adorned with moldings, or otherwise specially decorated.
daedal |1. Cunningly or ingeniously formed or working; skillful; artistic; ingenious. Our bodies decked in our dædalian arms. Chapman. The dædal hand of Nature. J. Philips. The doth the dædal earth throw forth to thee, Out of her fruitful, abundant flowers. Spenser. 2. Crafty; deceitful. [R.] Keats.
daedalian |1. Cunningly or ingeniously formed or working; skillful; artistic; ingenious. Our bodies decked in our dædalian arms. Chapman. The dædal hand of Nature. J. Philips. The doth the dædal earth throw forth to thee, Out of her fruitful, abundant flowers. Spenser. 2. Crafty; deceitful. [R.] Keats.
daedalous |Having a variously cut or incised margin; -- said of leaves.
daemon |See Demon, Demonic.
daemonic |See Demon, Demonic.
daff |To cast aside; to put off; to doff. [Obs.] Canst thou so daff me Thou hast killed my child. Shak.\n\nA stupid, blockish fellow; a numskull. [Obs.] Chaucer.\n\nTo act foolishly; to be foolish or sportive; to toy. [Scot.] Jamieson.\n\nTo daunt. [Prov. Eng.] Grose.
daffodil |(a) A plant of the genus Asphodelus. (b) A plant of the genus Narcissus (N. Pseudo-narcissus). It has a bulbous root and beautiful flowers, usually of a yellow hue. Called also daffodilly, daffadilly, daffadowndilly, daffydowndilly, etc. With damasc roses and daffadowndillies set. Spenser. Strow me the ground with daffadowndillies, And cowslips, and kingcups, and loved lilies. Spenser. A college gown That clad her like an April Daffodilly. Tennyson And chance-sown daffodil. Whittier.
daft |1. Stupid; folish; idiotic; also, delirious; insance; as, he has gone daft. Let us think no more of this daft business Sir W. Scott. 2. Gay; playful; frolicsome. [Scot.] Jamieson.
daftness |The quality of being daft.
dag |1. A dagger; a poniard. [Obs.] Johnson. 2. A large pistol formerly used. [Obs.] The Spaniards discharged their dags, and hurt some. Foxe. A sort of pistol, called dag, was used about the same time as hand guns and harquebuts. Grose. 3. (Zoöl.)  The unbrunched antler of a young deer.\n\nA misty shower; dew. [Obs.]\n\nA loose end; a dangling shred. Daglocks, clotted locks hanging in dags or jags at a sheep's tail. Wedgwood.\n\n1. To daggle or bemire. [Prov. Eng.] Johnson. 2. To cut into jags or points; to slash; as, to dag a garment. [Obs.] Wright.\n\nTo be misty; to drizzle. [Prov. Eng.]
dag-tailed |Daggle-tailed; having the tail clogged with daglocks. \"Dag- tailed sheep.\" Bp. Hall.
dagger |1. A short weapon used for stabbing. This is the general term: cf. Poniard, Stiletto, Bowie knife, Dirk, Misericorde, Anlace. 2. (Print.)  A mark of reference in the form of a dagger [|]. It is the second in order when more than one reference occurs on a page; -- called also obelisk. Dagger moth (Zoöl.), any moth of the genus Apatalea. The larvæ are often destructive to the foliage of fruit trees, etc. -- Dagger of lath, the wooden weapon given to the Vice in the old Moralities. Shak. -- Double dagger, a mark of reference [] which comes next in order after the dagger. -- To look, or speak, daggers, to look or speak fiercely or reproachfully.\n\nTo pierce with a dagger; to stab. [Obs.]\n\nA timber placed diagonally in a ship's frame. Knight.
dagges |An ornamental cutting of the edges of garments, introduced about a. d. 1346, according to the Chronicles of St Albans. [Obs.] Halliwell.
daggle |To trail, so as to wet or befoul; to make wet and limp; to moisten. The warrior's very plume, I say, Was daggled by the dashing spray. Sir W. Scott.\n\nTo run, go, or trail one's self through water, mud, or slush; to draggle. Nor, like a puppy [have I] daggled through the town. Pope.
daggle-tail |Having the lower ends of garments defiled by trailing in mire or filth; draggle-tailed.\n\nA slovenly woman; a slattern; a draggle-tail.
daggle-tailed |Having the lower ends of garments defiled by trailing in mire or filth; draggle-tailed.
daglock |A dirty or clotted lock of wool on a sheep; a taglock.
dago |A nickname given to a person of Spanish (or, by extension, Portuguese or Italian) descent. [U. S.]
dagoba |A dome-shaped structure built over relics of Buddha or some Buddhist saint. [East Indies]
dagon |The national god of the Philistines, represented with the face and hands and upper part of a man, and the tail of a fish. W. Smith. This day a solemn feast the people hold To Dagon, their sea idol. Milton. They brought it into the house of Dagon. 1 Sam. v. 2.\n\nA slip or piece. [Obs.] Chaucer.
dagswain |Acoarse woolen fabric made of daglocks, or the refuse of wool. \"Under coverlets made of dagswain.\" Holinshed.
daguerrean |Pertaining to Daguerre, or to his invention of the daguerreotype.
daguerreian |Pertaining to Daguerre, or to his invention of the daguerreotype.
daguerreotype |1. An early variety of photograph, produced on a silver plate, or copper plate covered with silver, and rendered sensitive by the action of iodine, or iodine and bromine, on which, after exposure in the camera, the latent image is developed by the vapor of mercury. 2. The process of taking such pictures.\n\n1. To produce or represent by the daguerreotype process, as a picture. 2. To impress with great distinctness; to imprint; to imitate exactly.
daguerreotyper |One who takes daguerreotypes.
daguerreotypist |One who takes daguerreotypes.
daguerreotypy |The art or process of producing pictures by method of Daguerre.
dahabeah |A nile boat
dahlia |A genus of plants native to Mexico and Central America, of the order Compositæ; also, any plant or flower of the genus. The numerous varieties of cultivated dahlias bear conspicuous flowers which differ in color.
dahlin |A variety of starch extracted from the dahlia; -- called also inulin. See Inulin.
dahoon |An evergreen shrub or small tree (Ilex cassine) of the southern United States, bearing red drupes and having soft, white, close- grained wood; -- called also dahoon holly.
dailiness |Daily occurence. [R.]
daily |Happening, or belonging to, each successive day; diurnal; as, daily labor; a daily bulletin. Give us this day our daily bread. Matt. vi. 11. Bunyan has told us . . . that in New England his dream was the daily subject of the conversation of thousands. Macaulay. Syn. -- Daily, Diurnal. Daily is Anglo-Saxon, and diurnal is Latin. The former is used in reference to the ordinary concerns of life; as, daily wants, daily cares, daily employments. The latter is appropriated chiefly by astronomers to what belongs to the astronomical day; as, the diurnal revolution of the earth. Man hath his daily work of body or mind Appointed, which declares his dignity, And the regard of Heaven on all his ways. Milton. Half yet remains unsung, but narrower bound Within the visible diurnal sphere. Milton.\n\nA publication which appears regularly every day; as, the morning dailies.\n\nEvery day; day by day; as, a thing happens daily.
daimio |The title of the feudal nobles of Japan.daimyo The daimios, or territorial nobles, resided in Yedo and were divided into four classes. Am. Cyc.
daint |Something of exquisite taste; a dainty. [Obs.] -- a.  Dainty. [Obs.] To cherish him with diets daint. Spenser.
daintify |To render dainty, delicate, or fastidious. \"Daintified emotion.\" Sat. rev.
daintily |In a dainty manner; nicely; scrupulously; fastidiously; deliciously; prettily.
daintiness |The quality of being dainty; nicety; niceness; elegance; delicacy; deliciousness; fastidiousness; squeamishness. The daintiness and niceness of our captains Hakluyt. More notorious for the daintiness of the provision . . . than for the massiveness of the dish. Hakewill. The duke exeeded in the daintiness of his leg and foot, and the earl in the fine shape of his hands, Sir H. Wotton.
daintrel |Adelicacy. [Obs.] Halliwell.
dainty |1. Value; estimation; the gratification or pleasure taken in anything. [Obs.] I ne told no deyntee of her love. Chaucer. 2. That which is delicious or delicate; a delicacy. That precious nectar may the taste renew Of Eden's dainties, by our parents lost. Beau. & Fl. 3. A term of fondness. [Poetic] B. Jonson. Syn. -- Dainty, Delicacy. These words are here compared as denoting articles of food. The term delicacy as applied to a nice article of any kind, and hence to articles of food which are particularly attractive. Dainty is stronger, and denotes some exquisite article of cookery. A hotel may be provided with all the delicacies of the season, and its table richly covered with dainties. These delicacies I mean of taste, sight, smell, herbs, fruits, and flowers, Walks and the melody of birds. Milton. [A table] furnished plenteously with bread, And dainties, remnants of the last regale. Cowper.\n\n1. Rare; valuable; costly. [Obs.] Full many a deynté horse had he in stable. Chaucer. Note: Hence the proverb \"dainty maketh dearth,\" i. e., rarity makes a thing dear or precious. 2. Delicious to the palate; toothsome. Dainty bits Make rich the ribs. Shak. 3. Nice; delicate;elegant, in form, manner, or breeding; well-formed; neat; tender. Those dainty limbs which nature lent For gentle usage and soft delicacy. Milton. Iwould be the girdle. About her dainty, dainty waist. Tennyson. 4. Requirinig daintles. Hence; Overnice; hard to please; fastidious; sqrupulous; ceremonious. Thew were a fine and Dainty people. Bacon. And let us not be dainty of leave taking, But shift away. Shak. To make dainty, to assume or affect delicacy or fastidiousness. [Obs.] Ah ha, my mistresses! which of you all Will now deny to dance She that makes dainty, She, I'll swear, hath corns. Shak.
daira |Any of several valuable estates of the Egyptian khedive or his family. The most important are the Da\"i*ra Sa\"ni*eh, or Sa\"ni*yeh, and the Da\"i*ra Khas\"sa, administered by the khedive's European bondholders, and known collectively as the Daira, or the Daira estates.
dairy |1. The place, room, or house where milk is kept, and converted into butter or cheese. What stores my dairies and my folds contain. Dryden. 2. That department of farming which is concerned in the production of milk, and its conversion into butter and cheese. Grounds were turned much in England either to feeding or dairy; and this advanced the trade of English butter. Temple. 3. A dairy farm. [R.] Note: Dairy is much used adjectively or in combination; as, dairy farm, dairy countries, dairy house or dairyhouse, dairyroom, dairywork, etc.
dairying |The business of conducting a dairy.
dairymaid |A female servant whose business is the care of the dairy.
dairyman |A man who keeps or takes care of a dairy.
dairywoman |A woman who attends to a dairy.
dais |1. The high or principal table, at the end of a hall, at which the chief guests were seated; also, the chief seat at the high table. [Obs.] 2. A platform slightly raised above the floor of a hall or large room, giving distinction to the table and seats placed upon it for the chief guests. 3. A canopy over the seat of a person of dignity. [Obs.] Shiply.
daisied |Full of daisies; adorned with daisies. \"The daisied green.\" Langhorne. The grass all deep and daisied. G. Eliot.
daisy |(a) A genus of low herbs (Bellis), belonging to the family Compositæ. The common English and classical daisy is B. prennis, which has a yellow disk and white or pinkish rays. (b) The whiteweed (Chrysanthemum Leucanthemum), the plant commonly called daisy in North America; -- called also oxeye daisy. See Whiteweed. Note: The word daisy is also used for composite plants of other genera, as Erigeron, or fleabane. Michaelmas daisy (Bot.), any plant of the genus Aster, of which there are many species. -- Oxeye daisy (Bot.), the whiteweed. See Daisy (b).
dak |Post; mail; also, the mail or postal arrangements; -- spelt also dawk, and dauk. [India] Dak boat, a mail boat. Percy Smith. -- Dak bungalow, a traveler's rest-house at the and of a dak stage. -- To travel by dak, to travel by relays of palanquines or other carriage, as fast as the post along a road.
daker |A measure of certain commodities by number, usually ten or twelve, but sometimes twenty; as, a daker of hides consisted of ten skins; a daker of gloves of ten pairs. Burrill.
daker hen |The corncrake or land rail.
dakir |A measure of certain commodities by number, usually ten or twelve, but sometimes twenty; as, a daker of hides consisted of ten skins; a daker of gloves of ten pairs. Burrill.
dakoit |See Dacoit, Dacoity.
dakoity |See Dacoit, Dacoity.
dakota group |A subdivision at the base of the cretaceous formation in Western North America; -- so named from the region where the strata were first studied.
dakotas |An extensive race or stock of Indians, including many tribes, mostly dwelling west of the Mississippi River; -- also, in part, called Sioux. [Written also Dacotahs.]
dal |Split pulse, esp. of Cajanus Indicus. [East Indies]
dal segno |A direction to go back to the sign Segno.
dale |1. A low place between hills; a vle or valley. Where mountaines rise, umbrageous dales descend. Thomson. 2. A trough or spout to carry off water, as from a pump. Knight.
dalesman |One living in a dale; -- a term applied particularly to the inhabitants of the valleys in the north of England, Norway, etc. Macaulay.
dalf |imp. of Delve. [Obs.] Chaucer.
dalles |A rapid, esp. one where the channel is narrowed between rock walls. [Northwestern U. S. & Canada] The place below, where the compressed river wound like a silver thread among the flat black rocks, was the far-famed Dalles of the Columbia. F. H. Balch.
dalliance |1. The act of dallying, trifling, or fondling; interchange of caresses; wanton play. Look thou be true, do not give dalliance Too mnch the rein. Shak. O, the dalliance and the wit, The flattery and the strifeTennyson. 2. Delay or procrastination. Shak. 3. Entertaining discourse. [Obs.] Chaucer.
dallier |One Who fondles; a trifler; as, dalliers with pleasant words. Asham.
dallop |A tuft or clump. [Obs.] Tusser.
dally |1. To waste time in effeminate or voluptuous pleasures, or in idleness; to fool away time; to delay unnecessarily; to tarry; to trifle. We have trifled too long already; it is madness to dally any longer. Calamy. We have put off God, and dallied with his grace. Barrow. 2. To interchange caresses, especially with one of the opposite sex; to use fondling; to wanton; to sport. Not dallying with a brace of courtesans. Shak. Our aerie . . . dallies with the wind. Shak.\n\nTo delay unnecessarily; to while away. Dallying off the time with often skirmishes. Knolles.
dalmania |A genus of trilobites, of many species, common in the Upper Silurian and Devonian rocks.
dalmanites |Same as Dalmania.
dalmatian |Of or pertaining to Dalmatia. Dalmatian dog (Zoöl.), a carriage dog, shaped like a pointer, and having black or bluish spots on a white ground; the coach dog.
dalmatic |1. (R. C. Ch.)  A vestment with wide sleeves, and with two stripes, worn at Mass by deacons, and by bishops at pontifical Mass; -- imitated from a dress originally worn in Dalmatia. 2. A robe worn on state ocasions, as by English kings at their coronation.
dalmatica |1. (R. C. Ch.)  A vestment with wide sleeves, and with two stripes, worn at Mass by deacons, and by bishops at pontifical Mass; -- imitated from a dress originally worn in Dalmatia. 2. A robe worn on state ocasions, as by English kings at their coronation.
daltonian |One afflicted with color blindness.
daltonism |Inability to perceive or distinguish certain colors, esp. red; color blindness. It has various forms and degrees. So called from the chemist Dalton, who had this infirmity. Nichol.
dam |1. A female parent; -- used of beasts, especially of quadrupeds; sometimes applied in contempt to a human mother. Our sire and dam, now confined to horses, are a relic of this age (13th century) . . . .Dame is used of a hen; we now make a great difference between dame and dam. T. L. K. Oliphant. The dam runs lowing up end down, Looking the way her harmless young one went. Shak. 2. A kind or crowned piece in the game of draughts.\n\n1. A barrier to prevent the flow of a liquid; esp., a bank of earth, or wall of any kind, as of masonry or wood, built across a water course, to confine and keep back flowing water. 2. (Metal.)  A firebrick wall, or a stone, which forms the front of the hearth of a blast furnace. Dam plate (Blast Furnace), an iron plate in front of the dam, to strengthen it.\n\n1. To obstruct or restrain the flow of, by a dam; to confine by constructing a dam, as a stream of water; -- generally used with in or up. I'll have the current in this place dammed up. Shak. A weight of earth that dams in the water. Mortimer. 2. To shut up; to stop up; to close; to restrain. The strait pass was dammed With dead men hurt behind, and cowards. Shak. To dam out, to keep out by means of a dam.
damage |1. Injury or harm to person, property, or reputation; an inflicted loss of value; detriment; hurt; mischief. He that sendeth a message by the hand of a fool cutteth off the feet and drinketh damage. Prov. xxvi. 6. Great errors and absurdities many commit for want of a friend to tell them of them, to the great damage both of their fame and fortune. Bacon. 2. pl. (Law)  The estimated reparation in money for detriment or injury sustained; a compensation, recompense, or satisfaction to one party, for a wrong or injury actually done to him by another. Note: In common-law action, the jury are the proper judges of damages. Consequential damage. See under Consequential. -- Exemplary damages (Law), damages imposed by way of example to others. -- Nominal damages (Law), those given for a violation of a right where no actual loss has accrued. -- Vindictive damages, those given specially for the punishment of the wrongdoer. Syn. -- Mischief; injury; harm; hurt; detriment; evil; ill. See Mischief.\n\nTo ocassion damage to the soudness, goodness, or value of; to hurt; to injure; to impair. He . . . came up to the English admiral and gave him a broadside, with which he killed many of his men and damaged the ship. Clarendon.\n\nTo receive damage or harm; to be injured or impaired in soudness or value; as. some colors in damage in sunlight.
damage feasant |Doing injury; trespassing, as cattle. Blackstone.
damageable |1. Capable of being injured or impaired; liable to, or susceptible of, damage; as, a damageable cargo. 2. Hurtful; pernicious. [R.] That it be not demageable unto your royal majesty. Hakluit.
daman |A small herbivorous mammal of the genus Hyrax. The species found in Palestine and Syria is Hyrax Syriacus; that of Northern Africa is H. Brucei; -- called also ashkoko, dassy, and rock rabbit. See Cony, and Hyrax.
damar |See Dammar.
damara |A native of Damaraland, German Southwest Africa. The Damaras include an important and warlike Bantu tribe, and the Hill Damaras, who are Hottentots and mixed breeds hostile to the Bantus.
damascene |Of or relating to Damascus.\n\nA kind of plume, now called damson. See Damson.\n\nSame as Damask, or Damaskeen, v. t. \"Damascened armor.\" Beaconsfield. \"Cast and damascened steel.\" Ure.
damascus |A city of Syria. Damascus blade, a sword or scimiter, made chiefly at Damascus, having a variegated appearance of watering, and proverbial for excellence. -- Damascus iron, or Damascus twist, metal formed of thin bars or wires of iron and steel elaborately twisted and welded together; used for making gun barrels, etc., of high quality, in which the surface, when polished and acted upon by acid, has a damasc appearance. -- Damascus steel. See Damask steel, under Damask, a.
damascus steel |See Damask steel, under Damask.
damask |1. Damask silk; silk woven with an elaborate pattern of flowers and the like. \"A bed of ancient damask.\" W. Irving. 2. Linen so woven that a pattern in produced by the different directions of the thread, without contrast of color. 3. A heavy woolen or worsted stuff with a pattern woven in the same way as the linen damask; -- made for furniture covering and hangings. 4. Damask or Damascus steel; also, the peculiar markings or \"water\" of such steel. 5. A deep pink or rose color. Fairfax.\n\n1. Pertaining to, or originating at, the city of Damascus; resembling the products or manufactures of Damascus. 2. Having the color of the damask rose. But let concealment, like a worm i' the bud, Feed on her damask cheek. Shak. Damask color, a deep rose-color like that of the damask rose. -- Damask plum, a small dark-colored plum, generally called damson. -- Damask rose (Bot.), a large, pink, hardy, and very fragrant variety of rose (Rosa damascena) from Damascus. \"Damask roses have not been known in England above one hundred years.\" Bacon. -- Damask steel, or Damascus steel, steel of the kind originally made at Damascus, famous for its hardness, and its beautiful texture, ornamented with waving lines; especially, that which is inlaid with damaskeening; -- formerly much valued for sword blades, from its great flexibility and tenacity.\n\nTo decorate in a way peculiar to Damascus or attributed to Damascus; particularly: (a) with flowers and rich designs, as silk; (b) with inlaid lines of gold, etc., or with a peculiar marking or \"water,\" as metal. See Damaskeen. Mingled metal damasked o'er with gold. Dryde On the soft, downy bank, damasked with flowers. Milton.
damaskeen |To decorate, as iron, steel, etc., with a peculiar marking or \"water\" produced in the process of manufacture, or with designs produced by inlaying or incrusting with another metal, as silver or gold, or by etching, etc., to damask. Damaskeening is is partly mosaic work, partly engraving, and partly carving. Ure.
damasken |To decorate, as iron, steel, etc., with a peculiar marking or \"water\" produced in the process of manufacture, or with designs produced by inlaying or incrusting with another metal, as silver or gold, or by etching, etc., to damask. Damaskeening is is partly mosaic work, partly engraving, and partly carving. Ure.
damaskin |A sword of Damask steel. No old Toledo blades or damaskins. Howell
damasse |Woven like damask. -- n.  A damassé fabric, esp. one of linen.
damassin |A kind of modified damask or blocade.
dambonite |A white crystalline, sugary substance obtained from an African caotchouc.
dambose |A crystalline vari ety of fruit sugar obtained from dambonite.
dame |1. A mistress of a family, who is a lady; a womam in authority; especially, a lady. Then shall these lords do vex me half so much, As that proud dame, the lord protector's wife. Shak. 2. The mistress of a family in common life, or the mistress of a common school; as, a dame's school. In the dame's classes at the village school. Emerson. 3. A woman in general, esp. an elderly woman. 4. A mother; -- applied to human beings and quadrupeds. [Obs.] Chaucer.
damewort |A cruciferrous plant (Hesperis matronalis), remarkable for its fragrance, especially toward the close of the day; -- called also rocket and dame's violet. Loudon.
damiana |A Mexican drug, used as an aphrodisiac. Note: There are several varieties derived from different plants, esp. from a species of Turnera and from Bigelovia veneta. Wood & Bache.
damianist |A follower of Damian, patriarch of Alexandria in the 6th century, who held heretical opinions on the doctrine of the Holy Trinity.
dammar |An oleoresin used in making varnishes; dammar gum; dammara resin. It is obtained from certain resin trees indigenous to the East Indies, esp. Shorea robusta and the dammar pine. Dammar pine, (Bot.), a tree of the Moluccas (Agathis, or Dammara, orientalis), yielding dammar.
dammara |An oleoresin used in making varnishes; dammar gum; dammara resin. It is obtained from certain resin trees indigenous to the East Indies, esp. Shorea robusta and the dammar pine. Dammar pine, (Bot.), a tree of the Moluccas (Agathis, or Dammara, orientalis), yielding dammar.\n\nA large tree of the order Coniferæ, indigenous to the East Indies and Australasia; -- called also Agathis. There are several species.
damn |1. To condemn; to declare guilty; to doom; to adjudge to punishment; to sentence; to censhure. He shall not live; look, with a spot I damn him. Shak. 2. (Theol.)  To doom to punishment in the future world; to consign to perdition; to curse. 3. To condemn as bad or displeasing, by open expression, as by denuciation, hissing, hooting, etc. You are not so arrant a critic as to damn them [the works of modern poets] . . . without hearing. Pope. Damn with faint praise, assent with civil leer, And without sneering teach the rest to sneer. Pope. Note: Damn is sometimes used interjectionally, imperatively, and intensively.\n\nTo invoke damnation; to curse. \"While I inwardly damn.\" Goldsmith.
damnability |The quality of being damnable; damnableness. Sir T. More.
