diminishable |Capable of being diminished or lessened.
dimorphism |1. (Biol.)  Difference of form between members of the same species, as when a plant has two kinds of flowers, both hermaphrodite (as in the partridge berry), or when there are two forms of one or both sexes of the same species of butterfly. Dimorphism is the condition of the appearance of the same species under two dissimilar forms. Darwin. 2. (Crystallog.)  Crystallization in two independent forms of the same chemical compound, as of calcium carbonate as calcite and aragonite.
dimorphous |1. (Biol.)  Characterized by dimorphism; occurring under two distinct forms, not dependent on sex; dimorphic. 2. (Crystallog.)  Crystallizing under two forms fundamentally different, while having the same chemical composition.
dimple |1. A slight natural depression or indentation on the surface of some part of the body, esp. on the cheek or chin. Milton. The dimple of her chin. Prior. 2. A slight indentation on any surface. The garden pool's dark surface . . . Breaks into dimples small and bright. Wordsworth.\n\nTo form dimples; to sink into depressions or little inequalities. And smiling eddies dimpled on the main. Dryden.\n\nTo mark with dimples or dimplelike depressions. Shak.
dimplement |The state of being dimpled, or marked with gentle depressions. [R.] The ground's most gentle dimplement. Mrs. Browning.
dimply |Full of dimples, or small depressions; dimpled; as, the dimply pool. Thomson.
dimya |An order of lamellibranchiate mollusks having an anterior and posterior adductor muscle, as the common clam. See Bivalve.
dimyaria |An order of lamellibranchiate mollusks having an anterior and posterior adductor muscle, as the common clam. See Bivalve.
dimyarian |Like or pertaining to the Dimya. -- n.  One of the Dimya.
dimyary |Same as Dimyarian.
din |Loud, confused, harsh noise; a loud, continuous, rattling or clanging sound; clamor; roar. Think you a little din can daunt mine ears Shak. He knew the battle's din afar. Sir W. Scott. The dust and din and steam of town. Tennyson.\n\n1. To strike with confused or clanging sound; to stun with loud and continued noise; to harass with clamor; as, to din the ears with cries. 2. To utter with a din; to repeat noisily; to ding. This hath been often dinned in my ears. Swift. To din into, to fix in the mind of another by frequent and noisy repetitions. Sir W. Scott.\n\nTo sound with a din; a ding. The gay viol dinning in the dale. A. Seward.
dinaphthyl |A colorless, crystalline hydrocarbon, C20H14, obtained from naphthylene, and consisting of a doubled naphthylene radical.
dinar |1. A petty money of accounts of Persia. 2. An ancient gold coin of the East.
dinarchy |See Diarchy.
dine |To eat the principal regular meal of the day; to take dinner. Now can I break my fast, dine, sup, and sleep. Shak. To dine with Duke Humphrey, to go without dinner; -- a phrase common in Elizabethan literature, said to be from the practice of the poor gentry, who beguiled the dinner hour by a promenade near the tomb of Humphrey, Duke of Gloucester, in Old Saint Paul's.\n\n1. To give a dinner to; to furnish with the chief meal; to feed; as, to dine a hundred men. A table massive enough to have dined Johnnie Armstrong and his merry men. Sir W. Scott. 2. To dine upon; to have to eat. [Obs.] \"What will ye dine.\" Chaucer.
diner |One who dines.
diner-out |One who often takes his dinner away from home, or in company. A brilliant diner-out, though but a curate. Byron.
dinetical |Revolving on an axis. [Obs.] Sir T. Browne.
ding |1. To dash; to throw violently. [Obs.] To ding the book a coit's distance from him. Milton. 2. To cause to sound or ring. To ding (anything) in one's ears, to impress one by noisy repetition, as if by hammering.\n\n1. To strike; to thump; to pound. [Obs.] Diken, or delven, or dingen upon sheaves. Piers Plowman. 2. To sound, as a bell; to ring; to clang. The fretful tinkling of the convent bell evermore dinging among the mountain echoes. W. Irving. 3. To talk with vehemence, importunity, or reiteration; to bluster. [Low]\n\nA thump or stroke, especially of a bell.
dingdong |1. The sound of, or as of, repeated strokes on a metallic body, as a bell; a repeated and monotonous sound. 2. (Horol.)  An attachment to a clock by which the quarter hours are struck upon bells of different tones.
dingdong theory |The theory which maintains that the primitive elements of language are reflex expressions induced by sensory impressions; that is, as stated by Max Müller, the creative faculty gave to each general conception as it thrilled for the first time through the brain a phonetic expression; -- jocosely so called from the analogy of the sound of a bell induced by the stroke of the clapper.
dingey |1. A kind of boat used in the East Indies. [Written also dinghey.] Malcom. 2. A ship's smallest boat.
dinghy |1. A kind of boat used in the East Indies. [Written also dinghey.] Malcom. 2. A ship's smallest boat.
dingily |In a dingy manner.
dinginess |Quality of being dingy; a dusky hue.
dingle |A narrow dale; a small dell; a small, secluded, and embowered valley.
dingle-dangle |In a dangling manner.
dingo |A wild dog found in Australia, but supposed to have introduced at a very early period. It has a wolflike face, bushy tail, and a reddish brown color.
dingthrift |A spendthrift. [Obs.] Wilt thou, therefore, a drunkard be, A dingthrift and a knave Drant.
dingy |1. A kind of boat used in the East Indies. [Written also dinghey.] Malcom. 2. A ship's smallest boat.\n\nSoiled; sullied; of a dark or dusky color; dark brown; dirty. \"Scraps of dingy paper.\" Macaulay.
dinichthys |A genus of large extinct Devonian ganoid fishes. In some parts of Ohio remains of the Dinichthys are abundant, indicating animals twenty feet in length.
dining |from Dine, a. Note: Used either adjectively or as the first part of a compound; as, dining hall or dining-hall, dining room, dining table, etc.
dink |Trim; neat. [Scot.] Burns. -- Dink\"ly, adv.\n\nTo deck; -- often with out or up. [Scot.]
dinmont |A wether sheep between one and two years old. [Scot.]
dinner |1. The principal meal of the day, eaten by most people about midday, but by many (especially in cities) at a later hour. 2. An entertainment; a feast. A grand political dinner. Tennyson. Note: Dinner is much used, in an obvious sense, either adjectively or as the first part of a compound; as, dinner time, or dinner-time, dinner bell, dinner hour, etc.
dinnerless |Having no dinner. Fuller.
dinnerly |Of or pertaining to dinner. [R.] The dinnerly officer. Copley.
dinoceras |A genus of large extinct Eocene mammals from Wyoming; -- called also Uintatherium. See Illustration in Appendix. Note: They were herbivorous, and remarkable for three pairs of hornlike protuberances on the skull. The males were armed with a pair of powerful canine tusks.
dinornis |A genus of extinct, ostrichlike birds of gigantic size, which formerly inhabited New Zealand. See Moa. [Written also Deinornis.]
dinosaur |One of the Dinosauria. [Written also deinosaur, and deinosaurian.]
dinosauria |An order of extinct mesozoic reptiles, mostly of large size (whence the name). Notwithstanding their size, they present birdlike characters in the skeleton, esp. in the pelvis and hind limbs. Some walked on their three-toed hind feet, thus producing the large \"bird tracks,\" so-called, of mesozoic sandstones; others were five-toed and quadrupedal. See Illust. of Compsognathus, also Illustration of Dinosaur in Appendix.
dinosaurian |One of the Dinosauria. [Written also deinosaur, and deinosaurian.]
dinothere |A large extinct proboscidean mammal from the miocene beds of Europe and Asia. It is remarkable fora pair of tusks directed downward from the decurved apex of the lower jaw.
dinotherium |A large extinct proboscidean mammal from the miocene beds of Europe and Asia. It is remarkable fora pair of tusks directed downward from the decurved apex of the lower jaw.
dinoxide |Same as Dioxide.
dinsome |Full of din. [Scot.] Burns.
dint |1. A blow; a stroke. [Obs.] \"Mortal dint.\" Milton. \"Like thunder's dint.\" Fairfax. 2. The mark left by a blow; an indentation or impression made by violence; a dent. Dryden. Every dint a sword had beaten in it [the shield]. Tennyson. 3. Force; power; -- esp. in the phrase by dint of. Now you weep; and, I perceive, you feel The dint of pity. Shak. It was by dint of passing strength That he moved the massy stone at length. Sir W. Scott.\n\nTo make a mark or cavity on or in, by a blow or by pressure; to dent. Donne. Tennyson.
dinumeration |Enumeration. [Obs.] Bullokar.
diocesan |Of or pertaining to a diocese; as, diocesan missions.\n\n1. A bishop, viewed in relation to his diocese; as, the diocesan of New York. 2. pl.  The clergy or the people of a diocese. Strype.
diocese |The circuit or extent of a bishop's jurisdiction; the district in which a bishop exercises his ecclesiastical authority. [Frequently, but improperly, spelt diocess.]
diocesener |One who belongs to a diocese. [Obs.] Bacon.
diodon |1. (Zoöl.)  A genus of spinose, plectognath fishes, having the teeth of each jaw united into a single beaklike plate. They are able to inflate the body by taking in air or water, and, hence, are called globefishes, swellfishes, etc. fishes, and sea hedgehogs. 2. (Zoöl.)  A genus of whales.
diodont |Like or pertaining to the genus Diodon. -- n.  A fish of the genus Diodon, or an allied genus.
dioecia |1. (Bot.)  A Linnæan class of plants having the stamens and pistils on different plants. 2. (Zoöl.)  A subclass of gastropod mollusks in which the sexes are separate. It includes most of the large marine species, like the conchs, cones, and cowries.
dioecian |Having the sexes in applied to plants in which the female flowers occur on one individual and the male flowers on another of the same species, and to animals in which the ovum is produced by one individual and the sperm cell by another; -- opposed to monoecious.
dioecious |Having the sexes in applied to plants in which the female flowers occur on one individual and the male flowers on another of the same species, and to animals in which the ovum is produced by one individual and the sperm cell by another; -- opposed to monoecious.
dioeciously |In a dioecious manner. Dioeciously hermaphrodite (Bot.), having flowers structurally perfect, but practically dioecious, -- those on one plant producing no pollen, and those on another no ovules.
dioeciousness |The state or quality of being dioecious.
dioecism |The condition of being dioecious.
diogenes |A Greek Cynic philosopher (412-323 B. C.) who lived much in Athens and was distinguished for contempt of the common aims and conditions of life, and for sharp, caustic sayings. Diogenes' crab (Zoöl.), a species of terrestrial hermit crabs (Cenobita Diogenes), abundant in the West Indies and often destructive to crops. -- Diogenes' tub, the tub which the philosopher Diogenes is said to have carried about with him as his house, in which he lived.
dioicous |See Dioecious.
diomedea |A genus of large sea birds, including the albatross. See Albatross.
dionaea |An insectivorous plant. See Venus's flytrap.
dionysia |Any of the festivals held in honor of the Olympian god Dionysus. They correspond to the Roman Bacchanalia; the greater Dionysia were held at Athens in March or April, and were celebrated with elaborate performances of both tragedies and comedies.
dionysiac |Of or pertaining to Dionysus or to the Dionysia; Bacchic; as, a Dionysiac festival; the Dionysiac theater at Athens.
dionysian |Relating to Dionysius, a monk of the 6th century; as, the Dionysian, or Christian, era. Dionysian period, a period of 532 years, depending on the cycle of the sun, or 28 years, and the cycle of the moon, or 19 years; -- sometimes called the Greek paschal cycle, or Victorian period.
diophantine |Originated or taught by Diophantus, the Greek writer on algebra. Diophantine analysis (Alg.), that branch of indeterminate analysis which has for its object the discovery of rational values that satisfy given equations containing squares or cubes; as, for example, to find values of x and y which make x2 + y2 an exact square.
diopside |A crystallized variety of pyroxene, of a clear, grayish green color; mussite.
dioptase |A hydrous silicate of copper, occurring in emerald-green crystals.
diopter |An optical instrument, invented by Hipparchus, for taking altitudes, leveling, etc.
dioptra |An optical instrument, invented by Hipparchus, for taking altitudes, leveling, etc.
dioptre |A unit employed by oculists in numbering glasses according to the metric system; a refractive power equal to that of a glass whose principal focal distance is one meter.
dioptric |Of or pertaining to the dioptre, or to the metric system of numbering glasses. -- n.  A dioptre. See Dioptre.\n\nOf or pertaining to dioptrics; assisting vision by means of the refraction of light; refractive; as, the dioptric system; a dioptric glass or telescope. \"Dioptrical principles.\" Nichol. Dioptric curve (Geom.), a Cartesian oval. See under Cartesian.
dioptrical |Of or pertaining to dioptrics; assisting vision by means of the refraction of light; refractive; as, the dioptric system; a dioptric glass or telescope. \"Dioptrical principles.\" Nichol. Dioptric curve (Geom.), a Cartesian oval. See under Cartesian.
dioptrics |The science of the refraction of light; that part of geometrical optics which treats of the laws of the refraction of light in passing from one medium into another, or through different mediums, as air, water, or glass, and esp. through different lenses; -- distinguished from catoptrics, which refers to reflected light.
dioptry |A dioptre.
diorama |1. A mode of scenic representation, invented by Daguerre and Bouton, in which a painting is seen from a distance through a large opening. By a combination of transparent and opaque painting, and of transmitted and reflected light, and by contrivances such as screens and shutters, much diversity of scenic effect is produced. 2. A building used for such an exhibition.
dioramic |Pertaining to a diorama.
diorism |Definition; logical direction. [Obs.] Dr. H. More.
dioristic |Distinguishing; distinctive; defining. [R.] -- Di`o*ris\"tic*al*ly, adv. [R.] Dr. H. More.
diorite |An igneous, crystalline in structure, consisting essentially of a triclinic feldspar and hornblende. It includes part of what was called greenstone.
dioritic |Containing diorite.
diorthotic |Relating to the correcting or straightening out of something; corrective.
dioscorea |A genus of plants. See Yam.
diota |A vase or drinking cup having two handles or ears.
dioxide |(a) An oxide containing two atoms of oxygen in each molecule; binoxide. (b) An oxide containing but one atom or equivalent of oxygen to two of a metal; a suboxide. [Obs.] Carbon dioxide. See Carbonic acid, under Carbonic.
dioxindol |A white, crystalline, nitrogenous substance obtained by the reduction of isatin. It is a member of the indol series; -- hence its name.
dip |1. To plunge or immerse; especially, to put for a moment into a liquid; to insert into a fluid and withdraw again. The priest shall dip his finger in the blood. Lev. iv. 6. [Wat'ry fowl] now dip their pinions in the briny deep. Pope. While the prime swallow dips his wing. Tennyson. 2. To immerse for baptism; to baptize by immersion. Book of Common Prayer. Fuller. 3. To wet, as if by immersing; to moisten. [Poetic] A cold shuddering dew Dips me all o'er. Milton. 4. To plunge or engage thoroughly in any affair. He was . . . dipt in the rebellion of the Commons. Dryden. 5. To take out, by dipping a dipper, ladle, or other receptacle, into a fluid and removing a part; -- often with out; as, to dip water from a boiler; to dip out water. 6. To engage as a pledge; to mortgage. [Obs.] Live on the use and never dip thy lands. Dryden. Dipped candle, a candle made by repeatedly dipping a wick in melted tallow. -- To dip snuff, to take snuff by rubbing it on the gums and teeth. [Southern U. S.] -- To dip the colors (Naut.), to lower the colors and return them to place; -- a form of naval salute.\n\n1. To immerse one's self; to become plunged in a liquid; to sink. The sun's rim dips; the stars rush out. Coleridge. 2. To perform the action of plunging some receptacle, as a dipper, ladle. etc.; into a liquid or a soft substance and removing a part. Whoever dips too deep will find death in the pot. L'Estrange. 3. To pierce; to penetrate; -- followed by in or into. When I dipt into the future. Tennyson. 4. To enter slightly or cursorily; to engage one's self desultorily or by the way; to partake limitedly; -- followed by in or into. \"Dipped into a multitude of books.\" Macaulay. 5. To incline downward from the plane of the horizon; as, strata of rock dip. 6. To dip snuff. [Southern U.S.]\n\n1. The action of dipping or plunging for a moment into a liquid. \"The dip of oars in unison.\" Glover. 2. Inclination downward; direction below a horizontal line; slope; pitch. 3. A liquid, as a sauce or gravy, served at table with a ladle or spoon. [Local, U.S.] Bartlett. 4. A dipped candle. [Colloq.] Marryat. Dip of the horizon (Astron.), the angular depression of the seen or visible horizon below the true or natural horizon; the angle at the eye of an observer between a horizontal line and a tangent drawn from the eye to the surface of the ocean. -- Dip of the needle, or Magnetic dip, the angle formed, in a vertical plane, by a freely suspended magnetic needle, or the line of magnetic force, with a horizontal line; -- called also inclination. -- Dip of a stratum (Geol.), its greatest angle of inclination to the horizon, or that of a line perpendicular to its direction or strike; -- called also the pitch.
dipaschal |Including two passovers. Carpenter.
dipchick |See Dabchick.
dipetalous |Having two petals; two-petaled.
diphenyl |A white crystalline substance, C6H5.C6H5, obtained by leading benzene through a heated iron tube. It consists of two benzene or phenyl radicals united.
diphtheria |A very dangerous contagious disease in which the air passages, and especially the throat, become coated with a false membrane, produced by the solidification of an inflammatory exudation. Cf. Group.
diphtherial |Relating to diphtheria; diphtheritic.
diphtheric |Relating to diphtheria; diphtheritic.
diphtheritic |1. Pertaining to, or connected with, diphtheria. 2. Having characteristics resembling those of diphtheria; as, diphtheritic inflammation of the bladder.
diphthong |(a) A coalition or union of two vowel sounds pronounced in one syllable; as, ou in out, oi in noise; -- called a proper diphthong. (b) A vowel digraph; a union of two vowels in the same syllable, only one of them being sounded; as, ai in rain, eo in people; -- called an improper diphthong.\n\nTo form or pronounce as a diphthong; diphthongize. [R.]
diphthongal |Relating or belonging to a diphthong; having the nature of a diphthong. -- Diph*thon\"gal*ly, adv.
diphthongalize |To make into a diphthong; to pronounce as a diphthong.
diphthongation |See Diphthongization.
diphthongic |Of the nature of diphthong; diphthongal. H. Sweet.
diphthongization |The act of changing into a diphthong. H. Sweet.
diphthongize |To change into a diphthong, as by affixing another vowel to a simple vowel. \"The diphthongized long vowels.\" H. Sweet.
diphycercal |Having the tail fin divided into two equal parts by the notochord, or end of the vertebral column; protocercal. See Protocercal.
diphygenic |Having two modes of embryonic development.
diphyllous |Having two leaves, as a calyx, etc.
diphyodont |Having two successive sets of teeth (deciduous and permanent), one succeeding the other; as, a diphyodont mammal; diphyodont dentition; -- opposed to monophyodont. -- n.  An animal having two successive sets of teeth.
diphyozooid |One of the free-swimming sexual zooids of Siphonophora.
diplanar |Of or pertaining to two planes.
dipleidoscope |An instrument for determining the time of apparent noon. It consists of two mirrors and a plane glass disposed in the form of a prism, so that, by the reflections of the sun's rays from their surfaces, two images are presented to the eye, moving in opposite directions, and coinciding at the instant the sun's center is on the meridian.
diplex |Pertaining to the sending of two messages in the same direction at the same time. Diplex and contraplex are the two varieties of duplex.
diploblastic |Characterizing the ovum when it has two primary germinal layers.
diplocardiac |Having the heart completely divided or double, one side systemic, the other pulmonary.
diplococcus |A form of micrococcus in which cocci are united in a binary manner. See Micrococcus.
diploe |The soft, spongy, or cancellated substance between the plates of the skull.
diploetic |Diploic.
diplogenic |Partaking of the nature of two bodies; producing two substances. Wright.
diplograph |An instrument used for double writing, as one for producing embossed writing for the blind and ordinary writing at the same time. -- Dip`lo*graph\"ic*al (#), a. -- Dip*log\"ra*phy (#), n.
diploic |Of or pertaining to the diploë.
diploid |A solid bounded by twenty-four similar quadrilateral faces. It is a hemihedral form of the hexoctahedron.
diploma |A letter or writing, usually under seal, conferring some privilege, honor, or power; a document bearing record of a degree conferred by a literary society or educational institution.
diplomacy |1. The art and practice of conducting negotiations between nations (particularly in securing treaties), including the methods and forms usually employed. 2. Dexterity or skill in securing advantages; tact. 3. The body of ministers or envoys resident at a court; the diplomatic body. [R.] Burke.
diplomat |A diplomatist.
diplomate |A diplomatist.\n\nTo invest with a title o [R.] Wood.
diplomatial |Diplomatic. [R.]
diplomatic |1. Pertaining to diplomacy; relating to the foreign ministers at a court, who are called the diplomatic body. 2. Characterized by tact and shrewdness; dexterous; artful; as, diplomatic management. 3. Pertaining to diplomatics; paleographic. Astle.\n\nA minister, official agent, or envoy to a foreign court; a diplomatist.
diplomatical |1. Pertaining to diplomacy; relating to the foreign ministers at a court, who are called the diplomatic body. 2. Characterized by tact and shrewdness; dexterous; artful; as, diplomatic management. 3. Pertaining to diplomatics; paleographic. Astle.
diplomatically |According to the rules of diplomacy; in the manner of a diplomatist; artfully.
diplomatics |The science of diplomas, or the art of deciphering ancient writings, and determining their age, authenticity, etc.; paleography.
diplomatism |Diplomacy. [R.]
diplomatist |A person employed in, or skilled in, diplomacy; a diplomat. In ability, Avaux had no superior among the numerous able diplomatics whom his country then possessed. Macaulay.
diplopia |The act or state of seeing double. Note: In crossed or heteronymous diplopia the image seen by the right eye is upon the left hand, and that seen by the left eye is upon the right hand. In homonymous diplopia the image seen by the right eye is on the right side, that by the left eye on the left side. In vertical diplopia one image stands above the other.
diplopod |One of the Diplopoda.
diplopoda |An order of myriapods having two pairs of legs on each segment; the Chilognatha.
diplopy |The act or state of seeing double. Note: In crossed or heteronymous diplopia the image seen by the right eye is upon the left hand, and that seen by the left eye is upon the right hand. In homonymous diplopia the image seen by the right eye is on the right side, that by the left eye on the left side. In vertical diplopia one image stands above the other.
diplostemonous |Having twice as many stamens as petals, as the geranium. R. Brown.
diplostemony |The condition of being diplostemonous.
dipneumona |A group of spiders having only two lunglike organs. [Written also Dipneumones.]
dipnoi |A group of ganoid fishes, including the living genera Ceratodus and Lepidosiren, which present the closest approximation to the Amphibia. The air bladder acts as a lung, and the nostrils open inside the mouth. See Ceratodus, and Illustration in Appendix.
dipody |Two metrical feet taken together, or included in one measure. Hadley. Trochaic, iambic, and anapestic verses . . . are measured by dipodies. W. W. Goodwin.
dipolar |Having two poles, as a magnetic bar. DIPPEL'S OIL Dip\"pel's oil`. (Chem.) Etym: [From the name of the inventor.]  See Bone oil, under Bone.
dipper |1. One who, or that which, dips; especially, a vessel used to dip water or other liquid; a ladle. 2. (Zoöl.) (a) A small grebe; the dabchick. (b) The buffel duck. (c) The water ouzel (Cinolus aquaticus) of Europe. (d) The American dipper or ouzel (Cinclus Mexicanus). The Dipper (Astron.), the seven principal stars in the constellation of the Great Bear; popularly so called from their arrangement in the form of a dipper; -- called also Charles's Wain. See Ursa Major, under Ursa.
dipping |1. The act or process of immersing. 2. The act of inclining downward. 3. The act of lifting or moving a liquid with a dipper, ladle, or the like. 4. The process of cleaning or brightening sheet metal or metalware, esp. brass, by dipping it in acids, etc. 5. The practice of taking snuff by rubbing the teeth or gums with a stick or brush dipped in snuff. [U.S.] Dipping needle, a magnetic needle suspended at its center of gravity, and moving freely in a vertical plane, so as to indicate on a graduated circle the magnetic dip or inclination.
diprismatic |Doubly prismatic.
dipropargyl |A pungent, mobile, volatile liquid, C6H6, produced artificially from certain allyl derivatives. Though isomeric with benzine, it is very different in its chemical relations. Called also dipropinyl.
dipropyl |One of the hexane paraffins, found in petroleum, consisting of two propyl radicals. See Hexane.
diprotodon |An extinct Quaternary marsupial from Australia, about as large as the hippopotamus; -- so named because of its two large front teeth. See Illustration in Appendix.
dipsas |1. A serpent whose bite was fabled to produce intense thirst. Milton. 2. (Zoöl.)  A genus of harmless colubrine snakes.
dipsetic |Tending to produce thirst. Wright.
dipsey |Deep-sea; as, a dipsey line; a dipsy lead. [Sailor's Cant]\n\n1. A sinker attached to a fishing line; also, a line having several branches, each with such a sinker, used in deep-sea fishing. [Local, U. S.] 2.  (Naut.) A deep-sea lead. [Rare]
dipsie |Deep-sea; as, a dipsey line; a dipsy lead. [Sailor's Cant]\n\n1. A sinker attached to a fishing line; also, a line having several branches, each with such a sinker, used in deep-sea fishing. [Local, U. S.] 2.  (Naut.) A deep-sea lead. [Rare]
dipsomania |A morbid an uncontrollable craving (often periodic) for drink, esp. for alcoholic liquors; also improperly used to denote acute and chronic alcoholism.
dipsomaniac |One who has an irrepressible desire for alcoholic drinks.
dipsomaniacal |Of or pertaining to dipsomania.
dipsosis |Excessive thirst produced by disease.
dipsy |Deep-sea; as, a dipsey line; a dipsy lead. [Sailor's Cant]\n\n1. A sinker attached to a fishing line; also, a line having several branches, each with such a sinker, used in deep-sea fishing. [Local, U. S.] 2.  (Naut.) A deep-sea lead. [Rare]
diptera |An extensive order of insects having only two functional wings and two balancers, as the house fly, mosquito, etc. They have a suctorial proboscis, often including two pairs of sharp organs (mandibles and maxillæ) with which they pierce the skin of animals. They undergo a complete metamorphosis, their larvæ (called maggots) being usually without feet.
dipteral |1. (Zoöl.)  Having two wings only; belonging to the order Diptera. 2. (Anc. Arch.)  Having a double row of columns on each on the flanks, as well as in front and rear; -- said of a temple.
dipteran |An insect of the order Diptera.
dipterocarpus |A genus of trees found in the East Indies, some species of which produce a fragrant resin, other species wood oil. The fruit has two long wings.
dipterous |1. (Zoöl.)  Having two wings, as certain insects; belonging to the order Diptera. 2. (Bot.)  Having two wings; two-winged.
dipterygian |Having two dorsal fins; -- said of certain fishes.
diptote |A noun which has only two cases. Andrews.
diptych |1. Anything consisting of two leaves. Especially: (a) (Roman Antiq.) A writing tablet consisting of two leaves of rigid material connected by hinges and shutting together so as to protect the writing within. (b) A picture or series of pictures painted on two tablets connected by hinges. See Triptych. 2. A double catalogue, containing in one part the names of living, and in the other of deceased, ecclesiastics and benefactors of the church; a catalogue of saints.
dipyre |A mineral of the scapolite group; -- so called from the double effect of fire upon it, in fusing it, and rendering it phosphorescent.
dipyrenous |Containing two stones or nutlets.
dipyridine |A polymeric form of pyridine, C10H10N2, obtained as a colorless oil by the action of sodium on pyridine.
dipyridyl |A crystalline nitrogenous base, C10H8N2, obtained by the reduction of pyridine.
diradiation |The emission and diffusion of rays of light.
dire |1. Ill-boding; portentous; as, dire omens. 2. Evil in great degree; dreadful; dismal; horrible; terrible; lamentable. Dire was the tossing, deep the groans. Milton. Gorgons and hydras and chimeras dire. Milton.
direct |1. Straight; not crooked, oblique, or circuitous; leading by the short or shortest way to a point or end; as, a direct line; direct means. What is direct to, what slides by, the question. Locke. 2. Straightforward; not of crooked ways, or swerving from truth and openness; sincere; outspoken. Be even and direct with me. Shak. 3. Immediate; express; plain; unambiguous. He howhere, that I know, says it in direct words. Locke. A direct and avowed interference with elections. Hallam. 4. In the line of descent; not collateral; as, a descendant in the direct line. 5. (Astron.)  In the direction of the general planetary motion, or from west to east; in the order of the signs; not retrograde; -- said of the motion of a celestial body. Direct action. (Mach.) See Direct-acting. -- Direct discourse (Gram.), the language of any one quoted without change in its form; as, he said \"I can not come;\" -- correlative to indirect discourse, in which there is change of form; as, he said that he could not come. They are often called respectively by their Latin names, oratio directa, and oratio obliqua. -- Direct evidence (Law), evidence which is positive or not inferential; -- opposed to circumstantial, or indirect, evidence. -- This distinction, however, is merely formal, since there is no direct evidence that is not circumstantial, or dependent on circumstances for its credibility. Wharton. -- Direct examination (Law), the first examination of a witness in the orderly course, upon the merits. Abbott. -- Direct fire (Mil.), fire, the direction of which is perpendicular to the line of troops or to the parapet aimed at. -- Direct process (Metal.), one which yields metal in working condition by a single process from the ore. Knight. -- Direct tax, a tax assessed directly on lands, etc., and polls, distinguished from taxes on merchandise, or customs, and from excise.\n\n1. To arrange in a direct or straight line, as against a mark, or towards a goal; to point; to aim; as, to direct an arrow or a piece of ordnance. 2. To point out or show to (any one), as the direct or right course or way; to guide, as by pointing out the way; as, he directed me to the left-hand road. The Lord direct your into the love of God. 2 Thess. iii. 5. The next points to which I will direct your attention. Lubbock. 3. To determine the direction or course of; to cause to go on in a particular manner; to order in the way to a certain end; to regulate; to govern; as, to direct the affairs of a nation or the movements of an army. I will direct their work in truth. Is. lxi. 8. 4. To point out to with authority; to instruct as a superior; to order; as, he directed them to go. I 'll first direct my men what they shall do. Shak. 5. To put a direction or address upon; to mark with the name and residence of the person to whom anything is sent; to superscribe; as, to direct a letter. Syn. -- To guide; lead; conduct; dispose; manage; regulate; order; instruct; command.\n\nTo give direction; to point out a course; to act as guide. Wisdom is profitable to direct. Eccl. x. 10.\n\nA character, thus [ Moore (Encyc. of Music).
