gon |imp. & p. p. of Go. [Obs.] Chaucer.
good |1. Possessing desirable qualities; adapted to answer the end designed; promoting success, welfare, or happiness; serviceable; useful; fit; excellent; admirable; commendable; not bad, corrupt, evil, noxious, offensive, or troublesome, etc. And God saw everything that he had made, and behold, it was very good. Gen. i. 31. Good company, good wine, good welcome. Shak. 2. Possessing moral excellence or virtue; virtuous; pious; religious; -- said of persons or actions. In all things showing thyself a pattern of good works. Tit. ii. 7. 3. Kind; benevolent; humane; merciful; gracious; polite; propitious; friendly; well-disposed; -- often followed by to or toward, also formerly by unto. The men were very good unto us. 1 Sam. xxv. 15. 4. Serviceable; suited; adapted; suitable; of use; to be relied upon; -- followed especially by for. All quality that is good for anything is founded originally in merit. Collier. 5. Clever; skillful; dexterous; ready; handy; -- followed especially by at. He . . . is a good workman; a very good tailor. Shak. Those are generally good at flattering who are good for nothing else. South. 6. Adequate; sufficient; competent; sound; not fallacious; valid; in a commercial sense, to be depended on for the discharge of obligations incurred; having pecuniary ability; of unimpaired credit. My reasons are both good and weighty. Shak. My meaning in saying he is a good man is . . . that he is sufficient . . . I think I may take his bond. Shak. 7. Real; actual; serious; as in the phrases in good earnest; in good sooth. Love no man in good earnest. Shak. 8. Not small, insignificant, or of no account; considerable; esp., in the phrases a good deal, a good way, a good degree, a good share or part, etc. 9. Not lacking or deficient; full; complete. Good measure, pressed down, and shaken together, and running over. Luke vi. 38. 10. Not blemished or impeached; fair; honorable; unsullied; as in the phrases a good name, a good report, good repute, etc. A good name is better than precious ointment. Eccl. vii. 1. As good as. See under As. -- For good, or For good and all, completely and finally; fully; truly. The good woman never died after this, till she came to die for good and all. L'Estrange. -- Good breeding, polite or polished manners, formed by education; a polite education. Distinguished by good humor and good breeding. Macaulay. -- Good cheap, literally, good bargain; reasonably cheap. -- Good consideration (Law). (a) A consideration of blood or of natural love and affection. Blackstone. (b) A valuable consideration, or one which will sustain a contract. -- Good fellow, a person of companionable qualities. [Familiar] -- Good folk, or Good people, fairies; brownies; pixies, etc. [Colloq. Eng. & Scot.] -- Good for nothing. (a) Of no value; useless; worthless. (b) Used substantively, an idle, worthless person. My father always said I was born to be a good for nothing. Ld. Lytton. -- Good Friday, the Friday of Holy Week, kept in some churches as a fast, in memoory of our Savior's passion or suffering; the anniversary of the crucifixion. -- Good humor, or Good-humor, a cheerful or pleasant temper or state of mind. -- Good nature, or Good-nature, habitual kindness or mildness of temper or disposition; amiability; state of being in good humor. The good nature and generosity which belonged to his character. Macaulay. The young count's good nature and easy persuadability were among his best characteristics. Hawthorne. -- Good people. See Good folk (above). -- Good speed, good luck; good success; godspeed; -- an old form of wishing success. See Speed. -- Good turn, an act of kidness; a favor. -- Good will. (a) Benevolence; well wishing; kindly feeling. (b) (Law) The custom of any trade or business; the tendency or inclination of persons, old customers and others, to resort to an established place of business; the advantage accruing from tendency or inclination. The good will of a trade is nothing more than the probability that the old customers will resort to the old place. Lord Eldon. -- In good time. (a) Promptly; punctually; opportunely; not too soon nor too late. (b) (Mus.) Correctly; in proper time. -- To hold good, to remain true or valid; to be operative; to remain in force or effect; as, his promise holds good; the condition still holds good. -- To make good, to fulfill; to establish; to maintain; to supply (a defect or deficiency); to indemmify; to prove or verify (an accusation); to prove to be blameless; to clear; to vindicate. Each word made good and true. Shak. Of no power to make his wishes good. Shak. I . . . would by combat make her good. Shak. Convenient numbers to make good the city. Shak. -- To think good, to approve; to be pleased or satisfied with; to consider expedient or proper. If ye think good, give me my price; and if not, forbear. Zech. xi. 12. Note: Good, in the sense of wishing well, is much used in greeting and leave-taking; as, good day, good night, good evening, good morning, etc.\n\n1. That which possesses desirable qualities, promotes success, welfare, or happiness, is serviceable, fit, excellent, kind, benevolent, etc.; -- opposed to evil. There be many that say, Who will show us any good Ps. iv. 6. 2. Advancement of interest or happiness; welfare; prosperity; advantage; benefit; -- opposed to harm, etc. The good of the whole community can be promoted only by advancing the good of each of the members composing it. Jay. 3. pl.  Wares; commodities; chattels; -- formerly used in the singular in a collective sense. In law, a comprehensive name for almost all personal property as distinguished from land or real property. Wharton. He hath made us spend much good. Chaucer. Thy lands and goods Are, by the laws of Venice, confiscate Unto the state of Venice. Shak. Dress goods, Dry goods, etc. See in the Vocabulary. -- Goods engine, a freight locomotive. [Eng.] -- Goods train, a freight train. [Eng.] -- Goods wagon, a freight car [Eng.] See the Note under Car, n., 2.\n\nWell, -- especially in the phrase as good, with a following as expressed or implied; equally well with as much advantage or as little harm as possible. As good almost kill a man as kill a good book. Milton. As good as, in effect; virtually; the same as. They who counsel ye to such a suppressing, do as good as bid ye suppress yourselves. Milton.\n\n1. To make good; to turn to good. [Obs.] 2. To manure; to improve. [Obs.] Bp. Hall.
good fellowship |companionableness; the spirit and disposition befitting comrades. There's neither honesty, manhood, nor good fellowship in thee. Shak.
good now |An exclamation of wonder, surprise, or entreaty. [Obs.] Shak.
good-by |Farewell; a form of address used at parting. See the last Note under By, prep. Shak.
good-bye |Farewell; a form of address used at parting. See the last Note under By, prep. Shak.
good-den |A form of salutation. [Obs.] Shak.
good-fellowship |Agreeable companionship; companionableness.
good-humored |Having a cheerful spirit and demeanor; good-tempered. See Good- natured.
good-humoredly |With a cheerful spirit; in a cheerful or good-tempered manner.
good-looking |Handsome.
good-natured |Naturally mild in temper; not easily provoked. Syn. -- Good-natured, Good-tempered, Good-humored. Good-natured denotes a disposition to please and be pleased. Good-tempered denotes a habit of mind which is not easily ruffied by provocations or other disturbing influences. Good-humored is applied to a spirit full of ease and cheerfulness, as displayed in one's outward deportment and in social intercourse. A good-natured man recommends himself to all by the spirit which governs him. A good-humored man recommends himself particularly as a companion. A good-tempered man is rarely betrayed into anything which can disturb the serenity of the social circle.
good-naturedly |With maldness of temper.
good-tempered |Having a good temper; not easily vexed. See Good-natured.
goodgeon |Same as Gudgeon, 5.
goodish |Rather good than the contrary; not actually bad; tolerable. Goodish pictures in rich frames. Walpole.
goodless |Having no goods. [Obs.] Chaucer.
goodlich |Goodly. [Obs.] Chaucer.
goodliness |Beauty of form; grace; elegance; comeliness. Her goodliness was full of harmony to his eyes. Sir P. Sidney.
goodly |Excellently. [Obs.] Spenser.\n\n1. Pleasant; agreeable; desirable. We have many goodly days to see. Shak. 2. Of pleasing appearance or character; comely; graceful; as, a goodly person; goodly raiment, houses. The goodliest man of men since born. Milton. 3. Large; considerable; portly; as, a goodly number. Goodly and great he sails behind his link. Dryden.
goodlyhead |Goodness; grace; goodliness. [Obs.] Spenser.
goodlyhood |Goodness; grace; goodliness. [Obs.] Spenser.
goodman |1. A familiar appellation of civility, equivalent to \"My friend\| \"Good sir\"| \"Mister;\" -- sometimes used ironically. [Obs.] With you| goodman boy| an you please. Shak. 2. A husband; the master of a house or family; -- often used in speaking familiarly. [Archaic] Chaucer. Say ye to the goodman of the house| . . . Where is the guest-chamber Mark xiv. 14. Note| In the early colonial records of New England| the term goodman is frequently used as a title of designation| sometimes in a respectful manner| to denote a person whose first name was not known| or when it was not desired to use that name; in this use it was nearly equivalent to Mr. This use was doubtless brought with the first settlers from England."
goodness |The quality of being good in any of its various senses; excellence; virtue; kindness; benevolence; as, the goodness of timber, of a soil, of food; goodness of character, of disposition, of conduct, etc.
goods |See Good, n., 3.
goodship |Favor; grace. [Obs.] Gower.
goodwife |The mistress of a house. [Archaic] Robynson (More's Utopia).
goody |1. A bonbon, cake, or the like; -- usually in the pl. [Colloq.] 2. (Zoöl.)  An American fish; the lafayette or spot.\n\nGoodwife; -- a low term of civility or sport.
goody-goody |Mawkishly or weakly good; exhibiting goodness with silliness. [Colloq.]
goodyship |The state or quality of a goody or goodwife [Jocose] Hudibraus.
goolde |An old English name of some yellow flower, -- the marigold (Calendula), according to Dr. Prior, but in Chaucer perhaps the turnsole.
gooroo |A spiritual teacher, guide, or confessor amoung the Hindoos. Malcom.
goosander |A species of merganser (M. merganser) of Northern Europe and America; -- called also merganser, dundiver, sawbill, sawneb, shelduck, and sheldrake. See Merganser.
goose |1. Any large web-footen bird of the subfamily Anserinæ, and belonging to Anser, Branta, Chen, and several allied genera. See Anseres. Note: The common domestic goose is believed to have been derived from the European graylag goose (Anser anser). The bean goose (A. segetum), the American wild or Canada goose (Branta Canadensis), and the bernicle goose (Branta leucopsis) are well known species. The American white or snow geese and the blue goose belong to the genus Chen. See Bernicle, Emperor goose, under Emperor, Snow goose, Wild goose, Brant. 2. Any large bird of other related families, resembling the common goose. Note: The Egyptian or fox goose (Alopochen Ægyptiaca) and the African spur-winged geese (Plectropterus) belong to the family Plectropteridæ. The Australian semipalmated goose (Anseranas semipalmata) and Cape Barren goose (Cereopsis Novæ-Hollandiæ) are very different from northern geese, and each is made the type of a distinct family. Both are domesticated in Australia. 3. A tailor's smoothing iron, so called from its handle, which resembles the neck of a goose. 4. A silly creature; a simpleton. 5. A game played with counters on a board divided into compartments, in some of which a goose was depicted. The pictures placed for ornament and use, The twelve good rules, the royal game of goose. Goldsmith. A wild goose chase, an attempt to accomplish something impossible or unlikely of attainment. -- Fen goose. See under Fen. -- Goose barnacle (Zoöl.), any pedunculated barnacle of the genus Anatifa or Lepas; -- called also duck barnacle. See Barnacle, and Cirripedia. -- Goose cap, a silly person. [Obs.] Beau. & . -- Goose corn (Bot.), a coarse kind of rush (Juncus squarrosus). -- Goose feast, Michaelmas. [Colloq. Eng.] -- Goose flesh, a peculiar roughness of the skin produced by cold or fear; -- called also goose skin.goose pimples and goose bumps -- Goose grass. (Bot.) (a) A plant of the genus Galium (G. Aparine), a favorite food of geese; -- called also catchweed and cleavers. (b) A species of knotgrass (Polygonum aviculare). (c) The annual spear grass (Poa annua). -- Goose neck, anything, as a rod of iron or a pipe, curved like the neck of a goose; specially (Naut.), an iron hook connecting a spar with a mast. -- Goose quill, a large feather or quill of a goose; also, a pen made from it. -- Goose skin. See Goose flesh, above. -- Goose tongue (Bot.), a composite plant (Achillea ptarmica), growing wild in the British islands. -- Sea goose. (Zoöl.) See Phalarope. -- Solan goose. (Zoöl.) See Gannet.
goose egg |In games, a zero; a score or record of naught; -- so named in allusion to the egglike outline of the zero sign 0. Called also duck egg. [Slang]
goose-rumped |Having the tail set low and buttocks that fall away sharply from the croup; -- said of certain horses.
gooseberry |1. (Bot.)  Any thorny shrub of the genus Ribes; also, the edible berries of such shrub. There are several species, of which Ribes Grossularia is the one commonly cultivated. 2. A silly person; a goose cap. Goldsmith. Barbadoes gooseberry, a climbing prickly shrub (Pereskia aculeata) of the West Indies, which bears edible berries resembling gooseberries. -- Coromandel gooseberry. See Carambola. -- Gooseberry fool. See lst Fool. -- Gooseberry worm (Zoöl.), the larva of a small moth (Dakruma convolutella). It destroys the gooseberry by eating the interior.
goosefish |See Angler.
goosefoot |A genus of herbs (Chenopodium) mostly annual weeds; pigweed.
goosery |1. A place for keeping geese. 2. The characteristics or actions of a goose; silliness. The finical goosery of your neat sermon actor. Milton.
goosewing |One of the clews or lower corners of a course or a topsail when the middle part or the rest of the sail is furled.
goosewinged |(a) Having a \"goosewing.\" (b) Said of a fore-and-aft rigged vessel with foresail set on one side and mainsail on the other; wing and wing.
goosish |Like a goose; foolish. [Obs.] Chaucer.
goost |Ghost; spirit. [Obs.] Chaucer.
goot |A goat. [Obs.] Chaucer.
gopher |1. One of several North American burrowing rodents of the genera Geomys and Thomomys, of the family Geomyidæ; -- called also pocket gopher and pouched rat. See Pocket gopher, and Tucan. Note: The name was originally given by French settlers to many burrowing rodents, from their honeycombing the earth. 2. One of several western American species of the genus Spermophilus, of the family Sciuridæ; as, the gray gopher (Spermophilus Franklini) and the striped gopher (S. tridecemlineatus); -- called also striped prairie squirrel, leopard marmot, and leopard spermophile. See Spermophile. 3. A large land tortoise (Testudo Carilina) of the Southern United States, which makes extensive burrows. 4. A large burrowing snake (Spilotes Couperi) of the Southern United States. Gopher drift (Mining), an irregular prospecting drift, following or seeking the ore without regard to regular grade or section. Raymond.
gopher state |Minnesota; -- a nickname alluding to the abundance of gophers.
gopher wood |A species of wood used in the construction of Noah's ark. Gen. vi. 14.
gor-bellied |Bog-bellied. [Obs.]
gor-belly |A prominent belly; a big-bellied person. [Obs.]
goracco |A paste prepared from tobacco, and smoked in hookahs in Western India.
goral |An Indian goat antelope (Nemorhedus goral), resembling the chamois.
goramy |Same as Gourami.
gorce |A pool of water to keep fish in; a wear. [Obs.]
gorcock |The moor cock, or red grouse. See Grouse. [Prov. Eng.]
gorcrow |The carrion crow; -- called also gercrow. [Prov. Eng.]
gord |An instrument of gaming; a sort of dice. [Obs.] Beau. & Fl.
gordiacea |A division of nematoid worms, including the hairworms or hair eels (Gordius and Mermis). See Gordius, and Illustration in Appendix.
gordian |1. Pertaining to Gordius, king of Phrygia, or to a knot tied by him; hence, intricate; complicated; inextricable. Gordian knot, an intricate knot tied by Gordius in the thong which connected the pole of the chariot with the yoke. An oracle having declared that he who should untie it should be master of Asia, Alexander the Great averted the ill omen of his inability to loosen it by cutting it with his sword. Hence, a Gordian knot is an inextricable difficulty; and to cut the Gordian knot is to remove a difficulty by bold and energetic measures. 2. (Zoöl.)  Pertaining to the Gordiacea.\n\nOne of the Gordiacea.
gordius |A genus of long, slender, nematoid worms, parasitic in insects until near maturity, when they leave the insect, and live in water, in which they deposit their eggs; -- called also hair eel, hairworm, and hair snake, from the absurd, but common and widely diffused, notion that they are metamorphosed horsehairs.
gore |1. Dirt; mud. [Obs.] Bp. Fisher. 2. Blood; especially, blood that after effusion has become thick or clotted. Milton.\n\n1. A wedgeshaped or triangular piece of cloth, canvas, etc., sewed into a garment, sail, etc., to give greater width at a particular part. 2. A small traingular piece of land. Cowell. 3. (Her.)  One of the abatements. It is made of two curved lines, meeting in an acute angle in the fesse point. Note: It is usually on the sinister side, and of the tincture called tenné. Like the other abatements it is a modern fancy and not actually used.\n\nTo pierce or wound, as with a horn; to penetrate with a pointed instrument, as a spear; to stab. The low stumps shall gore His daintly feet. Coleridge.\n\nTo cut in a traingular form; to piece with a gore; to provide with a gore; as, to gore an apron.
gorebill |The garfish. [Prov. Eng.]
gorfly |A dung fly.
gorge |1. The throat; the gullet; the canal by which food passes to the stomach. Wherewith he gripped her gorge with so great pain. Spenser. Now, how abhorred! . . . my gorge rises at it. Shak. 2. A narrow passage or entrance; as: (a) A defile between mountains. (b) The entrance into a bastion or other outwork of a fort; -- usually synonymous with rear. See Illust. of Bastion. 3. That which is gorged or swallowed, especially by a hawk or other fowl. And all the way, most like a brutish beast,gorge, that all did him detest. Spenser. 4. A filling or choking of a passage or channel by an obstruction; as, an ice gorge in a river. 5. (Arch.)  A concave molding; a cavetto. Gwilt. 6. (Naut.)  The groove of a pulley. Gorge circle (Gearing), the outline of the smallest cross section of a hyperboloid of revolution. -- Gorge hook, two fishhooks, separated by a piece of lead. Knight.\n\n1. To swallow; especially, to swallow with greediness, or in large mouthfuls or quantities. The fish has gorged the hook. Johnson. 2. To glut; to fill up to the throat; to satiate. The giant gorged with flesh. Addison. Gorge with my blood thy barbarous appetite. Dryden.\n\nTo eat greedily and to satiety. Milton.
gorged |1. Having a gorge or throat. 2. (Her.)  Bearing a coronet or ring about the neck. 3. Glutted; fed to the full.
gorgelet |A small gorget, as of a humming bird.
gorgeous |Imposing through splendid or various colors; showy; fine; magnificent. Cloud-land, gorgeous land. Coleridge. Gogeous as the sun at midsummer. Shak. -- Gor\"geous*ly, adv. -- Gor\"geous*ness, n.
gorgerin |In some columns, that part of the capital between the termination of the shaft and the annulet of the echinus, or the space between two neck moldings; -- called also neck of the capital, and hypotrachelium. See Illust. of Column.
gorget |1. A piece of armor, whether of chain mail or of plate, defending the throat and upper part of the breast, and forming a part of the double breastplate of the 14th century. 2. A piece of plate armor covering the same parts and worn over the buff coat in the 17th century, and without other steel armor. Unfix the gorget's iron clasp. Sir W. Scott. 3. A small ornamental plate, usually crescent-shaped, and of gilded copper, formerly hung around the neck of officers in full uniform in some modern armies. 4. A ruff worn by women. [Obs.] 5. (Surg.) (a) A cutting instrument used in lithotomy. (b) A grooved instrunent used in performing various operations; -- called also blunt gorget. Dunglison. 6. (Zoöl.)  A crescent-shaped, colored patch on the neck of a bird or mammal. Gorget hummer (Zoöl.), a humming bird of the genus Trochilus. See Rubythroat.
gorgon |1. (Gr. Myth.)  One of three fabled sisters, Stheno, Euryale, and Medusa, with snaky hair and of terrific aspect, the sight of whom turned the beholder to stone. The name is particularly given to Medusa. 2. Anything very ugly or horrid. Milton. 3. (Zoöl.)  The brindled gnu. See Gnu.\n\nLike a Gorgon; very ugly or terrific; as, a Gorgon face. Dryden.
gorgonacea |See Gorgoniacea.
gorgonean |See Gorgonian, 1.
gorgoneion |A mask carved in imitation of a Gorgon's head. Elmes.
gorgonia |1. A genus of Gorgoniacea, formerly very extensive, but now restricted to such species as the West Indian sea fan (Gorgonia flabellum), sea plume (G. setosa), and other allied species having a flexible, horny axis. 2. Any slender branched gorgonian.
gorgoniacea |One of the principal divisions of Alcyonaria, including those forms which have a firm and usually branched axis, covered with a porous crust, or c Note: The axis is commonly horny, but it may be solid and stony (composed of calcium carbonate), as in the red coral of commerce, or it may be in alternating horny and stony joints, as in Isis. See Alcyonaria, Anthozoa, C.
gorgonian |1. Pertaining to, or resembling, a Gorgon; terrifying into stone; terrific. The rest his look Bound with Gorgonian rigor not to move. Milton. 2. (Zoöl.)  Pertaining to the Gorgoniacea; as, gorgonian coral.\n\nOne of the Gorgoniacea.
gorgonize |To have the effect of a Gorgon upon; to turn into stone; to petrify. [R.]
gorgonzola |A kind of Italian pressed milk cheese; -- so called from a village near Milan.
gorhen |The female of the gorcock.
gorilla |A large, arboreal, anthropoid ape of West Africa. It is larger than a man, and is remarkable for its massive skeleton and powerful muscles, which give it enormous strength. In some respects its anatomy, more than that of any other ape, except the chimpanzee, resembles that of man.
goring |A piece of canvas cut obliquely to widen a sail at the foot.
goring cloth |A piece of canvas cut obliquely to widen a sail at the foot.
gorm |Axle grease. See Gome. [Prov. Eng.]\n\nTo daub, as the hands or clothing, with gorm; to daub with anything sticky. [Prov. Eng.]
gorma |The European cormorant.
gormand |A greedy or ravenous eater; a luxurious feeder; a gourmand.\n\nGluttonous; voracious. Pope.
gormander |See Gormand, n. [Obs.]
gormandism |Gluttony.
gormandize |To eat greedily; to swallow voraciously; to feed ravenously or like a glutton. Shak.
gormandizer |A greedy, voracious eater; a gormand; a glutton.
goroon shell |A large, handsome, marine, univalve shell (Triton femorale).
gorse |Furze. See Furze. The common, overgrown with fern, and rough With prickly gorse. Cowper. Gorse bird (Zoöl.), the European linnet; -- called also gorse hatcher. [Prov. Eng.] -- Gorse chat (Zoöl.), the winchat. -- Gorse duck, the corncrake; -- called also grass drake, land drake, and corn drake.
gory |1. Covered with gore or clotted blood. Thou canst not say I did it; never shake Thy gory locks at me. Shak. 2. Bloody; murderous. \"Gory emulation.\" Shak.
goshawk |Any large hawk of the genus Astur, of which many species and varieties are known. The European (Astur palumbarius) and the American (A. atricapillus) are the best known species. They are noted for their powerful flight, activity, and courage. The Australian goshawk (A. Novæ-Hollandiæ) is pure white.
gosherd |One who takes care of geese.
goslet |One of several species of pygmy geese, of the genus Nettepus. They are about the size of a teal, and inhabit Africa, India, and Australia.
gosling |1. A young or unfledged goose. 2. A catkin on nut trees and pines. Bailey.
gospel |1. Glad tidings; especially, the good news concerning Christ, the Kingdom of God, and salvation. And Jesus went about all Galilee, teaching in their synagogues, and preaching the gospel of the kingdom. Matt. iv. 23. The steadfast belief of the promises of the gospel. Bentley. Note: It is probable that gospel is from. OE. godspel, God story, the narrative concerning God; but it was early confused with god spell, good story, good tidings, and was so used by the translators of the Authorized version of Scripture. This use has been retained in most cases in the Revised Version. Thus the literal sense [of gospel] is the \"narrative of God,\" i. e., the life of Christ. Skeat. 2. One of the four narratives of the life and death of Jesus Christ, written by Matthew, Mark, Luke, and John. 3. A selection from one of the gospels, for use in a religious service; as, the gospel for the day. 4. Any system of religious doctrine; sometimes, any system of political doctrine or social philosophy; as, this political gospel. Burke. 5. Anything propounded or accepted as infallibly true; as, they took his words for gospel. [Colloq.] If any one thinks this expression hyperbolical, I shall only ask him to read , instead of taking the traditional witticisms about Lee for gospel. Saintsbury.\n\nAccordant with, or relating to, the gospel; evangelical; as, gospel righteousness. Bp. Warburton.\n\nTo instruct in the gospel. [Obs.] Shak.
gospeler |1. One of the four evangelists. Rom. of R. Mark the gospeler was the ghostly son of Peter in baptism. Wyclif. 2. A follower of Wyclif, the first English religious reformer; hence, a Puritan. [Obs.] Latimer. The persecution was carried on against the gospelers with much fierceness by those of the Roman persuasion. Strype. 3. A priest or deacon who reads the gospel at the altar during the communion service. The Archbishop of York was the celebrant, the epistoler being the dean, and the gospeler the Bishop of Sydney. Pall Mall Gazette.
gospelize |1. To form according to the gospel; as, a command gospelized to us. Milton. 2. To instruct in the gospel; to evangelize; as, to gospelize the savages. Boyle.
goss |Gorse. [Obs.] Shak.
gossamer |1. A fine, filmy substance, like cobwebs, floating in the air, in calm, clear weather, especially in autumn. It is seen in stubble fields and on furze or low bushes, and is formed by small spiders. 2. Any very thin gauzelike fabric; also, a thin waterproof stuff. 3. An outer garment, made of waterproof gossamer. Gossamer spider (Zoöl.), any small or young spider which spins webs by which to sail in the air. See Ballooning spider.
gossamery |Like gossamer; flimsy. The greatest master of gossamery affectation. De Quincey.
gossan |Decomposed rock, usually reddish or ferruginous (owing to oxidized pyrites), forming the upper part of a metallic vein.
gossaniferous |Containing or producing gossan.
gossat |A small British marine fish (Motella tricirrata); -- called also whistler and three-bearded rockling. [Prov. Eng.]
gossib |A gossip. [Obs.] Chaucer. Spenser.
gossip |1. A sponsor; a godfather or a godmother. Should a great lady that was invited to be a gossip, in her place send her kitchen maid, 't would be ill taken. Selden. 2. A friend or comrade; a companion; a familiar and customary acquaintance. [Obs.] My noble gossips, ye have been too prodigal. Shak. 3. One who runs house to house, tattling and telling news; an idle tattler. The common chat of gossips when they meet. Dryden. 4. The tattle of a gossip; groundless rumor. Bubbles o'er like a city with gossip, scandal, and spite. Tennyson.\n\nTo stand sponsor to. [Obs.] Shak.\n\n1. To make merry. [Obs.] Shak. 2. To prate; to chat; to talk much. Shak. 3. To run about and tattle; to tell idle tales.
gossiper |One given to gossip. Beaconsfield.
gossiprede |The relationship between a person and his sponsors. [Obs.]
gossipry |1. Spiritual relationship or affinity; gossiprede; special intimacy. Bale. 2. Idle talk; gossip. Mrs. Browning.
gossipy |Full of, or given to, gossip.
gossoon |A boy; a servant. [Ireland]
