artsman |A man skilled in an art or in arts. [Obs.] Bacon.
as |1. Denoting equality or likeness in kind, degree, or manner; like; similar to; in the same manner with or in which; in accordance with; in proportion to; to the extent or degree in which or to which; equally; no less than; as, ye shall be as gods, knowing good and evil; you will reap as you sow; do as you are bidden. His spiritual attendants adjured him, as he loved his soul, to emancipate his brethren. Macaulay. Note: As is often preceded by one of the antecedent or correlative words such, same, so, or as, in expressing an equality or comparison; as, give us such things as you please, and so long as you please, or as long as you please; he is not so brave as Cato; she is as amiable as she is handsome; come as quickly as possible. \"Bees appear fortunately to prefer the same colors as we do.\" Lubbock. As, in a preceding part of a sentence, has such or so to answer correlatively to it; as with the people, so with the priest. 2. In the idea, character, or condition of, -- limiting the view to certain attributes or relations; as, virtue considered as virtue; this actor will appear as Hamlet. The beggar is greater as a man, than is the man merely as a king. Dewey. 3. While; during or at the same time that; when; as, he trembled as he spoke. As I return I will fetch off these justices. Shak. 4. Because; since; it being the case that. As the population of Scotland had been generally trained to arms . . . they were not indifferently prepared. Sir W. Scott. [See Synonym under Because.] 5. Expressing concession. (Often approaching though in meaning). We wish, however, to avail ourselves of the interest, transient as it may be, which this work has excited. Macaulay. 6. That, introducing or expressing a result or consequence, after the correlatives so and such. [Obs.] I can place thee in such abject state, as help shall never find thee. Rowe. So as, so that. [Obs.] The relations are so uncertain as they require a great deal of examination. Bacon. 7. As if; as though. [Obs. or Poetic] He lies, as he his bliss did know. Waller. 8. For instance; by way of example; thus; -- used to introduce illustrative phrases, sentences, or citations. 9. Than. [Obs. & R.] The king was not more forward to bestow favors on them as they free to deal affronts to others their superiors. Fuller. 10. Expressing a wish. [Obs.] \"As have,\" i. e., may he have. Chaucer. As . . . as. See So . . . as, under So. -- As far as, to the extent or degree. \"As far as can be ascertained.\" Macaulay. -- As far forth as, as far as. [Obs.] Chaucer. -- As for, or As to, in regard to; with respect to. -- As good as, not less than; not falling short of. -- As good as one's word, faithful to a promise. -- As if, or As though, of the same kind, or in the same condition or manner, that it would be if. -- As it were (as if it were), a qualifying phrase used to apologize for or to relieve some expression which might be regarded as inappropriate or incongruous; in a manner. -- As now, just now. [Obs.] Chaucer. -- As swythe, as quickly as possible. [Obs.] Chaucer. -- As well, also; too; besides. Addison. -- As well as, equally with, no less than. \"I have understanding as well as you.\" Job xii. 3. -- As yet, until now; up to or at the present time; still; now.\n\nAn ace. [Obs.] Chaucer. Ambes-as, double aces.\n\n1. A Roman weight, answering to the libra or pound, equal to nearly eleven ounces Troy weight. It was divided into twelve ounces. 2. A Roman copper coin, originally of a pound weight (12 oz.); but reduced, after the first Punic war, to two ounces; in the second Punic war, to one ounce; and afterwards to half an ounce.
asa |An ancient name of a gum.
asafetida |The fetid gum resin or inspissated juice of a large umbelliferous plant (Ferula asafoetida) of Persia and the East India. It is used in medicine as an antispasmodic. [Written also assafoetida.]
asafoetida |The fetid gum resin or inspissated juice of a large umbelliferous plant (Ferula asafoetida) of Persia and the East India. It is used in medicine as an antispasmodic. [Written also assafoetida.]
asaphus |A genus of trilobites found in the Lower Silurian formation. See Illust. in Append.
asarabacca |An acrid herbaceous plant (Asarum Europæum), the leaves and roots of which are emetic and cathartic. It is principally used in cephalic snuffs.
asarone |A crystallized substance, resembling camphor, obtained from the Asarum Europæum; -- called also camphor of asarum.
asbestic |Of, pertaining to, or resembling asbestus; inconsumable; asbestine.
asbestiform |Having the form or structure of asbestus.
asbestine |Of or pertaining to asbestus, or partaking of its nature; incombustible; asbestic.
asbestos |A variety of amphibole or of pyroxene, occurring in long and delicate fibers, or in fibrous masses or seams, usually of a white, gray, or green-gray color. The name is also given to a similar variety of serpentine. Note: The finer varieties have been wrought into gloves and cloth which are incombustible. The cloth was formerly used as a shroud for dead bodies, and has been recommended for firemen's clothes. Asbestus in also employed in the manufacture of iron safes, for fireproof roofing, and for lampwicks. Some varieties are called amianthus. Dana.
asbestous |Asbestic.
asbestus |A variety of amphibole or of pyroxene, occurring in long and delicate fibers, or in fibrous masses or seams, usually of a white, gray, or green-gray color. The name is also given to a similar variety of serpentine. Note: The finer varieties have been wrought into gloves and cloth which are incombustible. The cloth was formerly used as a shroud for dead bodies, and has been recommended for firemen's clothes. Asbestus in also employed in the manufacture of iron safes, for fireproof roofing, and for lampwicks. Some varieties are called amianthus. Dana.
asbolin |A peculiar acrid and bitter oil, obtained from wood soot.
ascariasis |A disease, usually accompanied by colicky pains and diarrhea, caused by the presence of ascarids in the gastrointestinal canal.
ascarid |A parasitic nematoid worm, espec. the roundworm, Ascaris lumbricoides, often occurring in the human intestine and allied species found in domestic animals; also commonly applied to the pinworm (Oxyuris), often troublesome to children and aged persons.
ascend |1. To move upward; to mount; to go up; to rise; -- opposed to Ant: descend. Higher yet that star ascends. Bowring. I ascend unto my father and your father. John xx. 17. Note: Formerly used with up. The smoke of it ascended up to heaven. Addison. 2. To rise, in a figurative sense; to proceed from an inferior to a superior degree, from mean to noble objects, from particulars to generals, from modern to ancient times, from one note to another more acute, etc.; as, our inquiries ascend to the remotest antiquity; to ascend to our first progenitor. Syn. -- To rise; mount; climb; scale; soar; tower.\n\nTo go or move upward upon or along; to climb; to mount; to go up the top of; as, to ascend a hill, a ladder, a tree, a river, a throne.
ascendable |Capable of being ascended.
ascendance |Same as Ascendency.
ascendancy |Same as Ascendency.
ascendant |1. Ascent; height; elevation. [R.] Sciences that were then in their highest ascendant. Temple. 2. (Astrol.)  The horoscope, or that degree of the ecliptic which rises above the horizon at the moment of one's birth; supposed to have a commanding influence on a person's life and fortune. Note: Hence the phrases To be in the ascendant, to have commanding power or influence, and Lord of the ascendant, one who has possession of such power or influence; as, to rule, for a while, lord of the ascendant. Burke. 3. Superiority, or commanding influence; ascendency; as, one man has the ascendant over another. Chievres had acquired over the mind of the young monarch the ascendant not only of a tutor, but of a parent. Robertson. 4. An ancestor, or one who precedes in genealogy or degrees of kindred; a relative in the ascending line; a progenitor; -- opposed to descendant. Ayliffe.\n\n1. Rising toward the zenith; above the horizon. The constellation . . . about that time ascendant. Browne. 2. Rising; ascending. Ruskin. 3. Superior; surpassing; ruling. An ascendant spirit over him. South. The ascendant community obtained a surplus of wealth. J. S. Mill. Without some power of persuading or confuting, of defending himself against accusations, . . . no man could possibly hold an ascendent position. Grote.
ascendency |Governing or controlling influence; domination; power. An undisputed ascendency. Macaulay. Custom has an ascendency over the understanding. Watts. Syn. -- Control; authority; influence; sway; dominion; prevalence; domination.
ascendent |1. Rising toward the zenith; above the horizon. The constellation . . . about that time ascendant. Browne. 2. Rising; ascending. Ruskin. 3. Superior; surpassing; ruling. An ascendant spirit over him. South. The ascendant community obtained a surplus of wealth. J. S. Mill. Without some power of persuading or confuting, of defending himself against accusations, . . . no man could possibly hold an ascendent position. Grote.
ascendible |Capable of being ascended; climbable.
ascending |Rising; moving upward; as, an ascending kite. -- As*cend\"ing*ly, adv. Ascending latitude (Astron.), the increasing latitude of a planet. Ferguson. -- Ascending line (Geneol.), the line of relationship traced backward or through one's ancestors. One's father and mother, grandfather and grandmother, etc., are in the line direct ascending. -- Ascending node having, that node of the moon or a planet wherein it passes the ecliptic to proceed northward. It is also called the northern node. Herschel. -- Ascending series. (Math.) (a) A series arranged according to the ascending powers of a quantity. (b) A series in which each term is greater than the preceding. -- Ascending signs, signs east of the meridian.
ascension |1. The act of ascending; a rising; ascent. 2. Specifically: The visible ascent of our Savior on the fortieth day after his resurrection. (Acts i. 9.) Also, Ascension Day. 3. An ascending or arising, as in distillation; also that which arises, as from distillation. Vaporous ascensions from the stomach. Sir T. Browne. Ascension Day, the Thursday but one before Whitsuntide, the day on which commemorated our Savior's ascension into heaven after his resurrection; -- called also Holy Thursday. -- Right ascension (Astron.), that degree of the equinoctial, counted from the beginning of Aries, which rises with a star, or other celestial body, in a right sphere; or the arc of the equator intercepted between the first point of Aries and that point of the equator that comes to the meridian with the star; -- expressed either in degrees or in time. -- Oblique ascension (Astron.), an arc of the equator, intercepted between the first point of Aries and that point of the equator which rises together with a star, in an oblique sphere; or the arc of the equator intercepted between the first point of Aries and that point of the equator that comes to the horizon with a star. It is little used in modern astronomy.
ascensional |Relating to ascension; connected with ascent; ascensive; tending upward; as, the ascensional power of a balloon. Ascensional difference (Astron.), the difference between oblique and right ascension; -- used chiefly as expressing the difference between the time of the rising or setting of a body and six o'clock, or six hours from its meridian passage.
ascensive |1. Rising; tending to rise, or causing to rise. Owen. 2. (Gram.)  Augmentative; intensive. Ellicott.
ascent |1. The act of rising; motion upward; rise; a mounting upward; as, he made a tedious ascent; the ascent of vapors from the earth. To him with swift ascent he up returned. Milton. 2. The way or means by which one ascends. 3. An eminence, hill, or high place. Addison. 4. The degree of elevation of an object, or the angle it makes with a horizontal line; inclination; rising grade; as, a road has an ascent of five degrees.
ascertain |1. To render (a person) certain; to cause to feel certain; to make confident; to assure; to apprise. [Obs.] When the blessed Virgin was so ascertained. Jer. Taylor. Muncer assured them that the design was approved of by Heaven, and that the Almighty had in a dream ascertained him of its effects. Robertson. 2. To make (a thing) certain to the mind; to free from obscurity, doubt, or change; to make sure of; to fix; to determine. [Archaic] The divine law . . . ascertaineth the truth. Hooker. The very deferring [of his execution] shall increase and ascertain the condemnation. Jer. Taylor. The ministry, in order to ascertain a majority . . . persuaded the queen to create twelve new peers. Smollett. The mildness and precision of their laws ascertained the rule and measure of taxation. Gibbon. 3. To find out or learn for a certainty, by trial, examination, or experiment; to get to know; as, to ascertain the weight of a commodity, or the purity of a metal. He was there only for the purpose of ascertaining whether a descent on England was practicable. Macaulay.
ascertainable |That may be ascertained. -- As`cer*tain\"a*ble*ness, n. -- As`cer*tain\"a*bly, adv.
ascertainer |One who ascertains.
ascertainment |The act of ascertaining; a reducing to certainty; a finding out by investigation; discovery. The positive ascertainment of its limits. Burke.
ascessancy |See Acescency, Acescent. [Obs.]
ascessant |See Acescency, Acescent. [Obs.]
ascetic |Extremely rigid in self-denial and devotions; austere; severe. The stern ascetic rigor of the Temple discipline. Sir W. Scott.\n\nIn the early church, one who devoted himself to a solitary and contemplative life, characterized by devotion, extreme self-denial, and self-mortification; a hermit; a recluse; hence, one who practices extreme rigor and self-denial in religious things. I am far from commending those ascetics that take up their quarters in deserts. Norris. Ascetic theology, the science which treats of the practice of the theological and moral virtues, and the counsels of perfection. Am. Cyc.
asceticism |The condition, practice, or mode of life, of ascetics.
ascham |A sort of cupboard, or case, to contain bows and other implements of archery.
asci |See Ascus.
ascian |One of the Ascii.
ascians |Persons who, at certain times of the year, have no shadow at noon; -- applied to the inhabitants of the torrid zone, who have, twice a year, a vertical sun.
ascidian |One of the Ascidioidea, or in a more general sense, one of the Tunicata. Also as an adj.
ascidiarium |The structure which unites together the ascidiozooids in a compound ascidian.
ascidiform |Shaped like an ascidian.
ascidioidea |A group of Tunicata, often shaped like a two-necked bottle. The group includes, social, and compound species. The gill is a netlike structure within the oral aperture. The integument is usually leathery in texture. See Illustration in Appendix.
ascidiozooid |One of the individual members of a compound ascidian. See Ascidioidea.
ascidium |1. (Bot.)  A pitcher-shaped, or flask-shaped, organ or appendage of a plant, as the leaves of the pitcher plant, or the little bladderlike traps of the bladderwort (Utricularia). 2. pl. (Zoöl.)  A genus of simple ascidians, which formerly included most of the known species. It is sometimes used as a name for the Ascidioidea, or for all the Tunicata.
ascigerous |Having asci. Loudon.
ascii |Persons who, at certain times of the year, have no shadow at noon; -- applied to the inhabitants of the torrid zone, who have, twice a year, a vertical sun.
ascites |A collection of serous fluid in the cavity of the abdomen; dropsy of the peritoneum. Dunglison.
ascitic |Of, pertaining to, or affected by, ascites; dropsical.
ascitical |Of, pertaining to, or affected by, ascites; dropsical.
ascititious |Supplemental; not inherent or original; adscititious; additional; assumed. Homer has been reckoned an ascititious name. Pope.
asclepiad |A choriambic verse, first used by the Greek poet Asclepias, consisting of four feet, viz., a spondee, two choriambi, and an iambus.
asclepiadaceous |Of, pertaining to, or resembling, plants of the Milkweed family.
asclepias |A genus of plants including the milkweed, swallowwort, and some other species having medicinal properties. Asclepias butterfly (Zoöl.), a large, handsome, red and black butterfly (Danais Archippus), found in both hemispheres. It feeds on plants of the genus Asclepias.
ascocarp |In ascomycetous fungi, the spherical, discoid, or cup-shaped body within which the asci are collected, and which constitutes the mature fructification. The different forms are known in mycology under distinct names. Called also spore fruit.
ascococcus |A form of micrococcus, found in putrid meat infusions, occurring in peculiar masses, each of which is inclosed in a hyaline capsule and contains a large number of spherical micrococci.
ascomycetes |A large class of higher fungi distinguished by septate hyphæ, and by having their spores formed in asci, or spore sacs. It comprises many orders, among which are the yeasts, molds, mildews, truffles, morels, etc. -- As`co*my*ce\"tous (#), a.
ascospore |One of the spores contained in the asci of lichens and fungi. [See Illust. of Ascus.]
ascribable |Capable of being ascribed; attributable.
ascribe |1. To attribute, impute, or refer, as to a cause; as, his death was ascribed to a poison; to ascribe an effect to the right cause; to ascribe such a book to such an author. The finest [speech] that is ascribed to Satan in the whole poem. Addison. 2. To attribute, as a quality, or an appurtenance; to consider or allege to belong. Syn. -- To Ascribe, Attribute, Impute. Attribute denotes, 1. To refer some quality or attribute to a being; as, to attribute power to God. 2. To refer something to its cause or source; as, to attribute a backward spring to icebergs off the coast. Ascribe is used equally in both these senses, but involves a different image. To impute usually denotes to ascribe something doubtful or wrong, and hence, in general literature, has commonly a bad sense; as, to impute unworthy motives. The theological sense of impute is not here taken into view. More than good-will to me attribute naught. Spenser. Ascribes his gettings to his parts and merit. Pope. And fairly quit him of the imputed blame. Spenser.
ascript |See Adscript. [Obs.]
ascription |The act of ascribing, imputing, or affirming to belong; also, that which is ascribed.
ascriptitious |1. Ascribed. 2. Added; additional. [Obs.] An ascriptitious and supernumerary God. Farindon.
ascus |A small membranous bladder or tube in which are inclosed the seedlike reproductive particles or sporules of lichens and certain fungi.
asemia |Loss of power to express, or to understand, symbols or signs of thought.
asepsis |State of being aseptic; the methods or processes of asepticizing.
aseptic |Not liable to putrefaction; nonputrescent. -- n.  An aseptic substance.
asexual |Having no distinct; without sexual action; as, asexual reproduction. See Fission and Gemmation.
asexualization |The act or process of sterilizing an animal or human being, as by vasectomy.
asexually |In an asexual manner; without sexual agency.
ash |1. (Bot.)  A genus of trees of the Olive family, having opposite pinnate leaves, many of the species furnishing valuable timber, as the European ash (Fraxinus excelsior) and the white ash (F. Americana). Prickly ash (Zanthoxylum Americanum) and Poison ash (Rhus venenata) are shrubs of different families, somewhat resembling the true ashes in their foliage. -- Mountain ash. See Roman tree, and under Mountain. 2. The tough, elastic wood of the ash tree. Note: Ash is used adjectively, or as the first part of a compound term; as, ash bud, ash wood, ash tree, etc.\n\nsing. of Ashes. Note: Ash is rarely used in the singular except in connection with chemical or geological products; as, soda ash, coal which yields a red ash, etc., or as a qualifying or combining word; as, ash bin, ash heap, ash hole, ash pan, ash pit, ash-grey, ash-colored, pearlash, potash. Bone ash, burnt powered; bone earth. -- Volcanic ash. See under Ashes.\n\nTo strew or sprinkle with ashes. Howell.
ash wednesday |The first day of Lent; -- so called from a custom in the Roman Catholic church of putting ashes, on that day, upon the foreheads of penitents.
ash-colored |Of the color of ashes; a whitish gray or brownish gray.
ash-fire |A low fire used in chemical operations.
ash-furnace |A furnace or oven for fritting materials for glass making.
ash-oven |A furnace or oven for fritting materials for glass making.
ashame |To shame. [R.] Barrow.
ashamed |Affected by shame; abashed or confused by guilt, or a conviction or consciousness of some wrong action or impropriety. \"I am ashamed to beg.\" Wyclif. All that forsake thee shall be ashamed. Jer. xvii. 13. I began to be ashamed of sitting idle. Johnson. Enough to make us ashamed of our species. Macaulay. An ashamed person can hardly endure to meet the gaze of those present. Darwin. Note: Ashamed seldom precedes the noun or pronoun it qualifies. By a Hebraism, it is sometimes used in the Bible to mean disappointed, or defeated.
ashamedly |Bashfully. [R.]
ashantee |A native or an inhabitant of Ashantee in Western Africa.\n\nOf or pertaining to Ashantee.
ashen |Of or pertaining to the ash tree. \"Ashen poles.\" Dryden.\n\nConsisting of, or resembling, ashes; of a color between brown and gray, or white and gray. The ashen hue of age. Sir W. Scott.\n\nobs. pl. for Ashes. Chaucer.
ashery |1. A depository for ashes. 2. A place where potash is made.
ashes |1. The earthy or mineral particles of combustible substances remaining after combustion, as of wood or coal. 2. Specifically: The remains of the human body when burnt, or when \"returned to dust\" by natural decay. Their martyred blood and ashes sow. Milton. The coffins were broken open. The ashes were scattered to the winds. Macaulay. 3. The color of ashes; deathlike paleness. The lip of ashes, and the cheek of flame. Byron. In dust and ashes, In sackcloth and ashes, with humble expression of grief or repentance; -- from the method of mourning in Eastern lands. -- Volcanic ashes, or Volcanic ash, the loose, earthy matter, or small fragments of stone or lava, ejected by volcanoes.
ashine |Shining; radiant.
ashlar |1. (Masonry) (a) Hewn or squared stone; also, masonry made of squared or hewn stone. Rough ashlar, a block of freestone as brought from the quarry. When hammer-dressed it is known as common ashlar. Knight. (b) In the United States especially, a thin facing of squared and dressed stone upon a wall of rubble or brick. Knight.
ashlaring |1. The act of bedding ashlar in mortar. 2. Ashlar when in thin slabs and made to serve merely as a case to the body of the wall. Brande & C. 3. (Carp.)  The short upright pieces between the floor beams and rafters in garrets. See Ashlar, 2.
ashler |1. (Masonry) (a) Hewn or squared stone; also, masonry made of squared or hewn stone. Rough ashlar, a block of freestone as brought from the quarry. When hammer-dressed it is known as common ashlar. Knight. (b) In the United States especially, a thin facing of squared and dressed stone upon a wall of rubble or brick. Knight.
ashlering |1. The act of bedding ashlar in mortar. 2. Ashlar when in thin slabs and made to serve merely as a case to the body of the wall. Brande & C. 3. (Carp.)  The short upright pieces between the floor beams and rafters in garrets. See Ashlar, 2.
ashore |On shore or on land; on the land adjacent to water; to the shore; to the land; aground (when applied to a ship); -- sometimes opposed to aboard or afloat. Here shall I die ashore. Shak. I must fetch his necessaries ashore. Shak.
ashtoreth |The principal female divinity of the Phoenicians, as Baal was the principal male divinity. W. Smith.
ashweed |Goutweed.
ashy |1. Pertaining to, or composed of, ashes; filled, or strewed with, ashes. 2. Ash-colored; whitish gray; deadly pale. Shak. Ashy pale, pale as ashes. Shak.
asian |Of or pertaining to Asia; Asiatic. \"Asian princes.\" Jer. Taylor. -- n.  An Asiatic.
asiarch |One of the chiefs or pontiffs of the Roman province of Asia, who had the superintendence of the public games and religious rites. Milner.
asiatic |Of or pertaining to Asia or to its inhabitants. -- n.  A native, or one of the people, of Asia.
asiaticism |Something peculiar to Asia or the Asiatics.
aside |1. On, or to, one side; out of a straight line, course, or direction; at a little distance from the rest; out of the way; apart. Thou shalt set aside that which is full. 2 Kings iv. 4. But soft! but soft! aside: here comes the king. Shak. The flames were blown aside. Dryden. 2. Out of one's thoughts; off; away; as, to put aside gloomy thoughts. \"Lay aside every weight.\" Heb. xii. 1. 3. So as to be heard by others; privately. Then lords and ladies spake aside. Sir W. Scott. To set aside (Law), to annul or defeat the effect or operation of, by a subsequent decision of the same or of a superior tribunal; to declare of no authority; as, to set aside a verdict or a judgment.\n\nSomething spoken aside; as, a remark made by a stageplayer which the other players are not supposed to hear.
asilus |A genus of large and voracious two-winged flies, including the bee killer and robber fly.
asinego |A stupid fellow. [Obs.] Shak.
asinine |Of or belonging to, or having the qualities of, the ass, as stupidity and obstinacy. \"Asinine nature.\" B. Jonson. \"Asinine feast.\" Milton.
asininity |The quality of being asinine; stupidity combined with obstinacy.
asiphonata |A group of bivalve mollusks destitute of siphons, as the oyster; the asiphonate mollusks.
asiphonate |Destitute of a siphon or breathing tube; -- said of many bivalve shells. -- n.  An asiphonate mollusk.
asiphonea |A group of bivalve mollusks destitute of siphons, as the oyster; the asiphonate mollusks.
asiphonida |A group of bivalve mollusks destitute of siphons, as the oyster; the asiphonate mollusks.
asitia |Want of appetite; loathing of food.
ask |1. To request; to seek to obtain by words; to petition; to solicit; - - often with of, in the sense of from, before the person addressed. Ask counsel, we pray thee, of God. Judg. xviii. 5. If ye abide in me, and my words abide in you, ye shall ask what ye will, and it shall be done unto you. John xv. 7. 2. To require, demand, claim, or expect, whether by way of remuneration or return, or as a matter of necessity; as, what price do you ask Ask me never so much dowry. Gen. xxxiv. 12. To whom men have committed much, of him they will ask the more. Luke xii. 48. An exigence of state asks a much longer time to conduct a design to maturity. Addison. 3. To interrogate or inquire of or concerning; to put a question to or about; to question. He is of age; ask him: he shall speak for himself. John ix. 21. He asked the way to Chester. Shak. 4. To invite; as, to ask one to an entertainment. 5. To publish in church for marriage; -- said of both the banns and the persons. Fuller. Syn. -- To beg; request; seek; petition; solicit; entreat; beseech; implore; crave; require; demand; claim; exhibit; inquire; interrogate. See Beg.\n\n1. To request or petition; -- usually folllowed by for; as, to ask for bread. Ask, and it shall be given you. Matt. vii. 7. 2. To make inquiry, or seek by request; -- sometimes followed by after. Wherefore . . . dost ask after my name Gen. xxxii. 29.\n\nA water newt. [Scot. & North of Eng.]
askance |Sideways; obliquely; with a side glance; with disdain, envy, or suspicion. They dart away; they wheel askance. Beattie. My palfrey eyed them askance. Landor. Both . . . were viewed askance by authority. Gladstone.\n\nTo turn aside. [Poet.] O, how are they wrapped in with infamies That from their own misdeeds askance their eyes! Shak.
askant |Sideways; obliquely; with a side glance; with disdain, envy, or suspicion. They dart away; they wheel askance. Beattie. My palfrey eyed them askance. Landor. Both . . . were viewed askance by authority. Gladstone.
asker |One who asks; a petitioner; an inquirer. Shak.\n\nAn ask; a water newt. [Local Eng.]
askew |Awry; askance; asquint; oblique or obliquely; -- sometimes indicating scorn, or contempt, or entry. Spenser.
asking |1. The act of inquiring or requesting; a petition; solicitation. Longfellow. 2. The publishing of banns.
aslake |To mitigate; to moderate; to appease; to abate; to diminish. [Archaic] Chaucer.
aslant |Toward one side; in a slanting direction; obliquely. [The shaft] drove through his neck aslant. Dryden.\n\nIn a slanting direction over; athwart. There is a willow grows aslant a brook. Shak.
asleep |1. In a state of sleep; in sleep; dormant. Fast asleep the giant lay supine. Dryden. By whispering winds soon lulled asleep. Milton. 2. In the sleep of the grave; dead. Concerning them which are asleep . . . sorrow not, even as others which have no hope. 1 Thess. iv. 13. 3. Numbed, and, usually, tingling. Udall. Leaning long upon any part maketh it numb, and, as we call it, asleep. Bacon.
aslope |Slopingly; aslant; declining from an upright direction; sloping. \"Set them not upright, but aslope.\" Bacon.
aslug |Sluggishly. [Obs.] Fotherby.
asmear |Smeared over. Dickens.
asmonean |Of or pertaining to the patriotic Jewish family to which the Maccabees belonged; Maccabean; as, the Asmonean dynasty. [Written also Asmonæan.]\n\nOne of the Asmonean family. The Asmoneans were leaders and rulers of the Jews from 168 to 35 b. c.
asoak |Soaking.
asomatous |Without a material body; incorporeal. Todd.
asonant |Not sounding or sounded. [R.] C. C. Felton.
asp |Same as Aspen. \"Trembling poplar or asp.\" Martyn.\n\nA small, hooded, poisonous serpent of Egypt and adjacent countries, whose bite is often fatal. It is the Naja haje. The name is also applied to other poisonous serpents, esp. to Vipera aspis of southern Europe. See Haje.\n\nOne of several species of poplar bearing this name, especially the Populus tremula, so called from the trembling of its leaves, which move with the slightest impulse of the air.
aspalathus |(a) A thorny shrub yielding a fragrant oil. Ecclus. xxiv. 15. (b) A genus of plants of the natural order Leguminosæ. The species are chiefly natives of the Cape of Good Hope.
asparagine |A white, nitrogenous, crystallizable substance, C4H8N2O3+H2O, found in many plants, and first obtained from asparagus. It is believed to aid in the disposition of nitrogenous matter throughout the plant; -- called also altheine.
asparaginous |Pertaining or allied to, or resembling, asparagus; having shoots which are eaten like asparagus; as, asparaginous vegetables.
asparagus |1. (Bot.)  A genus of perennial plants belonging to the natural order Liliaceæ, and having erect much branched stems, and very slender branchlets which are sometimes mistaken for leaves. Asparagus racemosus is a shrubby climbing plant with fragrant flowers. Specifically: The Asparagus officinalis, a species cultivated in gardens. 2. The young and tender shoots of A. officinalis, which form a valuable and well-known article of food. Note: This word was formerly pronounced sparrowgrass; but this pronunciation is now confined exclusively to uneducated people. Asparagus beetle (Zoöl.), a small beetle (Crioceris asparagi) injurious to asparagus.
aspartic |Pertaining to, or derived, asparagine; as, aspartic acid.
aspect |1. The act of looking; vision; gaze; glance. [R.] \"The basilisk killeth by aspect.\" Bacon. His aspect was bent on the ground. Sir W. Scott. 2. Look, or particular appearance of the face; countenance; mien; air. \"Serious in aspect.\" Dryden. [Craggs] with aspect open shall erect his head. Pope. 3. Appearance to the eye or the mind; look; view. \"The aspect of affairs.\" Macaulay. The true aspect of a world lying in its rubbish. T. Burnet. 4. Position or situation with regard to seeing; that position which enables one to look in a particular direction; position in relation to the points of the compass; as, a house has a southern aspect, that is, a position which faces the south. 5. Prospect; outlook. [Obs.] This town affords a good aspect toward the hill from whence we descended. Evelyn. 6. (Astrol.)  The situation of planets or stars with respect to one another, or the angle formed by the rays of light proceeding from them and meeting at the eye; the joint look of planets or stars upon each other or upon the earth. Milton. Note: The aspects which two planets can assume are five; sextile, 7. (Astrol.)  The influence of the stars for good or evil; as, an ill aspect. Shak. The astrologers call the evil influences of the stars evil aspects. Bacon. Aspect of a plane (Geom.), the direction of the plane.\n\nTo behold; to look at. [Obs.]
aspect ratio |The ratio of the long to the short side of an aëroplane, aërocurve, or wing.
aspectable |Capable of being; visible. \"The aspectable world.\" Ray. \"Aspectable stars.\" Mrs. Browning.
aspectant |Facing each other.
aspected |Having an aspect. [Obs.] B. Jonson.
aspection |The act of viewing; a look. [Obs.]
aspen |One of several species of poplar bearing this name, especially the Populus tremula, so called from the trembling of its leaves, which move with the slightest impulse of the air.\n\nOf or pertaining to the aspen, or resembling it; made of aspen wood. Nor aspen leaves confess the gentlest breeze. Gay.
asper |Rough; rugged; harsh; bitter; stern; fierce. [Archaic] \"An asper sound.\" Bacon.\n\nThe rough breathing; a mark placed over an initial vowel sound or over h before it; thus hws, pronounced h, hrj'twr, pronounced hra\\'b6t.\n\nA Turkish money of account (formerly a coin), of little value; the 120th part of a piaster.
asperate |To make rough or uneven. The asperated part of its surface. Boyle.
asperation |The act of asperating; a making or becoming rough. Bailey.
asperges |(a) The service or ceremony of sprinkling with holy water. (b) The brush or instrument used in sprinkling holy water; an aspergill.
aspergill |1. The brush used in the Roman Catholic church for sprinkling holy water on the people. [Also written aspergillus.] 2. (Zoöl.)  See Wateringpot shell.
aspergilliform |Resembling the aspergillum in form; as, an aspergilliform stigma. Gray.
aspergillum |1. The brush used in the Roman Catholic church for sprinkling holy water on the people. [Also written aspergillus.] 2. (Zoöl.)  See Wateringpot shell.
