covertly |Secretly; in private; insidiously.
cow parsley |An umbelliferous plant of the genus Chærophyllum (C. temulum and C. sylvestre).
cow parsnip |A coarse umbelliferous weed of the genus Heracleum (H. sphondylium in England, and H. lanatum in America).
cow tree |A tree (Galactodendron utile or Brosimum Galactodendron) of South America, which yields, on incision, a nourishing fluid, resembling milk.
cow-pilot |A handsomely banded, coral-reef fish, of Florida and the West Indies (Pomacentrus saxatilis); -- called also mojarra.
cowage |See Cowhage.
cowalker |A phantasmic or \"astral\" body deemed to be separable from the physical body and capable of acting independently; a doppelgänger.
cowan |One who works as a mason without having served a regular apprenticeship. [Scot.] Note: Among Freemasons, it is a cant term for pretender, interloper.
coward |1. (Her.)  Borne in the escutcheon with his tail doubled between his legs; -- said of a lion. 2. Destitute of courage; timid; cowardly. Fie, coward woman, and soft-hearted wretch. Shak. 3. Belonging to a coward; proceeding from, or expressive of, base fear or timidity. He raised the house with loud and coward cries. Shak. Invading fears repel my coward joy. Proir.\n\nA person who lacks courage; a timid or pusillanimous person; a poltroon. A fool is nauseous, but a coward worse. Dryden. Syn. -- Craven; poltroon; dastard.\n\nTo make timoroys; to frighten. [Obs.] That which cowardeth a man's heart. Foxe.
cowardice |Want of courage to face danger; extreme timidity; pusillanimity; base fear of danger or hurt; lack of spirit. The cowardice of doing wrong. Milton. Moderation was despised as cowardice. Macualay.
cowardie |Cowardice. [Obs.]
cowardish |Cowardly. [Obs.] \" A base and a cowardish mind.\" Robynson (More's Utopia).
cowardize |To render cowardly. [Obs.] God . . . cowardizeth . . . insolent spirits. Bp. Hall.
cowardliness |Cowardice.
cowardly |1. Wanting courage; basely or weakly timid or fearful; pusillanimous; spiritless. The cowardly rascals that ran from the battle. Shak. 2. Proceeding from fear of danger or other consequences; befitting a coward; dastardly; base; as, cowardly malignity. Macualay. The cowardly rashness of those who dare not look danger in the face. Burke. Syn. -- Timid; fearful; timorous; dastardly; pusillanimous; recreant; craven; faint-hearted; chicken-hearted; white-livered.\n\nIn the manner of a coward. Spenser.
cowardship |Cowardice. [Obs.] Shak.
cowbane |A poisonous umbelliferous plant; in England, the Cicuta virosa; in the United States, the Cicuta maculata and the Archemora rigida. See Water hemlock.
cowberry |A species of Vaccinium (V. Vitis-id), which bears acid red berries which are sometimes used in cookery; -- locally called mountain cranberry.
cowbird |The cow blackbird (Molothrus ater), an American starling. Like the European cuckoo, it builds no nest, but lays its eggs in the nests of other birds; -- so called because frequently associated with cattle.
cowblakes |Dried cow dung used as fuel.[Prov. Eng.] Simmonds.
cowboy |1. A cattle herder; a drover; specifically, one of an adventurous class of herders and drovers on the plains of the Western and Southwestern United States. 2. One of the marauders who, in the Revolutionary War infested the neutral ground between the American and British lines, and committed depredations on the Americans.
cowcatcher |A strong inclined frame, usually of wrought-iron bars, in front of a locomotive engine, for catching or throwing off obstructions on a railway, as cattle; the pilot. [U.S.]
cowdie |See Kauri.
cower |To stoop by bending the knees; to crouch; to squat; hence, to quail; to sink through fear. Our dame sits cowering o'er a kitchen fire. Dryden. Like falcons, cowering on the nest. Goldsmith.\n\nTo cherish with care. [Obs.]
cowfish |(a) The grampus. (b) A California dolphin (Tursiops Gillii). (c) A marine plectognath fish (Ostracoin quadricorne, and allied species), having two projections, like horns, in front; -- called also cuckold, coffer fish, trunkfish.
cowhage |A leguminous climbing plant of the genus Mucuna, having crooked pods covered with sharp hairs, which stick to the fingers, causing intolerable itching. The spiculæ are sometimes used in medicine as a mechanical vermifuge. [Written also couhage, cowage, and cowitch.]
cowhearted |Cowardly. The Lady Powis . . . patted him with her fan, and called him a cowhearted fellow. R. North.
cowherd |One whose occupation is to tend cows.
cowhide |1. The hide of a cow. 2. Leather made of the hide of a cow. 3. A coarse whip made of untanned leather.\n\nTo flog with a cowhide.
cowish |Timorous; fearful; cowardly. [R.] Shak.\n\nAn umbelliferous plant (Peucedanum Cous) with edible tuberous roots, found in Oregon. [Written also cous.]
cowitch |See Cowhage.
cowl |1. A monk's hood; -- usually attached to the gown. The nname was also applied to the hood and garment together. What differ more, you cry, than crown and cowl Pope. 2. A cowl-shaped cap, commonly turning with the wind, used to improve the draft of a chimney, ventilatingshaft, etc. 3. A wire cap for the smokestack of a locomotive.\n\nA vessel carried on a pole between two persons, for conveyance of water. Johnson.
cowled |Wearing a cowl; hooded; as, a cowled monk. \"That cowled churchman.\" Emerson.
cowleech |One who heals disease of cows; a cow doctor.
cowleeching |Healing the distemper of cows.
cowlick |A tuft of hair turned up or awry (usually over the forehead), as if licked by a cow.
cowlike |Resembling a cow. With cowlike udders and with oxlike eyes. Pope.
cowlstaff |A staff or pole on which a vessel is supported between two persons. Suckling.
coworker |One who works with another; a co
cowpea |The seed of one or more leguminous plants of the genus Dolichos; also, the plant itself. Many varieties are cultivated in the southern part of the United States. COWPER'S GLANDS Cow\"per's glands` (kou\"prz glndz`). Etym: [After the discoverer, William Cowper, an English surgeon.] (Anat.)  Two small glands discharging into the male urethra.
cowpock |See Cowpox. Dunglison.
cowpox |A pustular eruptive disease of the cow, which, when communicated to the human system, as by vaccination, protects from the smallpox; vaccinia; -- called also kinepox, cowpock, and kinepock. Dunglison.
cowquake |A genus of plants (Briza); quaking grass.
cowrie |Same as Kauri.\n\nA marine shell of the genus Cypræa. Note: There are numerous species, many of them ornamental. Formerly C. moneta and several other species were largely used as money in Africa and some other countries, and they are still so used to some extent. The value is always trifling, and varies at different places.
cowry |A marine shell of the genus Cypræa. Note: There are numerous species, many of them ornamental. Formerly C. moneta and several other species were largely used as money in Africa and some other countries, and they are still so used to some extent. The value is always trifling, and varies at different places.
cowslip |1. A common flower in England (Primula veris) having yellow blossoms and appearing in early spring. It is often cultivated in the United States. 2. In the United States, the marsh marigold (Caltha palustris), appearing in wet places in early spring and often used as a pot herb. It is nearer to a buttercup than to a true cowslip. See Illust. of Marsh marigold. American cowslip (Bot.), a pretty flower of the West (Dodecatheon Meadia), belonging to the same order (Primulaceæ) with the English cowslip. -- French cowslip (Bot.), bear's-ear (Primula Auricula).
cowslipped |Adorned with cowslips. \"Cowslipped lawns.\" Keats. COW'S LUNGWORT Cow's\" lung\"wort` (kouz\" lng\"wrt`).  Mullein.
cowweed |Same as Cow parsley.
cowwheat |A weed of the genus Melampyrum, with black seeds, found on European wheatfields.
cox |A coxcomb; a simpleton; a gull. [Obs.] Go; you're a brainless cox, a toy, a fop. Beau. & Fl.
coxa |The first joint of the leg of an insect or crustacean.
coxalgia |Pain in the hip.
coxalgy |Pain in the hip.
coxcomb |1. (a) A strip of red cloth notched like the comb of a cock, which licensed jesters formerly wore in their caps. (b) The cap itself. 2. The top of the head, or the head itself. We will belabor you a little better, And beat a little more care into your coxcombs. Beau & Fl. 3. A vain, showy fellow; a conceited, silly man, fond of display; a superficial pretender to knowledge or accomplishments; a fop. Fond to be seen, she kept a bevy Of powdered coxcombs at her levee. Goldsmith. Some are bewildered in the maze of schools, And some made coxcombs, nature meant but fools. Pope. 4. (Bot.)  A name given to several plants of different genera, but particularly to Celosia cristata, or garden cockscomb. Same as Cockscomb.
coxcombical |Befitting or indicating a coxcomb; like a coxcomb; foppish; conceited. -- Cox*comb\"ic*al*ly, adv. Studded all over in coxcombical fashion with little brass nails. W. Irving.
coxcombly |like a coxcomb. [Obs.] \"You coxcombly ass, you!\" Beau & Fl.
coxcombry |The manners of a coxcomb; foppishness.
coxcomical |Coxcombical. [R.]
coxcomically |Conceitedly. [R.]
coxswain |See Cockswain.
coy |1. Quiet; still. [Obs.] Chaucer. 2. Shrinking from approach or familiarity; reserved; bashful; shy; modest; -- usually applied to women, sometimes with an implication of coquetry. Coy, and difficult to win. Cowper. Coy and furtive graces. W. Irving. Nor the coy maid, half willings to be pressed, Shall kiss the cup, to pass it to the rest. Goldsmith. 3. Soft; gentle; hesitating. Enforced hate, Instead of love's coy touch, shall rudely tear thee. Shak. Syn. -- Shy; shriking; reserved; modest; bashful; backward; distant.\n\n1. To allure; to entice; to decoy. [Obs.] A wiser generation, who have the art to coy the fonder sort into their nets. Bp. Rainbow. 2. To caress with the hand; to stroke. Come sit thee down upon this flowery bed, While I thy amiable cheeks do coy. Shak.\n\n1. To behave with reserve or coyness; to shrink from approach or familiarity. [Obs.] Thus to coy it, With one who knows you too! Rowe. 2. To make difficulty; to be unwilling. [Obs.] If he coyed To hear Cominius speak, I 'll keep at home. Shak.
coyish |Somewhat coy or reserved. Warner.
coyly |In a coy manner; with reserve.
coyness |The quality of being coy; feigned o When the kind nymph would coyness feign, And hides but to be found again. Dryden. Syn. -- Reserve; shrinking; shyness; backwardness; modesty; bashfulness.
coyote |A carnivorous animal (Canis latrans), allied to the dog, found in the western part of North America; -- called also prairie wolf. Its voice is a snapping bark, followed by a prolonged, shrill howl.
coyote state |South Dakota; -- a nickname.
coyotillo |A low rhamnaceous shrub (Karwinskia humboldtiana) of the southwestern United States and Mexico. Its berries are said to be poisonous to the coyote.
coypu |A South American rodent (Myopotamus coypus), allied to the beaver. It produces a valuable fur called nutria. [Written also coypou.]
coystrel |Same as Coistril.
coz |A contraction of cousin. Shak.
cozen |To cheat; to defrand; to beguile; to deceive, usually by small arts, or in a pitiful way. He had cozened the world by fine phrases. Macualay. Children may be cozened into a knowledge of the letters. Locke. Goring loved no man so well but that he would cozen him, and expose him to public mirth for having been cozened. Clarendon.\n\nTo deceive; to cheat; to act deceitfully. Some cogging,cozening slave. Shak.
cozenage |The art or practice of cozening; artifice; fraud. Shak.
cozener |One who cheats or defrauds.
cozier |See Cosier.
cozily |Snugly; comfortably.
coziness |The state or quality of being cozy.
cozy |1. Snug; comfortable; easy; contented. [Written also cosey and cosy.] 2. Etym: [Cf. F. causer to chat, talk.]  Chatty; talkative; sociable; familiar. [Eng.]\n\nA wadded covering for a teakettle or other vessel to keep the contents hot.
crab |1. (Zoöl.)  One of the brachyuran Crustacea. They are mostly marine, and usually have a broad, short body, covered with a strong shell or carapace. The abdomen is small and curled up beneath the body. Note: The name is applied to all the Brachyura, and to certain Anomura, as the hermit crabs. Formerly, it was sometimes applied to Crustacea in general. Many species are edible, the blue crab of the Atlantic coast being one of the most esteemed. The large European edible crab is Cancer padurus. Soft-shelled crabs are blue crabs that have recently cast their shells. See Cancer; also, Box crab, Fiddler crab, Hermit crab, Spider crab, etc., under Box, Fiddler. etc. 2. The zodiacal constellation Cancer. 3. Etym: [See Crab, a.] (Bot.)  A crab apple; -- so named from its harsh taste. When roasted crabs hiss in the bowl, Then nightly sings the staring owl. Shak. 4. A cudgel made of the wood of the crab tree; a crabstick. [Obs.] Garrick. 5. (Mech.) (a) A movable winch or windlass with powerful gearing, used with derricks, etc. (b) A form of windlass, or geared capstan, for hauling ships into dock, etc. (c) A machine used in ropewalks to stretch the yarn. (d) A claw for anchoring a portable machine. Calling crab. (Zoöl.) See Fiddler., n., 2. -- Crab apple, a small, sour apple, of several kinds; also, the tree which bears it; as, the European crab apple (Pyrus Malus var.sylvestris); the Siberian crab apple (Pyrus baccata); and the American (Pyrus coronaria). -- Crab grass. (Bot.) (a) A grass (Digitaria, or Panicum, sanguinalis); -- called also finger grass. (b) A grass of the genus Eleusine (E. Indica); -- called also dog's-tail grass, wire grass, etc. -- Crab louse (Zoöl.), a species of louse (Phthirius pubis), sometimes infesting the human body. -- Crab plover (Zoöl.), an Asiatic plover (Dromas ardeola). -- Crab's eyes, or Crab's stones, masses of calcareous matter found, at certain seasons of the year, on either side of the stomach of the European crawfishes, and formerly used in medicine for absorbent and antacid purposes; the gastroliths. -- Crab spider (Zoöl.), one of a group of spiders (Laterigradæ); -- called because they can run backwards or sideways like a crab. -- Crab tree, the tree that bears crab applies. -- Crab wood, a light cabinet wood obtained in Guiana, which takes a high polish. McElrath. -- To catch a crab (Naut.), a phrase used of a rower: (a) when he fails to raise his oar clear of the water; (b) when he misses the water altogether in making a stroke.\n\n1. To make sour or morose; to embitter. [Obs.] Sickness sours or crabs our nature. Glanvill. 2. To beat with a crabstick. [Obs.] J. Fletcher.\n\nTo drift sidewise or to leeward, as a vessel. Ham. Nav. Encyc.\n\nSour; rough; austere. The crab vintage of the neighb'ring coast. Dryden.
crab tree |See under Crab.
crab-yaws |A disease in the West Indies. It is a kind of ulcer on the soles of the feet, with very hard edges. See Yaws. Dunglison.
crabbed |1. Characterized by or manifesting, sourness, peevishness, or moroseness; harsh; cross; cynical; -- applied to feelings, disposition, or manners. Crabbed age and youth can not live together. Shak. 2. Characterized by harshness or roughness; unpleasant; -- applied to things; as, a crabbed taste. 3. Obscure; difficult; perplexing; trying; as, a crabbed author. \"Crabbed eloquence.\" Chaucer. How charming is divine philosophy! Not harsh and crabbed, as dull fools suppose. Milton. 4. Cramped; irregular; as, crabbed handwriting. -- Crab\"bed*ly, adv. -- Crab\"bed*ness, n.
crabber |One who catches crabs.
crabbing |1. The act or art of catching crabs. 2. (Falconry)  The foghting of hawks with each other. 3. (Woolem Manuf.)  A process of scouring clocth be
crabbish |Somewhat sour or cross. The wips of the most crabbish Satyristes. Decker.
crabby |Crabbed; difficult, or perplexing. \"Persius is crabby, because ancient.\" Marston.
crabeater |(a) The cobia. (b) An etheostomoid fish of the southern United States (Hadropterus nigrofasciatus). (c) A small European heron (Ardea minuta, and other allied species).
craber |The water rat. Walton.
crabfaced |Having a sour, disagreeable countenance. Beau & Fl.
crabsidle |To move sidewise, as a crab. [Jocular]. Southey.
crabstick |A stick, cane, or cudgel, made of the wood of the carb tree.
crache |To scratch. [Obs.] Chaucer.
crack |1. To break or burst, with or without entire separation of the parts; as, to crack glass; to crack nuts. 2. To rend with grief or pain; to affect deeply with sorrow; hence, to disorder; to distract; to craze. O, madam, my old hear is cracked. Shak. He thought none poets till their brains were cracked. Roscommon. 3. To cause to sound suddenly and sharply; to snap; as, to crack a whip. 4. To utter smartly and sententiously; as, to crack a joke. B. Jonson. 5. To cry up; to extol; -- followed by up. [Low] To crack a bottle, to open the bottle and drink its contents. -- To crack a crib, to commit burglary. [Slang] -- To crack on, to put on; as, to crack on more sail, or more steam. [Colloq.]\n\n1. To burst or open in chinks; to break, with or without quite separating into parts. By misfortune it cracked in the coling. Boyle. The mirror cracked from side to side. Tennyson. 2. To be ruined or impaired; to fail. [Collog.] The credit . . . of exchequers cracks, when little comes in and much goes out. Dryden. 3. To utter a loud or sharp, sudden sound. As thunder when the clouds in autumn crack. Shak. 4. To utter vain, pompous words; to brag; to boast; -- with of. [Archaic.] Ethoipes of their sweet complexion crack. Shak.\n\n1. A partial separation of parts, with or without a perceptible opening; a chink or fissure; a narrow breach; a crevice; as, a crack in timber, or in a wall, or in glass. 2. Ropture; flaw; breach, in a moral sense. My love to thee is sound, sans crack or flaw. Shak. 3. A sharp, sudden sound or report; the sound of anything suddenly burst or broken; as, the crack of a falling house; the crack of thunder; the crack of a whip. Will the stretch out to the crack of doom Shak. 4. The tone of voice when changed at puberty. Though now our voices Have got the mannish crack. Shak. 5. Mental flaw; a touch of craziness; partial insanity; as, he has a crack. 6. A crazy or crack-brained person. [Obs.] I . . . can not get the Parliament to listen to me, who look upon me as a crack and a projector. Addison. 7. A boast; boasting. [Obs.] \"Crack and brags.\" Burton. \"Vainglorius cracks.\" Spenser. 8. Breach of chastity. [Obs.] Shak. 9. A boy, generally a pert, lively boy. [Obs.] Val. 'Tis a noble child. Vir. A crack, madam. Shak. 10. A brief time; an instant; as, to be with one in a crack. [Eng. & Scot. Colloq.] 11. Free conversation; friendly chat. [Scot.] What is crack in English . . . Acrack . . . a chat with a good, kindly human heart in it. P. P. Alexander.\n\nOf superior excellence; having qualities to be boasted of. [Colloq.] One of our crack speakers in the Commons. Dickens.
crack-brained |Having an impaired intellect; whimsical; crazy. Pope.
crack-loo |A kind of gambling game consisting in pitching coins to or towards the ceiling of a room so that they shall fall as near as possible to a certain crack in the floor. [Gamblers' Cant, U. S.]
crackajack |1. An individual of marked ability or excellence, esp. in some sport; as, he is a crackajack at tennis. [Slang] 2.  A preparation of popped corn, candied and pressed into small cakes. [U. S.]\n\nOf marked ability or excellence. [Slang]
crackaloo |A kind of gambling game consisting in pitching coins to or towards the ceiling of a room so that they shall fall as near as possible to a certain crack in the floor. [Gamblers' Cant, U. S.]
cracked |1. Coarsely ground or broken; as, cracked wheat. 2. Crack-brained. [Colloq.]
cracker |1. One who, or that which, cracks. 2. A noisy boaster; a swaggering fellow. [Obs.] What cracker is this same that deafs our ears Shak. 3. A small firework, consisting of a little powder inclossed in a thick paper cylinder with a fuse, and exploding with a sharp noise; - - often called firecracker. 4. A thin, dry biscuit, often hard or crisp; as, a Boston cracker; a Graham cracker; a soda cracker; an oyster cracker. 5. A nickname to designate a poor white in some parts of the Southern United States. Bartlett. 6. (Zoöl.)  The pintail duck. 7. pl. (Mach.)  A pair of fluted rolls for grinding caoutchouc. Knight.
cracker state |Georgia; -- a nickname. See Cracker, n. 5.
crackle |To make slight cracks; to make small, sharp, sudden noises, rapidly or frequently repeated; to crepitate; as, burning thorns crackle. The unknown ice that crackles underneath them. Dryden.\n\n1. The noise of slight and frequent cracks or reports; a crackling. The crackle of fireworks. Carlyle. 2. (Med.)  A kind of crackling sound or râle, heard in some abnormal states of the lungs; as, dry crackle; moist crackle. Quain. 3. (Fine Arts)  A condition produced in certain porcelain, fine earthenware, or glass, in which the glaze or enamel appears to be cracked in all directions, making a sort of reticulated surface; as, Chinese crackle; Bohemian crackle.
crackled |Covered with minute cracks in the glaze; -- said of some kinds of porcelain and fine earthenware.
crackleware |See Crackle, n., 3.
crackling |1. The making of small, sharp cracks or reports, frequently repeated. As the crackling of thorns under a pot, so is the laughter of the fool. Eccl. vii. 6. 2. The well-browned, crisp rind of roasted pork. For the first time in his life he tested crackling. Lamb. 3. pl.  Food for dogs, made from the refuse of tallow melting.
cracknel |A hard brittle cake or biscuit. Spenser.
cracksman |A burglar. [Slang]
cracovian |Of or pertaining to Cracow in Poland.
cracovienne |A lively Polish dance, in 2-4 time.
cracowes |Long-toed boots or shoes formerly worn in many parts of Europe; -- so called from Cracow, in Poland, where they were first worn in the fourteenth century. Fairholt.
cradle |1. A bed or cot for a baby, oscillating on rockers or swinginng on pivots; hence, the place of origin, or in which anything is nurtured or protected in the earlier period of existence; as, a cradle of crime; the cradle of liberty. The cradle that received thee at thy birth. Cowper. No sooner was I crept out of my cradle But I was made a king, at nine months old. Shak. 2. Infancy, or very early life. From their cradles bred together. Shak. A form of worship in which they had been educated from their cradles. Clarendon. 3. (Agric.)  An implement consisting of a broad scythe for cutting grain, with a set of long fingers parallel to the scythe, designed to receive the grain, and to lay it eventlyin a swath. 4. (Engraving)  A tool used in mezzotint engraving, which, by a rocking motion, raises burrs on the surface of the plate, so preparing the ground. 5. A framework of timbers, or iron bars, moving upon ways or rollers, used to support, lift, or carry ships or other vessels, heavy guns, etc., as up an inclined plane, or across a strip of land, or in launching a ship. 6. (Med.) (a) A case for a broken or dislocated limb. (b) A frame to keep the bedclothes from conntact with the person. 7. (Mining) (a) A machine on rockers, used in washing out auriferous earth; -- also called a rocker. [U.S.] (b) A suspended scaffold used in shafts. 8. (Carp.)  The ribbing for vaulted ceilings and arches intended to be covered with plaster. Knight. 9. (Naut.)  The basket or apparatus in which, when a line has been made fast to a wrecked ship from the shore, the people are brought off from the wreck. Cat's cradle. See under Cat. -- Cradle hole, a sunken place in a road, caused by thawing, or by travel over a soft spot. -- Cradle scythe, a broad scythe used in a cradle for cutting grain.\n\n1. To lay to rest, or rock, as in a cradle; to lull or quiet, as by rocking. It cradles their fears to sleep. D. A. Clark. 2. To nurse or train in infancy. He that hath been cradled in majesty will not leave the throne to play with beggars. Glanvill. 3. To cut and lay with a cradle, as grain. 4. To transport a vessel by means of a cradle. In Lombardy . . . boats are cradled and transported over the grade. Knight. To cradle a picture, to put ribs across the back of a picture, to prevent the panels from warping.\n\nTo lie or lodge, as in a cradle. Withered roots and husks wherein the acorn cradled. Shak.
cradleland |Land or region where one was cradled; hence, land of origin.
cradling |1. The act of using a cradle. 2. (Coopering)  Cutting a cask into two pieces lengthwise, to enable it to pass a narrow place, the two parts being afterward united and rehooped. 3. (Carp.)  The framework in arched or coved ceilings to which the laths are nailed. Knight.
craft |1. Strength; might; secret power. [Obs.] Chaucer. 2. Art or skill; dexterity in particular manual employment; hence, the occupation or employment itself; manual art; a trade. Ye know that by this craft we have our wealth. Acts xix. 25. A poem is the work of the poet; poesy is his skill or craft of making. B. Jonson. Since the birth of time, throughout all ages and nations, Has the craft of the smith been held in repute. Longfellow. 3. Those engaged in any trade, taken collectively; a guild; as, the craft of ironmongers. The control of trade passed from the merchant guilds to the new craft guilds. J. R. Green. 4. Cunning, art, or skill, in a bad sense, or applied to bad purposes; artifice; guile; skill or dexterity employed to effect purposes by deceit or shrewd devices. You have that crooked wisdom which is called craft. Hobbes. The chief priets and the scribes sought how they might take him by craft, and put him to death. Mark xiv. 1. 5. (Naut.)  A vessel; vessels of any kind; -- generally used in a collective sense. The evolutions of the numerous tiny craft moving over the lake. Prof. Wilson. Small crafts, small vessels, as sloops, schooners, ets.\n\nTo play tricks; to practice artifice. [Obs.] You have crafted fair. Shak.
crafter |a creator of great skill in the manual arts. Syn. -- craftsman. [WordNet 1.5]
craftily |With craft; artfully; cunningly.
craftiness |Dexterity in devising and effecting a purpose; cunning; artifice; stratagem. He taketh the wise in their own craftiness. Job. v. 13.
craftless |Without craft or cunning. Helpless, craftless, and innocent people. Jer. Taylor.
craftsman |One skilled in some trade or manual occupation; an artificer; a mechanic.
craftsmanship |The work of a craftsman.
craftsmaster |One skilled in his craft or trade; one of superior cunning. In cunning persuasion his craftsmaster. Holland.
crafty |1. Relating to, or characterized by, craft or skill; dexterous. [Obs.] \"Crafty work.\" Piers Plowman. 2. Possessing dexterity; skilled; skillful. A noble crafty man of trees. Wyclif. 3. Skillful at deceiving others; characterized by craft; cunning; wily. \"A pair of crafty knaves.\" Shak. With anxious care and crafty wiles. J. Baillie. Syn. -- Skillful; dexterous; cunning; artful; wily; Cunning.
crag |1. A steep, rugged rock; a cough, broken cliff, or point of a rock, on a ledge. From crag to crag the signal fiew. Sir W. Scott. 2. (Geol.)  A partially compacted bed of gravel mixed with shells, of the Tertiary age.\n\n1. The neck or throat [Obs.] And bear the crag so stiff and so state. Spenser. 2. The neck piece or scrag of mutton. Johnson.
cragged |Full of crags, or steep, broken Into its cragged rents descend. J. Baillie.
craggedness |The quality or state of being cragged; cragginess.
cragginess |The state of being craggy.
craggy |Full of crags; rugged with projecting points of rocks; as, the craggy side of a mountain. \"The craggy ledge.\" Tennyson.
cragsman |One accustomed to climb rocks or crags; esp., one who makes a business of climbing the cliffs overhanging the sea to get the eggs of sea birds or the birds themselves.
craie |See Crare. [Obs.]
craig flounder |The pole flounder.
crail |A creel or osier basket.
crake |1. To cry out harshly and loudly, like the bird called crake. 2. To boast; to speak loudly and boastfully. [Obs.] Each man may crake of that which was his own. Mir. for Mag.\n\nA boast. See Crack, n. [Obs.] Spenser.\n\nAny species or rail of the genera Crex and Porzana; -- so called from its singular cry. See Corncrake.
crakeberry |See Crowberry.
craker |One who boasts; a braggart. [Obs.] Old Play.
cram |1. To press, force, or drive, particularly in filling, or in thrustung one thing into another; to stuff; to crowd; to fill to superfluity; as, to cram anything into a basket; to cram a room with people. Their storehouses crammed with grain. Shak. He will cram his brass down our throats. Swift. 2. To fill with food to satiety; to stuff. Children would be freer from disease if they were not crammed so much as they are by fond mothers. Locke. Cram us with praise, and make us As fat as tame things. Shak. 3. To put hastily through an extensive course of memorizing or study, as in preparation for an examination; as, a pupil is crammed by his tutor.\n\n1. To eat greedly, and to satiety; to stuff. Gluttony . . . . Cr, and blasphemes his feeder. Milton. 2. To make crude preparation for a special occasion, as an examination, by a hasty and extensive course of memorizing or study. [Colloq.]\n\n1. The act of cramming. 2. Innformation hastily memorized; as. a cram from an examination. [Colloq.] 3. (Weaving)  A warp having more than two threads passing through each dent or split of the reed.
crambo |1. A game in which one person gives a word, to which another finds a rhyme. I saw in one corner . . . a cluster of men and women,diverting themselves with a game at crambo. I heard several double rhymes . . . which raised a great deal of mirth. Addison. 2. A werd rhyming with another word. His similes in order set And every crambo he could get. Swift. Dumb crambo, a game in which one party of players give a word which rhymes with another, which last to be guessed by the opposing party, who represent in dumb show what they think it to be.
crammer |One who crams; esp., one who prepares a pupil hastily for an exxamination, or a pupil who is thus prepared. Dickens.
cramoisie |Crimson. [Obs.] A splendid seignior, magnificent in cramoisy velevet. Motley.
cramoisy |Crimson. [Obs.] A splendid seignior, magnificent in cramoisy velevet. Motley.
