marplot |One who, by his officious
marsh |A tract of soft wet land, commonly covered partially or wholly with water; a fen; a swamp; a morass. [Written also marish.] Marsh asphodel (Bot.), a plant (Nartheeium ossifragum) with linear equitant leaves, and a raceme of small white flowers; -- called also bog asphodel. -- Marsh cinquefoil (Bot.), a plant (Potentilla palustris) having purple flowers, and found growing in marshy places; marsh five- finger. -- Marsh elder. (Bot.) (a) The guelder-rose or cranberry tree (Viburnum Opulus). (b) In the United States, a composite shrub growing in salt marshes (Iva frutescens). -- Marsh five-finger. (Bot.) See Marsh cinquefoil (above). -- Marsh gas. (Chem.) See under Gas. -- Marsh grass (Bot.), a genus (Spartina) of coarse grasses growing in marshes; -- called also cord grass. The tall S. cynosuroides is not good for hay unless cut very young. The low S. juncea is a common component of salt hay. -- Marsh harrier (Zoöl.), a European hawk or harrier (Circus æruginosus); -- called also marsh hawk, moor hawk, moor buzzard, puttock. -- Marsh hawk. (Zoöl.) (a) A hawk or harrier (Circus cyaneus), native of both America and Europe. The adults are bluish slate above, with a white rump. Called also hen harrier, and mouse hawk. (b) The marsh harrier. -- Marsh hen (Zoöl.), a rail; esp., Rallus elegans of fresh-water marshes, and R. longirostris of salt-water marshes. -- Marsh mallow (Bot.), a plant of the genus Althæa ( A. officinalis) common in marshes near the seashore, and whose root is much used in medicine as a demulcent. -- Marsh marigold. (Bot.) See in the Vocabulary. -- Marsh pennywort (Bot.), any plant of the umbelliferous genus Hydrocotyle; low herbs with roundish leaves, growing in wet places; - - called also water pennywort. -- Marsh quail (Zoöl.), the meadow lark. -- Marsh rosemary (Bot.), a plant of the genus Statice (S. Limonium), common in salt marshes. Its root is powerfully astringent, and is sometimes used in medicine. Called also sea lavender. -- Marsh samphire (Bot.), a plant (Salicornia herbacea) found along seacoasts. See Glasswort. -- Marsh St. John's-wort (Bot.), an American herb (Elodes Virginica) with small opposite leaves and flesh-colored flowers. -- Marsh tea. (Bot.). Same as Labrador tea. -- Marsh trefoil. (Bot.) Same as Buckbean. -- Marsh wren (Zoöl.), any species of small American wrens of the genus Cistothorus, and allied genera. They chiefly inhabit salt marshes.
marsh marigold |. (Bot.) A perennial plant of the genus Caltha (C. palustris), growing in wet places and bearing bright yellow flowers. In the United States it is used as a pot herb under the name of cowslip. See Cowslip.
marshal |1. Originally, an officer who had the care of horses; a groom. [Obs.] 2. An officer of high rank, charged with the arrangement of ceremonies, the conduct of operations, or the like; as, specifically: (a) One who goes before a prince to declare his coming and provide entertainment; a harbinger; a pursuivant. (b) One who regulates rank and order at a feast or any other assembly, directs the order of procession, and the like. (c) The chief officer of arms, whose duty it was, in ancient times, to regulate combats in the lists. Johnson. (d) (France) The highest military officer. In other countries of Europe a marshal is a military officer of high rank, and called field marshal. (e) (Am. Law) A ministerial officer, appointed for each judicial district of the United States, to execute the process of the courts of the United States, and perform various duties, similar to those of a sheriff. The name is also sometimes applied to certain police officers of a city. Earl marshal of England, the eighth officer of state; an honorary title, and personal, until made hereditary in the family of the Duke of Norfolk. During a vacancy in the office of high constable, the earl marshal has jurisdiction in the court of chivalry. Brande & C. -- Earl marshal of Scotland, an officer who had command of the cavalry under the constable. This office was held by the family of Keith, but forfeited by rebellion in 1715. -- Knight marshal, or Marshal of the King's house, formerly, in England, the marshal of the king's house, who was authorized to hear and determine all pleas of the Crown, to punish faults committed within the verge, etc. His court was called the Court of Marshalsea. -- Marshal of the Queen's Bench, formerly the title of the officer who had the custody of the Queen's bench prison in Southwark. Mozley & W.\n\n1. To dispose in order; to arrange in a suitable manner; as, to marshal troops or an army. And marshaling the heroes of his name As, in their order, next to light they came. Dryden. 2. To direct, guide, or lead. Thou marshalest me the way that I was going. Shak. 3. (Her.)  To dispose in due order, as the different quarterings on an escutcheon, or the different crests when several belong to an achievement.
marshaler |One who marshals.
marshaling |1. The act of arranging in due order. 2. (Her.)  The arrangement of an escutcheon to exhibit the alliances of the owner. Marshaling of assets (Law), the arranging or ranking of assets in due order of administration.
marshalsea |The court or seat of a marshal; hence, the prison in Southwark, belonging to the marshal of the king's household. [Eng.] Court of Marshalsea, a court formerly held before the steward and marshal of the king's house to administer justice between the king's domestic servants. Blackstone.
marshalship |The office of a marshal.
marshbanker |The menhaden.
marshiness |The state or condition of being marshy.
marshy |1. Resembling a marsh; wet; boggy; fenny. 2. Pertaining to, or produced in, marshes; as, a marshy weed. Dryden.
marsipobranch |One of the Marsipobranchia.
marsipobranchia |A class of Vertebrata, lower than fishes, characterized by their purselike gill cavities, cartilaginous skeletons, absence of limbs, and a suckerlike mouth destitute of jaws. It includes the lampreys and hagfishes. See Cyclostoma, and Lamprey. Called also Marsipobranchiata, and Marsipobranchii.
marsupial |1. (Zoöl.)  Having a pouch for carrying the immature young; of or pertaining to the Marsupialia. 2. (Anat. & Zoöl.)  Of or pertaining to a marsupium; as, the marsupial bones. Marsupial frog. (Zoöl.) See Nototrema.\n\nOne of the Marsupialia.
marsupialia |A subclass of Mammalia, including nearly all the mammals of Australia and the adjacent islands, together with the opossums of America. They differ from ordinary mammals in having the corpus callosum very small, in being implacental, and in having their young born while very immature. The female generally carries the young for some time after birth in an external pouch, or marsupium. Called also Marsupiata.
marsupialian |One of the Marsupialia.
marsupian |One of the Marsupialia.
marsupiate |Related to or resembling the marsupials; furnished with a pouch for the young, as the marsupials, and also some fishes and Crustacea.
marsupion |Same as Marsupium.
marsupite |A fossil crinoid of the genus Marsupites, resembling a purse in form.
marsupium |(a) The pouch, formed by a fold of the skin of the abdomen, in which marsupials carry their young; also, a pouch for similar use in other animals, as certain Crustacea. (b) The pecten in the eye of birds and reptiles. See Pecten.
mart |1. A market. Where has commerce such a mart . . . as London Cowper. 2. A bargain. [Obs.] Shak.\n\nTo buy or sell in, or as in, a mart. [Obs.] To sell and mart your officer for gold To undeservers. Shak.\n\nTo traffic. [Obs.] Shak.\n\n1. The god Mars. [Obs.] 2. Battle; contest. [Obs.] Fairfax.
martagon |A lily (Lilium Martagon) with purplish red flowers, found in Europe and Asia.
martel |To make a blow with, or as with, a hammer. [Obs.] Spenser.
martel de fer |A weapon resembling a hammer, often having one side of the head pointed; -- used by horsemen in the Middle Ages to break armor. Fairholt.
marteline |A small hammer used by marble workers and sculptors.
martello tower |A building of masonry, generally circular, usually erected on the seacoast, with a gun on the summit mounted on a traversing platform, so as to be fired in any direction. Note: The English borrowed the name of the tower from Corsica in 1794.
marten |A bird. See Martin.\n\n1. (Zoöl.)  Any one of several fur-bearing carnivores of the genus Mustela, closely allied to the sable. Among the more important species are the European beech, or stone, marten (Mustela foina); the pine marten (M. martes); and the American marten, or sable (M. Americana), which some zoölogists consider only a variety of the Russian sable. 2. The fur of the marten, used for hats, muffs, etc.
martern |Same as Marten. [Obs.]
martial |1. Of, pertaining to, or suited for, war; military; as, martial music; a martial appearance. \"Martial equipage.\" Milton. 2. Practiced in, or inclined to, war; warlike; brave. But peaceful kings, o'er martial people set, Each other's poise and counterbalance are. Dryden. 3. Belonging to war, or to an army and navy; -- opposed to civil; as, martial law; a court-martial. 4. Pertaining to, or resembling, the god, or the planet, Mars. Sir T. Browne. 5. (Old Chem. & Old Med.)  Pertaining to, or containing, iron; chalybeate; as, martial preparations. [Archaic] Martial flowers (Med.), a reddish crystalline salt of iron; the ammonio-chloride of iron. [Obs.] -- Martial law, the law administered by the military power of a government when it has superseded the civil authority in time of war, or when the civil authorities are unable to enforce the laws. It is distinguished from military law, the latter being the code of rules for the regulation of the army and navy alone, either in peace or in war. Syn. -- Martial, Warlike. Martial refers more to war in action, its array, its attendants, etc.; as, martial music, a martial appearance, a martial array, courts-martial, etc. Warlike describes the feeling or temper which leads to war, and the adjuncts of war; as, a warlike nation, warlike indication, etc. The two words are often used without discrimination.
martialism |The quality of being warlike; exercises suitable for war. [Obs.]
martialist |A warrior. [Obs.] Fuller.
martialize |To render warlike; as, to martialize a people.
martially |In a martial manner.
martialness |The quality of being martial.
martian |Of or pertaining to Mars, the Roman god of war, or to the planet bearing his name; martial.\n\nAn inhabitant of the planet Mars.  Du Maurier.
martin |A perforated stone-faced runner for grinding.\n\nOne of several species of swallows, usually having the tail less deeply forked than the tail of the common swallows. [Written also marten.] Note: The American purple martin, or bee martin (Progne subis, or purpurea), and the European house, or window, martin (Hirundo, or Chelidon, urbica), are the best known species. Bank martin. (a) The bank swallow. See under Bank. (b) The fairy martin. See under Fairy. -- Bee martin. (a) The purple martin. (b) The kingbird. -- Sand martin, the bank swallow.
martinet |In military language, a strict disciplinarian; in general, one who lays stress on a rigid adherence to the details of discipline, or to forms and fixed methods. [Hence, the word is commonly employed in a depreciatory sense.]\n\nThe martin.
martineta |A species of tinamou (Calopezus elegans), having a long slender crest.
martinetism |The principles or practices of a martinet; rigid adherence to discipline, etc.
martingal |1. A strap fastened to a horse's girth, passing between his fore legs, and fastened to the bit, or now more commonly ending in two rings, through which the reins pass. It is intended to hold down the head of the horse, and prevent him from rearing. 2. (Naut.)  A lower stay of rope or chain for the jib boom or flying jib boom, fastened to, or reeved through, the dolphin striker. Also, the dolphin striker itself. 3. (Gambling)  The act of doubling, at each stake, that which has been lost on the preceding stake; also, the sum so risked; -- metaphorically derived from the bifurcation of the martingale of a harness. [Cant] Thackeray.
martingale |1. A strap fastened to a horse's girth, passing between his fore legs, and fastened to the bit, or now more commonly ending in two rings, through which the reins pass. It is intended to hold down the head of the horse, and prevent him from rearing. 2. (Naut.)  A lower stay of rope or chain for the jib boom or flying jib boom, fastened to, or reeved through, the dolphin striker. Also, the dolphin striker itself. 3. (Gambling)  The act of doubling, at each stake, that which has been lost on the preceding stake; also, the sum so risked; -- metaphorically derived from the bifurcation of the martingale of a harness. [Cant] Thackeray.
martinmas |The feast of St. Martin, the eleventh of November; -- often called martlemans. Martinmas summer, a period of calm, warm weather often experienced about the time of Martinmas; Indian summer. Percy Smith.
martite |Iron sesquioxide in isometric form, probably a pseudomorph after magnetite.
martlemas |See Martinmas. [Obs.]
martlet |1. (Zoöl.)  The European house martin. 2. Etym: [Cf. F. merlette.] (Her.)  A bird without beak or feet; -- generally assumed to represent a martin. As a mark of cadency it denotes the fourth son.
martyr |1. One who, by his death, bears witness to the truth of the gospel; one who is put to death for his religion; as, Stephen was the first Christian martyr. Chaucer. To be a martyr, signifies only to witness the truth of Christ; but the witnessing of the truth was then so generally attended with persecution, that martyrdom now signifies not only to witness, but to witness by death South. 2. Hence, one who sacrifices his life, his station, or what is of great value to him, for the sake of principle, or to sustain a cause. Then if thou fall'st, O Cromwell, Thou fall'st a blessed martyr ! Shak.\n\n1. To put to death for adhering to some belief, esp. Christianity; to sacrifice on account of faith or profession. Bp. Pearson. 2. To persecute; to torment; to torture. Chaucer. The lovely Amoret, whose gentle heart Thou martyrest with sorrow and with smart. Spenser. Racked with sciatics, martyred with the stone. Pope.
martyrdom |1. The condition of a martyr; the death of a martyr; the suffering of death on account of adherence to the Christian faith, or to any cause. Bacon. I came from martyrdom unto this peace. Longfellow. 2. Affliction; torment; torture. Chaucer.
martyrization |Act of martyrizing, or state of being martyrized; torture. B. Jonson.
martyrize |To make a martyr of. Spenser.
martyrly |In the manner of a martyr.
martyrologe |A martyrology. [Obs.] Bp. Hall.
martyrologic |Pertaining to martyrology or martyrs; registering, or registered in, a catalogue of martyrs.
martyrological |Pertaining to martyrology or martyrs; registering, or registered in, a catalogue of martyrs.
martyrologist |A writer of martyrology; an historian of martyrs. T. Warton.
martyrology |A history or account of martyrs; a register of martyrs. Bp. Stillingfleet.
martyrship |Martyrdom. [R.] Fuller.
marvel |1. That which causes wonder; a prodigy; a miracle. I will do marvels such as have not been done. Ex. xxxiv. 10. Nature's sweet marvel undefiled. Emerson. 2. Wonder. [R.] \"Use lessens marvel.\" Sir W. Scott. Marvel of Peru. (Bot.) See Four-o'clock.\n\nTo be struck with surprise, astonishment, or wonder; to wonder. Marvel not, my brethren, if the world hate you. 1 john iii. 13.\n\n1. To marvel at. [Obs.] Wyclif. 2. To cause to marvel, or be surprised; -- used impersonally. [Obs.] But much now me marveleth. Rich. the Redeless.
marvelously |In a marvelous manner; wonderfully; strangely.
marvelousness |The quality or state of being marvelous; wonderfulness; strangeness.
marver |A stone, or cast-iron plate, or former, on which hot glass is rolled to give it shape.
mary |Marrow. [Obs.] Chaucer.\n\nSee Marry. [Obs.] Chaucer.
mary-bud |The marigold; a blossom of the marigold. Shak.
maryolatry |Mariolatry.
marysole |A large British fluke, or flounder (Rhombus megastoma); -- called also carter, and whiff. marchpane.
mascagnin |Native sulphate of ammonia, found in volcanic districts; -- so named from Mascagni, who discovered it.
mascagnite |Native sulphate of ammonia, found in volcanic districts; -- so named from Mascagni, who discovered it.
mascle |A lozenge voided.
mascled |Composed of, or covered with, lozenge-shaped scales; having lozenge-shaped divisions. Mascled armor, armor composed of small lozenge-shaped scales of metal fastened on a foundation of leather or quilted cloth.
mascot |A person who is supposed to bring good luck to the household to which he or she belongs; anything that brings good luck.
mascotte |A person who is supposed to bring good luck to the household to which he or she belongs; anything that brings good luck.
masculate |To make strong. [Obs.] Cockeram.
masculine |1. Of the male sex; not female. Thy masculine children, that is to say, thy sons. Chaucer. 2. Having the qualities of a man; suitable to, or characteristic of, a man; virile; not feminine or effeminate; strong; robust. That lady, after her husband's death, held the reins with a masculine energy. Hallam. 3. Belonging to males; appropriated to, or used by, males. [R.] \"A masculine church.\" Fuller. 4. (Gram.)  Having the inflections of, or construed with, words pertaining especially to male beings, as distinguished from feminine and neuter. See Gender. -- Mas\"cu*line*ly, adv. -- Mas\"cu*line*ness, n.
masculinity |The state or quality of being masculine; masculineness.
mase |See Maze. [Obs.] Chaucer.
maselyn |A drinking cup. See 1st Maslin, 2. [Obs.] Chaucer.
maser |Same as Mazer.
mash |A mesh. [Obs.]\n\n1. A mass of mixed ingredients reduced to a soft pulpy state by beating or pressure; a mass of anything in a soft pulpy state. Specifically (Brewing), ground or bruised malt, or meal of rye, wheat, corn, or other grain (or a mixture of malt and meal) steeped and stirred in hot water for making the wort. 2. A mixture of meal or bran and water fed to animals. 3. A mess; trouble. [Obs.] Beau. & Fl. Mash tun, a large tub used in making mash and wort.\n\nTo convert into a mash; to reduce to a soft pulpy state by beating or pressure; to bruise; to crush; as, to mash apples in a mill, or potatoes with a pestle. Specifically (Brewing), to convert, as malt, or malt and meal, into the mash which makes wort. Mashing tub, a tub for making the mash in breweries and distilleries; -- called also mash tun, and mash vat.
masher |1. One who, or that which, mashes; also (Brewing), a machine for making mash. 2. A charmer of women. [Slang] London Punch.
mashie |A golf club like the iron, but with a shorter head, slightly more lofted, used chiefly for short approaches.
mashlin |See Maslin.
mashy |A golf club like the iron, but with a shorter head, slightly more lofted, used chiefly for short approaches.\n\nProduced by crushing or bruising; resembling, or consisting of, a mash.
mask |1. A cover, or partial cover, for the face, used for disguise or protection; as, a dancer's mask; a fencer's mask; a ball player's mask. 2. That which disguises; a pretext or subterfuge. 3. A festive entertainment of dancing or other diversions, where all wear masks; a masquerade; hence, a revel; a frolic; a delusive show. Bacon. This thought might lead me through the world's vain mask. Milton. 4. A dramatic performance, formerly in vogue, in which the actors wore masks and represented mythical or allegorical characters. 5. (Arch.)  A grotesque head or face, used to adorn keystones and other prominent parts, to spout water in fountains, and the like; -- called also mascaron. 6. (Fort.) (a) In a permanent fortification, a redoubt which protects the caponiere. (b) A screen for a battery. 7. (Zoöl.)  The lower lip of the larva of a dragon fly, modified so as to form a prehensile organ. Mask house, a house for masquerades. [Obs.]\n\n1. To cover, as the face, by way of concealment or defense against injury; to conceal with a mask or visor. They must all be masked and vizarded. Shak. 2. To disguise; to cover; to hide. Masking the business from the common eye. Shak. 3. (Mil.) (a) To conceal; also, to intervene in the line of. (b) To cover or keep in check; as, to mask a body of troops or a fortess by a superior force, while some hostile evolution is being carried out.\n\n1. To take part as a masker in a masquerade. Cavendish. 2. To wear a mask; to be disguised in any way. Shak.
mask shell |Any spiral marine shell of the genus Persona, having a curiously twisted aperture.
masked |1. Wearing a mask or masks; characterized by masks; cincealed; hidden. 2. (Bot.)  Same as Personate. 3. (Zoöl.)  Having the anterior part of the head differing decidedly in color from the rest of the plumage; -- said of birds. Masked ball, a ball in which the dancers wear masks. -- Masked battery (Mil.), a battery so placed as not to be seen by an enemy until it opens fire. H. L. Scott. -- Masked crab (Zoöl.), a European crab (Corystes cassivelaunus) with markings on the carapace somewhat resembling a human face. -- Masked pig (Zoöl.), a Japanese domestic hog (Sus pliciceps). Its face is deeply furrowed.
masker |One who wears a mask; one who appears in disguise at a masquerade.\n\nTo confuse; to stupefy. [Obs.] Holland.
maskery |The dress or disguise of a maske [Obs.] Marston.
maskinonge |The muskellunge.
maslach |An excitant containing opium, much used by the Turks. Dunglison.
maslin |1. A mixture composed of different materials; especially: (a) A mixture of metals resembling brass. (b) A mixture of different sorts of grain, as wheat and rye. [Written also meslin, mislin, maselyn, mastlin.] 2. A vessel made of maslin, 1 (a). [Obs.] Mead eke in a maselyn. Chaucer.\n\nComposed of different sorts; as, maslin bread, which is made of rye mixed with a little wheat. [Written also meslin, mislin, etc.]
mason |1. One whose occupation is to build with stone or brick; also, one who prepares stone for building purposes. 2. A member of the fraternity of Freemasons. See Freemason. Mason bee (Zoöl.), any one of numerous species of solitary bees of the genus Osmia. They construct curious nests of hardened mud and sand. -- Mason moth (Zoöl.), any moth whose larva constructs an earthen cocoon under the soil. -- Mason shell (Zoöl.), a marine univalve shell of the genus Phorus; -- so called because it cements other shells and pebbles upon its own shell; a carrier shell. -- Mason wasp (Zoöl.), any wasp that constructs its nest, or brood cells, of hardened mud. The female fills the cells with insects or spiders, paralyzed by a sting, and thus provides food for its larvæ\n\nTo build stonework or brickwork about, under, in, over, etc.; to construct by masons; -- with a prepositional suffix; as, to mason up a well or terrace; to mason in a kettle or boiler.
masonic |Of or pertaining to Freemasons or to their craft or mysteries.
masonry |1. The art or occupation of a mason. 2. The work or performance of a mason; as, good or bad masonry; skillful masonry. 3. That which is built by a mason; anything constructed of the materials used by masons, such as stone, brick, tiles, or the like. Dry masonry is applied to structures made without mortar. 4. The craft, institution, or mysteries of Freemasons; freemasonry.
masoola boat |. A kind of boat used on the coast of Madras, India. The planks are sewed together with strands of coir which cross over a wadding of the same material, so that the shock on taking the beach through surf is much reduced. [Written also masula, masulah, etc.]
masora |A Jewish critical work on the text of the Hebrew Scriptures, composed by several learned rabbis of the school of Tiberias, in the eighth and ninth centuries. [Written also Masorah, Massora, and Massorah.]
masoret |A Masorite. [Written also Masorete, and Massorete.]
masoretic |Of or relating to the Masora, or to its authors. Masoretic points and accents, the vowel points and accents of the Hebrew text of the Bible, of which the first mention is in the Masora.
masoretical |Of or relating to the Masora, or to its authors. Masoretic points and accents, the vowel points and accents of the Hebrew text of the Bible, of which the first mention is in the Masora.
masorite |One of the writers of the Masora.
masque |A mask; a masquerade.
masquerade |1. An assembly of persons wearing masks, and amusing themselves with dancing, conversation, or other diversions. In courtly balls and midnight masquerades. Pope. 2. A dramatic performance by actors in masks; a mask. See 1st Mask, 4. [Obs.] 3. Acting or living under false pretenses; concealment of something by a false or unreal show; pretentious show; disguise. That masquerade of misrepresentation which invariably accompanied the political eloquence of Rome. De Quincey. 4. A Spanish diversion on horseback.\n\n1. To assemble in masks; to take part in a masquerade. 2. To frolic or disport in disquise; to make a pretentious show of being what one is not. A freak took an ass in the head, and he goes into the woods, masquerading up and down in a lion's skin. L'Estrange.\n\nTo conceal with masks; to disguise. \"To masquerade vice.\" Killingbeck.
masquerader |One who masquerades; a person wearing a mask; one disguised.
