diagraph |A drawing instrument, combining a protractor and scale.
diamond |1. A precious stone or gem excelling in brilliancy and beautiful play of prismatic colors, and remarkable for extreme hardness. Note: The diamond is native carbon in isometric crystals, often octahedrons with rounded edges. It is usually colorless, but some are yellow, green, blue, and even black. It is the hardest substance known. The diamond as found in nature (called a rough diamond) is cut, for use in jewelry, into various forms with many reflecting faces, or facets, by which its brilliancy is much increased. See Brilliant, Rose. Diamonds are said to be of the first water when very transparent, and of the second or third water as the transparency decreases. 2. A geometrical figure, consisting of four equal straight lines, and having two of the interior angles acute and two obtuse; a rhombus; a lozenge. 3. One of a suit of playing cards, stamped with the figure of a diamond. 4. (Arch.)  A pointed projection, like a four-sided pyramid, used for ornament in lines or groups. 5. (Baseball)  The infield; the square space, 90 feet on a side, having the bases at its angles. 6. (Print.)  The smallest kind of type in English printing, except that called brilliant, which is seldom seen. Note: * This line is printed in the type called Diamond. Black diamond, coal; (Min.) See Carbonado. -- Bristol diamond. See Bristol stone, under Bristol. -- Diamond beetle (Zoöl.), a large South American weevil (Entimus imperialis), remarkable for its splendid luster and colors, due to minute brilliant scales. -- Diamond bird (Zoöl.), a small Australian bird (Pardalotus punctatus, family Ampelidæ.). It is black, with white spots. -- Diamond drill (Engin.), a rod or tube the end of which is set with black diamonds; -- used for perforating hard substances, esp. for boring in rock. -- Diamond finch (Zoöl.), a small Australian sparrow, often kept in a cage. Its sides are black, with conspicuous white spots, and the rump is bright carmine. -- Diamond groove (Iron Working), a groove of V-section in a roll. -- Diamond mortar (Chem.), a small steel mortar used for pulverizing hard substances. -- Diamond-point tool, a cutting tool whose point is diamond-shaped. -- Diamond snake (Zoöl.), a harmless snake of Australia (Morelia spilotes); the carpet snake. -- Glazier's diamond, a small diamond set in a glazier's tool, for cutting glass.\n\nResembling a diamond; made of, or abounding in, diamonds; as, a diamond chain; a diamond field.
diamond anniversary |One celebrated upon the completion of sixty, or, according to some, seventy-five, years from the beginning of the thing commemorated.
diamond jubilee |One celebrated upon the completion of sixty, or, according to some, seventy-five, years from the beginning of the thing commemorated.
diamond state |Delaware; -- a nickname alluding to its small size.
diamond-back |The salt-marsh terrapin of the Atlantic coast (Malacoclemmys palustris).
diamond-shaped |Shaped like a diamond or rhombus.
diamonded |1. Having figures like a diamond or lozenge. 2. Adorned with diamonds; diamondized. Emerson.
diamondize |To set with diamonds; to adorn; to enrich. [R.] Diamondizing of your subject. B. Jonson.
diamylene |A liquid hydrocarbon, C10H20, of the ethylene series, regarded as a polymeric form of amylene.
dian |, Diana. [Poetic]
diana |The daughter of Jupiter and Latona; a virgin goddess who presided over hunting, chastity, and marriage; -- identified with the Greek goddess Artemis. And chaste Diana haunts the forest shade. Pope. Diana monkey (Zoöl.), a handsome, white-bearded monkey of West Africa (Cercopithecus Diana).
diandria |A Linnæan class of plants having two stamens.
diandrian |Diandrous.
diandrous |Of or pertaining to the class Diandria; having two stamens.
dianium |Same as Columbium. [Obs.]
dianoetic |Pertaining to the discursive faculty, its acts or products. I would employ . . . dianoetic to denote the operation of the discursive, elaborative, or comparative faculty. Sir W. Hamilton.
dianoialogy |The science of the dianoetic faculties, and their operations. Sir W. Hamilton.
dianthus |A genus of plants containing some of the most popular of cultivated flowers, including the pink, carnation, and Sweet William.
diapase |Same as Diapason. [Obs.] A tuneful diapase of pleasures. Spenser.
diapasm |Powdered aromatic herbs, sometimes made into little balls and strung together. [Obs.]
diapason |1. (Gr. Mus.)  The octave, or interval which includes all the tones of the diatonic scale. 2. Concord, as of notes an octave apart; harmony. The fair music that all creatures made . . . In perfect diapason. Milton. 3. The entire compass of tones. Through all the compass of the notes it ran, The diapason closing full in man. Dryden. 4. A standard of pitch; a tuning fork; as, the French normal diapason. 5. One of certain stops in the organ, so called because they extend through the scale of the instrument. They are of several kinds, as open diapason, stopped diapason, double diapason, and the like.
diapedesis |The passage of the corpuscular elements of the blood from the blood vessels into the surrounding tissues, without rupture of the walls of the blood vessels.
diapente |1. (Anc. Mus.)  The interval of the fifth. 2. (Med.)  A composition of five ingredients.
diaper |1. Any textile fabric (esp. linen or cotton toweling) woven in diaper pattern. See 2. 2. (Fine Arts)  Surface decoration of any sort which consists of the constant repetition of one or more simple figures or units of design evenly spaced. 3. A towel or napkin for wiping the hands, etc. Let one attend him with a silver basin, . . . Another bear the ewer, the third a diaper. Shak. 4. An infant's breechcloth.\n\n1. To ornament with figures, etc., arranged in the pattern called diaper, as cloth in weaving. \"Diapered light.\" H. Van Laun. Engarlanded and diapered With in wrought flowers. Tennyson. 2. To put a diaper on (a child).\n\nTo draw flowers or figures, as upon cloth. \"If you diaper on folds.\" Peacham.
diapering |Same as Diaper, n., 2.
diaphane |A woven silk stuff with transparent and colored figures; diaper work.
diaphaned |Transparent or translucent. [R.]
diaphaneity |The quality of being diaphanous; transparency; pellucidness.
diaphanic |Having power to transmit light; transparent; diaphanous.
diaphanie |The art of imitating
diaphanometer |An instrument for measuring the transparency of the air.
diaphanoscope |A dark box constructed for viewing transparent pictures, with or without a lens.
diaphanotype |A colored photograph produced by superimposing a translucent colored positive over a strong uncolored one.
diaphanous |Allowing light to pass through, as porcelain; translucent or transparent; pellucid; clear. Another cloud in the region of them, light enough to be fantastic and diaphanous. Landor.
diaphanously |Translucently.
diaphemetric |Relating to the measurement of the tactile sensibility of parts; as, diaphemetric compasses. Dunglison.
diaphonic |Diacoustic.
diaphonical |Diacoustic.
diaphonics |The doctrine of refracted sound; diacoustics.
diaphoresis |Perspiration, or an increase of perspiration.
diaphoretic |Having the power to increase perspiration.\n\nA medicine or agent which promotes perspiration. Note: Diaphoretics differ from sudorifics; the former only increase the insensible perspiration, the latter excite the sensible discharge called sweat. Parr.
diaphoretical |Having the power to increase perspiration.
diaphote |An instrument designed for transmitting pictures by telegraph. Fallows.
diaphragm |1. A dividing membrane or thin partition, commonly with an opening through it. 2. (Anat.)  The muscular and tendinous partition separating the cavity of the chest from that of the abdomen; the midriff. 3. (Zoöl.)  A calcareous plate which divides the cavity of certain shells into two parts. 4. (Opt.)  A plate with an opening, which is generally circular, used in instruments to cut off marginal portions of a beam of light, as at the focus of a telescope. 5. (Mach.)  A partition in any compartment, for various purposes. Diaphragm pump, one in which a flexible diaphragm takes the place of a piston.
diaphragmatic |Pertaining to a diaphragm; as, diaphragmatic respiration; the diaphragmatic arteries and nerves.
diaphysis |1. (Bot.)  An abnormal prolongation of the axis of inflorescence. 2. (Anat.)  The shaft, or main part, of a bone, which is first ossified.
diapnoic |Slightly increasing an insensible perspiration; mildly diaphoretic. -- n.  A gentle diaphoretic.
diapophysical |Pertaining to a diapophysis.
diapophysis |The dorsal transverse, or tubercular, process of a vertebra. See Vertebra.
diarchy |A form of government in which the supreme power is vested in two persons.
diarial |Pertaining to a diary; daily.
diarian |Pertaining to a diary; daily.
diarist |One who keeps a diary.
diarrhea |A morbidly frequent and profuse discharge of loose or fluid evacuations from the intestines, without tenesmus; a purging or looseness of the bowels; a flux.
diarrheal |Of or pertaining to diarrhea; like diarrhea.
diarrhetic |Producing diarrhea, or a purging.
diarrhoea |A morbidly frequent and profuse discharge of loose or fluid evacuations from the intestines, without tenesmus; a purging or looseness of the bowels; a flux.
diarrhoeal |Of or pertaining to diarrhea; like diarrhea.
diarrhoetic |Producing diarrhea, or a purging.
diarthrodial |Relating to diarthrosis, or movable articulations.
diarthrosis |A form of articulation which admits of considerable motion; a complete joint; abarticulation. See Articulation.
diary |A register of daily events or transactions; a daily record; a journal; a blank book dated for the record of daily memoranda; as, a diary of the weather; a physician's diary.\n\nlasting for one day; as, a diary fever. [Obs.] \"Diary ague.\" Bacon.
diaspora |(a) To those Jews who, after the Exile, were scattered through the Old World, and afterwards to Jewish Christians living among heathen. Cf. James i.1. (b) By extension, to Christians isolated from their own communion, as among the Moravians to those living, usually as missionaries, outside of the parent congregation.
diaspore |A hydrate of alumina, often occurring in white lamellar masses with brilliant pearly luster; -- so named on account of its decrepitating when heated before the blowpipe.
diastase |A soluble, nitrogenous ferment, capable of converting starch and dextrin into sugar. Note: The name is more particularly applied to that ferment formed during the germination of grain, as in the malting of barley; but it is also occasionally used to designate the amylolytic ferment contained in animal fluids, as in the saliva.
diastasic |Pertaining to, or consisting of, diastase; as, diastasic ferment.
diastasis |A forcible of bones without fracture.
diastatic |Relating to diastase; having the properties of diastase; effecting the conversion of starch into sugar. The influence of acids and alkalies on the diastatic action of saliva. Lauder Brunton.
diastem |(a) Intervening space; interval. (b) (Anc. Mus.) An interval.
diastema |A vacant space, or gap, esp. between teeth in a jaw.
diaster |A double star; -- applied to the nucleus of a cell, when, during cell division, the loops of the nuclear network separate into two groups, preparatory to the formation of two daughter nuclei. See Karyokinesis.
diastolic |Of or pertaining to diastole.
diastyle |See under Intercolumniation.
diatessaron |1. (Anc. Mus.)  The interval of a fourth. 2. (Theol.)  A continuous narrative arranged from the first four books of the New Testament. 3. An electuary compounded of four medicines.
diathermal |Freely permeable by radiant heat.
diathermancy |The property of transmitting radiant heat; the quality of being diathermous. Melloni.
diathermaneity |The property of transmitting radiant heat; the quality of being diathermous. Melloni.
diathermanism |The doctrine or the phenomena of the transmission of radiant heat. Nichol.
diathermanous |Having the property of transmitting radiant heat; diathermal; - - opposed to athermanous.
diathermic |Affording a free passage to heat; as, diathermic substances. Melloni.
diathermometer |An instrument for examining the thermal resistance or heat- conducting power of liquids.
diathermous |Same as Diathermal.
diathesis |Bodily condition or constitution, esp. a morbid habit which predisposes to a particular disease, or class of diseases.
diathetic |Pertaining to, or dependent on, a diathesis or special constitution of the body; as, diathetic disease.
diatom |1. (Bot.)  One of the Diatomaceæ, a family of minute unicellular Algæ having a siliceous covering of great delicacy, each individual multiplying by spontaneous division. By some authors diatoms are called Bacillariæ, but this word is not in general use. 2. A particle or atom endowed with the vital principle. The individual is nothing. He is no more than the diatom, the bit of protoplasm. Mrs. E. Lynn Linton.
diatomic |(a) Containing two atoms. (b) Having two replaceable atoms or radicals.
diatomous |Having a single, distinct, diagonal cleavage; -- said of crystals. Mohs.
diatonic |Pertaining to the scale of eight tones, the eighth of which is the octave of the first. Diatonic scale (Mus.), a scale consisting of eight sounds with seven intervals, of which two are semitones and five are whole tones; a modern major or minor scale, as distinguished from the chromatic scale.
diatonically |In a diatonic manner.
diatribe |A prolonged or exhaustive discussion; especially, an acrimonious or invective harangue; a strain of abusive or railing language; a philippic. The ephemeral diatribe of a faction. John Morley.
diatribist |One who makes a diatribe or diatribes.
diatryma |An extinct eocene bird from New Mexico, larger than the ostrich.
diazeuctic |Disjoining two fourths; as, the diazeutic tone, which, like that from F to G in modern music, lay between two fourths, and, being joined to either, made a fifth. [Obs.]
diazeutic |Disjoining two fourths; as, the diazeutic tone, which, like that from F to G in modern music, lay between two fourths, and, being joined to either, made a fifth. [Obs.]
diazo- |A combining form (also used adjectively), meaning pertaining to, or derived from, a series of compounds containing a radical of two nitrogen atoms, united usually to an aromatic radical; as, diazo- benzene, C6H5.N2.OH. Note: Diazo compounds are in general unstable, but are of great importance in recent organic chemistry. They are obtained by a partial reduction of the salts of certain amido compounds. Diazo reactions (Chem.), a series of reactions whereby diazo compounds are employed in substitution. These reactions are of great importance in organic chemistry.
diazotize |To subject to such reactions or processes that diazo compounds, or their derivatives, shall be produced by chemical exchange or substitution.
dib |To dip. [Prov. Eng.] Walton.\n\n1. One of the small bones in the knee joints of sheep uniting the bones above and below the joints. 2. pl.  A child's game, played with dib bones.
dibasic |Having two acid hydrogen atoms capable of replacement by basic atoms or radicals, in forming salts; bibasic; -- said of acids, as oxalic or sulphuric acids. Cf. Diacid, Bibasic. Note: In the case of certain acids dibasic and divalent are not synonymous; as, tartaric acid is tetravalent and dibasic, lactic acid is divalent but monobasic.
dibasicity |The property or condition of being dibasic.
dibber |A dibble. Halliwell.
dibble |A pointed implement used to make holes in the ground in which no set out plants or to plant seeds.\n\nTo dib or dip frequently, as in angling. Walton.\n\n1. To plant with a dibble; to make holes in (soil) with a dibble, for planting. 2. To make holes or indentations in, as if with a dibble. The clayey soil around it was dibbled thick at the time by the tiny hoofs of sheep. H. Miller.
dibbler |One who, or that which, dibbles, or makes holes in the ground for seed.
dibranchiata |An order of cephalopods which includes those with two gills, an apparatus for emitting an inky fluid, and either eight or ten cephalic arms bearing suckers or hooks, as the octopi and squids. See Cephalopoda.
dibranchiate |Having two gills. -- n.  One of the Dibranchiata.
dibs |A sweet preparation or treacle of grape juice, much used in the East. Johnston.
dibstone |A pebble used in a child's game called dibstones. Locke.
dibutyl |A liquid hydrocarbon, C8H18, of the marsh-gas series, being one of several octanes, and consisting of two butyl radicals. Cf. Octane.
dicacious |Talkative; pert; saucy. [Obs.]
dicacity |Pertness; sauciness. [Obs.]
dicalcic |Having two atoms or equivalents of calcium to the molecule.
dicarbonic |Containing two carbon residues, or two carboxyl or radicals; as, oxalic acid is a dicarbonic acid.
dicast |A functionary in ancient Athens answering nearly to the modern juryman.
dicastery |A court of justice; judgment hall. [R.] J. S. Mill.
dice |Small cubes used in gaming or in determining by chance; also, the game played with dice. See Die, n. Dice coal, a kind of coal easily splitting into cubical fragments. Brande & C.\n\n1. To play games with dice. I . . . diced not above seven times a week. Shak. 2. To ornament with squares, diamonds, or cubes.
dicebox |A box from which dice are thrown in gaming. Thackeray.
dicentra |A genus of herbaceous plants, with racemes of two-spurred or heart-shaped flowers, including the Dutchman's breeches, and the more showy Bleeding heart (D. spectabilis). [Corruptly written dielytra.]
dicephalous |Having two heads on one body; double-headed.
dicer |A player at dice; a dice player; a gamester. As false as dicers' oaths. Shak.
dich |To ditch. [Obs.]
dichastic |Capable of subdividing spontaneously.
dichlamydeous |Having two coverings, a calyx and in corolla.
dichloride |Same as Bichloride.
dichogamous |Manifesting dichogamy.
dichogamy |The condition of certain species of plants, in which the stamens and pistil do not mature simultaneously, so that these plants can never fertilize themselves.
dichotomist |One who dichotomizes. Bacon.
dichotomize |1. To cut into two parts; to part into two divisions; to divide into pairs; to bisect. [R.] The apostolical benediction dichotomizes all good things into grace and peace. Bp. Hall. 2. (Astron.)  To exhibit as a half disk. See Dichotomy, 3. \"[The moon] was dichotomized.\" Whewell.\n\nTo separate into two parts; to branch dichotomously; to become dichotomous.
dichotomous |Regularly dividing by pairs from bottom to top; as, a dichotomous stem. -- Di*chot\"o*mous*ly, adv.
dichotomy |1. A cutting in two; a division. A general breach or dichotomy with their church. Sir T. Browne. 2. Division or distribution of genera into two species; division into two subordinate parts. 3. (Astron.)  That phase of the moon in which it appears bisected, or shows only half its disk, as at the quadratures. 4. (Biol.)  Successive division and subdivision, as of a stem of a plant or a vein of the body, into two parts as it proceeds from its origin; successive bifurcation. 5. The place where a stem or vein is forked. 6. (Logic)  Division into two; especially, the division of a class into two subclasses opposed to each other by contradiction, as the division of the term man into white and not white.
dichroic |Having the property of dichroism; as, a dichroic crystal.
dichroiscope |Same as Dichroscope.
dichroism |The property of presenting different colors by transmitted light, when viewed in two different directions, the colors being unlike in the direction of unlike or unequal axes.
dichroite |Iolite; -- so called from its presenting two different colors when viewed in two different directions. See Iolite.
dichroitic |Dichroic.
dichromate |A salt of chromic acid containing two equivalents of the acid radical to one of the base; -- called also bichromate.
dichromatic |1. Having or exhibiting two colors. 2. (Zoöl.)  Having two color varieties, or two phases differing in color, independently of age or sex, as in certain birds and insects.
dichromatism |The state of being dichromatic.
dichromic |Furnishing or giving two colors; -- said of defective vision, in which all the compound colors are resolvable into two elements instead of three. Sir J. Herschel.
dichroous |Dichroic.
dichroscope |An instrument for examining the dichroism of crystals.
dichroscopic |Pertaining to the dichroscope, or to observations with it.
dicing |1. An ornamenting in squares or cubes. 2. Gambling with dice. J. R. Green.
dickcissel |The American black-throated bunting (Spiza Americana).
dickens |The devil. [A vulgar euphemism.] I can not tell what the dickens his name is. Shak.
dicker |1. The number or quantity of ten, particularly ten hides or skins; a dakir; as, a dicker of gloves. [Obs.] A dicker of cowhides. Heywood. 2. A chaffering, barter, or exchange, of small wares; as, to make a dicker. [U.S.] For peddling dicker, not for honest sales. Whittier.\n\nTo negotiate a dicker; to barter. [U.S.] \"Ready to dicker. and to swap.\" Cooper.
dickey |1. A seat behind a carriage, for a servant. 2. A false shirt front or bosom. 3. A gentleman's shirt collar. [Local, U. S.]
dicky |1. A seat behind a carriage, for a servant. 2. A false shirt front or bosom. 3. A gentleman's shirt collar. [Local, U. S.]
diclinic |Having two of the intersections between the three axes oblique. See Crystallization.
diclinous |Having the stamens and pistils in separate flowers. Gray.
dicoccous |Composed pf two coherent, one-seeded carpels; as, a dicoccous capsule.
dicotyledon |A plant whose seeds divide into two seed lobes, or cotyledons, in germinating.
dicotyledonous |Having two cotyledons or seed lobes; as, a dicotyledonous plant.
dicrotal |Dicrotic.
dicrotic |(a) Of or pertaining to dicrotism; as, a dicrotic pulse. (b) Of or pertaining to the second expansion of the artery in the dicrotic pulse; as, the dicrotic wave.
dicrotism |A condition in which there are two beats or waves of the arterial pulse to each beat of the heart.
dicrotous |Dicrotic.
dicta |See Dictum.
dictagraph |Var. of Dictograph.
dictamen |A dictation or dictate. [R.] Falkland.
dictamnus |A suffrutescent, D. Fraxinella (the only species), with strong perfume and showy flowers. The volatile oil of the leaves is highly inflammable.
dictaphone |A form of phonographic recorder and reproducer adapted for use in dictation, as in business.
dictate |1. To tell or utter so that another may write down; to inspire; to compose; as, to dictate a letter to an amanuensis. The mind which dictated the Iliad. Wayland. Pages dictated by the Holy Spirit. Macaulay. 2. To say; to utter; to communicate authoritatively; to deliver (a command) to a subordinate; to declare with authority; to impose; as, to dictate the terms of a treaty; a general dictates orders to his troops. Whatsoever is dictated to us by God must be believed. Watts. Syn. -- To suggest; prescribe; enjoin; command; point out; urge; admonish.\n\n1. To speak as a superior; to command; to impose conditions (on). Who presumed to dictate to the sovereign. Macaulay. 2. To compose literary works; to tell what shall be written or said by another. Sylla could not skill of letters, and therefore knew not how to dictate. Bacon.\n\nA statement delivered with authority; an order; a command; an authoritative rule, principle, or maxim; a prescription; as, listen to the dictates of your conscience; the dictates of the gospel. I credit what the Grecian dictates say. Prior. Syn. -- Command; injunction; direction suggestion; impulse; admonition.
dictation |1. The act of dictating; the act or practice of prescribing; also that which is dictated. It affords security against the dictation of laws. Paley. 2. The speaking to, or the giving orders to, in an overbearing manner; authoritative utterance; as, his habit, even with friends, was that of dictatio.
dictator |1. One who dictates; one who prescribes rules and maxims authoritatively for the direction of others. Locke. 2. One invested with absolute authority; especially, a magistrate created in times of exigence and distress, and invested with unlimited power. Invested with the authority of a dictator, nay, of a pope, over our language. Macaulay.
dictatorial |1. Pertaining or suited to a dictator; absolute. Military powers quite dictatorial. W. Irving. 2. Characteristic of a dictator; imperious; dogmatical; overbearing; as, a dictatorial tone or manner. -- Dic`ta*to\"ri*al*ly, adv. -- Dic`ta*to\"ri*al*ness, n.
dictatorian |Dictatorial. [Obs.]
dictatorship |The office, or the term of office, of a dictator; hence, absolute power.
dictatory |Dogmatical; overbearing; dictatorial. Milton.
dictatress |A woman who dictates or commands. Earth's chief dictatress, ocean's mighty queen. Byron.
dictatrix |A dictatress.
dictature |Office of a dictator; dictatorship. [R.] Bacon.
diction |Choice of words for the expression of ideas; the construction, disposition, and application of words in discourse, with regard to clearness, accuracy, variety, etc.; mode of expression; language; as, the diction of Chaucer's poems. His diction blazes up into a sudden explosion of prophetic grandeur. De Quincey. Syn. -- Diction, Style, Phraseology. Style relates both to language and thought; diction, to language only; phraseology, to the mechanical structure of sentences, or the mode in which they are phrased. The style of Burke was enriched with all the higher graces of composition; his diction was varied and copious; his phraseology, at times, was careless and cumbersome. \"Diction is a general term applicable alike to a single sentence or a connected composition. Errors in grammar, false construction, a confused disposition of words, or an improper application of them, constitute bad diction; but the niceties, the elegancies, the peculiarities, and the beauties of composition, which mark the genius and talent of the writer, are what is comprehended under the name of style.\" Crabb.
dictionalrian |A lexicographer. [R.]
dictionary |1. A book containing the words of a language, arranged alphabetically, with explanations of their meanings; a lexicon; a vocabulary; a wordbook. I applied myself to the perusal of our writers; and noting whatever might be of use to ascertain or illustrate any word or phrase, accumulated in time the materials of a dictionary. Johnson. 2. Hence, a book containing the words belonging to any system or province of knowledge, arranged alphabetically; as, a dictionary of medicine or of botany; a biographical dictionary.
dictograph |A telephonic instrument for office or other similar use, having a sound-magnifying device enabling the ordinary mouthpiece to be dispensed with. Much use has been made of it for overhearing, or for recording, conversations for the purpose of obtaining evidence for use in litigation. The makers of this instrument spell it dictograph.
