gangliac |Relating to a ganglion; ganglionic.
gas |1. An aëriform fluid; -- a term used at first by chemists as synonymous with air, but since restricted to fluids supposed to be permanently elastic, as oxygen, hydrogen, etc., in distinction from vapors, as steam, which become liquid on a reduction of temperature. In present usage, since all of the supposed permanent gases have been liquified by cold and pressure, the term has resumed nearly its original signification, and is applied to any substance in the elastic or aëriform state. 2. (Popular Usage) (a) A complex mixture of gases, of which the most important constituents are marsh gas, olefiant gas, and hydrogen, artificially produced by the destructive distillation of gas coal, or sometimes of peat, wood, oil, resin, etc. It gives a brilliant light when burned, and is the common gas used for illuminating purposes. (b) Laughing gas. (c) Any irrespirable aëriform fluid. Note: Gas is often used adjectively or in combination; as, gas fitter or gasfitter; gas meter or gas-meter, etc. Air gas (Chem.), a kind of gas made by forcing air through some volatile hydrocarbon, as the lighter petroleums. The air is so saturated with combustible vapor as to be a convenient illuminating and heating agent. -- Gas battery (Elec.), a form of voltaic battery, in which gases, especially hydrogen and oxygen, are the active agents. -- Gas carbon, Gas coke, etc. See under Carbon, Coke, etc. -- Gas coal, a bituminous or hydrogenous coal yielding a high percentage of volatile matters, and therefore available for the manufacture of illuminating gas. R. W. Raymond. -- Gas engine, an engine in which the motion of the piston is produced by the combustion or sudden production or expansion of gas; -- especially, an engine in which an explosive mixture of gas and air is forced into the working cylinder and ignited there by a gas flame or an electric spark. -- Gas fitter, one who lays pipes and puts up fixtures for gas. -- Gas fitting. (a) The occupation of a gas fitter. (b) pl. The appliances needed for the introduction of gas into a building, as meters, pipes, burners, etc. -- Gas fixture, a device for conveying illuminating or combustible gas from the pipe to the gas-burner, consisting of an appendage of cast, wrought, or drawn metal, with tubes upon which the burners, keys, etc., are adjusted. -- Gas generator, an apparatus in which gas is evolved; as: (a) a retort in which volatile hydrocarbons are evolved by heat; (b) a machine in which air is saturated with the vapor of liquid hydrocarbon; a carburetor; (c) a machine for the production of carbonic acid gas, for aërating water, bread, etc. Knight. -- Gas jet, a flame of illuminating gas. -- Gas machine, an apparatus for carbureting air for use as illuminating gas. -- Gas meter, an instrument for recording the quantity of gas consumed in a given time, at a particular place. -- Gas retort, a retort which contains the coal and other materials, and in which the gas is generated, in the manufacture of gas. -- Gas stove, a stove for cooking or other purposes, heated by gas. -- Gas tar, coal tar. -- Gas trap, a drain trap; a sewer trap. See 4th Trap, 5. -- Gas washer (Gas Works), an apparatus within which gas from the condenser is brought in contact with a falling stream of water, to precipitate the tar remaining in it. Knight. -- Gas water, water through which gas has been passed for purification; -- called also gas liquor and ammoniacal water, and used for the manufacture of sal ammoniac, carbonate of ammonia, and Prussian blue. Tomlinson. -- Gas well, a deep boring, from which natural gas is discharged. Raymond. -- Gas works, a manufactory of gas, with all the machinery and appurtenances; a place where gas is generated for lighting cities. -- Laughing gas. See under Laughing. -- Marsh gas (Chem.), a light, combustible, gaseous hydrocarbon, CH4, produced artificially by the dry distillation of many organic substances, and occurring as a natural product of decomposition in stagnant pools, whence its name. It is an abundant ingredient of ordinary illuminating gas, and is the first member of the paraffin series. Called also methane, and in coal mines, fire damp. -- Natural gas, gas obtained from wells, etc., in Pennsylvania, Ohio, and elsewhere, and largely used for fuel and illuminating purposes. It is chiefly derived from the Coal Measures. -- Olefiant gas (Chem.). See Ethylene. -- Water gas (Chem.), a kind of gas made by forcing steam over glowing coals, whereby there results a mixture of hydrogen and carbon monoxide. This gives a gas of intense heating power, but destitute of light-giving properties, and which is charged by passing through some volatile hydrocarbon, as gasoline.synthesis gas
gas engine |A kind of internal-combustion engine (which see) using fixed gas; also, broadly, any internal-combustion engine.
gas-burner |The jet piece of a gas fixture where the gas is burned as it escapes from one or more minute orifices.
gasalier |A chandelier arranged to burn gas.
gascoines |See Gaskins, 1. Lyly.
gascon |Of or pertaining to Gascony, in France, or to the Gascons; also, braggart; swaggering. -- n.  A native of Gascony; a boaster; a bully. See Gasconade.
gasconade |A boast or boasting; a vaunt; a bravado; a bragging; braggodocio. Swift.\n\nTo boast; to brag; to bluster.
gasconader |A great boaster; a blusterer.
gascoynes |Gaskins. Beau & Fl.
gaseity |State of being gaseous. [R] Eng. Cyc.
gaselier |A chandelier arranged to burn gas.
gaseous |1. In the form, or of the nature, of gas, or of an aëriform fluid. 2. Lacking substance or solidity; tenuous. \"Unconnected, gaseous information.\" Sir J. Stephen.
gash |To make a gash, or long, deep incision in; -- applied chiefly to incisions in flesh. Grievously gashed or gored to death. Hayward.\n\nA deep and long cut; an incision of considerable length and depth, particularly in flesh.
gashful |Full of gashes; hideous; frightful. [Obs.] \"A gashful, horrid, ugly shape.\" Gayton.
gasification |The act or process of converting into gas.
gasiform |Having a form of gas; gaseous.
gasify |To convert into gas, or an aëriform fluid, as by the application of heat, or by chemical processes.\n\nTo become gas; to pass from a liquid to a gaseous state. Scientific American.
gasket |1. (Naut.)  A line or band used to lash a furled sail securely. Sea gaskets are common lines; harbor gaskets are plaited and decorated lines or bands. Called also casket. 2. (Mech.) (a) The plaited hemp used for packing a piston, as of the steam engine and its pumps. (b) Any ring or washer of packing.
gaskins |1. Loose hose or breeches; galligaskins. [Obs.] Shak. 2. Packing of hemp. Simmonds. 3. A horse's thighs. [Prov. Eng.] Wright.
gaslight |1. The light yielded by the combustion of illuminating gas. 2. A gas jet or burner.
gasogen |1. An apparatus for the generation of gases, or for impregnating a liquid with a gas, or a gas with a volatile liquid. 2. A volatile hydrocarbon, used as an illuminant, or for charging illuminating gas.
gasolene |See Gasoline.
gasolene engine |A kind of internal-combustion engine; -- in British countries called usually petrol engine.
gasolier |Same as Gasalier.
gasoline |A highly volatile mixture of fluid hydrocarbons, obtained from petroleum, as also by the distillation of bituminous coal. It is used in making air gas, and in giving illuminating power to water gas. See Carburetor.
gasoline engine |A kind of internal-combustion engine; -- in British countries called usually petrol engine.
gasometer |An apparatus for holding and measuring of gas; in gas works, a huge iron cylinder closed at one end and having the other end immersed in water, in which it is made to rise or fall, according to the volume of gas it contains, or the pressure required.
gasometric |Of or pertaining to the measurement of gases; as, gasometric analysis.
gasometrical |Of or pertaining to the measurement of gases; as, gasometric analysis.
gasometry |The art or practice of measuring gases; also, the science which treats of the nature and properties of these elastic fluids. Coxe.
gasoscope |An apparatus for detecting the presence of any dangerous gas, from a gas leak in a coal mine or a dwelling house.
gasp |1. To open the mouth wide in catching the breath, or in laborious respiration; to labor for breath; to respire convulsively; to pant violently. She gasps and struggles hard for life. Lloyd. 2. To pant with eagerness; to show vehement desire. Quenching the gasping furrows' thirst with rain. Spenser.\n\nTo emit or utter with gasps; -- with forth, out, away, etc. And with short sobs he gasps away his breath. Dryden.\n\nThe act of opening the mouth convulsively to catch the breath; a labored respiration; a painful catching of the breath. At the last gasp, at the point of death. Addison.
gaspereau |The alewife. [Local, Canada]
gasserian |Relating to Casserio (L. Gasserius), the discover of the Gasserian ganglion. Gasserian ganglion (Anat.), a large ganglion, at the root of the trigeminal, or fifth cranial, nerve.
gassing |1. (Manuf.)  The process of passing cotton goods between two rollers and exposing them to numerous minute jets of gas to burn off the small fibers; any similar process of singeing. 2. Boasting; insincere or empty talk. [Slang]
gassy |Full of gas; like gas. Hence: [Colloq.] Inflated; full of boastful or insincere talk.
gast |To make aghast; to frighten; to terrify. See Aghast. [Obs.] Chaucer. Shak.
gaster |To gast. [Obs.] Beau. & Fl.
gasteromycetes |An order of fungi, in which the spores are borne inside a sac called the peridium, as in the puffballs.
gasteropod |Same as Gastropod.
gasteropoda |Same as Gastropoda.
gasteropodous |Same as Gastropodous.
gastful |See Ghastful, Ghastly.
gastight |So tightly fitted as to preclude the escape of gas; impervious to gas.
gastly |See Ghastful, Ghastly.
gastness |See Ghastness. [Obs.]
gastornis |A genus of large eocene birds from the Paris basin.
