presageful |Full of presages; ominous. Dark in the glass of some presageful mood. Tennyson.
presence |1. The state of being present, or of being within sight or call, or at hand; -- opposed to absence. 2. The place in which one is present; the part of space within one's ken, call, influence, etc.; neighborhood without the intervention of anything that forbids intercourse. Wrath shell be no more Thenceforth, but in thy presence joy entire. Milton. 3. Specifically, neighborhood to the person of one of superior of exalted rank; also, presence chamber. In such a presence here to plead my thoughts. Shak. An't please your grace, the two great cardinals. Wait in the presence. Shak. 4. The whole of the personal qualities of an individual; person; personality; especially, the person of a superior, as a sovereign. The Sovran Presence thus replied. Milton. 5. An assembly, especially of person of rank or nobility; noble company. Odmar, of all this presence does contain, Give her your wreath whom you esteem most fair. Dryden. 6. Port, mien; air; personal appearence. \"Rather dignity of presence than beauty of aspect.\" Bacon. A graceful presence bespeaks acceptance. Collier. Presence chamber, or Presence room, the room in which a great personage receives company. Addison.\" Chambers of presence.\" Bacon. -- Presence of mind, that state of the mind in which all its faculties are alert, prompt, and acting harmoniously in obedience to the will, enabling one to reach, as it were spontaneously or by intuition, just conclusions in sudden emergencies.
presensation |Previous sensation, notion, or idea. [Obs.] Dr. H. More.
presension |Previous perception. [Obs.] Sir T. Browne.
present |1. Being at hand, within reach or call, within certain contemplated limits; -- opposed to absent. These things have I spoken unto you, being yet present with you. John xiv. 25. 2. Now existing, or in process; begun but not ended; now in view, or under consideration; being at this time; not past or future; as, the present session of Congress; the present state of affairs; the present instance. I'll bring thee to the present business Shak. 3. Not delayed; immediate; instant; coincident. \"A present recompense.\" \"A present pardon.\" Shak. An ambassador . . . desires a present audience. Massinger. 4. Ready; quick in emergency; as a present wit. [R.] 5. Favorably attentive; propitious. [Archaic] To find a god so present to my prayer. Dryden. Present tense (Gram.), the tense or form of a verb which expresses action or being in the present time; as, I am writing, I write, or I do write.\n\n1. Present time; the time being; time in progress now, or at the moment contemplated; as, at this present. Past and present, wound in one. Tennyson. 2. pl. (Law)  Present letters or instrument, as a deed of conveyance, a lease, letter of attorney, or other writing; as in the phrase, \" Know all men by these presents,\" that is, by the writing itself, \" per has literas praesentes; \" -- in this sense, rarely used in the singular. 3. (Gram.)  A present tense, or the form of the verb denoting the present tense. At present, at the present time; now. -- For the present, for the tine being; temporarily. -- In present, at once, without delay. [Obs.] \"With them, in present, half his kingdom; the rest to follow at his death.\" Milton.\n\n1. To bring or introduce into the presence of some one, especially of a superior; to introduce formally; to offer for acquaintance; as, to present an envoy to the king; (with the reciprocal pronoun) to come into the presence of a superior. Now there was a day when the sons of God came to present themselves before the lord. Job i. 6 2. To exhibit or offer to view or notice; to lay before one's perception or cognizance; to set forth; to present a fine appearance. Lectorides's memory is ever . . . presenting him with the thoughts of other persons. I. Watts. 3. To pass over, esp. in a ceremonious manner; to give in charge or possession; to deliver; to make over. So ladies in romance assist their knight, Present the spear, and arm him for the fight. Pope. 4. To make a gift of; to bestow; to give, generally in a formal or ceremonious manner; to grant; to confer. My last, least offering, I present thee now. Cowper. 5. Hence: To endow; to bestow a gift upon; to favor, as with a donation; also, to court by gifts. Octavia presented the poet for him admirable elegy on her son Marcellus. Dryden. 6. To present; to personate. [Obs.] Shak. 7. In specific uses; (a) To nominate to an ecclesiastical benefice; to offer to the bishop or ordinary as a candidate for institution. The patron of a church may present his clerk to a parsonage or vicarage; that is, may offer him to the bishop of the diocese to be instituted. Blackstone. (b) To nominate for support at a public school or other institution . Lamb. (c) To lay before a public body, or an official, for consideration, as before a legislature, a court of judicature, a corporation, etc.; as, to present a memorial, petition, remonstrance, or indictment. (d) To lay before a court as an object of inquiry; to give notice officially of, as a crime of offence; to find or represent judicially; as, a grand jury present certain offenses or nuisances, or whatever they think to be public injuries. (e) To bring an indictment against . [U.S] (f) To aim, point, or direct, as a weapon; as, to present a pistol or the point of a sword to the breast of another. Pesent arms (Mil.), the command in response to which the gun is carried perpendicularly in front of the center of the body, and held there with the left hand grasping it at the lower band, and the right hand grasping the small of the stock, in token of respect, as in saluting a superior officer; also, the position taken at such a command.\n\nTo appear at the mouth of the uterus so as to be perceptible to the finger in vaginal examination; -- said of a part of an infant during labor.\n\nAnything presented or given; a gift; a donative; as, a Christmas present. Syn. -- Gift; donation; donative; benefaction. See Gift.\n\nThe position of a soldier in presenting arms; as, to stand at present.
present value |The principal which, drawing interest at a given rate, will amount to the given sum at the date on which this is to be paid; thus, interest being at 6%, the present value of $106 due one year hence is $100.
present worth |The principal which, drawing interest at a given rate, will amount to the given sum at the date on which this is to be paid; thus, interest being at 6%, the present value of $106 due one year hence is $100.
presentable |1. Capable or admitting of being presented; suitable to be exhibited, represented, or offered; fit to be brought forward or set forth; hence, fitted to be introduced to another, or to go into society; as, ideas that are presentable in simple language; she is not presentable in such a gown. 2. Admitting of the presentation of a clergiman; as, a church presentable. [R.] Ayliffe.
presentaneous |Ready; quick; immediate in effect; as, presentaneous poison. [Obs.] Harvey.
presentation |1. The act of presenting, or the state of being presented; a setting forth; an offering; bestowal. Prayers are sometimes a presentation of mere desires. Hooker. 2. Hence,  exhibition; representation; display; appearance; semblance; show. Under the presentation of the shoots his wit. Shak. 3. That which is presented or given; a present; a gift, as, the picture was a presentation. [R.] 4. (Eccl.)  The act of offering a clergyman to the bishop or ordinary for institution in a benefice; the right of presenting a clergyman. If the bishop admits the patron's presentation, the clerk so admitted is next to be instituted by him. Blackstone. 5. (Med.)  The particular position of the child during labor relatively to the passage though which it is to be brought forth; -- specifically designated by the part which first appears at the mouth of the uterus; as, a breech presentation. Presentation copy, a copy of a book, engraving, etc., presented to some one by the author or artist, as a token of regard.
presentative |1. (Eccl.)  Having the right of presentation, or offering a clergyman to the bishop for institution; as, advowsons are presentative, collative, or donative. Blackstone. 2. Admitting the presentation of a clergyman; as, a presentative parsonage. Spelman. 3. (Metaph.)  Capable of being directly known by, or presented to, the mind; intuitive; directly apprehensible, as objects; capable of apprehending, as faculties. The latter term, presentative faculty, I use . . . in contrast and correlation to a \"representative faculty.\" Sir W. Hamilton.
presentee |One to whom something is presented; also, one who is presented; specifically (Eccl.), one presented to benefice. Ayliffe.
presenter |One who presents.
presential |Implying actual presence; present, immediate. [Obs.] God's mercy is made presential to us. Jer. Taylor. -- Pre*sen\"tial*ly, adv. [Obs.]
presentiality |State of being actually present. [Obs.] South.
presentiate |To make present. [Obs.]
presentient |Feeling or perceiving beforehand.
presentific |Making present. [Obs.] -- Pres`en*tif\"ic*ly, adv. [Obs.] Dr. H. More.
presentifical |Presentific. [Obs.]
presentiment |Previous sentiment, conception, or opinion; previous apprehension; especially, an antecedent impression or conviction of something unpleasant, distressing, or calamitous, about to happen; anticipation of evil; foreboding.
presentimental |Of nature of a presentiment; foreboding. [R.] Coleridge.
presention |See Presension. [Obs.]
presentive |Bringing a conception or notion directly before the mind; presenting an object to the memory of imagination; -- distinguished from symbolic. How greatly the word \"will\" is felt to have lost presentive power in the last three centuries. Earle. -- Pre*sent\"ive*ly, adv. -- Pre*sent\"ive*ness, n.
presently |1. At present; at this time; now. [Obs.] The towns and forts you presently have. Sir P. Sidney. 2. At once; without delay; forthwith; also, less definitely, soon; shortly; before long; after a little while; by and by. Shak. And presently the fig tree withered away. Matt. xxi. 19. 3. With actual presence; actually . [Obs.] His precious body and blood presently three. Bp. Gardiner.
presentment |1. The act of presenting, or the state of being presented; presentation. \" Upon the heels of my presentment.\" Shak. 2. Setting forth to view; delineation; appearance; representation; exhibition. Power to cheat the eye with blear illusion, And give it false presentment. Milton. 3. (Law) (a) The notice taken by a grand jury of any offence from their own knowledge or observation, without any bill of indictment laid before them, as, the presentment of a nuisance, a libel, or the like; also, an inquisition of office and indictment by a grand jury; an official accusation presented to a tribunal by the grand jury in an indictment, or the act of offering an indictment; also, the indictment itself. (b) The official notice (formerly required to be given in court) of the surrender of a copyhold estate. Blackstone. Presentment of a bill of exchange, the offering of a bill to the drawee for acceptance, or to the acceptor for payment. See Bill of exchange, under Bill. Mozley & W.
presentness |The quality or state of being present; presence. [Obs.] \"Presentness of mind in danger.\" Clarendon.
presentoir |An ornamental tray, dish, or the like, used as a salver.
preservable |Capable of being preserved; admitting of preservation.
preservation |The act or process of preserving, or keeping safe; the state of being preserved, or kept from injury, destruction, or decay; security; safety; as, preservation of life, fruit, game, etc.; a picture in good preservation. Give us particulars of thy preservation. Shak.
preservative |Having the power or quality of preserving; tending to preserve, or to keep from injury, decay, etc.\n\nThat which preserves, or has the power of preserving; a presevative agent. To wear tablets as preservatives against the plague. Bacon.
preservatory |Preservative. Bp. Hall.\n\n1. A preservative. [Obs.] Whitlock. 2. A room, or apparatus, in which perishable things, as fruit, vegetables, etc., can be preserved without decay.
preserve |1. To keep or save from injury or destruction; to guard or defend from evil, harm, danger, etc.; to protect. O Lord, thou preserved man and beast. Ps. xxxvi. 6. Now, good angels preserve the king. Shak. 2. To save from decay by the use of some preservative substance, as sugar, salt, etc.; to season and prepare for remaining in a good state, as fruits, meat, etc.; as, to preserve peaches or grapes. You can not preserve it from tainting. Shak. 3. To maintain throughout; to keep intact; as, to preserve appearances; to preserve silence. To preserve game, to protect it from extermination. Syn. -- To keep; save; secure; uphold; sustain; defend; spare; protect; guard; shield. See Keep.\n\n1. To make preserves. Shak. 2. To protect game for purposes of sport.\n\n1. That which is preserved; fruit, etc., seasoned and kept by suitable preparation; esp., fruit cooked with sugar; -- commonly in the plural. 2. A place in which game, fish, etc., are preserved for purposes of sport, or for food.
preserver |1. One who, or that which, preserves, saves, or defends, from destruction, injury, or decay; esp., one who saves the life or character of another. Shak. 2. One who makes preserves of fruit. Game preserver. See under Game.
preshow |To foreshow.
preside |1. To be set, or to sit, in the place of authority; to occupy the place of president, chairman, moderator, director, etc.; to direct, control, and regulate, as chief officer; as, to preside at a public meeting; to preside over the senate. 2. To exercise superintendence; to watch over. Some o'er the public magazines preside. Dryden.
presidence |See Presidency. [Obs.]
presidency |1. The function or condition of one who presides; superintendence; control and care. 2. The office of president; as, Washington was elected to the presidency. 3. The term during which a president holds his office; as, during the presidency of Madison. 4. One of the three great divisions of British India, the Bengal, Madras, and Bombay Presidencies, each of which had a council of which its governor was president.
president |Precedent. [Obs.] Bacon.\n\nOccupying the first rank or chief place; having the highest authority; presiding. [R.] His angels president In every province. Milton.\n\n1. One who is elected or appointed to preside; a presiding officer, as of a legislative body. Specifically: (a) The chief officer of a corporation, company, institution, society, or the like. (b) The chief executive officer of the government in certain republics; as, the president of the United States. 2. A protector; a guardian; a presiding genius. [Obs.] Just Apollo, president of verse. Waller.
presidential |1. Presiding or watching over. \"Presidential angels.\" Glanvill. 2. Of or pertaining to a president; as, the presidential chair; a presidential election.
presidentship |The office and dignity of president; presidency. Hooker.
presider |One who presides.
presidial |Of or pertaining to a garrison; having a garrison. There are three presidial castles in this city. Howell.
presidiary |Of or pertaining to a garrison; having a garrison. There are three presidial castles in this city. Howell.\n\nA guard. [Obs.] \"Heavenly presidiaries.\" Bp. Hall.
presiding |a. & n. from Preside. Presiding elder. See under 2d Elder.
presidio |A place of defense; a fortress; a garrison; a fortress; a garrison or guardhouse.
presignification |The act of signifying or showing beforehand.
presignify |To intimate or signify beforehand; to presage.
presphenoid |Situated in front of the sphenoid bone; of or pertaining to the anterior part of the sphenoid bone (i. e., the presphenoid bone). Presphenoid bone (Anat.), the anterior part of the body of the sphenoid bone in front of the basisphenoid. It is usually a separate bone in the young or fetus, but becomes a part of the sphenoid in the adult.\n\nThe presphenoid bone.
presphenoidal |Of or pertaining to the presphenoid bone; presphenoid.
prespinal |Prevertebral.
press |An East Indian insectivore (Tupaia ferruginea). It is arboreal in its habits, and has a bushy tail. The fur is soft, and varies from rusty red to maroon and to brownish black.\n\nTo force into service, particularly into naval service; to impress. To peaceful peasant to the wars is pressed. Dryden.\n\nA commission to force men into public service, particularly into the navy. I have misused the king's press. Shak. Press gang, or Pressgang, a detachment of seamen under the command of an officer empowered to force men into the naval service. See Impress gang, under Impress. -- Press money, money paid to a man enlisted into public service. See Prest money, under Prest, a.\n\n1. To urge, or act upon, with force, as weight; to act upon by pushing or thrusting, in distinction from pulling; to crowd or compel by a gradual and continued exertion; to bear upon; to squeeze; to compress; as, we press the ground with the feet when we walk; we press the couch on which we repose; we press substances with the hands, fingers, or arms; we are pressed in a crowd. Good measure, pressed down, and shaken together. Luke vi. 38. 2. To squeeze, in order to extract the juice or contents of; to squeeze out, or express, from something. From sweet kernels pressed, She tempers dulcet creams. Milton. And I took the grapes, and pressed them into Pharaoh's cup, and I gave the cup into Pharaoh's hand. Gen. xl. 11. 3. To squeeze in or with suitable instruments or apparatus, in order to compact, make dense, or smooth; as, to press cotton bales, paper, etc.; to smooth by ironing; as, to press clothes. 4. To embrace closely; to hug. Leucothoe shook at these alarms, And pressed Palemon closer in her arms. Pope. 5. To oppress; to bear hard upon. Press not a falling man too far. Shak. 6. To straiten; to distress; as, to be pressed with want or hunger. 7. To exercise very powerful or irresistible influence upon or over; to constrain; to force; to compel. Paul was pressed in the spirit, and testified to the Jews that Jesus was Christ. Acts xviii. 5. 8. To try to force (something upon some one); to urge or inculcate with earnestness or importunity; to enforce; as, to press divine truth on an audience. He pressed a letter upon me within this hour. Dryden. Be sure to press upon him every motive. Addison. 9. To drive with violence; to hurry; to urge on; to ply hard; as, to press a horse in a race. The posts . . . went cut, being hastened and pressed on, by the king's commandment. Esther viii. 14. Note: Press differs from drive and strike in usually denoting a slow or continued application of force; whereas drive and strike denote a sudden impulse of force. Pressed brick. See under Brick.\n\n1. To exert pressure; to bear heavily; to push, crowd, or urge with steady force. 2. To move on with urging and crowding; to make one's way with violence or effort; to bear onward forcibly; to crowd; to throng; to encroach. They pressed upon him for to touch him. Mark iii. 10. 3. To urge with vehemence or importunity; to exert a strong or compelling influence; as, an argument presses upon the judgment.\n\n1. An apparatus or machine by which any substance or body is pressed, squeezed, stamped, or shaped, or by which an impression of a body is taken; sometimes, the place or building containing a press or presses. Note: Presses are differently constructed for various purposes in the arts, their specific uses being commonly designated; as, a cotton press, a wine press, a cider press, a copying press, etc. See Drill press. 2. Specifically, a printing press. 3. The art or business of printing and publishing; hence, printed publications, taken collectively, more especially newspapers or the persons employed in writing for them; as, a free press is a blessing, a licentious press is a curse. 4. An upright case or closet for the safe keeping of articles; as, a clothes press. Shak. 5. The act of pressing or thronging forward. In their throng and press to that last hold. Shak. 6. Urgent demands of business or affairs; urgency; as, a press of engagements. 7. A multitude of individuals crowded together; They could not come nigh unto him for the press. Mark ii. 4. Cylinder press, a printing press in which the impression is produced by a revolving cylinder under which the form passes; also, one in which the form of type or plates is curved around a cylinder, instead of resting on a flat bed. Hydrostatic press. See under Hydrostatic. -- Liberty of the press, the free right of publishing books, pamphlets, or papers, without previous restraint or censorship, subject only to punishment for libelous, seditious, or morally pernicious matters. -- Press bed, a bed that may be folded, and inclosed, in a press or closet. Boswell. -- Press of sail, (Naut.), as much sail as the state of the wind will permit.
press cake |A cake of compressed substance, as: in gunpowder manufacture, the cake resulting from compressing the meal powder; in the treatment of coal tar, the pressed product at various stages of the process; or, in beet-sugar manufacture, the vegetable residue after the sugar juice has been expressed.
press proof |(a) The last proof for correction before sending to press. (b) A proof taken on a press, esp. to show impression, margins, color, etc.
press revise |A proof for final revision.
pressboard |A kind of highly sized rag paper or board, sometimes containing a small admixture of wood pulp; -- so called because used originally, as now, in presses for pressing and finishing knit underwear.
presser |One who, or that which, presses. Presser bar, or Presser wheel (Knitting machine), a bar or wheel which closes the barbs of the needles to enable the loops of the yarn to pass over them. -- Presser foot, the part of a sewing machine which rests on the cloth and presses it down upon the table of the machine.
pressgang |See Press gang, under Press.
pressing |Urgent; exacting; importunate; as, a pressing necessity. -- Press\"ing*ly, adv.
pression |1. The act of pressing; pressure. Sir I. Newton. 2. (Cartesian Philos.)  An endeavor to move.
pressiroster |One of a tribe of wading birds (Pressirostres) including those which have a compressed beak, as the plovers.
pressirostral |Of or pertaining to the pressirosters.
pressitant |Gravitating; heavy. [Obs.] Dr. H. More.
pressive |Pressing; urgent; also, oppressive; as, pressive taxation. [R.] Bp. Hall.
pressly |Closely; concisely. [Obs.]
pressman |1. One who manages, or attends to, a press, esp. a printing press. 2. One who presses clothes; as, a tailor's pressman.\n\nOne of a press gang, who aids in forcing men into the naval service; also, one forced into the service.
pressor |Causing, or giving rise to, pressure or to an increase of pressure; as, pressor nerve fibers, stimulation of which excites the vasomotor center, thus causing a stronger contraction of the arteries and consequently an increase of the arterial blood pressure; -- opposed to depressor. Landois & Stirling.
presspack |To pack, or prepare for packing, by means of a press.
pressurage |1. Pressure. 2. The juice of the grape extracted by the press; also, a fee paid for the use of a wine press.
pressure |1. The act of pressing, or the condition of being pressed; compression; a squeezing; a crushing; as, a pressure of the hand. 2. A contrasting force or impulse of any kind; as, the pressure of poverty; the pressure of taxes; the pressure of motives on the mind; the pressure of civilization. Where the pressure of danger was not felt. Macaulay. 3. Affliction; distress; grievance. My people's pressures are grievous. Eikon Basilike. In the midst of his great troubles and pressures. Atterbury. 4. Urgency; as, the pressure of business. 5. Impression; stamp; character impressed. All saws of books, all forms, all pressures past. Shak. 6. (Mech.)  The action of a force against some obstacle or opposing force; a force in the nature of a thrust, distributed over a surface, often estimated with reference to the upon a unit's area. Atmospheric pressure, Center of pressure, etc. See under Atmospheric, Center, etc. -- Back pressure (Steam engine), pressure which resists the motion of the piston, as the pressure of exhaust steam which does not find free outlet. -- Fluid pressure, pressure like that exerted by a fluid. It is a thrust which is normal and equally intense in all directions around a point. Rankine. -- Pressure gauge, a gauge for indicating fluid pressure; a manometer.
pressure wires |Wires leading from various points of an electric system to a central station, where a voltmeter indicates the potential of the system at those points.
presswork |The art of printing from the surface of type, plates, or engravings in relief, by means of a press; the work so done. MacKellar.
prest |imp. & p. p. of Press.\n\n1. Ready; prompt; prepared. [Obs.] All prest to such battle he was. R. of Gloucester. 2. Neat; tidy; proper. [Obs.] Tusser. Prest money, money formerly paid to men when they enlisted into the British service; -- so called because it bound those that received it to be ready for service when called upon.\n\n1. Ready money; a loan of money. [Obs.] Requiring of the city a prest of six thousand marks. Bacon. 2. (Law)  A duty in money formerly paid by the sheriff on his account in the exchequer, or for money left or remaining in his hands. Cowell.\n\nTo give as a loan; to lend. [Obs.] Sums of money . . . prested out in loan. E. Hall.
prestable |Payable. [Scot.]
prestation |A payment of money; a toll or duty; also, the rendering of a service. Burrill. Prestation money, a sum of money paid yearly by archdeacons and other dignitaries to their bishop.
prester |1. A meteor or exhalation formerly supposed to be thrown from the clouds with such violence that by collision it is set on fire. [Obs.] 2. pl.  One of the veins of the neck when swollen with anger or other excitement. [Obs.]\n\nA priest or presbyter; as, Prester John. [Obs.]
presternum |The anterior segment of the sternum; the manubrium. -- Pre*ster\"nal, a.
prestidigital |Nimble-fingered; having fingers fit for prestidigitation, or juggling. [R.] \"His prestidigital hand.\" Charles Reade.
prestidigitation |Legerdemain; sleight of hand; juggling.
prestidigitator |One skilled in legerdemain or sleight of hand; a juggler.
prestige |1. Delusion; illusion; trick. [Obs.] The sophisms of infidelity, and the prestiges of imposture. Bp. Warburton. 2. Weight or influence derived from past success; expectation of future achievements founded on those already accomplished; force or charm derived from acknowledged character or reputation. \"The prestige of his name must go for something.\" Sir G. C. Lewis.
prestigiation |Legerdemain; prestidigitation. [Obs.]
prestigiator |A juggler; prestidigitator. [Obs.] Dr. H. More.
prestigiatory |Consisting of impostures; juggling. [Obs.] Barrow.
prestigious |Practicing tricks; juggling. [Obs.] Cotton Mather.
prestimony |A fund for the support of a priest, without the title of a benefice. The patron in the collator.
prestissimo |Very quickly; with great rapidity.
presto |1. Quickly; immediately; in haste; suddenly. Presto! begone! 'tis here again. Swift. 2. (Mus.)  Quickly; rapidly; -- a direction for a quick, lively movement or performance; quicker than allegro, or any rate of time except prestissimo.
prestriction |Obstruction, dimness, or defect of sight. [Obs.] Milton.
presultor |A leader in the dance. [R.]
presumable |Such as may be presumed or supposed to be true; that seems entitled to belief without direct evidence.
presumably |In a presumable manner; by, or according to, presumption.
presume |1. To assume or take beforehand; esp., to do or undertake without leave or authority previously obtained. Dare he presume to scorn us in this manner Shak. Bold deed thou hast presumed, adventurous Eve. Milton. 2. To take or suppose to be true, or entitled to belief, without examination or proof, or on the strength of probability; to take for granted; to infer; to suppose. Every man is to be presumed innocent till he is proved to be guilty. Blackstone. What rests but that the mortal sentence pass, . . . Which he presumes already vain and void, Because not yet inflicted Milton.\n\n1. To suppose or assume something to be, or to be true, on grounds deemed valid, though not amounting to proof; to believe by anticipation; to infer; as, we may presume too far. 2. To venture, go, or act, by an assumption of leave or authority not granted; to go beyond what is warranted by the circumstances of the case; to venture beyond license; to take liberties; -- often with on or upon before the ground of confidence. Do not presume too much upon my love. Shak. This man presumes upon his parts. Locke.
presumedly |By presumption.
presumer |One who presumes; also, an arrogant person. Sir H. Wotton.
presumingly |Confidently; arrogantly.
presumption |1. The act of presuming, or believing upon probable evidence; the act of assuming or taking for granted; belief upon incomplete proof. 2. Ground for presuming; evidence probable, but not conclusive; strong probability; reasonable supposition; as, the presumption is that an event has taken place. 3. That which is presumed or assumed; that which is supposed or believed to be real or true, on evidence that is probable but not conclusive. \"In contradiction to these very plausible presumptions.\" De Quincey. 4. The act of venturing beyond due beyond due bounds; an overstepping of the bounds of reverence, respect, or courtesy; forward, overconfident, or arrogant opinion or conduct; presumptuousness; arrogance; effrontery. Thy son I killed for his presumption. Shak. I had the presumption to dedicate to you a very unfinished piece. Dryden. Conclusive presumption. See under Conclusive. -- Presumption of fact (Law), an argument of a fact from a fact; an inference as to the existence of one fact not certainly known, from the existence of some other fact known or proved, founded on a previous experience of their connection; supposition of the truth or real existence of something, without direct or positive proof of the fact, but grounded on circumstantial or probable evidence which entitles it to belief. Burrill. Best. Wharton. -- Presumption of law (Law), a postulate applied in advance to all cases of a particular class; e. g., the presumption of innocence and of regularity of records. Such a presumption is rebuttable or irrebuttable.
presumptive |1. Based on presumption or probability; grounded on probable evidence; probable; as, presumptive proof. 2. Presumptuous; arrogant. [R.] Sir T. Browne. Presumptive evidence (Law), that which is derived from circumstances which necessarily or usually attend a fact, as distinct from direct evidence or positive proof; indirect or circumstantial evidence. \"Presumptive evidence of felony should be cautiously admitted.\" Blackstone. The distinction, however, between direct and presumptive (or circumstantial) evidence is now generally abandoned; all evidence being now more or less direct and more or less presumptive. -- Presumptive heir. See Heir presumptive, under Heir.
presumptively |By presumption, or supposition grounded or probability; presumably.
presumptuous |1. Full of presumption; presuming; overconfident or venturesome; audacious; rash; taking liberties unduly; arrogant; insolent; as, a presumptuous commander; presumptuous conduct. A class of presumptuous men, whom age has not made cautious, nor adversity wise. Buckminster. 2. Founded on presumption; as, a presumptuous idea. \"False, presumptuous hope.\" Milton. 3. Done with hold design, rash confidence, or in violation of known duty; willful. \"Keep back the servant also from presumptuous sins.\" Ps. xix. 13. Syn. -- Overconfident; foolhardy; rash; presuming; forward; arrogant; insolent.
presumptuously |In a presumptuous manner; arrogantly.
presumptuousness |The quality or state of being presumptuous.
