brigose |Contentious; quarrelsome. [Obs.] Puller.
bring |1. To convey to the place where the speaker is or is to be; to bear from a more distant to a nearer place; to fetch. And as she was going to fetch it, he called to her, and said, Bring me, I pray thee, a morsel of bread. 1 Kings xvii. 11. To France shall we convey you safe, And bring you back. Shak. 2. To cause the accession or obtaining of; to procure; to make to come; to produce; to draw to. There is nothing will bring you more honor . . . than to do what right in justice you may. Bacon. 3. To convey; to move; to carry or conduct. In distillation, the water . . . brings over with it some part of the oil of vitriol. Sir I. Newton. 4. To persuade; to induce; to draw; to lead; to guide. It seems so preposterous a thing . . . that they do not easily bring themselves to it. Locke. The nature of the things . . . would not suffer him to think otherwise, how, or whensoever, he is brought to reflect on them. Locke. 5. To produce in exchange; to sell for; to fetch; as, what does coal bring per ton To bring about, to bring to pass; to effect; to accomplish. -- To bring back. (a) To recall. (b) To restore, as something borrowed, to its owner. -- To bring by the lee (Naut.), to incline so rapidly to leeward of the course, when a ship sails large, as to bring the lee side suddenly to the windward, any by laying the sails aback, expose her to danger of upsetting. -- To bring down. (a) To cause to come down. (b) To humble or abase; as, to bring down high looks. -- To bring down the house, to cause tremendous applause. [Colloq.] -- To bring forth. (a) To produce, as young fruit. (b) To bring to light; to make manifest. -- To bring forward (a) To exhibit; to introduce; to produce to view. (b) To hasten; to promote; to forward. (c) To propose; to adduce; as, to bring forward arguments. -- To bring home. (a) To bring to one's house. (b) To prove conclusively; as, to bring home a charge of treason. (c) To cause one to feel or appreciate by personal experience. (d) (Naut.) To lift of its place, as an anchor. -- To bring in. (a) To fetch from without; to import. (b) To introduce, as a bill in a deliberative assembly. (c) To return or repot to, or lay before, a court or other body; to render; as, to bring in a verdict or a report. (d) To take to an appointed place of deposit or collection; as, to bring in provisions or money for a specified object. (e) To produce, as income. (f) To induce to join. -- To bring off, to bear or convey away; to clear from condemnation; to cause to escape. -- To bring on. (a) To cause to begin. (b) To originate or cause to exist; as, to bring on a disease. -- To bring one on one's way, to accompany, guide, or attend one. -- To bring out, to expose; to detect; to bring to light from concealment. -- To bring over. (a) To fetch or bear across. (b) To convert by persuasion or other means; to cause to change sides or an opinion. -- To bring to. (a) To resuscitate; to bring back to consciousness or life, as a fainting person. (b) (Naut.) To check the course of, as of a ship, by dropping the anchor, or by counterbracing the sails so as to keep her nearly stationary (she is then said to lie to). (c) To cause (a vessel) to lie to, as by firing across her course. (d) To apply a rope to the capstan. -- To bring to light, to disclose; to discover; to make clear; to reveal. -- To bring a sail to (Naut.), to bend it to the yard. -- To bring to pass, to accomplish to effect. \"Trust also in Him; and He shall bring it to pass.\" Ps. xxxvii. 5. -- To bring under, to subdue; to restrain; to reduce to obedience. -- To bring up. (a) To carry upward; to nurse; to rear; to educate. (b) To cause to stop suddenly. (c) Note: [v. i. by dropping the reflexive pronoun] To stop suddenly; to come to a standstill. [Colloq.] -- To bring up (any one) with a round turn, to cause (any one) to stop abruptly. [Colloq.] -- To be brought to bed. See under Bed. Syn. -- To fetch; bear; carry; convey; transport; import; procure; produce; cause; adduce; induce.
bringer |One who brings. Yet the first bringer of unwelcome news Hath but a losing office. Shak. Bringer in, one who, or that which, introduces.
brininess |The state or quality of being briny; saltness; brinishness.
brinish |Like brine; somewhat salt; saltish. \"Brinish tears.\" Shak.
brinishness |State or quality of being brinish.
brinjaree |A rough-haired East Indian variety of the greyhound.
brink |The edge, margin, or border of a steep place, as of a precipice; a bank or edge, as of a river or pit; a verge; a border; as, the brink of a chasm. Also Fig. \"The brink of vice.\" Bp. Porteus. \"The brink of ruin.\" Burke. The plashy brink of weedy lake. Bryant.
briny |Of or pertaining to brine, or to the sea; partaking of the nature of brine; salt; as, a briny taste; the briny flood.
brioche |1. A light cake made with flour, butter, yeast, and eggs. 2.  A knitted foot cushion.
briolette |An oval or pearshaped diamond having its entire surface cut in triangular facets.
briony |See Bryony. Tennyson.
briquette |1. A block of compacted coal dust, or peat, etc., for fuel. 2.  A block of artificial stone in the form of a brick, used for paving; also, a molded sample of solidified cement or mortar for use as a test piece for showing the strength of the material.
brisk |1. Full of liveliness and activity; characterized by quickness of motion or action; lively; spirited; quick. Cheerily, boys; be brick awhile. Shak. Brick toil alternating with ready ease. Wordworth. 2. Full of spirit of life; effervescas, brick cider. Syn. -- Active; lively; agile; alert; nimble; quick; sprightly; vivacious; gay; spirited; animated.\n\nTo make or become lively; to enliven; to animate; to take, or cause to take, an erect or bold attitude; -- usually with up.
brisket |That part of the breast of an animal which extends from the fore legs back beneath the ribs; also applied to the fore part of a horse, from the shoulders to the bottom of the chest. Note: [See Illust. of Beef.]
briskly |In a brisk manner; nimbly.
briskness |Liveliness; vigor in action; quickness; gayety; vivacity; effervescence.
bristle |1. A short, stiff, coarse hair, as on the back of swine. 2. (Bot.)  A stiff, sharp, roundish hair. Gray.\n\n1. To erect the bristles of; to cause to stand up, as the bristles of an angry hog; -- sometimes with up. Now for the bare-picked bone of majesty Doth dogged war bristle his angry crest. Shak. Boy, bristle thy courage up. Shak. 2. To fix a bristle to; as, to bristle a thread.\n\n1. To rise or stand erect, like bristles. His hair did bristle upon his head. Sir W. Scott. 2. To appear as if covered with bristles; to have standing, thick and erect, like bristles. The hill of La Haye Sainte bristling with ten thousand bayonets. Thackeray. Ports bristling with thousands of masts. Macaulay. 3. To show deflance or indignation. To bristle up, to show anger or deflance.
bristle-pointed |Terminating in a very fine, sharp point, as some leaves.
bristle-shaped |Resembling a bristle in form; as, a bristle-shaped leaf.
bristletail |An insect of the genera Lepisma, Campodea, etc., belonging to the Thysanura.
bristliness |The quality or state of having bristles.
bristly |THick set with bristles, or with hairs resembling bristles; rough. The leaves of the black mulberry are somewhat bristly. Bacon.
bristol |A seaport city in the west of England. Bristol board, a kind of fine pasteboard, made with a smooth but usually unglazed surface. -- Bristol brick, a brick of siliceous matter used for polishing cultery; -- originally manufactured at Bristol. -- Bristol stone, rock crystal, or brilliant crystals of quartz, found in the mountain limestone near Bristol, and used in making ornaments, vases, etc. When polished, it is called Bristol diamond.
brisure |1. (Fort.)  Any part of a rampart or parapet which deviates from the general direction. 2. (Her.)  A mark of cadency or difference.
brit |(a) The young of the common herring; also, a small species of herring; the sprat. (b) The minute marine animals (chiefly Entomostraca) upon which the right whales feed.
britannia |A white-metal alloy of tin, antimony, bismuth, copper, etc. It somewhat resembles silver, and isused for table ware. Called also Britannia metal.
britannic |Of or pertaining to Great Britain; British; as, her Britannic Majesty.
brite |To be or become overripe, as wheat, barley, or hops. [Prov. Eng.]
briticism |A word, phrase, or idiom peculiar to Great Britain; any manner of using a word or words that is peculiar to Great Britain.
british |Of or pertaining to Great Britain or to its inhabitants; -- sometimes restrict to the original inhabitants. British gum, a brownish substance, very soluble in cold water, formed by heating dry starch at a temperature of about 600° Fahr. It corresponds, in its properties, to dextrin, and is used, in solution, as a substitute for gum in stiffering goods. -- British lion, the national emblem of Great Britain. -- British seas, the four seas which surround Great Britain.\n\nPeople of Great Britain.
britisher |An Englishman; a subject or inhabitant of Great Britain, esp. one in the British military or naval service. [Now used jocosely]
briton |British. [Obs.] Spenser. -- n.  A native of Great Britain.
britt |(a) The young of the common herring; also, a small species of herring; the sprat. (b) The minute marine animals (chiefly Entomostraca) upon which the right whales feed.
brittle |Easily broken; apt to break; fragile; not tough or tenacious. Farewell, thou pretty, brittle piece Of fine-cut crystal. Cotton. Brittle silver ore, the mineral stephanite.
brittle star |Any species of ophiuran starfishes. See Ophiuroidea.
brittlely |In a brittle manner. Sherwood.
brittleness |Aptness to break; fragility.
britzska |A long carriage, with a calash top, so constructed as to give space for reclining at night, when used on a journey.
brize |The breeze fly. See Breeze. Shak.
broach |1. A spit. [Obs.] He turned a broach that had worn a crown. Bacon. 2. An awl; a bodkin; also, a wooden rod or pin, sharpened at each end, used by thatchers. [Prov. Eng.] Forby. 3. (Mech.) (a) A tool of steel, generally tapering, and of a polygonal form, with from four to eight cutting edges, for smoothing or enlarging holes in metal; sometimes made smooth or without edges, as for burnishing pivot holes in watches; a reamer. The broach for gun barrels is commonly square and without taper. (b) A straight tool with file teeth, made of steel, to be pressed through irregular holes in metal that cannot be dressed by revolving tools; a drift. 4. (Masonry)  A broad chisel for stonecutting. 5. (Arch.)  A spire rising from a tower. [Local, Eng.] 6. A clasp for fastening a garment. See Brooch. 7. A spitlike start, on the head of a young stag. 8. The stick from which candle wicks are suspended for dipping. Knight. 9. The pin in a lock which enters the barrel of the key.\n\n1. To spit; to pierce as with a spit. I'll broach the tadpole on my rapier's point. Shak. 2. To tap; to pierce, as a cask, in order to draw the liquor. Hence: To let out; to shed, as blood. Whereat with blade, with bloody blameful blade, He bravely broached his boiling bloody breast. Shak. 3. To open for the first time, as stores. You shall want neither weapons, victuals, nor aid; I will open the old armories, I will broach my store, and will bring forth my stores. Knolles. 4. To make public; to utter; to publish first; to put forth; to introduce as a topic of conversation. Those very opinions themselves had broached. Swift. 5. To cause to begin or break out. [Obs.] Shak. 6. (Masonry)  To shape roughly, as a block of stone, by chiseling with a coarse tool. [Scot. & North of Eng.] 7. To enlarge or dress (a hole), by using a broach. To broach to (Naut.), to incline suddenly to windward, so as to lay the sails aback, and expose the vessel to the danger of oversetting.
broacher |1. A spit; a broach. On five sharp broachers ranked, the roast they turned. Dryden. 2. One who broaches, opens, or utters; a first publisher or promoter. Some such broacher of heresy. Atterbury.
broad |1. Wide; extend in breadth, or from side to side; -- opposed to narrow; as, a broad street, a broad table; an inch broad. 2. Extending far and wide; extensive; vast; as, the broad expanse of ocean. 3. Extended, in the sense of diffused; open; clear; full. \"Broad and open day.\" Bp. Porteus. 4. Fig.: Having a large measure of any thing or quality; not limited; not restrained; -- applied to any subject, and retaining the literal idea more or less clearly, the precise meaning depending largely on the substantive. A broad mixture of falsehood. Locke. Note: Hence: - 5. Comprehensive; liberal; enlarged. The words in the Constitution are broad enough to include the case. D. Daggett. In a broad, statesmanlike, and masterly way. E. Everett. 6. Plain; evident; as, a broad hint. 7. Free; unrestrained; unconfined. As broad and general as the casing air. Shak. 8. (Fine Arts)  Characterized by breadth. See Breadth. 9. Cross; coarse; indelicate; as, a broad compliment; a broad joke; broad humor. 10. Strongly marked; as, a broad Scotch accent. Note: Broad is often used in compounds to signify wide, large, etc.; as, broad-chested, broad-shouldered, broad-spreading, broad-winged. Broad acres. See under Acre. -- Broad arrow, originally a pheon. See Pheon, and Broad arrow under Arrow. -- As broad as long, having the length equal to the breadth; hence, the same one way as another; coming to the same result by different ways or processes. It is as broad as long, whether they rise to others, or bring others down to them. L'Estrange. Broad pennant. See under Pennant. Syn. -- Wide; large; ample; expanded; spacious; roomy; extensive; vast; comprehensive; liberal.\n\n1. The broad part of anything; as, the broad of an oar. 2. The spread of a river into a sheet of water; a flooded fen. [Local, Eng.] Southey. 3. A lathe tool for turning down the insides and bottoms of cylinders. Knight.
broad church |A portion of the Church of England, consisting of persons who claim to hold a position, in respect to doctrine and fellowship, intermediate between the High Church party and the Low Church, or evangelical, party. The term has been applied to otherbodies of men holding liberal or comprehensive views of Christian doctrine and fellowship. Side by side with these various shades of High and Low Church, another party of a different character has always existed in the Church of England. It is called by different names: Moderate, Catholic, or Broad Church, by its friends; Latitudinarian or Indifferent, by its enemies. Its distinctive character is the desire of comprehension. Its watch words are charity and toleration. Conybeare.
broad gauge |A wider distance between the rails than the \"standard\" gauge of four feet eight inches and a half. See Gauge.
broad seal |The great seal of England; the public seal of a country or state.
broad-brimmed |Having a broad brim. A broad-brimmed flat silver plate. Tatler.
broad-horned |Having horns spreading widely.
broad-leafed |Having broad, or relatively broad, leaves. Keats.
broad-leaved |Having broad, or relatively broad, leaves. Keats.
broadax |1. An ancient military weapon; a battle-ax. 2. An ax with a broad edge, for hewing timber.
broadaxe |1. An ancient military weapon; a battle-ax. 2. An ax with a broad edge, for hewing timber.
broadbill |1. (Zoöl.)  A wild duck (Aythya, or Fuligula, marila), which appears in large numbers on the eastern coast of the United States, in autumn; - - called also bluebill, blackhead, raft duck, and scaup duck. See Scaup duck. 2. (Zoöl.)  The shoveler. See Shoveler.
broadbrim |1. A hat with a very broad brim, like those worn by men of the society of Friends. 2. A member of the society of Friends; a Quaker. [Sportive]
broadcast |A casting or throwing seed in all directions, as from the hand in sowing.\n\n1. Cast or dispersed in all directions, as seed from the hand in sowing; widely diffused. 2. Scattering in all directions (as a method of sowing); -- opposed to planting in hills, or rows.\n\nSo as to scatter or be scattered in all directions; so as to spread widely, as seed from the hand in sowing, or news from the press.
broadcloth |A fine smooth-faced woolen cloth for men's garments, usually of double width (i.e., a yard and a half); -- so called in distinction from woolens three quarters of a yard wide.
broaden |To grow broad; to become broader or wider. The broadening sun appears. Wordsworth.\n\nTo make broad or broader; to render more broad or comprehensive.
broadish |Rather broad; moderately broad.
broadleaf |A tree (Terminalia latifolia) of Jamaica, the wood of which is used for boards, scantling, shingles, etc; -- sometimes called the almond tree, from the shape of its fruit.
broadly |In a broad manner.
broadmouth |One of the Eurylaimidæ, a family of East Indian passerine birds.
broadness |The condition or quality of being broad; breadth; coarseness; grossness.
broadpiece |An old English gold coin, broader than a guinea, as a Carolus or Jacobus.
broadseal |To stamp with the broad seal; to make sure; to guarantee or warrant. [Obs.] Thy presence broadseals our delights for pure. B. Jonson.
broadside |1. (Naut.)  The side of a ship above the water line, from the bow to the quarter. 2. A discharge of or from all the guns on one side of a ship, at the same time. 3. A volley of abuse or denunciation. [Colloq.] 4. (Print.)  A sheet of paper containing one large page, or printed on one side only; -- called also broadsheet.
broadspread |Widespread.
broadspreading |Spreading widely.
broadsword |A sword with a broad blade and a cutting edge; a claymore. I heard the broadsword's deadly clang. Sir W. Scott.
broadwise |Breadthwise. [Archaic]
brob |A peculiar brad-shaped spike, to be driven alongside the end of an abutting timber to prevent its slipping.
brobdingnagian |Colossal' of extraordinary height; gigantic. -- n.  A giant. [Spelt often Brobdignagian.]
brocade |Silk stuff, woven with gold and silver threads, or ornamented with raised flowers, foliage, etc.; -- also applied to other stuffs thus wrought and enriched. A gala suit of faded brocade. W. Irving.
brocaded |1. Woven or worked, as brocade, with gold and silver, or with raised flowers, etc. Brocaded flowers o'er the gay mantua shine. Gay. 2. Dressed in brocade.
brocage |See Brokkerage.
brocard |An elementary principle or maximum; a short, proverbial rule, in law, ethics, or metaphysics. The legal brocard, \"Falsus in uno, falsus in omnibus,\" is a rule not more applicable to other witness than to consciousness. Sir W. Hamilton.
brocatel |1. A kind of coarse brocade, or figured fabric, used chiefly for tapestry, linings for carriages, etc. 2. A marble, clouded and veined with white, gray, yellow, and red, in which the yellow usually prevails. It is also called Siena marble, from its locality.
brocatello |Same as Brocatel.
broccoli |A plant of the Cabbage species (Brassica oleracea) of many varieties, resembling the cauliflower. The \"curd,\" or flowering head, is the part used for food.
brochantite |A basic sulphate of copper, occurring in emerald-green crystals.
broche |Woven with a figure; as, broché goods.\n\nSee Broach, n.
brochette |A small spit or skewer. -- En bro`chette\" (än) [F.], on a brochette; skewered.
brochure |A printed and stitched book containing only a few leaves; a pamphlet.
brock |A badger. Or with pretense of chasing thence the brock. B. Jonson.\n\nA brocket. Bailey.
brocken specter |A mountain specter (which see), esp. that observed on the Brocken, in the Harz Mountains.
brocken spectre |A mountain specter (which see), esp. that observed on the Brocken, in the Harz Mountains.
brocket |1. (Zoöl.)  A male red deer two years old; -- sometimes called brock. 2. (Zoöl.)  A small South American deer, of several species (Coassus superciliaris, C. rufus, and C. auritus).
brockish |Beastly; brutal. [Obs.] Bale.
brodekin |A buskin or half-boot. [Written also brodequin.] [Obs.]
brog |A pointed instrument, as a joiner's awl, a brad awl, a needle, or a small ship stick.\n\nTo prod with a pointed instrument, as a lance; also, to broggle. [Scot. & Prov.] Sir W. Scott.
brogan |A stout, coarse shoe; a brogue.
broggle |To sniggle, or fish with a brog. [Prov. Eng.] Wright.
brogue |1. A stout, coarse shoe; a brogan. Note: In the Highlands of Scotland, the ancient brogue was made of horsehide or deerskin, untanned or tenned with the hair on, gathered round the ankle with a thong. The name was afterward given to any shoe worn as a part of the Highland costume. Clouted brogues, patched brogues; also, brogues studded with nails. See under Clout, v. t. 2. A dialectic pronunciation; esp. the Irish manner of pronouncing English. Or take, Hibernis, thy still ranker brogue. Lloyd.
brogues |Breeches. [Obs.] Shenstone.
broid |To braid. [Obs.] Chaucer.
broider |To embroider. [Archaic] They shall make a broidered coat. Ex. xxviii. 4.
broiderer |One who embroiders. [Archaic]
broidery |Embroidery. [Archaic] The golden broidery tender Milkah wove. Tickell.
broil |A tumult; a noisy quarrel; a disturbance; a brawl; contention; discord, either between individuals or in the state. I will own that there is a haughtiness and fierceness in human nature which will which will cause innumerable broils, place men in what situation you please. Burke. Syn. -- Contention; fray; affray; tumult; altercation; dissension; discord; contest; conflict; brawl; uproar.\n\n1. To cook by direct exposure to heat over a fire, esp. upon a gridiron over coals. 2. To subject to great (commonly direct) heat.\n\nTo be subjected to the action of heat, as meat over the fire; to be greatly heated, or to be made uncomfortable with heat. The planets and comets had been broiling in the sun. Cheyne.
broiler |One who excites broils; one who engages in or promotes noisy quarrels. What doth he but turn broiler, . . . make new libels against the church Hammond.\n\n1. One who broils, or cooks by broiling. 2. A gridiron or other utensil used in broiling. 3. A chicken or other bird fit for broiling. [Colloq.]
broiling |Excessively hot; as, a broiling sun. -- n.  The act of causing anything to broil.
brokage |See Brokerage.
broke |1. To transact business for another. [R.] Brome. 2. To act as procurer in love matters; to pimp. [Obs.] We do want a certain necessary woman to broke between them, Cupid said. Fanshawe. And brokes with all that can in such a suit Corrupt the tender honor of a maid. Shak.\n\nimp. & p. p. of Break.
broken |1. Separated into parts or pieces by violence; divided into fragments; as, a broken chain or rope; a broken dish. 2. Disconnected; not continuous; also, rough; uneven; as, a broken surface. 3. Fractured; cracked; disunited; sundered; strained; apart; as, a broken reed; broken friendship. 4. Made infirm or weak, by disease, age, or hardships. The one being who remembered him as he been before his mind was broken. G. Eliot. The broken soldier, kindly bade to stay, Sat by his fire, and talked the night away. Goldsmith. 5. Subdued; humbled; contrite. The sacrifices of God are a broken spirit. Ps. li. 17. 6. Subjugated; trained for use, as a horse. 7. Crushed and ruined as by something that destroys hope; blighted. \"Her broken love and life.\" G. Eliot. 8. Not carried into effect; not adhered to; violated; as, a broken promise, vow, or contract; a broken law. 9. Ruined financially; incapable of redeeming promises made, or of paying debts incurred; as, a broken bank; a broken tradesman. 10. Imperfectly spoken, as by a foreigner; as, broken English; imperfectly spoken on account of emotion; as, to say a few broken words at parting. Amidst the broken words and loud weeping of those grave senators. Macaulay. Broken ground. (a) (Mil.) Rough or uneven ground; as, the troops were retarded in their advance by broken ground. (b) Ground recently opened with the plow. -- Broken line (Geom.), the straight lines which join a number of given points taken in some specified order. -- Broken meat, fragments of meat or other food. -- Broken number, a fraction. -- Broken weather, unsettled weather.
broken breast |Abscess of the mammary gland.
broken wind |The heaves.
broken-backed |1. Having a broken back; as, a broken-backed chair. 2. (Naut.)  Hogged; so weakened in the frame as to droop at each end; -- said of a ship. Totten.
broken-bellied |Having a ruptured belly. [R.]
broken-hearted |Having the spirits depressed or crushed by grief or despair. She left her husband almost broken-hearted. Macaulay. Syn. -- Disconsolable; heart-broken; inconsolable; comfortless; woe- begone; forlorn.
broken-winded |Having short breath or disordered respiration, as a horse.
brokenly |In a broken, interrupted manner; in a broken state; in broken language. The pagans worship God . . . as it were brokenly and by piecemeal. Cudworth.
brokenness |1. The state or quality of being broken; unevenness. Macaulay. 2. Contrition; as, brokenness of heart.
broker |1. One who transacts business for another; an agent. 2. (Law)  An agent employed to effect bargains and contracts, as a middleman or negotiator, between other persons, for a compensation commonly called brokerage. He takes no possession, as broker, of the subject matter of the negotiation. He generally contracts in the names of those who employ him, and not in his own. Story. 3. A dealer in money, notes, bills of exchange, etc. 4. A dealer in secondhand goods. [Eng.] 5. A pimp or procurer. [Obs.] Shak. Bill broker, one who buys and sells notes and bills of exchange. -- Curbstone broker or Street broker, an operator in stocks (not a member of the Stock Exchange) who executes orders by running from office to office, or by transactions on the street. [U.S.] -- Exchange broker, one who buys and sells uncurrent money, and deals in exchanges relating to money. -- Insurance broker, one who is agent in procuring insurance on vessels, or against fire. -- Pawn broker. See Pawnbroker. -- Real estate broker, one who buys and sells lands, and negotiates loans, etc., upon mortgage. -- Ship broker, one who acts as agent in buying and selling ships, procuring freight, etc. -- Stock broker. See Stockbroker.
brokerage |1. The business or employment of a broker. Burke. 2. The fee, reward, or commission, given or changed for transacting business as a broker.
brokerly |Mean; servile. [Obs.] B. Jonson.
brokery |The business of a broker. [Obs.] And with extorting, cozening, forfeiting, And tricks belonging unto brokery. Marlowe.
broking |Of or pertaining to a broker or brokers, or to brokerage. [Obs.] Redeem from broking pawn the blemished crown. Shak.
broma |1. (Med.)  Aliment; food. Dunglison. 2. A light form of prepared cocoa (or cacao), or the drink made from it.
bromal |An oily, colorless fluid, CBr
bromalin |A colorless or white crystalline compound, (CH2)6N4C2H5Br, used as a sedative in epilepsy.
bromanil |A substance analogous to chloranil but containing bromine in place of chlorine.
bromate |A salt of bromic acid.\n\nTo combine or impregnate with bromine; as, bromated camphor.
bromatologist |One versed in the science of foods.
bromatology |The science of aliments. Dunglison.
brome |See Bromine.
brome grass |A genus (Bromus) of grasses, one species of which is the chess or cheat.
bromeliaceous |Pertaining to, or resembling, a family of endogenous and mostly epiphytic or saxicolous plants of which the genera Tillandsia and Billbergia are examples. The pineapple, though terrestrial, is also of this family.
bromic |Of, pertaining to, or containing, bromine; -- said of those compounds of bromine in which this element has a valence of five, or the next to its highest; as, bromic acid.
bromid paper |A sensitized paper coated with gelatin impregnated with bromide of silver, used in contact printing and in enlarging.
bromide |A compound of bromine with a positive radical.
bromide paper |A sensitized paper coated with gelatin impregnated with bromide of silver, used in contact printing and in enlarging.
bromidiom |A conventional comment or saying, such as those characteristic of bromides. [Slang]
brominate |See Bromate, v. t.
bromine |One of the elements, related in its chemical qualities to chlorine and iodine. Atomic weight 79.8. Symbol Br. It is a deep reddish brown liquid of a very disagreeable odor, emitting a brownish vapor at the ordinary temperature. In combination it is found in minute quantities in sea water, and in many saline springs. It occurs also in the mineral bromyrite.
bromism |A diseased condition produced by the excessive use of bromine or one of its compounds. It is characterized by mental dullness and muscular weakness.
bromize |To prepare or treat with bromine; as, to bromize a silvered plate.
bromlife |A carbonate of baryta and lime, intermediate between witherite and strontianite; -- called also alstonite.
bromoform |A colorless liquid, CHBr3, having an agreeable odor and sweetish taste. It is produced by the simultaneous action of bromine and caustic potash upon wood spirit, alcohol, or acetone, as also by certain other reactions. In composition it is the same as chloroform, with the substitution of bromine for chlorine. It is somewhat similar to chloroform in its effects. Watts.
bromogelatin |Designating or pertaining to, a process of preparing dry plates with an emulsion of bromides and silver nitrate in gelatin.
bromoiodism |Poisoning induced by large doses of bromine and iodine or of their compounds.
bromoiodized |Treated with bromides and iodides.
bromol |A crystalline substance (chemically, tribromophenol, C6H2Br3OH), used as an antiseptic and disinfectant.
brompicrin |A pungent colorless explosive liquid, CNO2Br3, analogous to and resembling chlorpicrin. [Spelt also brompikrin.]
bromuret |See Bromide. [Obs.]
bromyrite |Silver bromide, a rare mineral; -- called also bromargyrite.
bronchi |See Bronchus.
bronchia |The bronchial tubes which arise from the branching of the trachea, esp. the subdivision of the bronchi. Dunglison.
bronchial |Belonging to the bronchi and their ramifications in the lungs. Bronchial arteries, branches of the descending aorta, accompanying the bronchia in all their ramifications. -- Bronchial cells, the air cells terminating the bronchia. -- Bronchial glands, glands whose functions are unknown, seated along the bronchia. -- Bronchial membrane, the mucous membrane lining the bronchia. -- Bronchial tube, the bronchi, or the bronchia.
bronchic |Bronchial.
