bilaminate |Formed of, or having, two laminæ, or thin plates.
bilin |A name applied to the amorphous or crystalline mass obtained from bile by the action of alcohol and ether. It is composed of a mixture of the sodium salts of the bile acids.
bilinear |Of, pertaining to, or included by, two lines; as, bilinear coördinates.
bilingual |Containing, or consisting of, two languages; expressed in two languages; as, a bilingual inscription; a bilingual dictionary. -- Bi*lin\"gual*ly, adv.
bilingualism |Quality of being bilingual. The bilingualism of King's English. Earle.
bilinguar |See Bilingual.
bilinguist |One versed in two languages.
bilinguous |Having two tongues, or speaking two languages. [Obs.]
bilious |1. Of or pertaining to the bile. 2. Disordered in respect to the bile; troubled with and excess of bile; as, a bilious patient; dependent on, or characterized by, an excess of bile; as, bilious symptoms. 3. Choleric; passionate; ill tempered. \"A bilious old nabob.\" Macaulay. Bilious temperament. See Temperament.
biliousness |The state of being bilious.
biliprasin |A dark green pigment found in small quantity in human gallstones.
bilirubin |A reddish yellow pigment present in human bile, and in that from carnivorous and herbivorous animals; the normal biliary pigment.
biliteral |Consisting of two letters; as, a biliteral root of a Sanskrit verb. Sir W. Jones. -- n.  A word, syllable, or root, consisting of two letters.
biliteralism |The property or state of being biliteral.
biliverdin |A green pigment present in the bile, formed from bilirubin by oxidation.
bilk |To frustrate or disappoint; to deceive or defraud, by nonfulfillment of engagement; to leave in the lurch; to give the slip to; as, to bilk a creditor. Thackeray.\n\n1. A thwarting an adversary in cribbage by spoiling his score; a balk. 2. A cheat; a trick; a hoax. Hudibras. 3. Nonsense; vain words. B. Jonson. 4. A person who tricks a creditor; an untrustworthy, tricky person. Marryat.
bill |A beak, as of a bird, or sometimes of a turtle or other animal. Milton.\n\n1. To strike; to peck. [Obs.] 2. To join bills, as doves; to caress in fondness. \"As pigeons bill.\" Shak. To bill and coo, to interchange caresses; -- said of doves; also of demonstrative lovers. Thackeray.\n\nThe bell, or boom, of the bittern The bittern's hollow bill was heard. Wordsworth.\n\n1. A cutting instrument, with hook-shaped point, and fitted with a handle; -- used in pruning, etc.; a billhook. When short, called a hand bill, when long, a hedge bill. 2. A weapon of infantry, in the 14th and 15th centuries. A common form of bill consisted of a broad, heavy, double-edged, hook-shaped blade, having a short pike at the back and another at the top, and attached to the end of a long staff. France had no infantry that dared to face the English bows end bills. Macaulay. 3. One who wields a bill; a billman. Strype. 4. A pickax, or mattock. [Obs.] 5. (Naut.)  The extremity of the arm of an anchor; the point of or beyond the fluke.\n\nTo work upon ( as to dig, hoe, hack, or chop anything) with a bill.\n\n1. (Law)  A declaration made in writing, stating some wrong the complainant has suffered from the defendant, or a fault committed by some person against a law. 2. A writing binding the signer or signers to pay a certain sum at a future day or on demand, with or without interest, as may be stated in the document. [Eng.] Note: In the United States, it is usually called a note, a note of hand, or a promissory note. 3. A form or draft of a law, presented to a legislature for enactment; a proposed or projected law. 4. A paper, written or printed, and posted up or given away, to advertise something, as a lecture, a play, or the sale of goods; a placard; a poster; a handbill. She put up the bill in her parlor window. Dickens. 5. An account of goods sold, services rendered, or work done, with the price or charge; a statement of a creditor's claim, in gross or by items; as, a grocer's bill. 6. Any paper, containing a statement of particulars; as, a bill of charges or expenditures; a weekly bill of mortality; a bill of fare, etc. Bill of adventure. See under Adventure. -- Bill of costs, a statement of the items which form the total amount of the costs of a party to a suit or action. -- Bill of credit. (a) Within the constitution of the United States, a paper issued by a State, on the mere faith and credit of the State, and designed to circulate as money. No State shall \"emit bills of credit.\" U. S. Const. Peters. Wharton. Bouvier (b) Among merchants, a letter sent by an agent or other person to a merchant, desiring him to give credit to the bearer for goods or money. -- Bill of divorce, in the Jewish law, a writing given by the husband to the wife, by which the marriage relation was dissolved. Jer. iii. 8. -- Bill of entry, a written account of goods entered at the customhouse, whether imported or intended for exportation. -- Bill of exceptions. See under Exception. -- Bill of exchange (Com.), a written order or request from one person or house to another, desiring the latter to pay to some person designated a certain sum of money therein generally is, and, to be negotiable, must be, made payable to order or to bearer. So also the order generally expresses a specified time of payment, and that it is drawn for value. The person who draws the bil is called the drawer, the person on whom it is drawn is, before acceptance, called the drawee, -- after acceptance, the acceptor; the person to whom the money is directed to be paid is called the payee. The person making the order may himself be the payee. The bill itself is frequently called a draft. See Exchange. Chitty. -- Bill of fare, a written or printed enumeration of the dishes served at a public table, or of the dishes (with prices annexed) which may be ordered at a restaurant, etc. -- Bill of health, a certificate from the proper authorities as to the state of health of a ship's company at the time of her leaving port. -- Bill of indictment, a written accusation lawfully presented to a grand jury. If the jury consider the evidence sufficient to support the accusation, they indorse it \"A true bill,\" or \"Not found,\" or \"Ignoramus\| or \"Ignored.\" -- Bill of lading| a written account of goods shipped by any person| signed by the agent of the owner of the vessel| or by its master| acknowledging the receipt of the goods| and promising to deliver them safe at the place directed| dangers of the sea excepted. It is usual for the master to sign two| three| or four copies of the bill; one of which he keeps in possession| one is kept by the shipper| and one is sent to the consignee of the goods. -- Bill of mortality| an official statement of the number of deaths in a place or district within a given time; also| a district required to be covered by such statement; as| a place within the bills of mortality of London. -- Bill of pains and penalties| a special act of a legislature which inflicts a punishment less than death upon persons supposed to be guilty of treason or felony| without any conviction in the ordinary course of judicial proceedings. Bouvier. Wharton. -- Bill of parcels| an account given by the seller to the buyer of the several articles purchased| with the price of each. -- Bill of particulars (Law)| a detailed statement of the items of a plaintiff's demand in an action| or of the defendant's set-off. -- Bill of rights| a summary of rights and privileges claimed by a people. Such was the declaration presented by the Lords and Commons of England to the Prince and Princess of Orange in 1688| and enacted in Parliament after they became king and queen. In America| a bill or declaration of rights is prefixed to most of the constitutions of the several States. -- Bill of sale| a formal instrument for the conveyance or transfer of goods and chattels. -- Bill of sight| a form of entry at the customhouse| by which goods| respecting which the importer is not possessed of full information| may be provisionally landed for examination. -- Bill of store| a license granted at the customhouse to merchants| to carry such stores and provisions as are necessary for a voyage| custom free. Wharton. -- Bills payable (pl.)| the outstanding unpaid notes or acceptances made and issued by an individual or firm. -- Bills receivable (pl.)| the unpaid promissory notes or acceptances held by an individual or firm. McElrath. -- A true bill| a bill of indictment sanctioned by a grand jury.\n\n1. To advertise by a bill or public notice. 2. To charge or enter in a bill; as| to bill goods."
bill book |A book in which a person keeps an account of his notes, bills, bills of exchange, etc., thus showing all that he issues and receives.
bill broker |One who negotiates the discount of bills.
bill holder |1. A person who holds a bill or acceptance. 2. A device by means of which bills, etc., are held.
billabong |In Australia, a blind channel leading out from a river; -- sometimes called an anabranch. This is the sense of the word as used in the Public Works Department; but the term has also been locally applied to mere back-waters forming stagnant pools and to certain water channels arising from a source.
billage |and v. t. & i. Same as Bilge.
billard |An English fish, allied to the cod; the coalfish. [Written also billet and billit.]
billbeetle |A weevil or curculio of various species, as the corn weevil. See Curculio.
billboard |1. (Naut.)  A piece of thick plank, armed with iron plates, and fixed on the bow or fore channels of a vessel, for the bill or fluke of the anchor to rest on. Totten. 2. A flat surface, as of a panel or of a fence, on which bills are posted; a bulletin board.
billbug |A weevil or curculio of various species, as the corn weevil. See Curculio.
billed |Furnished with, or having, a bill, as a bird; -- used in composition; as, broad-billed.
billet |1. A small paper; a note; a short letter. \"I got your melancholy billet.\" Sterne. 2. A ticket from a public officer directing soldiers at what house to lodge; as, a billet of residence.\n\nTo direct, by a ticket or note, where to lodge. Hence: To quarter, or place in lodgings, as soldiers in private houses. Billeted in so antiquated a mansion. W. Irving.\n\n1. A small stick of wood, as for firewood. They shall beat out my brains with billets. Shak. 2. (Metal.)  A short bar of metal, as of gold or iron. 3. (Arch.)  An ornament in Norman work, resembling a billet of wood either square or round. 4. (Saddlery) (a) A strap which enters a buckle. (b) A loop which receives the end of a buckled strap. Knight. 5. (Her.)  A bearing in the form of an oblong rectangle.
billet-doux |A love letter or note. A lover chanting out a billet-doux. Spectator.
billethead |A round piece of timber at the bow or stern of a whaleboat, around which the harpoon lone is run out when the whale darts off.
billfish |A name applied to several distinct fishes: (a) The garfish (Tylosurus, or Belone, longirostris) and allied species. (b) The saury, a slender fish of the Atlantic coast (Scomberesox saurus). (c) The Tetrapturus albidus, a large oceanic species related to the swordfish; the spearfish. (d) The American fresh-water garpike (Lepidosteus osseus).
billhead |A printed form, used by merchants in making out bills or rendering accounts.
billhook |A thick, heavy knife with a hooked point, used in pruning hedges, etc. When it has a short handle, it is sometimes called a hand bill; when the handle is long, a hedge bill or scimiter.
billiard |Of or pertaining to the game of billiards. \"Smooth as is a billiard ball.\" B. Jonson.
billiards |A game played with ivory balls o a cloth-covered, rectangular table, bounded by elastic cushions. The player seeks to impel his ball with his cue so that it shall either strike (carom upon) two other balls, or drive another ball into one of the pockets with which the table sometimes is furnished.
billing |Caressing; kissing.
billingsgate |1. A market near the Billings gate in London, celebrated for fish and foul language. 2. Coarsely abusive, foul, or profane language; vituperation; ribaldry.
billion |According to the French and American method of numeration, a thousand millions, or 1,000,000,000; according to the English method, a million millions, or 1,000,000,000,000. See Numeration.
billman |One who uses, or is armed with, a bill or hooked ax. \"A billman of the guard.\" Savile.
billon |An alloy of gold and silver with a large proportion of copper or other base metal, used in coinage.
billot |Bullion in the bar or mass.
billow |1. A great wave or surge of the sea or other water, caused usually by violent wind. Whom the winds waft where'er the billows roll. Cowper. 2. A great wave or flood of anything. Milton.\n\nTo surge; to rise and roll in waves or surges; to undulate. \"The billowing snow.\" Prior.
billowy |Of or pertaining to billows; swelling or swollen into large waves; full of billows or surges; resembling billows. And whitening down the many-tinctured stream, Descends the billowy foam. Thomson.
billposter |One whose occupation is to post handbills or posters in public places.
billsticker |One whose occupation is to post handbills or posters in public places.
billy |1. A club; esp., a policeman's club. 2. (Wool Manuf.)  A slubbing or roving machine.
billy goat |A male goat. [Colloq.]
billyboy |A flat-bottomed river barge or coasting vessel. [Eng.]
billycock |A round, low-crowned felt hat; a wideawake. \"The undignified billycocks and pantaloons of the West.\"  B. H. Chamberlain. Little acquiesced, and Ransome disguised him in a beard, and a loose set of clothes, and a billicock hat. Charles Reade.
billycock hat |A round, low-crowned felt hat; a wideawake. \"The undignified billycocks and pantaloons of the West.\"  B. H. Chamberlain. Little acquiesced, and Ransome disguised him in a beard, and a loose set of clothes, and a billicock hat. Charles Reade.
bilobate |Divided into two lobes or segments.
bilobed |Bilobate.
bilocation |Double location; the state or power of being in two places at the same instant; -- a miraculous power attributed to some of the saints. Tylor.
bilocular |Divided into two cells or compartments; as, a bilocular pericarp. Gray.
bilsted |See Sweet gum.
biltong |Lean meat cut into strips and sun-dried. H. R. Haggard.
bimaculate |Having, or marked with, two spots.
bimana |Animals having two hands; -- a term applied by Cuvier to man as a special order of Mammalia.
bimanous |Having two hands; two-handed.
bimarginate |Having a double margin, as certain shells.
bimastism |The condition of having two mammæ or teats.
bimedial |Applied to a line which is the sum of two lines commensurable only in power (as the side and diagonal of a square).
bimembral |Having two members; as, a bimembral sentence. J. W. Gibbs.
bimensal |See Bimonthly, a. [Obs. or R.]
bimestrial |Continuing two months. [R.]
bimetallic |Of or relating to, or using, a double metallic standard (as gold and silver) for a system of coins or currency.
bimetallism |The legalized use of two metals (as gold and silver) in the currency of a country, at a fixed relative value; -- in opposition to monometallism. Note: The words bimétallisme and monométallisme are due to M. Cernuschi [1869]. Littré.
bimetallist |An advocate of bimetallism.
bimolecular |Pertaining to, or formed from, two molecules; as, a bimolecular reaction (a reaction between two molecules).
bimonthly |Occurring, done, or coming, once in two months; as, bimonthly visits; bimonthly publications. -- n.  A bimonthly publication.\n\nOnce in two months.
bimuscular |Having two adductor muscles, as a bivalve mollusk.
bin |A box, frame, crib, or inclosed place, used as a receptacle for any commodity; as, a corn bin; a wine bin; a coal bin.\n\nTo put into a bin; as, to bin wine.\n\nAn old form of Be and Been. [Obs.]\n\nA euphonic form of the prefix Bi-.
bin- |A euphonic form of the prefix Bi-.
binal |Twofold; double. [R.] \"Binal revenge, all this.\" Ford.
binarseniate |A salt having two equivalents of arsenic acid to one of the base. Graham.
binary |Compounded or consisting of two things or parts; characterized by two (things). Binary arithmetic, that in which numbers are expressed according to the binary scale, or in which two figures only, 0 and 1, are used, in lieu of ten; the cipher multiplying everything by two, as in common arithmetic by ten. Thus, 1 is one; 10 is two; 11 is three; 100 is four, etc. Davies & Peck. -- Binary compound (Chem.), a compound of two elements, or of an element and a compound performing the function of an element, or of two compounds performing the function of elements. -- Binary logarithms, a system of logarithms devised by Euler for facilitating musical calculations, in which 1 is logarithm of 2, instead of 10, as in the common logarithms, and the modulus 1.442695 instead of .43429448. -- Binary measure (Mus.), measure divisible by two or four; common time. -- Binary nomenclature (Nat. Hist.), nomenclature in which the names designate both genus and species. -- Binary scale (Arith.), a uniform scale of notation whose ratio is two. -- Binary star (Astron.), a double star whose members have a revolution round their common center of gravity. -- Binary theory (Chem.), the theory that all chemical compounds consist of two constituents of opposite and unlike qualities.\n\nThat which is constituted of two figures, things, or parts; two; duality. Fotherby.
binate |Double; growing in pairs or couples. Gray.
binaural |Of or pertaining to, or used by, both ears.
binbashi |A major in the Turkish army.
bind |1. To tie, or confine with a cord, band, ligature, chain, etc.; to fetter; to make fast; as, to bind grain in bundles; to bind a prisoner. 2. To confine, restrain, or hold by physical force or influence of any kind; as, attraction binds the planets to the sun; frost binds the earth, or the streams. He bindeth the floods from overflowing. Job xxviii. 11. Whom Satan hath bound, lo, these eighteen years. Luke xiii. 16. 3. To cover, as with a bandage; to bandage or dress; -- sometimes with up; as, to bind up a wound. 4. To make fast ( a thing) about or upon something, as by tying; to encircle with something; as, to bind a belt about one; to bind a compress upon a part. 5. To prevent or restrain from customary or natural action; as, certain drugs bind the bowels. 6. To protect or strengthen by a band or binding, as the edge of a carpet or garment. 7. To sew or fasten together, and inclose in a cover; as, to bind a book. 8. Fig.: To oblige, restrain, or hold, by authority, law, duty, promise, vow, affection, or other moral tie; as, to bind the conscience; to bind by kindness; bound by affection; commerce binds nations to each other. Who made our laws to bind us, not himself. Milton. 9. (Law) (a) To bring (any one) under definite legal obligations; esp. under the obligation of a bond or covenant. Abbott. (b) To place under legal obligation to serve; to indenture; as, to bind an apprentice; -- sometimes with out; as, bound out to service. To bind over, to put under bonds to do something, as to appear at court, to keep the peace, etc. -- To bind to, to contract; as, to bind one's self to a wife. -- To bind up in, to cause to be wholly engrossed with; to absorb in. Syn. -- To fetter; tie; fasten; restrain; restrict; oblige.\n\n1. To tie; to confine by any ligature. They that reap must sheaf and bind. Shak. 2. To contract; to grow hard or stiff; to cohere or stick together in a mass; as, clay binds by heat. Mortimer. 3. To be restrained from motion, or from customary or natural action, as by friction. 4. To exert a binding or restraining influence. Locke.\n\n1. That which binds or ties. 2. Any twining or climbing plant or stem, esp. a hop vine; a bine. 3. (Metal.)  Indurated clay, when much mixed with the oxide of iron. Kirwan. 4. (Mus.)  A ligature or tie for grouping notes.
binder |1. One who binds; as, a binder of sheaves; one whose trade is to bind; as, a binder of books. 2. Anything that binds, as a fillet, cord, rope, or band; a bandage; -- esp. the principal piece of timber intended to bind together any building.
bindery |A place where books, or other articles, are bound; a bookbinder's establishment.
bindheimite |An amorphous antimonate of lead, produced from the alteration of other ores, as from jamesonite.
binding |That binds; obligatory. Binding beam (Arch.), the main timber in double flooring. -- Binding joist (Arch.), the secondary timber in double-framed flooring. Syn. -- Obligatory; restraining; restrictive; stringent; astringent; costive; styptic.\n\n1. The act or process of one who, or that which, binds. 2. Anything that binds; a bandage; the cover of a book, or the cover with the sewing, etc.; something that secures the edge of cloth from raveling. 3. pl. (Naut.)  The transoms, knees, beams, keelson, and other chief timbers used for connecting and strengthening the parts of a vessel.
binding post |A metallic post attached to electrical apparatus for convenience in making connections.
binding screw |A set screw used to bind parts together, esp. one for making a connection in an electrical circuit.
bindingly |So as to bind.
bindingness |The condition or property of being binding; obligatory quality. Coleridge.
bindweed |A plant of the genus Convolvulus; as, greater bindweed (C. Sepium); lesser bindweed (C. arvensis); the white, the blue, the Syrian, bindweed. The black bryony, or Tamus, is called black bindweed, and the Smilax aspera, rough bindweed. The fragile bindweed bells and bryony rings. Tennyson.
bine |The winding or twining stem of a hop vine or other climbing plant.
binervate |1. (Bot.)  Two-nerved; -- applied to leaves which have two longitudinal ribs or nerves. 2. (Zoöl.)  Having only two nerves, as the wings of some insects.
bing |A heap or pile; as, a bing of wood. \"Potato bings.\" Burns. \"A bing of corn.\" Surrey. [Obs. or Dial. Eng. & Scot.]
biniodide |Same as Diiodide.
bink |A bench. [North of Eng. & Scot.]
binnacle |A case or box placed near the helmsman, containing the compass of a ship, and a light to show it at night. Totten.
binny |A large species of barbel (Barbus bynni), found in the Nile, and much esteemed for food.
binocle |A dioptric telescope, fitted with two tubes joining, so as to enable a person to view an object with both eyes at once; a double- barreled field glass or an opera glass.
binocular |1. Having two eyes. \"Most animals are binocular.\" Derham. 2. Pertaining to both eyes; employing both eyes at once; as, binocular vision. 3. Adapted to the use of both eyes; as, a binocular microscope or telescope. Brewster.\n\nA binocular glass, whether opera glass, telescope, or microscope.
binocularly |In a binocular manner.
binoculate |Having two eyes.
binomial |An expression consisting of two terms connected by the sign plus (+) or minus (-); as, a+b, or 7-3.\n\n1. Consisting of two terms; pertaining to binomials; as, a binomial root. 2. (Nat. Hist.)  Having two names; -- used of the system by which every animal and plant receives two names, the one indicating the genus, the other the species, to which it belongs. Binomial theorem (Alg.), the theorem which expresses the law of formation of any power of a binomial.
binominal |Of or pertaining to two names; binomial.
binominous |Binominal. [Obs.]
binotonous |Consisting of two notes; as, a binotonous cry.
binous |Same as Binate.
binoxalate |A salt having two equivalents of oxalic acid to one of the base; an acid oxalate.
binoxide |Same as Dioxide.
binturong |A small Asiatic civet of the genus Arctilis.
binuclear |Having two nuclei; as, binucleate cells.
binucleate |Having two nuclei; as, binucleate cells.
binucleolate |Having two nucleoli.
bioblast |Same as Bioplast.
biocellate |Having two ocelli (eyelike spots); -- said of a wing, etc.
biochemistry |The chemistry of living organisms; the chemistry of the processes incidental to, and characteristic of, life.
biodynamic |Of or pertaining to biodynamics, or the doctrine of vital forces or energy.
biodynamical |Of or pertaining to biodynamics, or the doctrine of vital forces or energy.
biodynamics |The doctrine of vital forces or energy.
biogen |Bioplasm.
biogenesis |(a) A doctrine that the genesis or production of living organisms can take place only through the agency of living germs or parents; -- opposed to abiogenesis. (b) Life development generally.
biogenetic |Pertaining to biogenesis.
biogenist |A believer in the theory of biogenesis.
biogeny |(a) A doctrine that the genesis or production of living organisms can take place only through the agency of living germs or parents; -- opposed to abiogenesis. (b) Life development generally.
biogeography |The branch of biology which deals with the geographical distribution of animals and plants. It includes both zoögeography and phytogeography. -- Bi`o*ge`o*graph\"ic (#), a. -- Bi`o*ge`o*graph\"ic*al*ly (#), adv.
biognosis |The investigation of life.
biograph |1.  An animated picture machine for screen projection; a cinematograph. 2.  [Cf. Biography.] A biographical sketch. [Rare]
biographer |One who writes an account or history of the life of a particular person; a writer of lives, as Plutarch.
biographic |Of or pertaining to biography; containing biography. -- Bi`o*graph\"ic*al*ly, adv.
biographical |Of or pertaining to biography; containing biography. -- Bi`o*graph\"ic*al*ly, adv.
biographize |To write a history of the life of. Southey.
biography |1. The written history of a person's life. 2. Biographical writings in general.
biologic |Of or relating to biology. -- Bi`o*log\"ic*al*ly, adv.
biological |Of or relating to biology. -- Bi`o*log\"ic*al*ly, adv.
biologist |A student of biology; one versed in the science of biology.
biology |The science of life; that branch of knowledge which treats of living matter as distinct from matter which is not living; the study of living tissue. It has to do with the origin, structure, development, function, and distribution of animals and plants.
biolysis |The destruction of life.
biolytic |Relating to the destruction of life.
biomagnetic |Relating to biomagnetism.
biomagnetism |Animal magnetism.
biometry |Measurement of life; calculation of the probable duration of human life.
bion |The physiological individual, characterized by definiteness and independence of function, in distinction from the morphological individual or morphon.
bionomy |Physiology. [R.] Dunglison.
biophor |One of the smaller vital units of a cell, the bearer of vitality and heredity. See Pangen, in Supplement.
biophore |One of the smaller vital units of a cell, the bearer of vitality and heredity. See Pangen, in Supplement.
biophotophone |An instrument combining a cinematograph and a phonograph so that the moving figures on the screen are accompanied by the appropriate sounds.
bioplasm |A name suggested by Dr. Beale for the germinal matter supposed to be essential to the functions of all living beings; the material through which every form of life manifests itself; unaltered protoplasm.
bioplasmic |Pertaining to, or consisting of, bioplasm.
bioplast |A tiny mass of bioplasm, in itself a living unit and having formative power, as a living white blood corpuscle; bioblast.
bioplastic |Bioplasmic.
biopsychic |Pertaining to psychical phenomena in their relation to the living organism or to the general phenomena of life.
biopsychical |Pertaining to psychical phenomena in their relation to the living organism or to the general phenomena of life.
biorgan |A physiological organ; a living organ; an organ endowed with function; -- distinguished from idorgan.
bioscope |1.  A view of life; that which gives such a view. Bagman's Bioscope: Various Views of Men and Manners. [Book Title.] W. Bayley (1824). 2.  An animated picture machine for screen projection; a cinematograph (which see).
biostatics |The physical phenomena of organized bodies, in opposition to their organic or vital phenomena.
biostatistics |Vital statistics.
biotaxy |The classification of living organisms according to their structural character; taxonomy.
biotic |Relating to life; as, the biotic principle.
biotite |Mica containing iron and magnesia, generally of a black or dark green color; -- a common constituent of crystalline rocks. See Mica.
bipalmate |Palmately branched, with the branches again palmated.
biparietal |Of or pertaining to the diameter of the cranium, from one parietal fossa to the other.
biparous |Bringing forth two at a birth.
bipartible |Capable of being divided into two parts.
bipartient |Dividing into two parts. -- n.  A number that divides another into two equal parts without a remainder.
bipartile |Divisible into two parts.
bipartite |1. Being in two parts; having two correspondent parts, as a legal contract or writing, one for each party; shared by two; as, a bipartite treaty. 2. Divided into two parts almost to the base, as a leaf; consisting of two parts or subdivisions. Gray.
bipartition |The act of dividing into two parts, or of making two correspondent parts, or the state of being so divided.
bipectinate |Having two margins toothed like a comb.
bipectinated |Having two margins toothed like a comb.
biped |A two-footed animal, as man.\n\nHaving two feet; two-footed. By which the man, when heavenly life was ceased, Became a helpless, naked, biped beast. Byrom.
bipedal |1. Having two feet; biped. 2. Pertaining to a biped.
bipeltate |Having a shell or covering like a double shield.
bipennate |Having two wings. \"Bipennated insects.\" Derham.
bipennated |Having two wings. \"Bipennated insects.\" Derham.
bipennis |An ax with an edge or blade on each side of the handle.
bipetalous |Having two petals.
bipinnaria |The larva of certain starfishes as developed in the free- swimming stage.
bipinnate |Twice pinnate.
bipinnated |Twice pinnate.
bipinnatifid |Doubly pinnatifid. Note: A bipinnatifid leaf is a pinnatifid leaf having its segments or divisions also pinnatifid. The primary divisions are pinnæ and the secondary pinnules.
biplane |An aëroplane with two main supporting surfaces one above the other.\n\nHaving, or consisting of, two superposed planes, aërocurves, or the like; of or pertaining to a biplane; as, a biplane rudder.
biplicate |Twice folded together. Henslow.
biplicity |The state of being twice folded; reduplication. [R.] Bailey.
bipolar |Doubly polar; having two poles; as, a bipolar cell or corpuscle.
bipolarity |Bipolar quality.
bipont |Relating to books printed at Deuxponts, or Bipontium (Zweibrücken), in Bavaria.
bipontine |Relating to books printed at Deuxponts, or Bipontium (Zweibrücken), in Bavaria.
biprism |1.  A prism whose refracting angle is very nearly 180 degrees. 2.  A combination of two short rectangular glass prisms cemented together at their diagonal faces so as to form a cube; -- called also optical cube. It is used in one form of photometer.
bipunctate |Having two punctures, or spots.
bipunctual |Having two points.
bipupillate |Having an eyelike spot on the wing, with two dots within it of a different color, as in some butterflies.
bipyramidal |Consisting of two pyramids placed base to base; having a pyramid at each of the extremities of a prism, as in quartz crystals.
biquadrate |The fourth power, or the square of the square. Thus 4x4=16, the square of 4, and 16x16=256, the biquadrate of 4.
biquadratic |Of or pertaining to the biquadrate, or fourth power. Biquadratic equation (Alg.), an equation of the fourth degree, or an equation in some term of which the unknown quantity is raised to the fourth power. -- Biquadratic root of a number, the square root of the square root of that number. Thus the square root of 81 is 9, and the square root of 9 is 3, which is the biquadratic root of 81. Hutton.\n\n(a) A biquadrate. (b) A biquadratic equation.
biquintile |An aspect of the planets when they are distant from each other by twice the fifth part of a great circle -- that is, twice 72 degrees.
biradiate |Having two rays; as, a biradiate fin.
biradiated |Having two rays; as, a biradiate fin.
biramous |Having, or consisting of, two branches.
