coincidental |Coincident.
colic |A severe paroxysmal pain in the abdomen, due to spasm, obstruction, or distention of some one of the hollow viscera. Hepatic colic, the severe pain produced by the passage of a gallstone from the liver or gall bladder through the bile duct. -- Intestinal colic, or Ordinary colic, pain due to distention of the intestines by gas. -- Lead colic, Painter's colic, a violent form of intestinal colic, associated with obstinate constipation, produced by chronic lead poisoning. -- Renal colic, the severe pain produced by the passage of a calculus from the kidney through the ureter. -- Wind colic. See Intestinal colic, above.\n\n1. Of or pertaining to colic; affecting the bowels. Milton. 2. (Anat.)  Of or pertaining to the colon; as, the colic arteries.
colical |Of, pertaining to, or of the nature of, colic. Swift.
colicky |Pertaining to, or troubled with, colic; as, a colicky disorder.
colicroot |A bitter American herb of the Bloodwort family, with the leaves all radical, and the small yellow or white flowers in a long spike (Aletris farinosa and A. aurea). Called sometimes star grass, blackroot, blazing star, and unicorn root.
colin |The American quail or bobwhite. The name is also applied to other related species. See Bobwhite.
coliseum |The amphitheater of Vespasian at Rome, the largest in the world. [Written also Colosseum.]
colitis |An inflammation of the large intestine, esp. of its mucous membrane; colonitis.
coll |To embrace. [Obs.] \"They coll and kiss him.\" Latimer.
collaborateur |See Collaborator.
collaboration |The act ofworking together; united labor.
collaborator |An associate in labor, especially in literary or scientific labor.
collagen |The chemical basis of ordinary connective tissue, as of tendons or sinews and of bone. On being boiled in water it becomes gelatin or glue.
collagenous |Containing or resembling collagen.
collapse |1. To fall together suddenly, as the sides of a hollow vessel; to close by falling or shrinking together; to have the sides or parts of (a thing) fall in together, or be crushed in together; as, a flue in the boiler of a steam engine sometimes collapses. A balloon collapses when the gas escapes from it. Maunder. 2. To fail suddenly and completely, like something hollow when subject to too much pressure; to undergo a collapse; as, Maximilian's government collapsed soon after the French army left Mexico; many financial projects collapse after attaining some success and importance.\n\n1. A falling together suddenly, as of the sides of a hollow vessel. 2. A sudden and complete failure; an utter failure of any kind; a breakdown. [Colloq.] 3. (Med.)  Extreme depression or sudden failing o
collapsion |Collapse. [R.] Johnson.
collar |1. Something worn round the neck, whether for use, ornament, restraint, or identification; as, the collar of a coat; a lady's collar; the collar of a dog. 2. (Arch.) (a) A ring or cinture. (b) A collar beam. 3. (Bot.)  The neck or line of junction between the root of a plant and its stem. Gray. 4. An ornament worn round the neck by knights, having on it devises to designate their rank or order. 5. (Zoöl.) (a) A ringlike part of a mollusk in connection with esophagus. (b) A colored ring round the neck of a bird or mammal. 6. (Mech.)  A ring or round flange upon, surrounding, or against an object, and used for rastraining motion within given limits, or for holding something to its place, or for hibing an opening around an object; as, a collar on a shaft, used to prevent endwise motion of the shaft; a collar surrounding a stovepipe at the place where it enters a wall. The flanges of a piston and the gland of a stuffing box are sometimes called collars. 7. (Naut.)  An eye formed in the bight or bend of a shroud or stay to go over the masthead; also, a rope to which certain parts of rigging, as dead-eyes, are secured. 8. (Mining)  A curb, or a horizontal timbering, around the mouth of a shaft. Raymond. Collar beam (Arch.), a horizontal piece of timber connecting and tying together two opposite rafters; -- also, called simply collar. -- Collar of brawn, the quantity of brawn bound up in one parcel. [Eng.] Johnson. -- Collar day, a day of great ceremony at the English court, when persons, who are dignitaries of honorary orders, wear the collars of those orders. -- To slip the collar, to get free; to disentangle one's self from difficulty, labor, or engagement. Spenser.\n\n1. To seize by the collar. 2. To put a collar on. To collar beef (or other meat), to roll it up, and bind it close with a string preparatory to cooking it.
collar bone |The clavicle.
collards |Young cabbage, used as \"greens\"; esp. a kind cultivated for that purpose; colewort. [Colloq. Souther U. S.]
collared |1. Wearing a collar. \"Collared with gold.\" Chaucer. 2. (Her.)  Wearing a collar; -- said of a man or beast used as a bearing when a collar is represented as worn around the neck or loins. 3. Rolled up and bound close with a string; as, collared beef. See To collar beef, under Collar, v. t.
collaret |A small collar; specif., a woman's collar of lace, fur, or other fancy material.
collarette |A small collar; specif., a woman's collar of lace, fur, or other fancy material.
collatable |Capable of being collated. Coleridge.
collate |1. To compare critically, as books or manuscripts, in order to note the points of agreement or disagreement. I must collage it, word, with the original Hebrew. Coleridge. 2. To gather and place in order, as the sheets of a book for binding. 3. (Eccl.)  To present and institute in a benefice, when the person presenting is both the patron and the ordinary; -- followed by to. 4. To bestow or confer. [Obs.] Jer. Taylor.\n\nTo place in a benefice, when the person placing is both the patron and the ordinary. If the bishop neglets to collate within six months, the right to do it devolves on the archbishop. Encyc. Brit.
collateral |1. Coming from, being on, or directed toward, the side; as, collateral pressure. \"Collateral light.\" Shak. 2. Acting in an indirect way. If by direct or by collateral hand They find us touched, we will our kingdom give . . . To you in satisfaction. Shak. 3. Related to, but not strictly a part of, the main thing or matter under consideration; hence, subordinate; not chief or principal; as, collateral interest; collateral issues. That he [Attebury] was altogether in the wrong on the main question, and on all the collateral questions springing out of it, . . . is true. Macaulay. 4. Tending toward the same conclusion or result as something else; additional; as, collateral evidence. Yet the attempt may give Collateral interest to this homely tale. Wordsworth. 5. (Genealogy)  Descending from the same stock or ancestor, but not in the same line or branch or one from the other; -- opposed to lineal. Note: Lineal descendants proceed one from another in a direct line; collateral relations spring from a common ancestor, but from different branches of that common stirps or stock. Thus the children of brothers are collateral relations, having different fathers, but a common grandfather. Blackstone. Collateral assurance, that which is made, over and above the deed itself. -- Collateral circulation (Med. & Physiol.), circulation established through indirect or subordinate branches when the supply through the main vessel is obstructed. -- Collateral issue. (Law) (a) An issue taken upon a matter aside from the merits of the case. (b) An issue raised by a criminal convict who pleads any matter allowed by law in bar of execution, as pardon, diversity of person, etc. (c) A point raised, on cross- examination, aside from the issue fixed by the pleadings, as to which the answer of the witness, when given, cannot subsequently be contradicted by the party asking the question. -- Collateral security, security for the performance of covenants, or the payment of money, besides the principal security,\n\n1. A collateral relative. Ayliffe. 2. Collateral security; that which is pledged or deposited as collateral security.
collaterally |1. Side by side; by the side. These pulleys . . . placed collaterally. Bp. Wilkins. 2. In an indirect or subordinate manner; indirectly. The will hath force upon the conscience collaterally and indirectly. Jer. Taylor. 3. In collateral relation; not lineally.
collateralness |The state of being collateral.
collation |1. The act of collating or comparing; a comparison of one copy er thing (as of a book, or manuscript) with another of a like kind; comparison, in general. Pope. 2. (Print.)  The gathering and examination of sheets preparatory to binding. 3. The act of conferring or bestowing. [Obs.] Not by the collation of the king . . . but by the people. Bacon. 4. A conference. [Obs.] Chaucer. 5. (Eccl. Law)  The presentation of a clergyman to a benefice by a bishop, who has it in his own gift. 6. (Law) (a) The act of comparing the copy of any paper with its original to ascertain its conformity. (b) The report of the act made by the proper officers. 7. (Scots Law)  The right which an heir has of throwing the whole heritable and movable estates of the deceased into one mass, and sharing it equaly with others who are of the same degree of kindred. Note: This also obtains in the civil law, and is found in the code of Louisiana. Bouvier. 8. (Eccles.)  A collection of the Lives of the Fathers or other devout work read daily in monasteries. 9. A light repast or luncheon; as, a cold collation; -- first applied to the refreshment on fast days that accompanied the reading of the collation in monasteries. A collation of wine and sweetmeats. Whiston. Collation of seals (Old Law), a method of ascertaining the genuineness of a seal by comparing it with another known to be genuine. Bouvier.\n\nTo partake of a collation. [Obs.] May 20, 1658, I . . . collationed in Spring Garden. Evelyn.
collationer |One who examines the sheets of a book that has just been printed, to ascertain whether they are correctly printed, paged, etc. [Eng.]
collatitious |Brought together; contributed; done by contributions. [Obs.] Bailey.
collative |Passing or held by collation; -- said of livings of which the bishop and the patron are the same person.
collator |1. One who collates manuscripts, books, etc. Addison. 2. (Eccl. Law)  One who collates to a benefice. 3. One who confers any benefit. [Obs.] Feltham.
collaud |To join in praising. [Obs.] Howell.
colleague |A partner or associate in some civil or ecclesiastical office or employment. It is never used of partners in trade or manufactures. Syn. -- Helper; assistant; coadjutor; ally; associate; companion; confederate.\n\nTo unite or associate with another or with others. [R.] Shak.
colleagueship |Partnership in office. Milton.
collect |1. To gather into one body or place; to assemble or bring together; to obtain by gathering. A band of men Collected choicely from each country. Shak. 'Tis memory alone that enriches the mind, by preserving what our labor and industry daily collect. Watts. 2. To demand and obtain payment of, as an account, or other indebtedness; as, to collect taxes. 3. To infer from observed facts; to conclude from premises. [Archaic.] Shak. Which sequence, I conceive, is very ill collected. Locke. To collect one's self, to recover from surprise, embarrassment, or fear; to regain self-control. Syn. -- To gather; assemble; congregate; muster; accumulate; garner; aggregate; amass; infer; deduce.\n\n1. To assemble together; as, the people collected in a crowd; to accumulate; as, snow collects in banks. 2. To infer; to conclude. [Archaic] Whence some collect that the former word imports a plurality of persons. South.\n\nA short, comprehensive prayer, adapted to a particular day, occasion, or condition, and forming part of a liturgy. The noble poem on the massacres of Piedmont is strictly a collect in verse. Macaulay.
collectanea |Passages selected from various authors, usually for purposes of instruction; miscellany; anthology.
collected |1. Gathered together. 2. Self-possessed; calm; composed.
collectedly |Composedly; coolly.
collectedness |A collected state of the mind; self-possession.
collectible |Capable of being collected.
collection |1. The act or process of collecting or of gathering; as, the collection of specimens. 2. That which is collected; as: (a) A gathering or assemblage of objects or of persons. \"A collection of letters.\" Macaulay. (b) A gathering of money for charitable or other purposes, as by passing a contribution box for freewill offerings. \"The collection for the saints.\" 1 Cor. xvi. 1 (c) (Usually in pl.) That which is obtained in payment of demands. (d) An accumulation of any substance. \"Collections of moisture.\" Whewell. \"A purulent collection.\" Dunglison. 3. The act of inferring or concluding from premises or observed facts; also, that which is inferred. [Obs.] We may safely say thus, that wrong collections have been hitherto made out of those words by modern divines. Milton. 4. The jurisdiction of a collector of excise. [Eng.] Syn. -- Gathering; assembly; assemblage; group; crowd; congregation; mass; heap; compilation.
collectional |Of or pertaining to collecting. The first twenty-five [years] must have been wasted for collectional purposes. H. A. Merewether.
collective |1. Formed by gathering or collecting; gathered into a mass, sum, or body; congregated or aggregated; as, the collective body of a nation. Bp. Hoadley. 2. Deducing consequences; reasoning; inferring. [Obs.] \"Critical and collective reason.\" Sir T. Browne. 3. (Gram.)  Expressing a collection or aggregate of individuals, by a singular form; as, a collective name or noun, like assembly, army, juri, etc. 4. Tending to collect; forming a collection. Local is his throne . . . to fix a point, A central point, collective of his sons. Young. 5. Having plurality of origin or authority; as, in diplomacy, a note signed by the representatives of several governments is called a collective note. Collective fruit (Bot.), that which is formed from a mass of flowers, as the mulberry, pineapple, and the like; -- called also multiple fruit. Gray.\n\nA collective noun or name.
collectively |In a mass, or body; in a collected state; in the aggregate; unitedly.
collectiveness |A state of union; mass.
collectivism |The doctrine that land and capital should be owned by society collectively or as a whole; communism. W. G. Summer.
collectivist |An advocate of collectivism. -- a.  Relating to, or characteristic of, collectivism.
collectivity |1. Quality or state of being collective. 2.  The collective sum. aggregate, or mass of anything; specif., the people as a body; the state. The proposition to give work by the collectivity is supposed to be in contravention of the sacred principle of monopolistic competition. W. D. Howells. 3.  (Polit. Econ.) Collectivism.
collector |1. One who collects things which are separate; esp., one who makes a business or practice of collecting works of art, objects in natural history, etc.; as, a collector of coins. I digress into Soho to explore a bookstall. Methinks I have been thirty years a collector. Lamb. 2. A compiler of books; one who collects scattered passages and puts them together in one book. Volumes without the collector's own reflections. Addison. 3. (Com.)  An officer appointed and commissioned to collect and receive customs, duties, taxes, or toll. A great part of this is now embezzled . . . by collectors, and other officers. Sir W. Temple. 4. One authorized to collect debts. 5. A bachelor of arts in Oxford, formerly appointed to superintend some scholastic proceedings in Lent. Todd.
collectorate |The district of a collector of customs; a collectorship.
collectorship |The office of a collector of customs or of taxes.
colleen |A girl; a maiden. [Anglo-Irish] Of all the colleens in the land Sweet Mollie is the daisy. The Century.
collegatary |A joint legatee.
college |1. A collection, body, or society of persons engaged in common pursuits, or having common duties and interests, and sometimes, by charter, peculiar rights and privileges; as, a college of heralds; a college of electors; a college of bishops. The college of the cardinals. Shak. Then they made colleges of sufferers; persons who, to secure their inheritance in the world to come, did cut off all their portion in this. Jer. Taylor. 2. A society of scholars or friends of learning, incorporated for study or instruction, esp. in the higher branches of knowledge; as, the colleges of Oxford and Cambridge Universities, and many American colleges. Note: In France and some other parts of continental Europe, college is used to include schools occupied with rudimentary studies, and receiving children as pupils. 3. A building, or number of buildings, used by a college. \"The gate of Trinity College.\" Macaulay. 4. Fig.: A community. [R.] Thick as the college of the bees in May. Dryden. College of justice, a term applied in Scotland to the supreme civil courts and their principal officers. -- The sacred college, the college or cardinals at Rome.
collegial |Collegiate. [R.]
collegian |A member of a college, particularly of a literary institution so called; a student in a college.
collegiate |Of or pertaining to a college; as, collegiate studies; a collegiate society. Johnson. Collegiate church. (a) A church which, although not a bishop's seat, resembles a cathedral in having a college, or chapter of canons (and, in the Church of England, a dean), as Westminster Abbey. (b) An association of churches, possessing common revenues and administered under the joint pastorate of several ministers; as, the Reformed (Dutch) Collegiate Church of New York.\n\nA member of a college. Burton.
collembola |The division of Thysanura which includes Podura, and allied forms.
collenchyma |A tissue of vegetable cells which are thickend at the angles and (usually) elongated.
collet |An inferior church servant. [Obs.] See Acolyte.\n\n1. A small collar or neckband. Foxe. 2. (Mech.)  A small metal ring; a small collar fastened on an arbor; as, the collet on the balance arbor of a watch; a small socket on a stem, for holding a drill. 3. (Jewelry) (a) The part of a ring containing the bezel in which the stone is set. (b) The flat table at the base of a brilliant. See Illust. of Brilliant. How full the collet with his jewel is! Cowley.
colleterial |Of or pertaining to the colleterium of insects. R. Owen.
colleterium |An organ of female insects, containing a cement to unite the ejected ova.
colletic |Agglutinant. -- n.  An agglutinant.
colley |See Collie.
collide |To strike or dash against each other; to come into collision; to clash; as, the vessels collided; their interests collided. Across this space the attraction urges them. They collide, they recoil, they oscillate. Tyndall. No longer rocking and swaying, but clashing and colliding. Carlyle.\n\nTo strike or dash against. [Obs.] Scintillations are . . . inflammable effluencies from the bodies collided. Sir T. Browne.
collidine |One of a class of organic bases, C8H11N, usually pungent oily liquids, belonging to the pyridine series, and obtained from bone oil, coal tar, naphtha, and certain alkaloids.
collie |The Scotch shepherd dog. There are two breeds, the rough-haired and smooth-haired. It is remarkable for its intelligence, displayed especially in caring for flocks. [Written also colly, colley.]
collied |Darkened. See Colly, v. t.
collier |1. One engaged in the business of digging mineral coal or making charcoal, or in transporting or dealing in coal. 2. A vessel employed in the coal trade.
colliery |1. The place where coal is dug; a coal mine, and the buildings, etc., belonging to it. 2. The coal trade. [Obs.] Johnson.
colliflower |See Cauliflower.
colligate |1. To tie or bind together. The pieces of isinglass are colligated in rows. Nicholson. 2. (Logic)  To bring together by colligation; to sum up in a single proposition. He had discovered and colligated a multitude of the most wonderful . . . phenomena. Tundall.\n\nBound together.
colligation |1. A binding together. Sir T. Browne. 2. (Logic)  That process by which a number of isolated facts are brought under one conception, or summed up in a general proposition, as when Kepler discovered that the various observed positions of the planet Mars were points in an ellipse. \"The colligation of facts.\" Whewell. Colligation is not always induction, but induction is always colligation. J. S. Mill.
collimate |To render parallel to a certain line or direction; to bring into the same line, as the axes of telescopes, etc.; to render parallel, as rays of light. Collimating eyepiece, an eyepiece with a diagonal reflector for illumination, used to determine the error of collimation in a transit instrument by observing the image of a cross wire reflected from mercury, and comparing its position in the field with that of the same wire seen directly. -- Collimating lens (Optics), a lens used for producing parallel rays of light.
collimation |The act of collimating; the adjustment of the line of the sights, as the axial line of the telescope of an instrument, into its proper position relative to the other parts of the instrument. Error of collimation, the deviation of the line collimation of an astronomical instrument from the position it ought to have with respect to the axis of motion of the instrument. -- Line of collimation, the axial line of the telescope of an astronomical or geodetic instrument, or the line which passes through the optical center of the object glass and the intersection of the cross wires at its focus.
collimator |1. (Astron.)  A telescope arranged and used to determine errors of collimation, both vertical and horizontal. Nichol. 2. (Optics)  A tube having a convex lens at one end and at the other a small opening or slit which is at the principal focus of the lens, used for producing a beam of parallel rays; also, a lens so used.
collin |A very pure form of gelatin.
colline |A small hill or mount. [Obs.] And watered park, full of fine collines and ponds. Evelyn.
collineation |The act of aiming at, or directing in a line with, a fixed object. [R.] Johnson.
colling |An embrace; dalliance. [Obs.] Halliwell.
collingly |With embraces. [Obs.] Gascoigne.
collingual |Having, or pertaining to, the same language.
colliquable |Liable to melt, grow soft, or become fluid. [Obs.] Harvey.
colliquament |The first rudiments of an embryo in generation. Dr. H. More.
colliquate |To change from solid to fluid; to make or become liquid; to melt. [Obs.] The ore of it is colliquated by the violence of the fire. Boyle. [Ice] will colliquate in water or warm oil. Sir T. Browne.
colliquation |1. A melting together; the act of melting; fusion. When sand and ashes are well melted together and suffered to cool, there is generated, by the colliquation, that sort of concretion we call \"glass\". Boyle. 2. (Med.)  A processive wasting or melting away of the solid parts of the animal system with copious excretions of liquids by one or more passages. [Obs.]
colliquative |Causing rapid waste or exhaustion; melting; as, collequative sweats.
colliquefaction |A melting together; the reduction of different bodies into one mass by fusion. The incorporation of metals by simple colliquefaction. Bacon.
collish |A tool to polish the edge of a sole. Knight.
collision |1. The act of striking together; a striking together, as of two hard bodies; a violent meeting, as of railroad trains; a clashing. 2. A state of opposition; antagonism; interference. The collision of contrary false principles. Bp. Warburton. Sensitive to the most trifling collisions. W. Irving. Syn. -- Conflict; clashing; encounter; opposition.
collisive |Colliding; clashing. [Obs.]
collitigant |Disputing or wrangling. [Obs.] -- n.  One who litigates or wrangles. [Obs.]
collocate |Set; placed. [Obs.] Bacon.\n\nTo set or place; to set; to station. To marshal and collocate in order his battalions. E. Hall.
collocation |The act of placing; the state of being placed with something else; disposition in place; arrangement. The choice and collocation of words. Sir W. Jones.
collocution |A speaking or conversing together; conference; mutual discourse. Bailey.
collocutor |One of the speakers in a dialogue. Derham.
collodion |A solution of pyroxylin (soluble gun cotton) in ether containing a varying proportion of alcohol. It is strongly adhesive, and is used by surgeons as a containing for wounds; but its chief application is as a vehicle for the sensitive film in photography. Collodion process (Photog.), a process in which a film of sensitized collodion is used in preparing the plate for taking a picture. -- Styptic collodion, collodion containing an astringent, as tannin.
collodionize |To prepare or treat with collodion. R. Hunt.
collodiotype |A picture obtained by the collodion process; a melanotype or ambrotype.
collodium |See Collodion.
collogue |To talk or confer secretly and confidentially; to converse, especially with evil intentions; to plot mischief. [Archaic or Colloq.] Pray go in; and, sister, salve the matter, Collogue with her again, and all shall be well. Greene. He had been colloguing with my wife. Thackeray.
colloid |Resembling glue or jelly; characterized by a jellylike appearance; gelatinous; as, colloid tumors.\n\n1. (Physiol. Chem.)  A substance (as albumin, gum, gelatin, etc.) which is of a gelatinous rather than a crystalline nature, and which diffuses itself through animal membranes or vegetable parchment more slowly than crystalloids do; -- opposed to crystalloid. 2. (Med.)  A gelatinous substance found in colloid degeneration and colloid cancer. Styptic colloid (Med.), a preparation of astringent and antiseptic substances with some colloid material, as collodion, for ready use.
colloidal |Pertaining to, or of the nature of, colloids.
colloidality |The state or quality of being colloidal.
collop |1. A small slice of meat; a piece of flesh. God knows thou art a collop of my flesh. Shak. Sweetbread and collops were with skewers pricked. Dryden. 2. A part or piece of anything; a portion. Cut two good collops out of the crown land. Fuller.
colloped |Having ridges or bunches of flesh, like collops. With that red, gaunt, and colloped neck astrain. R. Browning.
collophore |(a) A suckerlike organ at the base of the abdomen of insects belonging to the Collembola. (b) An adhesive marginal organ of the Lucernariae.
colloquial |Pertaining to, or used in, conversation, esp. common and familiar conversation; conversational; hence, unstudied; informal; as, colloquial intercourse; colloquial phrases; a colloquial style. -- Col*lo\"qui*al*ly, adv. His [Johnson's] colloquial talents were, indeed, of the highest order. Macaulay.
colloquialism |A colloquial expression, not employed in formal discourse or writing.
colloquialize |To make colloquial and familiar; as, to colloquialize one's style of writing.
colloquist |A speaker in a colloquy or dialogue. Malone.
colloquy |1. Mutual discourse of two or more persons; conference; conversation. They went to Worms, to the colloquy there about religion. A. Wood. 2. In some American colleges, a part in exhibitions, assigned for a certain scholarship rank; a designation of rank in collegiate scholarship.
collotype |A photomechanical print made directly from a hardened film of gelatin or other colloid; also, the process of making such prints. According to one method, the film is sensitized with potassium dichromate and exposed to light under a reversed negative. After the dichromate has been washed out, the film is soaked in glycerin and water. As this treatment causes swelling in those parts of the film which have been acted on by light, a plate results from which impressions can be taken with prepared ink. The albertype, phototype, and heliotype are collotypes.
collow |Soot; smut. See 1st Colly. [Obs.]
