theogonic |Of or relating to theogony.
therebiforn |Before that time; beforehand. [Obs.] Many a winter therebiforn. Chaucer.
thereby |1. By that; by that means; in consequence of that. Acquaint now thyself with him, and be at peace; thereby good shall come unto thee. Job xxii. 21. 2. Annexed to that. \"Thereby hangs a tale.\" Shak. 3. Thereabout; -- said of place, number, etc. Chaucer.
therefor |For that, or this; for it. With certain officers ordained therefore. Chaucer.
therefore |1. For that or this reason, referring to something previously stated; for that. I have married a wife, and therefore I can not come. Luke xiv. 20. Behold, we have forsaken all, and followed thee; what shall we have therefore Matt. xix. 27. 2. Consequently; by consequence. He blushes; therefore he is guilty. Spectator. Syn. -- See Then.
therefrom |From this or that. Turn not aside therefrom to the right hand or to the left. John. xxiii. 6.
therein |In that or this place, time, or thing; in that particular or respect. Wyclif. He pricketh through a fair forest, Therein is many a wild beast. Chaucer. Bring forth abundantly in the earth, and multiply therein. Gen. ix. 7. Therein our letters do not well agree. Shak.
thereinto |Into that or this, or into that place. Bacon. Let not them . . . enter thereinto. Luke xxi. 21.
thereof |Of that or this. In the day that thou eatest thereof, thou shalt surely die. Gen. ii. 17.
thereology |Therapeutios.
thereon |On that or this. Chaucer. Then the king said, Hang him thereon. Esther vii. 9.
thereout |1. Out of that or this. He shall take thereout his handful of the flour. Lev. ii. 2. 2. On the outside; out of doors. [Obs.] Chaucer.
thereto |1. To that or this. Chaucer. 2. Besides; moreover. [Obs.] Spenser. Her mouth full small, and thereto soft and red. Chaucer.
theretofore |Up to that time; before then; -- correlative with heretofore.
thereunder |Under that or this.
thereunto |Unto that or this; thereto; besides. Shak.
thereupon |1. Upon that or this; thereon. \"They shall feed thereupon.\" Zeph. ii. 7. 2. On account, or in consequence, of that; therefore. [He] hopes to find you forward, . . . And thereupon he sends you this good news. Shak. 3. Immediately; at once; without delay.
therewhile |At that time; at the same time. [Obs.] Laud.
therewith |1. With that or this. \"I have learned in whatsoever state I am, therewith to be content.\" Phil. iv. 11. 2. In addition; besides; moreover. To speak of strength and therewith hardiness. Chaucer. 3. At the same time; forthwith. [Obs.] Johnson.
therewithal |1. Over and above; besides; moreover. [Obs.] Daniel. And therewithal it was full poor and bad. Chaucer. 2. With that or this; therewith; at the same time. Thy slanders I forgive; and therewithal Remit thy other forfeits. Shak. And therewithal one came and seized on her, And Enid started waking. Tennyson.
therf |Not fermented; unleavened; -- said of bread, loaves, etc. [Obs.] Pask and the feast of therf loaves. Wyclif.
theriac |1. (Old Med.)  An ancient composition esteemed efficacious against the effects of poison; especially, a certain compound of sixty-four drugs, prepared, pulverized, and reduced by means of honey to an electuary; -- called also theriaca Andromachi, and Venice treacle. 2. Treacle; molasses. British Pharm.\n\nOf or pertaining to theriac; medicinal. \"Theriacal herbs.\" Bacon.
theriaca |1. (Old Med.)  An ancient composition esteemed efficacious against the effects of poison; especially, a certain compound of sixty-four drugs, prepared, pulverized, and reduced by means of honey to an electuary; -- called also theriaca Andromachi, and Venice treacle. 2. Treacle; molasses. British Pharm.
theriacal |Of or pertaining to theriac; medicinal. \"Theriacal herbs.\" Bacon.
therial |Theriac. [R.] Holland.
theriodont |One of the Theriodontia. Used also adjectively.
theriodonta |Same as Theriodontia.
theriodontia |An extinct order of reptiles found in the Permian and Triassic formations in South Africa. In some respects they resembled carnivorous mammals. Called also Theromorpha. Note: They had biconcave vertebræ, ambulatory limbs, and a well- developed pelvis and shoulder girdle. Some of the species had large maxillary teeth. The head somewhat resembled that of a turtle. The Dicynodont is one of the best-known examples. See Dicynodont.
theriotomy |Zoötomy.
thermae |Springs or baths of warm or hot water.
thermal |Of or pertaining to heat; warm; hot; as, the thermal unit; thermal waters. The thermal condition of the earth. J. D. Forbes. Thermal conductivity, Thermal spectrum. See under Conductivity, and Spectrum. -- Thermal unit (Physics), a unit chosen for the comparison or calculation of quantities of heat. The unit most commonly employed is the amount of heat necessary to raise the temperature of one gram or one pound of water from zero to one degree Centigrade. See Calorie, and under Unit.
thermally |In a thermal manner.
thermantidote |A device for circulating and cooling the air, consisting essentially of a kind of roasting fan fitted in a window and incased in wet tatties. [India] Will you bring me to book on the mountains, or where the thermantidotes play Kipling.
thermetograph |A self-registering thermometer, especially one that registers the maximum and minimum during long periods. Nichol.
thermic |Of or pertaining to heat; due to heat; thermal; as, thermic lines. Thermic balance. See Bolometer. -- Thermic fever (Med.), the condition of fever produced by sunstroke. See Sunstroke. -- Thermic weight. (Mech.) Same as Heat weight, under Heat.
thermidor |The eleventh month of the French republican calendar, -- commencing July 19, and ending August 17. See the Note under Vendémiaire.
thermifugine |An artificial alkaloid of complex composition, resembling thalline and used as an antipyretic, -- whence its name.
thermo- |A combining form from Gr. qe`rmh heat, qermo`s hot, warm; as in thermochemistry, thermodynamic.
thermoanaesthesia |Loss of power to distinguish heat or cold by touch.
thermoanesthesia |Loss of power to distinguish heat or cold by touch.
thermobarograph |An instrument for recording simultaneously the pressure and temperature of a gas; a combined thermograph and barograph.
thermobarometer |An instrument for determining altitudes by the boiling point of water.
thermobattery |A thermoelectric battery; a thermopile.
thermocautery |Cautery by the application of heat. Paquelin's thermocautery, thermocautery by means of a hollow platinum point, which is kept constantly hot by the passage through it of benzine vapor.
thermochemic |Of or pertaining to thermochemistry; obtained by, or employed in, thermochemistry.
thermochemical |Of or pertaining to thermochemistry; obtained by, or employed in, thermochemistry.
thermochemistry |That branch of chemical science which includes the investigation of the various relations existing between chemical action and that manifestation of force termed heat, or the determination of the heat evolved by, or employed in, chemical actions.
thermochroic |Pert. to or designating heat rays that have undergone selective absorption and are therefore analogous to colored light rays.
thermochrosy |The property possessed by heat of being composed, like light, of rays of different degrees of refrangibility, which are unequal in rate or degree of transmission through diathermic substances.
thermocouple |A thermoelectric couple.
thermocurrent |A current, as of electricity, developed, or set in motion, by the action of heat.
thermodin |A white crystalline substance derived from urethane, used in medicine as an antipyretic, etc.
thermodynamic |Relating to thermodynamics; caused or operated by force due to the application of heat. Thermodynamic function. See Heat weight, under Heat.
thermodynamics |The science which treats of the mechanical action or relations of heat.
thermoelectric |Pertaining to thermoelectricity; as, thermoelectric currents.
thermoelectric couple |A union of two conductors, as bars or wires of dissimilar metals joined at their extremities, for producing a thermoelectric current.
thermoelectric pair |A union of two conductors, as bars or wires of dissimilar metals joined at their extremities, for producing a thermoelectric current.
thermoelectricity |Electricity developed in the action of heat. See the Note under Electricity.
thermoelectrometer |An instrument for measuring the strength of an electric current in the heat which it produces, or for determining the heat developed by such a current.
thermogen |Caloric; heat; regarded as a material but imponderable substance.
thermogenic |Relating to heat, or to the production of heat; producing heat; thermogenous; as, the thermogenic tissues.
thermogenous |Producing heat; thermogenic.
thermogram |The trace or record made by means of a thermograph.
thermograph |An instrument for automatically recording indications of the variation of temperature.
thermography |Any process of writing involving the use of heat.
thermojunction |A junction of two dissimilar conductors used to produce a thermoelectric current, as in one form of pyrometer; a thermocouple.
thermology |A discourse on, or an account of, heat. Whewell.
thermoluminescence |Luminescence exhibited by a substance on being moderately heated. It is shown esp. by certain substances that have been exposed to the action of light or to the cathode rays. ---lu`mi*nes\"cent (#), a.
thermolysis |The resolution of a compound into parts by heat; dissociation by heat.
thermolytic |Of or pertaining to thermolysis.
thermolyze |To subject to thermolysis; to dissociate by heat.
thermomagnetism |Magnetism as affected or caused by the action of heat; the relation of heat to magnetism.
thermometer |An instrument for measuring temperature, founded on the principle that changes of temperature in bodies are accompained by proportional changes in their volumes or dimensions. Note: The thermometer usually consists of a glass tube of capillary bore, terminating in a bulb, and containing mercury or alcohol, which expanding or contracting according to the temperature to which it is exposed, indicates the degree of heat or cold by the amount of space occupied, as shown by the position of the top of the liquid column on a graduated scale. See Centigrade, Fahrenheit, and Réaumur. To reduce degrees Fahrenheit to degrees Centigrade, substract 32° and multiply by Air thermometer, Balance thermometer, etc. See under Air, Balance, etc. -- Metallic thermometer, a form of thermometer indicating changes of temperature by the expansion or contraction of rods or strips of metal. -- Register thermometer, or Self-registering thermometer, a thermometer that registers the maximum and minimum of temperature occurring in the interval of time between two consecutive settings of the instrument. A common form contains a bit of steel wire to be pushed before the column and left at the point of maximum temperature, or a slide of enamel, which is drawn back by the liquid, and left within it at the point of minimum temperature.
thermometric |1. Of or pertaining to a thermometer; as, the thermometrical scale or tube. 2. Made, or ascertained, by means of a thermometer; as, thermometrical observations.
thermometrical |1. Of or pertaining to a thermometer; as, the thermometrical scale or tube. 2. Made, or ascertained, by means of a thermometer; as, thermometrical observations.
thermometrically |In a thermometrical manner; by means of a thermometer.
thermometrograph |An instrument for recording graphically the variations of temperature, or the indications of a thermometer.
thermometry |The estimation of temperature by the use of a thermometric apparatus.
thermomotor |A heat engine; a hot-air engine.
thermomultiplier |Same as Thermopile.
thermoneurosis |(a) A neurosis caused by exposure to heat. (b) A neurosis causing rise or fall of a body's temperature.
thermoneutrality |Neutrality as regards heat effects.
thermophilic |Heat-loving; -- applied esp. to certain bacteria.
thermophone |1. A portable form of telethermometer, using a telephone in connection with a differential thermometer. 2.  A telephone involving heat effects, as changes in temperature (hence in length) due to pulsations of the line current in a fine wire connected with the receiver diaphragm.
thermophore |An apparatus for conveying heat, as a case containing material which retains its heat for a considerable period.
thermopile |An instrument of extreme sensibility, used to determine slight differences and degrees of heat. It is composed of alternate bars of antimony and bismuth, or any two metals having different capacities for the conduction of heat, connected with an astatic galvanometer, which is very sensibly affected by the electric current induced in the system of bars when exposed even to the feeblest degrees of heat.
thermoregulator |A device for the automatic regulation of temperature; a thermostat.
thermoscope |An instrument for indicating changes of temperature without indicating the degree of heat by which it is affected; especially, an instrument contrived by Count Rumford which, as modified by Professor Leslie, was afterward called the differential thermometer.
thermoscopic |Of or pertaining to the thermoscope; made by means of the thermoscope; as, thermoscopic observations.
thermosiphon |An arrangement of siphon tubes for assisting circulation in a liquid.
thermostable |Capable of being heated to or somewhat above 55º C. without loss of special properties; -- said of immune substances, etc.
thermostat |A self-acting apparatus for regulating temperature by the unequal expansion of different metals, liquids, or gases by heat, as in opening or closing the damper of a stove, or the like, as the heat becomes greater or less than is desired.
thermostatic |Of or pertaining to the thermostat; made or effected by means of the thermostat.
thermosystaltic |Influenced in its contraction by heat or cold; -- said of a muscle.
thermotactic |Of or retaining to thermotaxis.
thermotank |A tank containing pipes through which circulates steam, water, air, or the like, for heating or cooling; -- used in some heating and ventilation systems.
thermotaxic |Pertaining to, or connected with, the regulation of temperature in the animal body; as, the thermotaxic nervous system.
thermotaxis |(a) The property possessed by protoplasm of moving under the influence of heat. (b) Determination of the direction of locomotion by heat.
thermotensile |Pertaining to the variation of tensile strength with the temperature.
thermotension |A process of increasing the strength of wrought iron by heating it to a determinate temperature, and giving to it, while in that state, a mechanical strain or tension in the direction in which the strength is afterward to be exerted.
thermotherapy |Treatment of disease by heat, esp. by hot air.
thermotic |Of or pertaining to heat; produced by heat; as, thermotical phenomena. Whewell.
thermotical |Of or pertaining to heat; produced by heat; as, thermotical phenomena. Whewell.
thermotics |The science of heat. Whewell.
thermotonus |A condition of tonicity with respect to temperature.
thermotropic |Manifesting thermotropism.
thermotropism |The phenomenon of turning towards a source of warmth, seen in the growing parts of some plants.
thermotype |A picture (as of a slice of wood) obtained by first wetting the object slightly with hydrochloric or dilute sulphuric acid, then taking an impression with a press, and next strongly heating this impression.
thermotypy |The art or process of obtaining thermotypes.
thermovoltaic |Of or relating to heat and electricity; especially, relating to thermal effects produced by voltaic action. Faraday.
theroid |Resembling a beast in nature or habit; marked by animal characteristics; as, theroid idiocy.
theromorpha |See Theriodonta.
theropoda |An order of carnivorous dinosaurs in which the feet are less birdlike, and hence more like those of an ordinary quadruped, than in the Ornithopoda. It includes the repacious genera Megalosaurus, Creosaurus, and their allies.
thesaurus |A treasury or storehouse; hence, a repository, especially of knowledge; -- often applied to a comprehensive work, like a dictionary or cyclopedia.
these |The plural of this. See This.
thesicle |A little or subordinate thesis; a proposition.
thesis |1. A position or proposition which a person advances and offers to maintain, or which is actually maintained by argument. 2. Hence, an essay or dissertation written upon specific or definite theme; especially, an essay presented by a candidate for a diploma or degree. I told them of the grave, becoming, and sublime deportment they should assume upon this mystical occasion, and read them two homilies and a thesis of my own composing, to prepare them. Goldsmith. 3. (Logic)  An affirmation, or distinction from a supposition or hypothesis. 4. (Mus.)  The accented part of the measure, expressed by the downward beat; -- the opposite of arsis. 5. (Pros.) (a) The depression of the voice in pronouncing the syllables of a word. (b) The part of the foot upon which such a depression falls.
thesmothete |A lawgiver; a legislator; one of the six junior archons at Athens.
thespian |Of or pertaining to Thespis; hence, relating to the drama; dramatic; as, the Thespian art. -- n.  An actor.
thessalian |Of or pertaining to Thessaly in Greece. Shak. -- n.  A native or inhabitant of Thessaly.
thessalonian |Of or pertaining to Thessalonica, a city of Macedonia. -- n.  A native or inhabitant of Thessalonica.
theta |A letter of the Greek alphabet corresponding to th in English; -- sometimes called the unlucky letter, from being used by the judges on their ballots in passing condemnation on a prisoner, it being the first letter of the Greek qa`natos, death. Theta function (Math.), one of a group of functions used in developing the properties of elliptic functions.
thetical |Laid down; absolute or positive, as a law. Dr. H. More.
thetine |Any one of a series of complex basic sulphur compounds analogous to the sulphines.
theurgic |Of or pertaining to theurgy; magical. Theurgic hymns, songs of incantation.
theurgical |Of or pertaining to theurgy; magical. Theurgic hymns, songs of incantation.
theurgist |One who pretends to, or is addicted to, theurgy. Hallywell.
theurgy |1. A divine work; a miracle; hence, magic; sorcery. 2. A kind of magical science or art developed in Alexandria among the Neoplatonists, and supposed to enable man to influence the will of the gods by means of purification and other sacramental rites. Schaff-Herzog Encyc. 3. In later or modern magic, that species of magic in which effects are claimed to be produced by supernatural agency, in distinction from natural magic.
thew |1. Manner; custom; habit; form of behavior; qualities of mind; disposition; specifically, good qualities; virtues. [Obs.] For her great light Of sapience, and for her thews clear. Chaucer. Evil speeches destroy good thews. Wyclif (1 Cor. xv. 33). To be upbrought in gentle thews and martial might. Spenser. 2. Muscle or strength; nerve; brawn; sinew. Shak. And I myself, who sat apart And watched them, waxed in every limb; I felt the thews of Anakim, The pules of a Titan's heart. Tennyson.
thewed |1. Furnished with thews or muscles; as, a well-thewed limb. 2. Accustomed; mannered. [Obs.] John Skelton. Yet would not seem so rude and thewed ill. Spenser.
thewy |Having strong or large thews or muscles; muscular; sinewy; strong.
they |The plural of he, she, or it. They is never used adjectively, but always as a pronoun proper, and sometimes refers to persons without an antecedent expressed. Jolif and glad they went unto here [their] rest And casten hem [them] full early for to sail. Chaucer. They of Italy salute you. Heb. xiii. 24. Blessed are they which do hunger and thirst after righteousness. Matt. v. 6. Note: They is used indefinitely, as our ancestors used man, and as the French use on; as, they say (French on dit), that is, it is said by persons not specified.
thialdine |A weak nitrogenous sulphur base, C6H13NS2.
thialol |A colorless oily liquid, (C2H5)2S2, having a strong garlic odor; -- called also ethyl disulphide. By extension, any one of the series of related compounds.
thibet cloth |(a) A fabric made of coarse goat's hair; a kind of camlet. (b) A kind of fine woolen cloth, used for dresses, cloaks, etc.
thibetan |Of or pertaining to Thibet. -- n.  A native or inhabitant of Thibet.
thibetian |Same as Thibetan.
thible |A slice; a skimmer; a spatula; a pudding stick. [Obs. or Prov. Eng.] Ainsworth.
thick |1. Measuring in the third dimension other than length and breadth, or in general dimension other than length; -- said of a solid body; as, a timber seven inches thick. Were it as thick as is a branched oak. Chaucer. My little finger shall be thicker than my father's loins. 1 Kings xii. 10. 2. Having more depth or extent from one surface to its opposite than usual; not thin or slender; as, a thick plank; thick cloth; thick paper; thick neck. 3. Dense; not thin; inspissated; as, thick vapors. Also used figuratively; as, thick darkness. Make the gruel thick and slab. Shak. 4. Not transparent or clear; hence, turbid, muddy, or misty; as, the water of a river is apt to be thick after a rain. \"In a thick, misty day.\" Sir W. Scott. 5. Abundant, close, or crowded in space; closely set; following in quick succession; frequently recurring. The people were gathered thick together. Luke xi. 29. Black was the forest; thick with beech it stood. Dryden. 6. Not having due distinction of syllables, or good articulation; indistinct; as, a thick utterance. 7. Deep; profound; as, thick sleep. [R.] Shak. 8. Dull; not quick; as, thick of fearing. Shak. His dimensions to any thick sight were invincible. Shak. 9. Intimate; very friendly; familiar. [Colloq.] We have been thick ever since. T. Hughes. Note: Thick is often used in the formation of compounds, most of which are self-explaining; as, thick-barred, thick-bodied, thick- coming, thick-cut, thick-flying, thick-growing, thick-leaved, thick- lipped, thick-necked, thick-planted, thick-ribbed, thick-shelled, thick-woven, and the like. Thick register. (Phon.) See the Note under Register, n., 7. -- Thick stuff (Naut.), all plank that is more than four inches thick and less than twelve. J. Knowles. Syn. -- Dense; close; compact; solid; gross; coarse.\n\n1. The thickest part, or the time when anything is thickest. In the thick of the dust and smoke. Knolles. 2. A thicket; as, gloomy thicks. [Obs.] Drayton. Through the thick they heard one rudely rush. Spenser. He through a little window cast his sight Through thick of bars, that gave a scanty light. Dryden. Thick-and-thin block (Naut.), a fiddle block. See under Fiddle. -- Through thick and thin, through all obstacles and difficulties, both great and small. Through thick and thin she followed him. Hudibras. He became the panegyrist, through thick and thin, of a military frenzy. Coleridge.\n\n1. Frequently; fast; quick. 2. Closely; as, a plat of ground thick sown. 3. To a great depth, or to a greater depth than usual; as, land covered thick with manure. Thick and threefold, in quick succession, or in great numbers. [Obs.] L'Estrange.\n\nTo thicken. [R.] The nightmare Life-in-death was she, Who thicks man's blood with cold. Coleridge.
thick wind |A defect of respiration in a horse, that is unassociated with noise in breathing or with the signs of emphysema.
thick-headed |Having a thick skull; stupid.
thick-knee |A stone curlew. See under Stone.
thick-skinned |Having a thick skin; hence, not sensitive; dull; obtuse. Holland.
thick-skulled |Having a thick skull; hence, dull; heavy; stupid; slow to learn.
thick-winded |Affected with thick wind.
thickbill |The bullfinch. [Prov. Eng.]
