mistrustless |Having no mistrust or suspicion. The swain mistrustless of his smutted face. Goldsmith.
moan |1. To make a low prolonged sound of grief or pain, whether articulate or not; to groan softly and continuously. Unpitied and unheard, where misery moans. Thomson. Let there bechance him pitiful mischances, To make him moan. Shak. 2. To emit a sound like moan; -- said of things inanimate; as, the wind moans.\n\n1. To bewail audibly; to lament. Ye floods, ye woods, ye echoes, moan My dear Columbo, dead and gone. Prior. 2. To afflict; to distress. [Obs.] Which infinitely moans me. Beau. & Fl.\n\n1. A low prolonged sound, articulate or not, indicative of pain or of grief; a low groan. Sullen moans, hollow groans. Pope. 2. A low mournful or murmuring sound; -- of things. Rippling waters made a pleasant moan. Byron.
moanful |Full of moaning; expressing sorrow. -- Moan\"ful*ly, adv.
moat |A deep trench around the rampart of a castle or other fortified place, sometimes filled with water; a ditch.\n\nTo surround with a moat. Dryden.
moate |To void the excrement, as a bird; to mute. [Obs.]
mob |A mobcap. Goldsmith.\n\nTo wrap up in, or cover with, a cowl. [R.]\n\n1. The lower classes of a community; the populace, or the lowest part of it. A cluster of mob were making themselves merry with their betters. Addison. 2. Hence: A throgn; a rabble; esp., an unlawful or riotous assembly; a disorderly crowd. The mob of gentlemen who wrote with ease. Pope. Had every Athenian citizen been a Socrates, every Athenian assembly would still have been a mob. Madison. Confused by brainless mobs. Tennyson. Mob law, law administered by the mob; lynch law. -- Swell mob, well dressed thieves and swindlers, regarded collectively. [Slang] Dickens.\n\nTo crowd about, as a mob, and attack or annoy; as, to mob a house or a person.
mobbish |Like a mob; tumultuous; lawless; as, a mobbish act. Bp. Kent.
mobcap |A plain cap or headdress for women or girls; especially, one tying under the chin by a very broad band, generally of the same material as the cap itself. Thackeray.
mobile |1. Capable of being moved; not fixed in place or condition; movable. \"Fixed or else mobile.\" Skelton. 2. Characterized by an extreme degree of fluidity; moving or flowing with great freedom; as, benzine and mercury are mobile liquids; -- opposed to viscous, viscoidal, or oily. 3. Easily moved in feeling, purpose, or direction; excitable; changeable; fickle. Testament of Love. The quick and mobile curiosity of her disposition. Hawthorne. 4. Changing in appearance and expression under the influence of the mind; as, mobile features. 5. (Physiol.)  Capable of being moved, aroused, or excited; capable of spontaneous movement.\n\nThe mob; the populace. [Obs.] \"The unthinking mobile.\" South.
mobility |1. The quality or state of being mobile; as, the mobility of a liquid, of an army, of the populace, of features, of a muscle. Sir T. Browne. 2. The mob; the lower classes. [Humorous] Dryden.
mobilization |The act of mobilizing.
mobilize |To put in a state of readiness for active service in war, as an army corps.
moble |To wrap the head of in a hood. [Obs.] Shak.
mobles |See Moebles. [Obs.]
mobocracy |A condition in which the lower classes of a nation control public affairs without respect to law, precedents, or vested rights. It is good name that Dr. Stevens has given to our present situation (for one can not call it a government), a mobocracy. Walpole.
mobocrat |One who favors a form of government in which the unintelligent populace rules without restraint. Bayne.
mobocratic |Of, or relating to, a mobocracy.
moccasin |1. A shoe made of deerskin, or other soft leather, the sole and upper part being one piece. It is the customary shoe worn by the American Indians. 2. (Zoöl.)  A poisonous snake of the Southern United States. The water moccasin (Ancistrodon piscivorus) is usually found in or near water. Above, it is olive brown, barred with black; beneath, it is brownish yellow, mottled with darker. The upland moccasin is Ancistrodon atrofuscus. They resemble rattlesnakes, but are without rattles. Moccasin flower (Bot.), a species of lady's slipper (Cypripedium acaule) found in North America. The lower petal is two inches long, and forms a rose-colored moccasin-shaped pouch. It grows in rich woods under coniferous trees.
moccasined |Covered with, or wearing, a moccasin or moccasins. \"Moccasined feet.\" Harper's Mag.
mocha |1. A seaport town of Arabia, on the Red Sea. 2. A variety of coffee brought from Mocha. 3. An Abyssinian weight, equivalent to a Troy grain. Mocha stone (Min.), moss agate.
moche |A bale of raw silk.\n\nMuch. [Obs.] Chaucer.
mochel |Much. [Obs.] Chaucer.
mochila |A large leather flap which covers the saddletree. [Western U.S.]
mock |1. To imitate; to mimic; esp., to mimic in sport, contempt, or derision; to deride by mimicry. To see the life as lively mocked as ever Still sleep mocked death. Shak. Mocking marriage with a dame of France. Shak. 2. To treat with scorn or contempt; to deride. Elijah mocked them, and said, Cry aloud. 1 Kings xviii. 27. Let not ambition mock their useful toil. Gray. 3. To disappoint the hopes of; to deceive; to tantalize; as, to mock expectation. Thou hast mocked me, and told me lies. Judg. xvi. 13. He will not ... Mock us with his blest sight, then snatch him hence. Milton. Syn. -- To deride; ridicule; taunt; jeer; tantalize; disappoint. See Deride.\n\nTo make sport contempt or in jest; to speak in a scornful or jeering manner. When thou mockest, shall no man make thee ashamed Job xi. 3. She had mocked at his proposal. Froude.\n\n1. An act of ridicule or derision; a scornful or contemptuous act or speech; a sneer; a jibe; a jeer. Fools make a mock at sin. Prov. xiv. 9. 2. Imitation; mimicry. [R.] Crashaw.\n\nImitating reality, but not real; false; counterfeit; assumed; sham. That superior greatness and mock majesty. Spectator. Mock bishop's weed (Bot.), a genus of slender umbelliferous herbs (Discopleura) growing in wet places. -- Mock heroic, burlesquing the heroic; as, a mock heroic poem. -- Mock lead. See Blende (a). -- Mock nightingale (Zoöl.), the European blackcap. -- Mock orange (Bot.), a genus of American and Asiatic shrubs (Philadelphus), with showy white flowers in panicled cymes. P. coronarius, from Asia, has fragrant flowers; the American kinds are nearly scentless. -- Mock sun. See Parhelion. -- Mock turtle soup, a soup made of calf's head, veal, or other meat, and condiments, in imitation of green turtle soup. -- Mock velvet, a fabric made in imitation of velvet. See Mockado.
mockable |Such as can be mocked. Shak.
mockado |A stuff made in imitation of velvet; -- probably the same as mock velvet. [Obs.] Our rich mockado doublet. Ford.
mockadour |See Mokadour. [Obs.]
mockage |Mockery. [Obs.] Fuller.
mockbird |The European sedge warbler (Acrocephalus phragmitis).
mocker |1. One who, or that which, mocks; a scorner; a scoffer; a derider. 2. A deceiver; an impostor. 3. (Zoöl.)  A mocking bird. Mocker nut (Bot.), a kind of hickory (Carya tomentosa) and its fruit, which is far inferior to the true shagbark hickory nut.
mockery |1. The act of mocking, deriding, and exposing to contempt, by mimicry, by insincere imitation, or by a false show of earnestness; a counterfeit appearance. It is, as the air, invulnerable, And our vain blows malicious mockery. Shak. Grace at meals is now generally so performed as to look more like a mockery upon devotion than any solemn application of the mind to God. Law. And bear about the mockery of woe. Pope. 2. Insulting or contemptuous action or speech; contemptuous merriment; derision; ridicule. The laughingstock of fortune's mockeries. Spenser. 3. Subject of laughter, derision, or sport. The cruel handling of the city whereof they made a mockery. 2 Macc. viii. 17.
mocking |Imitating, esp. in derision, or so as to cause derision; mimicking; derisive. Mocking bird (Zoöl.), a North American singing bird (Mimus polyglottos), remarkable for its exact imitations of the notes of other birds. Its back is gray; the tail and wings are blackish, with a white patch on each wing; the outer tail feathers are partly white. The name is also applied to other species of the same genus, found in Mexico, Central America, and the West Indies. -- Mocking thrush (Zoöl.), any species of the genus Harporhynchus, as the brown thrush (H. rufus). -- Mocking wren (Zoöl.), any American wren of the genus Thryothorus, esp. T. Ludovicianus.
mockingly |By way of derision; in a contemptuous or mocking manner.
mockingstock |A butt of sport; an object of derision. [R.]
mockish |Mock; counterfeit; sham. [Obs.]
mockle |See Mickle.
moco |A South American rodent (Cavia rupestris), allied to the Guinea pig, but larger; -- called also rock cavy.
modal |1. Of or pertaining to a mode or mood; consisting in mode or form only; relating to form; having the form without the essence or reality. Glanvill. 2. (Logic & Metaph.)  Indicating, or pertaining to, some mode of conceiving existence, or of expressing thought.
modalist |One who regards Father, Son, and Spirit as modes of being, and not as persons, thus denying personal distinction in the Trinity. Eadie.
modality |1. The quality or state of being modal. 2. (Logic & Metaph.)  A modal relation or quality; a mode or point of view under which an object presents itself to the mind. According to Kant, the quality of propositions, as assertory, problematical, or apodeictic.
modally |In a modal manner. A compound proposition, the parts of which are united modally ... by the particles \"as\" and \"so.\" Gibbs.
mode |1. Manner of doing or being; method; form; fashion; custom; way; style; as, the mode of speaking; the mode of dressing. The duty of itself being resolved on, the mode of doing it may easily be found. Jer. Taylor. A table richly spread in regal mode. Milton. 2. Prevailing popular custom; fashion, especially in the phrase the mode. The easy, apathetic graces of a man of the mode. Macaulay. 3. Variety; gradation; degree. Pope. 4. (Metaph.)  Any combination of qualities or relations, considered apart from the substance to which they belong, and treated as entities; more generally, condition, or state of being; manner or form of arrangement or manifestation; form, as opposed to matter. Modes I call such complex ideas, which, however compounded, contain not in them the supposition of subsisting by themselves, but are considered as dependencies on, or affections of, substances. Locke. 5. (Logic)  The form in which the proposition connects the predicate and subject, whether by simple, contingent, or necessary assertion; the form of the syllogism, as determined by the quantity and quality of the constituent proposition; mood. 6. (Gram.)  Same as Mood. 7. (Mus.)  The scale as affected by the various positions in it of the minor intervals; as, the Dorian mode, the Ionic mode, etc., of ancient Greek music. Note: In modern music, only the major and the minor mode, of whatever key, are recognized. 8. A kind of silk. See Alamode, n. Syn. -- Method; manner. See Method.
model |1. A miniature representation of a thing, with the several parts in due proportion; sometimes, a facsimile of the same size. In charts, in maps, and eke in models made. Gascoigne. I had my father's signet in my purse, Which was the model of that Danish seal. Shak. You have the models of several ancient temples, though the temples and the gods are perished. Addison. 2. Something intended to serve, or that may serve, as a pattern of something to be made; a material representation or embodiment of an ideal; sometimes, a drawing; a plan; as, the clay model of a sculpture; the inventor's model of a machine. [The application for a patent] must be accompanied by a full description of the invention, with drawings and a model where the case admits of it. Am. Cyc. When we mean to build We first survey the plot, then draw the model. Shak. 3. Anything which serves, or may serve, as an example for imitation; as, a government formed on the model of the American constitution; a model of eloquence, virtue, or behavior. 4. That by which a thing is to be measured; standard. He that despairs measures Providence by his own little, contracted model. South. 5. Any copy, or resemblance, more or less exact. Thou seest thy wretched brother die, Who was the model of thy father's life. Shak. 6. A person who poses as a pattern to an artist. A professional model. H. James. Working model, a model of a machine which can do on a small scale the work which the machine itself does, or expected to do.\n\nSuitable to be taken as a model or pattern; as, a model house; a model husband.\n\nTo plan or form after a pattern; to form in model; to form a model or pattern for; to shape; to mold; to fashion; as, to model a house or a government; to model an edifice according to the plan delineated.\n\nTo make a copy or a pattern; to design or imitate forms; as, to model in wax.
modeler |One who models; hence, a worker in plastic art. [Written also modeller.]
modeling |The act or art of making a model from which a work of art is to be executed; the formation of a work of art from some plastic material. Also, in painting, drawing, etc., the expression or indication of solid form. [Written also modelling.] Modeling plane, a small plane for planing rounded objects. -- Modeling wax, beeswax melted with a little Venice turpentine, or other resinous material, and tinted with coloring matter, usually red, -- used in modeling.
modelize |To model. [Obs.] B. Jonson.
modena |A certain crimsonlike color. Good.
modenese |Of or pertaining to Modena or its inhabitants. -- n. sing. & pl.  A native or inhabitant of Modena; the people of Modena.
moder |1. A mother. [Obs.] Chaucer. 2. The principal piece of an astrolabe, into which the others are fixed. [Obs.]\n\nTo moderate. [Obs.]
moderable |Modeate; temperate. [Obs.]
moderance |Moderation. [Obs.] Caxton.
moderate |Kept within due bounds; observing reasonable limits; not excessive, extreme, violent, or rigorous; limited; restrained; as: (a) Limited in quantity; sparing; temperate; frugal; as, moderate in eating or drinking; a moderate table. (b) Limited in degree of activity, energy, or excitement; reasonable; calm; slow; as, moderate language; moderate endeavors. (c) Not extreme in opinion, in partisanship, and the like; as, a moderate Calvinist. A number of moderate members managed ... to obtain a majority in a thin house. Swift. (d) Not violent or rigorous; temperate; mild; gentle; as, a moderate winter. \"Moderate showers.\" Walter. (e) Limited as to degree of progress; as, to travel at moderate speed. (f) Limited as to the degree in which a quality, principle, or faculty appears; as, an infusion of moderate strength; a man of moderate abilities. (g) Limited in scope or effects; as, a reformation of a moderate kind. Hooker.\n\nOne of a party in the Church of Scotland in the 18th century, and part of the 19th, professing moderation in matters of church government, in discipline, and in doctrine.\n\n1. To restrain from excess of any kind; to reduce from a state of violence, intensity, or excess; to keep within bounds; to make temperate; to lessen; to allay; to repress; to temper; to qualify; as, to moderate rage, action, desires, etc.; to moderate heat or wind. By its astringent quality, it moderates the relaxing quality of warm water. Arbuthnot. To moderate stiff minds disposed to strive. Spenser. 2. To preside over, direct, or regulate, as a public meeting; as, to moderate a synod.\n\n1. To become less violent, severe, rigorous, or intense; as, the wind has moderated. 2. To preside as a moderator. Dr. Barlow [was] engaged ... to moderate for him in the divinity disputation. Bp. Barlow's Remains (1693).
moderately |In a moderate manner or degree; to a moderate extent. Each nymph but moderately fair. Waller.
moderateness |The quality or state of being moderate; temperateness; moderation.
moderation |1. The act of moderating, or of imposing due restraint. 2. The state or quality of being mmoderate. In moderation placing all my glory, While Tories call me Whig, and Whigs a Tory. Pope. 3. Calmness of mind; equanimity; as, to bear adversity with moderation. The calm and judicious moderation of Orange. Motley. 4. pl.  The first public examinations for degrees at the University of Oxford; -- usually contracted to mods.
moderatism |Moderation in doctrines or opinion, especially in politics or religion.
moderato |With a moderate degree of quickness; moderately. Allegro moderato, a little slower than allegro. -- Andante moderato, a little faster than andante.
moderator |1. One who, or that which, moderates, restrains, or pacifies. Sir W. Raleigh. Angling was ... a moderator of passions. Walton. 2. The officer who presides over an assembly to preserve order, propose questions, regulate the proceedings, and declare the votes. 3. In the University of Oxford, an examiner for moderations; at Cambridge, the superintendant of examinations for degrees; at Dublin, either the first (senior) or second (junior) in rank in an examination for the degree of Bachelor of Arts. 4. A mechamical arrangement for regulating motion in a machine, or producing equality of effect.
moderatorship |The office of a moderator.
moderatress |A female moderator. Fuller.
moderatrix |A female moderator.
modern |1. Of or pertaining to the present time, or time not long past; late; not ancient or remote in past time; of recent period; as, modern days, ages, or time; modern authors; modern fashions; modern taste; modern practice. Bacon. 2. New and common; trite; commonplace. [Obs.] We have our philosophical persons, to make modern and familiar, things supernatural and causeless. Shak. Modern English. See the Note under English.\n\nA person of modern times; -- opposed to ancient. Pope.
modernism |Modern practice; a thing of recent date; esp., a modern usage or mode of expression.
modernist |One who admires the moderns, or their ways and fashions.
modernity |Modernness; something modern. Walpole.
modernization |The act of rendering modern in style; the act or process of causing to conform to modern of thinking or acting.
modernize |To render modern; to adapt to modern person or things; to cause to conform to recent or present usage or taste. Percy.
modernizer |One who modernizes.
modernly |In modern times. Milton.
modernness |The quality or state of being modern; recentness; novelty. M. Arnold.
