kakistocracy |Government by the worst men.
kamptulicon |A kind of elastic floor cloth, made of India rubber, gutta- percha, linseed oil, and powdered cork.
kampylite |A variety of mimetite or arseniate of lead in hexagonal prisms of a fine orange yellow. [Written also campylite.]
kamsin |A hot southwesterly wind in Egypt, coming from the Sahara. [Written also Khamseen.]
kamtschadales |An aboriginal tribe inhabiting the southern part of Kamtschatka.
kan |To know; to ken. [Obs.] See Ken.\n\nSee Khan.
kanacka |A native of the Sandwich Islands.
kanaka |A native of the Sandwich Islands.
kanchil |A small chevrotain of the genus Tragulus, esp. T. pygmæus, or T. kanchil, inhabiting Java, Sumatra, and adjacent islands; a deerlet. It is noted for its agility and cunning.
kand |Fluor spar; -- so called by Cornish miners.
kangaroo |Any one of numerous species of jumping marsupials of the family Macropodidæ. They inhabit Australia, New Guinea, and adjacent islands, They have long and strong hind legs and a large tail, while the fore legs are comparatively short and feeble. The giant kangaroo (Macropus major) is the largest species, sometimes becoming twelve or fourteen feet in total length. The tree kangaroos, belonging to the genus Dendrolagus, live in trees; the rock kangaroos, of the genus Petrogale, inhabit rocky situations; and the brush kangaroos, of the genus Halmaturus, inhabit wooded districts. See Wallaby. Kangaroo apple (Bot.), the edible fruit of the Tasmanian plant Solanum aviculare. -- Kangaroo grass (Bot.), a perennial Australian forage grass (Anthistiria australis). -- Kangaroo hare (Zoöl.), the jerboa kangaroo. See under Jerboa. -- Kangaroo mouse. (Zoöl.) See Jumping mouse, under Jumping. -- Kangaroo rat (Zoöl.), the potoroo.
kansas |A tribe of Indians allied to the Winnebagoes and Osages. They formerly inhabited the region which is now the State of Kansas, but were removed to the Indian Territory.
kantian |Of or pertaining to Immanuel Kant, the German philosopher; conformed or relating to any or all of the philosophical doctrines of Immanuel Kant.\n\nA follower of Kant; a Kantist.
kantianism |The doctrine or theory of Kant; the Kantian philosophy.
kantism |The doctrine or theory of Kant; the Kantian philosophy.
kantist |A disciple or follower of Kant.
kanttry |Same as Cantred.
kaolin |A very pure white clay, ordinarily in the form of an impalpable powder, and used to form the paste of porcelain; China clay; porcelain clay. It is chiefly derived from the decomposition of common feldspar. Note: The name is now applied to all porcelain clays which endure the fire without discoloration.
kaoline |A very pure white clay, ordinarily in the form of an impalpable powder, and used to form the paste of porcelain; China clay; porcelain clay. It is chiefly derived from the decomposition of common feldspar. Note: The name is now applied to all porcelain clays which endure the fire without discoloration.
kaolinization |The process by which feldspar is changed into kaolin.
kaolinize |To convert into kaolin.
kapelle |A chapel; hence, the choir or orchestra of a prince's chapel; now, a musical establishment, usually orchestral. Grove.
kapellmeister |See Capellmeister.
kapia |The fossil resin of the kauri tree of New Zealand.
kapnomar |) See Capnomor.
kapok |A silky wool derived from the seeds of Ceiba pentandra (syn. Eriodendron anfractuosum), a bombaceous tree of the East and West Indies.
karagane |A species of gray fox found in Russia.
karaism |Doctrines of the Karaites.
karaite |A sect of Jews who adhere closely to the letter of the Scriptures, rejecting the oral law, and allowing the Talmud no binding authority; -- opposed to the Rabbinists.
karakul |Astrakhan, esp. in fine grades. Cf. Caracul.
karatas |A West Indian plant of the Pineapple family (Nidularium Karatas).
karma |One's acts considered as fixing one's lot in the future existence. (Theos.) The doctrine of fate as the inflexible result of cause and effect; the theory of inevitable consequence.
karmathian |One of a Mohammedan sect founded in the ninth century by Karmat.
karn |A pile of rocks; sometimes, the solid rock. See Cairn.
karob |The twenty-fourth part of a grain; -- a weight used by goldsmiths. Crabb.
kaross |A native garment or rug of skin sewed together in the form of a square. [South Africa] The wants of a native . . . are confined to a kaross (skin cloak) or some pieces of cotton cloth. James Bryce.
karpholite |A fibrous mineral occurring in tufts of a straw-yellow color. It is a hydrous silicate of alumina and manganese.
karroo |One of the dry table-lands of South Africa, which often rise terracelike to considerable elevations. [Also karoo.] The Great Karroo, or The Karroo, a vast plateau, in Cape Colony, stretching through five degrees of longitude, at an elevation of about 3,000 feet.
karstenite |Same as Anhydrite.
karvel |See Carvel, and Caravel.
karyokinesis |The indirect division of cells in which, prior to division of the cell protoplasm, complicated changes take place in the nucleus, attended with movement of the nuclear fibrils; -- opposed to karyostenosis. The nucleus becomes enlarged and convoluted, and finally the threads are separated into two groups which ultimately become disconnected and constitute the daughter nuclei. Called also mitosis. See Cell development, under Cell.
karyokinetic |Of or pertaining to karyokinesis; as, karyokinetic changes of cell division.
karyomiton |The reticular network of fine fibers, of which the nucleus of a cell is in part composed; -- in opposition to kytomiton, or the network in the body of the cell. W. Flemming.
karyoplasma |The protoplasmic substance of the nucleus of a cell: nucleoplasm; -- in opposition to kytoplasma, the protoplasm of the cell.
karyostenosis |Direct cell division (in which there is first a simple division of the nucleus, without any changes in its structure, followed by division of the protoplasm of the karyostenotic mode of nuclear division.
karyostenotic |Pertaining to, or connected with, karyostenosis; as, the karyostenotic mode of nuclear division.
kasack |Same as Cossack.
kat |An Arabian shrub Catha edulis) the leaves of which are used as tea by the Arabs.
katabolic |Of or pertaining to katabolism; as, katabolic processes, which give rise to substances (katastates) of decreasing complexity and increasing stability.
katabolism |Destructive or downward metabolism; regressive metamorphism; -- opposed to anabolism. See Disassimilation.
katastate |(Physiol.) A substance formed by a katabolic process; -- opposed to anastate. See Katabolic.
kate |The brambling finch.
kathetal |Making a right angle; perpendicular, as two lines or two sides of a triangle, which include a right angle.
kathetometer |Same as Cathetometer.
kattimundoo |A caoutchouc like substance obtained from the milky juice of the East Indian Euphorbia Kattimundoo. It is used as a cement.
katydid |A large, green, arboreal, orthopterous insect (Cyrtophyllus concavus) of the family Locustidæ, common in the United States. The males have stridulating organs at the bases of the front wings. During the summer and autumn, in the evening, the males make a peculiar, loud, shrill sound, resembling the combination Katy-did, whence the name.
kauri |A lofty coniferous tree of New Zealand Agathis, or Dammara, australis), furnishing valuable timber and yielding one kind of dammar resin. [Written also kaudi, cowdie, and cowrie.]
kauri copal |A resinous product of the kauri, found in the form of yellow or brown lumps in the ground where the trees have grown. It is used for making varnish, and as a substitute for amber.
kauri gum |A resinous product of the kauri, found in the form of yellow or brown lumps in the ground where the trees have grown. It is used for making varnish, and as a substitute for amber.
kauri resin |A resinous product of the kauri, found in the form of yellow or brown lumps in the ground where the trees have grown. It is used for making varnish, and as a substitute for amber.
kava |A species of Macropiper (M. methysticum), the long pepper, from the root of which an intoxicating beverage is made by the Polynesians, by a process of mastication; also, the beverage itself. [Written also kawa, kava, and ava.]
kavass |An armed constable; also, a government servant or courier. [Turkey]
kaw |See Caw.
kawaka |a New Zealand tree, the Cypress cedar (Libocedrus Doniana), having a valuable, fine-grained, reddish wood.
kawn |A inn. [Turkey] See Khan.
kayak |A light canoe, made of skins stretched over a frame, and usually capable of carrying but one person, who sits amidships and uses a double-bladed paddle. It is peculiar to the Eskimos and other Arctic tribes.
kayaker |One who uses a kayak.
kayko |The dog salmon.
kayles |A game; ninepins. [Prov Eng.] Carew.
kaynard |A lazy or cowardly person; a rascal. [Obs.] Chaucer.
kazoo |A kind of toy or rude musical instrument, as a tube inside of which is a stretched string made to vibrate by singing or humming into the tube.
kea |A large New Zealand parrot (Nestor notabilis), notorious for having acquired the habit of killing sheep; -- called also mountain parrot.
keck |To heave or to retch, as in an effort to vomit. [R.] Swift.\n\nAn effort to vomit; queasiness. [R.]
keckle |See Keck, v. i. & n.\n\nTo wind old rope around, as a cable, to preserve its surface from being fretted, or to wind iron chains around, to defend from the friction of a rocky bottom, or from the ice. Totten.
keckling |Old rope or iron chains wound around a cable. See Keckle, v. t.
kecklish |Inclined to vomit; squeamish. [R.] Holland.
kecksy |The hollow stalk of an umbelliferous plant, such as the cow parsnip or the hemlock. [Written also kex, and in pl., kecks, kaxes.] Nothing teems But hateful docks, rough thistles, kecksies, burs. Shak.
kecky |Resembling a kecksy. Grew.
keddah |An inclosure constructed to entrap wild elephants; an elephant trap. [India]
kedge |To move (a vessel) by carrying out a kedge in a boat, dropping it overboard, and hauling the vessel up to it.\n\nA small anchor used whenever a large one can be dispensed witch. See Kedge, v. t., and Anchor, n.
kedger |A small anchor; a kedge.
kedlock |See Charlock.
kee |See Kie, Ky, and Kine. [Prov. Eng.] Gay.
keech |A mass or lump of fat rolled up by the butcher. [Obs.] Shak.
keel |To cool; to akin or stir [Obs.] While greasy Joan doth keel the pot. Shak.\n\nA brewer's cooling vat; a keelfat.\n\n1. (Shipbuilding)  A longitudinal timber, or series of timbers scarfed together, extending from stem to stern along the bottom of a vessel. It is the principal timber of the vessel, and, by means of the ribs attached on each side, supports the vessel's frame. In an iron vessel, a combination of plates supplies the place of the keel of a wooden ship. See Illust. of Keelson. 2. Fig.: The whole ship. 3. A barge or lighter, used on the Type for carrying coal from Newcastle; also, a barge load of coal, twentyone tons, four cwt. [Eng.] 4. (Bot.)  The two lowest petals of the corolla of a papilionaceous flower, united and inclosing the stamens and pistil; a carina. See Carina. 5. (Nat. Hist.)  A projecting ridge along the middle of a flat or curved surface. Bilge keel (Naut.), a keel peculiar to ironclad vessels, extending only a portion of the length of the vessel under the bilges. Ham. Nav. Encyc. -- False keel. See under False. -- Keel boat. (a) A covered freight boat, with a keel, but no sails, used on Western rivers. [U. S.] (b) A low, flat-bottomed freight boat. See Keel, n., 3. -- Keel piece, one of the timbers or sections of which a keel is composed. On even keel, in a level or horizontal position, so that the draught of water at the stern and the bow is the same. Ham. Nav. Encyc.\n\n1. To traverse with a keel; to navigate. 2. To turn up the keel; to show the bottom. To keel over, to upset; to capsize. [Colloq.]
keelage |The right of demanding a duty or toll for a ship entering a port; also, the duty or toll. Bouvier. Wharton.
keeled |1. (Bot.)  Keel-shaped; having a longitudinal prominence on the back; as, a keeled leaf. 2. (Zoöl.)  Having a median ridge; carinate; as, a keeled scale.
keeler |1. One employed in managing a Newcastle keel; -- called also keelman. 2. A small or shallow tub; esp., one used for holding materials for calking ships, or one used for washing dishes, etc.
keelfat |A cooler; a vat for cooling wort, etc. [Written also keelvat.] Johnson.
keelhaul |To haul under the keel of a ship, by ropes attached to the yardarms on each side. It was formerly practiced as a punishment in the Dutch and English navies. Totten.
keeling |A cod.
keelivine |A pencil of black or red lead; -- called also keelyvine pen. [Scot.] Sir W. Scott.
keelman |See Keeler, 1.
keelrake |Same as Keelhaul.
keels |Ninepins. See Kayles.
keelson |A piece of timber in a ship laid on the middle of the floor timbers over the keel, and binding the floor timbers to the keel; in iron vessels, a structure of plates, situated like the keelson of a timber ship. Cross keelson, a similar structure lying athwart the main keelson, to support the engines and boilers.
keelvat |See Keelfat.
keen |1. Sharp; having a fine edge or point; as, a keen razor, or a razor with a keen edge. A bow he bare and arwes [arrows] bright and kene. Chaucer. That my keen knife see not the wound it makes. Shak. 2. Acute of mind; sharp; penetrating; having or expressing mental acuteness; as, a man of keen understanding; a keen look; keen features. To make our wits more keen. Shak. Before the keen inquiry of her thought. Cowper. 3. Bitter; piercing; acrimonious; cutting; stinging; severe; as, keen satire or sarcasm. Good father cardinal, cry thou amen To my keen curses. Shak. 4. Piercing; penetrating; cutting; sharp; -- applied to cold, wind, etc, ; as, a keen wind; the cold is very keen. Breasts the keen air, and carols as he goes. Goldsmith. 5. Eager; vehement; fierce; as, a keen appetite. \"Of full kene will.\" Piers Plowman. So keen and greedy to confound a man. Shak. Note: Keen is often used in the composition of words, most of which are of obvious signification; as, keen-edged, keen-eyed, keen- sighted, keen-witted, etc. Syn. -- Prompt; eager; ardent; sharp; acute; cutting; penetrating; biting; severe; sarcastic; satirical; piercing; shrewd.\n\nTo sharpen; to make cold. [R.] Cold winter keens the brightening flood. Thomson.\n\nA prolonged wail for a deceased person. Cf. Coranach. [Ireland] Froude.\n\nTo wail as a keener does. [Ireland]
keener |A professional mourner who wails at a funeral. [Ireland]
keenly |In a keen manner.
keenness |The quality or state of being keen.
keep |1. To care; to desire. [Obs.] I kepe not of armes for to yelp [boast]. Chaucer. 2. To hold; to restrain from departure or removal; not to let go of; to retain in one's power or possession; not to lose; to retain; to detain. If we lose the field, We can not keep the town. Shak. That I may know what keeps me here with you. Dryden. If we would weigh and keep in our minds what we are considering, that would instruct us. Locke. 3. To cause to remain in a given situation or condition; to maintain unchanged; to hold or preserve in any state or tenor. His loyalty he kept, his love, his zeal. Milton. Keep a stiff rein, and move but gently on. Addison. Note: In this sense it is often used with prepositions and adverbs, as to keep away, to keep down, to keep from, to keep in, out, or off, etc. \"To keep off impertinence and solicitation from his superior.\" Addison. 4. To have in custody; to have in some place for preservation; to take charge of. The crown of Stephanus, first king of Hungary, was always kept in the castle of Vicegrade. Knolles. 5. To preserve from danger, harm, or loss; to guard. Behold, I am with thee, and will keep thee. Gen. xxviii. 15. 6. To preserve from discovery or publicity; not to communicate, reveal, or betray, as a secret. Great are thy virtues . . . though kept from man. Milton. 7. To attend upon; to have the care of; to tend. And the Lord God took the man, and put him into the garden of Eden, to dress it and to keep it. Gen. ii. 15. In her girlish age, she kept sheep on the moor. Carew. 8. To record transactions, accounts, or events in; as, to keep books, a journal, etc. ; also, to enter (as accounts, records, etc. ) in a book. 9. To maintain, as an establishment, institution, or the like; to conduct; to manage; as, to keep store. Like a pedant that keeps a school. Shak. Every one of them kept house by himself. Hayward. 10. To supply with necessaries of life; to entertain; as, to keep boarders. 11. To have in one's service; to have and maintain, as an assistant, a servant, a mistress, a horse, etc. I keep but three men and a boy. Shak. 12. To have habitually in stock for sale. 13. To continue in, as a course or mode of action; not to intermit or fall from; to hold to; to maintain; as, to keep silence; to keep one's word; to keep possession. Both day and night did we keep company. Shak. Within this portal as I kept my watch. Smollett. 14. To observe; to adhere to; to fulfill; not to swerve from or violate; to practice or perform, as duty; not to neglect; to be faithful to. I have kept the faith. 2 Tim. iv. 7. Him whom to love is to obey, and keep His great command. Milton. 15. To confine one's self to; not to quit; to remain in; as, to keep one's house, room, bed, etc. ; hence, to haunt; to frequent. Shak. 'Tis hallowed ground; Fairies, and fawns, and satyrs do it keep. J. Fletcher. 16. To observe duty, as a festival, etc. ; to celebrate; to solemnize; as, to keep a feast. I went with them to the house of God . . . with a multitude that kept holyday. Ps. xlii. 4. To keep at arm's length. See under Arm, n. -- To keep back. (a) To reserve; to withhold. \"I will keep nothing back from you.\" Jer. xlii. 4. (b) To restrain; to hold back. \"Keep back thy servant also from presumptuous sins.\" Ps. xix. 13. -- To keep company with. (a) To frequent the society of; to associate with; as, let youth keep company with the wise and good. (b) To accompany; to go with; as, to keep company with one on a voyage; also, to pay court to, or accept attentions from, with a view to marriage. [Colloq.] -- To keep counsel. See under Counsel, n. -- To keep down. (a) To hold in subjection; to restrain; to hinder. (b) (Fine Arts) To subdue in tint or tone, as a portion of a picture, so that the spectator's attention may not be diverted from the more important parts of the work. -- To keep good (or bad) hours, to be customarily early (or late) in returning home or in retiring to rest. -- To keep house. (a) To occupy a separate house or establishment, as with one's family, as distinguished from boarding; to manage domestic affairs. (b) (Eng. Bankrupt Law) To seclude one's self in one's house in order to evade the demands of creditors. -- To keep one's hand in, to keep in practice. -- To keep open house, to be hospitable. -- To keep the peace (Law), to avoid or to prevent a breach of the peace. -- To keep school, to govern, manage and instruct or teach a school, as a preceptor. -- To keep a stiff upper lip, to keep up one's courage. [Slang] -- To keep term. (a) (Eng. Universities) To reside during a term. (b) (Inns of Court) To eat a sufficient number of dinners in hall to make the term count for the purpose of being called to the bar. [Eng.] Mozley & W. -- To keep touch. See under Touch, n. -- To keep under, to hold in subjection; hence, to oppress. -- To keep up. (a) To maintain; to prevent from falling or diminution; as, to keep up the price of goods; to keep up one's credit. (b) To maintain; to continue; to prevent from ceasing. \"In joy, that which keeps up the action is the desire to continue it.\" Locke. Syn. -- To retain; detain; reserve; preserve; hold; restrain; maintain; sustain; support; withhold. -- To Keep. Retain, Preserve. Keep is the generic term, and is often used where retain or preserve would too much restrict the meaning; as, to keep silence, etc. Retain denotes that we keep or hold things, as against influences which might deprive us of them, or reasons which might lead us to give them up; as, to retain vivacity in old age; to retain counsel in a lawsuit; to retain one's servant after a reverse of fortune. Preserve denotes that we keep a thing against agencies which might lead to its being destroyed or broken in upon; as, to preserve one's health; to preserve appearances.\n\n1. To remain in any position or state; to continue; to abide; to stay; as, to keep at a distance; to keep aloft; to keep near; to keep in the house; to keep before or behind; to keep in favor; to keep out of company, or out reach. 2. To last; to endure; to remain unimpaired. If the malt be not thoroughly dried, the ale it makes will not keep. Mortimer. 3. To reside for a time; to lodge; to dwell. [Now disused except locally or colloquially.] Knock at his study, where, they say, he keeps. Shak. 4. To take care; to be solicitous; to watch. [Obs.] Keep that the lusts choke not the word of God that is in us. Tyndale. 5. To be in session; as, school keeps to-day. [Colloq.] To keep from, to abstain or refrain from. -- To keep in with, to keep on good terms with; as, to keep in with an opponent. -- To keep on, to go forward; to proceed; to continue to advance. -- To keep to, to adhere strictly to; not to neglect or deviate from; as, to keep to old customs; to keep to a rule; to keep to one's word or promise. -- To keep up, to remain unsubdued; also, not to be confined to one's bed.\n\n1. The act or office of keeping; custody; guard; care; heed; charge. Chaucer. Pan, thou god of shepherds all, Which of our tender lambkins takest keep. Spenser. 2. The state of being kept; hence, the resulting condition; case; as, to be in good keep. 3. The means or provisions by which one is kept; maintenance; support; as, the keep of a horse. Grass equal to the keep of seven cows. Carlyle. I performed some services to the college in return for my keep. T. Hughes. 4. That which keeps or protects; a stronghold; a fortress; a castle; specifically, the strongest and securest part of a castle, often used as a place of residence by the lord of the castle, especially during a siege; the donjon. See Illust. of Castle. The prison strong, Within whose keep the captive knights were laid. Dryden. The lower chambers of those gloomy keeps. Hallam. I think . . . the keep, or principal part of a castle, was so called because the lord and his domestic circle kept, abode, or lived there. M. A. Lower. 5. That which is kept in charge; a charge. [Obs.] Often he used of his keep A sacrifice to bring. Spenser. 6. (Mach.)  A cap for retaining anything, as a journal box, in place. To take keep, to take care; to heed. [Obs.] Chaucer.
keeper |1. One who, or that which, keeps; one who, or that which, holds or has possession of anything. 2. One who retains in custody; one who has the care of a prison and the charge of prisoners. 3. One who has the care, custody, or superintendence of anything; as, the keeper of a park, a pound, of sheep, of a gate, etc. ; the keeper of attached property; hence, one who saves from harm; a defender; a preserver. The Lord is thy keeper. Ps. cxxi. 6. 4. One who remains or keeps in a place or position. Discreet; chaste; keepers at home. Titus ii. 5. 5. A ring, strap, clamp, or any device for holding an object in place; as: (a) The box on a door jamb into which the bolt of a lock protrudes, when shot. (b) A ring serving to keep another ring on the finger. (c) A loop near the buckle of a strap to receive the end of the strap. 6. A fruit that keeps well; as, the Roxbury Russet is a good keeper. Downing. Keeper of the forest (O. Eng. Law), an officer who had the principal government of all things relating to the forest. -- Keeper of the great seal, a high officer of state, who has custody of the great seal. The office is now united with that of lord chancellor. [Eng.] -- Keeper of the King's conscience, the lord chancellor; -- a name given when the chancellor was an ecclesiastic. [Eng.] -- Keeper of the privy seal (styled also lord privy seal), a high officer of state, through whose hands pass all charters, pardons, etc., before they come to the great seal. He is a privy councillor, and was formerly called clerk of the privy seal. [Eng.] - - Keeper of a magnet, a piece of iron which connects the two poles, for the purpose of keeping the magnetic power undiminished; an armature.
keepership |The office or position of a keeper. Carew.
keeping |1. A holding; restraint; custody; guard; charge; care; preservation. His happiness is in his own keeping. South. 2. Maintenance; support; provision; feed; as, the cattle have good keeping. The work of many hands, which earns my keeping. Milton. 3. Conformity; congruity; harmony; consistency; as, these subjects are in keeping with each other. 4. (Paint.)  Harmony or correspondence between the different parts of a work of art; as, the foreground of this painting is not in keeping. Keeping room, a family sitting room. [New Eng. & Prov. Eng.] Syn. -- Care; guardianship; custody; possession.
keepsake |Anything kept, or given to be kept, for the sake of the giver; a token of friendship.
keesh |See Kish.
keeve |1. (Brewing)  A vat or tub in which the mash is made; a mash tub. Ure. 2. (Bleaching)  A bleaching vat; a kier. 3. (Mining)  A large vat used in dressing ores.\n\n1. To set in a keeve, or tub, for fermentation. 2. To heave; to tilt, as a cart. [Prov. Eng.]
keever |See Keeve, n.
keffe-kil |See Kiefekil.
kefir |An effervescent liquor like kumiss, made from fermented milk, used as a food and as a medicine in the northern Caucasus. -- Ke*fir\"ic (#), a.
kefir grains |Small hard yellowish aggregations found in the Caucasus region, and containing various yeasts and bacteria. They are used as a ferment in preparing kefir.
keg |A small cask or barrel.
keilhauite |A mineral of a brownish black color, related to titanite in form. It consists chiefly of silica, titanium dioxide, lime, and yttria.
keir |See Kier.
keitloa |A black, two-horned, African rhinoceros (Atelodus keitloa). It has the posterior horn about as long as the anterior one, or even longer.
keld |Having a kell or covering; webbed. [Obs.] Drayton.
kele |To cool. [Obs.] Chaucer.
kell |A kiln. [Obs.]\n\nA sort of pottage; kale. See Kale, 2. Ainsworth.\n\n1. The caul; that which covers or envelops as a caul; a net; a fold; a film. [Obs.] I'll have him cut to the kell. Beau. & Fl. 2. The cocoon or chrysalis of an insect. B. Jonson.
keloid |Applied to a variety of tumor forming hard, flat, irregular excrescences upon the skin. -- n.  A keloid tumor.
kelotomy |See Celotomy.
kelp |1. The calcined ashes of seaweed, -- formerly much used in the manufacture of glass, now used in the manufacture of iodine. 2. (Bot.)  Any large blackish seaweed. Note: Laminaria is the common kelp of Great Britain; Macrocystis pyrifera and Nereocystis Lutkeana are the great kelps of the Pacific Ocean. Kelp crab (Zoöl.), a California spider crab (Epialtus productus), found among seaweeds, which it resembles in color. -- Kelp salmon (Zoöl.), a serranoid food fish (Serranus clathratus) of California. See Cabrilla.
kelpfish |A small California food fish (Heterostichus rostratus), living among kelp. The name is also applied to species of the genus Platyglossus.
kelpie |An imaginary spirit of the waters, horselike in form, vulgarly believed to warn, by preternatural noises and lights, those who are to be drowned. Jamieson.
kelpware |Same as Kelp, 2.
kelpy |An imaginary spirit of the waters, horselike in form, vulgarly believed to warn, by preternatural noises and lights, those who are to be drowned. Jamieson.
kelson |See Keelson. Sir W. Raleigh.
kelt |See Kilt, n. Jamieson.\n\nCloth with the nap, generally of native black wool. [Scot.] Jamieson.\n\nA salmon after spawning. [Scot.]\n\nSame as Celt, one of Celtic race.
kelter |Regular order or proper condition. [Written also kilter.] [Colloq.] If the organs of prayer be out of kelter or out of tune, how can we pray Barrow.
keltic |Same as Celtic, a. & n.
kemb |To comb. [Obs.] His longe hair was kembed behind his back. Chaucer.
kemelin |A tub; a brewer's vessel. [Obs.] Chaucer.
kemp |Coarse, rough hair wool or fur, injuring its quality.
kempe |Rough; shaggy. [Obs.] \"Kempe hairs.\" Chaucer.
kemps |The long flower stems of the ribwort plantain (Plantago Lanceolata). Dr. Prior.
kempt |p. p. of Kemb. B. Jonson.
kempty |Coarse, rough hair wool or fur, injuring its quality.
ken |A house; esp., one which is a resort for thieves. [Slang, Eng.]\n\n1. To know; to understand; to take cognizance of. [Archaic or Scot.] 2. To recognize; to descry; to discern. [Archaic or Scot.] \"We ken them from afar.\" Addison 'T is he. I ken the manner of his gait. Shak.\n\nTo look around. [Obs.] Burton.\n\nCognizance; view; especially, reach of sight or knowledge. \"Beyond his ken.\" Longfellow. Above the reach and ken of a mortal apprehension. South. It was relief to quit the ken And the inquiring looks of men. Trench.
kendal |A cloth colored green by dye obtained from the woad-waxen, formerly used by Flemish weavers at Kendal, in Westmoreland, England. J. Smith (Dict. Econ. Plants). How couldst thou know these men in Kendal green Shak.
kendal green |A cloth colored green by dye obtained from the woad-waxen, formerly used by Flemish weavers at Kendal, in Westmoreland, England. J. Smith (Dict. Econ. Plants). How couldst thou know these men in Kendal green Shak.
kennel |The water course of a street; a little canal or channel; a gutter; also, a puddle. Bp. Hall.\n\n1. A house for a dog or for dogs, or for a pack of hounds. A dog sure, if he could speak, had wit enough to describe his kennel. Sir P. Sidney. 2. A pack of hounds, or a collection of dogs. Shak. 3. The hole of a fox or other beast; a haunt.\n\nTo lie or lodge; to dwell, as a dog or a fox. The dog kenneled in a hollow tree. L'Estrange.\n\nTo put or keep in a kennel. Thomson.
kennel coal |. See Cannel coal.
kenning |1. Range of sight. [Obs.] Bacon. 2. The limit of vision at sea, being a distance of about twenty miles.
keno |A gambling game, a variety of the game of lotto, played with balls or knobs, numbered, and cards also numbered. [U. S.]
kenogenesis |Modified evolution, in which nonprimitive characters make their appearance in consequence of a secondary adaptation of the embryo to the peculiar conditions of its environment; -- distinguished from palingenesis. [Written also cænogenesis.]
kenogenetic |Of or pertaining to kenogenesis; as, kenogenetic processes. -- Ken`o*ge*net\"ic*al*ly, adv.
kenspeckle |Having so marked an appearance as easily to be recognized. [Scot.]
kent bugle |A curved bugle, having six finger keys or stops, by means of which the performer can play upon every key in the musical scale; -- called also keyed bugle, and key bugle. Moore.
kentle |A hundred weight; a quintal.
kentledge |Pigs of iron used for ballast. [Written also kintlidge.]
