sigillative |Fit to seal; belonging to a seal; composed of wax. [R.]
significant |1. Fitted or designed to signify or make known somethingl having a meaning; standing as a sign or token; expressive or suggestive; as, a significant word or sound; a significant look. It was well said of Plotinus, that the stars were significant, but not efficient. Sir W. Raleigh. 2. Deserving to be considered; important; momentous; as, a significant event. Significant figures (Arith.), the figures which remain to any number, or decimal fraction, after the ciphers at the right or left are canceled. Thus, the significant figures of 25,000, or of .0025, are 25.\n\nThat which has significance; a sign; a token; a symbol. Wordsworth. In dumb significants proclaim your thoughts. Shak.
significantly |In a significant manner.
significate |One of several things signified by a common term. Whately.
signification |1. The act of signifying; a making known by signs or other means. A signification of being pleased. Landor. All speaking or signification of one's mind implies an act or addres of one man to another. South. 2. That which is signified or made known; that meaning which a sign, character, or token is intended to convey; as, the signification of words.
significative |1. Betokening or representing by an external sign. The holy symbols or signs are not barely significative. Brerewood. 2. Having signification or meaning; expressive of a meaning or purpose; significant. Neither in the degrees of kindred they were destitute of significative words. Camden. -- Sig*nif\"i*ca*tive*ly, adv. -- Sig*nif\"i*ca*tive*ness, n.
significator |One who, or that which, signifies. In this diagram there was one significator which pressed remarkably upon our astrologer's attention. Sir W. Scott.
significatory |Significant. -- n.  That which is significatory.
significavit |Formerly, a writ issuing out of chancery, upon certificate given by the ordinary, of a man's standing excommunicate by the space of forty days, for the laying him up in prison till he submit himself to the authority of the church. Crabb.
signify |1. To show by a sign; to communicate by any conventional token, as words, gestures, signals, or the like; to announce; to make known; to declare; to express; as, a signified his desire to be present. I 'll to the king; and signify to him That thus I have resign'd my charge to you. Shak. The government should signify to the Protestants of Ireland that want of silver is not to be remedied. Swift. 2. To mean; to import; to denote; to betoken. He bade her tell him what it signified. Chaucer. A tale Told by an idiot, full of sound and fury, Signifying nothing. Shak. Note: Signify is often used impersonally; as, it signifies nothing, it does not signify, that is, it is of no importance. Syn. -- To express; manifest; declare; utter; intimate; betoken; denote; imply; mean.
signior |Sir; Mr. The English form and pronunciation for the Italian Signor and the Spanish Señor.
signiorize |To exercise dominion over; to lord it over. [Obs.] Shelton.\n\nTo exercise dominion; to signiorize. [Obs.] Hewyt.
signiorship |State or position of a signior.
signiory |Same as Seigniory.
signor |Sir; Mr; -- a title of address or respect among the Italians. Before a noun the form is Signor.
signora |Madam; Mrs; -- a title of address or respect among the Italians.
signore |Sir; Mr; -- a title of address or respect among the Italians. Before a noun the form is Signor.
signorina |Miss; -- a title of address among the Italians.
signpost |A post on which a sign hangs, or on which papers are placed to give public notice of anything.
sik |Such. See Such. [Obs.] \"Sike fancies weren foolerie.\" Spenser.
sike |Such. See Such. [Obs.] \"Sike fancies weren foolerie.\" Spenser.\n\nA gutter; a stream, such as is usually dry in summer. [Prov. Eng. & Scot.]\n\nA sick person. [Prov. Eng.]\n\nTo sigh. [Obs.] That for his wife weepeth and siketh sore. Chaucer.\n\nA sigh. [Obs.] Chaucer.
siker |Sure; certain; trusty. [Obs. or Prov. Eng. & Scot.] Burns. When he is siker of his good name. Chaucer.\n\nSurely; certainly. [Obs.] Believe this as siker as your creed. Chaucer. Sicker, Willye, thou warnest well. Spenser.\n\nSee 2d Sicker, Sickerly, etc. [Obs.]
sikerly |Surely; securely. [Obs.] But sikerly, withouten any fable. Chaucer.\n\nSee 2d Sicker, Sickerly, etc. [Obs.]
sikerness |The quality or state of being sicker, or certain. [Obs.] Chaucer. Spenser.\n\nSee 2d Sicker, Sickerly, etc. [Obs.]
sikhs |A religious sect noted for warlike traits, founded in the Punjab at the end of the 15th century.
silage |Short for Ensilage.
sile |To strain, as fresh milk. [Prov. Eng.]\n\nTo drop; to flow; to fall. [Prov. Eng.]\n\n1. A sieve with fine meshes. [Prov. Eng.] 2. Filth; sediment. [Prov. Eng.] Halliwell.\n\nA young or small herring. [Eng.] Pennant.
silence |1. The state of being silent; entire absence of sound or noise; absolute stillness. I saw and heared; for such a numerous host Fled not in silence through the frighted deep. Milton. 2. Forbearance from, or absence of, speech; taciturnity; muteness. 3. Secrecy; as, these things were transacted in silence. The administration itself keeps a profound silence. D. Webster. 4. The cessation of rage, agitation, or tumilt; calmness; quiest; as, the elements were reduced to silence. 5. Absence of mention; oblivion. And what most merits fame, in silence hid. Milton.\n\nBe silent; -- used elliptically for let there be silence, or keep silence. Shak.\n\n1. To compel to silence; to cause to be still; to still; to hush. Silence that dreadful bell; it frights the isle. Shak. 2. To put to rest; to quiet. This would silence all further opposition. Clarendon. These would have silenced their scruples. Rogers. 3. To restrain from the exercise of any function, privilege of instruction, or the like, especially from the act of preaching; as, to silence a minister of the gospel. The Rev. Thomas Hooker of Chelmsford, in Essex, was silenced for nonconformity. B. Trumbull. 4. To cause to cease firing, as by a vigorous cannonade; as, to silence the batteries of an enemy.
silencer |(a) The muffler of an internal-combustion engine. (b) Any of various devices to silence the humming noise of telegraph wires. (c) A device for silencing the report of a firearm shooting its projectiles singly, as a tubular attachment for the muzzle having circular plates that permit the passage of the projectile but impart a rotary motion to, and thus retard, the exploding gases.
silene |A genus of caryophyllaceous plants, usually covered with a viscid secretion by which insects are caught; catchfly. Bon Silène. See Silène, in the Vocabulary.
silent |1. Free from sound or noise; absolutely still; perfectly quiet. How silent is this town! Shak. 2. Not speaking; indisposed to talk; speechless; mute; taciturn; not loquacious; not talkative. Ulysses, adds he, was the most eloquent and most silent of men. Broome. This new-created world, whereof in hell Fame is not silent. Milton. 3. Keeping at rest; inactive; calm; undisturbed; as, the wind is silent. Parnell. Sir W. Raleigh. 4. (Pron.)  Not pronounced; having no sound; quiescent; as, e is silent in \"fable.\" 5. Having no effect; not operating; inefficient. [R.] Cause . . . silent, virtueless, and dead. Sir W. Raleigh. Silent partner. See Dormant partner, under Dormant. Syn. -- Mute; taciturn; dumb; speechless; quiet; still. See Mute, and Taciturn.\n\nThat which is silent; a time of silence. [R.] \"The silent of the night.\" Shak.
silentiary |One appointed to keep silence and order in court; also, one sworn not to divulge secre
silentious |Habitually silent; taciturn; reticent. [R.]
silently |In a silent manner.
silentness |State of being silent; silence.
silenus |See Wanderoo.
silesia |1. A kind of linen cloth, originally made in Silesia, a province of Prussia. 2. A twilled cotton fabric, used for dress linings.
silesian |Of or pertaining to Silesia. -- n.  A native or inhabitant of Silesia.
silex |Silica, SiO2 as found in nature, constituting quarz, and most sands and sandstones. See Silica, and Silicic.
silhouette |A representation of the outlines of an object filled in with a black color; a profile portrait in black, such as a shadow appears to be.\n\nTo represent by a silhouette; to project upon a background, so as to be like a silhouette. [Recent] A flock of roasting vultures silhouetted on the sky. The Century.
silica |Silicon dioxide, SiO
silicate |A salt of silicic acid. Note: In mineralogical chemistry the silicates include; the unisilicates or orthosilicates, salts of orthosilicic acid; the bisilicates or metasilicates, salts of metasilicic acid; the polysilicates or acid silicates, salts of the polysilicic acids; the basic silicates or subsilicates, in which the equivalent of base is greater than would be required to neutralize the acid; and the hydrous silicates, including the zeolites and many hydrated decomposition products.
silicated |Combined or impregnated with silicon or silica; as, silicated hydrogen; silicated rocks. Silicated soap, a hard soap containing silicate of soda.
silicatization |Silicification.
silicea |Same as Silicoidea.
siliceous |Of or pertaining to silica; containing silica, or partaking of its nature. [Written also silisious.]
silicic |Pertaining to, derived from, or resembling, silica; specifically, designating compounds of silicon; as, silicic acid. Silicic acid (Chem.), an amorphous gelatinous substance, Si(HO)4, very unstable and easily dried to silica, but forming many stable salts; -- called also orthosilicic, or normal silicic, acid.
silicicalcareous |Consisting of silica and calcareous matter.
silicide |A binary compound of silicon, or one regarded as binary. [R.] Hydrogen silicide (Chem.), a colorless, spontaneously inflammable gas, SiH4, produced artifically from silicon, and analogous to methane; -- called also silico-methane, silicon hydride, and formerly siliciureted hydrogen.
siliciferous |Producing silica; united with silica.
silicification |Thae act or process of combining or impregnating with silicon or silica; the state of being so combined or impregnated; as, the silicification of wood.
silicified |Combined or impregnated with silicon or silica, especially the latter; as, silicified wood.
silicify |To convert into, or to impregnate with, silica, or with the compounds of silicon. The specimens found . . . are completely silicified. Say. Note: The silica may take the form of agate, chalcedony, flint, hornstone, or crystalline quartz.\n\nTo become converted into silica, or to be impregnated with silica.
silicioidea |Same as Silicoidea.
silicious |See Siliceous.
silicispongiae |Same as Silicoidea.
silicited |Silicified. [Obs.]
silicium |See Silicon.
siliciureted |Combined or impregnated with silicon. [Obsoles.] Siliciureted hydrogen. (Chem.) Hydrogen silicide. [Obs.]
silicle |A seed vessel resembling a silique, but about as broad as it is long. See Silique.
silico- |A combining form (also used adjectively) denoting the presence of silicon or its compounds; as, silicobenzoic, silicofluoride, etc.
silicofluoric |Containing, or composed of, silicon and fluorine; especially, denoting the compounds called silicofluorides. Silicofluoric acid (Chem.), a compound of hydrofluoric acid and silicon fluoride, known only in watery solution. It is produced by the action of silicon fluoride on water, and is regarded as an acid, H2SiF6, and the type and origin of the silicofluorides.
silicofluoride |A fluosilicate; a salt of silicofluoric acid.
silicoidea |An extensive order of Porifera, which includes those that have the skeleton composed mainly of siliceous fibers or spicules.
silicon |A nonmetalic element analogous to carbon. It always occurs combined in nature, and is artificially obtained in the free state, usually as a dark brown amorphous powder, or as a dark crystalline substance with a meetallic luster. Its oxide is silica, or common quartz, and in this form, or as silicates, it is, next to oxygen, the most abundant element of the earth's crust. Silicon is characteristically the element of the mineral kingdom, as carbon is of the organic world. Symbol Si. Atomic weight 28. Called also silicium.
silicotungstic |Of, pertaining to, or designating, any one of a series of double acids of silicon and tungsten, known in the free state, and also in their salts (called silicotungstates).
silicula |A silicle.
silicule |A silicle.
siliculose |1. (Bot.)  Bearing silicles; pertaining to, or resembling, silicles. 2. Full of, or consisting of, husks; husky. [Obs.]
siliginose |Made of fine wheat. [Obs.] Bailey.
siling |from Sile to strain. [Obs. or Prov.Eng.] Siling dish, a colander. [Obs. or Prov. Eng.]
siliqua |1. (Bot.)  Same as Silique. 2. A weight of four grains; a carat; -- a term used by jewelers, and refiners of gold.
silique |An oblong or elongated seed vessel, consisting of two valves with a dissepiment between, and opening by sutures at either margin. The seeds are attached to both edges of the dissepiment, alternately upon each side of it.
siliquiform |Having the form of a silique.
siliquosa |A Linnæan order of plants including those which bear siliques.
siliquose |Bearing siliques; as, siliquose plants; pertaining to, or resembling, siliques; as, siliquose capsules.
siliquous |Bearing siliques; as, siliquose plants; pertaining to, or resembling, siliques; as, siliquose capsules.
silk |1. The fine, soft thread produced by various species of caterpillars in forming the cocoons within which the worm is inclosed during the pupa state, especially that produced by the larvæ of Bombyx mori. 2. Hence, thread spun, or cloth woven, from the above-named material. 3. That which resembles silk, as the filiform styles of the female flower of maize. Raw silk, silk as it is wound off from the cocoons, and before it is manufactured. -- Silk cotton, a cottony substance enveloping the seeds of the silk-cotton tree. -- Silk-cotton tree (Bot.), a name for several tropical trees of the genera Bombax and Eriodendron, and belonging to the order Bombaceæ. The trees grow to an immense size, and have their seeds enveloped in a cottony substance, which is used for stuffing cushions, but can not be spun. -- Silk flower. (Bot.) (a) The silk tree. (b) A similar tree (Calliandra trinervia) of Peru. -- Silk fowl (Zoöl.), a breed of domestic fowls having silky plumage. -- Silk gland (Zoöl.), a gland which secretes the material of silk, as in spider or a silkworm; a sericterium. -- Silk gown, the distinctive robe of a barrister who has been appointed king's or queen's counsel; hence, the counsel himself. Such a one has precedence over mere barristers, who wear stuff gowns. [Eng.] -- Silk grass (Bot.), a kind of grass (Stipa comata) of the Western United States, which has very long silky awns. The name is also sometimes given to various species of the genera Aqave and Yucca. -- Silk moth (Zoöl.), the adult moth of any silkworm. See Silkworm. -- Silk shag, a coarse, rough-woven silk, like plush, but with a stiffer nap. -- Silk spider (Zoöl.), a large spider (Nephila plumipes), native of the Southern United States, remarkable for the large quantity of strong silk it produces and for the great disparity in the sizes of the sexes. -- Silk thrower, Silk throwster, one who twists or spins silk, and prepares it for weaving. Brande & C. -- Silk tree (Bot.), an Asiatic leguminous tree (Albizzia Julibrissin) with finely bipinnate leaves, and large flat pods; -- so called because of the abundant long silky stamens of its blossoms. Also called silk flower. -- Silk vessel. (Zoöl.) Same as Silk gland, above. -- Virginia silk (Bot.), a climbing plant (Periploca Græca) of the Milkweed family, having a silky tuft on the seeds. It is native in Southern Europe.
silk-stocking |Wearing silk stockings (which among men were formerly worn chiefly by the luxurious or aristocratic); hence, elegantly dressed; aristocratic; luxurious; -- chiefly applied to men, often by way of reproach. [They] will find their levees crowded with silk-stocking gentry, but no yeomanry; an army of officers without soldiers. Jefferson.
silken |1. Of or pertaining to silk; made of, or resembling, silk; as, silken cloth; a silken veil. 2. Fig.: Soft; delicate; tender; smooth; as, silken language. \"Silken terms precise.\" Shak. 3. Dressed in silk. \"A . . . silken wanton.\" Shak.\n\nTo render silken or silklike. Dyer.
silkiness |1. The quality or state of being silky or silken; softness and smoothness. 2. Fig.: Effeminacy; weakness. [R.] B. Jonson.
silkman |A dealer in silks; a silk mercer. Shak.
silkness |Silkiness. [Obs.] B. Jonson.
silkweed |Any plant of the genera Asclepias and Acerates whose seed vessels contain a long, silky down; milkweed.
silkworm |The larva of any one of numerous species of bombycid moths, which spins a large amount of strong silk in constructing its cocoon before changing to a pupa. Note: The common species (Bombyx mori) feeds onm the leaves of the white mulberry tree. It is native of China, but has long been introduced into other countries of Asia and Europe, and is reared on a large scale. In America it is reared only to small extent. The Ailanthus silkworm (Philosamia cynthia) is a much larger species, of considerable importance, which has been introduced into Europe and America from China. The most useful American species is the Polyphemus. See Polyphemus. Pernyi silkworm, the larva of the Pernyi moth. See Pernyi moth. -- Silkworm gut, a substance prepared from the contents of the silk glands of silkworms and used in making lines for angling. See Gut. -- Silkworm rot, a disease of silkworms; muscardine.
silky |1. Of or pertaining to silk; made of, or resembling, silk; silken; silklike; as, a silky luster. 2. Hence, soft and smooth; as, silky wine. 3. Covered with soft hairs pressed close to the surface, as a leaf; sericeous. Silky oak (Bot.), a lofty Australian tree (Grevillea robusta) with silky tomentose lobed or incised leaves. It furnishes a valuable timber.
sill |The basis or foundation of a thing; especially, a horizontal piece, as a timber, which forms the lower member of a frame, or supports a structure; as, the sills of a house, of a bridge, of a loom, and the like. Hence: (a) The timber or stone at the foot of a door; the threshold. (b) The timber or stone on which a window frame stands; or, the lowest piece in a window frame. (c) The floor of a gallery or passage in a mine. (d) A piece of timber across the bottom of a canal lock for the gates to shut against. Sill course (Arch.), a horizontal course of stone, terra cotta, or the like, built into a wall at the level of one or more window sills, these sills often forming part of it.\n\nThe shaft or thill of a carriage. [Prov. Eng.]\n\nA young herring. [Eng.]
sillabub |A dish made by mixing wine or cider with milk, and thus forming a soft curd; also, sweetened cream, flavored with wine and beaten to a stiff froth. [Written also syllabub.]
siller |Silver. [Scot.]
sillily |In a silly manner; foolishly. Dryden.
sillimanite |Same as Fibrolite.
silliness |The quality or state of being silly.
sillock |The pollock, or coalfish.
sillon |A work raised in the middle of a wide ditch, to defend it. Crabb.
sillyhow |A caul. See Caul, n., 3. [Obs. or Prov. Eng. & Scot.]
silo |A pit or vat for packing away green fodder for winter use so as to exclude air and outside moisture. See Ensilage.
silt |Mud or fine earth deposited from running or standing water.\n\nTo choke, fill, or obstruct with silt or mud.\n\nTo flow through crevices; to percolate.
silty |Full of silt; resembling silt.
silundum |A form of silicon carbide, produced in the electric furnace, possessing great hardness, and high electrical resistance, and not subject to oxidation below 2880º F., or 1600º C.
silure |A fish of the genus Silurus, as the sheatfish; a siluroid.
silurian |Of or pertaining to the country of the ancient Silures; -- a term applied to the earliest of the Paleozoic eras, and also to the strata of the era, because most plainly developed in that country. Note: The Silurian formation, so named by Murchison, is divided into the Upper Silurian and Lower Silurian. The lower part of the Lower Silurian, with some underlying beds, is now separated under the name Cambrian, first given by Sedwick. Recently the term Ordovician has been proposed for the Lower Silurian, leawing the original word to apply only to the Upper Silurian.\n\nThe Silurian age.
siluridan |Any fish of the family Silurid or of the order Siluroidei.
siluroid |Belonging to the Siluroidei, or Nematognathi, an order of fishes including numerous species, among which are the American catfishes and numerous allied fresh-water species of the Old World, as the sheatfish (Silurus glanis) of Europe. -- n.  A siluroid fish.
siluroidei |An order of fishes, the Nematognathi.
silurus |A genus of large malacopterygious fishes of the order Siluroidei. They inhabit the inland waters of Europe and Asia.
silva |(a) The forest trees of a region or country, considered collectively. (b) A description or history of the forest trees of a country.
silvan |Of or pertaining to woods; composed of woods or groves; woody. [Written also sylvan.] Betwixt two rows of rocks, a silvan scene Appears above, and groves forever green. Dryden.\n\nSee Sylvanium. [Obs.]
silvanite |See Sylvanite.
silvas |Vast woodland plains of South America.
silvate |Same as Sylvate.
