guld |A flower. See Gold. [Obs.] Chaucer.
gumption |1. Capacity; shrewdness; common sense. [Colloq.] One does not have gumption till one has been properly cheated. Lord Lytton. 2. (Paint.) (a) The art of preparing colors. Sir W. Scott. (b) Megilp. Fairholt.
gun |1. A weapon which throws or propels a missile to a distance; any firearm or instrument for throwing projectiles by the explosion of gunpowder, consisting of a tube or barrel closed at one end, in which the projectile is placed, with an explosive charge behind, which is ignited by various means. Muskets, rifles, carbines, and fowling pieces are smaller guns, for hand use, and are called small arms. Larger guns are called cannon, ordnance, fieldpieces, carronades, howitzers, etc. See these terms in the Vocabulary. As swift as a pellet out of a gunne When fire is in the powder runne. Chaucer. The word gun was in use in England for an engine to cast a thing from a man long before there was any gunpowder found out. Selden. 2. (Mil.)  A piece of heavy ordnance; in a restricted sense, a cannon. 3. pl. (Naut.)  Violent blasts of wind. Note: Guns are classified, according to their construction or manner of loading as rifled or smoothbore, breech-loading or muzzle-loading, cast or built-up guns; or according to their use, as field, mountain, prairie, seacoast, and siege guns. Armstrong gun, a wrought iron breech-loading cannon named after its English inventor, Sir William Armstrong. -- Great gun, a piece of heavy ordnance; hence (Fig.), a person superior in any way. -- Gun barrel, the barrel or tube of a gun. -- Gun carriage, the carriage on which a gun is mounted or moved. -- Gun cotton (Chem.), a general name for a series of explosive nitric ethers of cellulose, obtained by steeping cotton in nitric and sulphuric acids. Although there are formed substances containing nitric acid radicals, yet the results exactly resemble ordinary cotton in appearance. It burns without ash, with explosion if confined, but quietly and harmlessly if free and open, and in small quantity. Specifically, the lower nitrates of cellulose which are insoluble in ether and alcohol in distinction from the highest (pyroxylin) which is soluble. See Pyroxylin, and cf. Xyloidin. The gun cottons are used for blasting and somewhat in gunnery: for making celluloid when compounded with camphor; and the soluble variety (pyroxylin) for making collodion. See Celluloid, and Collodion. Gun cotton is frequenty but improperly called nitrocellulose. It is not a nitro compound, but an ethereal salt of nitric acid. -- Gun deck. See under Deck. -- Gun fire, the time at which the morning or the evening gun is fired. -- Gun metal, a bronze, ordinarily composed of nine parts of copper and one of tin, used for cannon, etc. The name is also given to certain strong mixtures of cast iron. -- Gun port (Naut.), an opening in a ship through which a cannon's muzzle is run out for firing. -- Gun tackle (Naut.), the blocks and pulleys affixed to the side of a ship, by which a gun carriage is run to and from the gun port. -- Gun tackle purchase (Naut.), a tackle composed of two single blocks and a fall. Totten. -- Krupp gun, a wrought steel breech-loading cannon, named after its German inventor, Herr Krupp. -- Machine gun, a breech-loading gun or a group of such guns, mounted on a carriage or other holder, and having a reservoir containing cartridges which are loaded into the gun or guns and fired in rapid succession, sometimes in volleys, by machinery operated by turning a crank. Several hundred shots can be fired in a minute with accurate aim. The Gatling gun, Gardner gun, Hotchkiss gun, and Nordenfelt gun, named for their inventors, and the French mitrailleuse, are machine guns. -- To blow great guns (Naut.), to blow a gale. See Gun, n., 3.\n\nTo practice fowling or hunting small game; -- chiefly in participial form; as, to go gunning.
guna |In Sanskrit grammar, a lengthening of the simple vowels a, i, e, by prefixing an a element. The term is sometimes used to denote the same vowel change in other languages.
gunarchy |See Gynarchy.
gunboat |A vessel of light draught, carrying one or more guns.
guncotton |See under Gun.
gundelet |See Gondola. Marston.
gunflint |A sharpened flint for the lock of a gun, to ignite the charge. It was in common use before the introduction of percussion caps.
gunjah |See Ganja.
gunlock |The lock of a gun, for producing the discharge. See Lock.
gunnage |The number of guns carried by a ship of war.
gunnel |1. A gunwale. 2. (Zoöl.)  A small, eel-shaped, marine fish of the genus Murænoides; esp., M. gunnellus of Europe and America; -- called also gunnel fish, butterfish, rock eel.
gunner |1. One who works a gun, whether on land or sea; a cannoneer. 2. A warrant officer in the navy having charge of the ordnance on a vessel. 3. (Zoöl.) (a) The great northern diver or loon. See Loon. (b) The sea bream. [Prov. Eng. or Irish] Gunner's daughter, the gun to which men or boys were lashed for punishment. [Sailor's slang] W. C. Russell.
gunnery |That branch of military science which comprehends the theory of projectiles, and the manner of constructing and using ordnance.
gunnie |Space left by the removal of ore.
gunning |The act or practice of hunting or shooting game with a gun. The art of gunning was but little practiced. Goldsmith.
gunny |A strong, coarse kind of sacking, made from the fibers (called jute) of two plants of the genus Corchorus (C. olitorius and C. capsularis), of India. The fiber is also used in the manufacture of cordage. Gunny bag, a sack made of gunny, used for coarse commodities.
gunny cloth |A strong, coarse kind of sacking, made from the fibers (called jute) of two plants of the genus Corchorus (C. olitorius and C. capsularis), of India. The fiber is also used in the manufacture of cordage. Gunny bag, a sack made of gunny, used for coarse commodities.
gunocracy |See Gyneocracy.
gunpowder |A black, granular, explosive substance, consisting of an intimate mechanical mixture of niter, charcoal, and sulphur. It is used in gunnery and blasting. Note: Gunpowder consists of from 70 to 80 per cent of niter, with 10 to 15 per cent of each of the other ingredients. Its explosive energy is due to the fact that it contains the necessary amount of oxygen for its own combustion, and liberates gases (chiefly nitrogen and carbon dioxide), which occupy a thousand or fifteen hundred times more space than the powder which generated them. Gunpowder pile driver, a pile driver, the hammer of which is thrown up by the explosion of gunpowder. -- Gunpowder plot (Eng. Hist.), a plot to destroy the King, Lords, and Commons, in revenge for the penal laws against Catholics. As Guy Fawkes, the agent of the conspirators, was about to fire the mine, which was placed under the House of Lords, he was seized, Nov. 5, 1605. Hence, Nov. 5 is known in England as Guy Fawkes Day. -- Gunpowder tea, a species of fine green tea, each leaf of which is rolled into a small ball or pellet.
gunreach |The reach or distance to which a gun will shoot; gunshot.
gunroom |An apartment on the after end of the lower gun deck of a ship of war, usually occupied as a messroom by the commissioned officers, except the captain; -- called wardroom in the United States navy.
gunshot |1. Act of firing a gun; a shot. 2. The distance to which shot can be thrown from a gun, so as to be effective; the reach or range of a gun. Those who are come over to the royal party are supposed to be out of gunshot. Dryden.\n\nMade by the shot of a gun: as. a gunshot wound.
gunsmith |One whose occupation is to make or repair small firearms; an armorer.\n\nThe art or business of a gunsmith.
gunsmithery |The art or business of a gunsmith.
gunsmithing |The art or business of a gunsmith.
gunstick |A stick to ram down the charge of a musket, etc.; a rammer or ramrod. [R.]
gunstock |The stock or wood to which the barrel of a hand gun is fastened.
gunstome |A cannon ball; -- so called because originally made of stone. [Obs.] Shak.
gunter rig |A topmast arranged with metal bands so that it will readily slide up and down the lower mast. GUNTER'S CHAIN Gun\"ter's chain`. (Surveying)  The chain ordinarily used in measuring land. See Chain, n., 4, and Gunter's scale. GUNTER'S LINE Gun\"ter's line`.  A logarithmic line on Gunter's scale, used for performing the multiplication and division of numbers mechanically by the dividers; -- called also line of lines, and line of numbers. GUNTER'S QUADRANT Gun\"ter's quad`rant.  A thin quadrant, made of brass, wood, etc., showing a stereographic projection on the plane of the equator. By it are found the hour of the day, the sun's azimuth, the altitude of objects in degrees, etc. See Gunter's scale. GUNTER'S SCALE Gun\"ter's scale`.  A scale invented by the Rev. Edmund Gunter (1581-1626), a professor of astronomy at Gresham College, London, who invented also Gunter's chain, and Gunter's quadrant. Note: Gunter's scale is a wooden rule, two feet long, on one side of which are marked scales of equal parts, of chords, sines, tangents, rhombs, etc., and on the other side scales of logarithms of these various parts, by means of which many problems in surveying and navigation may be solved, mechanically, by the aid of dividers alone.
gunwale |The upper edge of a vessel's or boat's side; the uppermost wale of a ship (not including the bulwarks); or that piece of timber which reaches on either side from the quarter-deck to the forecastle, being the uppermost bend, which finishes the upper works of the hull. [Written also gunnel.]
gurge |A whirlpool. [Obs.] The plain, wherein a black bituminous gurge Boils out from under ground. Milton.\n\nTo swallow up. [Obs.]
gurgeons |Coarse meal. [Obs.]\n\nSee Grudgeons.
gurgle |To run or flow in a broken, irregular, noisy current, as water from a bottle, or a small stream among pebbles or stones. Pure gurgling rills the lonely desert trace, And waste their music on the savage race. Young.\n\nThe act of gurgling; a broken, bubbling noise. \"Tinkling gurgles.\" W. Thompson.
gurglet |A porous earthen jar for cooling water by evaporation.
gurglingly |In a gurgling manner.
gurgoyle |See Gargoyle.
gurjun |A thin balsam or wood oil derived from the Diptcrocarpus lævis, an East Indian tree. It is used in medicine, and as a substitute for linseed oil in the coarser kinds of paint.
gurl |A young person of either sex. [Obs.] See Girl. Chaucer.
gurlet |A pickax with one sharp point and one cutting edge. Knight.
gurmy |A level; a working.
gurnard |One ofseveral European marine fishes, of the genus Trigla and allied genera, having a large and spiny head, with mailed cheeks. Some of the species are highly esteemed for food. The name is sometimes applied to the American sea robins. [Written also gournet.] Plyling gurnard. See under Flying.
gurnet |One ofseveral European marine fishes, of the genus Trigla and allied genera, having a large and spiny head, with mailed cheeks. Some of the species are highly esteemed for food. The name is sometimes applied to the American sea robins. [Written also gournet.] Plyling gurnard. See under Flying.
gurniad |See Gwiniad.
gurry |An alvine evacuation; also, refuse matter. [Obs. or Local] Holland.\n\nA small fort. [India]
gurt |A gutter or channel for water, hewn out of the bottom of a working drift. Page.
gurts |Groatts. [Obs.]
guru |A spiritual teacher, guide, or confessor amoung the Hindoos. Malcom.
gush |1. To issue with violence and rapidity, as a fluid; to rush forth as a fluid from confinement; to flow copiously. He smote the rock that the waters gushed out. Ps ixxviii 20. A sea of blood gushed from the gaping wound. Spenser. 2. To make a sentimental or untimely exhibition of affection; to display enthusiasm in a silly, demonstrative manner. [Colloq.]\n\n1. A sudden and violent issue of a fluid from an inclosed plase; an emission of a liquid in a large quantity, and with force; the fluid thus emitted; a rapid outpouring of anything; as, a gush of song from a bird. The gush of springs, An fall of lofty foundains. Byron. 2. A sentimental exhibition of affection or enthusiasm, etc.; effusive display of sentiment. [Collog.]
gusher |One who gushes. [Colloq.]
gushing |1. Rushing forth with violence, as a fluid; flowing copiously; as, gushing waters. \"Gushing blood.\" Milton. 2. Emitting copiously, as tears or words; weakly and unreservedly demonstrative in matters of affection; sentimental. [Colloq.]
gushingly |, adv. 1. In a gushing manner; copiously. Byron. 2. Weakly; sentimentally; effusively. [Colloq.]
gusset |1. A small piece of cloth inserted in a garment, for the purpose of strengthening some part or giving it a tapering enlargement. Seam and gusset and band. Hood. 2. Anything resembling a gusset in a garment; as: (a) (Armor) A small piece of chain mail at the openings of the joints beneath the arms. (b) (Mach.) A kind of bracket, or angular piece of iron, fastened in the angles of a structure to give strength or stiffness; esp., the part joining the barrel and the fire box of a locomotive boiler. 3. (Her.)  An abatement or mark of dishonor in a coat of arms, resembling a gusset.
gust |1. A sudden squall; a violent blast of wind; a sudden and brief rushing or driving of the wind. Snow, and hail, stormy gust and flaw. Milton. 2. A sudden violent burst of passion. Bacon.\n\n1. The sense or pleasure of tasting; relish; gusto. An ox will relish the tender flesh of kids with as much gust and appetite. Jer. Taylor. 2. Gratification of any kind, particularly that which is exquisitely relished; enjoyment. Destroy all creatures for thy sport or gust. Pope. 3. Intellectual taste; fancy. A choice of it may be made according to the gust and manner of the ancients. Dryden.\n\nTo taste; to have a relish for. [Obs.]
gustable |1. Capable of being tasted; tastable. This position informs us of a vulgar error, terming the gall bitter; whereas there is nothing gustable sweeter. Harvey. 2. Pleasant to the taste; toothsome; savory. A gustable thing, seen or smelt, excites the appetite, and affects the glands and parts of the mouth. Derham.\n\nAnything that can be tasted. [Obs.]
gustard |The great bustard.
gustation |The act of tasting. [R.] Sir T. Browne.
gustatory |Pertaining to, or subservient to, the sense of taste; as, the gustatory nerve which supplies the front of the tongue.
gustful |Tasteful; well-tasted. [Obs.] Sir K. Digby. -- Gust\"ful*ness, n. [Obs.] Barrow.\n\nGusty. [R.] A gustful April morn. Tennyson.
gustless |Tasteless; insipid. [R.]
gusto |Nice or keen appreciation or enjoyment; relish; taste; fancy. Dryden.
gustoso |Tasteful; in a tasteful, agreeable manner.
gusty |Subject to, or characterized by, gusts or squalls; windy; stormy; tempestuous. Upon a raw and gusty day. Shak.
gut |1. A narrow passage of water; as, the Gut of Canso. 2. An intenstine; a bowel; the whole alimentary canal; the enteron; (pl.) bowels; entrails. 3. One of the prepared entrails of an animal, esp. of a sheep, used for various purposes. See Catgut. 4. The sac of silk taken from a silkworm (when ready to spin its cocoon), for the purpose of drawing it out into a thread. This, when dry, is exceedingly strong, and is used as the snood of a fish line. Blind gut. See CÆcum, n. (b).\n\n1. To take out the bowels from; to eviscerate. 2. To plunder of contents; to destroy or remove the interior or contents of; as, a mob gutted the bouse. Tom Brown, of facetious memory, having gutted a proper name of its vowels, used it as freely as he pleased. Addison.
gutta |1. A drop. 2. (Arch.)  One of a series of ornaments, in the form of a frustum of a cone, attached to the lower part of the triglyphs, and also to the lower faces of the mutules, in the Doric order; -- called also campana, and drop. Gutta serena Etym: [L., lit. serene or clear drop] (Med.), amaurosis. -- Guttæ band (Arch.), the listel or band from which the guttæ hang.
gutta-percha |A concrete juice produced by various trees found in the Malayan archipelago, especially by the Isonandra, or Dichopsis, Gutta. It becomes soft, and unpressible at the tamperature of boiling water, and, on cooling, retains its new shape. It dissolves in oils and ethers, but not in water. In many of its properties it resembles caoutchouc, and it is extensively used for many economical purposes. The Mimusops globosa of Guiana also yields this material.
guttate |Spotted, as if discolored by drops.
guttated |Besprinkled with drops, or droplike spots. Bailey.
guttatrap |The inspissated juice of a tree of the genus Artocarpus (A. incisa, or breadfruit tree), sometimes used in making birdlime, on account of its glutinous quality.
gutter |1. A channel at the eaves of a roof for conveying away the rain; an eaves channel; an eaves trough. 2. A small channel at the roadside or elsewhere, to lead off surface water. Gutters running with ale. Macaulay. 3. Any narrow channel or groove; as, a gutter formed by erosion in the vent of a gun from repeated firing. Gutter member (Arch.), an architectural member made by treating the outside face of the gutter in a decorative fashion, or by crowning it with ornaments, regularly spaced, like a diminutive battlement. -- Gutter plane, a carpenter's plane with a rounded bottom for planing out gutters. -- Gutter snipe, a neglected boy running at large; a street Arab. [Slang] -- Gutter stick (Printing), one of the pieces of furniture which separate pages in a form.\n\n1. To cut or form into small longitudinal hollows; to channel. Shak. 2. To supply with a gutter or gutters. [R.] Dryden.\n\nTo become channeled, as a candle when the flame flares in the wind.
guttersnipe |(a) A small poster, suitable for a curbstone. (b) A curbstone broker. [U. S.]
guttifer |A plant that exudes gum or resin.
guttiferous |(a) Yielding gum or resinous substances. (b) Pertaining to a natural order of trees and shrubs (Guttiferæ) noted for their abounding in a resinous sap.
guttiform |Drop-shaped, as a spot of color.
guttle |To put into the gut; to swallow greedily; to gorge; to gormandize. [Obs.] L'Estrange. Dryden.
guttler |A greedy eater; a glutton. [Obs.]
guttulous |In droplike form. [Obs.] In its [hail's] guttulous descent from the air. Sir T. Browne.
guttural |Of or pertaining to the throat; formed in the throat; relating to, or characteristic of, a sound formed in the throat. Children are occasionally born with guttural swellings. W. Guthrie. In such a sweet, guttural accent. Landor.\n\nA sound formed in the throat; esp., a sound formed by the aid of the back of the tongue, much retracted, and the soft palate; also, a letter representing such a sound.
gutturalism |The quality of being guttural; as, the gutturalism of A [in the 16th cent.] Earle.
gutturality |The quality of being guttural. [R.] \"The old gutturality of k.\" Earle.
gutturalize |To speak gutturally; to give a guttural sound to.
gutturally |In a guttural manner.
gutturalness |The quality of being guttural.
gutturine |Pertaining to the throat. [Obs.] \"Gutturine tumor.\" Ray.
gutturize |To make in the throat; to gutturalize. [R.] For which the Germans gutturize a sound. Coleridge.
gutturo- |A combining form denoting relation to the throat; as, gutturo- nasal, having both a guttural and a nasal character; gutturo-palatal.
gutty |Charged or sprinkled with drops.
gutwort |A plant, Globularia Alypum, a violent purgative, found in Africa.
guy |A rope, chain, or rod attached to anything to steady it; as: a rope to steady or guide an object which is being hoisted or lowered; a rope which holds in place the end of a boom, spar, or yard in a ship; a chain or wire rope connecting a suspension bridge with the land on either side to prevent lateral swaying; a rod or rope attached to the top of a structure, as of a derrick, and extending obliquely to the ground, where it is fastened.\n\nTo steady or guide with a guy.\n\n1. A grotesque effigy, like that of Guy Fawkes, dressed up in England on the fifth of November, the day of the Gunpowder Plot. The lady . . . who dresses like a guy. W. S. Gilbert. 2. A person of queer looks or dress. Dickens.\n\nTo fool; to baffle; to make (a person) an object of ridicule. [Local & Collog U.S.]
guyle |To guile. [Obs.] Spenser.
guze |A roundlet of tincture sanguine, which is blazoned without mention of the tincture.
guzzle |To swallow liquor greedily; to drink much or frequently. Those that came to guzzle in his wine cellar. Milton. Well-seasoned bowls the gossip's spirits raise, Who, while she guzzles, chats the doctor's praise. Roscommon. To fat the guzzling hogs with floods of whey. Gay.\n\nTo swallow much or often; to swallow with immoderate gust; to drink greedily or continually; as, one who guzzles beer. Dryden.\n\nAn insatiable thing or person. That sink of filth, that guzzle most impure. Marston.
guzzler |An immoderate drinker.
gwiniad |A fish (Coregonus ferus) of North Wales and Northern Europe, allied to the lake whitefish; -- called also powan, and schelly. [Written also gwyniad, guiniad, gurniad.]
gyall |See Gayal.
gyb |See Jib. [Obs.]
gybe |See Jib. [Obs.]\n\nSee Gibe.\n\nTo shift from one side of a vessel to the other; -- said of the boom of a fore-and-aft sail when the vessel is steered off the wind until the sail fills on the opposite side. [Also jibe.]
gye |To guide; to govern. [Obs.] Discreet enough his country for to gye. Chaucer.
gyle |Fermented wort used for making vinegar. Gyle tan (Brewing), a large vat in which wort ferments.
gymnal |Same as Gimmal.
gymnasiarch |An Athenian officer who superintended the gymnasia, and provided the oil and other necessaries at his own expense.
gymnasium |1. A place or building where athletic exercises are performed; a school for gymnastics. 2. A school for the higher branches of literature and science; a preparatory school for the university; -- used esp. of German schools of this kind. More like ordinary schools of gymnasia than universities. Hallam.
gymnast |One who teaches or practices gymnastic exercises; the manager of a gymnasium; an athlete.
gymnastic |Pertaining to athletic exercises intended for health, defense, or diversion; -- said of games or exercises, as running, leaping, wrestling, throwing the discus, the javelin, etc.; also, pertaining to disciplinary exercises for the intellect; athletic; as, gymnastic exercises, contests, etc.\n\nA gymnast. [Obs.]
gymnastical |Pertaining to athletic exercises intended for health, defense, or diversion; -- said of games or exercises, as running, leaping, wrestling, throwing the discus, the javelin, etc.; also, pertaining to disciplinary exercises for the intellect; athletic; as, gymnastic exercises, contests, etc.
gymnastically |In a gymnastic manner.
gymnastics |Athletic or disciplinary exercises; the art of performing gymnastic exercises; also, disciplinary exercises for the intellect or character.
gymnic |Athletic; gymnastic. [Obs.] Have they not swordplayers, and every sort Of gymnic artists, wrestlers, riders, runners Milton.\n\nAthletic exercise. [Obs.] Burton.
gymnical |Athletic; gymnastic. [Obs.] Have they not swordplayers, and every sort Of gymnic artists, wrestlers, riders, runners Milton.
gymnite |A hydrous silicate of magnesia.
gymnoblastea |The Athecata; -- so called because the medusoid buds are not inclosed in a capsule.
gymnoblastic |Of or pertaining to the Gymnoblastea.
gymnocarpous |Naked-fruited, the fruit either smooth or not adherent to the perianth. Gray.
gymnochroa |A division of Hydroidea including the hydra. See Hydra.
gymnocladus |A genus of leguminous plants; the Kentucky coffee tree. The leaves are cathartic, and the seeds a substitute for coffee.
gymnocopa |A group of transparent, free-swimming Annelida, having setae only in the cephalic appendages.
gymnocyte |(Biol.) A cytode without a proper cell wall, but with a nucleus. Haeckel.
gymnocytode |A cytode without either a cell wall or a nucleus. Haeckel.
gymnodont |One of a group of plectognath fishes (Gymnodontes), having the teeth and jaws consolidated into one or two bony plates, on each jaw, as the diodonts and tetradonts. See Bur fish, Globefish, Diodon.
gymnogen |One of a class of plants, so called by Lindley, because the ovules are fertilized by direct contact of the pollen. Same as Gymnosperm.
gymnoglossa |A division of gastropods in which the odontophore is without teeth.
gymnolaema |An order of Bryozoa, having no epistome.
gymnolaemata |An order of Bryozoa, having no epistome.
gymnonoti |The order of fishes which includes the Gymnotus or electrical eel. The dorsal fin is wanting.
gymnopaedic |Having young that are naked when hatched; psilopædic; -- said of certain birds.
gymnophiona |An order of Amphibia, having a long, annulated, snakelike body. See Ophiomorpha.
gymnophthalmata |A group of acalephs, including the naked-eyed medusæ; the hydromedusæ. Most of them are known to be the free-swimming progeny (gonophores) of hydroids.
gymnoplast |A cell or mass of protoplasm devoid of an envelope, as a white blood corpuscle.
gymnorhinal |Having unfeathered nostrils, as certain birds.
gymnosomata |One of the orders of Pteropoda. They have no shell.
