roger |A black flag with white skull and crossbones, formerly used by pirates; -- called also Jolly Roger.
roller |1. One who, or that which, rolls; especially, a cylinder, sometimes grooved, of wood, stone, metal, etc., used in husbandry and the arts. 2. A bandage; a fillet; properly, a long and broad bandage used in surgery. 3. (Naut.)  One of series of long, heavy waves which roll in upon a coast, sometimes in calm weather. 4. A long, belt-formed towel, to be suspended on a rolling cylinder; -- called also roller towel. 5. (Print.)  A cylinder coated with a composition made principally of glue and molassess, with which forms of type are inked previously to taking an impression from them. W. Savage. 6. A long cylinder on which something is rolled up; as, the roller of a man. 7. A small wheel, as of a caster, a roller skate, etc. 8. (Zoöl.)  ANy insect whose larva rolls up leaves; a leaf roller. see Tortrix. 9. Etym: [CF. F. rollier.] (Zoöl.)  Any one of numerous species of Old World picarian birds of the family Coraciadæ. The name alludes to their habit of suddenly turning over or \"tumbling\" in flight. Note: Many of the species are brilliantly colored. The common European species (Coracias garrula) has the head, neck, and under parts light blue varied with green, the scapulars chestnut brown, and the tail blue, green, and black. The broad-billed rollers of India and Africa belong to the genus Eurystomus, as the oriental roller (E. orientalis), and the Australian roller, or dollar bird (E. Pacificus). The latter is dark brown on the head and neck, sea green on the back, and bright blue on the throat, base of the tail, and parts of the wings. It has a silvery-white spot on the middle of each wing. 10. (Zoöl.)  Any species of small ground snakes of the family Tortricidæ. Ground roller (Zoöl.), any one of several species of Madagascar rollers belonging to Atelornis and allied genera. They are nocturnal birds, and feed on the ground. -- Roller bolt, the bar in a carriage to which the traces are attached; a whiffletree. [Eng.] -- Roller gin, a cotton gin inn which rolls are used for separating the seeds from the fiber. -- Roller mill. See under Mill. -- Roller skate, a skate which has small wheels in the place of the metallic runner; -- designed for use in skating upon a smooth, hard surface, other than ice.
roller bearing |A bearing containing friction rollers.
roller coaster |An amusement railroad in which cars coast by gravity over a long winding track, with steep pitches and ascents.
rolley |A small wagon used for the underground work of a mine. Tomlison.
rollic |To move or play in a careless, swaggering manner, with a frolicsome air; to frolic; to sport; commonly in the form rollicking. [Colloq.] He described his friends as rollicking blades. T. Hook.
rolliche |A kind of sausage, made in a bag of tripe, sliced and fried, famous among the Dutch of New Amsterdam and still known, esp. in New Jersey.
rollichie |A kind of sausage, made in a bag of tripe, sliced and fried, famous among the Dutch of New Amsterdam and still known, esp. in New Jersey.
rolling |1. Rotating on an axis, or moving along a surface by rotation; turning over and over as if on an axis or a pivot; as, a rolling wheel or ball. 2. Moving on wheels or rollers, or as if on wheels or rollers; as, a rolling chair. 3. Having gradual, rounded undulations of surface; as, a rolling country; rolling land. [U.S.] Rolling bridge. See the Note under Drawbridge. -- Rolling circle of a paddle wheel, the circle described by the point whose velocity equals the velocity of the ship. J. Bourne. -- Rolling fire (Mil.), a discharge of firearms by soldiers in line, in quick succession, and in the order in which they stand. -- Rolling friction, that resistance to motion experienced by one body rolling upon another which arises from the roughness or other quality of the surfaces in contact. -- Rolling mill, a mill furnished with heavy rolls, between which heated metal is passed, to form it into sheets, rails, etc. -- Rolling press. (a) A machine for calendering cloth by pressure between revolving rollers. (b) A printing press with a roller, used in copperplate printing. -- Rolling stock, or Rolling plant, the locomotives and vehicles of a railway. -- Rolling tackle (Naut.), tackle used to steady the yards when the ship rolls heavily. R. H. Dana, Jr.
rolling-pin |A cylindrical piece of wood or other material, with which paste or dough may be rolled out and reduced to a proper thickness.
rollway |A place prepared for rolling logs into a stream.
rolly-poly |A kind of pudding made of paste spread with fruit, rolled into a cylindrical form, and boiled or steamed. -- a.  Shaped like a rolly-poly; short and stout. [Written also roly- poly.]
rolly-pooly |A game in which a ball, rolling into a certain place, wins. [Written also rouly-pouly.]
roly-poly |Rolly-poly.
romage |See Rummage. [Obs.] Shak.
romaic |Of or relating to modern Greece, and especially to its language. -- n.  The modern Greek language, now usually called by the Greeks Hellenic or Neo-Hellenic. Note: The Greeks at the time of the capture of Constantinople were proud of being \"Romai^oi, or Romans . . . Hence the term Romaic was the name given to the popular language. . . . The Greek language is now spoken of as the Hellenic language. Encyc. Brit.
romajikai |An association, including both Japanese and Europeans, having for its object the changing of the Japanese method of writing by substituting Roman letters for Japanese characters.
roman |1. Of or pertaining to Rome, or the Roman people; like or characteristic of Rome, the Roman people, or things done by Romans; as, Roman fortitude; a Roman aqueduct; Roman art. 2. Of or pertaining to the Roman Catholic religion; professing that religion. 3. (Print.) (a) Upright; erect; -- said of the letters or kind of type ordinarily used, as distinguished from Italic characters. (b) Expressed in letters, not in figures, as I., IV., i., iv., etc.; -- said of numerals, as distinguished from the Arabic numerals, 1, 4, etc. Roman alum (Chem.), a cubical potassium alum formerly obtained in large quantities from Italian alunite, and highly valued by dyers on account of its freedom from iron. -- Roman balance, a form of balance nearly resembling the modern steelyard. See the Note under Balance, n., 1. -- Roman candle, a kind of firework (generally held in the hand), characterized by the continued emission of shower of sparks, and the ejection, at intervals, of brilliant balls or stars of fire which are thrown upward as they become ignited. -- Roman Catholic, of, pertaining to, or the religion of that church of which the pope is the spiritual head; as, a Roman Catholic priest; the Roman Catholic Church. -- Roman cement, a cement having the property of hardening under water; a species of hydraulic cement. -- Roman law. See under Law. -- Roman nose, a nose somewhat aquiline. -- Roman ocher, a deep, rich orange color, transparent and durable, used by artists. Ure. -- Roman order (Arch.), the composite order. See Composite, a., 2.\n\n1. A native, or permanent resident, of Rome; a citizen of Rome, or one upon whom certain rights and privileges of a Roman citizen were conferred. 2. Roman type, letters, or print, collectively; -- in distinction from Italics.
roman calendar |The calendar of the ancient Romans, from which our modern calendars are derived. It is said to have consisted originally of ten months, Martius, Aprilis, Maius, Junius, Quintilis, Sextilis, September, October, November, and December, having a total of 304 days. Numa added two months, Januarius at the beginning of the year, and Februarius at the end, making in all 355 days. He also ordered an intercalary month, Mercedinus, to be inserted every second year. Later the order of the months was changed so that January should come before February. Through abuse of power by the pontiffs to whose care it was committed, this calendar fell into confusion. It was replaced by the Julian calendar. In designating the days of the month, the Romans reckoned backward from three fixed points, the calends, the nones, and the ides. The calends were always the first day of the month. The ides fell on the 15th in March, May, July (Quintilis), and October, and on the 13th in other months. The nones came on the eighth day (the ninth, counting the ides) before the ides. Thus, Jan. 13 was called the ides of January, Jan. 12, the day before the ides, and Jan. 11, the third day before the ides (since the ides count as one), while Jan. 14 was the 19th day before the calends of February.
romance |1. A species of fictitious writing, originally composed in meter in the Romance dialects, and afterward in prose, such as the tales of the court of Arthur, and of Amadis of Gaul; hence, any fictitious and wonderful tale; a sort of novel, especially one which treats of surprising adventures usually befalling a hero or a heroine; a tale of extravagant adventures, of love, and the like. \"Romances that been royal.\" Chaucer. Upon these three columns -- chivalry, gallantry, and religion -- repose the fictions of the Middle Ages, especially those known as romances. These, such as we now know them, and such as display the characteristics above mentioned, were originally metrical, and chiefly written by nations of the north of France. Hallam. 2. An adventure, or series of extraordinary events, resembling those narrated in romances; as, his courtship, or his life, was a romance. 3. A dreamy, imaginative habit of mind; a disposition to ignore what is real; as, a girl full of romance. 4. The languages, or rather the several dialects, which were originally forms of popular or vulgar Latin, and have now developed into Italian. Spanish, French, etc. (called the Romanic languages). 5. (Mus.)  A short lyric tale set to music; a song or short instrumental piece in ballad style; a romanza. Syn. -- Fable; novel; fiction; tale.\n\nOf or pertaining to the language or dialects known as Romance.\n\nTo write or tell romances; to indulge in extravagant stories. A very brave officer, but apt to romance. Walpole.
romancer |One who romances.
romancist |A romancer. [R.]
romancy |Romantic. [R.]
romanesque |1. (Arch.)  Somewhat resembling the Roman; -- applied sometimes to the debased style of the later Roman empire, but esp. to the more developed architecture prevailing from the 8th century to the 12th. 2. Of or pertaining to romance or fable; fanciful. Romanesque style (Arch.), that which grew up from the attempts of barbarous people to copy Roman architecture and apply it to their own purposes. This term is loosely applied to all the styles of Western Europe, from the fall of the Western Roman Empire to the appearance of Gothic architecture.\n\nRomanesque style.
romanic |1. Of or pertaining to Rome or its people. 2. Of or pertaining to any or all of the various languages which, during the Middle Ages, sprung out of the old Roman, or popular form of Latin, as the Italian, Spanish, Portuguese, French, Provencal, etc. 3. Related to the Roman people by descent; -- said especially of races and nations speaking any of the Romanic tongues. Romanic spelling, spelling by means of the letters of the Roman alphabet, as in English; -- contrasted with phonetic spelling.
romanish |Pertaining to Romanism.
romanism |The tenets of the Church of Rome; the Roman Catholic religion.
romanist |One who adheres to Romanism.
romanize |1. To Latinize; to fill with Latin words or idioms. [R.] Dryden. 2. To convert to the Roman Catholic religion.\n\n1. To use Latin words and idioms. \"Apishly Romanizing.\" Milton. 2. To conform to Roman Catholic opinions, customs, or modes of speech.
romanizer |One who Romanizes.
romansch |The language of the Grisons in Switzerland, a corruption of the Latin. [Written also Romansch, and Rumonsch.]
romant |A romaunt. [Obs.]
romantic |1. Of or pertaining to romance; involving or resembling romance; hence, fanciful; marvelous; extravagant; unreal; as, a romantic tale; a romantic notion; a romantic undertaking. Can anything in nature be imagined more profane and impious, more absurd, and undeed romantic, than such a persuasion South. Zeal for the good of one's country a party of men have represented as chimerical and romantic. Addison. 2. Entertaining ideas and expectations suited to a romance; as, a romantic person; a romantic mind. 3. Of or pertaining to the style of the Christian and popular literature of the Middle Ages, as opposed to the classical antique; of the nature of, or appropriate to, that style; as, the romantic school of poets. 4. Characterized by strangeness or variety; suggestive of adventure; suited to romance; wild; picturesque; -- applied to scenery; as, a romantic landscape. Syn. -- Sentimental; fanciful; fantastic; fictitious; extravagant; wild; chimerical. See Sentimental. The romantic drama. See under Drama.
romantical |Romantic.
romanticaly |In a romantic manner.
romanticism |A fondness for romantic characteristics or peculiarities; specifically, in modern literature, an aiming at romantic effects; -- applied to the productions of a school of writers who sought to revive certain medi He [Lessing] may be said to have begun the revolt from pseudo- classicism in poetry, and to have been thus unconsciously the founder of romanticism. Lowell.
romanticist |One who advocates romanticism in modern literature. J. R. Seeley.
romanticly |Romantically. [R.] Strype.
romanticness |The state or quality of being romantic; widness; fancifulness. Richardson.
romany |1. A gypsy. 2. The language spoken among themselves by the gypsies. [Written also Rommany.]
romanza |See Romance,5.
romaunt |A romantic story in verse; as, the \"Romaunt of the Rose.\" O, hearken, loving hearts and bold, Unto my wild romaunt. Mrs. Browning.
romble |Rumble. [Obs.] Chaucer.
rombowline |Old, condemned canvas, rope, etc., unfit for use except in chafing gear. [Written also rumbowline.]
rome penny |See Peter pence, under Peter.
rome scot |See Peter pence, under Peter.
romeine |A mineral of a hyacinth or honey-yellow color, occuring in square octahedrons. It is an antimonate of calcium.
romeite |A mineral of a hyacinth or honey-yellow color, occuring in square octahedrons. It is an antimonate of calcium.
romekin |A drinking cup. [Written also romkin.] [Obs.] Halliwell.
romeward |Toward Rome, or toward the Roman Catholic Church.\n\nTending or directed toward Rome, or toward the Roman Catholic Church. To analyze the crisis in its Anglican rather than in its Romeward aspect. Gladstone.
romic |A method of notation for all spoken sounds, proposed by Mr. Sweet; -- so called because it is based on the common Roman-letter alphabet. It is like the palæotype of Mr. Ellis in the general plan, but simpler.
romish |Belonging or relating to Rome, or to the Roman Catholic Church; -- frequently used in a disparaging sense; as, the Romish church; the Romish religion, ritual, or ceremonies.
romist |A Roman Catholic. [R.] South.
romp |To play rudely and boisterously; to leap and frisk about in play.\n\n1. A girl who indulges in boisterous play. 2. Rude, boisterous play or frolic; rough sport. While romp-loving miss Is hauled about in gallantry robust. Thomson.
romping |Inclined to romp; indulging in romps. A little romping girl from boarding school. W. Irving.
rompingly |In a romping manner.
rompish |Given to rude play; inclined to romp. --- Romp\"ish, adv. -- Romp\"ish*ness, n.
rompu |Broken, as an ordinary; cut off, or broken at the top, as a chevron, a bend, or the like.
roncador |Any one of several species of California sciænoid food fishes, especially Roncador Stearnsi, which is an excellent market fish, and the red roncador (Corvina, or Johnius, saturna).
ronchil |An American marine food fish (Bathymaster signatus) of the North Pacific coast, allied to the tilefish. [Written also ronquil.]
ronco |See Croaker, n., 2. (a). [Texas]
rondache |A circular shield carried by foot soldiers.
ronde |A kind of script in which the heavy strokes are nearly upright, giving the characters when taken together a round look.
rondeau |1. A species of lyric poetry so composed as to contain a refrain or repetition which recurs according to a fixed law, and a limited number of rhymes recurring also by rule. Note: When the rondeau was called the rondel it was mostly written in fourteen octosyllabic lines of two rhymes, as in the rondels of Charles d'Orleans. . . . In the 17th century the approved form of the rondeau was a structure of thirteen verses with a refrain. Encyc. Brit. 2. (Mus.)  See Rondo,1.
rondel |1. (Fort.)  A small round tower erected at the foot of a bastion. [Obs.] 2. Etym: [F.] (a) Same as Rondeau. (b) Specifically, a particular form of rondeau containing fourteen lines in two rhymes, the refrain being a repetition of the first and second lines as the seventh and eighth, and again as the thirteenth and fourteenth. E. W. Gosse.
rondeletia |A tropical genus of rubiaceous shrubs which often have brilliant flowers.
rondle |1. A rondeau. [Obs.] Spenser. 2. A round mass, plate, or disk; especially (Metal.), the crust or scale which forms upon the surface of molten metal in the crucible.
rondo |1. (Mus.)  A composition, vocal or instrumental, commonly of a lively, cheerful character, in which the first strain recurs after each of the other strains. \"The Rondo-form was the earliest and most frequent definite mold for musical construction.\" Grove. 2. (Poetry)  See Rondeau, 1.
rondure |1. A round; a circle. [Obs.] Shak. 2. Roundness; plumpness. [R.] High-kirtled for the chase, and what was shown Of maiden rondure, like the rose half-blown. Lowell.
rong |imp. & p. p. of Ring. Chaucer.\n\nRung (of a ladder). [Obs.] Chaucer.
rongeur |An instrument for removing small rough portions of bone.
ronin |In Japan, under the feudal system, a samurai who had renounced his clan or who had been discharged or ostracized and had become a wanderer without a lord; an outcast; an outlaw.
ronion |A mangy or scabby creature. \"Aroint thee, with!\" the rump-fed ronyon cries. Shak.
ronne |obs. imp. pl., and Ron\"nen (,  obs. p. p. of Renne, to run. Chaucer.
ronnen |obs. imp. pl., and Ron\"nen (,  obs. p. p. of Renne, to run. Chaucer.
ront |A runt. [Obs.] Spenser.
rontgen |Of or pertaining to the German physicist Wilhelm Konrad Röntgen, or the rays discovered by him; as, Röntgen apparatus.
rontgen ray |Any of the rays produced when cathode rays strike upon surface of a solid (as the wall of the vacuum tube). Röntgen rays are noted for their penetration of many opaque substances, as wood and flesh, their action on photographic plates, and their fluorescent effects. They were called X rays by their discoverer, W. K. Röntgen. They also ionize gases, but cannot be reflected, or polarized, or deflected by a magnetic field. They are regarded as nonperiodic, transverse pulses in the ether. They are used in examining opaque objects, as for locating fractures or bullets in the human body.
rontgenize |To render (air or other gas) conducting by the passage of Röntgen rays.
ronyon |A mangy or scabby creature. \"Aroint thee, with!\" the rump-fed ronyon cries. Shak.
rood |1. A representation in sculpture or in painting of the cross with Christ hanging on it. Note: Generally, the Trinity is represented, the Father as an elderly man fully clothed, with a nimbus around his head, and holding the cross on which the Son is represented as crucified, the Holy Spirit descending in the form of a dove near the Son's head. Figures of the Virgin Mary and of St. John are often placed near the principal figures. Savior, in thine image seen Bleeding on that precious rood. Wordsworth. 2. A measure of five and a half yards in length; a red; a perch; a pole. [Prov.Eng.] 3. The fourth part of an acre, or forty square rods. By the rood, by the cross; -- a phrase formerly used in swearing. \"No, by the road, not so.\" Shak. -- Rood beam (Arch.), a beam across the chancel of a church, supporting the road. -- Rood loft (Arch.), a loft or gallery, in a church, on which the rood and its appendagess were set up to view. Gwilt. -- Rood screen (Arch.), a screen, between the choir and the body of the church, over which the rood was placed. Fairholt. -- Rood tower (Arch.), a tower at the intersection of the nave and transept of a church; -- when crowned with a spire it was called also rood steeple. Weale. -- Rood tree, the cross. [Obs.] \"Died upon the rood tree.\" Gower.
roodebok |The pallah.
roody |Rank in growth. [Prov.Eng.]
roof |1. (Arch.)  The cover of any building, including the roofing (see Roofing) and all the materials and construction necessary to carry and maintain the same upon the walls or other uprights. In the case of a building with vaulted ceilings protected by an outer roof, some writers call the vault the roof, and the outer protection the roof mask. It is better, however, to consider the vault as the ceiling only, in cases where it has farther covering. 2. That which resembles, or corresponds to, the covering or the ceiling of a house; as, the roof of a cavern; the roof of the mouth. The flowery roof Showered roses, which the morn repaired. Milton. 3. (Mining.)  The surface or bed of rock immediately overlying a bed of coal or a flat vein. Bell roof, French roof, etc. (Arch.) See under Bell, French, etc. -- Flat roof. (Arch.) (a) A roof actually horizontal and level, as in some Oriental buildings. (b) A roof nearly horizontal, constructed of such material as allows the water to run off freely from a very slight inclination. -- Roof plate. (Arch.) See Plate, n., 10.\n\n1. To cover with a roof. I have not seen the remains of any Roman buildings that have not been roofed with vaults or arches. Addison. 2. To inclose in a house; figuratively, to shelter. Here had we now our country's honor roofed. Shak.
roofer |One who puts on roofs.
roofing |1. The act of covering with a roof. 2. The materials of which a roof is composed; materials for a roof. Gwilt. 3. Hence, the roof itself; figuratively, shelter. \"Fit roofing gave.\" Southey. 4. (Mining)  The wedging, as of a horse or car, against the top of an underground passage. Raymond.
roofless |1. Having no roof; as, a roofless house. 2. Having no house or home; shelterless; homeless.
rooflet |A small roof, covering, or shelter.
rooftree |The beam in the angle of a roof; hence, the roof itself. Now for me the woods may wither, now for me the rooftree fall. Tennyson.
roofy |Having roofs. [R.] Dryden.
rook |Mist; fog. See Roke. [Obs.]\n\nTo squat; to ruck. [Obs.] Shak.\n\nOne of the four pieces placed on the corner squares of the board; a castle.\n\n1. (Zoöl.)  A European bird (Corvus frugilegus) resembling the crow, but smaller. It is black, with purple and violet reflections. The base of the beak and the region around it are covered with a rough, scabrous skin, which in old birds is whitish. It is gregarious in its habits. The name is also applied to related Asiatic species. The rook . . . should be treated as the farmer's friend. Pennant. 2. A trickish, rapacious fellow; a cheat; a sharper. Wycherley.\n\nTo cheat; to defraud by cheating. \"A band of rooking officials.\" Milton.
rookery |1. The breeding place of a colony of rooks; also, the birds themselves. Tennyson. 2. A breeding place of other gregarious birds, as of herons, penguins, etc. 3. The breeding ground of seals, esp. of the fur seals. 4. A dilapidated building with many rooms and occupants; a cluster of dilapidated or mean buildings. 5. A brothel. [Low]
rooky |Misty; gloomy. [Obs.] Light thickens, and the crow Makes wing to the rooky wood. Shak. Note: Some make this Shakespearean word mean \"abounding in rooks.\",
  "hazel |1. (Bot.)  A shrub or small tree of the genus Corylus, as the C. avellana, bearing a nut containing a kernel of a mild, farinaceous taste; the filbert. The American species are C. Americana, which produces the common hazelnut, and C. rostrata. See Filbert. Gray. 2. A miner's name for freestone. Raymond. Hazel earth, soil suitable for the hazel; a fertile loam. -- Hazel grouse (Zoöl.), a European grouse (Bonasa betulina), allied to the American ruffed grouse. -- Hazel hoe, a kind of grub hoe. -- Witch hazel. See Witch-hazel, and Hamamelis.\n\n1. Consisting of hazels, or of the wood of the hazel; pertaining to, or derived from, the hazel; as, a hazel wand. I sit me down beside the hazel grove. Keble. 2. Of a light brown color, like the hazelnut. \"Thou hast hazel eyes.\" Shak.
room |1. Unobstructed spase; space which may be occupied by or devoted to any object; compass; extent of place, great or small; as, there is not room for a house; the table takes up too much room. Lord, it is done as thou hast commanded, and yet there is room. Luke xiv. 22. There was no room for them in the inn. Luke ii. 7. 2. A particular portion of space appropriated for occupancy; a place to sit, stand, or lie; a seat. If he have but twelve pence in his purse, he will give it for the best room in a playhouse. Overbury. When thou art bidden of any man to a wedding, sit not down in the highest room. Luke xiv. 8. 3. Especially, space in a building or ship inclosed or set apart by a partition; an apartment or chamber. I found the prince in the next room. Shak. 4. Place or position in society; office; rank; post; station; also, a place or station once belonging to, or occupied by, another, and vacated. [Obs.] When he heard that Archelaus did reign in Judea in the room of his father Herod. Matt. ii. 22. Neither that I look for a higher room in heaven. Tyndale. Let Bianca take her sister's room. Shak. 5. Possibility of admission; ability to admit; opportunity to act; fit occasion; as, to leave room for hope. There was no prince in the empire who had room for such an alliance. Addison. Room and space (Shipbuilding), the distance from one side of a rib to the corresponding side of the next rib; space being the distance between two ribs, in the clear, and room the width of a rib. -- To give room, to withdraw; to leave or provide space unoccupied for others to pass or to be seated. -- To make room, to open a space, way, or passage; to remove obstructions; to give room. Make room, and let him stand before our face. Shak. Syn. -- Space; compass; scope; latitude.\n\nTo occupy a room or rooms; to lodge; as, they arranged to room together.\n\nSpacious; roomy. [Obs.] No roomer harbour in the place. Chaucer.
roomage |Space; place; room. [Obs.] Sir H. Wotton.
