unoperculated |Destitute of an operculum, or cover.
unpay |To undo, take back, or annul, as a payment. Shak.
unpeace |Absence or lack of peace. [Obs.] Testament of Love.
unpedigreed |Not distinguished by a pedigree. [R.] Pollok.
unpeeled |1. Etym: [1st pref. un- (intensive) + peel.]  Thoroughly stripped; pillaged. [Obs.] Shak. 2. Etym: [Pref. un- not + peeled.]  Not peeled.
unpeerable |Incapable of having a peer, or equal.
unpeered |Having no peer; unequaled; unparalleled. \"Unpeered excellence.\" Marston.
unpeg |To remove a peg or pegs from; to unfasten; to open. Shak.
unpen |To release from a pen or from confinement. \"If a man unpens another's water.\" Blackstone.
unpenetrable |Impenetrable.
unpenitent |Impenitent. Sandys.
unpeople |To deprive of inhabitants; to depopulate. Shak.
unperegal |Unequal. [Obs.] Chaucer.
unperfect |To mar or destroy the perfection of. [Obs.] Sir P. Sidney.\n\nImperfect. [Obs.] Holland. -- Un*per\"fect*ly, adv. [Obs.] Hales. -- Un*per\"fect*ness, n. [Obs.]
unperfection |Want of perfection; imperfection. [Obs.] Wyclif.
unperishable |Imperishable.
unperishably |Imperishably.
unperplex |To free from perplexity. [R.] Donne.
unpersuasion |The state of not being persuaded; disbelief; doubt. [R.] Abp. Leighton.
unpervert |To free from perversion; to deliver from being perverted; to reconvert. [Obs.]
unphilosophize |To degrade from the character of a philosopher. [R.] Pope.
unpick |To pick out; to undo by picking.
unpicked |Picked out; picked open. 2. Etym: [Pref. un- not + picked.]  Not picked. Milton.
unpin |To loose from pins; to remove the pins from; to unfasten; as, to unpin a frock; to unpin a frame.
unpinion |To loose from pinions or manacles; to free from restraint. Goldsmith.
unpitied |1. Not pitied. 2. Pitiless; merciless. [Obs.] Shak.
unpitious |1. Impious; wicked. [Obs.] \"The life of the unpitous.\" Wyclif (Prov. xv. 8). 2. Destitute of pity; pitiless. [Obs.] Chaucer. -- Un*pi\"tous*ly, adv. [Obs.] -- Un*pi\"tous*ness, n. [Obs.] Wyclif.
unpitousty |Impiety. [Obs.] Wyclif.
unpity |Want of piety. [Obs.]
unplacable |Implacable. [Obs.]
unplaced |Not placed.
unplaid |To deprive of a plaid.
unplained |Not deplored or bewailed; unlamented. [Obs.] Spenser.
unplat |To take out the folds or twists of, as something previously platted; to unfold; to unwreathe.
unplausive |Not approving; disapproving. [Obs.] Shak.
unpleaded |1. Not used as a plea; not urged; as, an unpleaded excuse. 2. Not supported by pleas; undefended; as, an unpleaded suit.
unpleasant |Not pleasant; not amiable or agreeable; displeasing; offensive. -- Un*pleas\"ant*ly, adv. -- Un*pleas\"ant*ness, n.
unpleasantry |1. Want of pleasantry. [R.] 2. A state of disagreement; a falling out. Thackeray.
unpleasive |Unpleasant. [Obs.] \"An unpleasive passion.\" Bp. Hall.
unpleat |To remove the plaits of; to smooth. W. Browne.
unplight |To unfold; to lay open; to explain. [Obs.] Chaucer.
unplumb |To deprive of lead, as of a leaden coffin. [R.] Burke.
unplume |To strip of plumes or feathers; hence, to humiliate.
unpoised |1. Not poised or balanced. 2. Not poised or weighed; hence, regardless of consequences; unhesitating. [Obs.] Marston.
unpoison |To remove or expel poison from. [Obs.] South.
unpolicied |1. Not having civil polity, or a regular form of government. 2. Impolitic; imprudent. [Obs.] Shak.
unpolish |To deprive of polish; to make impolite.
unpolite |Not polite; impolite; rude. -- Un`po*lite\"ly, adv. -- Un`po*lite\"ness, n.
unpolitic |Impolitic; imprudent.
unpolled |Not polled. Specifically: (a) Not enumerated or registered; as, an unpolled vote or voter. (b) Not plundered. [Obs.] \"Unpoll'd Arabian wealth.\" Fanshawe.
unpope |1. To divest of the character, office, or authority of a pope. 2. To deprive of a pope. [Obs.] Rome will never so far unpope herself as to part with her pretended supremacy. Fuller.
unportunate |Importunate; troublesome with requests. [Obs.] Golden Boke.
unportuous |Having no ports. [Obs.] \"An unportuous coast.\" Burke.
unpossess |To be without, or to resign, possession of. [Obs.]
unpossibility |Impossibility. [R.] \"Utter unpossibility.\" Poe.
unpossible |Impossible. [R.]
unpower |Want of power; weakness. [Obs.] Piers Plowman.
unpowerful |Not powerful; weak. Cowley.
unpracticable |Impracticable; not feasible.
unpractical |Not practical; impractical. \"Unpractical questions.\" H. James. I like him none the less for being unpractical. Lowell.
unpraise |To withhold praise from; to deprive of praise. [R.]
unpray |To revoke or annul by prayer, as something previously prayed for. [R.] Sir M. Hale.
unprayable |Not to be influenced or moved by prayers; obdurate. [R.] Wyclif.
unprayed |Not prayed for. [Obs.] Sir T. More.
unpreach |To undo or overthrow by preaching. [R.] De Foe.
unprecedented |Having no precedent or example; not preceded by a like case; not having the authority of prior example; novel; new; unexampled. -- Un*prec\"e*dent*ed*ly, adv.
unpredict |To retract or falsify a previous prediction. Milton.
unprejudiced |1. Not prejudiced; free from undue bias or prepossession; not preoccupied by opinion; impartial; as, an unprejudiced mind; an unprejudiced judge. 2. Not warped or biased by prejudice; as, an unprejudiced judgment. -- Un*prej\"u*diced*ness, n. V. Knox.
unprelated |Deposed from the office of prelate.
unprevented |1. Not prevented or hindered; as, unprevented sorrows. Shak. 2. Not preceded by anything. [Obs.] Milton.
unpriced |Not priced; being without a fixed or certain value; also, priceless. \"Amethyst unpriced.\" Neale (Rhythm of St. Bernard).
unpriest |To deprive of priesthood; to unfrock. [R.] Milton.
unprince |To deprive of the character or authority of a prince; to divest of principality of sovereignty. [R.] Swift.
unprinciple |To destroy the moral principles of. [R.]
unprincipled |Being without principles; especially, being without right moral principles; also, characterized by absence of principle. -- Un*prin\"ci*pled*ness, n.
unprison |To take or deliver from prison.
unprizable |1. Not prized or valued; being without value. [Obs.] 2. Invaluable; being beyond estimation. [Obs.]
unprobably |Improbably.\n\nIn a manner not to be approved of; improperly. [Obs. & R.] To diminish, by the authority of wise and knowing men, things unjustly and unprobably crept in. Strype.
unproficiency |Want of proficiency or improvement. Bp. Hall.
unprofit |Want of profit; unprofitableness. [Obs.] Wyclif.
unprofited |Profitless. [R.] Shak.
unpromise |To revoke or annul, as a promise. Chapman.
unprop |To remove a prop or props from; to deprive of support.
unproper |Not proper or peculiar; improper. [Obs.] -- Un*prop\"er*ly, adv. [Obs.]
unproselyte |To convert or recover from the state of a proselyte. Fuller.
unprotestantize |To render other than Protestant; to cause to change from Protestantism to some other form of religion; to deprive of some Protestant feature or characteristic. The attempt to unprotestantize the Church of England. Froude.
unprovide |To deprive of necessary provision; to unfurnish. Lest her . . . beauty unprovide my mind again. Shak.
unprovident |Improvident. [Obs.] \"Who for thyself art so unprovident.' Shak.
unprudence |Imprudence. [Obs.]
unprudent |Imprudent. [Obs.]
unprudential |Imprudent. [Obs.] \"The most unwise and unprudential act.\" Milton.
unpucker |To smooth away the puckers or wrinkles of.
unpure |Not pure; impure. -- Un*pure\"ly, adv. -- Un*pure\"ness, n.
unpursed |1. Robbed of a purse, or of money. [R.] Pollock. 2. Taken from the purse; expended. [Obs.] Gower.
unqualify |To disqualify; to unfit. Swift.
unqualitied |Deprived of the usual faculties. [Obs.] Shak.
unqueen |To divest of the rank or authority of queen. Shak.
unquestionable |1. Not questionable; as, an unquestionable title. 2. Not inviting questions or conversation. [R.] Shak. -- Un*ques\"tion*a*bly, adv.
unquestioned |1. Not called in question; not doubted. 2. Not interrogated; having no questions asked; not examined or examined into. Shak. She muttering prayers, as holy rites she meant, Through the divided crowd unquestioned went. Dryden. 3. Indisputable; not to be opposed or impugned. Their unquestioned pleasures must be served. B. Jonson.
unquick |Not quick. [R.] Daniel.
unquiet |To disquiet. [Obs.] Ld. Herbert.\n\nNot quiet; restless; uneasy; agitated; disturbed. -- Un*qui\"et*ly, adv. -- Un*qui\"et*ness, n.
unquietude |Uneasiness; inquietude.
unravel |1. To disentangle; to disengage or separate the threads of; as, to unravel a stocking. 2. Hence, to clear from complication or difficulty; to unfold; to solve; as, to unravel a plot. 3. To separate the connected or united parts of; to throw into disorder; to confuse. \"Art shall be conjured for it, and nature all unraveled.\" Dryden.\n\nTo become unraveled, in any sense.
unravelment |The act of unraveling, or the state of being unraveled.
unrazored |Not shaven. [R.] Milton.
unread |1. Not read or perused; as, an unread book. Hooker. 2. Not versed in literature; illiterate. Dryden.
unreadiness |The quality or state of being unready.
unready |1. Not ready or prepared; not prompt; slow; awkward; clumsy. Dryden. Nor need the unready virgin strike her breast. Keble. 2. Not dressed; undressed. [Obs.]\n\nTo undress. [Obs.] Sir P. Sidney.
unreal |Not real; unsubstantial; fanciful; ideal.
unreality |The quality or state of being unreal; want of reality.
unrealize |To make unreal; to idealize. His fancy . . . unrealizes everything at a touch. Lowell.
unreally |In an unreal manner; ideally.
unreason |Want of reason; unreasonableness; absurdity. Abbot of Unreason. See Abbot of Misrule, under Abbot.\n\nTo undo, disprove, or refute by reasoning. [Obs.] To unreason the equity of God's proceedings. South.
unreasonable |Not reasonable; irrational; immoderate; exorbitant. -- Un*rea\"son*a*ble*ness, n. -- Un*rea\"son*a*bly, adv.
unreasoned |Not supported by reason; unreasonable. \"Unreasoned habits.\" Burke.
unreave |To unwind; to disentangle; to loose. [Obs.] Spenser.
unreaved |Not torn, split, or parted; not torn to pieces. [Obs.] Bp. Hall.
unrebukable |Not deserving rebuke or censure; blameless. 1 Tim. vi. 14.
unrecuring |Incurable. [Obs.] \"Some unrecuring wound.\" Shak.
unredeemed |Not redeemed.
unreeve |To withdraw, or take out, as a rope from a block, thimble, or the like.
unreformation |Want of reformation; state of being unreformed. [Obs.] Bp. Hall.
unregeneracy |The quality or state of being unregenerate. Glanvill.
unregenerate |Not regenerated; not renewed in heart; remaining or being at enmity with God.
unregenerated |Not regenerated; not renewed in heart; remaining or being at enmity with God.
unregeneration |Unregeneracy.
unrein |To loosen the reins of; to remove restraint from. Addison.
unrelenting |Not relenting; unyielding; rigid; hard; stern; cruel. -- Un`re*lent\"ing*ly, adv. -- Un`re*lent\"ing*ness, n.
unreliable |Not reliable; untrustworthy. See Reliable. -- Un`re*li\"a*ble*ness, n. Alcibiades . . . was too unsteady, and (according to Mr. Coleridge's coinage) \"unreliable;\" or perhaps, in more correct English, too \"unrelyuponable.\" De Quincey.
unreligious |Irreligious. Wordsworth.
unremembrance |Want of remembrance; forgetfulness. I. Watts.
unremitting |Not remitting; incessant; continued; persevering; as, unremitting exertions. Cowper. -- Un`re*mit\"ting*ly, adv. -- Un`re*mit\"ting*ness, n.
unremorseless |Utterly remorseless. [Obs. & R.] \"Unremorseless death.\" Cowley.
unrepentance |Impenitence. [R.]
unreprievable |Not capable of being reprieved. Shak.
unreproachable |Not liable to be reproached; irreproachable.
unreproved |1. Not reproved. Sandys. 2. Not having incurred reproof, blameless. [Obs.] In unreproved pleasures free. Milton.
unreputable |Disreputable.
unreserve |Absence of reverse; frankness; freedom of communication. T. Warton.
unreserved |Not reserved; not kept back; not withheld in part; unrestrained. -- Un`re*serv\"ed*ly, adv. -- Un`re*serv\"ed*ness, n.
unresistance |Nonresistance; passive submission; irresistance. Bp. Hall.
unresisted |1. Not resisted; unopposed. Bentley. 2. Resistless; as, unresisted fate. [R.] Pope.
unresistible |Irresistible. W. Temple.
unrespect |Disrespect. [Obs.] \"Unrespect of her toil.\" Bp. Hall.
unresponsible |Irresponsible. Fuller. -- Un`re*spon\"si*ble*ness, n.
unrest |Want of rest or repose; unquietness; sleeplessness; uneasiness; disquietude. Is this, quoth she, the cause of your unrest! Chaucer. Can calm despair and wild unrest Be tenants of a single breast Tennyson.
unrestraint |Freedom from restraint; freedom; liberty; license.
unresty |Causing unrest; disquieting; as, unresty sorrows. [Obs.] Chaucer.
unrevenued |Not furnished with a revenue. [R.] Milton.
unreverence |Absence or lack of reverence; irreverence. [Obs.] Wyclif.
unreverend |1. Not reverend. 2. Disrespectful; irreverent. [Obs.] Shak.
unreverent |Irreverent. [R.] Shak.
unreverently |Irreverently. [R.] B. Jonson.
unriddle |To read the riddle of; to solve or explain; as, to unriddle an enigma or a mystery. Macaulay. And where you can't unriddle, learn to trust. Parnell.
unriddler |One who unriddles. Lovelace.
unrig |To strip of rigging; as, to unrig a ship. Totten.
unright |Not right; wrong. [Obs.] Gower.\n\nA wrong. [Obs.] Nor did I you never unright. Chaucer.\n\nTo cause (something right) to become wrong. [Obs.] Gower.
unrighteous |1. Not righteous; evil; wicked; sinful; as, an unrighteous man. 2. Contrary to law and equity; unjust; as, an unrighteous decree or sentence. -- Un*right\"eous*ly, adv. -- Un*right\"eous*ness, n.
unrightwise |Unrighteous. [Obs.] Wyclif. -- Un*right\"wise`ly, adv. [Obs.]
unringed |Not having a ring, as in the nose. \"Pigs unringed.\" Hudibras.
unrioted |Free from rioting. [Obs.] \"A chaste, unrioted house.\" May (Lucan).
unrip |To rip; to cut open. Bacon.
unripe |1. Not ripe; as, unripe fruit. 2. Developing too early; premature. Sir P. Sidney.
unripeness |Quality or state of being unripe.
unrivaled |Having no rival; without a competitor; peerless. [Spelt also unrivalled.] Pope.
unrivet |To take out, or loose, the rivets of; as, to unrivet boiler plates.
unrobe |To disrobe; to undress; to take off the robes.
unroll |1. To open, as what is rolled or convolved; as, to unroll cloth; to unroll a banner. 2. To display; to reveal. Dryden. 3. To remove from a roll or register, as a name. If I make not this cheat bring out another . . . let me be unrolled and my name put in the book of virtue! Shak.
unroof |To strip off the roof or covering of, as a house. Shak.
unroofed |1. Etym: [Properly p. p. of unroof.]  Stripped of a roof, or similar covering. Broken carriages, dead horses, unroofed cottages, all indicated the movements. Sir W. Scott. 2. Etym: [Pref. un- not + roofed.]  Not yet roofed.
unroost |To drive from the roost. Shak.
unroot |To tear up by the roots; to eradicate; to uproot.\n\nTo be torn up by the roots. Beau. & Fl.
unrude |1. Not rude; polished. Herrick. 2. Excessively rude. [Obs. & R.] \"See how the unrude rascal backbites him.\" B. Jonson.
unruffle |To cease from being ruffled or agitated. Dryden.
unruffled |Not ruffled or agitated; smooth; calm; tranquil; quiet. Calm and unruffled as a summer's sea. Addison.
unruinate |Not ruined or destroyed. [Obs.] \"Unruinated towers.\" Bp. Hall.
unruinated |Not ruined or destroyed. [Obs.] \"Unruinated towers.\" Bp. Hall.
unruled |1. Not governed or controlled. \"Unruled and undirected.\" Spenser. 2. Not ruled or marked with lines; as, unruled paper.
unruliment |Unruliness. [Obs.] \"Breaking forth with rude unruliment.\" Spenser.
unruliness |Quality or state unruly.
unruly |Not submissive to rule; disregarding restraint; disposed to violate; turbulent; ungovernable; refractory; as, an unruly boy; unruly boy; unruly conduct. But the tongue can no man tame; it is an unruly evil, full of deadly poison. James iii. 8.
unrumple |To free from rumples; to spread or lay even,
unsacrament |To deprive of sacramental character or efficacy; as, to unsacrament the rite of baptism. [Obs.]
unsad |Unsteady; fickle. [Obs.] O, stormy people, unsad and ever untrue. Chaucer.
unsadden |To relieve from sadness; to cheer. [R.] Whitlock.
unsaddle |1. To strip of a saddle; to take the saddle from, as a horse. 2. To throw from the saddle; to unhorse.
unsadness |Infirmity; weakness. [Obs.] Wyclif.
unsafety |The quality or state of being in peril; absence of safety; insecurity. Bacon.
unsaint |To deprive of saintship; to deny sanctity to. [R.] South.
unsaintly |Unbecoming to a saint. Gauden.
unsalable |Not salable; unmerchantable. -- n.  That which can not be sold. Byron.
unsanctification |Absence or lack of sanctification. Shak.
unsatiability |Quality of being unsatiable; insatiability. [Obs.]
unsatiable |Insatiable. [Obs.] Hooker. -- Un*sa\"ti*a*ble*ness, n. [Obs.] -- Un*sa\"ti*a*bly, adv. [Obs.]
unsatiate |Insatiate. Dr. H. More.
unsatisfaction |Dissatisfaction. [Obs.] Bp. Hall.
unsaturated |1. Capable of absorbing or dissolving to a greater degree; as, an unsaturated solution. 2. (Chem.)  Capable of taking up, or of uniting with, certain other elements or compounds, without the elimination of any side product; thus, aldehyde, ethylene, and ammonia are unsaturated.
unsaturation |The quality or state of being unsaturated.
unsay |To recant or recall, as what has been said; to refract; to take back again; to make as if not said. You can say and unsay things at pleasure. Goldsmith.
unscale |To divest of scales; to remove scales from. [An eagle] purging and unscaling her long-abused sight at the fountain itself of heavenly radiance. Milton.
unscapable |Not be escaped; inevitable. [Obs.] Wyclif.
unsceptered |1. Etym: [Pref. un- not + sceptered.]  Having no scepter. 2. Etym: [1st pref. un- + scepter.]  Deprived of a scepter.
unsceptred |1. Etym: [Pref. un- not + sceptered.]  Having no scepter. 2. Etym: [1st pref. un- + scepter.]  Deprived of a scepter.
unscience |Want of science or knowledge; ignorance. [Obs.] If that any wight ween a thing to be otherwise than it is, it is not only unscience, but it is deceivable opinion. Chaucer.
unscrew |To draw the screws from; to loose from screws; to loosen or withdraw (anything, as a screw) by turning it.
unscrupulous |Not scrupulous; unprincipled. -- Un*scru\"pu*lous*ly, adv. -- Un*scru\"pu*lous*ness, n.
unscrutable |Inscrutable. [R.]
unscutcheoned |Destitute of an escutcheon. [R.] Pollock.
unseal |1. To break or remove the seal of; to open, as what is sealed; as, to unseal a letter. Unable to unseal his lips beyond the width of a quarter of an inch. Sir W. Scott. 2. To disclose, as a secret. [Obs.] The Coronation.
unseam |To open the seam or seams of; to rip; to cut; to cut open. Shak.
unsearchable |Not searchable; inscrutable; hidden; mysterious. The counsels of God are to us unsearchable. Rogers. -- Un*search\"a*ble*ness, n. -- Un*search\"a*bly, adv.
unseason |1. To make unseasoned; to deprive of seasoning. 2. To strike unseasonably; to affect disagreeably or unfavorably. [Obs.] Why do I send this rustic madrigal, That may thy tuneful ear unseason quite Spenser.
unseasonable |Not seasonable; being, done, or occurring out of the proper season; ill-timed; untimely; too early or too late; as, he called at an unseasonable hour; unseasonable advice; unseasonable frosts; unseasonable food. -- Un*sea\"son*a*ble*ness, n. -- Un*sea\"son*a*bly, adv.
unseasoned |1. Not seasoned. 2. Untimely; ill-timed. [Obs.] Shak.
unseat |1. To throw from one's seat; to deprive of a seat. Cowper. 2. Specifically, to deprive of the right to sit in a legislative body, as for fraud in election. Macaulay.
unseconded |1. Not seconded; not supported, aided, or assisted; as, the motion was unseconded; the attempt was unseconded. 2. Not exemplified a second time. [Obs.] \"Strange and unseconded shapes of worms.\" Sir T. Browne.
unsecret |To disclose; to divulge. [Obs.] Bacon.\n\nNot secret; not close; not trusty; indiscreet. [Obs.] \"We are unsecret to ourselves.\" Shak.
unsecularize |To cause to become not secular; to detach from secular things; to alienate from the world.
unsecure |Insecure. [R.] Milton.
unseel |To open, as the eyes of a hawk that have been seeled; hence, to give light to; to enlighten. [Obs.] B. Jonson.
unseem |Not to seem. [Obs.] Shak.
unseeming |Unbeseeming; not fit or becoming.
unseemliness |The quality or state of being unseemly; unbecomingness. Udall.
unseemly |Not seemly; unbecoming; indecent. An unseemly outbreak of temper. Hawthorne.\n\nIn an unseemly manner.
unseen |1. Not seen or discovered. 2. Unskilled; inexperienced. [Obs.] Clarendon.
unseldom |Not seldom; frequently. [R.]
unsely |Not blessed or happy; wretched; unfortunate. [Written also unsilly.] [Obs.] Chaucer. -- Un*se\"li*ness, n. [Obs.] Chaucer.
unseminared |Deprived of virility, or seminal energy; made a eunuch. [Obs.]
unsensed |Wanting a distinct meaning; having no certain signification. [R.] Puller.
unsensible |Insensible. [Obs.]
unsensualize |To elevate from the domain of the senses; to purify. Coleridge.
unseparable |Inseparable. [Obs.] \"In love unseparable.\" Shak.
unservice |Neglect of duty; idleness; indolence. [Obs.] Massinger.
unset |Not set; not fixed or appointed.
unsettle |To move or loosen from a settled position or state; to unfix; to displace; to disorder; to confuse.\n\nTo become unsettled or unfixed; to be disordered. Shak.
unsettledness |The quality or state of being unsettled.
unsettlement |The act of unsettling, or state of being unsettled; disturbance. J. H. Newman.
unseven |To render other than seven; to make to be no longer seven. [Obs. & R.] \"To unseven the sacraments of the church of Rome.\" Fuller.
unsew |To undo, as something sewn, or something inclosed by sewing; to rip apart; to take out the stitches of.
unsex |To deprive of sex, or of qualities becoming to one's sex; esp., to make unfeminine in character, manners, duties, or the like; as, to unsex a woman.
unsexual |Not sexual; not proper or peculiar to one of the sexes. De Quincey.
unshackle |To loose from shackles or bonds; to set free from restraint; to unfetter. Addison.
unshakable |Not capable of being shaken; firm; fixed. Shak. J. S. Mill.
unshaked |Unshaken. [Obs.] Shak.
unshale |To strip the shale, or husk, from; to uncover. [Obs.] I will not unshale the jest before it be ripe. Marston.
unshape |To deprive of shape, or of proper shape; to disorder; to confound; to derange. [R.] Shak.
unshaped |Not shaped; shapeless; misshapen; deformed; ugly.
unshapen |Not shaped; shapeless; misshapen; deformed; ugly.
unsheathe |To deprive of a sheath; to draw from the sheath or scabbard, as a sword. To unsheathe the sword, to make war.
unshed |1. Not parted or divided, as the hair. [Obs.] Spenser. 2. Not spilt, or made to flow, as blood or tears. Milton.
unshell |To strip the shell from; to take out of the shell; to hatch.
unshelve |To remove from, or as from, a shelf.
unshent |Not shent; not disgraced; blameless. [Obs.] Bp. Hall.
unsheriff |To depose from the office of sheriff. [R.]
unshet |To unshut. [Obs.] Chaucer.
unshiftable |1. That may 2. Shiftless; helpless. [Obs.]
unship |1. To take out of a ship or vessel; as, to unship goods. 2. (Naut.)  To remove or detach, as any part or implement, from its proper position or connection when in use; as, to unship an oar; to unship capstan bars; to unship the tiller.
unshipment |The act of unshipping, or the state of being unshipped; displacement.
unshot |To remove the shot from, as from a shotted gun; to unload.\n\nNot hit by a shot; also, not discharged or fired off.
unshout |To recall what is done by shouting. [Obs.] Shak.
unshroud |To remove the shroud from; to uncover. P. Fletcher.
unshrubbed |Being without shrubs.
unshut |To open, or throw open. [Obs.] Chaucer.
unshutter |To open or remove the shutters of. T. Hughes.
unsight |Doing or done without sight; not seeing or examining. [Colloq.] Unsight unseen, a colloquial phrase, denoting unseeing unseen, or unseen repeated; as, to buy a thing unsight unseen, that is, without seeing it. For to subscribe, unsight, unseen, To a new church discipline. Hudibras. There was a great confluence of chapmen, that resorted from every part, with a design to purchase, which they were to do \"unsight unseen.\" Spectator.
unsightable |Invisible. [Obs.]
unsighted |1. Not sighted, or seen. Suckling. 2. (Gun.)  Not aimed by means of a sight; also, not furnished with a sight, or with a properly adjusted sight; as, to shoot and unsighted rife or cannon.
unsignificant |Insignificant. [Obs.] Holland.
unsilly |See Unsely. [Obs.]
unsimplicity |Absence of simplicity; artfulness. C. Kingsley.
unsin |To deprive of sinfulness, as a sin; to make sinless. [Obs.] Feltham.
unsincere |Not sincere or pure; insincere. [Obs.] Dryden. -- Un`sin*cere\"ness, n. [Obs.]
unsincerity |The quality or state of being unsincere or impure; insincerity. [Obs.] Boyle.
unsinew |To deprive of sinews or of strength. [R.] Dryden.
unsister |To separate, as sisters; to disjoin. [Poetic & R.] Tennyson.
unsisterly |Not sisterly. Richardson.
unsisting |Unresisting. [Obs.] \"The unsisting postern.\" Shak.
unsitting |Not sitting well; unbecoming. [Obs.] \"Unsitting words.\" Sir T. More.
unskill |Want of skill; ignorance; unskillfulness. [Obs.] Sylvester.
unskillful |1. Not skillful; inexperienced; awkward; bungling; as, an unskillful surgeon or mechanic; an unskillful logician. 2. Lacking discernment; injudicious; ignorant. Though it make the unskillful laugh, can not but make the judicious grieve. Shak. -- Un*skill\"ful*ly, adv. -- Un*skill\"ful*ness, n.
unslacked |Not slacked; unslaked; as, unslacked lime.
unslaked |Not slaked; unslacked; as, an unslaked thirst; unslaked lime.
unsling |To take off the slings of, as a yard, a cask, or the like; to release from the slings. Totten.
unsluice |To sluice; to open the sluice or sluices of; to let flow; to discharge. Dryden.
unsociability |The quality or state of being unsociable; unsociableness.
unsociable |Not sociable; not inclined to society; averse to companionship or conversation; solitary; reserved; as, an unsociable person or temper. -- Un*so\"cia*ble*ness, n. -- Un*so\"cia*bly, adv.
unsocket |To loose or take from a socket.
unsoft |Not soft; hard; coarse; rough. [Obs.] \"Bristles of his beard unsoft.\" Chaucer.\n\nNot softly. [Obs.] Great climbers fall unsoft. Spenser.
unsolder |To separate or disunite, as what has been soldered; hence, to divide; to sunder. [Formerly written also unsoder.] Tennyson.
unsoldiered |Not equipped like a soldier; unsoldierlike. [Obs.] J. Fletcher.
unsolemnize |To divest of solemnity.
unsonable |Incapable of being sounded. [Obs.]
unsonsy |Not soncy (sonsy); not fortunate. [Scot.]
unsoot |Not sweet. [Obs.] Spenser.
unsophisticate |Not sophisticated; pure; innocent; genuine. -- Un`so*phis\"ti*ca`ted*ness, n.
unsophisticated |Not sophisticated; pure; innocent; genuine. -- Un`so*phis\"ti*ca`ted*ness, n.
unsorrowed |Not sorrowed for; unlamented. Beau. & Fl.
unsorted |1. Not sorted; not classified; as, a lot of unsorted goods. 2. Not well selected; ill-chosen. The purpose you undertake is dangerous; the friends you named uncertain; the time itself unsorted. Shak.
unsoul |To deprive of soul, spirit, or principle. [R.] Shelton.
unsound |Not sound; not whole; not solid; defective; infirm; diseased. -- Un*sound\"ly, adv. -- Un*sound\"ness, n.
unspar |To take the spars, stakes, or bars from. [R.] Sir W. Scott.
unsparing |1. Not sparing; not parsimonious; liberal; profuse. Burke. 2. Not merciful or forgiving. [R.] Milton. -- Un*spar\"ing*ly, adv. -- Un*spar\"ing*ness, n.
unspeak |To retract, as what has been spoken; to recant; to unsay. [R.] Shak.
unspeakable |Not speakable; incapable of being uttered or adequately described; inexpressible; unutterable; ineffable; as, unspeakable grief or rage. -- Un*speak\"a*bly, adv. Ye rejoice with joy unspeakable and full of glory. 1 Pet. i. 8.
