stronghold |A fastness; a fort or fortress; fortfield place; a place of security.
structure |1. The act of building; the practice of erecting buildings; construction. [R.] His son builds on, and never is content Till the last farthing is in structure spent. J. Dryden, Jr. 2. Manner of building; form; make; construction. Want of insight into the structure and constitution of the terraqueous globe. Woodward. 3. Arrangement of parts, of organs, or of constituent particles, in a substance or body; as, the structure of a rock or a mineral; the structure of a sentence. It [basalt] has often a prismatic structure. Dana. 4. (Biol.)  Manner of organization; the arrangement of the different tissues or parts of animal and vegetable organisms; as, organic structure, or the structure of animals and plants; cellular structure. 5. That which is built; a building; esp., a building of some size or magnificence; an edifice. There stands a structure of majestic frame. Pope. Columnar structure. See under Columnar.
structured |Having a definite organic structure; showing differentiation of parts. The passage from a structureless state to a structured state is itself a vital process. H. Spencer.
structureless |Without a definite structure, or arrangement of parts; without organization; devoid of cells; homogeneous; as, a structureless membrane.
structurist |One who forms structures; a builder; a constructor. [R.]
strude |A stock of breeding mares. [Written also strode.] [Obs.] Bailey.
struggle |1. To strive, or to make efforts, with a twisting, or with contortions of the body. 2. To use great efforts; to labor hard; to strive; to contend forcibly; as, to struggle to save one's life; to struggle with the waves; to struggle with adversity. The brave men, living and dead, who struggled here, have consecrated it [Gettysburg] far above our power to add or detract. Lincoln. 3. To labor in pain or anguish; to be in agony; to labor in any kind of difficulty or distress. 'T is wisdom to beware, And better shun the bait than struggle in the snare. Dryden. Syn. -- To strive; contend; labor; endeavor.\n\n1. A violent effort or efforts with contortions of the body; agony; distress. 2. Great labor; forcible effort to obtain an object, or to avert an evil. Macaulay. 3. Contest; contention; strife. An honest might look upon the struggle with indifference. Addison. Syn. -- Endeavor; effort; contest; labor; difficulty.
struggler |One who struggles.
strull |A bar so placed as to resist weight.
strum |To play on an instrument of music, or as on an instrument, in an unskillful or noisy way; to thrum; as, to strum a piano.
struma |1. (Med.)  Scrofula. 2. (Bot.)  A cushionlike swelling on any organ; especially, that at the base of the capsule in many mosses.
strumatic |Scrofulous; strumous.
strumose |1. (Med.)  Strumous. 2. (Bot.)  Having a struma.
strumous |Scrofulous; having struma.
strumousness |The state of being strumous.
strumpet |A prostitute; a harlot. Shak.\n\nOf or pertaining to a strumpet; characteristic of a strumpet. Out on thy more than strumpet impudence. B. Jonson.\n\n1. To debauch. [Obs.] Shak. 2. To dishonor with the reputation of being a strumpet; hence, to belie; to slander. With his untrue reports, strumpet your fame. Massinger.
strumstrum |A rude musical instrument somewhat like a cittern. [R.] Dampier.
strung |imp. & p. p. of String.
strunt |Spirituous liquor. [Scot.] Burns.
struntian |A kind of worsted braid, about an inch broad. [Scot.] Jamieson.
struse |A Russian river craft used for transporting freight.
strut |1. To swell; to bulge out. [R.] The bellying canvas strutted with the gale. Dryden. 2. To walk with a lofty, proud gait, and erect head; to walk with affected dignity. Does he not hold up his head, . . . and strut in his gait Shak.\n\n1. The act of strutting; a pompous step or walk. 2. (Arch.)  In general, any piece of a frame which resists thrust or pressure in the direction of its own length. See Brace, and Illust. of Frame, and Roof. 3. (Engin.)  Any part of a machine or structure, of which the principal function is to hold things apart; a brace subjected to compressive stress; -- the opposite of stay, and tie.\n\nTo hold apart. Cf. Strut, n., 3.\n\nProtuberant. [Obs.] Holland.
struthian |Struthious.
struthio |A genus of birds including the African ostriches.
struthioidea |Same as Struthiones.
struthiones |(a) A division, or order, of birds, including only the African ostriches. (b) In a wider sense, an extensive group of birds including the ostriches, cassowaries, emus, moas, and allied birds incapable of flight. In this sense it is equivalent to Ratitæ, or Dromæognathæ.
struthionine |Struthious.
struthious |Of or pertaining to the Struthiones, or Ostrich tribe.
strutter |One who struts.
strutting |from Strut, v. -- Strut\"ting*ly, adv.
struvite |A crystalline mineral found in guano. It is a hydrous phosphate of magnesia and ammonia.
strychnia |Strychnine.
strychnic |Of or pertaining to strychnine; produced by strychnine; as, strychnic compounds; strychnic poisoning; specifically (Chem.),  used to designate an acid, called also igasuric acid.
strychnine |A very poisonous alkaloid resembling brucine, obtained from various species of plants, especially from species of Loganiaceæ, as from the seeds of the St. Ignatius bean (Strychnos Ignatia) and from nux vomica. It is obtained as a white crystalline substance, having a very bitter acrid taste, and is employed in medicine (chiefly in the form of the sulphate) as a powerful neurotic stimulant. Called also strychnia, and formerly strychnina.
strychnos |A genus of tropical trees and shrubs of the order Loganiaceæ. See Nux vomica.
stryphnic |Pertaining to, or designating, a complex nitrogenous acid, obtained by the action of acetic acid and potassium nitrite on uric acid, as a yellow crystalline substance, with a bitter, astringent taste.
stub |1. The stump of a tree; that part of a tree or plant which remains fixed in the earth when the stem is cut down; -- applied especially to the stump of a small tree, or shrub. Stubs sharp and hideous to behold. Chaucer. And prickly stubs instead of trees are found. Dryden. 2. A log; a block; a blockhead. [Obs.] Milton. 3. The short blunt part of anything after larger part has been broken off or used up; hence, anything short and thick; as, the stub of a pencil, candle, or cigar. 4. A part of a leaf in a check book, after a check is torn out, on which the number, amount, and destination of the check are usually recorded. 5. A pen with a short, blunt nib. 6. A stub nail; an old horseshoe nail; also, stub iron. Stub end (Mach.), the enlarged end of a connecting rod, to which the strap is fastened. -- Stub iron, iron made from stub nails, or old horseshoe nails, -- used in making gun barrels. -- Stub mortise (Carp.), a mortise passing only partly through the timber in which it is formed. -- Stub nail, an old horseshoe nail; a nail broken off; also, a short, thick nail. -- Stub short, or Stub shot (Lumber Manuf.), the part of the end of a sawn log or plank which is beyond the place where the saw kerf ends, and which retains the plank in connection with the log, until it is split off. -- Stub twist, material for a gun barrel, made of a spirally welded ribbon of steel and stub iron combined.\n\n1. To grub up by the roots; to extirpate; as, to stub up edible roots. What stubbing, plowing, digging, and harrowing is to a piece of land. Berkley. 2. To remove stubs from; as, to stub land. 3. To strike as the toes, against a stub, stone, or other fixed object. [U. S.]
stubbed |1. Reduced to a stub; short and thick, like something truncated; blunt; obtuse. 2. Abounding in stubs; stubby. A bit of stubbed ground, once a wood. R. Browning. 3. Not nice or delicate; hardy; rugged. \"Stubbed, vulgar constitutions.\" Berkley.
stubbedness |The quality or state of being stubbed.
stubbiness |The state of being stubby.
stubble |The stumps of wheat, rye, barley, oats, or buckwheat, left in the ground; the part of the stalk left by the scythe or sickle. \"After the first crop is off, they plow in the wheast stubble.\" Mortimer. Stubble goose (Zoöl.), the graylag goose. [Prov. Eng.] Chaucer. -- Stubble rake, a rake with long teeth for gleaning in stubble.
stubbled |1. Covered with stubble. A crow was strutting o'er the stubbled plain. Gay. 2. Stubbed; as, stubbled legs. [Obs.] Skelton.
stubbly |Covered with stubble; stubbled.
stubborn |Firm as a stub or stump; stiff; unbending; unyielding; persistent; hence, unreasonably obstinate in will or opinion; not yielding to reason or persuasion; refractory; harsh; -- said of persons and things; as, stubborn wills; stubborn ore; a stubborn oak; as stubborn as a mule. \"Bow, stubborn knees.\" Shak. \"Stubborn attention and more than common application.\" Locke. \"Stubborn Stoics.\" Swift. And I was young and full of ragerie [wantonness] Stubborn and strong, and jolly as a pie. Chaucer. These heretics be so stiff and stubborn. Sir T. More. Your stubborn usage of the pope. Shak. Syn. -- Obstinate; inflexible; obdurate; headstrong; stiff; hardy; firm; refractory; intractable; rugged; contumacious; heady. -- Stubborn, Obstinate. Obstinate is used of either active or passive persistence in one's views or conduct, in spite of the wishes of others. Stubborn describes an extreme degree of passive obstinacy. -- Stub\"born*ly, adv. -- Stub\"born*ness, n.
stubby |1. Abounding with stubs. 2. Short and thick; short and strong, as bristles.
stucco |1. Plaster of any kind used as a coating for walls, especially, a fine plaster, composed of lime or gypsum with sand and pounded marble, used for internal decorations and fine work. 2. Work made of stucco; stuccowork.\n\nTo overlay or decorate with stucco, or fine plaster.
stuccoer |One who stuccoes.
stuccowork |Work done in stucco.
stuck |imp. & p. p. of Stick.\n\nA thrust. [Obs.] Shak.
stuck-up |Self-important and supercilious, [Colloq.] The airs of small, stuck-up, men. A. K. H. Boyd.
stuckle |A number of sheaves set together in the field; a stook.
stud |A collection of breeding horses and mares, or the place where they are kept; also, a number of horses kept for a racing, riding, etc. In the studs of Ireland, where care is taken, we see horses bred of excellent shape, vigor, and size. Sir W. Temple. He had the finest stud in England, and his delight was to win plates from Tories. Macaulay.\n\n1. A stem; a trunk. [Obs.] Seest not this same hawthorn stud Spenser. 2. (Arch.)  An upright scanting, esp. one of the small uprights in the framing for lath and plaster partitions, and furring, and upon which the laths are nailed. 3. A kind of nail with a large head, used chiefly for ornament; an ornamental knob; a boss. A belt of straw and ivy buds, With coral clasps and amber studs. Marlowe. Crystal and myrrhine cups, embossed with gems And studs of pearl. Milton. 4. An ornamental button of various forms, worn in a shirt front, collar, wristband, or the like, not sewed in place, but inserted through a buttonhole or eyelet, and transferable. 5. (Mach.) (a) A short rod or pin, fixed in and projecting from something, and sometimes forming a journal. (b) A stud bolt. 6. An iron brace across the shorter diameter of the link of a chain cable. Stud bolt, a bolt with threads on both ends, to be screwed permanently into a fixed part at one end and receive a nut upon the other; -- called also standing bolt.\n\n1. To adorn with shining studs, or knobs. Thy horses shall be trapped, Their harness studded all with gold and pearl. Shak. 2. To set with detached ornaments or prominent objects; to set thickly, as with studs. The sloping sides and summits of our hills, and the extensive plains that stretch before our view, are studded with substantial, neat, and commodious dwellings of freemen. Bp. Hobart.
stud-horse |A stallion, esp. one kept for breeding.
studbook |A genealogical register of a particular breed or stud of horses, esp. thoroughbreds.
studdery |A stud, or collection of breeding horses and mares; also, a place for keeping a stud. [Obs.] King Henry the Eighth erected a noble studdery. Holinshed.
studding |Material for studs, or joists; studs, or joists, collectively; studs.
studding sail |A light sail set at the side of a principal or square sail of a vessel in free winds, to increase her speed. Its head is bent to a small spar which is called the studding-sail boom. See Illust. of Sail. Toten.
student |1. A person engaged in study; one who is devoted to learning; a learner; a pupil; a scholar; especially, one who attends a school, or who seeks knowledge from professional teachers or from books; as, the students of an academy, a college, or a university; a medical student; a hard student. Keep a gamester from the dice, and a good student from his book. Shak. 2. One who studies or examines in any manner; an attentive and systematic observer; as, a student of human nature, or of physical nature.
studentry |A body of students. [R.]
studentship |The state of being a student.
studfish |Any one of several species of small American minnows of the genus Fundulus, as F. catenatus.
studied |1. Closely examined; read with diligence and attention; made the subject of study; well considered; as, a studied lesson. 2. Well versed in any branch of learning; qualified by study; learned; as, a man well studied in geometry. I shrewdly suspect that he is little studied of a theory of moral proportions. Burke. 3. Premeditated; planned; designed; as, a studied insult. \"Studied magnificence.\" Hawthorne. 4. Intent; inclined. [Obs.] Shak.
studiedly |In a studied manner.
studier |A student. [R.] W. Irving. Lipsius was a great studier of the stoical philosophy. Tillotson.
studio |The working room of an artist.
studious |1. Given to study; devoted to the acquisition of knowledge from books; as, a studious scholar. 2. Given to thought, or to the examination of subjects by contemplation; contemplative. Locke. 3. Earnest in endeavors; aiming sedulously; attentive; observant; diligent; -- usually followed by an infinitive or by of; as, be studious to please; studious to find new friends and allies. You that are so studious Of my affairs, wholly neglect your own. Massinger. 4. Planned with study; deliberate; studied. For the frigid villainy of studious lewdness, . . . with apology can be invented Rambler. 5. Favorable to study; suitable for thought and contemplation; as, the studious shade. [Poetic] But let my due feet never fail To walk the studious cloister's pale. Milton. -- Stu\"di*ous*ly, adv. -- Stu\"di*ous*ness, n.
study |1. A setting of the mind or thoughts upon a subject; hence, application of mind to books, arts, or science, or to any subject, for the purpose of acquiring knowledge. Hammond . . . spent thirteen hours of the day in study. Bp. Fell. Study gives strength to the mind; conversation, grace. Sir W. Temple. 2. Mental occupation; absorbed or thoughtful attention; meditation; contemplation. Just men they seemed, and all their study bent To worship God aright, and know his works. Milton. 3. Any particular branch of learning that is studied; any object of attentive consideration. The Holy Scriptures, especially the New Testament, are her daily study. Law. The proper study of mankind is man. Pope. 4. A building or apartment devoted to study or to literary work. \"His cheery little study.\" Hawthorne. 5. (Fine Arts)  A representation or rendering of any object or scene intended, not for exhibition as an original work of art, but for the information, instruction, or assistance of the maker; as, a study of heads or of hands for a figure picture. 6. (Mus.)  A piece for special practice. See Etude.\n\n1. To fix the mind closely upon a subject; to dwell upon anything in thought; to muse; to ponder. Chaucer. I found a moral first, and then studied for a fable. Swift. 2. To apply the mind to books or learning. Shak. 3. To endeavor diligently; to be zealous. 1 Thes. iv. 11.\n\n1. To apply the mind to; to read and examine for the purpose of learning and understanding; as, to study law or theology; to study languages. 2. To consider attentively; to examine closely; as, to study the work of nature. Study thyself; what rank or what degree The wise Creator has ordained for thee. Dryden. 3. To form or arrange by previous thought; to con over, as in committing to memory; as, to study a speech. 4. To make an object of study; to aim at sedulously; to devote one's thoughts to; as, to study the welfare of others; to study variety in composition. For their heart studieth destruction. Prov. xxiv. 2.
stufa |A jet of steam issuing from a fissure in the earth.
stuff |1. Material which is to be worked up in any process of manufacture. For the stuff they had was sufficient for all the work to make it, and too much. Ex. xxxvi. 7. Ambitions should be made of sterner stuff. Shak. The workman on his stuff his skill doth show, And yet the stuff gives not the man his skill. Sir J. Davies. 2. The fundamental material of which anything is made up; elemental part; essence. Yet do I hold it very stuff o' the conscience To do no contrived murder. Shak. 3. Woven material not made into garments; fabric of any kind; specifically, any one of various fabrics of wool or worsted; sometimes, worsted fiber. What stuff wilt have a kirtle of Shak. It [the arras] was of stuff and silk mixed, though, superior kinds were of silk exclusively. F. G. Lee. 4. Furniture; goods; domestic vessels or utensils. He took away locks, and gave away the king's stuff. Hayward. 5. A medicine or mixture; a potion. Shak. 6. Refuse or worthless matter; hence, also, foolish or irrational language; nonsense; trash. Anger would indite Such woeful stuff as I or Shadwell write. Dryden. 7. (Naut.)  A melted mass of turpentine, tallow, etc., with which the masts, sides, and bottom of a ship are smeared for lubrication. Ham. Nav. Encyc. 8. Paper stock ground ready for use. Note: When partly ground, called half stuff. Knight. Clear stuff. See under Clear. -- Small stuff (Naut.), all kinds of small cordage. Ham. Nav. Encyc. -- Stuff gown, the distinctive garb of a junior barrister; hence, a junior barrister himself. See Silk gown, under Silk.stuff and nonsense. (See def. 6 for stuff) balderdash, twaddle, nonsense, foolishness.\n\n1. To fill by crowding something into; to cram with something; to load to excess; as, to stuff a bedtick. Sometimes this crook drew hazel bought adown, And stuffed her apron wide with nuts so brown. Gay. Lest the gods, for sin, Should with a swelling dropsy stuff thy skin. Dryden. 2. To thrust or crowd; to press; to pack. Put roses into a glass with a narrow mouth, stuffing them close together . . . and they retain smell and color. Bacon. 3. To fill by being pressed or packed into. With inward arms the dire machine they load, And iron bowels stuff the dark abode. Dryden. 4. (Cookery)  To fill with a seasoning composition of bread, meat, condiments, etc.; as, to stuff a turkey. 5. To obstruct, as any of the organs; to affect with some obstruction in the organs of sense or respiration. I'm stuffed, cousin; I can not smell. Shak. 6. To fill the skin of, for the purpose of preserving as a specimen; -- said of birds or other animals. 7. To form or fashion by packing with the necessary material. An Eastern king put a judge to death for an iniquitous sentence, and ordered his hide to be stuffed into a cushion, and placed upon the tribunal. Swift. 8. To crowd with facts; to cram the mind of; sometimes, to crowd or fill with false or idle tales or fancies. 9. To put fraudulent votes into (a ballot box). [U. S.]\n\nTo feed gluttonously; to cram. Taught harmless man to cram and stuff. Swift.
stuffer |One who, or that which, stuffs.
stuffiness |The quality of being stuffy.
stuffing |1. That which is used for filling anything; as, the stuffing of a saddle or cushion. 2. (Cookery)  Any seasoning preparation used to stuff meat; especially, a composition of bread, condiments, spices, etc.; forcemeat; dressing. 3. A mixture of oil and tallow used in softening and dressing leather. Stuffing box, a device for rendering a joint impervious where there is a hole through which a movable cylindrical body, as the paston rod of a steam engine, or the plunger of a pump, slides back and forth, or in which a shaft turns. It usually consists of a box or chamber, made by an enlargement of part of the hole, forming a space around the rod or shaft for containing packing which is compressed and made to fill the space closely by means of a sleeve, called the gland, which fits loosely around the rod, and is pressed upon the packing by bolts or other means.
stuffy |1. Stout; mettlesome; resolute. [Scot.] Jamieson. 2. Angry and obstinate; sulky. [U. S.] 3. Ill-ventilated; close.
stuke |Stucco. [Obs.]
stull |A framework of timber covered with boards to support rubbish; also, a framework of boards to protect miners from falling stones. [Prov. Eng.]
stulm |A shaft or gallery to drain a mine. [Local, Eng.] Bailey.
stulp |A short, stout post used for any purpose, a to mark a boundary. [Prov. Eng.] Halliwell.
stultification |The act of stultifying, or the state of being stultified.
stultifier |One who stultifies.
stultify |1. To make foolish; to make a fool of; as, to stultify one by imposition; to stultify one's self by silly reasoning or conduct. Burke. 2. To regard as a fool, or as foolish. [R.] The modern sciolist stultifies all understanding but his own, and that which he conceives like his own. Hazlitt. 3. (Law)  To allege or prove to be of unsound mind, so that the performance of some act may be avoided.
stultiloquence |Silly talk; babbling.
stultiloquent |Given to, or characterized by, silly talk; babbling. -- Stul*til\"o*quent*ly, adv.
stultiloquy |Foolish talk; silly discource; babbling. Jer. Taylor.
stulty |Foolish; silly. [Obs.] Testament of Love.
stum |1. Unfermented grape juice or wine, often used to raise fermentation in dead or vapid wines; must. Let our wines, without mixture of stum, be all fine. B. Jonson. And with thy stum ferment their fainting cause. Dryden. 2. Wine revived by new fermentation, reulting from the admixture of must. Hudibras.\n\nTo renew, as wine, by mixing must with it and raising a new fermentation. We stum our wines to renew their spirits. Floyer.
stumble |1. To trip in walking or in moving in any way with the legs; to strike the foot so as to fall, or to endanger a fall; to stagger because of a false step. There stumble steeds strong and down go all. Chaucer. The way of the wicked is as darkness: they know at what they stumble. Prov. iv. 19. 2. To walk in an unsteady or clumsy manner. He stumbled up the dark avenue. Sir W. Scott. 3. To fall into a crime or an error; to err. He that loveth his brother abideth in the light, and there is none occasion og stumbling in him. 1 John ii. 10. 4. To strike or happen (upon a person or thing) without design; to fall or light by chance; -- with on, upon, or against. Ovid stumbled, by some inadvertency, upon Livia in a bath. Dryden. Forth as she waddled in the brake, A gray goose stumbled on a snake. C. Smart.\n\n1. To cause to stumble or trip. 2. Fig.: To mislead; to confound; to perplex; to cause to err or to fall. False and dazzling fires to stumble men. Milton. One thing more stumbles me in the very foundation of this hypothesis. Locke.\n\n1. A trip in walking or running. 2. A blunder; a failure; a fall from rectitude. One stumble is enough to deface the character of an honorable life. L'Estrange.
stumbler |One who stumbles.
stumbling-block |Any cause of stumbling, perplexity, or error. We preach Christ crucified, unto the Jews a stumbling-block, and unto the Greeks foolishness. 1 Cor. i. 23.
stumbling-stone |A stumbling-block. This stumbling-stone we hope to take away. T. Burnet.
stumblingly |In a stumbling manner.
stump |1. The part of a tree or plant remaining in the earth after the stem or trunk is cut off; the stub. 2. The part of a limb or other body remaining after a part is amputated or destroyed; a fixed or rooted remnant; a stub; as, the stump of a leg, a finger, a tooth, or a broom. 3. pl.  The legs; as, to stir one's stumps. [Slang] 4. (Cricket)  One of the three pointed rods stuck in the ground to form a wicket and support the bails. 5. A short, thick roll of leather or paper, cut to a point, or any similar implement, used to rub down the lines of a crayon or pencil drawing, in shading it, or for shading drawings by producing tints and gradations from crayon, etc., in powder. 6. A pin in a tumbler lock which forms an obstruction to throwing the bolt, except when the gates of the tumblers are properly arranged, as by the key; a fence; also, a pin or projection in a lock to form a guide for a movable piece. Leg stump (Cricket), the stump nearest to the batsman. -- Off stump (Cricket), the stump farthest from the batsman. -- Stump tracery (Arch.), a term used to describe late German Gothic tracery, in which the molded bar seems to pass through itself in its convolutions, and is then cut off short, so that a section of the molding is seen at the end of each similar stump. -- To go on the stump, or To take the stump, to engage in making public addresses for electioneering purposes; -- a phrase derived from the practice of using a stump for a speaker's platform in newly- settled districts. Hence also the phrases stump orator, stump speaker, stump speech, stump oratory, etc. [Colloq. U.S.]\n\n1. To cut off a part of; to reduce to a stump; to lop. Around the stumped top soft moss did grow. Dr. H. More. 2. To strike, as the toes, against a stone or something fixed; to stub. [Colloq.] 3. To challenge; also, to nonplus. [Colloq.] 4. To travel over, delivering speeches for electioneering purposes; as, to stump a State, or a district. See To go on the stump, under Stump, n. [Colloq. U.S.] 5. (Cricket) (a) To put (a batsman) out of play by knocking off the bail, or knocking down the stumps of the wicket he is defending while he is off his allotted ground; -- sometimes with out. T. Hughes. (b) To bowl down the stumps of, as, of a wicket. A herd of boys with clamor bowled, And stumped the wicket. Tennyson. To stump it. (a) To go afoot; hence, to run away; to escape. [Slang] Ld. Lytton. (b) To make electioneering speeches. [Colloq. U.S.]\n\nTo walk clumsily, as if on stumps. To stump up, to pay cash. [Prov. Eng.] Halliwell.
stump-tailed |Having a short, thick tail. Stump-tailed lizard (Zoöl.), a singular Australian scincoid lizard (Trachydosaurus rugosus) having a short, thick tail resembling its head in form; -- called also sleeping lizard.
stumpage |1. Timber in standing trees, -- often sold without the land at a fixed price per tree or per stump, the stumps being counted when the land is cleared. [Local, U.S.] Only trees above a certain size are allowed to be cut by loggers buying stumpage from the owners of land. C. S. Sargent. 2. A tax on the amount of timber cut, regulated by the price of lumber. [Local, U.S.] The Nation.
stumper |1. One who stumps. 2. A boastful person. [Slang] 3. A puzzling or incredible story. [Slang, U.S.]
stumpiness |The state of being stumpy.
stumpy |1. Full of stumps; hard; strong. 2. Short and thick; stubby. [Colloq.] \"A stumpy little man.\" J. C. Harris.
stun |1. To make senseless or dizzy by violence; to render senseless by a blow, as on the head. One hung a poleax at his saddlebow, And one a heavy mace to stun the foe. Dryden. 2. To dull or deaden the sensibility of; to overcome; especially, to overpower one's sense of hearing. And stunned him with the music of the spheres. Pope. 3. To astonish; to overpower; to bewilder. William was quite stunned at my discourse. De Foe.\n\nThe condition of being stunned.
stundist |One of a large sect of Russian dissenters founded, about 1860, in the village of Osnova, near Odessa, by a peasant, Onishchenko, who had apparently been influenced by a German sect settled near there. They zealously practice Bible reading and reject priestly dominion and all external rites of worship. -- Stun\"dism (#), n.
stung |imp. & p. p. of Sting.
stunk |imp. & p. p. of Stink.
stunner |1. One who, or that which, stuns. 2. Something striking or amazing in quality; something of extraordinary excellence. [Slang] Thackeray.
stunning |1. Overpowering consciousness; overpowering the senses; especially, overpowering the sense of hearing; confounding with noise. 2. Striking or overpowering with astonishment, especially on account of excellence; as, stunning poetry. [Slang] C. Kingsley. -- Stun\"ning*ly, adv. [Slang]
stunsail |A contraction of Studding sail. With every rag set, stunsails, sky scrapers and all. Lowell.
stunt |To hinder from growing to the natural size; to prevent the growth of; to stint, to dwarf; as, to stunt a child; to stunt a plant. When, by a cold penury, I blast the abilities of a nation, and stunt the growth of its active energies, the ill or may do is beyond all calculation. Burke.\n\n1. A check in growth; also, that which has been checked in growth; a stunted animal or thing. 2. Specifically: A whale two years old, which, having been weaned, is lean, and yields but little blubber.
stunted |Dwarfed. -- Stunt\"ed*ness, n.
stuntness |Stuntedness; brevity. [R.] Earle.
stupa |A mound or monument commemorative of Buddha.\n\nSee 1st Stupe.
stupe |Cloth or flax dipped in warm water or medicaments and applied to a hurt or sore.\n\nTo foment with a stupe. Wiseman.\n\nA stupid person. [Obs.]
stupefacient |Producing stupefaction; stupefactive. -- n. (Med.)  Anything promoting stupefaction; a narcotic.
stupefaction |The act of stupefying, or the state of being stupefied. [Written also stupifaction.] Resistance of the dictates of conscience brings a hardness and stupefaction upon it. South.
stupefactive |Same as Stupefacient. [Written also stupifactive.]
stupefied |Having been made stupid.
stupefiedness |Quality of being stupid.
stupefier |One who, or that which, stupefies; a stupefying agent.
stupefy |1. To make stupid; to make dull; to blunt the faculty of perception or understanding in; to deprive of sensibility; to make torpid. The fumes of drink discompose and stupefy the brain. South. 2. To deprive of material mobility. [Obs.] It is not malleable; but yet is not fluent, but stupefied. Bacon.
stupendous |Astonishing; wonderful; amazing; especially, astonishing in magnitude or elevation; as, a stupendous pile. \"A stupendous sum.\" Macaulay. All are but parts of one stupendous whole. Pope. -- Stu*pen\"dous*ly, adv. -- Stu*pen\"dous*ness, n.
stupeous |Resembling tow; having long, loose scales, or matted filaments, like tow; stupose.
stupid |1. Very dull; insensible; senseless; wanting in understanding; heavy; sluggish; in a state of stupor; -- said of persons. O that men . . . should be so stupid grown . . . As to forsake the living God! Milton. With wild surprise, A moment stupid, motionless he stood. Thomson. 2. Resulting from, or evincing, stupidity; formed without skill or genius; dull; heavy; -- said of things. Observe what loads of stupid rhymes Oppress us in corrupted times. Swift. Syn. -- Simple; insensible; sluggish; senseless; doltish; sottish; dull; heavy; clodpated. -- Stu\"pid*ly, adv. -- Stu\"pid*ness, n.
stupidity |1. The quality or state of being stupid; extreme dullness of perception or understanding; insensibility; sluggishness. 2. Stupor; astonishment; stupefaction. [R.] A stupidity Past admiration strikes me, joined with fear. Chapman.
stupify |See Stupefy.
