mameluco |A child born of a white father and Indian mother. [S. Amer.]
man |1. A human being; -- opposed tobeast. These men went about wide, and man found they none, But fair country, and wild beast many [a] one. R. of Glouc. The king is but a man, as I am; the violet smells to him as it doth to me. Shak. 2. Especially: An adult male person; a grown-up male person, as distinguished from a woman or a child. When I became a man, I put away childish things. I Cor. xiii. 11. Ceneus, a woman once, and once a man. Dryden. 3. The human race; mankind. And God said, Let us make man in our image, after our likeness, and let them have dominion. Gen. i. 26. The proper study of mankind is man. Pope. 4. The male portion of the human race. Woman has, in general, much stronger propensity than man to the discharge of parental duties. Cowper. 5. One possessing in a high degree the distinctive qualities of manhood; one having manly excellence of any kind. Shak. This was the noblest Roman of them all . . . the elements So mixed in him that Nature might stand up And say to all the world \"This was a man! Shak. 6. An adult male servant; also, a vassal; a subject. Like master, like man. Old Proverb. The vassal, or tenant, kneeling, ungirt, uncovered, and holding up his hands between those of his lord, professed that he did become his man from that day forth, of life, limb, and earthly honor. Blackstone. 7. A term of familiar address often implying on the part of the speaker some degree of authority, impatience, or haste; as, Come, man, we 've no time to lose ! 8. A married man; a husband; -- correlative to wife. I pronounce that they are man and wife. Book of Com. Prayer. every wife ought to answer for her man. Addison. 9. One, or any one, indefinitely; -- a modified survival of the Saxon use of man, or mon, as an indefinite pronoun. A man can not make him laugh. Shak. A man would expect to find some antiquities; but all they have to show of this nature is an old rostrum of a Roman ship. Addison. 10. One of the piece with which certain games, as chess or draughts, are played. Note: Man is often used as a prefix in composition, or as a separate adjective, its sense being usually self-explaining; as, man child, man eater or maneater, man-eating, man hater or manhater, man-hating, manhunter, man-hunting, mankiller, man-killing, man midwife, man pleaser, man servant, man-shaped, manslayer, manstealer, man- stealing, manthief, man worship, etc. Man is also used as a suffix to denote a person of the male sex having a business which pertains to the thing spoken of in the qualifying part of the compound; ashman, butterman, laundryman, lumberman, milkman, fireman, showman, waterman, woodman. Where the combination is not familiar, or where some specific meaning of the compound is to be avoided, man is used as a separate substantive in the foregoing sense; as, apple man, cloth man, coal man, hardware man, wood man (as distinguished from woodman). Man ape (Zoöl.), a anthropoid ape, as the gorilla. -- Man at arms, a designation of the fourteenth and fifteenth centuries for a soldier fully armed. -- Man engine, a mechanical lift for raising or lowering people through considerable distances; specifically (Mining), a contrivance by which miners ascend or descend in a shaft. It consists of a series of landings in the shaft and an equal number of shelves on a vertical rod which has an up and down motion equal to the distance between the successive landings. A man steps from a landing to a shelf and is lifted or lowered to the next landing, upon which he them steps, and so on, traveling by successive stages. -- Man Friday, a person wholly subservient to the will of another, like Robinson Crusoe's servant Friday. -- Man of straw, a puppet; one who is controlled by others; also, one who is not responsible pecuniarily. -- Man-of-the earth (Bot.), a twining plant (Ipomoea pandurata) with leaves and flowers much like those of the morning-glory, but having an immense tuberous farinaceous root. -- Man of war. (a) A warrior; a soldier. Shak. (b) (Naut.) See in the Vocabulary. -- To be one's own man, to have command of one's self; not to be subject to another.\n\n1. To supply with men; to furnish with a sufficient force or complement of men, as for management, service, defense, or the like; to guard; as, to man a ship, boat, or fort. See how the surly Warwick mans the wall ! Shak. They man their boats, and all their young men arm. Waller. 2. To furnish with strength for action; to prepare for efficiency; to fortify. \"Theodosius having manned his soul with proper reflections.\" Addison. 3. To tame, as a hawk. [R.] Shak. 4. To furnish with a servants. [Obs.] Shak. 5. To wait on as a manservant. [Obs.] Shak. Note: In \"Othello,\" V. ii. 270, the meaning is uncertain, being, perhaps: To point, to aim, or to manage. To man a yard (Naut.), to send men upon a yard, as for furling or reefing a sail. -- To man the yards (Naut.), to station men on the yards as a salute or mark of respect.
man-eater |One who, or that which, has an appetite for human flesh; specifically, one of certain large sharks (esp. Carcharodon Rondeleti); also, a lion or a tiger which has acquired the habit of feeding upon human flesh.
man-of-war |A government vessel employed for the purposes of war, esp. one of large size; a ship of war. Man-of-war bird (Zoöl.), The frigate bird; also applied to the skua gulls, and to the wandering albatross. -- Man-of-war hawk (Zoöl.), the frigate bird. -- Man-of-war's man, a sailor serving in a ship of war. -- Portuguese man-of-war (Zoöl.), any species of the genus Physalia. See Physalia.
manable |Marriageable.[Obs.]
manace |Same as Menace. [Obs.]
manacle |A handcuff; a shackle for the hand or wrist; -- usually in the plural. Doctrine unto fools is as fetters on the feet, and like manacles on the right hand. Ecclus. xxi. 19.\n\nTo put handcuffs or other fastening upon, for confining the hands; to shackle; to confine; to restrain from the use of the limbs or natural powers. Is it thus you use this monarch, to manacle and shackle him hand and foot Arbuthnot.
manage |The handling or government of anything, but esp. of a horse; management; administration. See Manege. [Obs.] Young men, in the conduct and manage of actions, embrace more than they can hold. Bacon. Down, down I come; like glistering Phaëthon Wanting the manage of unruly jades. Shak. The unlucky manage of this fatal brawl. Shak. Note: This word, in its limited sense of management of a horse, has been displaced by manege; in its more general meaning, by management.\n\n1. To have under control and direction; to conduct; to guide; to administer; to treat; to handle. Long tubes are cumbersome, and scarce to be easily managed. Sir I. Newton. What wars Imanage, and what wreaths I gain. Prior. 2. Hence: Esp., to guide by careful or delicate treatment; to wield with address; to make subservient by artful conduct; to bring around cunningly to one's plans. It was so much his interest to manage his Protestant subjects. Addison . It was not her humor to manage those over whom she had gained an ascendant. Bp. Hurd. 3. To train in the manege, as a horse; to exercise in graceful or artful action. 4. To treat with care; to husband. Dryden. 5. To bring about; to contrive. Shak. Syn. -- To direct; govern; control; wield; order; contrive; concert; conduct; transact.\n\nTo direct affairs; to carry on business or affairs; to administer. Leave them to manage for thee. Dryden .
manageability |The state or quality of being manageable; manageableness.
manageable |Such as can be managed or used; suffering control; governable; tractable; subservient; as, a manageable horse. Syn. -- Governable; tractable; controllable; docile. -- Man\"age*a*ble*ness, n. -- Man\"age*a*bly, adv.
manageless |Unmanageable.[R.]
management |1. The act or art of managing; the manner of treating, directing, carrying on, or using, for a purpose; conduct; administration; guidance; control; as, the management of a family or of a farm; the management of state affairs. \"The management of the voice.\" E. Porter. 2. Business dealing; negotiation; arrangement. He had great managements with ecclesiastics. Addison . 3. Judicious use of means to accomplish an end; conduct directed by art or address; skillful treatment; cunning practice; -- often in a bad sense. Mark with what management their tribes divide Some stick to you, and some to t'other side. Dryden. 4. The collective body of those who manage or direct any enterprise or interest; the board of managers. Syn. -- Conduct; administration; government; direction; guidance; care; charge; contrivance; intrigue.
manager |1. One who manages; a conductor or director; as, the manager of a theater. A skillful manager of the rabble. South. 2. A person who conducts business or household affairs with economy and frugality; a good economist. A prince of great aspiring thoughts; in the main, a manager of his treasure. Sir W. Temple. 3. A contriver; an intriguer. Shak.
managerial |Of or pertaining to management or a manager; as, managerial qualities. \"Managerial responsibility.\" C. Bronté.
managership |The office or position of a manager.
managery |1. Management; manner of using; conduct; direction. 2. Husbandry; economy; frugality. Bp. Burnet.
manakin |Any one of numerous small birds belonging to Pipra, Manacus, and other genera of the family Pipridæ. They are mostly natives of Central and South America. some are bright-colored, and others have the wings and tail curiously ornamented. The name is sometimes applied to related birds of other families.\n\nA dwarf. See Manikin. Shak.
manatee |Any species of Trichechus, a genus of sirenians; -- called alsosea cow. [Written also manaty, manati.] Note: One species (Trichechus Senegalensis) inhabits the west coast of Africa; another (T. Americanus) inhabits the east coast of South America, and the West-Indies. The Florida manatee (T. latirostris) is by some considered a distinct species, by others it is thought to be a variety of T. Americanus. It sometimes becomes fifteen feet or more in length, and lives both in fresh and salt water. It is hunted for its oil and flesh.
manation |The act of issuing or flowing out. [Obs.]
manbird |An aviator. [Colloq.]
manbote |A sum paid to a lord as a pecuniary compensation for killing his man (that is, his vassal, servant, or tenant). Spelman.
manca |See Mancus.
manche |A sleeve. [Obs.]
manchet |Fine white bread; a loaf of fine bread. [Archaic] Bacon. Tennyson.
manchineel |A euphorbiaceous tree (Hippomane Mancinella) of tropical America, having a poisonous and blistering milky juice, and poisonous acrid fruit somewhat resembling an apple. Bastard manchineel, a tree (Cameraria latifolia) of the East Indies, having similar poisonous properties. Lindley.
manchu |Of or pertaining to Manchuria or its inhabitants. -- n.  A native or inhabitant of Manchuria; also, the language spoken by the Manchus.
mancipate |To enslave; to bind; to restrict. [Obs.] Sir M. Hale.
mancipation |Slavery; involuntary servitude. [Obs.] Johnson.
manciple |A steward; a purveyor, particularly of a college or Inn of Court. Chaucer.
mancona bark |. See Sassy bark.
mancus |An old Anglo Saxon coin both of gold and silver, and of variously estimated values. The silver mancus was equal to about one shilling of modern English money.
mand |A demand. [Obs.] See Demand.
mandamus |A writ issued by a superior court and directed to some inferior tribunal, or to some corporation or person exercising authority, commanding the performance of some specified duty.
mandarin |1. A Chinese public officer or nobleman; a civil or military official in China and Annam. 2. (Bot.)  A small orange, with easily separable rind. It is thought to be of Chinese origin, and is counted a distinct species (Citrus nobilis)mandarin orange; tangerine. Mandarin duck (Zoöl.), a beautiful Asiatic duck (Dendronessa galericulata), often domesticated, and regarded by the Chinese as an emblem of conjugal affection. -- Mandarin language, the spoken or colloquial language of educated people in China. -- Mandarin yellow (Chem.), an artificial aniline dyestuff used for coloring silk and wool, and regarded as a complex derivative of quinoline.
mandarinate |The collective body of officials or persons of rank in China. S. W. Williams.
mandarinic |Appropriate or peculiar to a mandarin.
mandarining |The process of giving an orange color to goods formed of animal tissue, as silk or wool, not by coloring matter, but by producing a certain change in the fiber by the action of dilute nitric acid. Tomlinson.
mandarinism |A government mandarins; character or spirit of the mandarins. F. Lieder.
mandatary |1. One to whom a command or charge is given; hence, specifically, a person to whom the pope has, by his prerogative, given a mandate or order for his benefice. Ayliffe. 2. (Law)  One who undertakes to discharge a specific business commission; a mandatory. Wharton.
mandate |1. An official or authoritative command; an order or injunction; a commission; a judicial precept. This dream all-powerful Juno; I bear Her mighty mandates, and her words you hear. Dryden. 2. (Canon Law)  A rescript of the pope, commanding an ordinary collator to put the person therein named in possession of the first vacant benefice in his collation. 3. (Scots Law)  A contract by which one employs another to manage any business for him. By the Roman law, it must have been gratuitous. Erskine.
mandator |1. A director; one who gives a mandate or order. Ayliffe. 2. (Rom. Law)  The person who employs another to perform a mandate. Bouvier.
mandatory |Containing a command; preceptive; directory.\n\nSame as Mandatary.
mandelate |A salt of mandelic acid.
mandelic |Pertaining to an acid first obtained from benzoic aldehyde (oil of better almonds), as a white crystalline substance; -- called also phenyl glycolic acid.
mander |See Maunder.
manderil |A mandrel.
mandible |1. (Anat.)  The bone, or principal bone, of the lower jaw; the inferior maxilla; -- also applied to either the upper or the lower jaw in the beak of birds. 2. (Zoöl.)  The anterior pair of mouth organs of insects, crustaceaus, and related animals, whether adapted for biting or not. See Illust. of Diptera.
mandibular |Of or pertaining to a mandible; like a mandible. -- n.  The principal mandibular bone; the mandible. Mandibular arch (Anat.), the most anterior visceral arch, -- that in which the mandible is developed.
mandibulate |Provided with mandibles adapted for biting, as many insects.\n\nAn insect having mandibles.
mandibulated |Provided with mandibles adapted for biting, as many insects.
mandibuliform |Having the form of a mandible; -- said especially of the maxillæ of an insect when hard and adapted for biting.
mandibulohyoid |Pertaining both to the mandibular and the hyoid arch, or situated between them.
mandil |A loose outer garment worn the 16th and 17th centuries.
mandilion |See Mandil. Chapman.
mandingos |; sing. Mandingo. (Ethnol.) An extensive and powerful tribe of West African negroes.
mandioc |See Manioc.
mandioca |See Manioc.
mandlestone |Amygdaloid.
mandment |Commandment. [Obs.]
mandola |An instrument closely resembling the mandolin, but of larger size and tuned lower.
mandolin |A small and beautifully shaped instrument resembling the lute.
mandoline |A small and beautifully shaped instrument resembling the lute.
mandore |A kind of four-stringed lute.
mandragora |A genus of plants; the mandrake. See Mandrake, 1.
mandragorite |One who habitually intoxicates himself with a narcotic obtained from mandrake.
mandrake |1. (Bot.)  A low plant (Mandragora officinarum) of the Nightshade family, having a fleshy root, often forked, and supposed to resemble a man. It was therefore supposed to have animal life, and to cry out when pulled up. All parts of the plant are strongly narcotic. It is found in the Mediterranean region. And shrieks like mandrakes, torn out of the earth, That living mortals, hearing them, run mad. Shak. Note: The mandrake of Scripture was perhaps the same plant, but proof is wanting. 2. (Bot.)  The May apple (Podophyllum peltatum). See May apple under May, and Podophyllum. [U.S.]
mandrel |(a) A bar of metal inserted in the work to shape it, or to hold it, as in a lathe, during the process of manufacture; an arbor. (b) The live spindle of a turning lathe; the revolving arbor of a circular saw. It is usually driven by a pulley. [Written also manderil.] Mandrel lathe, a lathe with a stout spindle, adapted esp. for chucking, as for forming hollow articles by turning or spinning.
mandrill |a large West African baboon (Cynocephalus, or Papio, mormon). The adult male has, on the sides of the nose, large, naked, grooved swellings, conspicuously striped with blue and red.
manducable |Such as can be chewed; fit to be eaten. [R.] Any manducable creature. Sir T. Herbert.
manducate |To masticate; to chew; to eat. [R.] Jer. Taylor.
manducation |The act of chewing. [R.] Jer. Taylor.
manducatory |Pertaining to, or employed in, chewing.
manducus |A grotesque mask, representing a person chewing or grimacing, worn in processions and by comic actors on the stage.
mane |The long and heavy hair growing on the upper side of, or about, the neck of some quadrupedal animals, as the horse, the lion, etc. See Illust. of Horse.
maned |Having a mane. Maned seal (Zoöl.), the sea lion. -- Maned sheep (Zoöl.), the aoudad.
manege |1. Art of horsemanship, or of training horses 2. A school for teaching horsemanship, and for training horses. Chesterfield.
maneh |A Hebrew weight for gold or silver, being one hundred shekels of gold and sixty shekels of silver. Ezek. xlv. 12.
maneless |Having no mane. Maneless lion (Zoöl.), a variety of the lion having a short, inconspicuous mane. It inhabits Arabia and adjacent countries.
manequin |An artist's model of wood or other material.
manerial |See Manorial.
manes |The benevolent spirits of the dead, especially of dead ancestors, regarded as family deities and protectors. Hail, O ye holy manes! Dryden.
manesheet |A covering placed over the upper part of a horse's head.
maneuver |1. Management; dexterous movement; specif., a military or naval evolution, movement, or change of position. 2. Management with address or artful design; adroit proceeding; stratagem.\n\n1. To perform a movement or movements in military or naval tactics; to make changes in position with reference to getting advantage in attack or defense. 2. To manage with address or art; to scheme.\n\nTo change the positions of, as of troops of ships.
maneuverer |One who maneuvers. This charming widow Beaumont is a nanoeuvrer. We can't well make an English word of it. Miss Edgeworth.
manful |Showing manliness, or manly spirit; hence, brave, courageous, resolute, noble. \" Manful hardiness.\" Chaucer. -- Man\"ful*ly, adv. -- Man\"ful*ness, n.
mangabey |Any one of several African monkeys of the genus Cercocebus, as the sooty mangabey (C. fuliginosus), which is sooty black. [Also written mangaby.]
mangan |See Mangonel.
manganate |A salt of manganic acid. Note: The manganates are usually green, and are wellknown compounds, though derived from a hypothetical acid.
manganesate |A manganate. [Obs.]
manganese |An element obtained by reduction of its oxide, as a hard, grayish white metal, fusible with difficulty, but easily oxidized. Its ores occur abundantly in nature as the minerals pyrolusite, manganite, etc. Symbol Mn. Atomic weight 54.8. Note: An alloy of manganese with iron (called ferromanganese) is used to increase the density and hardness of steel. Black oxide of manganese, Manganese dioxide or peroxide, or Black manganese (Chem.), a heavy black powder MnO2, occurring native as the mineral pyrolusite, and valuable as a strong oxidizer; -- called also familiarly manganese. It colors glass violet, and is used as a decolorizer to remove the green tint of impure glass. Manganese bronze, an alloy made by adding from one to two per cent of manganese to the copper and zinc used in brass.
manganese steel |Cast steel containing a considerable percentage of manganese, which makes it very hard and tough. See Alloy steel, above.
manganesian |Manganic. [R.]
manganesic |Manganic. [Obs.]
manganesious |Manganous.
manganesium |Manganese.
manganesous |Manganous.
manganic |Of, pertaining to resembling, or containing, manganese; specif., designating compounds in which manganese has a higher valence as contrasted with manganous compounds. Cf. Manganous. Manganic acid, an acid, H2MnO4, formed from manganese, analogous to sulphuric acid.
manganiferous |Containing manganese.
manganite |1. (Min.)  One of the oxides of manganese; -- called also gray manganese ore. It occurs in brilliant steel-gray or iron-black crystals, also massive. 2. (Chem.)  A compound of manganese dioxide with a metallic oxide; so called as though derived from the hypothetical manganous acid.
manganium |Manganese.
manganous |Of, pertaining to, designating, those compounds of manganese in which the element has a lower valence as contrasted with manganic compounds; as, manganous oxide. Manganous acid, a hypothetical compound analogous to sulphurous acid, and forming the so-called manganites.
mangcorn |A mixture of wheat and rye, or other species of grain. [Prov Eng.]
mange |The scab or itch in cattle, dogs, and other beasts. Mange insect (Zoöl.), any one of several species of small parasitic mites, which burrow in the skin of cattle. horses, dogs, and other animals, causing the mange. The mange insect of the horse (Psoroptes, or Dermatodectes, equi), and that of cattle (Symbiotes, or Dermatophagys, bovis) are the most important species. See Acarina.
mangel-wurzel |A kind of large field beet (B. macrorhiza), used as food for cattle, -- by some considered a mere variety of the ordinary beet. See Beet. [Written also mangold-wurzel.]
manger |1. A trough or open box in which fodder is placed for horses or cattle to eat. 2. (Naut.)  The fore part of the deck, having a bulkhead athwart ships high enough to prevent water which enters the hawse holes from running over it.
mangily |In a mangy manner; scabbily.
manginess |The condition or quality of being mangy.
mangle |1. To cut or bruise with repeated blows or strokes, making a ragged or torn wound, or covering with wounds; to tear in cutting; to cut in a bungling manner; to lacerate; to mutilate. Mangled with ghastly wounds through plate and mail. Milton. 2. To mutilate or injure, in making, doing, or pertaining; as, to mangle a piece of music or a recitation. To mangle a play or a novel. Swift.\n\nA machine for smoothing linen or cotton cloth, as sheets, tablecloths, napkins, and clothing, by roller pressure. Mangle rack (Mach.), a contrivance for converting continuous circular motion into reciprocating rectilinear motion, by means of a rack and pinion, as in the mangle. The pinion is held to the rack by a groove in such a manner that it passes alternately from one side of the rack to the other, and thus gives motion to it in opposite directions, according to the side in which its teeth are engaged. -- Mangle wheel, a wheel in which the teeth, or pins, on its face, are interrupted on one side, and the pinion, working in them, passes from inside to outside of the teeth alternately, thus converting the continuous circular motion of the pinion into a reciprocating circular motion of the wheel.\n\nTo smooth with a mangle, as damp linen or cloth.
mangler |One who mangles or tears in cutting; one who mutilates any work in doing it.\n\nOne who smooths with a mangle.
mango |1. The fruit of the mango tree. It is rather larger than an apple, and of an ovoid shape. Some varieties are fleshy and luscious, and others tough and tasting of turpentine. The green fruit is pickled for market. 2. A green muskmelon stuffed and pickled. Mango bird (Zoöl.), an oriole (Oriolus kundoo), native of India. -- Mango fish (Zoöl.), a fish of the Ganges (Polynemus risua), highly esteemed for food. It has several long, slender filaments below the pectoral fins. It appears about the same time with the mango fruit, in April and May, whence the name. -- Mango tree (Bot.), an East Indian tree of the genus Mangifera (M. Indica), related to the cashew and the sumac. It grows to a large size, and produces the mango of commerce. It is now cultivated in tropical America.
mangoldwurzel |See Mangel-wurzel.
mangonel |A military engine formerly used for throwing stones and javelins.
mangonism |The art of mangonizing, or setting off to advantage. [Obs.]
mangonist |1. One who mangonizes. (Zoöl.) 2. A slave dealer; also, a strumpet. [Obs.]
mangonize |To furbish up for sale; to set off to advantage. [Obs. or R.] B. Jonson.
mangostan |A tree of the East Indies of the genus Garcinia (G. Mangostana). The tree grows to the height of eighteen feet, and bears fruit also called mangosteen, of the size of a small apple, the pulp of which is very delicious food.
mangosteen |A tree of the East Indies of the genus Garcinia (G. Mangostana). The tree grows to the height of eighteen feet, and bears fruit also called mangosteen, of the size of a small apple, the pulp of which is very delicious food.
mangrove |1. (Bot.)  The name of one or two trees of the genus Rhizophora (R. Mangle, and R. mucronata, the last doubtfully distinct) inhabiting muddy shores of tropical regions, where they spread by emitting aërial roots, which fasten in the saline mire and eventually become new stems. The seeds also send down a strong root while yet attached to the parent plant. Note: The fruit has a ruddy brown shell, and a delicate white pulp which is sweet and eatable. The bark is astringent, and is used for tanning leather. The black and the white mangrove (Avicennia nitida and A. tomentosa) have much the same habit. 2. (Zoöl.)  The mango fish.
mangue |The kusimanse.
mangy |Infected with the mange; scabby.
manhaden |See Menhaden.
manhandle |1. To move, or manage, by human force without mechanical aid; as, to manhandle a cannon. 2.  To handle roughly; as, the captive was manhandled.
manhead |Manhood. [Obs.] Chaucer.
manhes process |A process by which copper matte is treated by passing through it a blast of air, to oxidize and remove sulphur. It is analogous in apparatus to the Bessemer process for decarbonizing cast iron. So called from Pierre Manhès, a French metallurgist, who invented it.
manhole |A hole through which a man may descend or creep into a drain, sewer, steam boiler, parts of machinery, etc., for cleaning or repairing.
manhood |1. The state of being man as a human being, or man as distinguished from a child or a woman. 2. Manly quality; courage; bravery; resolution. I am ashamed That thou hast power to shake my manhood thus. Shak.
mania |1. Violent derangement of mind; madness; insanity. Cf. Delirium. 2. Excessive or unreasonable desire; insane passion affecting one or many people; as, the tulip mania. Mania a potu Etym: [L.], madness from drinking; delirium tremens. Syn. -- Insanity; derangement; madness; lunacy; alienation; aberration; delirium; frenzy. See Insanity.
maniable |Manageable. [Obs.] Bacon.
maniac |Raving with madness; raging with disordered intellect; affected with mania; mad.\n\nA raving lunatic; a madman.
maniacal |Affected with, or characterized by, madness; maniac. -- Ma*ni\"a*cal*ly, adv.
manic |Of or pert. to, or characterized by, mania, or excitement.
manicate |Covered with hairs or pubescence so platted together and interwoven as to form a mass easily removed.
manichaean |A believer in the doctrines of Manes, a Persian of the third century A. D., who taught a dualism in which Light is regarded as the source of Good, and Darkness as the source of Evil. The Manichæans stand as representatives of dualism pushed to its utmost development. Tylor.\n\nOf or pertaining to the Manichæans.
manichaeism |The doctrines taught, or system of principles maintained, by the Manichæans.
manichean |A believer in the doctrines of Manes, a Persian of the third century A. D., who taught a dualism in which Light is regarded as the source of Good, and Darkness as the source of Evil. The Manichæans stand as representatives of dualism pushed to its utmost development. Tylor.\n\nOf or pertaining to the Manichæans.
manichee |A believer in the doctrines of Manes, a Persian of the third century A. D., who taught a dualism in which Light is regarded as the source of Good, and Darkness as the source of Evil. The Manichæans stand as representatives of dualism pushed to its utmost development. Tylor.
manicheism |The doctrines taught, or system of principles maintained, by the Manichæans.
manicheist |Manichæan.
manichord |The clavichord or clarichord; -- called also dumb spinet.
manichordon |The clavichord or clarichord; -- called also dumb spinet.
manicure |A person who makes a business of taking care of people's hands, especially their nails. [Men] who had taken good care of their hands by wearing gloves and availing themselves of the services of a manicure. Pop. Sci. Monthly.
manid |Any species of the genus Manis, or family Manidæ.
manie |Mania; insanity. [Obs.] Chaucer.
manifest |1. Evident to the senses, esp. to the sight; apparent; distinctly perceived; hence, obvious to the understanding; apparent to the mind; easily apprehensible; plain; not obscure or hidden. Neither is there any creature that is not manifest in his sight. Heb. iv. 13. That which may be known of God is manifest in them. Rom. i. 19. Thus manifest to sight the god appeared. Dryden. 2. Detected; convicted; -- with of. [R.] Calistho there stood manifest of shame. Dryden. Syn. -- Open; clear; apparent; evident; visible; conspicuous; plain; obvious. -- Manifest, Clear, Plain, Obvious, Evident. What is clear can be seen readily; what is obvious lies directly in our way, and necessarily arrests our attention; what isevident is seen so clearly as to remove doubt; what is manifest is very distinctly evident. So clear, so shining, and so evident, That it will glimmer through a blind man's eye. Shak. Entertained with solitude, Where obvious duty erMilton. I saw, I saw him manifest in view, His voice, his figure, and his gesture knew. Dryden.\n\n1. A public declaration; an open statement; a manifesto. See Manifesto. [Obs.] 2. A list or invoice of a ship's cargo, containing a description by marks, numbers, etc., of each package of goods, to be exhibited at the customhouse. Bouvier.\n\n1. To show plainly; to make to appear distinctly, -- usually to the mind; to put beyond question or doubt; to display; to exhibit. There is nothing hid which shall not be manifested. Mark iv. 22. Thy life did manifest thou lovedst me not. Shak. 2. To exhibit the manifests or prepared invoices of; to declare at the customhouse. Syn. -- To reveal; declare; evince; make known; disclose; discover; display.
manifestable |Such as can be manifested.
manifestation |The act of manifesting or disclosing, or the state of being manifested; discovery to the eye or to the understanding; also, that which manifests; exhibition; display; revelation; as, the manifestation of God's power in creation. The secret manner in which acts of mercy ought to be performed, requires this public manifestation of them at the great day. Atterbury.
manifestible |Manifestable.
manifestly |In a manifest manner.
manifestness |The quality or state of being manifest; obviousness.
manifesto |A public declaration, usually of a prince, sovereign, or other person claiming large powers, showing his intentions, or proclaiming his opinions and motives in reference to some act done or contemplated by him; as, a manifesto declaring the purpose of a prince to begin war, and explaining his motives. Bouvier. it was proposed to draw up a manifesto, setting forth the grounds and motives of our taking arms. Addison . Frederick, in a public manifesto, appealed to the Empire against the insolent pretensions of the pope. Milman.
