fumishness |Choler; fretfulness; passion.
funny |Droll; comical; amusing; laughable. Funny bone. See crazy bone, under Crazy.\n\nA clinkerbuit, narrow boat for sculling. [Eng.]
fur |1. The short, fine, soft hair of certain animals, growing thick on the skin, and distinguished from the hair, which is longer and coarser. 2. The skins of certain wild animals with the fur; peltry; as, a cargo of furs. 3. Strips of dressed skins with fur, used on garments for warmth or for ornament. 4. pl.  Articles of clothing made of fur; as, a set of furs for a lady (a collar, tippet, or cape, muff, etc.). Wrapped up in my furs. Lady M. W. Montagu. 5. Any coating considered as resembling fur; as: (a) A coat of morbid matter collected on the tongue in persons affected with fever. (b) The soft, downy covering on the skin of a peach. (c) The deposit formed on the interior of boilers and other vessels by hard water. 6. (Her.)  One of several patterns or diapers used as tinctures. There are nine in all, or, according to some writers, only six. See Tincture.\n\nOf or pertaining to furs; bearing or made of fur; as, a fur cap; the fur trade. Fur seal (Zoöl.) one of several species of seals of the genera Callorhinus and Arclocephalus, inhabiting the North Pacific and the Antarctic oceans. They have a coat of fine and soft fur which is highly prized. The northern fur seal (Callorhinus ursinus) breeds in vast numbers on the Prybilov Islands, off the coast of Alaska; -- called also sea bear.\n\n1. To line, face, or cover with fur; as, furred robes. \"You fur your gloves with reason.\" Shak. 2. To cover with morbid matter, as the tongue. 3. (Arch.) To nail small strips of board or larger scantling upon, in order to make a level surface for lathing or boarding, or to provide for a space or interval back of the plastered or boarded surface, as inside an outer wall, by way of protection against damp. Gwill.
furacious |Given to theft; thievish. [Obs.]
furacity |Addictedness to theft; thievishness. [Obs.]
furbelow |A plaited or gathered flounce on a woman's garment.\n\nTo put a furbelow on; to ornament.
furbish |To rub or scour to brightness; to clean; to burnish; as, to furbish a sword or spear. Shak. Furbish new the name of John a Gaunt. Shak.
furbishable |Capable of being furbished.
furbisher |One who furbishes; esp., a sword cutler, who finishes sword blades and similar weapons.
furcate |Forked; branching like a fork; as, furcate twigs.
furcated |Forked; branching like a fork; as, furcate twigs.
furcation |A branching like a. fork.
furciferous |Rascally; scandalous. [R.] \"Furciferous knaves.\" De Quincey.
furcula |A forked process; the wishbone or furculum.
furcular |Shaped like a fork; furcate.
furculum |The wishbone or merrythought of birds, formed by the united clavicles.
furdle |To draw up into a bundle; to roll up. [Ods.]
furfur |Scurf; dandruff.
furfuraceous |Made of bran; like bran; scurfy.
furfuran |A colorless, oily substance, C4H4O, obtained by distilling certain organic substances, as pine wood, salts of pyromucic acid, etc.; -- called also tetraphenol.
furfuration |Falling of scurf from the head; desquamation.
furfurine |A white, crystalline base, obtained indirectly from furfurol.
furfurol |A colorless oily liquid, C4H3O.CHO, of a pleasant odor, obtained by the distillation of bran, sugar, etc., and regarded as an aldehyde derivative of furfuran; -- called also furfural.
furfurous |Made of bran; furfuraceous. [R.] \"Furfurous bread.\" Sydney Smith.
furial |Furious; raging; tormenting. [Obs.] Chaucer.
furibundal |Full of rage. [Obs.] G. Harvey.
furies |See Fury, 3.
furile |A yellow, crystalline substance, (C4H3O)2.C2O2, obtained by the oxidation of furoin. [Written also furil.]
furilic |Pertaining to, or derived from, furile; as, furilic acid.
furioso |With great force or vigor; vehemently.
furious |1. Transported with passion or fury; raging; violent; as, a furious animal. 2. Rushing with impetuosity; moving with violence; as, a furious stream; a furious wind or storm. Syn. -- Impetuous; vehement; boisterous; fierce; turbulent; tumultuous; angry; mad; frantic; frenzied. -- Fu\"ri*ous*ly, adv. -- Fu\"ri*ous*ness, n.
furl |To draw up or gather into close compass; to wrap or roll, as a sail, close to the yard, stay, or mast, or, as a flag, close to or around its staff, securing it there by a gasket or line. Totten.
furlong |A measure of length; the eighth part of a mile; forty rods; two hundred and twenty yards.
furlough |Leave of abserice; especially, leave given to an offcer or soldier to be absent from service for a certain time; also, the document granting leave of absence.\n\nTo furnish with a furlough; to grant leave of absence to, as to an offcer or soldier.
furmity |Same as Frumenty.
furmonty |Same as Frumenty.
furnace |1. An inclosed place in which heat is produced by the combustion of fuel, as for reducing ores or melting metals, for warming a house, for baking pottery, etc.; as, an iron furnace; a hot-air furnace; a glass furnace; a boiler furnace, etc. Note: Furnaces are classified as wind or air. furnaces when the fire is urged only by the natural draught; as blast furnaces, when the fire is urged by the injection artificially of a forcible current of air; and as reverberatory furnaces, when the flame, in passing to the chimney, is thrown down by a low arched roof upon the materials operated upon. 2. A place or time of punishment, affiction, or great trial; severe experience or discipline. Deut. iv. 20. Bustamente furnace, a shaft furnace for roasting quicksilver ores. -- Furnace bridge, Same as Bridge wall. See Bridge, n., 5. -- Furnace cadmiam or cadmia, the oxide of zinc which accumulates in the chimneys of furnaces smelting zinciferous ores. Raymond. -- Furnace hoist (Iron Manuf.), a lift for raising ore, coal, etc., to the mouth of a blast furnace.\n\n1. To throw out, or exhale, as from a furnace; also, to put into a furnace. [Obs. or R.] He furnaces The thick sighe from him. Shak.
furniment |Furniture. [Obs.] Spenser.
furnish |1. To supply with anything necessary, useful, or appropriate; to provide; to equip; to fit out, or fit up; to adorn; as, to furnish a family with provisions; to furnish one with arms for defense; to furnish a Cable; to furnish the mind with ideas; to furnish one with knowledge or principles; to furnish an expedition or enterprise, a room or a house. That the man of God may be perfect, thoroughly furnished unto all good works. 2 Tim. iii. 17, 2. To offer for use; to provide (something); to give (something); to afford; as, to furnish food to the hungry: to furnish arms for defense. Ye are they . . . that furnish the drink offering unto that number. Is. lxv. 11. His writings and his life furnish abundant proofs that he was not a man of strong sense. Macaulay.\n\nThat which is furnished as a specimen; a sample; a supply. [Obs.] Greene.
furnisher |One who supplies or fits out.
furnishment |The act of furnishing, or of supplying furniture; also, furniture. [Obs.] Daniel.
furniture |1. That with which anything is furnished or supplied; supplies; outfit; equipment. The form and all the furniture of the earth. Tillotson. The thoughts which make the furniture of their minds. M. Arnold. 2. Articles used for convenience or decoration in a house or apartment, as tables, chairs, bedsteads, sofas, carpets, curtains, pictures, vases, etc. 3. The necessary appendages to anything, as to a machine, a carriage, a ship, etc. (a) (Naut.) The masts and rigging of a ship. (b) (Mil.) The mountings of a gun. (c) Builders' hardware such as locks, door and window trimmings. (d) (Print) Pieces of wood or metal of a lesser height than the type, placed around the pages or other matter in a form, and, with the quoins, serving to secure the form in its place in the chase. 4. (Mus.)  A mixed or compound stop in an organ; -- sometimes called mixture.
furoin |A colorless, crystalline substance, C10H8O4, from furfurol.
furore |Excitement; commotion; enthusiasm.
furrier |A dealer in furs; one who makes or sells fur goods.
furriery |1. Furs, in general. Tooke. 2. The business of a furrier; trade in furs.
furring |1. (Carp.) (a) The leveling of a surface, or the preparing of an air space, by means of strips of board or of larger pieces. See Fur, v. t., 3. (b) The strips thus laid on. 2. (Shipbuilding)  Double planking of a ship's side. 3. A deposit from water, as on the inside of a boiler; also, the operation of cleaning away this deposit.
furrow |1. A trench in the earth made by, or as by, a plow. 2. Any trench, channel, or groove, as in wood or metal; a wrinkle on the face; as, the furrows of age. Farrow weed a weed which grows on plowed land. Shak. -- To draw a straight furrow, to live correctly; not to deviate from the right line of duty. Lowell.\n\n1. To cut a furrow in; to make furrows in; to plow; as, to furrow the ground or sea. Shak. 2. To mark with channels or with wrinkles. Thou canst help time to furrow me with age. Shak. Fair cheeks were furrowed with hot tears. Byron.
furrowy |Furrowed. [R.] Tennyson.
furry |1. Covered with fur; dressed in fur. \"Furry nations.\" Thomson. 2. Consisting of fur; as, furry spoils. Dryden. 3. Resembling fur.
further |To a greater distance; in addition; moreover. See Farther. Carries us, I know not how much further, into familiar company. M. Arnold. They sdvanced us far as Eleusis and Thria; but no further. Jowett (Thucyd. ). Further off, not so near; apart by a greater distance.\n\n1. More remote; at a greater distance; more in advance; farther; as, the further end of the field. See Farther. 2. Beyond; additional; as, a further reason for this opinion; nothing further to suggest. Note: The forms further and farther are in general not differentiated by writers, but further is preferred by many when application to quantity or degree is implied.\n\nTo help forward; to promote; to advance; to forward; to help or assist. This binds thee, then, to further my design. Dryden. I should nothing further the weal public. Robynsom (More's Utopia).
furtherance |The act of furthering or helping forward; promotion; advancement; progress. I know that I shall abide and continue with you all for your furthersnce and joy of faith. Phil. i. 25. Built of furtherance and pursuing, Not of spent deeds, but of doing. Emerson.
furtherer |One who furthers. or helps to advance; a promoter. Shak.
furthermore |or conj. Moreover; besides; in addition to what has been said.
furthermost |Most remote; furthest.
furthersome |Tending to further, advance, or promote; helpful; advantageous. [R.] You will not find it furthersome. Carlyle.
furthest |superl. Most remote; most in advance; farthest. See Further, a.\n\nAt the greatest distance; farthest.
furtive |Stolen; obtained or characterized by stealth; sly; secret; stealthy; as, a furtive look. Prior. A hasty and furtive ceremony. Hallam.
furtively |Stealthily by theft. Lover.
furuncle |A superficial, inflammatory tumor, suppurating with a central core; a boil.
furuncular |Of or pertaining to a furuncle; marked by the presence of furuncles.
fury |A thief. [Obs.] Have an eye to your plate, for there be furies. J. Fleteher.\n\n1. Violent or extreme excitement; overmastering agitation or enthusiasm. Her wit began to be with a divine fury inspired. Sir P. Sidney. 2. Violent anger; extreme wrath; rage; -- sometimes applied to inanimate things, as the wind or storms; impetuosity; violence. \"Fury of the wind.\" Shak. I do oppose my patience to his fury. Shak. 3. pl. (Greek Myth.) The avenging deities, Tisiphone, Alecto, and Megæra; the Erinyes or Eumenides. The Furies, they said, are attendants on justice, and if the sun in heaven should transgress his path would punish him. Emerson. 4. One of the Parcæ, or Fates, esp. Atropos. [R.] Comes the blind Fury with the abhorred shears, And slits the thin- spun life. Milton. 5. A stormy, turbulent violent woman; a hag; a vixen; a virago; a termagant. Syn. -- Anger; indignation; resentment; wrath; ire; rage; vehemence; violence; fierceness; turbulence; madness; frenzy. See Anger.
furze |A thorny evergreen shrub (Ulex Europæus), with beautiful yellow flowers, very common upon the plains and hills of Great Britain; -- called also gorse, and whin. The dwarf furze is Ulex nanus.
furzechat |The whinchat; -- called also furzechuck.
furzeling |An English warbler (Melizophilus provincialis); -- called also furze wren, and Dartford warbler.
furzen |Furzy; gorsy. [Obs.] Holland.
furzy |bounding in, or overgrown with, furze; characterized by furze. Gay.
fusain |(a) Fine charcoal of willow wood, used as a drawing implement. (b) A drawing made with it. See Charcoal, n. 2, and Charcoal drawing, under Charcoal.
fusarole |A molding generally placed under the echinus or quarter round of capitals in the Doric, Ionic, and Corinthian orders of architecture.
fuscation |A darkening; obscurity; obfuscation. [R.] Blount.
fuscin |A brown, nitrogenous pigment contained in the retinal epithelium; a variety of melanin.
fuscine |A dark-colored substance obtained from empyreumatic animal oil. [R.]
fuscous |Brown or grayish black; darkish. Sad and fuscous colors, as black or brown, or deep purple and the like. Burke.
fuse |1. To liquefy by heat; to render fiuid; to dissolve; to melt. 2. To unite or blend, as if melted together. Whose fancy fuses old and new. Tennyson.\n\n1. To be reduced from a solid to a Quid state by heat; to be melted; to melt. 2. To be blended, as if melted together. Fusing point, the degree of temperature at which a substance melts; the point of fusion.\n\nA tube or casing filled with combustible matter, by means of which a charge of powder is ignited, as in blasting; -- called also fuzee. See Fuze. Fuse hole, the hole in a shell prepared for the reception of the fuse. Farrow.
fuse plug |1. (Ordnance)  A plug fitted to the fuse hole of a shell to hold the fuse. 2.  A fusible plug that screws into a receptacle, used as a fuse in electric wiring.
fusee |1. A flintlock gun. See 2d Fusil. [Obs.] 2. A fuse. See Fuse, n. 3. A kind of match for lighting a pipe or cigar. (Railroad)  A small packet of explosive material with wire appendages allowing it to be conveniently attached to a railroad track. It will explode with a loud report when run over by a train, and is used to provide a warning signal to the engineer.\n\nThe track of a buck. Ainsworth.\n\n(a) The cone or conical wheel of a watch or clock, designed to equalize the power of the mainspring by having the chain from the barrel which contains the spring wind in a spiral groove on the surface of the cone in such a manner that the diameter of the cone at the point where the chain acts may correspond with the degree of tension of the spring. (b) A similar wheel used in other machinery.
fusel |A hot, acrid, oily liquid, accompanying many alcoholic liquors (as potato whisky, corn whisky, etc.), as an undesirable ingredient, and consisting of several of the higher alcohols and compound ethers, but particularly of amyl alcohol; hence, specifically applied to amyl alcohol.
fusel oil |A hot, acrid, oily liquid, accompanying many alcoholic liquors (as potato whisky, corn whisky, etc.), as an undesirable ingredient, and consisting of several of the higher alcohols and compound ethers, but particularly of amyl alcohol; hence, specifically applied to amyl alcohol.
fuselage |An elongated body or frame of an aëroplane or flying machine; sometimes, erroneously, any kind of frame or body. Many aëroplanes have no fuselage, properly so called.
fusibility |The quality of being fusible.
fusible |CapabIe of being melted or liquefied. Fusible metal, any alloy of different metals capable of being easily fused, especially an alloy of five parts of bismuth, three of lead, and two of tin, which melts at a temperature below that of boiling water. Ure. -- Fusible plug (Steam Boiler), a piece of easily fusible alloy, placed in one of the sheets and intended to melt and blow off the steam in case of low water.
fusiform |Shaped like a spindle; tapering at each end; as, a fusiform root; a fusiform cell.
fusil |1. Capable of being melted or rendered fluid by heat; fusible. [R.] \"A kind of fusil marble\" Woodward. 2. Running or flowing, as a liquid. [R.] \"A fusil sea.\" J. Philips. 3. Formed by melting and pouring into a mold; cast; founded. [Obs.] Milton.\n\nA light kind of flintlock musket, formerly in use.\n\nA bearing of a rhomboidal figure; -- named from its shape, which resembles that of a spindle. Note: It differs from a lozenge in being longer in proportion to its width.
fusile |Same as Fusil, a.
fusileer |(a) Formerly, a soldier armed with a fusil. Hence, in the plural: (b) A title now borne by some regiments and companies; as, \"The Royal Fusiliers,\" etc.
fusilier |(a) Formerly, a soldier armed with a fusil. Hence, in the plural: (b) A title now borne by some regiments and companies; as, \"The Royal Fusiliers,\" etc.
fusillade |A simultaneous discharge of firearms.\n\nTo shoot down of shoot at by a simultaneous discharge of firearms.
fusion |1. The act or operation of melting or rendering fluid by heat; the act of melting together; as, the fusion of metals. 2. The state of being melted or dissolved by heat; a state of fluidity or flowing in consequence of heat; as, metals in fusion. 3. The union or blending together of things, as, melted together. The universal fusion of races, languages, and customs . . . had produced a corresponding fusion of creeds. C. Kingsley. Watery fusion (Chem.) the melting of certain crystals by heat in their own water of crystallization. 4. (Biol.)  The union, or binding together, of adjacent parts or tissues.
fusome |Handy; reat; handsome; notable. [Prov. Eng.] Halliwell.
fuss |1. A tumult; a bustle; unnecessary or annoying ado about trifles. Byron. Zealously, assiduously, and with a minimum of fuss or noise Carlyle. 2. One who is unduly anxious about trifles. [R.] I am a fuss and I don't deny it. W. D. Howell.\n\nTo be overbusy or unduly anxious about trifles; to make a bustle or ado. Sir W. Scott.
fussily |In a fussy manner. Byron.
fussiness |The quality of being fussy.
fussy |Making a fuss; disposed to make an unnecessary ado about trifles; overnice; fidgety. Not at all fussy about his personal appearance. R. G. White.
fust |The shaft of a column, or trunk of pilaster. Gwilt.\n\nA strong, musty smell; mustiness.\n\nTo become moldy; to smell ill. [Obs.]
fusted |Moldy; ill-smelling. [Obs.] Bp. Hall.
fusteric |The coloring matter of fustet. Ure.
fustet |The wood of the Rhus Cptinus or Venice sumach, a shrub of Southern Europe, which yields a fine orange color, which, however, is not durable without a mordant. Ure.
