flabellinerved |Having many nerves diverging radiately from the base; -- said of a leaf.
flank |1. The fleshy or muscular part of the side of an animal, between the rids and the hip. See Illust. of Beef. 2. (Mil.) (a) The side of an army, or of any division of an army, as of a brigade, regiment, or battalion; the extreme right or left; as, to attack an enemy in flank is to attack him on the side. When to right and left the front Divided, and to either flank retired. Milton. (b) (Fort.)  That part of a bastion which reaches from the curtain to the face, and defends the curtain, the flank and face of the opposite bastion; any part of a work defending another by a fire along the outside of its parapet. See Illust. of Bastion. 3. (Arch.)  The side of any building. Brands. 4. That part of the acting surface of a gear wheel tooth that lies within the pitch line. Flank attack (Mil.), an attack upon the side of an army or body of troops, distinguished from one upon its front or rear. -- Flank company (Mil.), a certain number of troops drawn up on the right or left of a battalion; usually grenadiers, light infantry, or riflemen. -- Flank defense (Fort.), protection of a work against undue exposure to an enemy's direct fire, by means of the fire from other works, sweeping the ground in its front. -- Flank en potence (Mil.), any part of the right or left wing formed at a projecting angle with the line. -- Flank files, the first men on the right, and the last on the left, of a company, battalion, etc. -- Flank march, a march made parallel or obliquely to an enemy's position, in order to turn it or to attack him on the flank. -- Flank movement, a change of march by an army, or portion of one, in order to turn one or both wings of the enemy, or to take up a new position. -- Flanks of a frontier, salient points in a national boundary, strengthened to protect the frontier against hostile incursion. -- Flank patrol, detachments acting independently of the column of an army, but patrolling along its flanks, to secure it against surprise and to observe the movements of the enemy.\n\n1. To stand at the flank or side of; to border upon. Stately colonnades are flanked with trees. Pitt. 2. To overlook or command the flank of; to secure or guard the flank of; to pass around or turn the flank of; to attack, or threaten to attack; the flank of.\n\n1. To border; to touch. Bp. Butler. 2. To be posted on the side.
flanker |One who, or that which, flanks, as a skirmisher or a body of troops sent out upon the flanks of an army toguard a line of march, or a fort projecting so as to command the side of an assailing body. They threw out flankers, and endeavored to dislodge their assailants. W. Irwing.\n\n1. To defend by lateral fortifications. [Obs.] Sir T. Herbert. 2. To attack sideways. [Obs.] Evelyn.
flannel |A soft, nappy, woolen cloth, of loose texture. Shak. Adam's flannel. (Bot.) See under Adam. -- Canton flannel, Cotton flannel. See Cotton flannel, under Cotton.
flannel flower |(a) The common mullein. (b) A Brazilian apocynaceous vine (Macrosiphonia longiflora) having woolly leaves. (c) An umbelliferous Australian flower (Actinotus helianthi), often erroneously thought to be composite. The involucre looks as if cut out of white flannel.
flanneled |Covered or wrapped in flannel.
flannen |Made or consisting of flannel. [Obs.] \"Flannen robes.\" Dryden.
flap |Anything broad and limber that hangs loose, or that is attached by one side or end and is easily moved; as, the flap of a garment. A cartilaginous flap upon the opening of the larynx. Sir T. Browne. 2. A hinged leaf, as of a table or shutter. 3. The motion of anything broad and loose, or a stroke or sound made with it; as, the flap of a sail or of a wing. 4. pl. (Far.)  A disease in the lips of horses. Flap tile, a tile with a bent up portion, to turn a corner or catch a drip. -- Flap valve (Mech.), a valve which opens and shuts upon one hinged side; a clack valve.\n\n1. To beat with a flap; to strike. Yet let me flap this bug with gilded wings. Pope. 2. To move, as something broad and flaplike; as, to flap the wings; to let fall, as the brim of a hat. To flap in the mouth, to taunt. [Obs.] W. Cartwright.\n\n1. To move as do wings, or as something broad or loose; to fly with wings beating the air. The crows flapped over by twos and threes. Lowell. 2. To fall and hang like a flap, as the brim of a hat, or other broad thing. Gay.
flap-eared |Having broad, loose, dependent ears. Shak.
flap-mouthed |Having broad, hangling lips. [R.] Shak.
flapdragon |1. A game in which the players catch raisins out burning brandy, and swallow them blazing. Johnson. 2. The thing thus caught abd eaten. Johnson. Cakes and ale, and flapdragtons and mummer's plays, and all the happy sports of Christians night. C. Kingsley.\n\nTo swallow whole, as a flapdragon; to devour. [Obs.] See how the sea flapdragoned it. Shak.
flapjack |1. A fklat cake turned on the griddle while cooking; a griddlecake or pacake. 2. A fried dough cake containing fruit; a turnover. [Prov. Eng.]
flapper |1. One who, or that which, flaps. 2. See Flipper. \"The flapper of a porpoise.\" Buckley. Flapper skate (Zoöl.), a European skate (Raia intermedia).
flare |1. To burn with an unsteady or waving flame; as, the candle flares. 2. To shine out with a sudden and unsteady light; to emit a dazzling or painfully bright light. 3. To shine out with gaudy colors; to flaunt; to be offensively bright or showy. With ribbons pendant, flaring about her head. Shak. 4. To be exosed to too much light. [Obs.] Flaring in sunshine all the day. Prior. 5. To open or spread outwards; to project beyond the perpendicular; as, the sides of a bowl flare; the bows of a ship flare. To flare up, to become suddenly heated or excited; to burst into a passion. [Colloq.] Thackeray.\n\n1. An unsteady, broad, offensive light. 2. A spreading outward; as, the flare of a fireplace.\n\nLeaf of lard. \"Pig's flare.\" Dunglison.
flare-up |A sudden burst of anger or passion; an angry dispute. [Colloq.]
flaring |1. That flares; flaming or blazing unsteadily; shining out with a dazzling light. His [the sun's] flaring beams. Milton. 2. Opening or speading outwards.
flaringly |In a flaring manner.
flash |1. To burst or break forth with a sudden and transient flood of flame and light; as, the lighting flashes vividly; the powder flashed. 2. To break forth, as a sudden flood of light; to burst instantly and brightly on the sight; to show a momentary brilliancy; to come or pass like a flash. Names which have flashed and thundered as the watch words of unumbered struggles. Talfourd. The object is made to flash upon the eye of the mind. M. Arnold. A thought floashed through me, which I clothed in act. Tennyson. 3. To burst forth like a sudden flame; to break out violently; to rush hastily. Every hour He flashes into one gross crime or other. Shak. To flash in the pan, to fail of success. [Colloq.] See under Flash, a burst of light. Bartlett. Syn. -- Flash, Glitter, Gleam, Glisten, Glister. Flash differs from glitter and gleam, denoting a flood or wide extent of light. The latter words may express the issuing of light from a small object, or from a pencil of rays. Flash differs from other words, also, in denoting suddenness of appearance and disappearance. Flashing differs from exploding or disploding in not being accompanied with a loud report. To glisten, or glister, is to shine with a soft and fitful luster, as eyes suffused with tears, or flowers wet with dew.\n\n1. To send out in flashes; to cause to burst forth with sudden flame or light. The chariot of paternal Deity, Flashing thick flames. Milton. 2. To convey as by a flash; to light up, as by a sudden flame or light; as, to flash a message along the wires; to flash conviction on the mind. 3. (Glass Making)  To cover with a thin layer, as objects of glass with glass of a different color. See Flashing, n., 3 (b). 4. To trick up in a showy manner. Limning and flashing it with various dyes. A. Brewer. 5. Etym: [Perh. due to confusion between flash of light and plash, splash.]  To strike and throw up large bodies of water from the surface; to splash. [Obs.] He rudely flashed the waves about. Spenser. Flashed glass. See Flashing, n., 3.\n\n1. A sudden burst of light; a flood of light instantaneously appearing and disappearing; a momentary blaze; as, a flash of lightning. 2. A sudden and brilliant burst, as of wit or genius; a momentary brightness or show. The flash and outbreak of a fiery mind. Shak. No striking sentiment, no flash of fancy. Wirt. 3. The time during which a flash is visible; an instant; a very brief period. The Persians and Macedonians had it for a flash. Bacon. 4. A preparation of capsicum, burnt sugar, etc., for coloring and giving a fictious strength to liquors. Flash light, or Flashing light, a kind of light shown by lighthouses, produced by the revolution of reflectors, so as to show a flash of light every few seconds, alternating with periods of dimness. Knight. -- Flash in the pan, the flashing of the priming in the pan of a flintlock musket without discharging the piece; hence, sudden, spasmodic effort that accomplishes nothing.\n\n1. Showy, but counterfeit; cheap, pretentious, and vulgar; as, flash jewelry; flash finery. 2. Wearing showy, counterfeit ornaments; vulgarly pretentious; as, flash people; flash men or women; -- applied especially to thieves, gamblers, and prostitutes that dress in a showy way and wear much cheap jewelry. Flash house, a house frequented by flash people, as thieves and whores; hence, a brothel. \"A gang of footpads, reveling with their favorite beauties at a flash house.\" Macaulay.\n\nSlang or cant of thieves and prostitutes.\n\n1. A pool. [Prov. Eng.] Haliwell. 2. (Engineering)  A reservoir and sluiceway beside a navigable stream, just above a shoal, so that the stream may pour in water as boats pass, and thus bear them over the shoal. Flash wheel (Mech.), a paddle wheel made to revolve in a breast or curved water way, by which water is lifted from the lower to the higher level.
flash burner |A gas burner with a device for lighting by an electric spark.
flashboard |A board placed temporarily upon a milldam, to raise the water in the pond above its usual level; a flushboard. [U.S.]
flasher |1. One who, or that which, flashes. 2. A man of more appearance of wit than reality. 3. (Zoöl.) (a) A large sparoid fish of the Atlantic coast and all tropical seas (Lobotes Surinamensis). (b) The European red-backed shrile (Lanius collurio); -- called also flusher.
flashily |In a flashy manner; with empty show.
flashiness |The quality of being flashy.
flashing |1. (Engineering)  The creation of an artifical flood by the sudden letting in of a body of water; -- called also flushing. 2. (Arch.)  Pieces of metal, built into the joints of a wall, so as to lap over the edge of the gutters or to cover the edge of the roofing; also, similar pieces used to cover the valleys of roofs of slate, shingles, or the like. By extension, the metal covering of ridges and hips of roofs; also, in the United States, the protecting of angles and breaks in walls of frame houses with waterproof material, tarred paper, or the like. Cf. Filleting. 3. (Glass Making) (a) The reheating of an article at the furnace aperture during manufacture to restore its plastic condition; esp., the reheating of a globe of crown glass to allow it to assume a flat shape as it is rotated. (b) A mode of covering transparent white glass with a film of colored glass. Knight. Flashing point (Chem.), that degree of temperature at which a volatile oil gives off vapor in sufficient quantity to burn, or flash, on the approach of a flame, used as a test of the comparative safety of oils, esp. kerosene; a flashing point of 100º F. is regarded as a fairly safe standard. The burning point of the oil is usually from ten to thirty degree above the flashing point of its vapor.
flashy |1. Dazzling for a moment; making a momentary show of brilliancy; transitorily bright. A little flashy and transient pleasure. Barrow. 2. Fiery; vehement; impetuous. A temper always flashy. Burke. 3. Showy; gay; gaudy; as, a flashy dress. 4. Without taste or spirit. Lean and flashy songs. Milton.
flask |1. A small bottle-shaped vessel for holding fluids; as, a flask of oil or wine. 2. A narrow-necked vessel of metal or glass, used for various purposes; as of sheet metal, to carry gunpowder in; or of wrought iron, to contain quicksilver; or of glass, to heat water in, etc. 3. A bed in a gun carriage. [Obs.] Bailey. 4. (Founding)  The wooden or iron frame which holds the sand, etc., forming the mold used in a foundry; it consists of two or more parts; viz., the cope or top; sometimes, the cheeks, or middle part; and the drag, or bottom part. When there are one or more cheeks, the flask is called a three part flask, four part flask, etc. Erlenmeyer flask, a thin glass flask, flat-bottomed and cone-shaped to allow of safely shaking its contents laterally without danger of spilling; -- so called from Erlenmeyer, a German chemist who invented it. -- Florence flask. Etym: [From Florence in Italy.] (a) Same as Betty, n., 3. (b) A glass flask, round or pear-shaped, with round or flat bottom, and usually very thin to allow of heating solutions. -- Pocket flask, a kind of pocket dram bottle, often covered with metal or leather to protect it from breaking.
flasket |1. A long, shallow basket, with two handles. [Eng.] In which they gathered flowers to fill their flasket. Spenser. 2. A small flask. 3. A vessel in which viands are served. [Obs.] Pope.
flat |1. Having an even and horizontal surface, or nearly so, without prominences or depressions; level without inclination; plane. Though sun and moon Were in the flat sea sunk. Milton. 2. Lying at full length, or spread out, upon the ground; level with the ground or earth; prostrate; as, to lie flat on the ground; hence, fallen; laid low; ruined; destroyed. What ruins kingdoms, and lays cities flat! Milton. I feel . . . my hopes all flat. Milton. 3. (Fine Arts)  Wanting relief; destitute of variety; without points of prominence and striking interest. A large part of the work is, to me, very flat. Coleridge. 4. Tasteless; stale; vapid; insipid; dead; as, fruit or drink flat to the taste. 5. Unanimated; dull; uninteresting; without point or spirit; monotonous; as, a flat speech or composition. How weary, stale, flat, and unprofitable Seem to me all the uses of this world. Shak. 6. Lacking liveliness of commercial exchange and dealings; depressed; dull; as, the market is flat. 7. Clear; unmistakable; peremptory; absolute; positive; downright. Flat burglary as ever was committed. Shak. A great tobacco taker too, -- that's flat. Marston. 8. (Mus.) (a) Below the true pitch; hence, as applied to intervals, minor, or lower by a half step; as, a flat seventh; A flat. (b) Not sharp or shrill; not acute; as, a flat sound. 9. (Phonetics)  Sonant; vocal; -- applied to any one of the sonant or vocal consonants, as distinguished from a nonsonant (or sharp) consonant. Flat arch. (Arch.) See under Arch, n., 2. (b). -- Flat cap, cap paper, not folded. See under Paper. -- Flat chasing, in fine art metal working, a mode of ornamenting silverware, etc., producing figures by dots and lines made with a punching tool. Knight. -- Flat chisel, a sculptor's chisel for smoothing. -- Flat file, a file wider than its thickness, and of rectangular section. See File. -- Flat nail, a small, sharp-pointed, wrought nail, with a flat, thin head, larger than a tack. Knight. -- Flat paper, paper which has not been folded. -- Flat rail, a railroad rail consisting of a simple flat bar spiked to a longitudinal sleeper. -- Flat rods (Mining), horizontal or inclined connecting rods, for transmitting motion to pump rods at a distance. Raymond. -- Flat rope, a rope made by plaiting instead of twisting; gasket; sennit. Note: Some flat hoisting ropes, as for mining shafts, are made by sewing together a number of ropes, making a wide, flat band. Knight. -- Flat space. (Geom.) See Euclidian space. -- Flat stitch, the process of wood engraving. [Obs.] -- Flat tint (Painting), a coat of water color of one uniform shade. -- To fall flat (Fig.), to produce no effect; to fail in the intended effect; as, his speech fell flat. Of all who fell by saber or by shot, Not one fell half so flat as Walter Scott. Lord Erskine.\n\n1. In a flat manner; directly; flatly. Sin is flat opposite to the Almighty. Herbert. 2. (Stock Exchange)  Without allowance for accrued interest. [Broker's Cant]\n\n1. A level surface, without elevation, relief, or prominences; an extended plain; specifically, in the United States, a level tract along the along the banks of a river; as, the Mohawk Flats. Envy is as the sunbeams that beat hotter upon a bank, or steep rising ground, than upon a flat. Bacon. 2. A level tract lying at little depth below the surface of water, or alternately covered and left bare by the tide; a shoal; a shallow; a strand. Half my power, this night Passing these flats, are taken by the tide. Shak. 3. Something broad and flat in form; as: (a) A flat-bottomed boat, without keel, and of small draught. (b) A straw hat, broad-brimmed and low-crowned. (c) (Railroad Mach.) A car without a roof, the body of which is a platform without sides; a platform car. (d) A platform on wheel, upon which emblematic designs, etc., are carried in processions. 4. The flat part, or side, of anything; as, the broad side of a blade, as distinguished from its edge. 5. (Arch.)  A floor, loft, or story in a building; especially, a floor of a house, which forms a complete residence in itself. 6. (Mining)  A horizontal vein or ore deposit auxiliary to a main vein; also, any horizontal portion of a vein not elsewhere horizontal. Raymond. 7. A dull fellow; a simpleton; a numskull. [Colloq.] Or if you can not make a speech, Because you are a flat. Holmes. 8. (Mus.)  A character [] before a note, indicating a tone which is a half step or semitone lower. 9. (Geom.)  A homaloid space or extension.\n\n1. To make flat; to flatten; to level. 2. To render dull, insipid, or spiritless; to depress. Passions are allayed, appetites are flatted. Barrow. 3. To depress in tone, as a musical note; especially, to lower in pitch by half a tone.\n\n1. To become flat, or flattened; to sink or fal to an even surface. Sir W. Temple. 2. (Mus.)  To fall form the pitch. To flat out, to fail from a promising beginning; to make a bad ending; to disappoint expectations. [Colloq.]
flat foot |A foot in which the arch of the instep is flattened so that the entire sole of the foot rests upon the ground; also, the deformity, usually congential, exhibited by such a foot; splayfoot.
flat-bottomed |Having an even lower surface or bottom; as, a flat-bottomed boat.
flat-cap |A kind of low-crowned cap formerly worn by all classes in England, and continued in London after disuse elsewhere; -- hence, a citizen of London. Marston.
flat-footed |1. Having a flat foot, with little or no arch of the instep. 2. Firm-footed; determined. [Slang, U.S.]
flat-headed |Having a head with a flattened top; as, a flat-headed nail.
flatbill |Any bird of the genus Flatyrynchus. They belong to the family of flycatchers.
flatboat |A boat with a flat bottom and square ends; -- used for the transportation of bulky freight, especially in shallow waters.
flatfish |Any fish of the family Pleuronectidæ; esp., the winter flounder (Pleuronectes Americanus). The flatfishes have the body flattened, swim on the side, and have eyes on one side, as the flounder, turbot, and halibut. See Flounder.
