cullionly |Mean; base. Shak.
cultivator |1. One who cultivates; as, a cultivator of the soil; a cultivator of literature. Whewell. 2. An agricultural implement used in the tillage of growing crops, to loosen the surface of the earth and kill the weeds; esp., a triangular frame set with small shares, drawn by a horse and by handles. Note: In a broader signification it includes any complex implement for pulverizing or stirring the surface of the soil, as harrows, grubbers, horse hoes, etc.
cultrate |Sharp-edged and pointed; shaped like a pruning knife, as the beak of certain birds.
cultrated |Sharp-edged and pointed; shaped like a pruning knife, as the beak of certain birds.
cultriform |Shaped like a pruning knife; cultrate.
cultrivorous |Devouring knives; swallowing, or pretending to swallow, knives; -- applied to persons who have swallowed, or have seemed to swallow, knives with impunity. Dunglison.
culturable |Capable of, or fit for, being cultivated; capable or becoming cultured. London Spectator.
cultural |Of or pertaining to culture.
culture |1. The act or practice of cultivating, or of preparing the earth for seed and raising crops by tillage; as, the culture of the soil. 2. The act of, or any labor or means employed for, training, disciplining, or refining the moral and intellectual nature of man; as. the culture of the mind. If vain our toil We ought to blame theculture, not the soil. Pepe. 3. The state of being cultivated; result of cultivation; physical improvement; enlightenment and discipline acquired by mental and moral training; civilization; refinement in manners and taste. What the Greeks expressed by their humanitas, we less happily try to express by the more artificial word culture. J. C. Shairp. The list of all the items of the general life of a people represents that whole which we call its culture. Tylor. Culture fluid, a fluid in which the germs of microscopic organisms are made to develop, either for purposes of study or as a means of modifying their virulence.\n\nTo cultivate; to educate. They came . . . into places well inhabited and cultured. Usher.
culture features |The artificial features of a district as distinguished from the natural.
culture myth |A myth accounting for the discovery of arts and sciences or the advent of a higher civilization, as in the Prometheus myth.
cultured |1. Under culture; cultivated. \"Cultured vales.\" Shenstone. 2. Characterized by mental and moral training; disciplined; refined; well-educated. The sense of beauty in nature, even among cultured people, is less often met with than other mental endowments. I. Taylor. The cunning hand and cultured brain. Whittier.
cultureless |Having no culture.
culturist |1. A cultivator. 2. One who is an advocate of culture. The culturists, by which term I mean not those who esteem culture (as what intelligent man does notJ. C. Shairp
cultus |Established or accepted religious rites or usages of worship; state of religious development. Cf.Cult, 2.
cultus cod |See Cod, and Buffalo cod, under Buffalo.
culver |A dove. \"Culver in the falcon's fist.\" Spenser.\n\nA culverin. Falcon and culver on each tower Stood prompt their deadly hail to shower. Sir W. Scott.
culverhouse |A dovecote.
culverin |A long cannon of the 16th century, usually an 18-pounder with serpent-shaped handles. Trump, and drum, and roaring culverin. Mac
culverkey |1. A bunch of the keys or samaras of the ash tree. Wright. 2. An English meadow plant, perhaps the columbine or the bluebell squill (Scilla nutans). [Obs.] A girl cropping culverkeys and cowslips to make garlands. Walton. CULVER'S PHYSIC; CULVER'S ROOT Cul\"ver's phys\"ic, or Cul\"ver's root`. [So called after a Dr. Culver, who used it.] (Bot.)  The root of a handsome erect herb (Leptandra, syn. Veronica, Virginica) common in most moist woods of North America , used as an active cathartic and emetic; also, the plant itself.
culvert |A transverse drain or waterway of masonry under a road, railroad, canal, etc.; a small bridge.
culvertail |Dovetail.
culvertailed |United or fastened by a dovetailed joint.
cumacea |An order of marine Crustacea, mostly of small size.
cumbent |Lying down; recumbent. J. Dyer.
cumber |To rest upon as a troublesome or useless weight or load; to be burdensome or oppressive to; to hinder or embarrass in attaining an object, to obstruct or occupy uselessly; to embarrass; to trouble. Why asks he what avails him not in fight, And would but cumber and retard his flight Dryden. Martha was cumbered about much serving. Luke x. 40. Cut it down; why cumbereth it the ground Luke xiii. 7. The multiplying variety of arguments, especially frivolous ones, . . . but cumbers the memory. Locke.\n\nTrouble; embarrassment; distress. [Obs.] [Written also comber.] A place of much distraction and cumber. Sir H. Wotton. Sage counsel in cumber. Sir W. Scott.
cumbersome |1. Burdensome or hindering, as a weight or drag; embarrassing; vexatious; cumbrous. To perform a cumbersome obedience. Sir. P. Sidney. 2. Not easily managed; as, a cumbersome contrivance or machine. He holds them in utter contempt, as lumbering, cumbersome, circuitous. I. Taylor. -- Cum\"ber*some*ly, adv. -- Cum\"ber*some*ness,n.
cumbrance |Encumbrance. [Obs.] Extol not riches then, the toil of fools, The wise man's cumbrance, if not snare. Milton.
cumbrian |Pertaining to Cumberland, England, or to a system of rocks found there. Cumbrian system (Geol.), the slate or graywacke system of rocks, now included in the Cambrian or Silurian system; -- so called because most prominent at Cumberland.
cumbrous |1. Rendering action or motion difficult or toilsome; serving to obstruct or hinder; burdensome; clogging. He sunk beneath the cumbrous weight. Swift. That cumbrousand unwieldy style which disfigures English composition so extensively. De Quincey. 2. Giving trouble; vexatious. [Obs.] A clud of cumbrous gnats. Spenser. -- Cum\"brous*ly, adv. -- Cum\"brous*ness, n.
cumene |A colorless oily hydrocarbon, C6H5.C3H7, obtained by the distillation of cuminic acid; -- called also cumol.
cumfrey |See Comfrey.
cumic |See Cuming.
cumidine |A strong, liquid, organic base, C3H7.C6H4.NH2, homologous with aniline.
cumin |A dwarf umbelliferous plant, somewhat resembling fennel (Cuminum Cyminum), cultivated for its seeds, which have a bitterish, warm taste, with an aromatic flavor, and are used like those of anise and caraway. [Written also cummin.] Rank-smelling rue, and cumin good for eyes. Spenser. Black cumin (Bot.), a plant (Nigella sativa) with pungent seeds, used by the Afghans, etc.
cuminic |Pertaining to, or derived from, cumin, or from oil of caraway; as, cuminic acid. Cuminic acid (Chem.), white crystalline substance, C3H7.C6H4.CO2H, obtained from oil of caraway.
cuminil |A substance, analogous to benzil, obtained from oil of caraway.
cuminol |A liquid, C3H7.C6H4.CHO, obtained from oil of caraway; -- called also cuminic aldehyde.
cummerbund |A sash for the waist; a girdle. [India]
cummin |Same as Cumin. Ye pay tithe of mint, and cummin. Matt. xxiii. 23.
cumquat |See Kumquat.
cumshaw |A present or bonus; -- originally applied to that paid on ships which entered the port of Canton. S. Wells Williams.\n\nTo give or make a present to.
cumu-cirro-stratus |Nimbus, or rain cloud. See Nimbus, and Cloud.
cumulate |To gather or throw into a heap; to heap together; to accumulate. Shoals of shells, bedded and cumulated heap upon heap. Woodward.
cumulation |The act of heaping together; a heap. See Accumulation.
cumulatist |One who accumulates; one who collects. [R.]
cumulative |1. Composed of parts in a heap; forming a mass; agregated. \"As for knowledge which man receiveth by teaching, it is cumulative, njt original.\" Bacon 2. Augmenting, gaining, or giving force, by successive additions; as, a cumulative argument, i. e., one whose force increases as the statement proceeds. The argument . . . is in very truth not logical and single, but moral and cumulative. Trench. 3. (Law) (a) Tending to prove the same point to which other evidence has been offered; -- said of evidence. (b) Given by same testator to the same legatee; -- said of a legacy. Bouvier. Wharton. Cumulative action (Med.), that action of certain drugs, by virtue of which they produce, when administered in small doses repeated at considerable intervals, the same effect as if given in a single large dose. -- Cumulative poison, a poison the action of which is cumulative. -- Cumulative vote or system of voting (Politics), that system which allows to each voter as many votes as there are persons to be voted for, and permits him to accumulate these votes upon one person, or to distribute them among the candidates as he pleases.
cumulose |Full of heaps.
cumulostratus |A form of cloud. See Cloud.
cumulus |One of the four principal forms of clouds. SeeCloud.
cun |To con (a ship). [Obs.]\n\nTo know. See Con. [Obs.]
cunabula |1. The earliest abode; original dwelling place; originals; as, the cunabula of the human race. 2. (Bibliography)  The extant copies of the first or earliest printed books, or of such as were printed in the 15th century.
cunctation |Delay; procrastination. [R.] Carlyle.
cunctative |Slow; tardy; dilatory; causing delay.
cunctator |One who delays or lingers. [R.]
cunctipotent |All-powerful; omnipotent. [R] \"God cunctipotent.\" Neale (Trans. Rhythm of St. Bernard).
cund |To con (a ship). [Obs.]
cundurango |The bark of a South American vine (Gonolobus Condurango) of the Milkweed family. It has been supposed, but erroneously, to be a cure for cancer. [Written also condurango.]
cuneal |Relating to a wedge; wedge-shaped.
cuneate |Wedge-shaped; (Bot.), wedge-shaped, with the point at the base; as, a cuneate leaf.
cuneated |Wedge-shaped; (Bot.), wedge-shaped, with the point at the base; as, a cuneate leaf.
cuneatic |Cuneiform. \"Cuneatic decipherment.\" Sayce.
cuneiform |1. Wedge-shaped; as, a cuneiform bone; -- especially applied to the wedge-shaped or arrowheaded characters of ancient Persian and Assyrian inscriptions. See Arrowheaded. 2. Pertaining to, or versed in, the ancient wedge-shaped characters, or the inscriptions in them. \"A cuneiform scholar.\" Rawlinson.\n\n1. The wedge-shaped characters used in ancient Persian and Assyrian inscriptions. I. Taylor (The Alphabet). 2. (Anat.) (a) One of the three tarsal bones supporting the first, second third metatarsals. They are usually designated as external, middle, and internal, or ectocuniform, mesocuniform, and entocuniform, respectively. (b) One of the carpal bones usually articulating wich the ulna; -- called also pyramidal and ulnare.
cunette |A drain trench, in a ditch or moat; -- called also cuvette.
cuniform |1. Wedge-shaped; as, a cuneiform bone; -- especially applied to the wedge-shaped or arrowheaded characters of ancient Persian and Assyrian inscriptions. See Arrowheaded. 2. Pertaining to, or versed in, the ancient wedge-shaped characters, or the inscriptions in them. \"A cuneiform scholar.\" Rawlinson.\n\n1. The wedge-shaped characters used in ancient Persian and Assyrian inscriptions. I. Taylor (The Alphabet). 2. (Anat.) (a) One of the three tarsal bones supporting the first, second third metatarsals. They are usually designated as external, middle, and internal, or ectocuniform, mesocuniform, and entocuniform, respectively. (b) One of the carpal bones usually articulating wich the ulna; -- called also pyramidal and ulnare.
cunner |(a) A small edible fish of the Atlantic coast (Ctenolabrus adspersus); -- called also chogset, burgall, blue perch, and bait stealer. [Written also conner.] (b) A small shellfish; the limpet or patella.
cunning |1. Knowing; skillfull; dexterous. \"A cunning workman.\" Ex. xxxviii. 23. \"Tis beauty truly blent, whose red and white Nature's own sweet and cunning hand laid on. Shak. Esau was a cunning hunter. Gen xxv. 27. 2. Wrought with, or exibiting, skill or ingenuity; ingenious; curious; as, cunning work. Over them Arachne high did lift Her cunning web. Spenser. 3. Crafty; sly; artful; designid; deceitful. They are resolved to be cunning; let others run the hazard of being sincere. South. 4. Pretty or pleasing; as, a cunning little boy. [Colloq. U.S.] Barlett. Syn. -- Cunning, Artful, Sly, Wily, Crafty. These epithets agree in expressing an aptitude for attaining some end by peculiar and secret means. Cunning is usually low; as, a cunning trick. Artful is more ingenious and inventive; as, an artful device. Sly implies a turn for what is double or concealed; as, sly humor; a sly evasion. Crafty denotes a talent for dexterously deceiving; as, a crafty manager. Wily describes a talent for the use of stratagems; as, a wily politician. \"Acunning man often shows his dexterity in simply concealing. An artful man goes further, and exerts his ingenuity in misleading. A crafty man mingles cunning with art, and so shapes his actions as to lull suspicions. The young may be cunning, but the experienced only can be crafty. Slyness is a vulgar kind of cunning; the sly man goes cautiously and silently to work. Wiliness is a species of cunning or craft applicable only to cases of attack and defence.\" Crabb.\n\n1. Knowledge; art; skill; dexterity. [Archaic] Let my right hand forget her cunning. Ps. cxxxvii. 5. A carpenter's desert Stands more in cunning than in power. Chapman. 2. The faculty or act of using stratagem to accomplish a purpose; fraudulent skill or dexterity; deceit; craft. Discourage cunning in a child; cunning is the ape of wisdom. Locke. We take cunning for a sinister or crooked wisdom. Bacon.
cunningly |In a cunning manner; with cunning.
cunningman |A fortune teller; one who pretends to reveal mysteries. [Obs.] Hudibras.
cunningness |Quality of being cunning; craft.
cup |1. A small vessel, used commonly to drink from; as, a tin cup, a silver cup, a wine cup; especially, in modern times, the pottery or porcelain vessel, commonly with a handle, used with a saucer in drinking tea, coffee, and the like. 2. The contents of such a vessel; a cupful. Give me a cup of sack, boy. Shak. 3. pl.  Repeated potations; social or exessive indulgence in intoxicating drinks; revelry. Thence from cups to civil broils. Milton. 4. That which is to be received or indured; that which is allotted to one; a portion. O my Father, if it be possible, let this cup pass from me. Matt. xxvi. 39. 5. Anything shaped like a cup; as, the cup of an acorn, or of a flower. The cowslip's golden cup no more I see. Shenstone. 6. (Med.)  A cupping glass or other vessel or instrument used to produce the vacuum in cupping. Cup and ball, a familiar toy of children, having a cup on the top of a piece of wood to which, a ball is attached by a cord; the ball, being thrown up, is to be caught in the cup; bilboquet. Milman.- Cup and can, familiar companions. -- Dry cup, Wet cup (Med.), a cup used for dry or wet cupping. See under Cupping. -- To be in one's cups, to be drunk.\n\n1. To supply with cups of wine. [R.] Cup us, till the world go round. Shak. 2. (Surg.)  To apply a cupping apparatus to; to subject to the operation of cupping. See Cupping. 3. (Mech.)  To make concave or in the form of a cup; as, to cup the end of a screw.
cup shake |A shake or fissure between the annual rings of a tree, found oftenest near the roots.
cup-gall |A kind of oak-leaf gall. See Gall.
cup-moss |A kind of lichen, of the genus Cladonia.
cup-rose |Red poppy. See Cop-rose.
cupbearer |1. One whose office it is to fill and hand the cups at an enterainment. 2. (Antiq.)  One of the attendants of a prince or noble, permanently charged with the performance of this office for his master. \"I was the king's cupbearer.\" Neh. i. 11.
cupboard |1. A board or shelf for cups and dishes. [Obs.] Bacon. 2. A small closet in a room, with shelves to receive cups, dishes, food, etc.; hence, any small closet. Cupboard love, interested love, or that which has an eye to the cupboard. \"A cupboard love is seldom true.\" Poor Robin. [Colloq.] -- To cry cupboard, to call for food; to express hunger. [Colloq.] \"My stomach cries cupboard.\" W. Irving.\n\nTo collect, as into a cupboard; to hoard. [R.] Shak.
cupel |A shallow porus cup, used in refining precious metals, commonly made of bone ashes (phosphate of lime). [Written also coppel.] Cupel dust, powder used in purifying metals.\n\nTo refine by means of a cupel.
cupellation |The act or process of refining gold or silver, etc., in a cupel. Note: The process consist in exposing the cupel containing the metal to be assayed or refined to a hot blast, by which the lead, copper, tin, etc., are oxidized, dissolved, and carried down into the porous cupel, leaving the unoxidizable precious metal. If lead is not already present in the alloy it must be added before cupellation.
cupful |As much as a cup will hold.
cupid |The god of love, son of Venus; usually represented as a naked, winged boy with bow and arrow. Pretty dimpled boys, like smiling cupids. Shak.
cupidity |1. A passionate desire; love. [Obs.] 2. Eager or inordinate desire, especially for wealth; greed of gain; avarice; covetousness. With the feelings of political distrust were mingled those of cupidity and envy, as the Spaniard saw the fairest provinces of the south still in the hands of the accursed race of Ishmael. Prescott.
cupola |1. (Arch.)  A roof having a rounded form, hemispherical or nearly so; also, a celing having the same form. When on a large scale it is usually called dome. 2. A small structure standing on the top of a dome; a lantern. 3. A furnace for melting iron or other metals in large quantity, -- used chiefly in foundries and steel works. 4. A revoling shot-proof turret for heavy ordnance. 5. (Anat.)  The top of the spire of the cochlea of the ear.
cupper |One who performs the operation of cupping.
cupping |The operation of drawing blood to or from the surface of the person by forming a partial vacuum over the spot. Also, sometimes, a similar operation for drawing pus from an abscess. Cupping glass, a glass cup in which a partial vacuum is produced by heat, in the process of cupping. -- Dry cupping, the application of a cupping instrument without scarification, to draw blood to the surface, produce counter irritation, etc. -- Wet cupping, the operation of drawing blood by the application of a cupping instrument after scarification.
cuppy |1. Hollow; cuplike; also, full of cups, or small depressions. 2.  Characterized by cup shakes; -- said of timber.
cupreous |Consisting of copper or resembling copper; coppery.
cupric |Of, pertaining to, or derived from, copper; containing copper; -- said of those compounds of copper in which this element is present in its lowest proportion.
cupriferous |Containing copper; as, cupriferous silver.
cuprite |The red oxide of copper; red copper; an important ore of copper, occurring massive and in isometric crystals.
cuproid |(Crystalloq.) A solid related to a tetrahedron, and contained under twelve equal triangles.
cuprous |Of, pertaining to, or derived from, copper; containing copper; -- said of those compounds of copper in which this element is present in its highest proportion.
cuprum |Copper.
cupulate |Having or bearing cupeles; cupuliferous.
cupule |1. (Bot.)  A cuplet or little cup, as the acorn; the husk or bur of the filbert, chestnut, etc. 2. (Zoöl.)  A sucker or acetabulum.
cupuliferous |Of, pertaining to, or resembling, the family of plants ot which the oak and the chestnut are examples, -- trees bearing a smooth, solid nut inclosed in some kind of cup or bur; bearing, or furnished with, a cupule.
cur |1. A mongrel or inferior dog. They . . . like to village curs, Bark when their fellows do. Shak. 2. A worthless, snarling fellow; -- used in contempt. What would you have, you curs, That like nor peace nor war Shak.
curability |The state of being curable; curableness.
curable |Capable of being cured; admitting remedy. \"Curable diseases.\" Harvey. -- Cur\"a*ble*ness, n. -- Cur`a*bly, adv.
curacao |A liqueur, or cordial, flavored with orange peel, cinnamon, and mace; -- first made at the island of Curaçcao.
curacoa |A liqueur, or cordial, flavored with orange peel, cinnamon, and mace; -- first made at the island of Curaçcao.
curacy |The office or employment of a curate.
curare |A black resinoid extract prepared by the South American Indians from the bark of several species of Strychnos (S. toxifera, etc.). It sometimes has little effect when taken internally, but is quickly fatal when introduced into the blood, and used by the Indians as an arrow poison. [Written also urari, woorali, woorari, etc.]
curari |A black resinoid extract prepared by the South American Indians from the bark of several species of Strychnos (S. toxifera, etc.). It sometimes has little effect when taken internally, but is quickly fatal when introduced into the blood, and used by the Indians as an arrow poison. [Written also urari, woorali, woorari, etc.]
curarine |A deadly alkaloid extracted from the curare poison and from the Strychnos toxifera. It is obtained in crystalline colorless salts.
curarize |To poison with curare.
curassow |A large gallinaceous bird of the American genera Crax, Ourax, etc., of the family Cracidæ. Note: The crested curassow (Crax alector) is black, and about the size of a small hen-turkey, with an erectile crest of curled feathers. It ranges from Mexico to Brazil. The galeated curassow or cushew bird (Ourax Pauxi) is similar in size, and has a large, hollow, blue, pear-shaped protuberance on the head.
curat |A cuirass or breastplate. [Obs.] Spenser.
curate |One who has the cure souls; originally, any clergyman, but now usually limited to one who assist a rector or vicar Hook. All this the good old man performed alone, He spared no pains, for curate he had none. Dryden.
curateship |A curacy.
curation |Cure; healing. [Obs.] Chaucer.
curative |Relating to, or employed in, the cure of diseases; tending to cure. Arbuthnot.
curator |1. One who has the care and superintendence of anything, as of a museum; a custodian; a keeper. 2. One appointed to act as guardian of the estate of a person not legally competent to manage it, or of an absentee; a trustee; a guardian.
curatorship |The office of a curator.
curatrix |1. A woman who cures. 2. A woman who is a guardian or custodian. Burrill.
curb |1. To bend or curve [Obs.] Crooked and curbed lines. Holland. 2. To guide and manage, or restrain, as with a curb; to bend to one's will; to subject; to subdue; to restrain; to confine; to keep in check. Part wield their arms, part curb the foaming steed. Milton. Where pinching want must curbthy warm desires. Prior. 3. To furnish wich a curb, as a well; also, to restrain by a curb, as a bank of earth.\n\nTo bend; to crouch; to cringe. [Obs.] Virtue itself of vice must pardon beg, Yea, curb and woo for leave to do him good. Shak.\n\n1. That which curbs, restrains, or subdues; a check or hindbrance; esp., a chain or strap attached to the upper part of the branches of a bit, and capable of being drawn tightly against the lower jaw of the horse. He that before ran in the pastures wild Felt the stiff curb control his angry jaws. Drayton. By these men, religion,that should be The curb, is made the spur of tyranny. Denham. 2. (Arch.)  An assemblage of three or more pieces of timber, or a metal member, forming a frame around an opening, and serving to maintain the integrity of that opening; also, a ring of stone serving a similar purpose, as at the eye of a dome. 3. A frame or wall round the mouth of a well; also, a frame within a well to prevent the earth caving in. 4. A curbstone. 5. (Far.)  A swelling on the back part of the hind leg of a horse, just behind the lowest part of the hock joint, generally causing lameness. James Law. Curb bit, a stiff bit having branches by which a leverage is obtained upon the jaws of horse. Knight. -- Curb pins (Horology), the pins on the regulator which restrain the hairspring. -- Curb plate (Arch.), a plate serving the purpose of a curb. -- Deck curb. See under Deck.
curb roof |A roof having a double slope, or composed, on each side, of two parts which have unequal inclination; a gambrel roof.
curbless |Having no curb or restraint.
curbstone |A stone Curbstone broker.See under Broker.
curch |See Courche.
curculio |One of a large group of beetles (Rhynchophora) of many genera; -- called also weevils, snout beetles, billbeetles, and billbugs. Many of the species are very destructive, as the plum curculio, the corn, grain, and rice weevils, etc.
curculionidous |Pertaining to the Curculionideæ, or weevil tribe.
curcuma |A genus of plants of the order Scitamineæ, including the turmeric plant (Curcuma longa). Curcuma paper. (Chem.) See Turmeric paper, under Turmeric.
curcumin |The coloring principle of turmeric, or curcuma root, extracted as an orange yellow crystalline substance, C14H14O4, with a green fluorescence. Note: It possesses acid properties and with alkalies forms brownish salts. This change in color from yellow to brown is the characteristic reaction of tumeric paper. See Turmeric paper, under Turmeric.
curd |1. The coagulated or thickened part of milk, as distingushed from the whey, or watery part. It is eaten as food, especially when made into cheese. Curds and cream, the flower of country fare. Dryden. 2. The coagulated part of any liquid. 3. The edible flower head of certain brassicaceous plants, as the broccoli and cauliflower. Broccoli should be cut while the curd, as the flowering mass is termed, is entire. R. Thompson. Cauliflowers should be cut for use while the head, or curd, is still close and compact. F. Burr.\n\nTo cause to coagulate or thicken; to cause to congeal; to curdle. Does it curd thy blood To say I am thy mother Shak.\n\nTo become coagulated or thickened; to separate into curds and whey Shak.
curdiness |The state of being curdy.
curdle |1. To change into curd; to coagulate; as, rennet causes milk to curdle. Thomson. 2. To thicken; to congeal. Then Mary could feel her heart's blood curdle cold. Southey.\n\n1. To change into curd; to cause to coagulate. \"To curdle whites of eggs\" Boyle. 2. To congeal or thicken. My chill blood is curdled in my veins. Dryden.
curdless |Destitute of curd.
curdy |Like curd; full of curd; coagulated. \"A curdy mass.\" Arbuthnot.
cure |1. Care, heed, or attention. [Obs.] Of study took he most cure and most heed. Chaucer. Vicarages of greatcure, but small value. Fuller. 2. Spiritual charge; care of soul; the office of a parish priest or of a curate; hence, that which is committed to the charge of a parish priest or of a curate; a curacy; as, to resign a cure; to obtain a cure. The appropriator was the incumbent parson, and had the cure of the souls of the parishioners. Spelman. 3. Medical or hygienic care; remedial treatment of disease; a method of medical treatment; as, to use the water cure. 4. Act of healing or state of being healed; restoration to health from disease, or to soundness after injury. Past hope! pastcure! past help. Shak. I do cures to-day and to-morrow. Luke xii. 32. 5. Means of the removal of disease or evil; that which heals; a remedy; a restorative. Cold, hunger, prisons, ills without a cure. Dryden. The proper cure of such prejudices. Bp. Hurd.\n\n1. To heal; to restore to health, soundness, or sanity; to make well; -- said of a patient. The child was cured from that very hour. Matt. xvii. 18. 2. To subdue or remove by remedial means; to remedy; to remove; to heal; -- said of a malady. To cure this deadly grief. Shak. Then he called his twelve disciples together, and gave them power . . . to cure diseases. Luke ix. 1. 3. To set free from (something injurious or blameworthy), as from a bad habit. I never knew any man cured of inattention. Swift. 4. To prepare for preservation or permanent keeping; to preserve, as by drying, salting, etc.; as, to cure beef or fish; to cure hay.\n\n1. To pay heed; to care; to give attention. [Obs.] 2. To restore health; to effect a cure. Whose smile and frown, like to Achilles' spear, Is able with the change to kill and cure. Shak. 3. To become healed. One desperate grief cures with another's languish. Shak.\n\nA curate; a pardon.
cureall |A remedy for all diseases, o
cureless |Incapable of cure; incurable. With patience undergo A cureless ill, since fate will have it so. Dryden.
curer |1. One who cures; a healer; a physician. 2. One who prepares beef, fish, etc., for preservation by drying, salting, smoking, etc.
curette |A scoop or ring with either a blunt or a cutting edge, for removing substances from the walls of a cavity, as from the eye, ear, or womb.
curfew |1. The ringing of an evening bell, originally a signal to the inhabitants to cover fires, extinguish lights, and retire to rest, -- instituted by William the Conqueror; also, the bell itself. He begins at curfew, and walks till the first cock. Shak. The village curfew, as it tolled profound. Campbell. 2. A utensil for covering the fire. [Obs.] For pans, pots, curfews, counters and the like. Bacon.
curia |1. (Rom. Antiq.) (a) One of the thirty parts into which the Roman people were divided by Romulus. (b) The place of assembly of one of these divisions. (c) The place where the meetings of the senate were held; the senate house. 2. (Middle Ages)  The court of a sovereign or of a feudal lord; also; his residence or his household. Burrill. 3. (Law)  Any court of justice. 4. The Roman See in its temporal aspects, including all the machinery of administration; -- called also curia Romana.
curial |Of or pertaining to the papal curia; as, the curial etiquette of the Vatican. -- n.  A member of a curia, esp. of that of Rome or the later Italian sovereignties.
curialism |The wiew or doctrins of the ultramontane party in the Latin Church. Gladstone.
curialist |One who belongs to the ultramontane party in the Latin Church. Shipley.
curialistic |1. Pertaining to a court. 2. Relating or belonging to the ultramonate party in the Latin Church.
curiality |The privileges, prerogatives, or retinue of a court. [Obs.] Bacon.
curiet |A cuirass. [Obs.] Spenser.
curing |p. a. & vb. n. of Cure. Curing house, a building in which anything is cured; especially, in the West Indies, a building in which sugar is drained and dried.
curio |Any curiosity or article of virtu. The busy world, which does not hunt poets as collectors hunt for curios. F. Harrison.
curiologic |Pertaining to a rude kind of hieroglyphics, in which a thing is represented by its picture instead of by a symbol.
