animastic |Pertaining to mind or spirit; spiritual.\n\nPsychology. [Obs.]
announce |1. To give public notice, or first notice of; to make known; to publish; to proclaim. Her [Q. Elizabeth's] arrival was announced through the country by a peal of cannon from the ramparts. Gilpin. 2. To pronounce; to declare by judicial sentence. Publish laws, announce Or life or death. Prior. Syn. -- To proclaim; publish; make known; herald; declare; promulgate. -- To Publish, Announce, Proclaim, Promulgate. We publish what we give openly to the world, either by oral communication or by means of the press; as, to publish abroad the faults of our neighbors. We announce what we declare by anticipation, or make known for the first time; as, to announce the speedy publication of a book; to announce the approach or arrival of a distinguished personage. We proclaim anything to which we give the widest publicity; as, to proclaim the news of victory. We promulgate when we proclaim more widely what has before been known by some; as, to promulgate the gospel.
announcement |The act of announcing, or giving notice; that which announces; proclamation; publication.
announcer |One who announces.
annoy |A feeling of discomfort or vexation caused by what one dislikes; also, whatever causes such a feeling; as, to work annoy. Worse than Tantalus' is her annoy. Shak.
annoyance |1. The act of annoying, or the state of being annoyed; molestation; vexation; annoy. A deep clay, giving much annoyance to passengers. Fuller. For the further annoyance and terror of any besieged place, they would throw into it dead bodies. Wilkins. 2. That which annoys. A grain, a dust, a gnat, a wandering hair, Any annoyance in that precious sense. Shak.
annoyer |One who, or that which, annoys.
annoyful |Annoying. [Obs.] Chaucer.
annoying |That annoys; molesting; vexatious. -- An*noy\"ing*ly, adv.
annoyous |Troublesome; annoying. [Obs.] Chaucer.
annual |1. Of or pertaining to a year; returning every year; coming or happening once in the year; yearly. The annual overflowing of the river [Nile]. Ray. 2. Performed or accomplished in a year; reckoned by the year; as, the annual motion of the earth. A thousand pound a year, annual support. Shak. 2. Lasting or continuing only one year or one growing season; requiring to be renewed every year; as, an annual plant; annual tickets. Bacon.\n\n1. A thing happening or returning yearly; esp. a literary work published once a year. 2. Anything, especially a plant, that lasts but one year or season; an annual plant. Oaths . . . in some sense almost annuals; . . . and I myself can remember about forty different sets. Swift. 3. (R. C. Ch.)  A Mass for a deceased person or for some special object, said daily for a year or on the anniversary day.
annualist |One who writes for, or who edits, an annual. [R.]
annually |Yearly; year by year.
annuary |Annual. [Obs.] -- n.  A yearbook.
annueler |A priest employed in saying annuals, or anniversary Masses. [Obs.] Chaucer.
annuent |Nodding; as, annuent muscles (used in nodding).
annuitant |One who receives, or its entitled to receive, an annuity. Lamb.
annuity |A sum of money, payable yearly, to continue for a given number of years, for life, or forever; an annual allowance.
annul |1. To reduce to nothing; to obliterate. Light, the prime work of God, to me's extinct. And all her various objects of delight Annulled. Milton. 2. To make void or of no effect; to nullify; to abolish; to do away with; -- used appropriately of laws, decrees, edicts, decisions of courts, or other established rules, permanent usages, and the like, which are made void by component authority. Do they mean to annul laws of inestimable value to our liberties Burke. Syn. -- To abolish; abrogate; repeal; cancel; reverse; rescind; revoke; nullify; destroy. See Abolish.
annular |1. Pertaining to, or having the form of, a ring; forming a ring; ringed; ring-shaped; as, annular fibers. 2. Banded or marked with circles. Annular eclipse (Astron.), an eclipse of the sun in which the moon at the middle of the eclipse conceals the central part of the sun's disk, leaving a complete ring of light around the border.
annularity |Annular condition or form; as, the annularity of a nebula. J. Rogers.
annularry |In an annular manner.
annulary |Having the form of a ring; annular. Ray.
annulata |A class of articulate animals, nearly equivalent to Annelida, including the marine annelids, earthworms, Gephyrea, Gymnotoma, leeches, etc. See Annelida.
annulate |One of the Annulata.\n\n1. Furnished with, or composed of, rings; ringed; surrounded by rings of color. 2. (Zoöl.)  Of or pertaining to the Annulata.
annulated |1. Furnished with, or composed of, rings; ringed; surrounded by rings of color. 2. (Zoöl.)  Of or pertaining to the Annulata.
annulation |A circular or ringlike formation; a ring or belt. Nicholson.
annulet |1. A little ring. Tennyson. 2. (Arch.)  A small, flat fillet, encircling a column, etc., used by itself, or with other moldings. It is used, several times repeated, under the Doric capital. 3. (Her.)  A little circle borne as a charge. 4. (Zoöl.)  A narrow circle of some distinct color on a surface or round an organ.
annullable |That may be Annulled.
annuller |One who annuls. [R.]
annulment |The act of annulling; abolition; invalidation.
annuloid |Of or pertaining to the Annuloida.
annuloida |A division of the Articulata, including the annelids and allied groups; sometimes made to include also the helminths and echinoderms. [Written also Annuloidea.]
annulosa |A division of the Invertebrata, nearly equivalent to the Articulata. It includes the Arthoropoda and Anarthropoda. By some zoölogists it is applied to the former only.
annulosan |One of the Annulosa.
annulose |1. Furnished with, or composed of, rings or ringlike segments; ringed. 2. (Zoöl.)  Of or pertaining to the Annulosa.
annulus |1. A ring; a ringlike part or space. 2. (Geom.) (a) A space contained between the circumferences of two circles, one within the other. (b) The solid formed by a circle revolving around a line which is the plane of the circle but does not cut it. 3. (Zoöl.)  Ring-shaped structures or markings, found in, or upon, various animals.
annumerate |To add on; to count in. [Obs.] Wollaston.
annumeration |Addition to a former number. [Obs.] Sir T. Browne.
annunciable |That may be announced or declared; declarable. [R.]
annunciate |To announce.\n\nForetold; preannounced. [Obs.] Chaucer.
annunciation |1. The act of announcing; announcement; proclamation; as, the annunciation of peace. 2. (Eccl.) (a) The announcement of the incarnation, made by the angel Gabriel to the Virgin Mary. (b) The festival celebrated (March 25th) by the Church of England, of Rome, etc., in memory of the angel's announcement, on that day; Lady Day.
annunciation lily |The common white lily (Lilium candidum). So called because it is usually introduced by painters in pictures of the Annunciation.
annunciative |Pertaining to annunciation; announcing. [R.] Dr. H. More.
annunciator |1. One who announces. Specifically: An officer in the church of Constantinople, whose business it was to inform the people of the festivals to be celebrated. 2. An indicator (as in a hotel) which designates the room where attendance is wanted.
annunciatory |Pertaining to, or containing, announcement; making known. [R.]
ano |A black bird of tropical America, the West Indies and Florida (Crotophaga ani), allied to the cuckoos, and remarkable for communistic nesting.
anoa |A small wild ox of Celebes (Anoa depressicornis), allied to the buffalo, but having long nearly straight horns.
anode |The positive pole of an electric battery, or more strictly the electrode by which the current enters the electrolyte on its way to the other pole; -- opposed to cathode.
anodon |A genus of fresh-water bivalves, having to teeth at the hinge. [Written also Anodonta.]
anodyne |Serving to assuage pain; soothing. The anodyne draught of oblivion. Burke. Note: \"The word [in a medical sense] in chiefly applied to the different preparations of opium, belladonna, hyoscyamus, and lettuce.\" Am. Cyc.\n\nAny medicine which allays pain, as an opiate or narcotic; anything that soothes disturbed feelings.
anodynous |Anodyne.
anoetic |1. Unthinkable. [Rare] 2.  (Psychol.) Not subject to conscious attention; having an indefinite, relatively passive, conscious being; characteristic of the \"fringe\" or \"margin\" of consciousness. Presentation considered as having an existence relatively independent of thought, may be called sentience, or anoetic consciousness. Thought and sentience are fundamentally distinct mental functions. G. F. Stout.
anoil |The anoint with oil. [Obs.] Holinshed.
anoint |1. To smear or rub over with oil or an unctuous substance; also, to spread over, as oil. And fragrant oils the stiffened limbs anoint. Dryden. He anointed the eyes of the blind man with the clay. John ix. 6. 2. To apply oil to or to pour oil upon, etc., as a sacred rite, especially for consecration. Then shalt thou take the anointing oil, and pour it upon his [Aaron's] head and anoint him. Exod. xxix. 7. Anoint Hazael to be king over Syria. 1 Kings xix. 15. The Lord's Anointed, Christ or the Messiah; also, a Jewish or other king by \"divine right.\" 1 Sam. xxvi. 9.\n\nAnointed. [Obs.] Chaucer.
anointer |One who anoints.
anointment |The act of anointing, or state of being anointed; also, an ointment. Milton.
anolis |A genus of lizards which belong to the family Iguanidæ. They take the place in the New World of the chameleons in the Old, and in America are often called chameleons.
anomal |Anything anomalous. [R.]
anomaliped |Having anomalous feet.\n\nOne of a group of perching birds, having the middle toe more or less united to the outer and inner ones.
anomalipede |Having anomalous feet.
anomalism |An anomaly; a deviation from rule. Hooker.
anomalistic |1. Irregular; departing from common or established rules. 2. (Astron.)  Pertaining to the anomaly, or angular distance of a planet from its perihelion. Anomalistic month. See under Month. -- Anomalistic revolution, the period in which a planet or satellite goes through the complete cycles of its changes of anomaly, or from any point in its elliptic orbit to the same again. -- Anomalistic, or Periodical year. See under Year.
anomalistical |1. Irregular; departing from common or established rules. 2. (Astron.)  Pertaining to the anomaly, or angular distance of a planet from its perihelion. Anomalistic month. See under Month. -- Anomalistic revolution, the period in which a planet or satellite goes through the complete cycles of its changes of anomaly, or from any point in its elliptic orbit to the same again. -- Anomalistic, or Periodical year. See under Year.
anomalistically |With irregularity.
anomaloflorous |Having anomalous flowers.
anomalous |Deviating from a general rule, method, or analogy; abnormal; irregular; as, an anomalous proceeding.
anomalously |In an anomalous manner.
anomalousness |Quality of being anomalous.
anomaly |1. Deviation from the common rule; an irregularity; anything anomalous. We are enabled to unite into a consistent whole the various anomalies and contending principles that are found in the minds and affairs of men. Burke. As Professor Owen has remarked, there is no greater anomaly in nature than a bird that can not fly. Darwin. 2. (Astron.) (a) The angular distance of a planet from its perihelion, as seen from the sun. This is the true anomaly. The eccentric anomaly is a corresponding angle at the center of the elliptic orbit of the planet. The mean anomaly is what the anomaly would be if the planet's angular motion were uniform. (b) The angle measuring apparent irregularities in the motion of a planet. 3. (Nat. Hist.)  Any deviation from the essential characteristics of a specific type.
anomia |A genus of bivalve shells, allied to the oyster, so called from their unequal valves, of which the lower is perforated for attachment.
anomophyllous |Having leaves irregularly placed.
anomoura |A group of decapod Crustacea, of which the hermit crab in an example.
anomura |A group of decapod Crustacea, of which the hermit crab in an example.
anomural |Irregular in the character of the tail or abdomen; as, the anomural crustaceans. [Written also anomoural, anomouran.]
anomuran |Irregular in the character of the tail or abdomen; as, the anomural crustaceans. [Written also anomoural, anomouran.]\n\nOne of the Anomura.
anomy |Disregard or violation of law. [R.] Glanvill.
anon |1. Straightway; at once. [Obs.] The same is he that heareth the word, and anon with joy receiveth it. Matt. xiii. 20. 2. Soon; in a little while. As it shall better appear anon. Stow. 3. At another time; then; again. Sometimes he trots, . . . anon he rears upright. Shak. Anon right, at once; right off. [Obs.] Chaucer. -- Ever and anon, now and then; frequently; often. A pouncet box, which ever and anon He gave his nose. Shak.
anona |A genus of tropical or subtropical plants of the natural order Anonaceæ, including the soursop.
anonaceous |Pertaining to the order of plants including the soursop, custard apple, etc.
anonym |1. One who is anonymous; also sometimes used for \"pseudonym.\" 2. A notion which has no name, or which can not be expressed by a single English word. [R.] J. R. Seeley.
anonymity |The quality or state of being anonymous; anonymousness; also, that which anonymous. [R.] He rigorously insisted upon the rights of anonymity. Carlyle.
anonymous |Nameless; of unknown name; also, of unknown \/or unavowed authorship; as, an anonymous benefactor; an anonymous pamphlet or letter.
anonymously |In an anonymous manner; without a name. Swift.
anonymousness |The state or quality of being anonymous. Coleridge.
anopheles |A genus of mosquitoes which are secondary hosts of the malaria parasites, and whose bite is the usual, if not the only, means of infecting human beings with malaria. Several species are found in the United States. They may be distinguished from the ordinary mosquitoes of the genus Culex by the long slender palpi, nearly equaling the beak in length, while those of the female Culex are very short. They also assume different positions when resting, Culex usually holding the body parallel to the surface on which it rests and keeping the head and beak bent at an angle, while Anopheles holds the body at an angle with the surface and the head and beak in line with it. Unless they become themselves infected by previously biting a subject affected with malaria, the insects cannot transmit the disease.
anophyte |A moss or mosslike plant which cellular stems, having usually an upward growth and distinct leaves.
anopla |One of the two orders of Nemerteans. See Nemertina.
anoplothere |A genus of extinct quadrupeds of the order Ungulata, whose were first found in the gypsum quarries near Paris; characterized by the shortness and feebleness of their canine teeth (whence the name).
anoplotherium |A genus of extinct quadrupeds of the order Ungulata, whose were first found in the gypsum quarries near Paris; characterized by the shortness and feebleness of their canine teeth (whence the name).
anoplura |A group of insects which includes the lice.
anopsia |Want or defect of sight; blindness.
anopsy |Want or defect of sight; blindness.
anorexia |Want of appetite, without a loathing of food. Coxe.
anorexy |Want of appetite, without a loathing of food. Coxe.
anormal |Not according to rule; abnormal. [Obs.]
anorn |To adorn. [Obs.] Bp. Watson.
anorthic |Having unequal oblique axes; as, anorthic crystals.
anorthite |A mineral of the feldspar family, commonly occurring in small glassy crystals, also a constituent of some igneous rocks. It is a lime feldspar. See Feldspar.
anorthoclase |A feldspar closely related to orthoclase, but triclinic. It is chiefly a silicate of sodium, potassium, and aluminium. Sp. gr., 2.57 -- 2.60.
anorthopia |Distorted vision, in which straight lines appear bent.
anorthoscope |An optical toy for producing amusing figures or pictures by means of two revolving disks, on one of which distorted figures are painted.
anorthosite |A granular igneous rock composed almost exclusively of a soda- lime feldspar, usually labradorite.
anosmia |Loss of the sense of smell.
another |1. One more, in addition to a former number; a second or additional one, similar in likeness or in effect. Another yet! -- a seventh! I 'll see no more. Shak. Would serve to scale another Hero's tower. Shak. 2. Not the same; different. He winks, and turns his lips another way. Shak. 3. Any or some; any different person, indefinitely; any one else; some one else. Let another man praise thee, and not thine own mouth. Prov. xxvii. 2. While I am coming, another steppeth down before me. John v. 7. Note: As a pronoun another may have a possessive another's, pl. others, poss. pl. other'. It is much used in opposition to one; as, one went one way, another another. It is also used with one, in a reciprocal sense; as, \"love one another,\" that is, let each love the other or others. \"These two imparadised in one another's arms.\" Milton.
another-gaines |Of another kind. [Obs.] Sir P. Sidney.
another-gates |Of another sort. [Obs.] \"Another-gates adventure.\" Hudibras.
another-guess |Of another sort. [Archaic] It used to go in another-guess manner. Arbuthnot.
anotta |See Annotto.
anoura |See Anura.
anourous |See Anurous.
anoxaemia |An abnormal condition due to deficient aëration of the blood, as in balloon sickness, mountain sickness. -- An`ox*æ\"mic, *e\"mic (#), a.
anoxemia |An abnormal condition due to deficient aëration of the blood, as in balloon sickness, mountain sickness. -- An`ox*æ\"mic, *e\"mic (#), a.
ansa |A name given to either of the projecting ends of Saturn's ring.
ansated |Having a handle. Johnson.
anserated |Having the extremities terminate in the heads of eagles, lions, etc.; as, an anserated cross.
anseres |A Linnæan order of aquatic birds swimming by means of webbed feet, as the duck, or of lobed feet, as the grebe. In this order were included the geese, ducks, auks, divers, gulls, petrels, etc.
anseriformes |A division of birds including the geese, ducks, and closely allied forms.
anserine |1. Pertaining to, or resembling, a goose, or the skin of a goose. 2. (Zoöl.)  Pertaining to the Anseres.
anserous |Resembling a goose; silly; simple. Sydney Smith.
