mercership |The business of a mercer.
mercy |1. Forbearance to inflict harm under circumstances of provocation, when one has the power to inflict it; compassionate treatment of an offender or adversary; clemency. Examples of justice must be made for terror to some; examples of mercy for comfort to others. Bacon. 2. Compassionate treatment of the unfortunate and helpless; sometimes, favor, beneficence. Luke x. 37. 3. Disposition to exercise compassion or favor; pity; compassion; willingness to spare or to help. In whom mercy lacketh and is not founden. Sir T. Elyot. 4. A blessing regarded as a manifestation of compassion or favor. The Father of mercies and the God of all comfort. 2 Cor. i. 3. Mercy seat (Bib.), the golden cover or lid of the Ark of the Covenant. See Ark, 2. -- Sisters of Mercy (R. C. Ch.),a religious order founded in Dublin in the year 1827. Communities of the same name have since been established in various American cities. The duties of those belonging to the order are, to attend lying-in hospitals, to superintend the education of girls, and protect decent women out of employment, to visit prisoners and the sick, and to attend persons condemned to death. -- To be at the mercy of, to be wholly in the power of. Syn. -- See Grace.
merd |Ordure; dung. [Obs.] Burton.
mere |A pool or lake. Drayton. Tennyson.\n\nA boundary. Bacon.\n\nTo divide, limit, or bound. [Obs.] Which meared her rule with Africa. Spenser.\n\nA mare. [Obs.] Chaucer.\n\n1. Unmixed; pure; entire; absolute; unqualified. Then entered they the mere, main sea. Chapman. The sorrows of this world would be mere and unmixed. Jer. Taylor. 2. Only this, and nothing else; such, and no more; simple; bare; as, a mere boy; a mere form. From mere success nothing can be concluded in favor of any nation. Atterbury.
merely |1. Purely; unmixedly; absolutely. Ulysses was to force forth his access, Though merely naked. Chapman. 2. Not otherwise than; simply; barely; only. Prize not your life for other ends Than merely to obige your friends. Swift. Syn. -- Solely; simply; purely; barely; scarcely.
merenchyma |Tissue composed of spheroidal cells.
meresman |An officer who ascertains meres or boundaries. [Eng.]
merestead |The land within the boundaries of a farm; a farmstead or farm. [Archaic.] Longfellow.
merestone |A stone designating a limit or boundary; a landmark. Bacon.
meretricious |1. Of or pertaining to prostitutes; having to do with harlots; lustful; as, meretricious traffic. 2. Resembling the arts of a harlot; alluring by false show; gaudily and deceitfully ornamental; tawdry; as, meretricious dress or ornaments. -- Mer`e*tri\"cious*ly, adv. -- Mer`e*tri\"cious*ness, n.
merganser |Any bird of the genus Merganser, and allied genera. They are allied to the ducks, but have a sharply serrated bill. Note: The red-breasted merganser (Merganser serrator) inhabits both hemispheres. It is called also sawbill, harle, and sheldrake. The American merganser (M. Americanus.) and the hooded merganser (Lophodytes cucullatus) are well-known species. -- White merganser, the smew or white nun.
merge |To cause to be swallowed up; to immerse; to sink; to absorb. To merge all natural ... sentiment in inordinate vanity. Burke. Whig and Tory were merged and swallowed up in the transcendent duties of patriots. De Quincey.\n\nTo be sunk, swallowed up, or lost. Native irresolution had merged in stronger motives. I. Taylor.
merger |1. One who, or that which, merges. 2. (Law)  An absorption of one estate, or one contract, in another, or of a minor offense in a greater.
mericarp |One carpel of an umbelliferous fruit. See Cremocarp.
meride |A permanent colony of cells or plastids which may remain isolated, like Rotifer, or may multiply by gemmation to form higher aggregates, termed zoides. Perrier.
meridian |1. Being at, or pertaining to, midday; belonging to, or passing through, the highest point attained by the sun in his diurnal course. \"Meridian hour.\" Milton. Tables ... to find the altitude meridian. Chaucer. 2. Pertaining to the highest point or culmination; as, meridian splendor.\n\n1. Midday; noon. 2. Hence: The highest point, as of success, prosperity, or the like; culmination. I have touched the highest point of all my greatness, And from that full meridian of my glory I haste now to my setting. Shak. 3. (Astron.)  A great circle of the sphere passing through the poles of the heavens and the zenith of a given place. It is crossed by the sun at midday. 4. (Geog.)  A great circle on the surface of the earth, passing through the poles and any given place; also, the half of such a circle included between the poles. Note: The planes of the geographical and astronomical meridians coincide. Meridians, on a map or globe, are lines drawn at certain intervals due north and south, or in the direction of the poles. Calculated for, or fitted to, or adapted to, the meridian of, suited to the local circumstances, capabilities, or special requirements of. All other knowledge merely serves the concerns of this life, and is fitted to the meridian thereof. Sir M. Hale. -- First meridian, the meridian from which longitudes are reckoned. The meridian of Greenwich is the one commonly employed in calculations of longitude by geographers, and in actual practice, although in various countries other and different meridians, chiefly those which pass through the capitals of the countries, are occasionally used; as, in France, the meridian of Paris; in the United States, the meridian of Washington, etc. -- Guide meridian (Public Land Survey), a line, marked by monuments, running North and South through a section of country between other more carefully established meridians called principal meridians, used for reference in surveying. [U.S.] -- Magnetic meridian, a great circle, passing through the zenith and coinciding in direction with the magnetic needle, or a line on the earth's surface having the same direction. -- Meridian circle (Astron.), an instrument consisting of a telescope attached to a large graduated circle and so mounted that the telescope revolves like the transit instrument in a meridian plane. By it the right ascension and the declination of a star may be measured in a single observation. -- Meridian instrument (Astron.), any astronomical instrument having a telescope that rotates in a meridian plane. -- Meridian of a globe, or Brass meridian, a graduated circular ring of brass, in which the artificial globe is suspended and revolves.
meridional |1. Of or pertaining to the meridian. 2. Having a southern aspect; southern; southerly. Offices that require heat ... should be meridional. Sir H. Wotton. Meridional distance, the distance or departure from the meridian; the easting or westing. -- Meridional parts, parts of the meridian in Mercator's projection, corresponding to each minute of latitude from the equator up to 70 or 80 degrees; tabulated numbers representing these parts used in projecting charts, and in solving cases in Mercator's sailing.
meridionality |1. The state of being in the meridian. 2. Position in the south; aspect toward the south.
meridionally |In the direction of the meridian.
merils |A boy's play, called also fivepenny morris. See Morris.
meringue |A delicate pastry made of powdered sugar and the whites of eggs whipped up, -- with jam or cream added.
merino |1. Of or pertaining to a variety of sheep with very fine wool, originally bred in Spain. 2. Made of the wool of the merino sheep.\n\n1. (Zoöl.)  A breed of sheep originally from Spain, noted for the fineness of its wool. 2. A fine fabric of merino wool.
merismatic |Dividing into cells or segments; characterized by separation into two or more parts or sections by the formation of internal partitions; as, merismatic growth, where one cell divides into many.
meristem |A tissue of growing cells, or cells capable of further division.
merit |1. The quality or state of deserving well or ill; desert. Here may men see how sin hath his merit. Chaucer. Be it known, that we, the greatest, are misthought For things that others do; and when we fall, We answer other's merits in our name. Shak. 2. Esp. in a good sense: The quality or state of deserving well; worth; excellence. Reputation is ... oft got without merit, and lost without deserving. Shak. To him the wit of Greece and Rome was known, And every author's merit, but his own. Pope. 3. Reward deserved; any mark or token of excellence or approbation; as, his teacher gave him ten merits. Those laurel groves, the merits of thy youth. Prior.\n\n1. To earn by service or performance; to have a right to claim as reward; to deserve; sometimes, to deserve in a bad sense; as, to merit punishment. \"This kindness merits thanks.\" Shak. 2. To reward. [R. & Obs.] Chapman.\n\nTo acquire desert; to gain value; to receive benefit; to profit. [Obs.] Beau. & Fl.
meritable |Deserving of reward. [R.]
meritedly |By merit; deservedly.
merithal |Same as Internode.
merithallus |Same as Internode.
meritmonger |One who depends on merit for salvation. [Obs.] Milner.
meritorious |Possessing merit; deserving of reward or honor; worthy of recompense; valuable. And meritorious shall that hand be called, Canonized, and worshiped as a saint. Shak. -- Mer`i*to\"ri*ous*ly, adv. -- Mer`i*to\"ri*ous*ness, n.
meritory |Meritorious. [Obs.]
meritot |A play of children, in swinging on ropes, or the like, till they are dizzy.
merk |An old Scotch silver coin; a mark or marc. [Scot.]\n\nA mark; a sign. [Obs.] Chaucer.
merke |Murky. [Obs.] Piers Plowman.
merkin |Originally, a wig; afterwards, a mop for cleaning cannon.
merl |The European blackbird. See Blackbird. Drayton.
merle |The European blackbird. See Blackbird. Drayton.
merlin |A small European falcon (Falco lithofalco, or F. æsalon).
merling |The European whiting.
merlon |One of the solid parts of a battlemented parapet; a battlement. See Illust. of Battlement.
merluce |The European hake; -- called also herring hake and sea pike.
mermaid |A fabled marine creature, typically represented as having the upper part like that of a woman, and the lower like a fish; a sea nymph, sea woman, or woman fish. Note: Chaucer uses this word as equivalent to the siren of the ancients. Mermaid fish (Zoöl.) the angel fish (Squatina). -- Mermaid's glove (Zoöl.), a British branched sponge somewhat resembling a glove. -- Mermaid's head (Zoöl.), a European spatangoid sea urchin (Echinocardium cordatum) having some resemblance to a skull. -- Mermaid weed (Bot.), an aquatic herb with dentate or pectinate leaves (Proserpinaca palustris and P. pectinacea).
merman |The male corresponding to mermaid; a sea man, or man fish.
mero |Any of several large groupers of warm seas, esp. the guasa (Epinephelus guaza), the red grouper (E. morio), the black grouper (E. nigritas), distinguished as Me\"ro de lo al\"to, and a species called also rock hind, distinguished as Me\"ro ca*brol\"la.
mero cabrolla |Any of several large groupers of warm seas, esp. the guasa (Epinephelus guaza), the red grouper (E. morio), the black grouper (E. nigritas), distinguished as Me\"ro de lo al\"to, and a species called also rock hind, distinguished as Me\"ro ca*brol\"la.
mero de loalto |Any of several large groupers of warm seas, esp. the guasa (Epinephelus guaza), the red grouper (E. morio), the black grouper (E. nigritas), distinguished as Me\"ro de lo al\"to, and a species called also rock hind, distinguished as Me\"ro ca*brol\"la.
meroblast |An ovum, as that of a mammal, only partially composed of germinal matter, that is, consisting of both a germinal portion and an albuminous or nutritive one; -- opposed to holoblast.
meroblastic |Consisting only in part of germinal matter; characterized by partial segmentation only; as, meroblastic ova, in which a portion of the yolk only undergoes fission; meroblastic segmentation; -- opposed to holoblastic.
merocele |Hernia in the thigh; femoral hernia .
meroistic |Applied to the ovaries of insects when they secrete vitelligenous cells, as well as ova.
meropidan |One of a family of birds (Meropidæ), including the bee-eaters.
meropodite |The fourth joint of a typical appendage of Crustacea.
merorganization |Organization in part. [R.]
meros |The plain surface between the channels of a triglyph. [Written also merus.] Weale.\n\nThe proximal segment of the hind limb; the thigh.
merosome |One of the serial segments, or metameres, of which the bodies of vertebrate and articulate animals are composed.
merostomata |A class of Arthropoda, allied to the Crustacea. It includes the trilobites, Eurypteroidea, and Limuloidea. All are extinct except the horseshoe crabs of the last group. See Limulus.
merou |See Jack, 8 (c).
merovingian |Of or pertaining to the first Frankish dynasty in Gaul or France. -- n.  One of the kings of this dynasty.
merozoite |A form of spore, usually elongate or falciform, and somewhat amoboid, produced by segmentation of the schizonts of certain Sporozoa, as the malaria parasite.
merrily |In a merry manner; with mirth; with gayety and laughter; jovially. See Mirth, and Merry. Merrily sing, and sport, and play. Granville.
merrimake |See Merrymake, n.\n\nSee Merrymake, v. Gay.
merriment |Gayety, with laughter; mirth; frolic. \"Follies and light merriment.\" Spenser. Methought it was the sound Of riot and ill-managed merriment. Milton.
merriness |The quality or state of being merry; merriment; mirth; gayety, with laughter.
merry |1. Laughingly gay; overflowing with good humor and good spirits; jovial; inclined to laughter or play ; sportive. They drank, and were merry with him. Gen. xliii. 34. I am never merry when I hear sweet music. Shak. 2. Cheerful; joyous; not sad; happy. Is any merry Jas. v. 13. 3. Causing laughter, mirth, gladness, or delight; as, merry jest. \"Merry wind and weather.\" Spenser. Merry dancers. See under Dancer. -- Merry men, followers; retainers. [Obs.] His merie men commanded he To make him bothe game and glee. Chaucer. -- To make merry, to be jovial; to indulge in hilarity; to feast with mirth. Judg. ix. 27. Syn. -- Cheerful; blithe; lively; sprightly; vivacious; gleeful; joyous; mirthful; jocund; sportive; hilarious.\n\nA kind of wild red cherry.
merry-andrew |One whose business is to make sport for others; a buffoon; a zany; especially, one who attends a mountebank or quack doctor. Note: This term is said to have originated from one Andrew Borde, an English physician of the 16th century, who gained patients by facetious speeches to the multitude.
merry-go-round |Any revolving contrivance for affording amusement; esp., a ring of flying hobbyhorses.
merrymake |Mirth; frolic; a meeting for mirth; a festival. [Written also merrimake.]\n\nTo make merry; to be jolly; to feast. [Written also merrimake.]
merrymaker |One who makes merriment or indulges in conviviality; a jovial comrade.
merrymaking |Making or producing mirth; convivial; jolly.\n\nThe act of making merry; conviviality; merriment; jollity. Wordsworth.
merrymeeting |A meeting for mirth.
merrythought |The forked bone of a fowl's breast; -- called also wishbone. See Furculum. Note: It is a sportive custom for two persons to break this bone by pulling the ends apart to see who will get the longer piece, the securing of which is regarded as a lucky omen, signifying that the person holding it will obtain the gratification of some secret wish.
mersion |Immersion [R.] Barrow.
merulidan |A bird of the Thrush family.
merus |See Meros.
mervaille |Marvel. [Obs.] Chaucer.
mes- |See Meso-.\n\nA combining form denoting in the middle, intermediate; specif. (Chem.), denoting a type of hydrocarbons which are regarded as methenyl derivatives. Also used adjectively.
mesa |A high tableland; a plateau on a hill. [Southwestern U.S.] Bartlett.
mesaconate |A salt of mesaconic acid.
mesaconic |Pertaining to, or designating, one of several isomeric acids obtained from citric acid.
mesad |Same as Mesiad.
mesal |Same as Mesial.
mesalliance |A marriage with a person of inferior social position; a misalliance.
mesally |Same as Mesially.
mesameboid |One of a class of independent, isolated cells found in the mesoderm, while the germ layers are undergoing differentiation.
mesamoeboid |One of a class of independent, isolated cells found in the mesoderm, while the germ layers are undergoing differentiation.
mesaraic |Mesenteric.
mesaticephalic |Having the ratio of the length to the breadth of the cranium a medium one; neither brachycephalic nor dolichocephalic.
mesaticephalous |Mesaticephalic.
mescal |A distilled liquor prepared in Mexico from a species of agave. See Agave.
mesdames |pl. of Madame and Madam.
meseems |It seems to me. [Poetic]
mesel |A leper. [Obs.]
meselry |Leprosy. [Obs.] Chaucer.
mesembryanthemum |A genus of herbaceous or suffruticose plants, chiefly natives of South Africa. The leaves are opposite, thick, and f
mesencephalic |Of or pertaining to the mesencephalon or midbrain.
mesencephalon |The middle segment of the brain; the midbrain. Sometimes abbreviated to mesen. See Brain.
mesenchyma |The part of the mesoblast which gives rise to the connective tissues and blood.
mesenteric |Pertaining to a mesentery; mesaraic.
mesenteron |All that part of the alimentary canal which is developed from the primitive enteron and is lined with hypoblast. It is distinguished from the stomod, a part at the anterior end of the canal, including the cavity of the mouth, and the proctod, a part at the posterior end, which are formed by invagination and are lined with epiblast.
mesentery |1. (Anat.)  The membranes, or one of the membranes (consisting of a fold of the peritoneum and inclosed tissues), which connect the intestines and their appendages with the dorsal wall of the abdominal cavity. The mesentery proper is connected with the jejunum and ilium, the other mesenteries being called mesoc, mesocolon, mesorectum, etc. 2. (Zoöl.)  One of the vertical muscular radiating partitions which divide the body cavity of Anthozoa into chambers.
meseraic |Mesaraic.
mesethmoid |Of or pertaining to the middle of the ethmoid region or ethmoid bone. -- n. (Anat.)  The median vertical plate, or median element, of the ethmoid bone.
mesh |1. The opening or space inclosed by the threads of a net between knot and knot, or the threads inclosing such a space; network; a net. A golden mesh to entrap the hearts of men. Shak. 2. (Gearing)  The engagement of the teeth of wheels, or of a wheel and rack. Mesh stick, a stick on which the mesh is formed in netting.\n\nTo catch in a mesh. Surrey.\n\nTo engage with each other, as the teeth of wheels.
meshed |Mashed; brewed. [Obs.] Shak.
meshy |Formed with meshes; netted.
mesiad |Toward, or on the side toward, the mesial plane; mesially; -- opposed to laterad.
mesial |Middle; median; in, or in the region of, the mesial plane; internal; -- opposed to lateral. Mesial plane. (Anat.) See Meson.
mesially |In, near, or toward, the mesial plane; mesiad.
mesityl |A hypothetical radical formerly supposed to exist in mesityl oxide. Mesityl oxide (Chem.), a volatile liquid having the odor of peppermint, obtained by certain dehydrating agents from acetone; -- formerly called also dumasin.
mesitylenate |A salt of mesitylenic acid.
mesitylene |A colorless, fragrant liquid, C6H3(CH3)3, of the benzene series of hydrocarbons, obtained by distilling acetone with sulphuric acid. -- Me*sit`y*len\"ic, a.
mesitylol |A crystalline substance obtained from mesitylene.
meslin |See Maslin.
mesmeree |A person subjected to mesmeric influence; one who is mesmerized. [R.]
mesmeric |Of, pertaining to, or induced by, mesmerism; as, mesmeric sleep.
mesmerical |Of, pertaining to, or induced by, mesmerism; as, mesmeric sleep.
mesmerism |The art of inducing an extraordinary or abnormal state of the nervous system, in which the actor claims to control the actions, and communicate directly with the mind, of the recipient. See Animal magnetism, under Magnetism.
mesmerist |One who practices, or believes in, mesmerism.
mesmerization |The act of mesmerizing; the state of being mesmerized.
mesmerize |To bring into a state of mesmeric sleep.
mesmerizer |One who mesmerizes.
mesne |Middle; intervening; as, a mesne lord, that is, a lord who holds land of a superior, but grants a part of it to another person, in which case he is a tenant to the superior, but lord or superior to the second grantee, and hence is called the mesne lord. Mesne process, intermediate process; process intervening between the beginning and end of a suit, sometimes understood to be the whole process preceding the execution. Blackstone. Burrill. -- Mesne profits, profits of premises during the time the owner has been wrongfully kept out of the possession of his estate. Burrill.
meso- |A combining form denoting in the middle, intermediate; specif. (Chem.), denoting a type of hydrocarbons which are regarded as methenyl derivatives. Also used adjectively.
mesoarium |The fold of peritoneum which suspends the ovary from the dorsal wall of the body cavity.
mesoblast |(a) The mesoderm. (b) The cell nucleus; mesoplast.
mesoblastic |Relating to the mesoblast; as, the mesoblastic layer.
mesobranchial |Of or pertaining to a region of the carapace of a crab covering the middle branchial region.
mesobronchium |The main bronchus of each lung.
mesocaecum |The fold of peritoneum attached to the cæcum. -- Mes`o*cæ\"cal, a.
mesocarp |The middle layer of a pericarp which consists of three distinct or dissimilar layers. Gray.
mesocephalic |(a) Of or pertaining to, or in the region of, the middle of the head; as, the mesocephalic flexure. (b) Having the cranial cavity of medium capacity; neither megacephalic nor microcephalic. (c) Having the ratio of the length to the breadth of the cranium a medium one; mesaticephalic.
mesocephalon |The pons Varolii.
mesocephalous |Mesocephalic.
mesocoele |The cavity of the mesencephalon; the iter.
mesocoelia |The cavity of the mesencephalon; the iter.
mesocolon |The fold of peritoneum, or mesentery, attached to the colon. -- Mes`o*col\"ic, a.
mesocoracoid |A process from the middle of the coracoid in some animals.
mesocuneiform |One of the bones of the tarsus. See 2d Cuneiform.
mesocuniform |One of the bones of the tarsus. See 2d Cuneiform.
mesoderm |(a) The layer of the blastoderm, between the ectoderm and endoderm; mesoblast. See Illust. of Blastoderm and Ectoderm. (b) The middle body layer in some invertebrates. (c) The middle layer of tissue in some vegetable structures.
mesodermal |Pertaining to, or derived from, the mesoderm; as, mesodermal tissues.
mesodermic |Same as Mesodermal.
mesodont |Having teeth of moderate size.
mesogaster |The fold of peritoneum connecting the stomach with the dorsal wall of the abdominal cavity; the mesogastrium.
mesogastric |1. (Anat.) (a) Of or pertaining to the middle region of the abdomen, or of the stomach. (b) Of or pertaining to the mesogaster. 2. (Zoöl.)  Of or pertaining to the middle gastric lobe of the carapace of a crab.
mesogastrium |(a) The umbilical region. (b) The mesogaster.
mesoglea |A thin gelatinous tissue separating the ectoderm and endoderm in certain coelenterates. -- Mes`o*gloeal, a.
mesogloea |A thin gelatinous tissue separating the ectoderm and endoderm in certain coelenterates. -- Mes`o*gloeal, a.
mesognathous |Having the jaws slightly projecting; between prognathous and orthognathous. See Gnathic index, under Gnathic.
mesohepar |A fold of the peritoneum connecting the liver with the dorsal wall of the abdominal cavity.
mesohippus |An extinct mammal of the Horse family, but not larger than a sheep, and having three toes on each foot.
mesolabe |An instrument of the ancients for finding two mean proportionals between two given lines, required in solving the problem of the duplication of the cube. Brande & C.
mesole |Same as Thomsonite.
mesolite |A zeolitic mineral, grayish white or yellowish, occuring in delicate groups of crystals, also fibrous massive. It is a hydrous silicate of alumina, lime, and soda.
mesologarithm |A logarithm of the cosine or cotangent. [Obs.] Kepler. Hutton.
mesometrium |The fold of the peritoneum supporting the oviduct.
mesomycetes |One of the three classes into which the fungi are divided in Brefeld's classification. -- Mes`o*my*ce\"tous (#), a.
mesomyodian |A bird having a mesomyodous larynx.
mesomyodous |Having the intrinsic muscles of the larynx attached to the middle of the semirings.
meson |The mesial plane dividing the body of an animal into similar right and left halves. The line in which it meets the dorsal surface has been called the dorsimeson, and the corresponding ventral edge the ventrimeson. B. G. Wilder.
mesonasal |Of or pertaining to the middle portion of the nasal region.
mesonephric |Of or pertaining to the mesonephros; as, the mesonephric, or Wolffian, duct.
mesonephros |The middle one of the three pairs of embryonic renal organs developed in most vertebrates; the Wolffian body.
mesonotum |The dorsal portion of the mesothorax of insects.
mesophloeum |The middle bark of a tree; the green layer of bark, usually soon covered by the outer or corky layer, and obliterated.
mesophryon |See Glabella.
mesophyllum |The parenchyma of a leaf between the skin of the two surfaces. Gray.
mesoplast |The nucleus of a cell; mesoblast. Agassix.
mesopodial |Of or pertaining to the mesopodialia or to the parts of the limbs to which they belong.
mesopodiale |One of the bones of either the carpus or tarsus.
mesopodium |The middle portion of the foot in the Gastropoda and Pteropoda.
mesopterygium |The middle one of the three principal basal cartilages in the fins of fishes. -- Me*sop`ter*yg\"i*al, a.
mesorchium |The fold of peritoneum which attaches the testis to the dorsal wall of the body cavity or scrotal sac.
mesorectum |The fold of peritoneum, or mesentery, attached to the rectum. -- Mes`o*rec\"tal, a.
mesorhine |Having the nose of medium width; between leptorhine and platyrhine.
mesosauria |Same as Mosasauria.
mesoscapula |A process from the middle of the scapula in some animals; the spine of the scapula.
mesoscapular |Of or pertaining to the mesoscapula.
mesoscutum |The scutum or dorsal plate of the middle thoracic segment of an insect. See Illust. of Butterfly.
mesoseme |Having a medium orbital index; having orbits neither broad nor narrow; between megaseme and microseme.
mesosiderite |See the Note under Meteorite.
mesosperm |A membrane of a seed. See Secundine.
mesostate |A product of metabolic action. Note: Every mesostate is either an anastate or katastate, according as it is formed by an anabolic or katabolic process. See Metabolism.
mesosternal |Of or pertaining to the mesosternum.
mesosternum |1. (Anat.)  The middle portion, or body, of the sternum. 2. (Zoöl.)  The ventral piece of the middle segment of the thorax in insects.
mesotartaric |Pertaining to, or designating, an acid called also inactive tartaric acid.
mesotheca |The middle layer of the gonophore in the Hydrozoa.
mesothelium |Epithelial mesoderm; a layer of cuboidal epithelium cells, formed from a portion of the mesoderm during the differetiation of the germ layers. It constitutes the boundary of the coelum.
mesothoracic |Of or pertaining to the mesothorax.
mesothorax |The middle segment of the thorax in insects. See Illust. of Coleoptera.
mesothorium |A radioactive product intermediate between thorium and radiothorium, with a period of 5.5 years.
mesotrochal |Having the middle of the body surrounded by bands of cilia; -- said of the larvæ of certain marine annelids.
mesotype |An old term covering natrolite or soda mesolite, scolecite or lime mesotype, and mesolite or lime-soda mesotype.
mesovarium |The fold of peritoneum connecting the ovary with the wall of the abdominal cavity.
