trimester |A term or period of three months.
trinitarian |Of or pertaining to the Trinity, the doctrine of the Trinity, or believers in that doctrine.\n\n1. One who believes in the doctrine of the Trinity. 2. (Eccl. Hist.)  One of a monastic order founded in Rome in 1198 by St. John of Matha, and an old French hermit, Felix of Valois, for the purpose of redeeming Christian captives from the Mohammedans.
trinitarianism |The doctrine of the Trinity; the doctrine that there are three distinct persons in the Godhead.
trinitrocellulose |Gun cotton; -- so called because regarded as containing three nitro groups.
trinitrophenol |Picric acid.
trinity |1. (Christian Theol.)  The union of three persons (the Father, the Son, and the Holy Ghost) in one Godhead, so that all the three are one God as to substance, but three persons as to individuality. 2. Any union of three in one; three units treated as one; a triad, as the Hindoo trinity, or Trimurti. 3. Any symbol of the Trinity employed in Christian art, especially the triangle. Trinity House, an institution in London for promoting commerce and navigation, by licensing pilots, ordering and erecting beacons, and the like. -- Trinity Sunday, the Sunday next after Whitsunday; -- so called from the feast held on that day in honor of the Holy Trinity. -- Trinity term. (Law) See the Note under Term, n., 5.
triniunity |Triunity; trinity. [Obs.] As for terms of trinity, triniunity, . . . and the like, they reject them as scholastic notions. Milton.
trink |A kind of fishing net. [Obs.] Crabb.
trinket |A three-cornered sail formerly carried on a ship's foremast, probably on a lateen yard. Sailing always with the sheets of mainsail and trinket warily in our hands. Hakluyt.\n\n1. A knife; a cutting tool. Tusser. 2. A small ornament, as a jewel, ring, or the like. 3. A thing of little value; a trifle; a toy.\n\nTo give trinkets; hence, to court favor; to intrigue. [Obs.] South.
trinketer |One who trinkets. [Obs.]
trinketry |Ornaments of dress; trinkets, collectively. No trinketry on front, or neck, or breast. Southey.
trinkle |To act secretly, or in an underhand way; to tamper. [Obs.] Wright.
trinoctial |Lasting during three nights; comprising three nights.
trinodal |1. (Bot.)  Having three knots or nodes; having three points from which a leaf may shoot; as, a trinodal stem. 2. (Geom.)  Having three nodal points.
trinomial |A quantity consisting of three terms, connected by the sign + or -; as, x + y + z, or ax + 2b - c2.\n\nConsisting of three terms; of or pertaining to trinomials; as, a trinomial root.
trinominal |Trinomial.
trinucleus |A genus of Lower Silurian trilobites in which the glabella and cheeks form three rounded elevations on the head.
trio |1. Three, considered collectively; three in company or acting together; a set of three; three united. The trio were well accustomed to act together, and were linked to each other by ties of mutual interest. Dickens. 2. (Mus.) (a) A composition for three parts or three instruments. (b) The secondary, or episodical, movement of a minuet or scherzo, as in a sonata or symphony, or of a march, or of various dance forms; -- not limited to three parts or instruments.
triobolar |Of the value of three oboli; hence, mean; worthless. [Obs.] It may pass current . . . for a triobolar ballad. Cheyne.
triobolary |Of the value of three oboli; hence, mean; worthless. [Obs.] It may pass current . . . for a triobolar ballad. Cheyne.
trioctile |An aspect of two planets with regard to the earth when they are three octants, or three eighths of a circle, that is, 135 degrees, distant from each other. Hutton.
trioecia |The third order of the Linnæan class Polygamia.
trioecious |Having three sorts of flowers on the same or on different plants, some of the flowers being staminate, others pistillate, and others both staminate and pistillate; belonging to the order Trioecia.
triole |Same as Triplet.
triolein |See Olein.
triolet |A short poem or stanza of eight lines, in which the first line is repeated as the fourth and again as the seventh line, the second being, repeated as the eighth. Brande & C.
trional |A compound similar to sulphonal, used as a hypnotic in medicine.
trionychoidea |A division of chelonians which comprises Trionyx and allied genera; -- called also Trionychoides, and Trionychina.
trionyx |A genus of fresh-water or river turtles which have the shell imperfectly developed and covered with a soft leathery skin. They are noted for their agility and rapacity. Called also soft tortoise, soft-shell tortoise, and mud turtle. Note: The common American species (Trionyx, or Aspidonectus, ferox) becomes over a foot in length and is very voracious. Similar species are found in Asia and Africa.
trior |Same as Trier, 2 and 3.
triose |(a) A sugar derived from a trihydric alcohol. (b) A trisaccharide.
trioxide |An oxide containing three atoms of oxygen; as, sulphur trioxide, SO3; -- formerly called tritoxide.
trip |1. To move with light, quick steps; to walk or move lightly; to skip; to move the feet nimbly; -- sometimes followed by it. See It, 5. This horse anon began to trip and dance. Chaucer. Come, and trip it, as you go, On the light fantastic toe. Milton. She bounded by, and tripped so light They had not time to take a steady sight. Dryden. 2. To make a brief journey or pleasure excursion; as, to trip to Europe. 3. To take a quick step, as when in danger of losing one's balance; hence, to make a false; to catch the foot; to lose footing; to stumble. 4. Fig.: To be guilty of a misstep; to commit an offense against morality, propriety, or rule; to err; to mistake; to fail. \"Till his tongue trip.\" Locke. A blind will thereupon comes to be led by a blind understanding; there is no remedy, but it must trip and stumble. South. Virgil is so exact in every word that none can be changed but for a worse; he pretends sometimes to trip, but it is to make you think him in danger when most secure. Dryden. What dost thou verily trip upon a word R. Browning.\n\n1. To cause to stumble, or take a false step; to cause to lose the footing, by striking the feet from under; to cause to fall; to throw off the balance; to supplant; -- often followed by up; as, to trip up a man in wrestling. The words of Hobbes's defense trip up the heels of his cause. Abp. Bramhall. 2. Fig.: To overthrow by depriving of support; to put an obstacle in the way of; to obstruct; to cause to fail. To trip the course of law, and blunt the sword. Shak. 3. To detect in a misstep; to catch; to convict. [R.] These her women can trip me if I err. Shak. 4. (Naut.) (a) To raise (an anchor) from the bottom, by its cable or buoy rope, so that it hangs free. (b) To pull (a yard) into a perpendicular position for lowering it. 5. (Mach.)  To release, let fall, or see free, as a weight or compressed spring, as by removing a latch or detent.\n\n1. A quick, light step; a lively movement of the feet; a skip. His heart bounded as he sometimes could hear the trip of a light female step glide to or from the door. Sir W. Scott. 2. A brief or rapid journey; an excursion or jaunt. I took a trip to London on the death of the queen. Pope. 3. A false step; a stumble; a misstep; a loss of footing or balance. Fig.: An error; a failure; a mistake. Imperfect words, with childish trips. Milton. Each seeming trip, and each digressive start. Harte. 4. A small piece; a morsel; a bit. [Obs.] \"A trip of cheese.\" Chaucer. 5. A stroke, or catch, by which a wrestler causes his antagonist to lose footing. And watches with a trip his foe to foil. Dryden. It is the sudden trip in wrestling that fetches a man to the ground. South. 6. (Naut.)  A single board, or tack, in plying, or beating, to windward. 7. A herd or flock, as of sheep, goats, etc. [Prov. Eng. & Scott.] 8. A troop of men; a host. [Obs.] Robert of Brunne. 9. (Zoöl.)  A flock of widgeons.
trip hammer |A tilt hammer.
tripalmitate |A palmitate derived from three molecules of palmitic acid.
tripalmitin |See Palmitin.
tripang |See Trepang.
triparted |1. (Her.)  Parted into three piece; having three parts or pieces; -- said of the field or of a bearing; as, a cross triparted. 2. (Bot.)  Divided nearly to the base into three segments or lobes.
tripartible |Divisible into three parts.
tripartient |Dividing into three parts; -- said of a number which exactly divides another into three parts.
tripartite |1. Divided into three parts; triparted; as, a tripartite leaf. 2. Having three corresponding parts or copies; as, to make indentures tripartite. A. Smith. 3. Made between three parties; as, a tripartite treaty.
tripartitely |In a tripartite manner.
tripartition |A division by threes, or into three parts; the taking of a third part of any number or quantity.
tripaschal |Including three passovers.
tripe |1. The large stomach of ruminating animals, when prepared for food. How say you to a fat tripe finely broiled Shak. 2. The entrails; hence, humorously or in contempt, the belly; -- generally used in the plural. Howell.
tripe-de-roche |Same as Rock tripe, under Rock.
tripedal |Having three feet.
tripel |Same as Tripoli.
tripeman |A man who prepares or sells tripe.
tripennate |Same as Tripinnate.
tripersonal |Consisting of three persons. Milton.
tripersonalist |A Trinitarian.
tripersonality |The state of existing as three persons in one Godhead; trinity.
tripery |A place where tripe is prepared or sold. London Quart. Rev.
tripestone |A variety of anhydrite composed of contorted plates fancied to resemble pieces of tripe.
tripetaloid |Having the form or appearance of three petals; appearing as if furnished with three petals.
tripetalous |Having three petals, or flower leaves; three-petaled.
triphane |Spodumene.
triphthong |A combination of three vowel sounds in a single syllable, forming a simple or compound sound; also, a union of three vowel characters, representing together a single sound; a trigraph; as, eye, -ieu in adieu, -eau in beau, are examples of triphthongs.
triphthongal |Of or pertaining to a triphthong; consisting of three vowel sounds pronounced together in a single syllable.
triphyline |Triphylite.
triphylite |A mineral of a grayish-green or bluish color, consisting of the phosphates of iron, manganese, and lithia. Note: A salmon-colored or clove-brown variety containing but little iron is known as lithiophilite.
triphyllous |Having three leaves; three-leaved.
tripinnate |Having bipinnate leaflets arranged on each side of a rhachis.
tripinnatifid |Thrice pinnately cleft; -- said of a pinnatifid leaf when its segments are pinnatifid, and the subdivisions of these also are pinnatifid.
tripitaka |The three divisions, or \"baskets\" (pitakas), of buddhist scriptures, -- the Vinayapitaka [Skr. Vinayapitsaka] , or Basket of Discipline; Suttapitaka [Pali] , or Basket of Discourses; and Abhidhammapitaka [Pali] , or Basket of Metaphysics.
triplasian |Three-fold; triple; treble. [Obs.] Cudworth.
triple |1. Consisting of three united; multiplied by three; threefold; as, a triple knot; a triple tie. By thy triple shape as thou art seen. Dryden. 2. Three times repeated; treble. See Treble. 3. One of three; third. [Obs.] Shak. Triple crown, the crown, or tiara, of the pope. See Tiara, 2. -- Triple-expansion steam engine, a compound steam engine in which the same steam performs work in three cylinders successively. -- Triple measure (Mus.), a measure of tree beats of which first only is accented. -- Triple ratio (Math.), a ratio which is equal to 3. -- Triple salt (Chem.), a salt containing three distinct basic atoms as radicals; thus, microcosmic salt is a triple salt. -- Triple star (Astron.), a system of three stars in close proximity. -- Triple time (Mus.), that time in which each measure is divided into three equal parts. -- Triple valve, in an automatic air brake for railroad cars, the valve under each car, by means of which the brake is controlled by a change of pressure in the air pipe leading from the locomotive.\n\nTo make threefold, or thrice as much or as many; to treble; as, to triple the tax on coffee.
triple-crowned |Having three crowns; wearing the triple crown, as the pope.
triple-headed |Having three heads; three-headed; as, the triple-headed dog Cerberus.
triple-tail |An edible fish (Lobotes Surinamensis) found in the warmer parts of all the oceans, and common on the southern and middle coasts of the United States. When living it is silvery gray, and becomes brown or blackish when dead. Its dorsal and anal fins are long, and extend back on each side of the tail. It has large silvery scales which are used in the manufacture of fancy work. Called also, locally, black perch, grouper, and flasher.
triplet |1. A collection or combination of three of a kind; three united. 2. (Poetry)  Three verses rhyming together. 3. (Mus.)  A group of three notes sung or played in the tree of two. 4. pl.  Three children or offspring born at one birth.
triplex |Havingthree principal operative parts or motions, so as to produce a three-fold effect.
triplicate |Made thrice as much; threefold; tripled. Triplicate ratio (Math.), the ratio of the cubes of two quantities; thus, the triplicate ratio of a to b is a3: b3.\n\nA third thing corresponding to two others of the same kind.
triplicate-ternate |Triternate.
triplication |1. The act of tripling, or making threefold, or adding three together. Glanvill. 2. (Civil Law)  Same as Surrejoinder.
triplicity |The quality or state of being triple, or threefold; trebleness. In their trinal triplicities on high. Spenser.
triplicostate |Three-ribbed.
triplite |A mineral of a dark brown color, generally with a fibrous, massive structure. It is a fluophosphate of iron and manganese.
triploblastic |Of, pertaining to, or designating, that condition of the ovum in which there are three primary germinal layers, or in which the blastoderm splits into three layers.
triploidite |A manganese phosphate near triplite, but containing hydroxyl instead of fluorine.
triply |In a triple manner.
tripmadam |Same as Prickmadam.
tripod |1. Any utensil or vessel, as a stool, table, altar, caldron, etc., supported on three feet. Note: On such, a stool, in the temple of Apollo at Delphi, the Pythian priestess sat while giving responses to those consulting the Delphic oracle. 2. A three-legged frame or stand, usually jointed at top, for supporting a theodolite, compass, telescope, camera, or other instrument. Tripod of life, or Vital tripod (Physiol.), the three organs, the heart, lungs, and brain; -- so called because their united action is necessary to the maintenance of life.
tripodian |An ancient stringed instrument; -- so called because, in form, it resembled the Delphic tripod.
tripody |Three metrical feet taken together, or included in one measure.
tripoli |An earthy substance originally brought from Tripoli, used in polishing stones and metals. It consists almost wholly of the siliceous shells of diatoms.
tripoline |1. Of or pertaining to Tripoli or its inhabitants; Tripolitan. 2. Of or pertaining to tripoli, the mineral.
tripolitan |Of or pertaining to Tripoli or its inhabitants; Tripoline. -- n.  A native or inhabitant of Tripoli.
tripos |1. A tripod. [Obs.] Dryden. 2. A university examination of questionists, for honors; also, a tripos paper; one who prepares a tripos paper. [Cambridge University, Eng.] Classical tripos examination, the final university examination for classical honors, optional to all who have taken the mathematical honors. C. A. Bristed. -- Tripos paper, a printed list of the successful candidates for mathematical honors, accompanied by a piece in Latin verse. There are two of these, designed to commemorate the two tripos days. The first contains the names of the wranglers and senior optimes, and the second the names of the junior optimes. The word tripos is supposed to refer to the three-legged stool formerly used at the examinations for these honors, though some derive it from the three brackets formerly printed on the back of the paper. C. A. Bristed.
trippant |See Tripping, a., 2.
tripper |1. One who trips or supplants; also, one who walks or trips nimbly; a dancer. 2. An excursionist.
trippet |A cam, wiper, or projecting piece which strikes another piece repeatedly.
tripping |1. Quick; nimble; stepping lightly and quickly. 2. (Her.)  Having the right forefoot lifted, the others remaining on the ground, as if he were trotting; trippant; -- said of an animal, as a hart, buck, and the like, used as a bearing.\n\n1. Act of one who, or that which, trips. 2. A light dance. Other trippings to be trod of lighter toes. Milton. 3. (Naut.)  The loosing of an anchor from the ground by means of its cable or buoy rope. Tripping line (Naut.), a small rope attached to the topgallant or royal yard, used to trip the yard, and in lowering it to the deck; also, a line used in letting go the anchor. Luce.
trippingly |In a tripping manner; with a light, nimble, quick step; with agility; nimbly. Sing, and dance it trippingly. Shak. Speak the speech . . . trippingly on the tongue. Shak.
tripsis |(a) Trituration. [R.] (b) Shampoo. [R.]
triptote |A noun having three cases only.
triptych |Anything in three parts or leaves. Specifically: -- (a) A writing tablet in three parts, two of which fold over on the middle part. (b) A picture or altarpiece in three compartments.
tripudiary |Of or pertaining to dancing; performed by dancing. [R.] \" Tripudiary augurations.\" Sir T. Browne.
tripudiate |To dance. [R.] Cockeram.
tripudiation |The act of dancing. [R.] Bacon. Carlyle.
triquadrantal |Having three quadrants; thus, a triquadrantal triangle is one whose three sides are quadrants, and whose three angles are consequently right angles.
triquetral |Triquetrous.
triquetrous |Three sided, the sides being plane or concave; having three salient angles or edges; trigonal.
triquetrum |One of the bones of the carpus; the cuneiform. See Cuneiform (b).
triradiate |Having three rays.
triradiated |Having three rays.
trirectangular |Having three right angles. See Triquadrantal.
trireme |An ancient galley or vessel with tree banks, or tiers, of oars.
trirhomboidal |Having three rhombic faces or sides.
trisaccharid |A complex sugar, as raffinose, yielding by hydrolysis three simple sugar molecules.
trisaccharide |A complex sugar, as raffinose, yielding by hydrolysis three simple sugar molecules.
trisacramentarian |One who recognizes three sacraments, and no more; -- namely, baptism, the Lord's Supper, and penance. See Sacrament.
trisagion |An ancient anthem, -- usually known by its Latin name tersanctus.See Tersanctus.
trisect |1. To cut or divide into three parts. 2. (Geom.)  To cut or divide into three equal parts.
trisected |Divided into three parts or segments by incisions extending to the midrib or to the base; -- said of leaves.
trisection |The division of a thing into three parts, Specifically: (Geom.) the division of an angle into three equal parts.
triseralous |Having three sepals, or calyx leaves.
triserial |Arranged in three vertical or spiral rows.
triseriate |Arranged in three vertical or spiral rows.
triskele |A figure composed of three branches, usually curved, radiating from a center, as the figure composed of three human legs, with bent knees, which has long been used as a badge or symbol of Sicily and of the Isle of Man.
triskelion |A figure composed of three branches, usually curved, radiating from a center, as the figure composed of three human legs, with bent knees, which has long been used as a badge or symbol of Sicily and of the Isle of Man.
trismus |The lockjaw.
trisnitrate |A nitrate formed from three molecules of nitric acid; also, less properly, applied to certain basic nitrates; as, trisnitrate of bismuth.
trisoctahedron |A solid of the isometric system bounded by twenty-four equal faces, three corresponding to each face of an octahedron. Tetragonal trisoctahedron, a trisoctahedron each face of which is a quadrilateral; called also trapezohedron and icositetrahedron. -- Trigonal trisoctahedron, a trisoctahedron each face of which is an isosceles triangle.
trispast |A machine with three pulleys which act together for raising great weights. Brande & C.
trispaston |A machine with three pulleys which act together for raising great weights. Brande & C.
trispermous |Containing three seeds; three-seeded; as, a trispermous capsule.
trisplanchnic |Of or pertaining to the three great splanchnic cavities, namely, that of the head, the chest, and the abdomen; -- applied to the sympathetic nervous system.
trist |To trust. [Obs.] Chaucer.\n\n1. Trust. [Obs.] 2. A post, or station, in hunting. [Obs.] Chaucer. 3. A secret meeting, or the place of such meeting; a tryst. See Tryst. [Obs.] George Douglas caused a trist to be set between him and the cardinal and four lords; at the which trist he and the cardinal agreed finally. Letter dated Sept., 1543.\n\nSad; sorrowful; gloomy. [Obs.] Fairfax.
triste |A cattle fair. [Prov. Eng.]
tristearate |Tristearin.
tristearin |See Stearin.
tristful |Sad; sorrowful; gloomy. Shak. Eyes so tristful, eyes so tristful, Heart so full of care and cumber. Longfellow.
tristfully |In a tristful manner; sadly.
tristichous |Arranged in three vertical rows.
tristigmatic |Having, or consisting of, three stigmas. Gray.
tristigmatose |Having, or consisting of, three stigmas. Gray.
tristitiate |To make sad. [Obs.] Feltham.
tristoma |Any one of numerous species of trematode worms belonging to Tristoma and allied genera having a large posterior sucker and two small anterior ones. They usually have broad, thin, and disklike bodies, and are parasite on the gills and skin of fishes.
tristy |See Trist, a. [Obs.] Ashmole.
trisulc |Something having three forks or prongs, as a trident. [Obs.] \"Jupiter's trisulc.\" Sir T. Browne.
trisulcate |Having three furrows, forks, or prongs; having three grooves or sulci; three-grooved.
trisulphide |A sulphide containing three atoms of sulphur.
trisyllabic |Of or pertaining to a trisyllable; consisting of three syllables; as, \"syllable\" is a trisyllabic word. -- Tris`yllab\"ic*al*ly, adv.
trisyllabical |Of or pertaining to a trisyllable; consisting of three syllables; as, \"syllable\" is a trisyllabic word. -- Tris`yllab\"ic*al*ly, adv.
trisyllable |A word consisting of three syllables only; as, a-ven-ger.
trite |Worn out; common; used until so common as to have lost novelty and interest; hackneyed; stale; as, a trite remark; a trite subject. -- Trite\"ly, adv. -- Trite\"ness, n.
triternate |Three times ternate; -- applied to a leaf whose petiole separates into three branches, each of which divides into three parts which each bear three leafiets.
tritheism |The opinion or doctrine that the Father, Son, and Holy Spirit are three distinct Gods.
tritheist |One who believes in tritheism.
tritheistic |Of or pertaining to tritheism. Bolingbroke.
tritheistical |Of or pertaining to tritheism. Bolingbroke.
tritheite |A tritheist. [Obs.] E. Phillips.
trithing |One of three ancient divisions of a county in England; -- now called riding. [Written also riding.] Blackstone.
trithionate |A salt of trithionic acid.
trithionic |Of or pertaining to, or designating, a certain thionic acid, H2S3O6 which is obtained as a colorless, odorless liquid.
tritical |Trite. [Obs.] T. Warton. -- Trit\"ic*al*ly, adv. [Obs.] -- Trit\"ic*al*ness, n. [Obs.]
triticin |A carbohydrate isomeric with dextrin, obtained from quitch grass (Agropyrum, formerly Triticum, repens) as a white amorphous substance.
triticum |A genus of grasses including the various species of wheat.
triton |A fabled sea demigod, the son of Neptune and Amphitrite, and the trumpeter of Neptune. He is represented by poets and painters as having the upper part of his body like that of a man, and the lower part like that of a fish. He often has a trumpet made of a shell. Have sight of Proteus rising from the sea, Or hear old Triton blow his wreathed horn. Wordsworth. 2. (Zoöl.)  Any one of many species of marine gastropods belonging to Triton and allied genera, having a stout spiral shell, often handsomely colored and ornamented with prominent varices. Some of the species are among the largest of all gastropods. Called also trumpet shell, and sea trumpet. 3. (Zoöl.)  Any one of numerous species of aquatic salamanders. The common European species are Hemisalamandra cristata, Molge palmata, and M. alpestris, a red-bellied species common in Switzerland. The most common species the United States is Diemyctylus viridescens. See Illust. under Salamander.
tritone |A superfluous or augmented fourth. [R.]
tritorium |Same as Triturium.
tritovum |An embryonic insect which has twice cast its skin previous to hatching from the egg.
tritozooid |A zooid of the third generation in asexual reproduction.
tritubercular |(a) Having or designating teeth with three cusps or tubercles; tricuspid. (b) Pertaining to trituberculy.
trituberculy |A theory of the development of mammalian molar teeth. The primitive stage is that of simple cones, as in reptiles. The simple cone then developed a smaller cone in front and another behind. Next, a cingulum was developed, and the three cones became arranged in a triangle, the two smaller cusps having moved to the outer side in upper and to the inner in lower molars. This primitive triangle is called the trigon or trigonid and this stage the tritubercular or trigonodont. The trigon being a cutting apparatus, an extension of the posterior part of the crown was developed in lower molars for crushing, and a smaller corresponding part appeared in upper molars. Another large cone then arose, usually from the cingulum. In more complex forms, smaller intermediate cusps appeared.
triturable |Capable of being triturated. Sir T. Browne.
triturate |1. To rub, grind, bruise, or thrash. 2. To rub or grind to a very fine or impalpable powder; to pulverize and comminute thoroughly.
trituration |The act of triturating, or reducing to a fine or impalpable powder by grinding, rubbing, bruising, etc. Paley.
triture |A rubbing or grinding; trituration. [Obs.] Cheyne.
triturium |A vessel for separating liquids of different densities. [Written also tritorium.]
trityl |Propyl. [R.]
tritylene |Propylene. [R.]
triumph |1. (Rom. Antiq.)  A magnificent and imposing ceremonial performed in honor of a general who had gained a decisive victory over a foreign enemy. Note: The general was allowed to enter the city crowned with a wreath of laurel, bearing a scepter in one hand, and a branch of laurel in the other, riding in a circular chariot, of a peculiar form, drawn by four horses. He was preceded by the senate and magistrates, musicians, the spoils, the captives in fetters, etc., and followed by his army on foot in marching order. The procession advanced in this manner to the Capitoline Hill, where sacrifices were offered, and victorious commander entertained with a public feast. 2. Hence, any triumphal procession; a pompous exhibition; a stately show or pageant. [Obs.] Our daughter, In honor of whose birth these triumphs are, Sits here, like beauty's child. Shak. 3. A state of joy or exultation for success. Great triumph and rejoicing was in heaven. Milton. Hercules from Spain Arrived in triumph, from Geryon slain. Dryden. 4. Success causing exultation; victory; conquest; as, the triumph of knowledge. 5. A trump card; also, an old game at cards. [Obs.]\n\n1. To celebrate victory with pomp; to rejoice over success; to exult in an advantage gained; to exhibit exultation. How long shall the wicked triumph Ps. xciv. 3. Sorrow on thee and all the pack of you That triumph thus upon my misery! Shak. 2. To obtain victory; to be successful; to prevail. Triumphing over death, and chance, and thee, O Time. Milton. On this occasion, however, genius triumphed. Macaulay. 3. To be prosperous; to flourish. Where commerce triumphed on the favoring gales. Trumbull. 4. To play a trump card. [Obs.] B. Jonson.\n\nTo obtain a victory over; to prevail over; to conquer. Also, to cause to triumph. [Obs.] Two and thirty legions that awe All nations of the triumphed word. Massinger.
triumphal |Of or pertaining to triumph; used in a triumph; indicating, or in honor of, a triumph or victory; as, a triumphal crown; a triumphal arch. Messiah his triumphal chariot turned. Milton.\n\nA token of victory. [Obs.] Joyless triumphals of his hoped success. Milton.
triumphant |1. Rejoicing for victory; triumphing; exultant. Successful beyond hope to lead ye forth Triumphant out of this infernal pit. Milton. 2. Celebrating victory; expressive of joy for success; as, a triumphant song or ode. 3. Graced with conquest; victorious. Athena, war's triumphant maid. Pope. So shall it be in the church triumphant. Perkins. 4. Of or pertaining to triumph; triumphal. [Obs.] Captives bound to a triumphant car. Shak. Church triumphant, the church in heaven, enjoying a state of triumph, her warfare with evil being over; -- distinguished from church militant. See under Militant.
triumphantly |In a triumphant manner.
triumpher |1. (Rom. Antiq.)  One who was honored with a triumph; a victor. 2. One who triumphs or rejoices for victory.
triumphing |Having or celebrating a triumph; victorious; triumphant. -- Tri\"umph*ing*ly, adv.
triumvir |One of tree men united in public office or authority. Note: In later times the triumvirs of Rome were three men who jointly exercised sovereign power. Julius Cæsar, Crassus, and Pompey were the first triumvirs; Octavianus (Augustus), Antony, and Lepidus were the second and last.
triumvirate |1. Government by three in coalition or association; the term of such a government. 2. A coalition or association of three in office or authority; especially, the union of three men who obtained the government of the Roman empire.
triumviry |A triumvirate. [Obs.] Shak.
triune |Being three in one; -- an epithet used to express the unity of a trinity of persons in the Godhead.
triungulus |The active young larva of any oil beetle. It has feet armed with three claws, and is parasitic on bees. See Illust. of Oil beetle, under Oil.
triunity |The quality or state of being triune; trinity. Dr. H. More.
trivalence |The quality or state of being trivalent.
trivalent |Having a valence of three; capable of being combined with, substituted for, or compared with, three atoms of hydrogen; -- said of triad atoms or radicals; thus, nitrogen is trivalent in ammonia.
trivalve |Anything having three valves, especially a shell.
trivalvular |Having three valves; three-valved.
trivant |A truant. [Obs.] Burton.
triverbial |Pertaining to, or designating, certain days allowed to the pretor for hearing causes, when be might speak the three characteristic words of his office, do, dico, addico. They were called dies fasti.
trivet |1. A tree-legged stool, table, or other support; especially, a stand to hold a kettle or similar vessel near the fire; a tripod. [Written also trevet.] 2. A weaver's knife. See Trevat. Knight. Trivet table, a table supported by three legs. Dryden.
