klinometer |See Clinometer.
knave |1. A boy; especially, a boy servant. [Obs.] Wyclif. Chaucer. O murderous slumber, Lay'st thou thy leaden mace upon my boy That plays thee music Gentle knave, good night. Shak. 2. Any male servant; a menial. [Obs.] Chaucer. He's but Fortune's knave, A minister of her will. Shak. 3. A tricky, deceitful fellow; a dishonest person; a rogue; a villain. \"A pair of crafty knaves.\" Shak. In defiance of demonstration, knaves will continue to proselyte fools. Ames. Note: \"How many serving lads must have been unfaithful and dishonest before knave -which meant at first no more than boy -- acquired the meaning which it has now !\" Trench. 4. A playing card marked with the figure of a servant or soldier; a jack. Knave child, a male child. [Obs.] Chaucer. Syn. -- Villain; cheat; rascal; rogue; scoundrel; miscreant.
knavery |1. The practices of a knave; petty villainy; fraud; trickery; a knavish action. This is flat knavery, to take upon you another man's name. Shak. 2. pl.  Roguish or mischievous tricks. Shak.
knaveship |A small due, in meal, established by usage, which is paid to the under miller. [Scot.]
knavess |A knavish woman. Carlyle.
knavish |1. Like or characteristic of a knave; given to knavery; trickish; fraudulent; dishonest; villainous; as, a knavish fellow, or a knavish trick. \"Knavish politicians.\" Macaulay. 2. Mischievous; roguish; waggish. Cupid is knavish lad, Thus to make poor females mad. Shak.
knavishly |1. In a knavish manner; dishonestly; fraudulently. Holland. 2. Mischievously; waggishly; roguishly. \"Knavishly witty.\" Gayton.
knavishness |The quality or state of being knavish; knavery; dishonesty.
knaw |See Gnaw. [Obs.] Sir T. More.
knawel |A low, spreading weed (Scleranthus annuus), common in sandy soil.
knead |1. To work and press into a mass, usually with the hands; esp., to work, as by repeated pressure with the knuckles, into a well mixed mass, as the materials of bread, cake, etc.; as, to knead dough. The kneading, the making of the cake, the heating of the oven, and the baking. Shak. 2. Fig.: To treat or form as by kneading; to beat. I will knead him : I'll make him supple. Shak. Kneading trough, a trough or tray in which dough is kneaded. Ex. viii. 3.
kneadable |That may be kneaded; capable of being worked into a mass.
kneader |One who kneads.
kneadingly |In the manner of one kneading.
knebelite |A mineral of a gray, red, brown, or green color, and glistening luster. It is a silicate of iron and manganese.
kneck |The twisting of a rope or cable, as it is running out. [Eng.]
knee |1. In man, the joint in the middle part of the leg. 2. (Anat.) (a) The joint, or region of the joint, between the thigh and leg. (b) In the horse and allied animals, the carpal joint, corresponding to the wrist in man. 3. (Mech. & Shipbuilding)  A piece of timber or metal formed with an angle somewhat in the shape of the human knee when bent. 4. A bending of the knee, as in respect or courtesy. Give them title, knee, and approbation. Shak. Knee breeches. See under Breeches. -- Knee holly, Knee holm (Bot.), butcher's broom. -- Knee jerk (Physiol.) a jerk or kick produced by a blow or sudden strain upon the patellar tendon of the knee, which causes a sudden contraction of the quadriceps muscle; one of the so-called tendon reflexes. -- Knee joint. See in the Vocabulary. -- Knee timber, timber with knees or angles in it. -- Knee tribute, or Knee worship, tribute paid by kneeling; worship by genuflection. [Obs.] \"Knee tribute yet unpaid.\" Milton.\n\nTo supplicate by kneeling. [Obs.] Fall down, and knee The way into his mercy. Shak
knee jerk |A jerk or kick produced by a blow or sudden strain upon the patellar tendon of the knee, which causes a sudden contraction of the quadriceps muscle.
knee-crooking |Obsequious; fawning; cringing. \"Knee-crooking knave.\" Shak.
knee-deep |1. Rising to the knees; knee-high; as, water or snow knee-deep. Grass knee-deep within a month. Milton. 2. Sunk to the knees; as, men knee-deep in water. Where knee-deep the trees were standing. Longfellow.
knee-high |Rising or reaching upward to the knees; as, the water is knee- high.
kneebrush |1. (Zoöl.)  A tuft or brush of hair on the knees of some species of antelopes and other animals; -- chiefly used in the plural. 2. (Zoöl.)  A thick mass or collection of hairs on the legs of bees, by aid of which they carry the collected pollen to the hive or nest; -- usually in the plural.
kneecap |1. (Anat.)  The kneepan. 2. A cap or protection for the knee.
kneed |1. Having knees;- used chiefly in composition; as, in-kneed; out- kneed; weak-kneed. 2. (Bot.)  Geniculated; forming an obtuse angle at the joints, like the knee when a little bent; as, kneed grass.
kneejoint |1. The joint of the knee. 2. (Mach.)  A toggle joint; -- so called because consisting of two pieces jointed to each other end to end, making an angle like the knee when bent.
kneejointed |Geniculate; kneed. See Kneed, a., 2.
kneel |To bend the knee; to fall or rest on the knees; -- sometimes with down. And he kneeled down, and cried with a loud voice, Lord, lay not this sin to their charge. Acts vii. 60. As soon as you are dressed, kneel and say the Lord's Prayer. Jer. Taylor.
kneeler |1. One who kneels or who worships by or while kneeling. Tennyson. 2. A cushion or stool to kneel on. 3. (Eccl. Hist.)  A name given to certain catechumens and penitents who were permitted to join only in parts of church worship.
kneelingly |In a kneeling position.
kneepan |A roundish, flattened, sesamoid bone in the tendon in front of the knee joint; the patella; the kneecap.
kneepiece |A piece shaped like a knee; as, the kneepieces or ears of a boat. KNEIPPISM; KNEIPP'S CURE; KNEIPP CURE Kneipp\"ism, n. Also Kneipp's, or Kneipp, cure.  Treatment of disease by forms of hydrotherapy, as walking barefoot in the morning dew, baths, wet compresses, cold affusions, etc.; -- so called from its originator, Sebastian Kneipp (1821-97), a German priest.
knell |The stoke of a bell tolled at a funeral or at the death of a person; a death signal; a passing bell; hence, figuratively, a warning of, or a sound indicating, the passing away of anything. The dead man's knell Is there scarce asked for who. Shak. The curfew tolls the knell of parting day. Gray.\n\nTo sound as a knell; especially, to toll at a death or funeral; hence, to sound as a warning or evil omen. Not worth a blessing nor a bell to knell for thee. Beau. & Fl. Yet all that poets sing, and grief hath known, Of hopes laid waste, knells in that word, \"alone\". Ld. Lytton.\n\nTo summon, as by a knell. Each matin bell, the baron saith, Knells us back to a world of death. Coleridge.
knelt |of Kneel.
knew |of Know.
knicker |A small ball of clay, baked hard and oiled, used as a marble by boys in playing. [Prov. Eng. & U. S.] Halliwell. Bartlett.
knickerbocker |A linsey-woolsey fabric having a rough knotted surface on the right side; used for women's dresses.
knickerbockers |The name for a style of short breeches; smallclothes.
knickknack |A trifle or toy; a bawble; a gewgaw.
knickknackatory |A collection of knickknacks. Richardson.
knickknackery |Knickknacks.
knife |1. An instrument consisting of a thin blade, usually of steel and having a sharp edge for cutting, fastened to a handle, but of many different forms and names for different uses; as, table knife, drawing knife, putty knife, pallet knife, pocketknife, penknife, chopping knife, etc. 2. A sword or dagger. The coward conquest of a wretch's knife. Shak. Knife grass (Bot.) a tropical American sedge (Scleria latifolia), having leaves with a very sharp and hard edge, like a knife. -- War to the knife, mortal combat; a conflict carried to the last extremity.\n\n1. (Hort.)  To prune with the knife. 2. To cut or stab with a knife. [Low]
knife switch |A switch consisting of one or more knifelike pieces hinged at one end and making contact near the other with flat gripping springs.
knife-edge |A piece of steel sharpened to an acute edge or angle, and resting on a smooth surface, serving as the axis of motion of a pendulum, scale beam, or other piece required to oscillate with the least possible friction. Knife-edge file. See Illust. of File.
knifeboard |A board on which knives are cleaned or polished.
knifeedge |A piece of steel sharpened to an acute edge or angle, and resting on a smooth surface, serving as the axis of motion of a pendulum, scale beam, or other piece required to oscillate with the least possible friction. Knife-edge file. See Illust. of File.
knight |1. A young servant or follower; a military attendant. [Obs.] 2. (a) In feudal times, a man-at-arms serving on horseback and admitted to a certain military rank with special ceremonies, including an oath to protect the distressed, maintain the right, and live a stainless life. (b) One on whom knighthood, a dignity next below that of baronet, is conferred by the sovereign, entitling him to be addressed as Sir; as, Sir John. [Eng.] Hence: (c) A champion; a partisan; a lover. \"Give this ring to my true knight.\" Shak \"In all your quarrels will I be your knight.\" Tennyson. Knights, by their oaths, should right poor ladies' harms. Shak. Note: Formerly, when a knight's name was not known, it was customary to address him as Sir Knight. The rank of a knight is not hereditary. 3. A piece used in the game of chess, usually bearing a horse's head. 4. A playing card bearing the figure of a knight; the knave or jack. [Obs.] Carpet knight. See under Carpet. -- Knight of industry. See Chevalier d'industrie, under Chevalier. -- Knight of Malta, Knight of Rhodes, Knight of St. John of Jerusalem. See Hospitaler. -- Knight of the post, one who gained his living by giving false evidence on trials, or false bail; hence, a sharper in general. Nares. \"A knight of the post, . . . quoth he, for so I am termed; a fellow that will swear you anything for twelve pence.\" -- Nash. -- Knight of the shire, in England, one of the representatives of a county in Parliament, in distinction from the representatives of cities and boroughs. -- Knights commanders, Knights grand cross, different classes of the Order of the Bath. See under Bath, and Companion. Knights of labor, a secret organization whose professed purpose is to secure and maintain the rights of workingmen as respects their relations to their employers. [U. S.] -- Knights of Pythias, a secret order, founded in Washington, d.C., in 1864, for social and charitable purposes. -- Knights of the Round Table, knights belonging to an order which, according to the legendary accounts, was instituted by the mythical King Arthur. They derived their common title from the table around which they sat on certain solemn days. Brande & C.\n\nTo dub or create (one) a knight; -- done in England by the sovereign only, who taps the kneeling candidate with a sword, saying: Rise, Sir ---. A soldier, by the honor-giving hand Of Cknighted in the field. Shak.
knight bachelor |A knight of the most ancient, but lowest, order of English knights, and not a member of any order of chivalry. See Bachelor, 4.
knight banneret |A knight who carried a banner, who possessed fiefs to a greater amount than the knight bachelor, and who was obliged to serve in war with a greater number of attendants. The dignity was sometimes conferred by the sovereign in person on the field of battle.
knight baronet |See Baronet.
knight marshal |An officer in the household of the British sovereign, who has cognizance of transgressions within the royal household and verge, and of contracts made there, a member of the household being one of the parties. Wharton.
knight service |A tenure of lands held by knights on condition of performing military service. See Chivalry, n., 4. KNIGHT SERVICE; KNIGHT'S SERVICE Knight service. Also Knight's service. 1.  (Feud. Law) The military service by rendering which a knight held his lands; also, the tenure of lands held on condition of performing military service. By far the greater part of England [in the 13th century] is held of the king by knight's service. . . . In order to understand this tenure we must form the conception of a unit of military service. That unit seems to be the service of one knight or fully armed horseman (servitium unius militis) to be done to the king in his army for forty days in the year, if it be called for. . . . The limit of forty days seems to have existed rather in theory than practice. Pollock & Mait. 2.  Service such as a knight can or should render; hence, good or valuable service. KNIGHT'S FEE Knight's fee. (Feudal Law)  The fee of a knight; specif., the amount of land the holding of which imposed the obligation of knight service, being sometimes a hide or less, sometimes six or more hides.
knight templar |See Commandery, n., 3, and also Templar, n., 1 and 3.
knight-er-ratic |Pertaining to a knight-errant or to knight-errantry. [R.] Quart. Rev.
knight-errant |A wandering knight; a knight who traveled in search of adventures, for the purpose of exhibiting military skill, prowess, and generosity.
knight-errantry |The character or actions of wandering knights; the practice of wandering in quest of adventures; chivalry; a quixotic or romantic adventure or scheme. The rigid guardian [i. e., conscience] of a blameless heart Is weak with rank knight-erratries o'errun. Young.
knightage |To body of knights, taken collectively.
knighthead |A bollard timber. See under Bollard.
knighthood |1. The character, dignity, or condition of a knight, or of knights as a class; hence, chivalry. \"O shame to knighthood.\" Shak. If you needs must write, write Cæsar's praise; You 'll gain at least a knighthood, or the bays. Pope. 2. The whole body of knights. The knighthood nowadays are nothing like the knighthood of old time. Chapman. Note: \"When the order of knighthood was conferred with full solemnity in the leisure of a court or court or city, imposing preliminary ceremonies were required of the candidate. He prepared himself by prayer and fasting, watched his arms at night in a chapel, and was then admitted with the performance of religious rites. Knighthood was conferred by the accolade, which, from the derivation of the name, would appear to have been originally an embrace; but afterward consisted, as it still does, in a blow of the flat of a sword on the back of the kneeling candidate.\" Brande & C.
knightless |Unbecoming a knight. [Obs.] \"Knightless guile.\" Spenser.
knightliness |The character or bearing suitable for a knight; chivalry. Spenser.
knightly |Of or pertaining to a knight; becoming a knight; chivalrous; as, a knightly combat; a knightly spirit. For knightly jousts and fierce encounters fit. Spenser. [Excuses] full knightly without scorn. Tennyson.\n\nIn a manner becoming a knight. And why thou comest thus knightly clad in arms. Shak.
knit |1. To form into a knot, or into knots; to tie together, as cord; to fasten by tying. A great sheet knit at the four corners. Acts x. 11. When your head did but ache, I knit my handkercher about your brows. Shak. 2. To form, as a textile fabric, by the interlacing of yarn or thread in a series of connected loops, by means of needles, either by hand or by machinery; as, to knit stockings. 3. To join; to cause to grow together. Nature can not knit the bones while the parts are under a discharge. Wiseman. 4. To unite closely; to connect; to engage; as, hearts knit together in love. Thy merit hath my duty strongly knit. Shak. Come , knit hands, and beat the ground, In a light fantastic round. Milton. A link among the days, toknit The generations each to each. Tennyson. 5. To draw together; to contract into wrinkles. knits his brow and shows an angry eye. Shak.\n\n1. To form a fabric by interlacing yarn or thread; to weave by making knots or loops. 2. To be united closely; to grow together; as, broken bones will in time knit and become sound. To knit up, to wind up; to conclude; to come to a close. \"It remaineth to knit up briefly with the nature and compass of the seas.\" [Obs.] Holland.\n\nUnion knitting; texture. Shak.
knitback |The plant comfrey; -- so called from its use as a restorative. Dr. Prier.
knitch |A number of things tied or knit together; a bundle; a fagot. [Obs. or Prov. Eng.] Halliwell. When they [stems of asphodel] be dried, they ought to be made up into knitchets, or handfuls. Holland.
knitchet |A number of things tied or knit together; a bundle; a fagot. [Obs. or Prov. Eng.] Halliwell. When they [stems of asphodel] be dried, they ought to be made up into knitchets, or handfuls. Holland.
knits |Small particles of ore. Raymond.
knitster |A woman who knits. [Prov. Eng.] Halliwell.
knitter |One who, or that which, knits, joins, or unites; a knitting machine. Shak.
knitting |1. The work of a knitter; the network formed by knitting. 2. Union formed by knitting, as of bones. Knitting machine, one of a number of contrivances for mechanically knitting stockings, jerseys, and the like. -- Knitting , a stiff rod, as of steel wire, with rounded ends for knitting yarn or threads into a fabric, as in stockings. -- Knitting sheath, a sheath to receive the end of a needle in knitting.
knittle |1. A string that draws together a purse or bag. [Prov. Eng.] Wright. 2. pl. (Naut.)  See Nettles.
knives |of Knife. See Knife.
knob |1. A hard protuberance; a hard swelling or rising; a bunch; a lump; as, a knob in the flesh, or on a bone. 2. A knoblike ornament or handle; as, the knob of a lock, door, or drawer. Chaucer. 3. A rounded hill or mountain; as, the Pilot Knob. [U. S.] Bartlett. 4. (Arch.)  See Knop. Knob latch, a latch which can be operated by turning a knob, without using a key.\n\nTo grow into knobs or bunches; to become knobbed. [Obs.] Drant.
knobbed |Containing knobs; full of knobs; ending in a nob. See Illust of Antenna. The horns of a roe deer of Greenland are pointed at the top, and knobbed or tuberous at the bottom. Grew.
knobber |See Knobbler.
knobbing |Rough dressing by knocking off knobs or projections.
knobbler |The hart in its second year; a young deer. [Written also knobber.] Halliwell. He has hallooed the hounds upon a velvet-headed knobbler. Sir W. Scott.
knobbling fire |. A bloomery fire. See Bloomery.
knobby |1. Full of, or covered with, knobs or hard protuberances. Dr. H. More. 2. Irregular; stubborn in particulars. [Obs.] The informers continued in a knobby kind of obstinacy. Howell. 3. Abounding in rounded hills or mountains; hilly. [U.S.] Bartlett.
knobkerrie |A short club with a knobbed end used as a missile weapon by Kafir and other native tribes of South Africa.
knobstick |One who refuses to join, or withdraws from, a trades union. [Cant, Eng.]
knock |1. To drive or be driven against something; to strike against something; to clash; as, one heavy body knocks against another. Bacon. 2. To strike or beat with something hard or heavy; to rap; as, to knock with a club; to knock on the door. For harbor at a thousand doors they knocked. Dryden. Seek, and ye shall find; knock, and it shall be opened unto you. Matt. vii. 7. To knock about, to go about, taking knocks or rough usage; to wander about; to saunter. [Colloq.] \"Knocking about town.\" W. Irving. -- To knock up, to fail of strength; to become wearied or worn out, as with labor; to give out. \"The horses were beginning to knock up under the fatigue of such severe service.\" De Quincey. -- To knock off, to cease, as from work; to desist. -- To knock under, to yield; to submit; to acknowledge one's self conquered; -- an expression probably borrowed from the practice of knocking under the table with the knuckles, when conquered. \"Colonel Esmond knocked under to his fate.\" Thackeray.\n\n1. To strike with something hard or heavy; to move by striking; to drive (a thing) against something; as, to knock a ball with a bat; to knock the head against a post; to knock a lamp off the table. When heroes knock their knotty heads together. Rowe. 2. To strike for admittance; to rap upon, as a door. Master, knock the door hard. Shak. To knock down. (a) To strike down; to fell; to prostrate by a blow or by blows; as, to knock down an assailant. (b) To assign to a bidder at an auction, by a blow or knock; to knock off. -- To knock in the head, or on the head, to stun or kill by a blow upon the head; hence, to put am end to; to defeat, as a scheme or project; to frustrate; to quash. [Colloq.] -- To knock off. (a) To force off by a blow or by beating. (b) To assign to a bidder at an auction, by a blow on the counter. (c) To leave off (work, etc.). [Colloq.] -- To knock out, to force out by a blow or by blows; as, to knock out the brains. -- To knock up. (a) To arouse by knocking. (b) To beat or tire out; to fatigue till unable to do more; as, the men were entirely knocked up. [Colloq.] \"The day being exceedingly hot, the want of food had knocked up my followers.\" Petherick. (c) (Bookbinding) To make even at the edges, or to shape into book form, as printed sheets.\n\n1. A blow; a stroke with something hard or heavy; a jar. 2. A stroke, as on a door for admittance; a rap. \" A knock at the door.\" Longfellow. A loud cry or some great knock. Holland. Knock off, a device in a knitting machine to remove loops from the needles.
knock-knee |A condition in which the knees are bent in so as to touch each other in walking; inknee.
knock-kneed |Having the legs bent inward so that the knees touch in walking. [Written also knack-kneed.]
knock-off |That knocks off; of or pertaining to knocking off.\n\nAct or place of knocking off; that which knocks off; specif. (Mach.),  a cam or the like for disconnecting something, as a device in a knitting machine to remove loops from the needles.
knock-out |Act of knocking out, or state of being knocked out.\n\nThat knocks out; characterized by knocking out; as, a knock-out blow; a knock-out key for knocking out a drill from a collet.
knock-out drops |Drops of some drug put in one's drink to stupefy him for purpose of robbery, etc. [Slang, U. S.]
knockabout |1. Marked by knocking about or roughness. 2.  Of noisy and violent character. [Theat. Slang] 3.  Characterized by, or suitable for, knocking about, or traveling or wandering hither and thither. 4.  That does odd jobs; -- said of a class of hands or laborers on a sheep station. [Collog., Australia]\n\n1. (Naut.) A small yacht, generally from fifteen to twenty-five feet in length, having a mainsail and a jib.  All knockabouts have ballast and either a keel or centerboard.  The original type was twenty-one feet in length.  The next larger type is called a raceabout. 2. A knockabout performer or performance. [Theat. Slang] 3. A man hired on a sheep station to do odd jobs. [Colloq., Australia]
knockdown |A felling by a knock, as of a combatant, or of an animal.\n\nOf force sufficient to fell or completely overthrow; as, a knockdown blow; a knockdown argument. [Colloq.]
knocker |One who, or that which, knocks; specifically, an instrument, or kind of hammer, fastened to a door, to be used in seeking for admittance. Shut, shut the door, good John ! fatigued, knocker; say I'm sick, I'm dead. Pope.
knocking |A beating; a rap; a series of raps. The . . . repeated knockings of the head upon the ground by the Chinese worshiper. H. Spencer.
knockings |Large lumps picked out of the sieve, in dressing ore.
knockstone |A block upon which ore is broken up.
knoll |A little round hill; a mound; a small elevation of earth; the top or crown of a hill. On knoll or hillock rears his crest, Lonely and huge, the giant oak. Sir W. Scott.\n\nTo ring, as a bell; to strike a knell upon; to toll; to proclaim, or summon, by ringing. \"Knolled to church.\" Shak. Heavy clocks knolling the drowsy hours. Tennyson.\n\nTo sound, as a bell; to knell. Shak. For a departed being's soul The death hymn peals, and the hollow bells knoll. Byron.\n\nThe tolling of a bell; a knell. [R.] Byron.
knoller |One who tolls a bell. [Obs.] Sherwood.
knop |1. A knob; a bud; a bunch; a button. Four bowls made like unto almonds, with their knops and their flowers. Ex. xxv. 21. 2. (Arch.)  Any boldly projecting sculptured ornament; esp., the ornamental termination of a pinnacle, and then synonymous with finial; -- called also knob, and knosp. Knop sedge (Bot.), the bur reed (Sparganium); - - so called from its globular clusters of seed vessels. Prior.
knopped |Having knops or knobs; fastened as with buttons. [Obs.] Rom. of R.
knoppern |A kind of gall produced by a gallfly on the cup of an acorn, -- used in tanning and dyeing.
knopweed |Same as Knapweed.
knor |See Knur. [Obs.]
knosp |Same as Knop,2. Milman.
knot |1. (a) A fastening together of the pars or ends of one or more threads, cords, ropes, etc., by any one of various ways of tying or entangling. (b) A lump or loop formed in a thread, cord, rope. etc., as at the end, by tying or interweaving it upon itself. (c) An ornamental tie, as of a ribbon. Note: The names of knots vary according to the manner of their making, or the use for which they are intended; as, dowknot, reef knot, stopper knot, diamond knot, etc. 2. A bond of union; a connection; a tie. \"With nuptial knot.\" Shak. Ere we knit the knot that can never be loosed. Bp. Hall. 3. Something not easily solved; an intricacy; a difficulty; a perplexity; a problem. Knots worthy of solution. Cowper. A man shall be perplexed with knots, and problems of business, and contrary affairs. South. 4. A figure the lines of which are interlaced or intricately interwoven, as in embroidery, gardening, etc. \"Garden knots.\" Bacon. Flowers worthy of paradise, which, not nice art In beds and curious knots, but nature boon Poured forth profuse on hill, and dale, and plain. Milton. 5. A cluster of persons or things; a collection; a group; a hand; a clique; as, a knot of politicians. \"Knots of talk.\" Tennyson. His ancient knot of dangerous adversaries. Shak. Palms in cluster, knots of Paradise. Tennyson. As they sat together in small, separate knots, they discussed doctrinal and metaphysical points of belief. Sir W. Scott. 6. A portion of a branch of a tree that forms a mass of woody fiber running at an angle with the grain of the main stock and making a hard place in the timber. A loose knot is generally the remains of a dead branch of a tree covered by later woody growth. 7. A knob, lump, swelling, or protuberance. With lips serenely placid, felt the knot Climb in her throat. Tennyson. 8. A protuberant joint in a plant. 9. The point on which the action of a story depends; the gist of a matter. [Obs.] I shoulde to the knotte condescend, And maken of her walking soon an end. Chaucer. 10. (Mech.)  See Node. 11. (Naut.) (a) A division of the log line, serving to measure the rate of the vessel's motion. Each knot on the line bears the same proportion to a mile that thirty seconds do to an hour. The number of knots which run off from the reel in half a minute, therefore, shows the number of miles the vessel sails in an hour. Hence: (b) A nautical mile, or 6080.27 feet; as, when a ship goes eight miles an hour, her speed is said to be eight knots. 12. A kind of epaulet. See Shoulder knot. 13. (Zoöl.)  A sandpiper (Tringa canutus), found in the northern parts of all the continents, in summer. It is grayish or ashy above, with the rump and upper tail coverts white, barred with dusky. The lower parts are pale brown, with the flanks and under tail coverts white. When fat it is prized by epicures. Called also dunne. Note: The name is said to be derived from King Canute, this bird being a favorite article of food with him. The knot that called was Canutus' bird of old, Of that great king of Danes his name that still doth hold, His appetite to please that far and near was sought. Drayton.\n\n1. To tie in or with, or form into, a knot or knots; to form a knot on, as a rope; to entangle. \"Knotted curls.\" Drayton. As tight as I could knot the noose. Tennyson. 2. To unite closely; to knit together. Bacon. 3. To entangle or perplex; to puzzle. [Obs. or R.]\n\n1. To form knots or joints, as in a cord, a plant, etc.; to become entangled. Cut hay when it begins to knot. Mortimer. 2. To knit knots for fringe or trimming. 3. To copulate; -- said of toads. [R.] Shak.
knotberry |The cloudberry (Rudus Chamæmorus); -- so called from its knotted stems.
knotgrass |(a) a common weed with jointed stems (Polygonum aviculare); knotweed. (b) The dog grass. See under Dog. Note: An infusion of Polygonum aviculare was once supposed to have the effect of stopping the growth of an animal, and hence it was called, as by Shakespeare, \"hindering knotgrass.\" We want a boy extremely for this function, Kept under for a year with milk and knotgrass. Beau. & Fl.
knotless |Free from knots; without knots. \"Silver firs with knotless trunks.\" Congreve.
knotted |1. Full of knots; having knots knurled; as, a knotted cord; the knotted oak. Dryden. 2. Interwoven; matted; entangled. Make . . . thy knotted and combined locks to part. Shak. 3. Having intersecting lines or figures. The west corner of thy curious knotted garden. Shak. 4. (Geol.)  Characterized by small, detached points, chiefly composed of mica, less decomposable than the mass of the rock, and forming knots in relief on the weathered surface; as, knotted rocks. Percival. 5. Entangled; puzzling; knotty. [R.] They're catched in knotted lawlike nets. Hudibras.
knottiness |1. The quality or state of being knotty or full of knots. 2. Difficulty of solution; intricacy; complication. \" Knottiness of his style.\" Hare.
knotty |1. Full of knots; knotted; having many knots; as, knotty timber; a knotty rope. 2. Hard; rugged; as, a knotty head.[R.] Rewe. 3. Difficult; intricate; perplexed. A knotty point to which we now proceed Pope.
knotweed |See Knot.
knotwort |A small, herbaceous, trailing plant, of the genus Illecebrum (I. verticillatum.)
knout |A kind of whip for flogging criminals, formerly much used in Russia. The last is a tapering bundle of leather thongs twisted with wire and hardened, so that it mangles the flesh.\n\nTo punish with the knout Brougham.
