hortatory |Giving exhortation or advise; encouraging; exhortatory; inciting; as, a hortatory speech. Holland.
hostile |Belonging or appropriate to an enemy; showing the disposition of an enemy; showing ill will and malevolence, or a desire to thwart and injure; occupied by an enemy or enemies; inimical; unfriendly; as, a hostile force; hostile intentions; a hostile country; hostile to a sudden change. Syn. -- Warlike; inimical; unfriendly; antagonistic; opposed; adverse; opposite; contrary; repugnant.\n\nAn enemy; esp., an American Indian in arms against the whites; -- commonly in the plural. [Colloq.] P. H. Sheridan.
hostilely |In a hostile manner.
hostility |1. State of being hostile; public or private enemy; unfriendliness; animosity. Hostility being thus suspended with France. Hayward. 2. An act of an open enemy; a hostile deed; especially in the plural, acts of warfare; attacks of an enemy. We have showed ourselves generous adversaries . . . and have carried on even our hostilities with humanity. Atterbury. He who proceeds to wanton hostility, often provokes an enemy where he might have a friend. Crabb. Syn. -- Animosity; enmity; opposition; violence; aggression; contention; warfare.
hostilize |To make hostile; to cause to become an enemy. [Obs.] A. Seward.
hosting |1. An encounter; a battle. \"Fierce hosting.\" Milton. 2. A muster or review. Spenser.
hostler |1. An innkeeper. [Obs.] See Hosteler. 2. The person who has the care of horses at an inn or stable; hence, any one who takes care of horses; a groom; -- so called because the innkeeper formerly attended to this duty in person. 3. (Railroad)  The person who takes charge of a locomotive when it is left by the engineer after a trip.
hostless |Inhospitable. [Obs.] \"A hostless house.\" Spenser.
hostry |1. A hostelry; an inn or lodging house. [Obs.] Marlowe. 2. A stable for horses. [Obs.] Johnson.
hot |of Hote. [Obs.] Spenser.\n\n1. Having much sensible heat; exciting the feeling of warmth in a great degree; very warm; -- opposed to cold, and exceeding warm in degree; as, a hot stove; hot water or air. \"A hotvenison pasty.\" Shak. 2. Characterized by heat, ardor, or animation; easily excited; firely; vehement; passionate; violent; eager. Achilles is impatient, hot, and revengeful. Dryden. There was mouthing in hot haste. Byron. 3. Lustful; lewd; lecherous. Shak. 4. Acrid; biting; pungent; as, hot as mustard. Hot bed (Iron Manuf.), an iron platform in a rolling mill, on which hot bars, rails, etc., are laid to cool. -- Hot wall (Gardening), a wall provided with flues for the conducting of heat, to hasten the growth of fruit trees or the ripening of fruit. -- Hot well (Condensing Engines), a receptacle for the hot water drawn from the condenser by the air pump. This water is returned to the boiler, being drawn from the hot well by the feed pump. -- In hot water (Fig.), in trouble; in difficulties. [Colloq.] Syn. -- Burning; fiery; fervid; glowing; eager; animated; brisk; vehement; precipitate; violent; furious; ardent; fervent; impetuous; irascible; passionate; hasty; excitable.
hot blast |See under Blast.
hot bulb |See Semi-diesel, below.
hot pot |See Semi-diesel, below.
hot-blooded |Having hot blood; excitable; high-spirited; irritable; ardent; passionate.
hot-brained |Ardent in temper; violent; rash; impetuous; as, hot-brained youth. Dryden.
hot-head |A violent, passionate person; a hasty or impetuous person; as, the rant of a hot-head.
hot-headed |Fiery; violent; rash; hasty; impetuous; vehement. Macaulay.
hot-mouthed |Headstrong. That hot-mouthed beast that bears against the curb. Dryden.
hot-short |More or less brittle when heated; as, hot-short iron.
hot-spirited |Having a fierly spirit; hot-headed.
hotbed |1. (Gardening)  A bed of earth heated by fermenting manure or other substances, and covered with glass, intended for raising early plants, or for nourishing exotics. 2. A place which favors rapid growth or development; as, a hotbed of sedition.
hotchkiss gun |A built-up, rifled, rapid-fire gun of oil-tempered steel, having a rectangular breechblock which moves horizontally or vertically in a mortise cut completely through the jacket. It is made in France.
hotchpot |1. A mingled mass; a confused mixture; a stew of various ingredients; a hodgepodge. A mixture or hotchpotch of many tastes. Bacon. 2. (Law)  A blending of property for equality of division, as when lands given in frank-marriage to one daughter were, after the death of the ancestor, blended with the lands descending to her and to her sisters from the same ancestor, and then divided in equal portions among all the daughters. In modern usage, a mixing together, or throwing into a common mass or stock, of the estate left by a person deceased and the amounts advanced to any particular child or children, for the purpose of a more equal division, or of equalizing the shares of all the children; the property advanced being accounted for at its value when given. Bouvier. Tomlins. Note: This term has been applied in cases of salvage. Story. It corresponds in a measure with collation in the civil and Scotch law. See Collation. Bouvier. Tomlins.
hotchpotch |1. A mingled mass; a confused mixture; a stew of various ingredients; a hodgepodge. A mixture or hotchpotch of many tastes. Bacon. 2. (Law)  A blending of property for equality of division, as when lands given in frank-marriage to one daughter were, after the death of the ancestor, blended with the lands descending to her and to her sisters from the same ancestor, and then divided in equal portions among all the daughters. In modern usage, a mixing together, or throwing into a common mass or stock, of the estate left by a person deceased and the amounts advanced to any particular child or children, for the purpose of a more equal division, or of equalizing the shares of all the children; the property advanced being accounted for at its value when given. Bouvier. Tomlins. Note: This term has been applied in cases of salvage. Story. It corresponds in a measure with collation in the civil and Scotch law. See Collation. Bouvier. Tomlins.
hotcockles |A childish play, in which one covers his eyes, and guesses who strikes him or his hand placed behind him.
hote |1. To command; to enjoin. [Obs.] Piers Plowman. 2. To promise. [Obs.] Chaucer. 3. To be called; to be named. [Obs.] There as I was wont to hote Arcite, Now hight I Philostrate, not worth a mite. Chaucer.
hotel |1. A house for entertaining strangers or travelers; an inn or public house, of the better class. 2. In France, the mansion or town residence of a person of rank or wealth.
hotel-de-ville |A city hall or townhouse.
hotel-dieu |A hospital.
hoten |of Hote.
hotfoot |In haste; foothot. [Colloq.]
hothouse |1. A house kept warm to shelter tender plants and shrubs from the cold air; a place in which the plants of warmer climates may be reared, and fruits ripened. 2. A bagnio, or bathing house. [Obs.] Shak. 3. A brothel; a bagnio. [Obs.] B. Jonson. 4. (Pottery)  A heated room for drying green ware.
hotly |1. In a hot or fiery manner; ardently; vehemently; violently; hastily; as, a hotly pursued. 2. In a lustful manner; lustfully. Dryden.
hotness |1. The quality or state of being hot. 2. Heat or excitement of mind or manner; violence; vehemence; impetuousity; ardor; fury. M. Arnold.
hotpress |To apply to, in conjunction with mechanical pressure, for the purpose of giving a smooth and glosay surface, or to express oil, etc.; as, to hotpress paper, linen, etc.
hotpressed |Pressed while heat is applied. See Hotpress, v. t.
hotspur |A rash, hot-headed man. Holinshed.\n\nViolent; impetuous; headstrong. Spenser. Peacham.
hotspurred |Violent; impetuous; headstrong. Spenser. Peacham.
hottentot |1. (Ethnol.)  One of a degraded and savage race of South Africa, with yellowish brown complexion, high cheek bones, and wooly hair growing in tufts. 2. The language of the Hottentots, which is remarkable for its clicking sounds. Hottentot cherry (Bot.), a South African plant of the genus Cassine (C. maurocenia), having handsome foliage, with generally inconspicuous white or green flowers. Loudon. -- Hottentot's bread. (Bot.) See Elephant's foot (a), under Elephant.
hottentotism |A term employed to describe one of the varieties of stammering. Tylor.
houdah |See Howdah.
hough |1. (a) The joint in the hind limb of quadrupeds between the leg and shank, or tibia and tarsus, and corresponding to the ankle in man. (b) A piece cut by butchers, esp. in pork, from either the front or hind leg, just above the foot. 2. The popliteal space; the ham.\n\nSame as Hock, a joint.\n\nSame as Hock, to hamstring.\n\nAn adz; a hoe. [Obs.] Bp. Stillingfleet.\n\nTo cut with a hoe. [Obs.] Johnson.
houlet |An owl. See Howlet.
hoult |A piece of woodland; a small wood. [Obs.] See Holt.
hound |1. (Zoöl.)  A variety of the domestic dog, usually having large, drooping ears, esp. one which hunts game by scent, as the foxhound, bloodhound, deerhound, but also used for various breeds of fleet hunting dogs, as the greyhound, boarhound, etc. Hounds and greyhounds, mongrels, spaniels, curs. Shak. 2. A despicable person. \"Boy! false hound!\" Shak. 3. (Zoöl.)  A houndfish. 4. pl. (Naut.)  Projections at the masthead, serving as a support for the trestletrees and top to rest on. 5. A side bar used to strengthen portions of the running gear of a vehicle. To follow the hounds, to hunt with hounds.\n\n1. To set on the chase; to incite to pursuit; as, to hounda dog at a hare; to hound on pursuers. Abp. Bramhall. 2. To hunt or chase with hounds, or as with hounds. L'Estrange.
houndfish |Any small shark of the genus Galeus or Mustelus, of which there are several species, as the smooth houndfish (G. canis), of Europe and America; -- called also houndshark, and dogfish. Note: The European nursehound, or small-spotted dogfish, is Scyllium canicula; the rough houndfish, or large-spotted dogfish, is S. catulus. The name has also sometimes been applied to the bluefish (Pomatomus saltatrix), and to the silver gar.
hounding |1. The act of one who hounds. 2. (Naut.)  The part of a mast below the hounds and above the deck. HOUND'S-TONGUE Hound's\"-tongue`, n. Etym: [AS. hundes tunge.] (Bot.)  A biennial weed (Cynoglossum officinale), with soft tongue- shaped leaves, and an offensive odor. It bears nutlets covered with barbed or hooked prickles. Called also dog's-tongue.
houp |See Hoopoe. [Obs.]
hour |1. The twenty-fourth part of a day; sixty minutes. 2. The time of the day, as expressed in hours and minutes, and indicated by a timepiece; as, what is the hour At what hour shall we meet 3. Fixed or appointed time; conjuncture; a particular time or occasion; as, the hour of greatest peril; the man for the hour. Woman, . . . mine hour is not yet come. John ii. 4. This is your hour, and the power of darkness. Luke xxii. 53. 4. pl. (R. C. Ch.)  Certain prayers to be repeated at stated times of the day, as matins and vespers. 5. A measure of distance traveled. Vilvoorden, three hours from Brussels. J. P. Peters. After hours, after the time appointed for one's regular labor. -- Canonical hours. See under Canonical. -- Hour angle (Astron.), the angle between the hour circle passing through a given body, and the meridian of a place. -- Hour circle. (Astron.) (a) Any circle of the sphere passing through the two poles of the equator; esp., one of the circles drawn on an artificial globe through the poles, and dividing the equator into spaces of 15º, or one hour, each. (b) A circle upon an equatorial telescope lying parallel to the plane of the earth's equator, and graduated in hours and subdivisions of hours of right ascension. (c) A small brass circle attached to the north pole of an artificial globe, and divided into twenty-four parts or hours. It is used to mark differences of time in working problems on the globe. -- Hour hand, the hand or index which shows the hour on a timepiece. -- Hour line. (a) (Astron.) A line indicating the hour. (b) (Dialing) A line on which the shadow falls at a given hour; the intersection of an hour circle which the face of the dial. -- Hour plate, the plate of a timepiece on which the hours are marked; the dial. Locke. -- Sidereal hour, the twenty-fourth part of a sidereal day. -- Solar hour, the twenty-fourth part of a solar day. -- The small hours, the early hours of the morning, as one o'clock, two o'clock, etc. -- To keep good hours, to be regular in going to bed early.
hourglass |An instrument for measuring time, especially the interval of an hour. It consists of a glass vessel having two compartments, from the uppermost of which a quantity of sand, water, or mercury occupies an hour in running through a small aperture unto the lower. Note: A similar instrument measuring any other interval of time takes its name from the interval measured; as, a half-hour glass, a half- minute glass. A three-minute glass is sometimes called an egg-glass, from being used to time the boiling of eggs.
houri |A nymph of paradise; -- so called by the Mohammedans.
hourly |Happening or done every hour; occurring hour by hour; frequent; often repeated; renewed hour by hour; continual. In hourly expectation of a martyrdom. Sharp.\n\nEvery hour; frequently; continually. Great was their strife, which hourly was renewed. Dryden.
hours |Goddess of the seasons, or of the hours of the day. Lo! where the rosy-blosomed Hours, Fair Venus' train, appear. Gray.
housage |A fee for keeping goods in a house. [R.] Chambers.
house |1. A structure intended or used as a habitation or shelter for animals of any kind; but especially, a building or edifice for the habitation of man; a dwelling place, a mansion. Houses are built to live in; not to look on. Bacon. Bees with smoke and doves with noisome stench Are from their hives and houses driven away. Shak. 2. Household affairs; domestic concerns; particularly in the phrase to keep house. See below. 3. Those who dwell in the same house; a household. One that feared God with all his house. Acts x. 2. 4. A family of ancestors, descendants, and kindred; a race of persons from the same stock; a tribe; especially, a noble family or an illustrious race; as, the house of Austria; the house of Hanover; the house of Israel. The last remaining pillar of their house, The one transmitter of their ancient name. Tennyson. 5. One of the estates of a kingdom or other government assembled in parliament or legislature; a body of men united in a legislative capacity; as, the House of Lords; the House of Commons; the House of Representatives; also, a quorum of such a body. See Congress, and Parliament. 6. (Com.)  A firm, or commercial establishment. 7. A public house; an inn; a hotel. 8. (Astrol.)  A twelfth part of the heavens, as divided by six circles intersecting at the north and south points of the horizon, used by astrologers in noting the positions of the heavenly bodies, and casting horoscopes or nativities. The houses were regarded as fixed in respect to the horizon, and numbered from the one at the eastern horizon, called the ascendant, first house, or house of life, downward, or in the direction of the earth's revolution, the stars and planets passing through them in the reverse order every twenty- four hours. 9. A square on a chessboard, regarded as the proper place of a piece. 10. An audience; an assembly of hearers, as at a lecture, a theater, etc.; as, a thin or a full house. 11. The body, as the habitation of the soul. This mortal house I'll ruin, Do Cæsar what he can. Shak. 12. [With an adj., as narrow, dark, etc.]  The grave. \"The narrow house.\" Bryant. Note: House is much used adjectively and as the first element of compounds. The sense is usually obvious; as, house cricket, housemaid, house painter, housework. House ant (Zoöl.), a very small, yellowish brown ant (Myrmica molesta), which often infests houses, and sometimes becomes a great pest. -- House of bishops (Prot. Epis. Ch.), one of the two bodies composing a general convertion, the other being House of Clerical and Lay Deputies. -- House boat, a covered boat used as a dwelling. -- House of call, a place, usually a public house, where journeymen connected with a particular trade assemble when out of work, ready for the call of employers. [Eng.] Simonds. -- House car (Railroad), a freight car with inclosing sides and a roof; a box car. -- House of correction. See Correction. -- House cricket (Zoöl.), a European cricket (Gryllus domesticus), which frequently lives in houses, between the bricks of chimneys and fireplaces. It is noted for the loud chirping or stridulation of the males. -- House dog, a dog kept in or about a dwelling house. -- House finch (Zoöl.), the burion. -- House flag, a flag denoting the commercial house to which a merchant vessel belongs. -- House fly (Zoöl.), a common fly (esp. Musca domestica), which infests houses both in Europe and America. Its larva is a maggot which lives in decaying substances or excrement, about sink drains, etc. -- House of God, a temple or church. -- House of ill fame. See Ill fame under Ill, a. -- House martin (Zoöl.), a common European swallow (Hirundo urbica). It has feathered feet, and builds its nests of mud against the walls of buildings. Called also house swallow, and window martin. -- House mouse (Zoöl.), the common mouse (Mus musculus). -- House physician, the resident medical adviser of a hospital or other public institution. -- House snake (Zoöl.), the milk snake. -- House sparrow (Zoöl.), the common European sparrow (Passer domesticus). It has recently been introduced into America, where it has become very abundant, esp. in cities. Called also thatch sparrow. -- House spider (Zoöl.), any spider which habitually lives in houses. Among the most common species are Theridium tepidariorum and Tegenaria domestica. -- House surgeon, the resident surgeon of a hospital. -- House wren (Zoöl.), the common wren of the Eastern United States (Troglodytes aëdon). It is common about houses and in gardens, and is noted for its vivacity, and loud musical notes. See Wren. -- Religious house, a monastery or convent. -- The White House, the official residence of the President of the United States; -- hence, colloquially, the office of President. -- To bring down the house. See under Bring. -- To keep house, to maintain an independent domestic establishment. -- To keep open house, to entertain friends at all times. Syn. -- Dwelling; residence; abode. See Tenement.\n\n1. To take or put into a house; to shelter under a roof; to cover from the inclemencies of the weather; to protect by covering; as, to house one's family in a comfortable home; to house farming utensils; to house cattle. At length have housed me in a humble shed. Young. House your choicest carnations, or rather set them under a penthouse. Evelyn. 2. To drive to a shelter. Shak. 3. To admit to residence; to harbor. Palladius wished him to house all the Helots. Sir P. Sidney. 4. To deposit and cover, as in the grave. Sandys. 5. (Naut.)  To stow in a safe place; to take down and make safe; as, to house the upper spars.\n\n1. To take shelter or lodging; to abide to dwell; to lodge. You shall not house with me. Shak. 2. (Astrol.)  To have a position in one of the houses. See House, n., 8. \"Where Saturn houses.\" Dryden.
housebote |Wood allowed to a tenant for repairing the house and for fuel. This latter is often called firebote. See Bote.
housebreaker |One who is guilty of the crime of housebreaking.
housebreaking |The act of breaking open and entering, with a felonious purpose, the dwelling house of another, whether done by day or night. See Burglary, and To break a house, under Break.
housebuilder |One whose business is to build houses; a housewright.
housecarl |A household servant; also, one of the bodyguard of King Canute.
household |1. Those who dwell under the same roof and compose a family. And calls, without affecting airs, His household twice a day to prayers. Swift. 2. A line of ancestory; a race or house. [Obs.] Shak.\n\nBelonging to the house and family; domestic; as, household furniture; household affairs. Household bread, bread made in the house for common use; hence, bread that is not of the finest quality. [Obs.] -- Household gods (Rom. Antiq.), the gods presiding over the house and family; the Lares and Penates; hence, all objects endeared by association with home. -- Household troops, troops appointed to attend and guard the sovereign or his residence.
householder |The master or head of a family; one who occupies a house with his family. Towns in which almost every householder was an English Protestant. Macaulay. Compound householder. See Compound, a.
housekeeper |1. One who occupies a house with his family; a householder; the master or mistress of a family. Locke. 2. One who does, or oversees, the work of keeping house; as, his wife is a good housekeeper; often, a woman hired to superintend the servants of a household and manage the ordinary domestic affairs. 3. One who exercises hospitality, or has plentiful and hospitable household. [Obs.] Sir H. Wotton. 4. One who keeps or stays much at home. [R.] You are manifest housekeeper. Shak. 5. A house dog. [Obs.] Shak.
housekeeping |1. The state of being occupying a dwelling house as a householder. 2. Care of domestic concerns; management of a house and home affairs. 3. Hospitality; a liberal and hospitable table; a supply of provisions. [Obs.] Tell me, softly and hastly, what's in the pantry Small housekeeping enough, said Phoebe. Sir W. Scott.\n\nDomestic; used in a family; as, housekeeping commodities.
housel |The eucharist. [Archaic] Rom. of R. Tennyson.\n\nTo administer the eucharist to. [Archaic] Chaucer.
houseleek |A succulent plant of the genus Sempervivum (S. tectorum), originally a native of subalpine Europe, but now found very generally on old walls and roofs. It is very tenacious of life under drought and heat; -- called also ayegreen.
houseless |Destitute of the shelter of a house; shelterless; homeless; as, a houseless wanderer.
houselessness |The state of being houseless.
houseline |A small line of three strands used for seizing; -- called also housing. Totten.
houseling |Same as Housling.
housemaid |A female servant employed to do housework, esp. to take care of the rooms. Housemaid's knee (Med.), a swelling over the knee, due to an enlargement of the bursa in the front of the kneepan; -- so called because frequently occurring in servant girls who work upon their knees.
housemate |One who dwells in the same house with another. R. Browning.
houseroom |Room or place in a house; as, to give any one houseroom.
housewarming |A feast or merry-making made by or for a family or business firm on taking possession of a new house or premises. Johnson.
housewife |1. The wife of a householder; the mistress of a family; the female head of a household. Shak. He a good husband, a good housewife she. Dryden. 2. (Usually pronounced Etym: [See Hussy, in this sense.]  A little case or bag for materials used in sewing, and for other articles of female work; -- called also hussy. [Written also huswife.] P. Skelton. 3. A hussy. [R.] [Usually written huswife.] Shak. Sailor's housewife, a ditty-bag.\n\nTo manage with skill and economy, as a housewife or other female manager; to economize. Conferred those moneys on the nuns, which since they have well housewived. Fuller.
housewifely |Pertaining or appropriate to a housewife; domestic; economical; prudent. A good sort of woman, ladylike and housewifely. Sir W. Scott.
housewifery |The business of the mistress of a family; female management of domestic concerns.
housewive |To manage with skill and economy, as a housewife or other female manager; to economize. Conferred those moneys on the nuns, which since they have well housewived. Fuller.
housework |The work belonging to housekeeping; especially, kitchen work, sweeping, scrubbing, bed making, and the like.
housewright |A builder of houses.
housing |1. The act of putting or receiving under shelter; the state of dwelling in a habitation. 2. That which shelters or covers; houses, taken collectively. Fabyan. 3. (Arch.) (a) The space taken out of one solid, to admit the insertion of part of another, as the end of one timber in the side of another. (b) A niche for a statue. 4. (Mach.)  A frame or support for holding something in place, as journal boxes, etc. 5. (Naut.) (a) That portion of a mast or bowsprit which is beneath the deck or within the vessel. (b) A covering or protection, as an awning over the deck of a ship when laid up. (c) A houseline. See Houseline.\n\n1. A cover or cloth for a horse's saddle, as an ornamental or military appendage; a saddlecloth; a horse cloth; in plural, trappings. 2. An appendage to the hames or collar of a harness.
housling |Sacramental; as, housling fire. [R.] Spenser.
houss |A saddlecloth; a housing. [Obs.] Dryden.
houstonia |A genus of small rubiaceous herbs, having tetramerous salveform blue or white flower. There are about twenty species, natives of North America. Also, a plant of this genus.
houtou |A beautiful South American motmot. Waterton.
houve |A head covering of various kinds; a hood; a coif; a cap. [Obs.] Chaucer.
houyhnhnm |One of the race of horses described by Swift in his imaginary travels of Lemuel Gulliver. The Houyhnhnms were endowed with reason and noble qualities; subject to them were Yahoos, a race of brutes having the form and all the worst vices of men.
hove |of Heave. Hove short, Hove to. See To heave a cable short, To heave a ship to, etc., under Heave.\n\nTo rise; to swell; to heave; to cause to swell. [Obs. or Scot.] Holland. Burns.\n\nTo hover around; to loiter; to lurk. [Obs.] Gower.
hovel |1. An open shed for sheltering cattle, or protecting produce, etc., from the weather. Brande & C. 2. A poor cottage; a small, mean house; a hut. 3. (Porcelain Manuf.)  A large conical brick structure around which the firing kilns are grouped. Knight.\n\nTo put in a hovel; to shelter. To hovel thee with swine, and rogues forlon. Shak. The poor are hoveled and hustled together. Tennyson.
hoveler |One who assists in saving life and property from a wreck; a coast boatman. [Written also hoveller.] [Prov. Eng.] G. P. R. James.
hoveling |A method of securing a good draught in chimneys by covering the top, leaving openings in the sides, or by carrying up two of the sides higher than the other two. [Written also hovelling.]
hoven |Affected with hoove; as, hooven, or hoven, cattle.\n\np. p. of Heave.\n\nAffected with the disease called hoove; as, hoven cattle.
hover |A cover; a shelter; a protection. [Archaic] Carew. C. Kingsley.\n\n1. To hang fluttering in the air, or on the wing; to remain in flight or floating about or over a place or object; to be suspended in the air above something. Great flights of birds are hovering about the bridge, and settling on it. Addison. A hovering mist came swimming o'er his sight. Dryden. 2. To hang about; to move to and fro near a place, threateningly, watchfully, or irresolutely. Agricola having sent his navy to hover on the coast. Milton. Hovering o'er the paper with her quill. Shak.
hover-hawk |The kestrel.
hoverer |A device in an incubator for protecting the young chickens and keeping them warm.
hoveringly |In a hovering manner.
how |1. In what manner or way; by what means or process. How can a man be born when he is old John iii. 4. 2. To what degree or extent, number or amount; in what proportion; by what measure or quality. O, how love I thy law! it is my meditation all the day. Ps. cxix. 97. By how much they would diminish the present extent of the sea, so much they would impair the fertility, and fountains, and rivers of the earth. Bentley. 3. For what reason; from what cause. How now, my love! why is your cheek so pale Shak. 4. In what state, condition, or plight. How, and with what reproach, shall I return Dryden. 5. By what name, designation, or title. How art thou called Shak. 6. At what price; how dear. [Obs.] How a score of ewes now Shak. Note: How is used in each sense, interrogatively, interjectionally, and relatively; it is also often employed to emphasize an interrogation or exclamation. \"How are the mighty fallen!\" 2 Sam. i. 27. Sometimes, also, it is used as a noun; -- as, the how, the when, the wherefore. Shelley. Let me beg you -- don't say \"How\" for \"What\" Holmes.
howadji |1. A traveler. 2. A merchant; -- so called in the East because merchants were formerly the chief travelers.
howbeit |Be it as it may; nevertheless; notwithstanding; although; albeit; yet; but; however. The Moor -- howbeit that I endure him not -Is of a constant, loving, noble nature. Shak.
howdah |A seat or pavilion, generally covered, fastened on the back of an elephant, for the rider or riders. [Written also houdah.]
howdy |A midwife. [Prov. Eng.]
howel |A tool used by coopers for smoothing and chamfering rheir work, especially the inside of casks.\n\nTo smooth; to plane; as, to howel a cask.
howell |The upper stage of a porcelian furnace.
