epistolography |The art or practice of writing epistles.
epitheca |A continuous and, usually, structureless layer which covers more or less of the exterior of many corals.
epithelial |Of or pertaining to epithelium; as, epithelial cells; epithelial cancer.
epithelioid |Like epithelium; as, epithelioid cells.
epithelioma |A malignant growth containing epithelial cells; -- called also epithelial cancer.
epithelium |The superficial layer of cells lining the alimentary canal and all its appendages, all glands and their ducts, blood vessels and lymphatics, serous cavities, etc. It often includes the epidermis (i. e., keratin-producing epithelial cells), and it is sometimes restricted to the alimentary canal, the glands and their appendages, -- the term endothelium being applied to the lining membrane of the blood vessels, lymphatics, and serous cavities.
epitheloid |Epithelioid.
epithem |Any external topical application to the body, except ointments and plasters, as a poultice, lotion, etc.
epithema |A horny excrescence upon the beak of birds.
epithesis |The addition of a letter at the end of a word, without changing its sense; as, numb for num, whilst for whiles.
epithet |1. An adjective expressing some quality, attribute, or relation, that is properly or specially appropriate to a person or thing; as, a just man; a verdant lawn. A prince [Henry III.] to whom the epithet \"worthless\" seems best applicable. Hallam. 2. Term; expression; phrase. \"Stiffed with epithets of war.\" Shak. Syn. -- Epithet, Title. The name epithet was formerly extended to nouns which give a title or describe character (as the \"epithet of liar\"), but is now confined wholly to adjectives. Some rhetoricians, as Whately, restrict it still further, considering the term epithet as belonging only to a limited class of adjectives, viz., those which add nothing to the sense of their noun, but simply hold forth some quality necessarily implied therein; as, the bright sun, the lofty heavens, etc. But this restriction does not prevail in general literature. Epithet is sometimes confounded with application, which is always a noun or its equivalent.\n\nTo describe by an epithet. [R.] Never was a town better epitheted. Sir H. Wotton.
epithetic |Pertaining to, or abounding with, epithets. \"In epithetic measured prose.\" Lloyd.
epithetical |Pertaining to, or abounding with, epithets. \"In epithetic measured prose.\" Lloyd.
epithite |A lazy, worthless fellow; a vagrant. [Obs.] Mason.
epithumetic |Epithumetical. [Obs.]
epithumetical |Pertaining to sexual desire; sensual. Sir T. Browne.
epitithides |The uppermost member of the cornice of an entablature.
epitomator |An epitomist. Sir W. Hamilton.
epitome |1. A work in which the contents of a former work are reduced within a smaller space by curtailment and condensation; a brief summary; an abridgement. [An] epitome of the contents of a very large book. Sydney Smith. 2. A compact or condensed representation of anything. An epitome of English fashionable life. Carlyle. A man so various that he seemed to be Not one, but all mankind's epitome. Dryden. Syn. -- Abridgement; compendium; compend; abstract; synopsis; abbreviature. See Abridgment.
epitomist |One who makes an epitome; one who abridges; an epitomizer. Milton.
epitomize |1. To make an epitome of; to shorten or abridge, as a writing or discourse; to reduce within a smaller space; as, to epitomize the works of Justin. 2. To diminish, as by cutting off something; to curtail; as, to epitomize words. [Obs.] Addison.
epitomizer |An epitomist. Burton.
epitrite |A foot consisting of three long syllables and one short syllable. Note: It is so called from being compounded of a spondee (which contains 4 times) with an iambus or a trochee (which contains 3 times). It is called 1st, 2d, 3d, or 4th epitrite according as the short syllable stands 1st, 2d, etc.
epitrochlea |A projection on the outer side of the distal end of the humerus; the external condyle.
epitrochlear |Relating to the epitrochlea.
epitrochoid |A kind of curve. See Epicycloid, any Trochoid.
epitrope |A figure by which permission is either seriously or ironically granted to some one, to do what he proposes to do; e. g., \"He that is unjust, let him be unjust still.\",
  "jantu |A machine of great antiquity, used in Bengal for raising water to irrigate land. Knight.
epizeuxis |A figure by which a word is repeated with vehemence or emphasis, as in the following lines: - Alone, alone, all all alone, Alone on a wide wide sea. Coleridge.
epizoan |An epizoön.\n\nAn epizoön.
epizoic |Living upon the exterior of another animal; ectozoic; -- said of external parasites.\n\nLiving upon the exterior of another animal; ectozoic; -- said of external parasites.
epizooen |One of the artificial group of invertebrates of various kinds, which live parasitically upon the exterior of other animals; an ectozoön. Among them are the lice, ticks, many acari, the lerneans, or fish lice, and other crustaceans.
epizooetic |1. (Zoöl.)  Of or pertaining to an epizoön. 2. (Geol.)  Containing fossil remains; -- said of rocks, formations, mountains, and the like. [Obs.] Epizoötic mountains are of secondary formation. Kirwan. 3. Of the nature of a disease which attacks many animals at the same time; -- corresponding to epidemic diseases among men.\n\nAn epizoötic disease; a murrain; an epidemic influenza among horses.
epizooety |An epizoötic disease; a murrain; an epidemic influenza among horses.
epizoon |One of the artificial group of invertebrates of various kinds, which live parasitically upon the exterior of other animals; an ectozoön. Among them are the lice, ticks, many acari, the lerneans, or fish lice, and other crustaceans.
epizootic |1. (Zoöl.)  Of or pertaining to an epizoön. 2. (Geol.)  Containing fossil remains; -- said of rocks, formations, mountains, and the like. [Obs.] Epizoötic mountains are of secondary formation. Kirwan. 3. Of the nature of a disease which attacks many animals at the same time; -- corresponding to epidemic diseases among men.\n\nAn epizoötic disease; a murrain; an epidemic influenza among horses.
epizooty |An epizoötic disease; a murrain; an epidemic influenza among horses.
epoch |1. A fixed point of time, established in history by the occurrence of some grand or remarkable event; a point of time marked by an event of great subsequent influence; as, the epoch of the creation; the birth of Christ was the epoch which gave rise to the Christian era. In divers ages, . . . divers epochs of time were used. Usher. Great epochs and crises in the kingdom of God. Trench. The acquittal of the bishops was not the only event which makes the 30th of June, 1688, a great epoch in history. Macaulay. Note: Epochs mark the beginning of new historical periods, and dates are often numbered from them. 2. A period of time, longer or shorter, remarkable for events of great subsequent influence; a memorable period; as, the epoch of maritime discovery, or of the Reformation. \"So vast an epoch of time.\" F. Harrison. The influence of Chaucer continued to live even during the dreary interval which separates from one another two important epochs of our literary history. A. W. Ward. 3. (Geol.)  A division of time characterized by the prevalence of similar conditions of the earth; commonly a minor division or part of a period. The long geological epoch which stored up the vast coal measures. J. C. Shairp. 4. (Astron.) (a) The date at which a planet or comet has a longitude or position. (b) An arbitrary fixed date, for which the elements used in computing the place of a planet, or other heavenly body, at any other date, are given; as, the epoch of Mars; lunar elements for the epoch March 1st, 1860. Syn. -- Era; time; date; period; age. -- Epoch, Era. We speak of the era of the Reformation, when we think of it as a period, during which a new order of things prevailed; so also, the era of good feeling, etc. Had we been thinking of the time as marked by certain great events, or as a period in which great results were effected, we should have called the times when these events happened epochs, and the whole period an epoch. The capture of Constantinople is an epoch in the history of Mahometanism; but the flight of Mahomet is its era. C. J. Smith.
epocha |See Epoch. J. Adams.
epochal |Belonging to an epoch; of the nature of an epoch. \"Epochal points.\" Shedd.
epode |(a) The after song; the part of a lyric ode which follows the strophe and antistrophe, -- the ancient ode being divided into strophe, antistrophe, and epode. (b) A species of lyric poem, invented by Archilochus, in which a longer verse is followed by a shorter one; as, the Epodes of Horace. It does not include the elegiac distich.
epodic |Pertaining to, or resembling, an epode.
eponym |1. The hypothetical individual who is assumed as the person from whom any race, city, etc., took its name; as, Hellen is an eponym of the Hellenes. 2. A name, as of a people, country, and the like, derived from that of an individual.
eponyme |1. The hypothetical individual who is assumed as the person from whom any race, city, etc., took its name; as, Hellen is an eponym of the Hellenes. 2. A name, as of a people, country, and the like, derived from that of an individual.
eponymic |Same as Eponymous. Tablets . . . which bear eponymic dates. I. Taylor (The Alphabet).
eponymist |One from whom a race, tribe, city, or the like, took its name; an eponym.
eponymous |Relating to an eponym; giving one's name to a tribe, people, country, and the like. What becomes . . . of the Herakleid genealogy of the Spartan kings, when it is admitted that eponymous persons are to be canceled as fictions Grote.
eponymy |The derivation of the name of a race, tribe, etc., from that of a fabulous hero, progenitor, etc.
epooephoron |See Parovarium.
epoophoron |See Parovarium.
epopee |An epic poem; epic poetry.
epopoeia |An epic poem; epic poetry.
epopt |One instructed in the mysteries of a secret system. Carlyle.
epos |An epic.
epotation |A drinking up; a quaffing. [Obs.] Feltham.
eprouvette |An apparatus for testing or proving the strength of gunpowder.
epsom salt |Sulphate of magnesia having cathartic qualities; -- originally prepared by boiling down the mineral waters at Epsom, England, -- whence the name; afterwards prepared from sea water; but now from certain minerals, as from siliceous hydrate of magnesia.
epsom salts |Sulphate of magnesia having cathartic qualities; -- originally prepared by boiling down the mineral waters at Epsom, England, -- whence the name; afterwards prepared from sea water; but now from certain minerals, as from siliceous hydrate of magnesia.
epsomite |Native sulphate of magnesia or Epsom salt.
epulary |Of or pertaining to a feast or banquet. [Obs.] Smart.
epulation |A feasting or feast; banquet. [Obs.] Sir T. Browne.
epulis |A hard tumor developed from the gums.
epulose |Feasting to excess. [Obs.]
epulosity |A feasting to excess. [Obs.]
epulotic |Promoting the skinning over or healing of sores; as, an epulotic ointment. -- n.  An epulotic agent.
epuration |Purification.
epure |A draught or model from which to build; especially, one of the full size of the work to be done; a detailed drawing.
epworth league |A religious organization of Methodist young people, founded in 1889 at Cleveland, Ohio, and taking its name from John Wesley's birthplace, Epworth, Lincolnshire, England.
equability |The quality or condition of being equable; evenness or uniformity; as, equability of temperature; the equability of the mind. For the celestial bodies, the equability and constancy of their motions argue them ordained by wisdom. Ray.
equable |1. Equal and uniform; continuing the same at different times; -- said of motion, and the like; uniform in surface; smooth; as, an equable plain or globe. 2. Uniform in action or intensity; not variable or changing; -- said of the feelings or temper.
equableness |Quality or state of being equable.
equably |In an equable manner.
equal |1. Agreeing in quantity, size, quality, degree, value, etc.; having the same magnitude, the same value, the same degree, etc.; -- applied to number, degree, quantity, and intensity, and to any subject which admits of them; neither inferior nor superior, greater nor less, better nor worse; corresponding; alike; as, equal quantities of land, water, etc. ; houses of equal size; persons of equal stature or talents; commodities of equal value. 2. Bearing a suitable relation; of just proportion; having competent power, abilities, or means; adequate; as, he is not equal to the task. The Scots trusted not their own numbers as equal to fight with the English. Clarendon. It is not permitted to me to make my commendations equal to your merit. Dryden. Whose voice an equal messenger Conveyed thy meaning mild. Emerson. 3. Not variable; equable; uniform; even; as, an equal movement. \"An equal temper.\" Dryden. 4. Evenly balanced; not unduly inclining to either side; characterized by fairness; unbiased; impartial; equitable; just. Are not my ways equal Ezek. xviii. 29. Thee, O Jove, no equal judge I deem. Spenser. Nor think it equal to answer deliberate reason with sudden heat and noise. Milton. 5. Of the same interest or concern; indifferent. They who are not disposed to receive them may let them alone or reject them; it is equal to me. Cheyne. 6. (Mus.)  Intended for voices of one kind only, either all male or all female; -- opposed to mixed. [R.] 7. (Math.)  Exactly agreeing with respect to quantity. Equal temperament. (Mus.) See Temperament. Syn. -- Even; equable; uniform; adequate; proportionate; commensurate; fair; just; equitable.\n\n1. One not inferior or superior to another; one having the same or a similar age, rank, station, office, talents, strength, or other quality or condition; an equal quantity or number; as, \"If equals be taken from equals the remainders are equal.\" Those who were once his equals envy and defame him. Addison. 2. State of being equal; equality. [Obs.] Spenser.\n\n1. To be or become equal to; to have the same quantity, the same value, the same degree or rank, or the like, with; to be commen On me whose all not equals Edward's moiety. Shak. 2. To make equal return to; to recompense fully. Who answered all her cares, and equaled all her love. Dryden. 3. To make equal or equal to; to equalize; hence, to compare or regard as equals; to put on equality. He would not equal the mind that he found in himself to the infinite and incomprehensible. Berkeley.
equalitarian |One who believes in equalizing the condition of men; a leveler.
equality |1. The condition or quality of being equal; agreement in quantity or degree as compared; likeness in bulk, value, rank, properties, etc.; as, the equality of two bodies in length or thickness; an equality of rights. A footing of equality with nobles. Macaulay. 2. Sameness in state or continued course; evenness; uniformity; as, an equality of temper or constitution. 3. Evenness; uniformity; as, an equality of surface. 4. (Math.)  Exact agreement between two expressions or magnitudes with respect to quantity; -- denoted by the symbol =; thus, a = x signifies that a contains the same number and kind of units of measure that x does. Confessional equality. See under Confessional.
equalization |The act of equalizing, or state of being equalized. Their equalization with the rest of their fellow subjects. Burke.
equalize |1. To make equal; to cause to correspond, or be like, in amount or degree as compared; as, to equalize accounts, burdens, or taxes. One poor moment can suffice To equalize the lofty and the low. Wordsworth. No system of instruction will completely equalize natural powers. Whately. 2. To pronounce equal; to compare as equal. Which we equalize, and perhaps would willingly prefer to the Iliad. Orrery. 3. To be equal to; equal; to match. [Obs.] It could not equalize the hundredth part Of what her eyes have kindled in my heart. Waller. Equalizing bar (Railroad Mach.), a lever connecting two axle boxes, or two springs in a car truck or locomotive, to equalize the pressure on the axles.
equalizer |One who, or that which, equalizes anything.
equally |In an equal manner or degree in equal shares or proportion; with equal and impartial justice; without difference; alike; evenly; justly; as, equally taxed, furnished, etc.
equalness |Equality; evenness. Shak.
equangular |Having equal angles; equiangular. [R.] Johnson.
equanimity |Evenness of mind; that calm temper or firmness of mind which is not easily elated or depressed; patience; calmness; composure; as, to bear misfortunes with equanimity.
equanimous |Of an even, composed frame of mind; of a steady temper; not easily elated or depressed. Bp. Gauden.
equant |A circle around whose circumference a planet or the center of ann epicycle was conceived to move uniformly; -- called also eccentric equator.
equate |To make equal; to reduce to an average; to make such an allowance or correction in as will reduce to a common standard of comparison; to reduce to mean time or motion; as, to equate payments; to equate lines of railroad for grades or curves; equated distances. Palgrave gives both scrolle and scrowe and equates both to F[rench] rolle. Skeat (Etymol. Dict. ). Equating for grades (Railroad Engin.), adding to the measured distance one mile for each twenty feet of ascent. -- Equating for curves, adding half a mile for each 360 degrees of curvature.
equation |1. A making equal; equal division; equality; equilibrium. Again the golden day resumed its right, And ruled in just equation with the night. Rowe. 2. (Math.)  An expression of the condition of equality between two algebraic quantities or sets of quantities, the sign = being placed between them; as, a binomial equation; a quadratic equation; an algebraic equation; a transcendental equation; an exponential equation; a logarithmic equation; a differential equation, etc. 3. (Astron.)  A quantity to be applied in computing the mean place or other element of a celestial body; that is, any one of the several quantities to be added to, or taken from, its position as calculated on the hypothesis of a mean uniform motion, in order to find its true position as resulting from its actual and unequal motion. Absolute equation. See under Absolute. -- Equation box, or Equational box, a system of differential gearing used in spinning machines for regulating the twist of the yarn. It resembles gearing used in equation clocks for showing apparent time. -- Equation of the center (Astron.), the difference between the place of a planet as supposed to move uniformly in a circle, and its place as moving in an ellipse. -- Equations of condition (Math.), equations formed for deducing the true values of certain quantities from others on which they depend, when different sets of the latter, as given by observation, would yield different values of the quantities sought, and the number of equations that may be found is greater than the number of unknown quantities. -- Equation of a curve (Math.), an equation which expresses the relation between the coördinates of every point in the curve. -- Equation of equinoxes (Astron.), the difference between the mean and apparent places of the equinox. -- Equation of payments (Arith.), the process of finding the mean time of payment of several sums due at different times. -- Equation of time (Astron.), the difference between mean and apparent time, or between the time of day indicated by the sun, and that by a perfect clock going uniformly all the year round. -- Equation clock or watch, a timepiece made to exhibit the differences between mean solar and apparent solar time. Knight. -- Normal equation. See under Normal. -- Personal equation (Astron.), the difference between an observed result and the true qualities or peculiarities in the observer; particularly the difference, in an average of a large number of observation, between the instant when an observer notes a phenomenon, as the transit of a star, and the assumed instant of its actual occurrence; or, relatively, the difference between these instants as noted by two observers. It is usually only a fraction of a second; -- sometimes applied loosely to differences of judgment or method occasioned by temperamental qualities of individuals. -- Theory of equations (Math.), the branch of algebra that treats of the properties of a single algebraic equation of any degree containing one unknown quantity.
equator |1. (Geog.)  The imaginary great circle on the earth's surface, everywhere equally distant from the two poles, and dividing the earth's surface into two hemispheres. 2. (Astron.)  The great circle of the celestial sphere, coincident with the plane of the earth's equator; -- so called because when the sun is in it, the days and nights are of equal length; hence called also the equinoctial, and on maps, globes, etc., the equinoctial line. Equator of the sun or of a planet (Astron.), the great circle whose plane passes through through the center of the body, and is perpendicular to its axis of revolution. -- Magnetic equator. See Aclinic.
equatorial |Of or pertaining to the equator; as, equatorial climates; also, pertaining to an equatorial instrument.\n\nAn instrument consisting of a telescope so mounted as to have two axes of motion at right angles to each other, one of them parallel to the axis of the earth, and each carrying a graduated circle, the one for measuring declination, and the other right ascension, or the hour angle, so that the telescope may be directed, even in the daytime, to any star or other object whose right ascension and declination are known. The motion in right ascension is sometimes communicated by clockwork, so as to keep the object constantly in the field of the telescope. Called also an equatorial telescope. Note: The term equatorial, or equatorial instrument, is sometimes applied to any astronomical instrument which has its principal axis of rotation parallel to the axis of the earth.
equatorially |So as to have motion or direction parallel to the equator.
equerry |1. A large stable or lodge for horses. Johnson. 2. An officer of princes or nobles, charged with the care of their horses. Note: In England equerries are officers of the royal household in the department of the Master of the Horse.
equery |Same as Equerry.
equestrian |1. Of or pertaining to horses or horsemen, or to horsemanship; as, equestrian feats, or games. 2. Being or riding on horseback; mounted; as, an equestrian statue. An equestrian lady appeared upon the plains. Spectator. 3. Belonging to, or composed of, the ancient Roman equities or knights; as, the equestrian order. Burke.\n\nOne who rides on horseback; a horseman; a rider.
equestrianism |The art of riding on horseback; performance on horseback; horsemanship; as, feats equestrianism.
equestrienne |A woman skilled in equestrianism; a horsewoman.
equi- |A prefix, meaning equally; as, equidistant; equiangular.
equiangled |Equiangular. [Obs.] Boyle.
equiangular |Having equal angles; as, an equiangular figure; a square is equiangular. Equiangular spiral. (Math.) See under Spiral, n. -- Mutually equiangular, applied to two figures, when every angle of the one has its equal among the angles of the other.
equibalance |Equal weight; equiponderance.\n\nTo make of equal weight; to balance equally; to counterbalance; to equiponderate.
equicrescent |Increasing by equal increments; as, an equicrescent variable.
equicrural |Having equal legs or sides; isosceles. [R.] \"Equicrural triangles.\" Sir T. Browne.
equicrure |Equicrural. [Obs.]
equidifferent |Having equal differences; as, the terms of arithmetical progression are equidifferent.
equidistance |Equal distance.
equidistant |Being at an equal distance from the same point or thing. -- E`qui*dis\"tant*ly, adv. Sir T. Browne.
equidiurnal |Pertaining to the time of equal day and night; -- applied to the equinoctial line. Whewell.
equiform |Having the same form; uniform. -- E`qui*for\"mi*ty, n. Sir T. Browne.
equilateral |Having all the sides equal; as, an equilateral triangle; an equilateral polygon. Equilateral hyperbola (Geom.), one whose axes are equal. -- Equilateral shell (Zoöl.), one in which a transverse line drawn through the apex of the umbo bisects the valve, or divides it into two equal and symmetrical parts. -- Mutually equilateral, applied to two figures, when every side of the one has its equal among the sides of the other.\n\nA side exactly corresponding, or equal, to others; also, a figure of equal sides.
equilibrate |To balance two scales, sides, or ends; to keep even with equal weight on each side; to keep in equipoise. H. Spenser.
equilibration |1. Act of keeping a balance, or state of being balanced; equipoise. In . . . running, leaping, and dancing, nature's laws of equilibration are observed. J. Denham. 2. (Biol.)  The process by which animal and vegetable organisms preserve a physiological balance. H. Spenser.
equilibrious |Evenly poised; balanced. Dr. H. More. -- E`qui*lib\"ri*ous*ly, adv.
equilibrist |One who balances himself in unnatural positions and hazardous movements; a balancer. When the equilibrist balances a rod upon his finger. Stewart.
equilibrity |The state of being balanced; equality of weight. [R.] J. Gregory.
equilibrium |1. Equality of weight or force; an equipoise or a state of rest produced by the mutual counteraction of two or more forces. 2. A level position; a just poise or balance in respect to an object, so that it remains firm; equipoise; as, to preserve the equilibrium of the body. Health consists in the equilibrium between those two powers. Arbuthnot. 3. A balancing of the mind between motives or reasons, with consequent indecision and doubt. Equilibrium valve (Steam Engine), a balanced valve. See under Valve.
equimomental |Having equal moments of inertia. Note: Two bodies or systems of bodies are said to be equimomental when their moments of inertia about all straight lines are equal each to each. Equimomental cone of a given rigid body, a conical surface that has any given vertex, and is described by a straight line which moves in such manner that the moment of inertia of the given rigid body about the line is in all its positions the same.
equimultiple |Multiplied by the same number or quantity.\n\nOne of the products arising from the multiplication of two or more quantities by the same number or quantity. Thus, seven times 2, or 14, and seven times 4, or 28, are equimultiples of 2 and 4.
equinal |See Equine. \"An equinal shape.\" Heywood.
equine |Of, pertaining to, or resembling, a horse. The shoulders, body, things, and mane are equine; the head completely bovine. Sir J. Barrow.
equinia |Glanders.
equinoctial |1. Pertaining to an equinox, or the equinoxes, or to the time of equal day and night; as, the equinoctial line. 2. Pertaining to the regions or climate of the equinoctial line or equator; in or near that line; as, equinoctial heat; an equinoctial sun. 3. Pertaining to the time when the sun enters the equinoctial points; as, an equinoctial gale or storm, that is, one happening at or near the time of the equinox, in any part of the world. Equinoctial colure (Astron.), the meridian passing through the equinoctial points. -- Equinoctial line (Astron.), the celestial equator; -- so called because when the sun is on it, the nights and days are of equal length in all parts of the world. See Equator. Thrice the equinoctial line He circled. Milton. - Equinoctial points (Astron.), the two points where the celestial and ecliptic intersect each other; the one being in the first point of Aries, the other in the first point of Libra. -- Equinoctial time (Astron.) reckoned in any year from the instant when the mean sun is at the mean vernal equinoctial point.\n\nThe equinoctial line.
equinoctially |Towards the equinox.
equinox |1. The time when the sun enters one of the equinoctial points, that is, about March 21 and September 22. See Autumnal equinox, Vernal equinox, under Autumnal and Vernal. When descends on the Atlantic The gigantic Stormwind of the equinox. Longfellow. 2. Equinoctial wind or storm. [R.] Dryden.
equinumerant |Equal as to number. [Obs.] Arbuthnot.
equip |1. To furnish for service, or against a need or exigency; to fit out; to supply with whatever is necessary to efficient action in any way; to provide with arms or an armament, stores, munitions, rigging, etc.; -- said esp. of ships and of troops. Dryden. Gave orders for equipping a considerable fleet. Ludlow. 2. To dress up; to array; accouter. The country are led astray in following the town, and equipped in a ridiculous habit, when they fancy themselves in the height of the mode. Addison.
equipage |1. Furniture or outfit, whether useful or ornamental; especially, the furniture and supplies of a vessel, fitting her for a voyage or for warlike purposes, or the furniture and necessaries of an army, a body of troops, or a single soldier, including whatever is necessary for efficient service; equipments; accouterments; habiliments; attire. Did their exercises on horseback with noble equipage. Evelyn. First strip off all her equipage of Pride. Pope. 2. Retinue; train; suite. Swift. 3. A carriage of state or of pleasure with all that accompanies it, as horses, liveried servants, etc., a showy turn-out. The rumbling equipages of fashion . . . were unknown in the settlement of New Amsterdam. W. Irving.
equipaged |Furnished with equipage. Well dressed, well bred. Well equipaged, is ticket good enough. Cowper.
equiparable |Comparable. [Obs. or R.]
equiparate |To compare. [R.]
equipedal |Equal-footed; having the pairs of feet equal.
equipendency |The act or condition of hanging in equipoise; not inclined or determined either way. South.
equipensate |To weigh equally; to esteem alike. [Obs.]
equipment |1. The act of equipping, or the state of being equipped, as for a voyage or expedition. Burke. The equipment of the fleet was hastened by De Witt. Hume. 2. Whatever is used in equipping; necessaries for an expedition or voyage; the collective designation for the articles comprising an outfit; equipage; as, a railroad equipment (locomotives, cars, etc. ; for carrying on business); horse equipments; infantry equipments; naval equipments; laboratory equipments. Armed and dight, In the equipments of a knight. Longfellow.
equipoise |1. Equality of weight or force; hence, equilibrium; a state in which the two ends or sides of a thing are balanced, and hence equal; state of being equally balanced; -- said of moral, political, or social interests or forces. The means of preserving the equipoise and the tranquillity of the commonwealth. Burke. Our little lives are kept in equipoise By opposite attractions and desires. Longfellow. 2. Counterpoise. The equipoise to the clergy being removed. Buckle.
equipollence |1. Equality of power, force, signification, or application. Boyle. 2. (Logic)  Sameness of signification of two or more propositions which differ in language.
equipollency |1. Equality of power, force, signification, or application. Boyle. 2. (Logic)  Sameness of signification of two or more propositions which differ in language.
equipollent |1. Having equal power or force; equivalent. Bacon. 2. (Logic)  Having equivalent signification and reach; expressing the same thing, but differently.
equipollently |With equal power. Barrow.
equiponderance |Equality of weight; equipoise.
equiponderancy |Equality of weight; equipoise.
equiponderant |Being of the same weight. A column of air . . . equiponderant to a column of quicksilver. Locke.
equiponderate |To be equal in weight; to weigh as much as another thing. Bp. Wilkins.\n\nTo make equal in weight; to counterbalance. \"More than equiponderated the declension in that direction.\" De Quincey.
equiponderous |Having equal weight. Bailey.
equipondious |Of equal weight on both sides; balanced. [Obs.] Glanvill.
equipotential |Having the same potential. Equipotential surface, a surface for which the potential is for all points of the surface constant. Level surfaces on the earth are equipotential.
equiradical |Equally radical. [R.] Coleridge.
equirotal |Having wheels of the same size or diameter; having equal rotation. [R.]
equisetaceous |Belonging to the Equisetaceæ, or Horsetail family.
equisetiform |Having the form of the equisetum.
equisetum |A genus of vascular, cryptogamic, herbaceous plants; -- also called horsetails. Note: The Equiseta have hollow jointed stems and no true leaves. The cuticle often contains siliceous granules, so that one species (E. hyemale) is used for scouring and polishing, under the name of Dutch rush or scouring rush.
equisonance |An equal sounding; the consonance of the unison and its octaves.
equisonant |Of the same or like sound.
equitable |1. Possessing or exhibiting equity; according to natural right or natural justice; marked by a due consideration for what is fair, unbiased, or impartial; just; as an equitable decision; an equitable distribution of an estate; equitable men. No two . . . had exactly the same notion of what was equitable. Macaulay. 2. (Law)  That can be sustained or made available or effective in a court of equity, or upon principles of equity jurisprudence; as, an equitable estate; equitable assets, assignment, mortgage, etc. Abbott. Syn. -- Just; fair; reasonable; right; honest; impartial; candid; upright.
equitableness |The quality of being equitable, just, or impartial; as, the equitableness of a judge, a decision, or distribution of property.
equitably |In an equitable manner; justly; as, the laws should be equitably administered.
equitancy |Horsemanship.
equitant |1. Mounted on, or sitting upon, a horse; riding on horseback. 2. (Bot.)  Overlapping each other; -- said of leaves whose bases are folded so as to overlap and bestride the leaves within or above them, as in the iris.
equitation |A riding, or the act of riding, on horseback; horsemanship. The pretender to equitation mounted. W. Irving.
equitemporaneous |Contemporaneous. [Obs.] Boyle.
equites |An order of knights holding a middle place between the senate and the commonalty; members of the Roman equestrian order.
equity |1. Equality of rights; natural justice or right; the giving, or desiring to give, to each man his due, according to reason, and the law of God to man; fairness in determination of conflicting claims; impartiality. Christianity secures both the private interests of men and the public peace, enforcing all justice and equity. Tillotson. 2. (Law)  An equitable claim; an equity of redemption; as, an equity to a settlement, or wife's equity, etc. I consider the wife's equity to be too well settled to be shaken. Kent. 3. (Law)  A system of jurisprudence, supplemental to law, properly so called, and complemental of it. Equity had been gradually shaping itself into a refined science which no human faculties could master without long and intense application. Macaulay. Note: Equitable jurisprudence in England and in the United States grew up from the inadequacy of common-law forms to secure justice in all cases; and this led to distinct courts by which equity was applied in the way of injunctions, bills of discovery, bills for specified performance, and other processes by which the merits of a case could be reached more summarily or more effectively than by common-law suits. By the recent English Judicature Act (1873), however, the English judges are bound to give effect, in common-law suits, to all equitable rights and remedies; and when the rules of equity and of common law, in any particular case, conflict, the rules of equity are to prevail. In many jurisdictions in the United States, equity and common law are thus blended; in others distinct equity tribunals are still maintained. See Chancery. Equity of redemption (Law), the advantage, allowed to a mortgageor, of a certain or reasonable time to redeem lands mortgaged, after they have been forfeited at law by the nonpayment of the sum of money due on the mortgage at the appointed time. Blackstone. Syn. -- Right; justice; impartiality; rectitude; fairness; honesty; uprightness. See Justice.
