oviposit |To lay or deposit eggs; -- said esp. of insects.\n\nTo deposit or lay (an egg).
ox |The male of bovine quadrupeds, especially the domestic animal when castrated and grown to its full size, or nearly so. The word is also applied, as a general name, to any species of bovine animals, male and female. All sheep and oxen, yea, and the beasts of the field. Ps. viii. 7. Note: The castrated male is called a steer until it attains its full growth, and then, an ox; but if castrated somewhat late in life, it is called a stag. The male, not castrated, is called a bull. These distinctions are well established in regard to domestic animals of this genus. When wild animals of this kind are spoken of, ox is often applied both to the male and the female. The name ox is never applied to the individual cow, or female, of the domestic kind. Oxen may comprehend both the male and the female. Grunting ox (Zoöl.), the yak. -- Indian ox (Zoöl.), the zebu. -- Javan ox (Zoöl.), the banteng. -- Musk ox. (Zoöl.) See under Musk. -- Ox bile. See Ox gall, below. -- Ox gall, the fresh gall of the domestic ox; -- used in the arts and in medicine. -- Ox pith, ox marrow. [Obs.] Marston. -- Ox ray (Zoöl.), a very large ray (Dicerobatis Giornæ) of Southern Europe. It has a hornlike organ projecting forward from each pectoral fin. It sometimes becomes twenty feet long and twenty-eight feet broad, and weighs over a ton. Called also sea devil. -- To have the black ox tread on one's foot, to be unfortunate; to know what sorrow is (because black oxen were sacrificed to Pluto). Leigh Hunt.
oxacid |See Oxyacid.
oxalan |A complex nitrogenous substance C3N3H5O3 obtained from alloxan (or when urea is fused with ethyl oxamate), as a stable white crystalline powder; -- called also oxaluramide.
oxalantin |A white crystalline nitrogenous substance (C6H4N4O5) obtained by the reduction of parabanic acid; -- called also leucoturic acid.
oxalate |A salt of oxalic acid.
oxaldehyde |Same as Glyoxal.
oxalethyline |A poisonous nitrogenous base (C6H10N2) obtained indirectly from oxamide as a thick transparent oil which has a strong narcotic odor, and a physiological action resembling that of atropine. It is probably related to pyridine.
oxalic |Pertaining to, derived from, or contained in, sorrel, or oxalis; specifically, designating an acid found in, and characteristic of, oxalis, and also certain plant of the Buckwheat family. Oxalic acid (Chem.), a dibasic acid, existing combined in oxalis as an acid potassium oxalate, and in many plant tissues as the calcium oxalate. It is prepared on a large scale, by the action of fused caustic soda or potash on sawdust, as a white crystalline substance, which has a strong acid taste, and is poisonous in large doses. It is used in dyeing, calico printing, bleaching flax and straw, the preparation of formic acid, and in salts of lemon for removing ink stains, mold, etc.
oxaline |See Glyoxaline.
oxalis |A genus of plants,mostly herbs, with acid-tasting trifoliolate or multifoliolate leaves; -- called also wood sorrel.
oxalite |A yellow mineral consisting of oxalate of iron.
oxaluramide |Same as Oxalan.
oxalurate |A salt of oxaluric acid.
oxaluric |Pertaining to, or designating, a complex nitrogenous acid related to the ureids, and obtained from parabanic acid as a white silky crystalline substance.
oxalyl |(a) A hydrocarbon radical (C2O2) regarded as a residue of oxalic acid and occurring in derivatives of it. (b) An old name for carbonyl. (c) An old name for carboxyl.
oxamate |A salt of oxamic acid.
oxamethane |Ethyl oxamate, obtained as a white scaly crystalline powder.
oxamethylane |Methyl oxamate, obtained as a pearly white crystalline substance.
oxamic |Pertaining to, or designating, an acid NH2.C2O2.HO obtained as a fine crystalline powder, intermediate between oxalic acid and oxamide. Its ammonium salt is obtained by boiling oxamide with ammonia.
oxamide |A white crystalline neutral substance (C2O2(NH2)2) obtained by treating ethyl oxalate with ammonia. It is the acid amide of oxalic acid. Formerly called also oxalamide.
oxamidine |One of a series of bases containing the amido and the isonitroso groups united to the same carbon atom.
oxanilamide |A white crystalline nitrogenous substance, obtained indirectly by the action of cyanogen on aniline, and regarded as an anilide of oxamic acid; -- called also phenyl oxamide.
oxanilate |A salt of oxanilic acid.
oxanilic |Pertaining to, or derived from, oxalic acid and aniline; -- used to designate an acid obtained in white crystalline scales by heating these substances together.
oxanilide |a white crystalline substance, resembling oxanilamide, obtained by heating aniline oxalate, and regarded as a double anilide of oxalic acid; -- called also diphenyl oxamide.
oxanillamide |A white crystalline nitrogenous substance, obtained indirectly by the action of cyanogen on aniline, and regarded as an anilide of oxamic acid; -- called also phenyl oxamide.
oxbane |A poisonous bulbous plant (Buphane toxicaria) of the Cape of Good Hope.
oxbird |(a) The dunlin. (b) The sanderling. (c) An African weaver bird (Textor alector).
oxbiter |The cow blackbird. [Local, U. S.]
oxbow |A frame of wood, bent into the shape of the letter U, and embracing an ox's neck as a kind of collar, the upper ends passing through the bar of the yoke; also, anything so shaped, as a bend in a river.
oxeye |1. (Bot.) (a) The oxeye daisy. See under Daisy. (b) The corn camomile (Anthemis arvensis). (c) A genus of composite plants (Buphthalmum) with large yellow flowers. 2. (Zoöl.) (a) A titmouse, especially the great titmouse (Parus major) and the blue titmouse (P. coeruleus). [Prov. Eng.] (b) The dunlin. (c) A fish; the bogue, or box. Creeping oxeye (Bot.) a West Indian composite plant (Wedelia carnosa). -- Seaside oxeye (Bot.), a West Indian composite shrub (Borrichia arborescens).
oxeyed |Having large, full eyes, like those of an ox. Burton.
oxfly |The gadfly of cattle.
oxford |Of or pertaining to the city or university of Oxford, England. Oxford movement. See Tractarianism. -- Oxford School, a name given to those members of the Church of England who adopted the theology of the so-called Oxford \"Tracts for the Times,\" issued the period 1833 -- 1841. Shipley. -- Oxford tie, a kind of shoe, laced on the instep, and usually covering the foot nearly to the ankle.
oxgang |See Bovate.
oxgoad |A goad for driving oxen.
oxhead |Literally, the head of an ox (emblem of cuckoldom); hence, a dolt; a blockhead. Dost make a mummer of me, oxhead Marston.
oxheal |Same as Bear's-foot.
oxheart |A large heart-shaped cherry, either black, red, or white.
oxhide |1. The skin of an ox, or leather made from it. 2. (O. Eng. Law)  A measure of land. See 3d Hide.
oxid |See Oxide.
oxidability |Capability of being converted into an oxide.
oxidable |Capable of being converted into an oxide.
oxidate |To oxidize. [Obs.]
oxidation |The act or process of oxidizing, or the state or result of being oxidized.
oxidator |1. An oxidizer. [Obs.] 2. A contrivance for causing a current of air to impinge on the flame of the Argand lamp; -- called also oxygenator.
oxide |A binary compound of oxygen with an atom or radical, or a compound which is regarded as binary; as, iron oxide, ethyl oxide, nitrogen oxide, etc. Note: In the chemical nomenclature adopted by Guyton de Morveau, Lavoisier,and their associates, the term oxides was made to include all compounds of oxygen which had no acid (F. acide) properties, as contrasted with the acid, all of which were at that time supposed to contain oxygen. The orthography oxyde, oxyd, etc., was afterwards introduced in ignorance or disregard of the true etymology, but these forms are now obsolete in English. The spelling oxid is not common.
oxidizable |Capable of being oxidized.
oxidize |To combine with oxygen, or subject to the action of oxygen, or of an oxidizing agent. Specifically: (a) To combine with oxygen or with more oxygen; to add oxygen to; as, to oxidize nitrous acid so as to form nitric acid. (b) To remove hydrogen from (anything), as by the action of oxygen; as, to oxidize alcohol so as to form aldehyde. (c) To subject to the action of oxygen or of an oxidizing agent, so as to bring to a higher grade, as an -ous compound to an -ic compound; as, to oxidize mercurous chloride to mercuric chloride. Note: In certain cases to oxidize is identical with to acidify; for, in nearly all cases, the more oxygen a substance contains the more nearly does it approximate to acid qualities; thus, by oxidation many elements, as sulphur, nitrogen, carbon, chromium, manganese, etc., pass into compounds which are acid anhydrides, and thus practically in the acid state.
oxidizement |Oxidation. [R.]
oxidizer |An agent employed in oxidation, or which facilitates or brings about combination with oxygen; as, nitric acid, chlorine, bromine, etc., are strong oxidizers.
oxidulated |Existing in the state of a protoxide; -- said of an oxide. [R.]
oxime |One of a series of isonitroso derivatives obtained by the action of hydroxylamine on aldehydes or ketones.
oxindol |A white crystalline nitrogenous substance (C8H7NO) of the indol group, obtained by the reduction of dioxindol. It is a so-called lactam compound.
oxiodic |Pertaining to, or designating, certain compounds of iodine and oxygen.
oxlike |Characteristic of, or like, an ox.
oxlip |The great cowslip (Primula veris, var. elatior).
oxonate |A salt of oxonic acid.
oxonian |Of or relating to the city or the university of Oxford, England. Macaulay.\n\nA student or graduate of Oxford University, in England.
oxonic |Pertaining to, or designating, a complex nitrogenous acid (C4H5N3O4) not known in the free state, but obtained, in combination with its salts, by a slow oxidation of uric acid, to which it is related.
oxpecker |An African bird of the genus Buphaga; the beefeater.
oxshoe |A shoe for oxen, consisting of a flat piece of iron nailed to the hoof.
oxter |The armpit; also, the arm. [Prov. Eng. & Scot.]
oxtongue |A name given to several plants, from the shape and roughness of their leaves; as, Anchusa officinalis, a kind of bugloss, and Helminthia echioides, both European herbs.
oxy- |A prefix, also used adjectively, designating: (a) A compound containing oxygen. (b) A compound containing the hydroxyl group, more properly designated by hydroxy-. See Hydroxy-. Oxy acid. See Oxyacid (below).
oxyacetic |Hydroxyacetic; designating an acid called also glycolic acid.
oxyacid |An acid containing oxygen, as chloric acid or sulphuric acid; - - contrasted with the hydracids, which contain no oxygen, as hydrochloric acid. See Acid, and Hydroxy-.
oxyammonia |Same as Hydroxylamine.
oxybenzene |Hydroxy benzene. Same as Phenol.
oxybenzoic |Hydroxybenzoic; pertaining to, or designating, any one of several hydroxyl derivatives of benzonic acid, of which the commonest is salicylic acid.
oxybromic |Pertaining to, or designating, certain compounds of oxygen and bromine.
oxybutyric |Hydroxybutyric; designating any one of a group of metameric acids (C3H6.OH.CO2H).
oxycalcium |Of or pertaining to oxygen and calcium; as, the oxycalcium light. See Drummond light.
oxycaproic |See Leucic.
oxychloric |(a) Of, pertaining to, or designating in general, certain compounds containing oxygen and chlorine. (b) Formerly designating an acid now called perchloric acid. See Perchloric.
oxychloride |A ternary compound of oxygen and chlorine; as, plumbic oxychloride.
oxycrate |A Mixture of water and vinegar. Wiseman.
oxycymene |Hydroxy cymene. Same as Carvacrol.
oxygenate |To unite, or cause to combine, with oxygen; to treat with oxygen; to oxidize; as, oxygenated water (hydrogen dioxide).
oxygenation |The act or process of combining or of treating with oxygen; oxidation.
oxygenator |An oxidizer.
oxygenic |Pertaining to, containing, or resembling, oxygen; producing oxygen.
oxygenium |The technical name of oxygen. [R.]
oxygenizable |Oxidizable.
oxygenize |To oxidize.
oxygenizement |Oxidation.
oxygenous |Oxygenic.
oxygon |A triangle having three acute angles.
oxygonal |Having acute angles. Barlow.
oxygonial |Having acute angles. Barlow.
oxyhaemacyanin |See Hæmacyanin.
oxyhaemocyanin |See Hæmacyanin.
oxyhaemoglobin |See Hemoglobin.
oxyhemoglobin |See Hemoglobin.
oxyhydrogen |Of or pertaining to a mixture of oxygen and hydrogen; as, oxyhydrogen gas. Oxyhydrogen blowpipe. (Chem.) See Blowpipe. -- Oxyhydrogen microscope, a form of microscope arranged so as to use the light produced by burning lime or limestone under a current of oxyhydrogen gas.
oxyhydrogen light |A light produced by the incandescence of some substances, esp. lime, in the oxyhydrogen flame. Coal gas (producing the oxygas light), or the vapor of ether (oxyether light) or methylated spirit (oxyspirit light), may be substituted for hydrogen.
oxymel |A mixture of honey, water, vinegar, and spice, boiled to a sirup. Sir T. Elyot.
oxymethylene |Formic aldehyde, regarded as a methylene derivative.
oxymoron |A figure in which an epithet of a contrary signification is added to a word; e. g., cruel kindness; laborious idleness.
oxymuriate |A salt of the supposed oxymuriatic acid; a chloride. Oxymuriate of lime, chloride of lime.
oxymuriatic |Pertaining to, or consisting of, oxygen and muriatic acid, that is, hydrochloric acid. [Archaic.] Oxymuriatic acid, chlorine, formerly so called on the supposition that it was a compound of oxygen and muriatic acid. [Obs.]
oxyneurine |See Betaine.
oxyntic |Acid; producing acid; -applied especially to certain glands and cells in the stomach.
oxyopia |Excessive acuteness of sight.
oxyopy |Excessive acuteness of sight.
oxyphenic |Pertaining to, or designating, the phenol formerly called oxyphenic acid, and now oxyphenol and pyrocatechin. See Pyrocatechin.
oxyphenol |A phenol, oxyphenic acid, and now pyrocatechin.
oxyphony |Acuteness or shrillness of voice.
oxyquinoline |Hydroxy quinoline; a phenol derivative of quinoline, -- called also carbostyril.
oxyrhyncha |The maioid crabs.
oxyrrhodine |A mixture of two parts of the oil of roses with one of the vinegar of roses. Floyer.
oxysalt |A salt of an oxyacid, as a sulphate.
oxysulphide |A ternary compound of oxygen and sulphur.
oxysulphuret |An oxysulphide. [Obsolescent]
oxytocic |Promoting uterine contractions, or parturition. -- n.  An oxytocic medicine or agent.
oxytoluene |One of three hydroxy derivatives of toluene, called the cresols. See Cresol.
oxytone |Having an acute sound; (Gr. Gram.), having an acute accent on the last syllable.\n\n1. An acute sound. 2. (Gr. Gram.)  A word having the acute accent on the last syllable.
oxytonical |Oxytone.
oyer |A hearing or an inspection, as of a deed, bond, etc., as when a defendant in court prays oyer of a writing. Blackstone. Oyer and terminer (Law), a term used in England in commissions directed to judges of assize about to hold court, directing them to hear and determine cases brought before them. In the U.S. the phrase is used to designate certain criminal courts.
oyez |Hear; attend; -- a term used by criers of courts to secure silence before making a proclamation. It is repeated three times. [Written also oyes.]
oylet |1. See Eyelet. 2. (Arch.)  Same as Oillet.
oynoun |Onion. [Obs.] Chaucer.
oyster |1. (Zoöl.)  Any marine bivalve mollusk of the genus Ostrea. They are usually found adhering to rocks or other fixed objects in shallow water along the seacoasts, or in brackish water in the mouth of rivers. The common European oyster (Ostrea edulis), and the American oyster (Ostrea Virginiana), are the most important species. 2. A name popularly given to the delicate morsel contained in a small cavity of the bone on each side of the lower part of the back of a fowl. Fresh-water oyster (Zoöl.), any species of the genus Etheria, and allied genera, found in rivers of Africa and South America. They are irregular in form, and attach themselves to rocks like oysters, but they have a pearly interior, and are allied to the fresh-water mussels. -- Oyster bed, a breeding place for oysters; a place in a tidal river or other water on or near the seashore, where oysters are deposited to grow and fatten for market. See lst Scalp, n. -- Oyster catcher (Zoöl.), any one of several species of wading birds of the genus Hæmatopus, which frequent seashores and feed upon shellfish. The European species (H. ostralegus), the common American species (H. palliatus), and the California, or black, oyster catcher (H. Bachmani) are the best known. -- Oyster crab (Zoöl.) a small crab (Pinnotheres ostreum) which lives as a commensal in the gill cavity of the oyster. -- Oyster dredge, a rake or small dragnet of bringing up oyster from the bottom of the sea. -- Oyster fish. (Zoöl.) (a) The tautog. (b) The toadfish. -- Oyster plant. (Bot.) (a) A plant of the genus Tragopogon (T. porrifolius), the root of which, when cooked, somewhat resembles the oyster in taste; salsify; -- called also vegetable oyster. (b) A plant found on the seacoast of Northern Europe, America and Asia (Mertensia maritima), the fresh leaves of which have a strong flavor of oysters. -- Oyster plover. (Zoöl.) Same as Oyster catcher, above. -- Oyster shell (Zoöl.), the shell of an oyster. -- Oyster wench, Oyster wife, Oyster women, a women who deals in oysters. -- Pearl oyster. (Zoöl.) See under Pearl. -- Thorny oyster (Zoöl.), any spiny marine shell of the genus Spondylus.
oyster-green |A green membranous seaweed (Ulva) often found growing on oysters but common on stones, piles, etc.
oystering |Gathering, or dredging for, oysters.
oysterling |A young oyster.
ozena |A discharge of fetid matter from the nostril, particularly if associated with ulceration of the soft parts and disease of the bones of the nose.
ozocerite |A waxlike mineral resin; -- sometimes called native paraffin, and mineral wax.
ozonation |The act of treating with ozone; also, the act of converting into, or producing, ozone; ozonization.
ozone |A colorless gaseous substance (O
ozone paper |Paper coated with starch and potassium iodine. It turns blue when exposed to ozone.>-- also called starch-iodide paper --> P.
ozonic |Pertaining to, resembling, or containing, ozone.
ozonification |The act or process of producing, or of subjecting to the action of, ozone.
ozonization |Ozonation.
ozonize |(a) To convert into ozone, as oxygen. (b) To treat with ozone.
ozonizer |An apparatus or agent for the production or application of ozone.
ozonometer |An instrument for ascertaining the amount of ozone in the atmosphere, or in any gaseous mixture. Faraday.
ozonometric |Pertaining to, or used for, the determination of the amount of ozone; of or relating to ozonometry.
ozonometry |The measurement or determination of the quantity of ozone.
ozonoscope |An apparatus employed to indicate the presence, or the amount, of ozone.
ozonoscopic |Serving to indicate the presence or the amount of ozone.
ozonous |Pertaining to or containing, ozone.
p |the sixteenth letter of the English alphabet, is a nonvocal consonant whose form and value come from the Latin, into which language the letter was brought, through the ancient Greek, from the Phonician, its probable origin being Egyptian. Etymologically P is most closely related to b, f, and v; as hobble, hopple; father, paternal; recipient, receive. See B, F, and M. See Guide to Pronunciation, §§ 247, 248, and 184-195.
pa |A shortened form of Papa.
paage |A toll for passage over another person's grounds. [Written also peage and pedage.]  Burke.
paard |The zebra. [S. Africa]
paas |The Easter festival. [Local, U. S.] Bartlett. Paas egg. See Easter egg, under Easter.\n\nPace [Obs.]  Chaucer
pabular |Of, pertaining to, or fit for, pabulum or food; affording food.
pabulation |1. The act of feeding, or providing food. [Obs.]  Cockeram. 2. Food; fodder; pabulum. [Obs.]
pabulous |Affording pabulum, or food; alimental. [R.]  Sir T. Browne.
pabulum |The means of nutriment to animals or plants; food; nourishment; hence, that which feeds or sustains, as fuel for a fire; that upon which the mind or soul is nourished; as, intellectual pabulum.
pac |A kind of moccasin, having the edges of the sole turned up and sewed to the upper. Knight.
paca |A small South American rodent (Cologenys paca), having blackish brown fur, with four parallel rows of white spots along its sides; the spotted cavy. It is nearly allied to the agouti and the Guinea pig.
pacable |Placable. [R.]  Coleridge.
pacane |A species of hickory. See Pecan.
pacate |Appeased; pacified; tranquil. [R.]
pacated |Pacified; pacate.
pacation |The act of pacifying; a peacemaking.  Coleridge.
pacer |One who, or that which, paces; especially, a horse that paces.
pachacamac |A divinity worshiped by the ancient Peruvians as the creator of the universe.
pachak |The fragrant roots of the Saussurea Costus, exported from India to China, and used for burning as incense. It is supposed to be the costus of the ancients. [Written also putchuck.]
pachalic |See Pashalic.
pachisi |A game adopted from the Indian game, using disks, as of pasteboard, and dice. [U. S. & Eng.]\n\nA game, somewhat resembling backgammon, originating in India.
pachometer |An instrument for measuring thickness, as of the glass of a mirror, or of paper; a pachymeter.
pachonta |A substance resembling gutta-percha, and used to adulterate it, obtained from the East Indian tree Isonandra acuminata.
pachuca tank |A high and narrow tank, with a central cylinder for the introduction of compressed air, used in the agitation and settling of pulp (pulverized ore and water) during treatment by the cyanide process; -- so named because, though originally devised in New Zealand, it was first practically introduced in Pachuca, Mexico.
pachy- |A combining form meaning thick; as, pachyderm, pachydactyl.
pachycarpous |Having the pericarp thick.
pachydactyl |A bird or other animal having thick toes.
pachydactylous |Having thick toes.
pachyderm |One of the Pachydermata.
pachydermal |Of or relating to the pachyderms; as, pachydermal dentition.
pachydermata |A group of hoofed mammals distinguished for the thickness of their skins, including the elephant, hippopotamus, rhinoceros, tapir, horse, and hog. It is now considered an artificial group.
pachydermatous |1. (Zoöl.) Of or pertaining to the pachyderms. 2. Thick-skinned; not sensitive to ridicule.
pachydermoid |Related to the pachyderms.
pachyglossal |Having a thick tongue; --applied to a group of lizards (Pachyglossæ), including the iguanas and agamas.
pachymeningitis |Inflammation of the dura mater or outer membrane of the brain.
pachymeter |Same as Pachometer.
pachyote |One of a family of bats, including those which have thick external ears.
pacifiable |Capable of being pacified or appeased; placable.
pacific |Of or pertaining to peace; suited to make or restore peace; of a peaceful character; not warlike; not quarrelsome; conciliatory; as, pacific words or acts; a pacific nature or condition. Pacific Ocean, the ocean between America and Asia, so called by Magellan, its first European navigator, on account of the exemption from violent tempests which he enjoyed while sailing over it; -- called also, simply, the Pacific, and, formerly, the South sea. Syn. -- Peacemaking; appeasing; conciliatory; tranquil; calm; quiet; peaceful; reconciling; mild; gentle.
pacificable |Placable. [R.]  Bp. Hall.
pacifical |Of or pertaining to peace; pacific. [R.] Sir H. Wotton. -- Pa*cif\"ic*al*ly, adv. [R.]
pacification |The act or process of pacifying, or of making peace between parties at variance; reconciliation. \"An embassy of pacification.\" Bacon.
pacificator |One who, or that which, pacifies; a peacemaker.  Bacon.
pacificatory |Tending to make peace; conciliatory.  Barrow.
pacifico |A peaceful person; -- applied specif. by the Spaniards to the natives in Cuba and the Philippine Islands who did not oppose the Spanish arms. While we were going through the woods one of the pacificos pointed to a new grave. Harper's Weekly.
pacifier |One who pacifies.
pacify |To make to be at peace; to appease; to calm; to still; to quiet; to allay the agitation, excitement, or resentment of; to tranquillize; as, to pacify a man when angry; to pacify pride, appetite, or importunity. \"Pray ye, pacify yourself.\" Shak. To pacify and settle those countries. Bacon.
pacinian |Of, pertaining to, or discovered by, Filippo Pacini, an Italian physician of the 19th century. Pacinian corpuscles, small oval bodies terminating some of the minute branches of the sensory nerves in the integument and other parts of the body. They are supposed to be tactile organs.
