blancmanger |A sort of fricassee with white sauce, variously made of capon, fish, etc. [Obs.] Chaucer.
blastema |The structureless, protoplasmic tissue of the embryo; the primitive basis of an organ yet unformed, from which it grows.
blastemal |Relating to the blastema; rudimentary.
blastematic |Connected with, or proceeding from, the blastema; blastemal.
blaster |One who, or that which, blasts or destroys.
blastide |A small, clear space in the segments of the ovum, the precursor of the nucleus.
blasting |1. A blast; destruction by a blast, or by some pernicious cause. I have smitten you with blasting and mildew. Amos iv. 9. 2. The act or process of one who, or that which, blasts; the business of one who blasts.
blastment |A sudden stroke or injury produced by some destructive cause. [Obs.] Shak.
blastocarpous |Germinating inside the pericarp, as the mangrove. Brande & C.
blastocoele |The cavity of the blastosphere, or segmentation cavity.
blastocyst |The germinal vesicle.
blastoderm |The germinal membrane in an ovum, from which the embryo is developed.
blastodermatic |Of or pertaining to the blastoderm.
blastodermic |Of or pertaining to the blastoderm.
blastogenesis |Multiplication or increase by gemmation or budding.
blastoid |One of the Blastoidea.
blastoidea |One of the divisions of Crinoidea found fossil in paleozoic rocks; pentremites. They are so named on account of their budlike form.
blastomere |One of the segments first formed by the division of the ovum. Balfour.
blastophoral |Relating to the blastophore.
blastophore |That portion of the spermatospore which is not converted into spermatoblasts, but carries them.
blastophoric |Relating to the blastophore.
blastopore |The pore or opening leading into the cavity of invagination, or archenteron. Note: [See Illust. of Invagination.] Balfour.
blastosphere |The hollow globe or sphere formed by the arrangement of the blastomeres on the periphery of an impregnated ovum. Note: [See Illust. of Invagination.]
blastostyle |In certain hydroids, an imperfect zooid, whose special function is to produce medusoid buds. See Hydroidea, and Athecata.
blastula |That stage in the development of the ovum in which the outer cells of the morula become more defined and form the blastoderm.
blastule |Same as Blastula.
blasty |1. Affected by blasts; gusty. 2. Causing blast or injury. [Obs.] Boyle.
blat |To cry, as a calf or sheep; to bleat; to make a senseless noise; to talk inconsiderately. [Low]\n\nTo utter inconsiderately. [Low] If I have anything on my mind, I have to blat it right out. W. D. Howells.
blatancy |Blatant quality.
blatant |Bellowing, as a calf; bawling; brawling; clamoring; disagreeably clamorous; sounding loudly and harshly. \"Harsh and blatant tone.\" R. H. Dana. A monster, which the blatant beast men call. Spenser. Glory, that blatant word, which haunts some military minds like the bray of the trumpet. W. Irving.
blatantly |In a blatant manner.
blather |To talk foolishly, or nonsensically.  G. Eliot.\n\nVoluble, foolish, or nonsensical talk; -- often in the pl. Hall Caine.
blatherskite |A blustering, talkative fellow. [Local slang, U. S.] Barllett.
blatter |To prate; to babble; to rail; to make a senseless noise; to patter. [Archaic] \"The rain blattered.\" Jeffrey. They procured . . . preachers to blatter against me, . . . so that they had place and time to belie me shamefully. Latimer.
blatteration |Blattering.
blatterer |One who blatters; a babbler; a noisy, blustering boaster.
blattering |Senseless babble or boasting.
blatteroon |A senseless babbler or boaster. [Obs.] \"I hate such blatteroons.\" Howell.
blaubok |The blue buck. See Blue buck, under Blue.
blay |A fish. See Bleak, n.
blaze |1. A stream of gas or vapor emitting light and heat in the process of combustion; a bright flame. \"To heaven the blaze uprolled.\" Croly. 2. Intense, direct light accompanied with heat; as, to seek shelter from the blaze of the sun. O dark, dark, dark, amid the blaze of noon! Milton. 3. A bursting out, or active display of any quality; an outburst; a brilliant display. \"Fierce blaze of riot.\" \"His blaze of wrath.\" Shak. For what is glory but the blaze of fame Milton. 4. [Cf. D. bles; akin to E. blaze light.]  A white spot on the forehead of a horse. 5. A spot made on trees by chipping off a piece of the bark, usually as a surveyor's mark. Three blazes in a perpendicular line on the same tree indicating a legislative road, the single blaze a settlement or neighborhood road. Carlton. In a blaze, on fire; burning with a flame; filled with, giving, or reflecting light; excited or exasperated. -- Like blazes, furiously; rapidly. [Low] \"The horses did along like blazes tear.\" Poem in Essex dialect. Note: In low language in the U. S., blazes is frequently used of something extreme or excessive, especially of something very bad; as, blue as blazes. Neal. Syn. -- Blaze, Flame. A blaze and a flame are both produced by burning gas. In blaze the idea of light rapidly evolved is prominent, with or without heat; as, the blaze of the sun or of a meteor. Flame includes a stronger notion of heat; as, he perished in the flames.\n\n1. To shine with flame; to glow with flame; as, the fire blazes. 2. To send forth or reflect glowing or brilliant light; to show a blaze. And far and wide the icy summit blazed. Wordsworth. 3. To be resplendent. Macaulay. To blaze away, to discharge a firearm, or to continue firing; -- said esp. of a number of persons, as a line of soldiers. Also used (fig.) of speech or action. [Colloq.]\n\n1. To mark (a tree) by chipping off a piece of the bark. I found my way by the blazed trees. Hoffman. 2. To designate by blazing; to mark out, as by blazed trees; as, to blaze a line or path. Champollion died in 1832, having done little more than blaze out the road to be traveled by others. Nott.\n\n1. To make public far and wide; to make known; to render conspicuous. On charitable lists he blazed his name. Pollok. To blaze those virtues which the good would hide. Pope. 2. (Her.)  To blazon. [Obs.] Peacham.
blazer |One who spreads reports or blazes matters abroad. \"Blazers of crime.\" Spenser.
blazing |Burning with a blaze; as, a blazing fire; blazing torches. Sir W. Scott. Blazing star. (a) A comet. [Obs.] (b) A brilliant center of attraction. (c) (Bot.) A name given to several plants; as, to Chamælirium luteum of the Lily family; Liatris squarrosa; and Aletris farinosa, called also colicroot and star grass.
blazon |1. A shield. [Obs.] 2. An heraldic shield; a coat of arms, or a bearing on a coat of arms; armorial bearings. Their blazon o'er his towers displayed. Sir W. Scott. 3. The art or act of describing or depicting heraldic bearings in the proper language or manner. Peacham. 4. Ostentatious display, either by words or other means; publication; show; description; record. Obtrude the blazon of their exploits upon the company. Collier. Thy tongue, thy face, thy limbs, actions, and spirit, Do give thee fivefold blazon. Shak.\n\n1. To depict in colors; to display; to exhibit conspicuously; to publish or make public far and wide. Thyself thou blazon'st. Shak. There pride sits blazoned on th' unmeaning brow. Trumbull. To blazon his own worthless name. Cowper. 2. To deck; to embellish; to adorn. She blazons in dread smiles her hideous form. Garth. 3. (Her.)  To describe in proper terms (the figures of heraldic devices); also, to delineate (armorial bearings); to emblazon. The coat of , arms, which I am not herald enough to blazon into English. Addison.\n\nTo shine; to be conspicuous. [R.]
blazoner |One who gives publicity, proclaims, or blazons; esp., one who blazons coats of arms; a herald. Burke.
blazonment |The act or blazoning; blazoning; emblazonment.
blazonry |1. Same as Blazon, 3. The principles of blazonry. Peacham. 2. A coat of arms; an armorial bearing or bearings. The blazonry of Argyle. Lord Dufferin. 3. Artistic representation or display.
blea |The part of a tree which lies immediately under the bark; the alburnum or sapwood.
bleaberry |See Blaeberry.
bleach |To make white, or whiter; to remove the color, or stains, from; to blanch; to whiten. The destruction of the coloring matters attached to the bodies to be bleached is effected either by the action of the air and light, of chlorine, or of sulphurous acid. Ure. Immortal liberty, whose look sublime Hath bleached the tyrant's cheek in every varying clime. Smollett.\n\nTo grow white or lose color; to whiten.
bleached |Whitened; make white. Let their bleached bones, and blood's unbleaching stain, Long mark the battlefield with hideous awe. Byron.
bleacher |One who whitens, or whose occupation is to whiten, by bleaching.
bleachery |A place or an establishment where bleaching is done.
bleaching |The act or process of whitening, by removing color or stains; esp. the process of whitening fabrics by chemical agents. Ure. Bleaching powder, a powder for bleaching, consisting of chloride of lime, or some other chemical or chemicals.
bleak |1. Without color; pale; pallid. [Obs.] When she came out she looked as pale and as bleak as one that were laid out dead. Foxe. 2. Desolate and exposed; swept by cold winds. Wastes too bleak to rear The common growth of earth, the foodful ear. Wordsworth. At daybreak, on the bleak sea beach. Longfellow. 3. Cold and cutting; cheerless; as, a bleak blast. -- Bleak\"ish, a. -- Bleak\"ly, adv. -- Bleak\"ness, n.\n\nA small European river fish (Leuciscus alburnus), of the family Cyprinidæ; the blay. [Written also blick.] Note: The silvery pigment lining the scales of the bleak is used in the manufacture of artificial pearls. Baird.
bleaky |Bleak. [Obs.] Dryden.
blear |1. Dim or sore with water or rheum; -- said of the eyes. His blear eyes ran in gutters to his chin. Dryden. 2. Causing or caused by dimness of sight; dim. Power to cheat the eye with blear illusion. Milton.\n\nTo make somewhat sore or watery, as the eyes; to dim, or blur, as the sight. Figuratively: To obscure (mental or moral perception); to blind; to hoodwink. That tickling rheums Should ever tease the lungs and blear the sight. Cowper. To blear the eye of, to deceive; to impose upon. [Obs.] Chaucer.
blear-eyed |1. Having sore eyes; having the eyes dim with rheum; dim-sighted. The blear-eyed Crispin. Drant. 2. Lacking in perception or penetration; short-sighted; as, a blear- eyed bigot.
bleared |Dimmed, as by a watery humor; affected with rheum. -- Blear\"ed*ness (, n. Dardanian wives, With bleared visages, come forth to view The issue of the exploit. Shak.
bleareye |A disease of the eyelids, consisting in chronic inflammation of the margins, with a gummy secretion of sebaceous matter. Dunglison.
bleareyedness |The state of being blear-eyed.
bleary |Somewhat blear.
bleat |To make the noise of, or one like that of, a sheep; to cry like a sheep or calf. Then suddenly was heard along the main, To low the ox, to bleat the woolly train. Pope The ewe that will not hear her lamb when it baas, will never answer a calf when he bleats. Shak.\n\nA plaintive cry of, or like that of, a sheep. The bleat of fleecy sheep. Chapman's Homer.
bleater |One who bleats; a sheep. In cold, stiff soils the bleaters oft complain Of gouty ails. Dyer.
bleating |Crying as a sheep does. Then came the shepherd back with his bleating flocks from the seaside. Longfellow.\n\nThe cry of, or as of, a sheep. Chapman.
bleb |A large vesicle or bulla, usually containing a serous fluid; a blister; a bubble, as in water, glass, etc. Arsenic abounds with air blebs. Kirwan.
blebby |Containing blebs, or characterized by blebs; as, blebby glass.
bleck |To blacken; also, to defile. [Obs. or Dial.] Wyclif.
bled |imp. & p. p. of Bleed.
blee |Complexion; color; hue; likeness; form. [Archaic] For him which is so bright of blee. Lament. of Mary Magd. That boy has a strong blee of his father. Forby.
bleed |1. To emit blood; to lose blood; to run with blood, by whatever means; as, the arm bleeds; the wound bled freely; to bleed at the nose. 2. To withdraw blood from the body; to let blood; as, Dr. A. bleeds in fevers. 3. To lose or shed one's blood, as in case of a violent death or severe wounds; to die by violence. \"Cæsar must bleed.\" Shak. The lamb thy riot dooms to bleed to-day. Pope. 4. To issue forth, or drop, as blood from an incision. For me the balm shall bleed. Pope. 5. To lose sap, gum, or juice; as, a tree or a vine bleeds when tapped or wounded. 6. To pay or lose money; to have money drawn or extorted; as, to bleed freely for a cause. [Colloq.] To make the heart bleed, to cause extreme pain, as from sympathy or pity.\n\n1. To let blood from; to take or draw blood from, as by opening a vein. 2. To lose, as blood; to emit or let drop, as sap. A decaying pine of stately size, bleeding amber. H. Miller. 3. To draw money from (one); to induce to pay; as, they bled him freely for this fund. [Colloq.]
bleeder |(a) One who, or that which, draws blood. (b) One in whom slight wounds give rise to profuse or uncontrollable bleeding.
bleeding |Emitting, or appearing to emit, blood or sap, etc.; also, expressing anguish or compassion.\n\nA running or issuing of blood, as from the nose or a wound; a hemorrhage; the operation of letting blood, as in surgery; a drawing or running of sap from a tree or plant.
blek |To blacken; also, to defile. [Obs. or Dial.] Wyclif.
blemish |1. To mark with deformity; to injure or impair, as anything which is well formed, or excellent; to mar, or make defective, either the body or mind. Sin is a soil which blemisheth the beauty of thy soul. Brathwait. 2. To tarnish, as reputation or character; to defame. There had nothing passed between us that might blemish reputation. Oldys.\n\nAny mark of deformity or injury, whether physical or moral; anything; that diminishes beauty, or renders imperfect that which is otherwise well formed; that which impairs reputation. He shall take two he lambs without blemish, and one ewe lamb of the first year without blemish. Lev. xiv. 10. The reliefs of an envious man are those little blemishes and imperfections that discover themselves in an illustrious character. Spectator. Syn. -- Spot; speck; flaw; deformity; stain; defect; fault; taint; reproach; dishonor; imputation; disgrace.
blemishless |Without blemish; spotless. A life in all so blemishless. Feltham.
blemishment |The state of being blemished; blemish; disgrace; damage; impairment. For dread of blame and honor's blemishment. Spenser.
blench |1. To shrink; to start back; to draw back, from lack of courage or resolution; to flinch; to quail. Blench not at thy chosen lot. Bryant. This painful, heroic task he undertook, and never blenched from its fulfillment. Jeffrey. 2. To fly off; to turn aside. [Obs.] Though sometimes you do blench from this to that. Shak.\n\n1. To baffle; to disconcert; to turn away; -- also, to obstruct; to hinder. [Obs.] Ye should have somewhat blenched him therewith, yet he might and would of likelihood have gone further. Sir T. More. 2. To draw back from; to deny from fear. [Obs.] He now blenched what before he affirmed. Evelyn.\n\nA looking aside or askance. [Obs.] These blenches gave my heart another youth. Shak.\n\nTo grow or make pale. Barbour.
blench holding |See Blanch holding.
blencher |1. One who, or that which, scares another; specifically, a person stationed to prevent the escape of the deer, at a hunt. See Blancher. [Obs.] 2. One who blenches, flinches, or shrinks back.
blend |1. To mix or mingle together; esp. to mingle, combine, or associate so that the separate things mixed, or the line of demarcation, can not be distinguished. Hence: To confuse; to confound. Blending the grand, the beautiful, the gay. Percival. 2. To pollute by mixture or association; to spoil or corrupt; to blot; to stain. [Obs.] Spenser. Syn. -- To commingle; combine; fuse; merge; amalgamate; harmonize.\n\nTo mingle; to mix; to unite intimately; to pass or shade insensibly into each other, as colors. There is a tone of solemn and sacred feeling that blends with our conviviality. Irving.\n\nA thorough mixture of one thing with another, as color, tint, etc., into another, so that it cannot be known where one ends or the other begins.\n\nTo make blind, literally or figuratively; to dazzle; to deceive. [Obs.] Chaucer.
blende |(a) A mineral, called also sphalerite, and by miners mock lead, false galena, and black-jack. It is a zinc sulphide, but often contains some iron. Its color is usually yellow, brown, or black, and its luster resinous. (b) A general term for some minerals, chiefly metallic sulphides which have a somewhat brilliant but nonmetallic luster.
blender |One who, or that which, blends; an instrument, as a brush, used in blending.
blending |1. The act of mingling. 2. (Paint.)  The method of laying on different tints so that they may mingle together while wet, and shade into each other insensibly. Weale.
blendous |Pertaining to, consisting of, or containing, blende.
blendwater |A distemper incident to cattle, in which their livers are affected. Crabb.
blenheim spaniel |A small variety of spaniel, kept as a pet.
blenk |To blink; to shine; to look. [Obs.]
blenniid |Of, pertaining to, or resembling, the blennies.
blennioid |Of, pertaining to, or resembling, the blennies.
blennogenous |Generating mucus.
blennorrhea |(a) An inordinate secretion and discharge of mucus. (b) Gonorrhea. Dunglison.
blenny |A marine fish of the genus Blennius or family Blenniidæ; -- so called from its coating of mucus. The species are numerous.
blent |Mingled; mixed; blended; also, polluted; stained. Rider and horse, friend, foe, in one red burial blent. Byron.\n\nBlinded. Also (Chaucer), 3d sing. pres. Blindeth. [Obs.]
blepharitis |Inflammation of the eyelids. -- Bleph`a*rit\"ic (#), a.
blesbok |A South African antelope (Alcelaphus albifrons), having a large white spot on the forehead.
bless |1. To make or pronounce holy; to consecrate And God blessed the seventh day, and sanctified it. Gen. ii. 3. 2. To make happy, blithesome, or joyous; to confer prosperity or happiness upon; to grant divine favor to. The quality of mercy is . . . twice blest; It blesseth him that gives and him that takes. Shak. It hath pleased thee to bless the house of thy servant, that it may continue forever before thee. 1 Chron. xvii. 27 (R. V. ) 3. To express a wish or prayer for the happiness of; to invoke a blessing upon; -- applied to persons. Bless them which persecute you. Rom. xii. 14. 4. To invoke or confer beneficial attributes or qualities upon; to invoke or confer a blessing on, -- as on food. Then he took the five loaves and the two fishes, and looking up to heaven, he blessed them. Luke ix. 16. 5. To make the sign of the cross upon; to cross (one's self). [Archaic] Holinshed. 6. To guard; to keep; to protect. [Obs.] 7. To praise, or glorify; to extol for excellences. Bless the Lord, O my soul: and all that is within me, bless his holy name. Ps. ciii. 1. 8. To esteem or account happy; to felicitate. The nations shall bless themselves in him. Jer. iv. 3. 9. To wave; to brandish. [Obs.] And burning blades about their heads do bless. Spenser. Round his armed head his trenchant blade he blest. Fairfax. Note: This is an old sense of the word, supposed by Johnson, Nares, and others, to have been derived from the old rite of blessing a field by directing the hands to all parts of it. \"In drawing [their bow] some fetch such a compass as though they would turn about and bless all the field.\" Ascham. Bless me! Bless us! an exclamation of surprise. Milton. -- To bless from, to secure, defend, or preserve from. \"Bless me from marrying a usurer.\" Shak. To bless the doors from nightly harm. Milton. -- To bless with, To be blessed with, to favor or endow with; to be favored or endowed with; as, God blesses us with health; we are blessed with happiness.
blessed |1. Hallowed; consecrated; worthy of blessing or adoration; heavenly; holy. O, run; prevent them with thy humble ode, And lay it lowly at his blessed feet. Milton. 2. Enjoying happiness or bliss; favored with blessings; happy; highly favored. All generations shall call me blessed. Luke i. 48. Towards England's blessed shore. Shak. 3. Imparting happiness or bliss; fraught with happiness; blissful; joyful. \"Then was a blessed time.\" \"So blessed a disposition.\" Shak. 4. Enjoying, or pertaining to, spiritual happiness, or heavenly felicity; as, the blessed in heaven. Reverenced like a blessed saint. Shak. Cast out from God and blessed vision. Milton. 5. (R. C. Ch.)  Beatified. 6. Used euphemistically, ironically, or intensively. Not a blessed man came to set her [a boat] free. R. D. Blackmore.
blessed thistle |See under Thistle.
blessedly |Happily; fortunately; joyfully. We shall blessedly meet again never to depart. Sir P. Sidney.
blessedness |The state of being blessed; happiness; felicity; bliss; heavenly joys; the favor of God. The assurance of a future blessedness. Tillotson. Single blessedness, the unmarried state. \"Grows, lives, and dies in single blessedness.\" Shak. Syn. -- Delight; beatitude; ecstasy. See Happiness.
blesser |One who blesses; one who bestows or invokes a blessing.
blessing |1. The act of one who blesses. 2. A declaration of divine favor, or an invocation imploring divine favor on some or something; a benediction; a wish of happiness pronounces. This is the blessing, where with Moses the man of God blessed the children of Israel. Deut. xxxiii. 1. 3. A means of happiness; that which promotes prosperity and welfare; a beneficent gift. Nature's full blessings would be well dispensed. Milton. 4. (Bib.)  A gift. [A Hebraism] Gen. xxxiii. 11. 5. Grateful praise or worship.
blest |Blessed. \"This patriarch blest.\" Milton. White these blest sounds my ravished ear assail. Trumbull.
blet |A form of decay in fruit which is overripe.
bletonism |The supposed faculty of perceiving subterraneous springs and currents by sensation; -- so called from one Bleton, of France.
bletting |A form of decay seen in fleshy, overripe fruit. Lindley.
blew |of Blow.
bleyme |An inflammation in the foot of a horse, between the sole and the bone. [Obs.]
bleynte |of Blench. [Obs.] Chaucer.
