perfix |To fix surely; to appoint. [Obs.]
perilous |1. Full of, attended with, or involving, peril; dangerous; hazardous; as, a perilous undertaking. Infamous hills, and sandy, perilous wilds. Milton. 2. Daring; reckless; dangerous. [Obs.] Latimer. For I am perilous with knife in hand. Chaucer. -- Per\"il*ous*ly, adv. -- Per\"il*ous*ness, n.
perilymph |The fluid which surrounds the membranous labyrinth of the internal ear, and separates it from the walls of the chambers in which the labyrinth lies.
perilymphangial |Around, or at the side of, a lymphatic vessel.
perilymphatic |(a) Pertaining to, or containing, perilymph. (b) Perilymphangial.
perimeter |1. (Geom.)  The outer boundary of a body or figure, or the sum of all the sides. 2. An instrument for determining the extent and shape of the field of vision.
perimetric |Of or pertaining to the perimeter, or to perimetry; as, a perimetric chart of the eye.
perimetrical |Of or pertaining to the perimeter, or to perimetry; as, a perimetric chart of the eye.
perimetry |The art of using the perimeter; measurement of the field of vision.
perimorph |A crystal of one species inclosing one of another species. See Endomorph.
perimysial |(a) Surrounding a muscle or muscles. (b) Of or pertaining to the perimysium.
perimysium |The connective tissue sheath which surrounds a muscle, and sends partitions inwards between the bundles of muscular fibers.
perinaeum |See Perineum.
perineal |Of or pertaining to the perineum.
perineoplasty |The act or process of restoring an injured perineum.
perineorrhaphy |The operation of sewing up a ruptured perineum.
perinephritis |Inflammation of the cellular tissue around the kidney. -- Per`i*ne*phrit\"ic, a.
perineum |The region which is included within the outlet of the pelvis, and is traversed by the urinogenital canal and the rectum.
perineurial |Surrounding nerves or nerve fibers; of or pertaining to the perineurium.
perineurium |The connective tissue sheath which surrounds a bundle of nerve fibers. See Epineurium, and Neurilemma.
perinuclear |Of or pertaining to a nucleus; situated around a nucleus; as, the perinuclear protoplasm.
period |1. A portion of time as limited and determined by some recurring phenomenon, as by the completion of a revolution of one of the heavenly bodies; a division of time, as a series of years, months, or days, in which something is completed, and ready to recommence and go on in the same order; as, the period of the sun, or the earth, or a comet. 2. Hence: A stated and recurring interval of time; more generally, an interval of time specified or left indefinite; a certain series of years, months, days, or the like; a time; a cycle; an age; an epoch; as, the period of the Roman republic. How by art to make plants more lasting than their ordinary period. Bacon. 3. (Geol.)  One of the great divisions of geological time; as, the Tertiary period; the Glacial period. See the Chart of Geology. 4. The termination or completion of a revolution, cycle, series of events, single event, or act; hence, a limit; a bound; an end; a conclusion. Bacon. So spake the archangel Michael; then paused, As at the world's great period. Milton. Evils which shall never end till eternity hath a period. Jer. Taylor. This is the period of my ambition. Shak. 5. (Rhet.)  A complete sentence, from one full stop to another; esp., a well-proportioned, harmonious sentence. \"Devolved his rounded periods.\" Tennyson. Periods are beautiful when they are not too long. B. Johnson. Note: The period, according to Heyse, is a compound sentence consisting of a protasis and apodosis; according to Becker, it is the appropriate form for the coördinate propositions related by antithesis or causality. Gibbs. 6. (Print.)  The punctuation point [.] that marks the end of a complete sentence, or of an abbreviated word. 7. (Math.)  One of several similar sets of figures or terms usually marked by points or commas placed at regular intervals, as in numeration, in the extraction of roots, and in circulating decimals. 8. (Med.)  The time of the exacerbation and remission of a disease, or of the paroxysm and intermission. 9. (Mus.)  A complete musical sentence. The period, the present or current time, as distinguished from all other times. Syn. -- Time; date; epoch; era; age; duration; limit; bound; end; conclusion; determination.\n\nTo put an end to. [Obs.] Shak.\n\nTo come to a period; to conclude. [Obs.] \"You may period upon this, that,\" etc. Felthman.
periodate |A salt of periodic acid.
periodic |Pertaining to, derived from, or designating, the highest oxygen acid (HIO\n\n1. Of or pertaining to a period or periods, or to division by periods. The periodicaltimes of all the satellites. Sir J. Herschel. 2. Performed in a period, or regular revolution; proceeding in a series of successive circuits; as, the periodical motion of the planets round the sun. 3. Happening, by revolution, at a stated time; returning regularly, after a certain period of time; acting, happening, or appearing, at fixed intervals; recurring; as, periodical epidemics. The periodic return of a plant's flowering. Henslow. To influence opinion through the periodical press. Courthope. 4. (Rhet.)  Of or pertaining to a period; constituting a complete sentence. Periodic comet (Astron.), a comet that moves about the sun in an elliptic orbit; a comet that has been seen at two of its approaches to the sun. -- Periodic function (Math.), a function whose values recur at fixed intervals as the variable uniformly increases. The trigonomertic functions, as sin x, tan x, etc., are periodic functions. Exponential functions are also periodic, having an imaginary period, and the elliptic functions have not only a real but an imaginary period, and are hence called doubly periodic. -- Periodic law (Chem.), the generalization that the properties of the chemical elements are periodic functions of their atomic wieghts. \"In other words, if the elements are grouped in the order of their atomic weights, it will be found that nearly the same properties recur periodically throughout the entire series.\" The following tabular arrangement of the atomic weights shows the regular recurrence of groups (under I., II., III., IV., etc.), each consisting of members of the same natural family. The gaps in the table indicate the probable existence of unknown elements. TABLE OF THE PERIODIC LAW OF THE CHEMICAL ELEMENTS (The vertical columns contain the periodic groups) Series1{ 2{ 3{ 4{ 5{ 6{ 7{ 8{ 9{ 10{ 11{ 12{ --------------------------------------------------------- -----|I. II. III. IV. V. VI. VII. VIII. | RH4 RH3 RH3 RH |R2O RO R3O3 RO2 R2O5 RO3 R2O7 RO4 ----------------------------------------------- ---------------H 1 Li 7 Na 23 K 39 (Cu) 63 Rb 85.2 (Ag) (108) Cs 133 (-) (-) (Au) (197) (-) ----------------------------------------------
periodical |1. Of or pertaining to a period or periods, or to division by periods. The periodicaltimes of all the satellites. Sir J. Herschel. 2. Performed in a period, or regular revolution; proceeding in a series of successive circuits; as, the periodical motion of the planets round the sun. 3. Happening, by revolution, at a stated time; returning regularly, after a certain period of time; acting, happening, or appearing, at fixed intervals; recurring; as, periodical epidemics. The periodic return of a plant's flowering. Henslow. To influence opinion through the periodical press. Courthope. 4. (Rhet.)  Of or pertaining to a period; constituting a complete sentence. Periodic comet (Astron.), a comet that moves about the sun in an elliptic orbit; a comet that has been seen at two of its approaches to the sun. -- Periodic function (Math.), a function whose values recur at fixed intervals as the variable uniformly increases. The trigonomertic functions, as sin x, tan x, etc., are periodic functions. Exponential functions are also periodic, having an imaginary period, and the elliptic functions have not only a real but an imaginary period, and are hence called doubly periodic. -- Periodic law (Chem.), the generalization that the properties of the chemical elements are periodic functions of their atomic wieghts. \"In other words, if the elements are grouped in the order of their atomic weights, it will be found that nearly the same properties recur periodically throughout the entire series.\" The following tabular arrangement of the atomic weights shows the regular recurrence of groups (under I., II., III., IV., etc.), each consisting of members of the same natural family. The gaps in the table indicate the probable existence of unknown elements. TABLE OF THE PERIODIC LAW OF THE CHEMICAL ELEMENTS (The vertical columns contain the periodic groups) Series1{ 2{ 3{ 4{ 5{ 6{ 7{ 8{ 9{ 10{ 11{ 12{ --------------------------------------------------------- -----|I. II. III. IV. V. VI. VII. VIII. | RH4 RH3 RH3 RH |R2O RO R3O3 RO2 R2O5 RO3 R2O7 RO4 ----------------------------------------------- ---------------H 1 Li 7 Na 23 K 39 (Cu) 63 Rb 85.2 (Ag) (108) Cs 133 (-) (-) (Au) (197) (-) ----------------------------------------------\n\nA magazine or other publication which appears at stated or regular intervals.
periodicalist |One who publishes, or writes for, a periodical.
periodically |In a periodical manner.
periodicalness |Periodicity.
periodicity |The quality or state of being periodical, or regularly recurrent; as, the periodicity in the vital phenomena of plants. Henfrey.
periodide |An iodide containing a higher proportion of iodine than any other iodide of the same substance or series.
periodontal |Surrounding the teeth.
periodoscope |A table or other means for calculating the periodical functions of women. Dunglison.
perioeci |Those who live on the same parallel of latitude but on opposite meridians, so that it is noon in one place when it is midnight in the other. Compare Antoeci.
perioecians |Those who live on the same parallel of latitude but on opposite meridians, so that it is noon in one place when it is midnight in the other. Compare Antoeci.
periople |The external smooth horny layer of the hoof of the horse and allied animals.
perioplic |Of or pertaining to the periople; connected with the periople.
periosteal |Situated around bone; of or pertaining to the periosteum.
periosteum |The membrane of fibrous connective tissue which closely invests all bones except at the articular surfaces.
periostitis |Inflammation of the periosteum.
periostracum |A chitinous membrane covering the exterior of many shells; -- called also epidermis.
periotic |Surrounding, or pertaining to the region surrounding, the internal ear; as, the periotic capsule. -- n.  A periotic bone.
peripatecian |A peripatetic. [Obs.]
peripatetic |1. Walking about; itinerant. 2. Of or pertaining to the philosophy taught by Aristotle (who gave his instructions while walking in the Lyceum at Athens), or to his followers. \"The true peripatetic school.\" Howell.\n\n1. One who walks about; a pedestrian; an itinerant. Tatler. 2. A disciple of Aristotle; an Aristotelian.
peripatetical |Peripatetic. [R.] Hales.
peripateticism |The doctrines or philosophical system of the peripatetics. See Peripatetic, n., 2. Lond. Sat. Rev.
peripatus |A genus of lowly organized arthropods, found in South Africa, Australia, and tropical America. It constitutes the order Malacopoda.
peripetalous |Surrounding, or situated about, the petals.
peripheral |1. Of or pertaining to a periphery; constituting a periphery; peripheric. 2. (Anat.)  External; away from the center; as, the peripheral portion of the nervous system.
peripheric |See Peripheral.
peripherical |See Peripheral.
periphery |1. The outside or superficial portions of a body; the surface. 2. (Geom.)  The circumference of a circle, ellipse, or other figure.
periphrase |The use of more words than are necessary to express the idea; a roundabout, or indirect, way of speaking; circumlocution. \"To describe by enigmatic periphrases.\" De Quincey.\n\nTo express by periphrase or circumlocution.\n\nTo use circumlocution.
periphrasis |See Periphrase.
periphrastic |Expressing, or expressed, in more words than are necessary; characterized by periphrase; circumlocutory. Periphrastic conjugation (Gram.), a conjugation formed by the use of the simple verb with one or more auxiliaries.
periphrastical |Expressing, or expressed, in more words than are necessary; characterized by periphrase; circumlocutory. Periphrastic conjugation (Gram.), a conjugation formed by the use of the simple verb with one or more auxiliaries.
periphrastically |With circumlocution.
periplast |Same as Periblast. -- Per`i*plas\"tic, a. Huxley.
peripneumonia |Pneumonia. (Obsoles.)
peripneumonic |Of or pertaining to peripneumonia.
peripneumony |Pneumonia. (Obsoles.)
periproct |The region surrounding the anus, particularly of echinoderms.
periproctitis |Inflammation of the tissues about the rectum.
peripteral |Having columns on all sides; -- said of an edifice. See Apteral.
peripterous |1. (Arch.)  Peripteral. 2. (Zoöl.)  Feathered all around.
periptery |The region surrounding a moving body, such as the wing of a bird or a gliding aëroplane, within which cyclic or vortical motion of the air occur.
perique |A kind of tobacco with medium-sized leaf, small stem, tough and gummy fiber, raised in Louisiana, and cured in its own juices, so as to be very dark colored, usually black. It is marketed in tightly wrapped rolls called carottes.
perisarc |The outer, hardened integument which covers most hydroids.
periscian |Having the shadow moving all around.
periscians |Those who live within a polar circle, whose shadows, during some summer days, will move entirely round, falling toward every point of the compass.
periscii |Those who live within a polar circle, whose shadows, during some summer days, will move entirely round, falling toward every point of the compass.
periscope |A general or comprehensive view. [R.]
periscopic |Viewing all around, or on all sides. Periscopic spectacles (Opt.), spectacles having concavo-convex or convexo-concave lenses with a considerable curvature corresponding to that of the eye, to increase the distinctness of objects viewed obliquely.
perish |To be destroyed; to pass away; to become nothing; to be lost; to die; hence, to wither; to waste away. I perish with hunger! Luke xv. 17. Grow up and perish, as the summer fly. Milton. The thoughts of a soul that perish in thinking. Locke.\n\nTo cause perish. [Obs.] Bacon.
perishability |Perishableness.
perishable |Liable to perish; subject to decay, destruction, or death; as, perishable goods; our perishable bodies.
perishableness |The quality or state of being perishable; liability to decay or destruction. Locke.
perishably |In a perishable degree or manner.
perishment |The act of perishing. [R.] Udall.
perisoma |Same as Perisome.
perisome |The entire covering of an invertebrate animal, as echinoderm or coelenterate; the integument.
perisperm |The albumen of a seed, especially that portion which is formed outside of the embryo sac. -- Per`i*sper\"mic, a.
perispheric |Exactly spherical; globular.
perispherical |Exactly spherical; globular.
perispomenon |A word which has the circumflex accent on the last syllable. Goodwin.
perispore |The outer covering of a spore.
perissad |Odd; not even; -- said of elementary substances and of radicals whose valence is not divisible by two without a remainder. Contrasted with artiad.
perisse |To perish. [Obs.] Chaucer.
perissodactyl |One of the Perissodactyla.
perissodactyla |A division of ungulate mammals, including those that have an odd number of toes, as the horse, tapir, and rhinoceros; -- opposed to Artiodactyla.
perissological |Redundant or excessive in words. [R.]
perissology |Superfluity of words. [R.] G. Campbell.
peristalsis |Peristaltic contraction or action.
peristaltic |Applied to the peculiar wormlike wave motion of the intestines and other similar structures, produced by the successive contraction of the muscular fibers of their walls, forcing their contents onwards; as, peristaltic movement. -- Per`i*stal\"tic*al*ly, adv.
peristeria |A genus of orchidaceous plants. See Dove plant.
peristerion |The herb vervain (Verbena officinalis).
peristerite |A variety of albite, whitish and slightly iridescent like a pigeon's neck.
peristeromorphous |Like or pertaining to the pigeons or Columbæ.
peristeropodous |Having pigeonlike feet; -- said of those gallinaceous birds that rest on all four toes, as the curassows and megapods.
peristole |Peristaltic action, especially of the intestines.
peristoma |Same as Peristome.
peristome |1. (Bot.)  The fringe of teeth around the orifice of the capsule of mosses. It consists of 4, 8, 16, 32, or 64 teeth, and may be either single or double. 2. (Zoöl.) (a) The lip, or edge of the aperture, of a spiral shell. (b) The membrane surrounding the mouth of an invertebrate animal.
peristomial |Of or pertaining to a peristome.
peristomium |Same as Peristome.
peristrephic |Turning around; rotatory; revolving; as, a peristrephic painting (of a panorama).
peristyle |A range of columns with their entablature, etc.; specifically, a complete system of columns, whether on all sides of a court, or surrounding a building, such as the cella of a temple. Used in the former sense, it gives name to the larger and inner court of a Roman dwelling, the peristyle. See Colonnade.
perisystole |The interval between the diastole and systole of the heart. It is perceptible only in the dying.
perite |Skilled. [Obs.]
perithecium |An organ in certain fungi and lichens, surrounding and enveloping the masses of fructification. Henslow.
peritomous |Cleaving in more directions than one, parallel to the axis.
peritonaeum |Same as Peritoneum.
peritoneal |Of or pertaining to the peritoneum.
peritoneum |The smooth serous membrane which lines the cavity of the abdomen, or the whole body cavity when there is no diaphragm, and, turning back, surrounds the viscera, forming a closed, or nearly closed, sac. [Written also peritonæum.]
peritonitis |Inflammation of the peritoneum.
peritracheal |Surrounding the tracheæ.
peritreme |(a) That part of the integument of an insect which surrounds the spiracles. (b) The edge of the aperture of a univalve shell.
peritricha |A division of ciliated Infusoria having a circle of cilia around the oral disk and sometimes another around the body. It includes the vorticellas. See Vorticella.
peritrochium |The wheel which, together with the axle, forms the axis in peritrochio, which see under Axis.
peritropal |1. Rotatory; circuitous. [R.] 2. Having the axis of the seed perpendicular to the axis of the pericarp to which it is attached.
peritropous |Peritropal.
perityphlitis |Inflammation of the connective tissue about the cæcum.
periuterine |Surrounding the uterus.
perivascular |Around the blood vessels; as, perivascular lymphatics.
perivertebral |Surrounding the vertebræ.
perivisceral |Around the viscera; as, the perivisceral cavity.
perivitelline |Situated around the vitellus, or between the vitellus and zona pellucida of an ovum.
periwig |A headdress of false hair, usually covering the whole head, and representing the natural hair; a wig. Shak.\n\nTo dress with a periwig, or with false hair. Swift.
periwinkle |Any small marine gastropod shell of the genus Littorina. The common European species (Littorina littorea), in Europe extensively used as food, has recently become naturalized abundantly on the American coast. See Littorina. Note: In America the name is often applied to several large univalves, as Fulgur carica, and F. canaliculata.\n\nA trailing herb of the genus Vinca. Note: The common perwinkle (Vinca minor) has opposite evergreen leaves and solitary blue or white flowers in their axils. In America it is often miscalled myrtle. See under Myrtle.
perjenet |A kind of pear. [Obs.] Chaucer.
perjure |1. To cause to violate an oath or a vow; to cause to make oath knowingly to what is untrue; to make guilty of perjury; to forswear; to corrupt; -- often used reflexively; as, he perjured himself. Want will perjure The ne'er-touched vestal. Shak. 2. To make a false oath to; to deceive by oaths and protestations. [Obs.] And with a virgin innocence did pray For me, that perjured her. J. Fletcher. Syn. -- To Perjure, Forswear. These words have been used interchangeably; but there is a tendency to restrict perjure to that species of forswearing which constitutes the crime of perjury at law, namely, the willful violation of an oath administered by a magistrate or according to law.\n\nA perjured person. [Obs.] Shak.
perjured |Guilty of perjury; having sworn falsely; forsworn. Shak. \"Perjured persons.\" 1 Tim. i. 10. \"Their perjured oath.\" Spenser.
perjurer |One who is guilty of perjury; one who perjures or forswears, in any sense.
perjurious |Guilty of perjury; containing perjury. [Obs.] Quarles. B. Johnson.
perjurous |Guilty of perjury; containing perjury. [Obs.] Quarles. B. Johnson.
perjury |1. False swearing. 2. (Law)  At common law, a willfully false statement in a fact material to the issue, made by a witness under oath in a competent judicial proceeding. By statute the penalties of perjury are imposed on the making of willfully false affirmations. Note: If a man swear falsely in nonjudicial affidavits, it is made perjury by statute in some jurisdictions in the United States.
perk |To make trim or smart; to straighten up; to erect; to make a jaunty or saucy display of; as, to perk the ears; to perk up one's head. Cowper. Sherburne.\n\nTo exalt one's self; to bear one's self loftily. \"To perk over them.\" Barrow. To perk it, to carry one's self proudly or saucily. Pope.\n\nSmart; trim; spruce; jaunty; vain. \"Perk as a peacock.\" Spenser.\n\nTo peer; to look inquisitively. Dickens.
perkin |A kind of weak perry.
perkinism |A remedial treatment, by drawing the pointed extremities of two rods, each of a different metal, over the affected part; tractoration, -- first employed by Dr. Elisha Perkins of Norwich, Conn. See Metallotherapy.
perky |Perk; pert; jaunty; trim. There amid perky larches and pines. Tennyson.
perlaceous |Pearly; resembling pearl.
perlid |Any insect of the genus Perla, or family Perlidæ. See Stone fly, under Stone.
perlite |Same as Pearlite.
perlitic |Relating to or resembling perlite, or pearlstone; as, the perlitic structure of certain rocks. See Pearlite.
perlous |Perilous. [Obs.] Spenser.
perlustration |The act of viewing all over. [Archaic] Howell.
permanable |Permanent; durable. [Obs.] Lydgate.
permanence |The quality or state of being permanent; continuance in the same state or place; duration; fixedness; as, the permanence of institutions; the permanence of nature.
permanency |The quality or state of being permanent; continuance in the same state or place; duration; fixedness; as, the permanence of institutions; the permanence of nature.
permanent |Continuing in the same state, or without any change that destroys form or character; remaining unaltered or unremoved; abiding; durable; fixed; stable; lasting; as, a permanent impression. Eternity stands permanent and fixed. Dryden. Permanent gases (Chem. & Physics), hydrogen, oxygen, nitrogen, and carbon monoxide; -- also called incondensible or incoercible gases, before their liquefaction in 1877. -- Permanent way, the roadbed and superstructure of a finished railway; -- so called in distinction from the contractor's temporary way. -- Permanent white (Chem.), barium sulphate (heavy spar), used as a white pigment or paint, in distinction from white lead, which tarnishes and darkens from the formation of the sulphide. Syn. -- Lasting; durable; constant. See Lasting.
permanently |In a permanent manner.
