terebrant |Boring, or adapted for boring; -- said of certain Hymenoptera, as the sawflies.
tergiversation |1. The act of tergiversating; a shifting; shift; subterfuge; evasion. Writing is to be preferred before verbal conferences, as being freer from passions and tergiversations. Abp. Bramhall. 2. Fickleness of conduct; inconstancy; change. The colonel, after all his tergiversations, lost his life in the king's service. Clarendon.
tergiversator |One who tergiversates; one who suffles, or practices evasion.
tergum |(a) The back of an animal. (b) The dorsal piece of a somite of an articulate animal. (c) One of the dorsal plates of the operculum of a cirriped.
terin |A small yellow singing bird, with an ash-colored head; the European siskin. Called also tarin.
term |1. That which limits the extent of anything; limit; extremity; bound; boundary. Corruption is a reciprocal to generation, and they two are as nature's two terms, or boundaries. Bacon. 2. The time for which anything lasts; any limited time; as, a term of five years; the term of life. 3. In universities, schools, etc., a definite continuous period during which instruction is regularly given to students; as, the school year is divided into three terms. 4. (Geom.)  A point, line, or superficies, that limits; as, a line is the term of a superficies, and a superficies is the term of a solid. 5. (Law)  A fixed period of time; a prescribed duration; as: (a) The limitation of an estate; or rather, the whole time for which an estate is granted, as for the term of a life or lives, or for a term of years. (b) A space of time granted to a debtor for discharging his obligation. (c) The time in which a court is held or is open for the trial of causes. Bouvier. Note: In England, there were formerly four terms in the year, during which the superior courts were open: Hilary term, beginning on the 11th and ending on the 31st of January; Easter term, beginning on the 15th of April, and ending on the 8th of May; Trinity term, beginning on the 22d day of May, and ending on the 12th of June; Michaelmas term, beginning on the 2d and ending on the 25th day of November. The rest of the year was called vacation. But this division has been practically abolished by the Judicature Acts of 1873, 1875, which provide for the more convenient arrangement of the terms and vacations. In the United States, the terms to be observed by the tribunals of justice are prescribed by the statutes of Congress and of the several States. 6. (Logic)  The subject or the predicate of a proposition; one of the three component parts of a syllogism, each one of which is used twice. The subject and predicate of a proposition are, after Aristotle, together called its terms or extremes. Sir W. Hamilton. Note: The predicate of the conclusion is called the major term, because it is the most general, and the subject of the conclusion is called the minor term, because it is less general. These are called the extermes; and the third term, introduced as a common measure between them, is called the mean or middle term. Thus in the following syllogism, --Every vegetable is combustible; Every tree is a vegetable; Therefore every tree is combustible, -combustible, the predicate of the conclusion, is the major term; tree is the minor term; vegetable is the middle term. 7. A word or expression; specifically, one that has a precisely limited meaning in certain relations and uses, or is peculiar to a science, art, profession, or the like; as, a technical term. \"Terms quaint of law.\" Chaucer. In painting, the greatest beauties can not always be expressed for want of terms. Dryden. 8. (Arch.)  A quadrangular pillar, adorned on the top with the figure of a head, as of a man, woman, or satyr; -- called also terminal figure. See Terminus, n., 2 and 3. Note: The pillar part frequently tapers downward, or is narrowest at the base. Terms rudely carved were formerly used for landmarks or boundaries. Gwilt. 9. (Alg.)  A member of a compound quantity; as, a or b in a + b; ab or cd in ab - cd. 10. pl. (Med.)  The menses. 11. pl. (Law)  Propositions or promises, as in contracts, which, when assented to or accepted by another, settle the contract and bind the parties; conditions. 12. (Law)  In Scotland, the time fixed for the payment of rents. Note: Terms legal and conventional in Scotland correspond to quarter days in England and Ireland. There are two legal terms -- Whitsunday, May 15, and Martinmas, Nov. 11; and two conventional terms -- Candlemas, Feb. 2, and Lammas day, Aug. 1. Mozley & W. 13. (Naut.)  A piece of carved work placed under each end of the taffrail. J. Knowels. In term, in set terms; in formal phrase. [Obs.] I can not speak in term. Chaucer. -- Term fee (Law) (a), a fee by the term, chargeable to a suitor, or by law fixed and taxable in the costs of a cause for each or any term it is in court. -- Terms of a proportion (Math.), the four members of which it is composed. -- To bring to terms, to compel (one) to agree, assent, or submit; to force (one) to come to terms. -- To make terms, to come to terms; to make an agreement: to agree. Syn. -- Limit; bound; boundary; condition; stipulation; word; expression. -- Term, Word. These are more frequently interchanged than almost any other vocables that occur of the language. There is, however, a difference between them which is worthy of being kept in mind. Word is generic; it denotes an utterance which represents or expresses our thoughts and feelings. Term originally denoted one of the two essential members of a proposition in logic, and hence signifies a word of specific meaning, and applicable to a definite class of objects. Thus, we may speak of a scientific or a technical term, and of stating things in distinct terms. Thus we say, \"the term minister literally denotes servant;\" \"an exact definition of terms is essential to clearness of thought;\" \"no term of reproach can sufficiently express my indignation;\" \"every art has its peculiar and distinctive terms,\" etc. So also we say, \"purity of style depends on the choice of words, and precision of style on a clear understanding of the terms used.\" Term is chiefly applied to verbs, nouns, and adjectives, these being capable of standing as terms in a logical proposition; while prepositions and conjunctions, which can never be so employed, are rarely spoken of as terms, but simply as words.\n\nTo apply a term to; to name; to call; to denominate. Men term what is beyond the limits of the universe \"imaginary space.\" Locke.
term day |A day which is a term (as for payment of rent), or is a day in a term, as of the sitting of a court; esp., one of a series of special days, designated by scientists of different nations or stations, for making synoptic magnetic, meteorological, or other physical observations.
term insurance |Insurance for a specified term providing for no payment to the insured except upon losses during the term, and becoming void upon its expiration.
term policy |A policy of term insurance.
terma |The terminal lamina, or thin ventral part, of the anterior wall of the third ventricle of the brain. B. G. Wilder.
termagancy |The quality or state of being termagant; turbulence; tumultuousness; as, a violent termagancy of temper.
termagant |1. An imaginary being supposed by the Christians to be a Mohammedan deity or false god. He is represented in the ancient moralities, farces, and puppet shows as extremely vociferous and tumultous. [Obs.] Chaucer. \"And oftentimes by Termagant and Mahound [Mahomet] swore.\" Spenser. The lesser part on Christ believed well, On Termagant the more, and on Mahound. Fairfax. 2. A boisterous, brawling, turbulent person; -- formerly applied to both sexes, now only to women. This terrible termagant, this Nero, this Pharaoh. Bale (1543). The slave of an imperious and reckless termagant. Macaulay.\n\nTumultuous; turbulent; boisterous; furious; quarrelsome; scolding. -- Ter\"ma*gant*ly, adv. A termagant, imperious, prodigal, profligate wench. Arbuthnot.
termatarium |Any nest or dwelling of termes, or white ants.
termatary |Same as Termatarium.
termer |1. One who resorted to London during the law term only, in order to practice tricks, to carry on intrigues, or the like. [Obs.] [Written also termor.] B. Jonson. 2. (Law)  One who has an estate for a term of years or for life.
termes |A genus of Pseudoneuroptera including the white ants, or termites. See Termite.
terminable |Capable of being terminated or bounded; limitable. -- Ter\"mi*na*ble*ness, n. Terminable annuity, an annuity for a stated, definite number of years; -- distinguished from life annuity, and perpetual annuity.
terminal |1. Of or pertaining to the end or extremity; forming the extremity; as, a terminal edge. 2. (Bot.)  Growing at the end of a branch or stem; terminating; as, a terminal bud, flower, or spike. Terminal moraine. See the Note under Moraine. -- Terminal statue. See Terminus, n., 2 and 3. -- Terminal velocity. (a) The velocity acquired at the end of a body's motion. (b) The limit toward which the velocity of a body approaches, as of a body falling through the air.\n\n1. That which terminates or ends; termination; extremity. 2. (Eccl.)  Either of the ends of the conducting circuit of an electrical apparatus, as an inductorium, dynamo, or electric motor, usually provided with binding screws for the attachment of wires by which a current may be conveyed into or from the machine; a pole.
terminalia |A festival celebrated annually by the Romans on February 23 in honor of Terminus, the god of boundaries.
terminant |Termination; ending. [R.] Puttenham.
terminate |1. To set a term or limit to; to form the extreme point or side of; to bound; to limit; as, to terminate a surface by a line. 2. To put an end to; to make to cease; as, to terminate an effort, or a controversy. 3. Hence, to put the finishing touch to; to bring to completion; to perfect. During this interval of calm and prosperity, he [Michael Angelo] terminated two figures of slaves, destined for the tomb, in an incomparable style of art. J. S. Harford.\n\n1. To be limited in space by a point, line, or surface; to stop short; to end; to cease; as, the torrid zone terminates at the tropics. 2. To come to a limit in time; to end; to close. The wisdom of this world, its designs and efficacy, terminate on zhis side heaven. South.
termination |1. The act of terminating, or of limiting or setting bounds; the act of ending or concluding; as, a voluntary termination of hostilities. 2. That which ends or bounds; limit in space or extent; bound; end; as, the termination of a line. 3. End in time or existence; as, the termination of the year, or of life; the termination of happiness. 4. End; conclusion; result. Hallam. 5. Last purpose of design. [R.] 6. A word; a term. [R. & Obs.] Shak. 7. (Gram.)  The ending of a word; a final syllable or letter; the part added to a stem in inflection.
terminational |Of or pertaining to termination; forming a termination.
terminative |Tending or serving to terminate; terminating; determining; definitive. Bp. Rust. -- Ter\"mi*na*tive*ly, adv. Jer. Taylor.
terminator |1. One who, or that which, terminates. 2. (Astron.)  The dividing line between the illuminated and the unilluminated part of the moon.
terminatory |Terminative.
termine |To terminate. [Obs.] Bp. Hall.
terminer |A determining; as, in oyer and terminer. See Oyer.
terminism |The doctrine held by the Terminists.
terminist |One of a class of theologians who maintain that God has fixed a certain term for the probation of individual persons, during which period, and no longer, they have the offer to grace. Murdock.
terminological |Of or pertaining to terminology. -- Ter`mi*no*log\"ic*al*ly, adv.
terminology |1. The doctrine of terms; a theory of terms or appellations; a treatise on terms. 2. The terms actually used in any business, art, science, or the like; nomenclature; technical terms; as, the terminology of chemistry. The barbarous effect produced by a German structure of sentence, and a terminology altogether new. De Quincey.
terminus |1. Literally, a boundary; a border; a limit. 2. (Myth.)  The Roman divinity who presided over boundaries, whose statue was properly a short pillar terminating in the bust of a man, woman, satyr, or the like, but often merely a post or stone stuck in the ground on a boundary line. 3. Hence, any post or stone marking a boundary; a term. See Term, 8. 4. Either end of a railroad line; also, the station house, or the town or city, at that place.
termite |Any one of numerous species of pseudoneoropterous insects belonging to Termes and allied genera; -- called also white ant. See Illust. of White ant. Note: They are very abundant in tropical countries, and are noted for their destructive habits, their large nests, their remarkable social instincts, and their division of labor among the polymorphic individuals of several kinds. Besides the males and females, each nest has ordinary workers, and large-headed individuals called soldiers.
termless |1. Having no term or end; unlimited; boundless; unending; as, termless time. [R.] \"Termless joys.\" Sir W. Raleigh. 2. Inexpressible; indescribable. [R.] Shak.
termly |Occurring every term; as, a termly fee. [R.] Bacon.\n\nTerm by term; every term. [R.] \"Fees . . . that are termly given.\" Bacon.
termonology |Terminology. [R.]
termor |Same as Termer, 2.
tern |Any one of numerous species of long-winged aquatic birds, allied to the gulls, and belonging to Sterna and various allied genera. Note: Terns differ from gulls chiefly in their graceful form, in their weaker and more slender bills and feet, and their longer and more pointed wings. The tail is usually forked. Most of the species are white with the back and wings pale gray, and often with a dark head. The common European tern (Sterna hirundo) is found also in Asia and America. Among other American species are the arctic tern (S. paradisæa), the roseate tern (S. Dougalli), the least tern (S. Antillarum), the royal tern (S. maxima), and the sooty tern (S. fuliginosa). Hooded tern. See Fairy bird, under Fairy. -- Marsh tern, any tern of the genus Hydrochelidon. They frequent marshes and rivers and feed largely upon insects. -- River tern, any tern belonging to Seëna or allied genera which frequent rivers. -- Sea tern, any tern of the genus Thalasseus. Terns of this genus have very long, pointed wings, and chiefly frequent seas and the mouths of large rivers.\n\nThreefold; triple; consisting of three; ternate. Tern flowers (Bot.), flowers growing three and three together. -- Tern leaves (Bot.), leaves arranged in threes, or three by three, or having three in each whorl or set. -- Tern peduncles (Bot.), three peduncles growing together from the same axis. -- Tern schooner (Naut.), a three-masted schooner.\n\nThat which consists of, or pertains to, three things or numbers together; especially, a prize in a lottery resulting from the favorable combination of three numbers in the drawing; also, the three numbers themselves. She'd win a tern in Thursday's lottery. Mrs. Browning.
ternary |1. Proceeding by threes; consisting of three; as, the ternary number was anciently esteemed a symbol of perfection, and held in great veneration. 2. (Chem.)  Containing, or consisting of, three different parts, as elements, atoms, groups, or radicals, which are regarded as having different functions or relations in the molecule; thus, sodic hydroxide, NaOH, is a ternary compound.\n\nA ternion; the number three; three things taken together; a triad. Some in ternaries, some in pairs, and some single. Holder.
ternate |Having the parts arranged by threes; as, ternate branches, leaves, or flowers. -- Ter\"nate*ly, adv.
terneplate |Thin iron sheets coated with an alloy of lead and tin; -- so called because made up of three metals.
ternion |The number three; three things together; a ternary. Bp. Hall.
terpene |Any one of a series of isomeric hydrocarbons of pleasant aromatic odor, occurring especially in coniferous plants and represented by oil of turpentine, but including also certain hydrocarbons found in some essential oils.
terpentic |Terpenylic.
terpenylic |Of, pertaining to, or designating, an acid, C8H12O4 (called also terpentic acid), homologous with terebic acid, and obtained as a white crystalline substance by the oxidation of oil of turpentine with chromic acid.
terpilene |A polymeric form of terpene, resembling terbene.
terpin |A white crystalline substance regarded as a hydrate of oil of turpentine.
terpinol |Any oil substance having a hyacinthine odor, obtained by the action of acids on terpin, and regarded as a related hydrate.
terpsichore |The Muse who presided over the choral song and the dance, especially the latter.
terpsichorean |Of or pertaining to Terpsichore; of or pertaining to dancing.
terra |The earth; earth. Terra alba Etym: [L., white earth] (Com.), a white amorphous earthy substance consisting of burnt gypsum, aluminium silicate (kaolin), or some similar ingredient, as magnesia. It is sometimes used to adulterate certain foods, spices, candies, paints, etc. -- Terra cotta. Etym: [It., fr. terra earth + cotta, fem. of cotto cooked, L. coctus, p.p. of coquere to cook. See Cook, n.] Baked clay; a kind of hard pottery used for statues, architectural decorations, figures, vases, and the like. -- Terræ filius Etym: [L., son of the earth], formerly, one appointed to write a satirical Latin poem at the public acts in the University of Oxford; -- not unlike the prevaricator at Cambridge, England. -- Terra firma Etym: [L.], firm or solid earth, as opposed to water. -- Terra Japonica. Etym: [NL.] Same as Gambier. It was formerly supposed to be a kind of earth from Japan. -- Terra Lemnia Etym: [L., Lemnian earth], Lemnian earth. See under Lemnian. -- Terra ponderosa Etym: [L., ponderous earth] (Min.), barite, or heavy spar. -- Terra di Sienna. See Sienna.
terra incognita |An unknown land; unexplored country. The enormous tracts lying outside China proper, still almost terræ incognitæ. A. R. Colquhoun.
terrace |1. A raised level space, shelf, or platform of earth, supported on one or more sides by a wall, a bank of tuft, or the like, whether designed for use or pleasure. 2. A balcony, especially a large and uncovered one. 3. A flat roof to a house; as, the buildings of the Oriental nations are covered with terraces. 4. A street, or a row of houses, on a bank or the side of a hill; hence, any street, or row of houses. 5. (Geol.)  A level plain, usually with a steep front, bordering a river, a lake, or sometimes the sea. Note: Many rivers are bordered by a series of terraces at different levels, indicating the flood plains at successive periods in their history. Terrace epoch. (Geol.) See Drift epoch, under Drift, a.\n\nTo form into a terrace or terraces; to furnish with a terrace or terraces, as, to terrace a garden, or a building. Sir H. Wotton. Clermont's terraced height, and Esher's groves. Thomson.
terraculture |Cultivation on the earth; agriculture. [R.] -- Ter`ra*cul\"tur*al, a. [R.]
terrane |A group of rocks having a common age or origin; -- nearly equivalent to formation, but used somewhat less comprehensively.
terrapin |Any one of numerous species of tortoises living in fresh and brackish waters. Many of them are valued for food. [Written also terapin, terrapen, terrapene, and turapen.] Note: The yellow-bellied terrapin (Pseudemys acebra) of the Southern United States, the red-bellied terrapin (Pseudemys rugosa), native of the tributaries Chesapeake Bay (called also potter, slider, and redfender), and the diamond-back or salt-marsh terrapin (Malaclemmys palustris), are the most important American species. The diamond-back terrapin is native of nearly the whole of the Atlantic coast of the United States. Alligator terrapin, the snapping turtle. -- Mud terrapin, any one of numerous species of American tortoises of the genus Cinosternon. -- Painted terrapin, the painted turtle. See under Painted. -- Speckled terrapin, a small fresh-water American terrapin (Chelopus guttatus) having the carapace black with round yellow spots; -- called also spotted turtle.
terraqueous |Consisting of land and water; as, the earth is a terraqueous globe. Cudworth. The grand terraqueous spectacle From center to circumference unveiled. Wordsworth.
terrar |See 2d Terrier, 2.
terras |See .
terre-tenant |One who has the actual possession of land; the occupant. [Written also ter-tenant.]
terre-verte |An olive-green earth used as a pigment. See Glauconite.
terreen |See Turren.
terreity |Quality of being earthy; earthiness. [Obs.] B. Jonson.
terrel |A spherical magnet so placed that its poles, equator, etc., correspond to those of the earth. [Obs.] Chambers.
terremote |An earthquake. [Obs.] Gower.
terrene |A tureen. [Obs.] Walpole.\n\n1. Of or pertaining to the earth; earthy; as, terrene substance. Holland. 2. Earthy; terrestrial. God set before him a mortal and immortal life, a nature celestial and terrene. Sir W. Raleigh. Be true and faithful to the king and his heirs, and truth and faith to bear of life and limb, and terrene honor. O. Eng. Oath of Allegiance, quoted by Blackstone. Common conceptions of the matters which lie at the basis of our terrene experience. Hickok.\n\n1. The earth's surface; the earth. [Poetic] Tenfold the length of this terrene. Milton. 2. (Surv.)  The surface of the ground.
terrenity |Earthiness; worldliness. [Obs.] \"A dull and low terrenity.\" Feltham.
terreous |Consisting of earth; earthy; as, terreous substances; terreous particles. [Obs.]
terreplein |The top, platform, or horizontal surface, of a rampart, on which the cannon are placed. See Illust. of Casemate.
terrestre |Terrestrial; earthly. [Obs.] \"His paradise terrestre.\" Chaucer.
terrestrial |1. Of or pertaining to the earth; existing on the earth; earthly; as, terrestrial animals. \"Bodies terrestrial.\" 1 Cor. xv. 40. 2. Representing, or consisting of, the earth; as, a terrestrial globe. \"The dark terrestrial ball.\" Addison. 3. Of or pertaining to the world, or to the present state; sublunary; mundane. Vain labors of terrestrial wit. Spenser. A genius bright and base, Of towering talents, and terrestrial aims. Young. 4. Consisting of land, in distinction from water; belonging to, or inhabiting, the land or ground, in distinction from trees, water, or the like; as, terrestrial serpents. The terrestrial parts of the globe. Woodward. 5. Adapted for the observation of objects on land and on the earth; as, a terrestrial telescope, in distinction from an astronomical telescope. -- Ter*res\"tri*al*ly, adv. -- Ter*res\"tri*al*ness, n.\n\nAn inhabitant of the earth.
terrestrify |To convert or reduce into a condition like that of the earth; to make earthy. [Obs.] Sir T. Browne.
terrestrious |Terrestrial. [Obs.] Sir T. Browne.
terret |One of the rings on the top of the saddle of a harness, through which the reins pass.
terrible |1. Adapted or likely to excite terror, awe, or dread; dreadful; formidable. Prudent in peace, and terrible in war. Prior. Thou shalt not be affrighted at them; for the Lord thy God is among you, a mighty God and terrible. Deut. vii. 21. 2. Excessive; extreme; severe. [Colloq.] The terrible coldness of the season. Clarendon. Syn. -- Terrific; fearful; frightful; formidable; dreadful; horrible; shocking; awful. -- Ter\"ri*ble*ness, n. -- Ter\"ri*bly, adv.
terricolae |A division of annelids including the common earthworms and allied species.
terrienniak |The arctic fox.
terrier |An auger or borer. [Obs.]\n\n1. Etym: [F. terrier, chien terrier, from terre the earth, L. terra; cf. F. terrier a burrow, LL. terrarium a hillock (hence the sense, a mound thrown up in making a burrow, a burrow). See Terrace, and cf. Terrier, 2.] (Zoöl.)  One of a breed of small dogs, which includes several distinct subbreeds, some of which, such as the Skye terrier and Yorkshire terrier, have long hair and drooping ears, while others, at the English and the black-and-tan terriers, have short, close, smooth hair and upright ears. Note: Most kinds of terriers are noted for their courage, the acuteness of their sense of smell, their propensity to hunt burrowing animals, and their activity in destroying rats, etc. See Fox terrier, under Fox. 2. Etym: [F. terrier, papier terrier, LL. terrarius liber, i.e., a book belonging or pertaining to land or landed estates. See Terrier, 1, and cf. Terrar.] (Law) (a) Formerly, a collection of acknowledgments of the vassals or tenants of a lordship, containing the rents and services they owed to the lord, and the like. (b) In modern usage, a book or roll in which the lands of private persons or corporations are described by their site, boundaries, number of acres, or the like. [Written also terrar.]
terrific |Causing terror; adapted to excite great fear or dread; terrible; as, a terrific form; a terrific sight.
terrifical |Terrific. [R.]
terrifically |In a terrific manner.
terrify |1. To make terrible. [Obs.] If the law, instead of aggravating and terrifying sin, shall give out license, it foils itself. Milton. 2. To alarm or shock with fear; to frighten. When ye shall hear of wars . . . be not terrified. Luke xxi. 9.
terrigenous |Earthborn; produced by the earth.
terrine |1. A dish or pan, originally of earthenware, such as those in which various dishes are cooked and served; esp., an earthenware jar containing some table delicacy and sold with its contents. 2.  (Cookery) A kind of ragout formerly cooked and served in the same dish; also, a dish consisting of several meats braised together and served in a terrine. 3.  A soup tureen.
territorial |1. Of or pertaining to territory or land; as, territorial limits; territorial jurisdiction. 2. Limited to a certain district; as, right may be personal or territorial. 3. Of or pertaining to all or any of the Territories of the United States, or to any district similarly organized elsewhere; as, Territorial governments.
territorial waters |The waters under the territorial jurisdiction of a state; specif., the belt (often called the marine belt or territorial sea) of sea subject to such jurisdiction, and subject only to the right of innocent passage by the vessels of other states. Perhaps it may be said without impropriety that a state has theoretically the right to extend its territorial waters from time to time at its will with the increased range of guns. Whether it would in practice be judicious to do so . . . is a widely different matter . . . . In any case the custom of regulating a line three miles from land as defining the boundary of marginal territorial waters is so far fixed that a state must be supposed to accept it in absence of express notice. W. E. Hall.
territorialize |1. To enlarge by extension of territory. 2. To reduce to the condition of a territory.
territorially |In regard to territory; by means of territory.
territoried |Possessed of territory. [R.]
territory |1. A large extent or tract of land; a region; a country; a district. He looked, and saw wide territory spread Before him -- towns, and rural works between. Milton. 2. The extent of land belonging to, or under the dominion of, a prince, state, or other form of government; often, a tract of land lying at a distance from the parent country or from the seat of government; as, the territory of a State; the territories of the East India Company. 3. In the United States, a portion of the country not included within the limits of any State, and not yet admitted as a State into the Union, but organized with a separate legislature, under a Territorial governor and other officers appointed by the President and Senate of the United States. In Canada, a similarly organized portion of the country not yet formed into a Province.
terror |1. Extreme fear; fear that agitates body and mind; violent dread; fright. Terror seized the rebel host. Milton. 2. That which excites dread; a cause of extreme fear. Those enormous terrors of the Nile. Prior. Rulers are not a terror to good works. Rom. xiii. 3. There is no terror, Cassius, in your threats. Shak. Note: Terror is used in the formation of compounds which are generally self-explaining: as, terror-fraught, terror-giving, terror- smitten, terror-stricken, terror-struck, and the like. King of terrors, death. Job xviii. 14. -- Reign of Terror. (F. Hist.) See in Dictionary of Noted Names in Fiction. Syn. -- Alarm; fright; consternation; dread; dismay. See Alarm.
terrorism |The act of terrorizing, or state of being terrorized; a mode of government by terror or intimidation. Jefferson.  The practise of coercing governments to accede to political demands by committing violence on civilian targets; any similar use of violence to achieve goals.
terrorist |One who governs by terrorism or intimidation; specifically, an agent or partisan of the revolutionary tribunal during the Reign of Terror in France. Burke.
terrorize |To impress with terror; to coerce by intimidation. Humiliated by the tyranny of foreign despotism, and terrorized by ecclesiastical authority. J. A. Symonds.
terrorless |Free from terror. Poe.
terry |A kind of heavy colored fabric, either all silk, or silk and worsted, or silk and cotton, often called terry velvet, used for upholstery and trimmings.
tersanctus |An ancient ascription of praise (containing the word \"Holy\" -- in its Latin form, \"Sanctus\" -- thrice repeated), used in the Mass of the Roman Catholic Church and before the prayer of consecration in the communion service of the Church of England and the Protestant Episcopal Church. Cf. Trisagion.
terse |1. Appearing as if rubbed or wiped off; rubbed; smooth; polished. [Obs.] Many stones, . . . although terse and smooth, have not this power attractive. Sir T. Browne. 2. Refined; accomplished; -- said of persons. [R. & Obs.] \"Your polite and terse gallants.\" Massinger. 3. Elegantly concise; free of superfluous words; polished to smoothness; as, terse language; a terse style. Terse, luminous, and dignified eloquence. Macaulay. A poet, too, was there, whose verse Was tender, musical, and terse. Longfellow. Syn. -- Neat; concise; compact. Terse, Concise. Terse was defined by Johnson \"cleanly written\| i. e.| free from blemishes| neat or smooth. Its present sense is \"free from excrescences|\" and hence| compact| with smoothness| grace| or elegance| as in the following lones of Whitehead| - \"In eight terse lines has Phædrus told (So frugal were the bards of old) A tale of goats; and closed with grace| Plan| moral| all| in that short space.\" It differs from concise in not implying| perhaps| quite as much condensation| but chiefly in the additional idea of \"grace or elegance.\" -- Terse\"ly| adv. -- Terse\"ness| n."
tersulphide |A trisulphide.
tersulphuret |A trisulphide. [R.]
tertial |Same as Tertiary.
tertian |Occurring every third day; as, a tertian fever.\n\n1. (Med.)  A disease, especially an intermittent fever, which returns every third day, reckoning inclusively, or in which the intermission lasts one day. 2. A liquid measure formerly used for wine, equal to seventy imperial, or eighty-four wine, gallons, being one third of a tun.
tertiary |1. Being of the third formation, order, or rank; third; as, a tertiary use of a word. Trench. 2. (Chem.)  Possessing some quality in the third degree; having been subjected to the substitution of three atoms or radicals; as, a tertiary alcohol, amine, or salt. Cf. Primary, and Secondary. (CH3)3C.OH. 3. (Geol.)  Later than, or subsequent to, the Secondary. 4. (Zoöl.)  Growing on the innermost joint of a bird's wing; tertial; -- said of quills. Tertiary age. (Geol.) See under Age, 8. -- Tertiary color, a color produced by the mixture of two secondaries. \"The so-called tertiary colors are citrine, russet, and olive.\" Fairholt. -- Tertiary period. (Geol.) (a) The first period of the age of mammals, or of the Cenozoic era. (b) The rock formation of that period; -- called also Tertiary formation. See the Chart of Geology. -- Tertiary syphilis (Med.), the third and last stage of syphilis, in which it invades the bones and internal organs.\n\n1. (R. C. Ch.)  A member of the Third Order in any monastic system; as, the Franciscan tertiaries; the Dominican tertiaries; the Carmelite tertiaries. See Third Order, under Third. Addis & Arnold. 2. (Geol.)  The Tertiary era, period, or formation. 3. (Zoöl.)  One of the quill feathers which are borne upon the basal joint of the wing of a bird. See Illust. of Bird.
tertiate |1. To do or perform for the third time. [Obs. & R.] Johnson. 2. (Gun.)  To examine, as the thickness of the metal at the muzzle of a gun; or, in general, to examine the thickness of, as ordnance, in order to ascertain its strength.
tertium quid |A third somewhat; something mediating, or regarded as being, between two diverse or incompatible substances, natures, or positions.
terutero |The South American lapwing (Vanellus Cayennensis). Its wings are furnished with short spurs. Called also Cayenne lapwing.
terza rima |A peculiar and complicated system of versification, borrowed by the early Italian poets from the Troubadours.
terzetto |A composition in three voice parts; a vocal (rarely an instrumental) trio.
tesla coil |A transformer without iron, for high frequency alternating or oscillating currents; an oscillation transformer.
tesla transformer |A transformer without iron, for high frequency alternating or oscillating currents; an oscillation transformer.
tesselar |Formed of tesseræ, as a mosaic.
tessellata |A division of Crinoidea including numerous fossil species in which the body is covered with tessellated plates.
tessellate |To form into squares or checkers; to lay with checkered work. The floors are sometimes of wood, tessellated after the fashion of France. Macaulay.\n\nTessellated.
tessellated |1. Formed of little squares, as mosaic work; checkered; as, a tessellated pavement. 2. (Bot. & Zoöl.)  Marked like a checkerboard; as, a tessellated leaf.
tessellation |The act of tessellating; also, the mosaic work so formed. J. Forsyth.
tessera |A small piece of marble, glass, earthenware, or the like, having a square, or nearly square, face, used by the ancients for mosaic, as for making pavements, for ornamenting walls, and like purposes; also, a similar piece of ivory, bone, wood, etc., used as a ticket of admission to theaters, or as a certificate for successful gladiators, and as a token for various other purposes. Fairholt.
tesseraic |Diversified by squares; done in mosaic; tessellated. [Obs.] Sir R. Atkyns (1712).
tesseral |1. Of, pertaining to, or containing, tesseræ. 2. (Crystallog.)  Isometric.
tessular |Tesseral.
