half-faced |Showing only part of the face; wretched looking; meager. Shak.
hallux |The first, or preaxial, digit of the hind limb, corresponding to the pollux in the fore limb; the great toe; the hind toe of birds.
halm |Same as Haulm.
halma |The long jump, with weights in the hands, -- the most important of the exercises of the Pentathlon.
halmas |The feast of All Saints; Hallowmas. [Obs.]
halo |1. A luminous circle, usually prismatically colored, round the sun or moon, and supposed to be caused by the refraction of light through crystals of ice in the atmosphere. Connected with halos there are often white bands, crosses, or arches, resulting from the same atmospheric conditions. 2. A circle of light; especially, the bright ring represented in painting as surrounding the heads of saints and other holy persons; a glory; a nimbus. 3. An ideal glory investing, or affecting one's perception of, an object. 4. A colored circle around a nipple; an areola.\n\nTo form, or surround with, a halo; to encircle with, or as with, a halo. The fire That haloed round his saintly brow. Sothey.
haloed |Surrounded with a halo; invested with an ideal glory; glorified. Some haloed face bending over me. C. Bronté.
halogen |An electro-negative element or radical, which, by combination with a metal, forms a haloid salt; especially, chlorine, bromine, and iodine; sometimes, also, fluorine and cyanogen. See Chlorine family, under Chlorine.
halogenous |Of the nature of a halogen.
haloid |Resembling salt; -- said of certain binary compounds consisting of a metal united to a negative element or radical, and now chiefly applied to the chlorides, bromides, iodides, and sometimes also to the fluorides and cyanides. -- n.  A haloid substance.
halomancy |See Alomancy.
halometer |An instrument for measuring the forms and angles of salts and crystals; a goniometer.
halones |Alternating transparent and opaque white rings which are seen outside the blastoderm, on the surface of the developing egg of the hen and other birds.
halophyte |A plant found growing in salt marshes, or in the sea.
haloscope |An instrument for exhibition or illustration of the phenomena of halos, parhelia, and the like.
halotrichite |An iron alum occurring in silky fibrous aggregates of a yellowish white color.
haloxyline |An explosive mixture, consisting of sawdust, charcoal, niter, and ferrocyanide of potassium, used as a substitute for gunpowder.
halp |Helped. [Obs.]
halpace |See Haut pas.
hals |The neck or throat. [Obs.] Do me hangen by the hals. Chaucer.
halse |1. To embrace about the neck; to salute; to greet. [Obs.] Each other kissed glad And lovely halst. Spenser. 2. To adjure; to beseech; to entreat. [Obs.] O dere child, I halse thee, In virtue of the Holy Trinity. Chaucer.\n\nTo haul; to hoist. [Obs.]
halsening |Sounding harshly in the throat; inharmonious; rough. [Obs.] Carew.
halser |See Hawser. Pope.
halt |3d pers. sing. pres. of Hold, contraction for holdeth. [Obs.] Chaucer.\n\nA stop in marching or walking, or in any action; arrest of progress. Without any halt they marched. Clarendon. [Lovers] soon in passion's war contest, Yet in their march soon make a halt. Davenant.\n\n1. To hold one's self from proceeding; to hold up; to cease progress; to stop for a longer or shorter period; to come to a stop; to stand still. 2. To stand in doubt whether to proceed, or what to do; to h How long halt ye between two opinions 1 Kings xviii. 21\n\nTo cause to cease marching; to stop; as, the general halted his troops for refreshment.\n\nHalting or stopping in walking; lame. Bring in hither the poor, and the maimed, and the halt, and the blind. Luke xiv. 21.\n\nThe act of limping; lameness.\n\n1. To walk lamely; to limp. 2. To have an irregular rhythm; to be defective. The blank verse shall halt for it. Shak.
halter |One who halts or limps\n\nA strong strap or cord. Especially: (a) A rope or strap, with or without a headstall, for leading or tying a horse. (b) A rope for hanging malefactors; a noose. Shak. No man e'er felt the halter draw With good opinion of the law. Trumbull.\n\nTo tie by the neck with a rope, strap, or halter; to put a halter on; to subject to a hangman's halter. \"A haltered neck.\" Shak.
halter-sack |A term of reproach, implying that one is fit to be hanged. [Obs.] Beau. & Fl.
halteres |Balancers; the rudimentary hind wings of Diptera.
haltingly |In a halting or limping manner.
halvans |Impure ore; dirty ore.
halve |A half. [Obs.] Chaucer.\n\n1. To divide into two equal parts; as, to halve an apple; to be or form half of. So far apart their lives are thrown From the twin soul that halves their own. M. Arnold. 2. (Arch.)  To join, as two pieces of timber, by cutting away each for half its thickness at the joining place, and fitting together.
halved |Appearing as if one side, or one half, were cut away; dimidiate.
halves |pl. of Half. By halves, by one half at once; halfway; fragmentarily; partially; incompletely. I can not believe by halves; either I have faith, or I have it not. J. H. Newman. To go halves. See under Go.
halwe |A saint. [Obs.] Chaucer. HAL'YARD; HALYARD Hal'yard, n. Etym: [Hale, v. t. + yard.] (Naut.)  A rope or tackle for hoisting or lowering yards, sails, flags, etc. [Written also halliard, haulyard.]
halysites |A genus of Silurian fossil corals; the chain corals. See Chain coral, under Chain.
ham |Home. [North of Eng.] Chaucer.\n\n1. (Anat.)  The region back of the knee joint; the popliteal space; the hock. 2. The thigh of any animal; especially, the thigh of a hog cured by salting and smoking. A plentiful lack of wit, together with most weak ham. Shak.
hamadryad |1. (Class. Myth.)  A tree nymph whose life ended with that of the particular tree, usually an oak, which had been her abode. 2. (Zoöl.)  A large venomous East Indian snake (Orhiophagus bungarus), allied to the cobras.
hamadryas |The sacred baboon of Egypt (Cynocephalus Hamadryas).
hamal |In Turkey and other Oriental countries, a porter or burden bearer; specif., in Western India, a palanquin bearer.
hamamelis |A genus of plants which includes the witch-hazel (Hamamelis Virginica), a preparation of which is used medicinally.
hamate |Hooked; bent at the end into a hook; hamous.
hamated |Hooked, or set with hooks; hamate. Swift.
hamatum |See Unciform.
hamble |To hamstring. [Obs.]
hamburg |A commercial city of Germany, near the mouth of the Elbe. Black Hamburg grape. See under Black. -- Hamburg , a kind of embroidered work done by machinery on cambric or muslin; -- used for trimming. -- Hamburg lake, a purplish crimson pigment resembling cochineal.
hame |Home. [Scot. & O. Eng.]\n\nOne of the two curved pieces of wood or metal, in the harness of a draught horse, to which the traces are fastened. They are fitted upon the collar, or have pads fitting the horse's neck attached to them.
hamel |Same as Hamele.
hamesecken |The felonious seeking and invasion of a person in his dwelling house. Bouvier.
hamesucken |The felonious seeking and invasion of a person in his dwelling house. Bouvier.
hamfatter |A low-grade actor or performer. [Theatrical Slang]
hamiform |Hook-shaped.
hamilton period |A subdivision of the Devonian system of America; -- so named from Hamilton, Madison Co., New York. It includes the Marcellus, Hamilton, and Genesee epochs or groups. See the Chart of Geology.
haminura |A large edible river fish (Erythrinus macrodon) of Guiana.
hamite |A fossil cephalopod of the genus Hamites, related to the ammonites, but having the last whorl bent into a hooklike form.\n\nA descendant of Ham, Noah's second son. See Gen. x. 6-20.
hamitic |Pertaining to Ham or his descendants. Hamitic languages, the group of languages spoken mainly in the Sahara, Egypt, Galla, and Somâli Land, and supposed to be allied to the Semitic. Keith Johnson.
hamlet |A small village; a little cluster of houses in the country. The country wasted, and the hamlets burned. Dryden. Syn. -- Village; neighborhood. See Village.
hamleted |Confined to a hamlet. Feltham.
hammer |1. An instrument for driving nails, beating metals, and the like, consisting of a head, usually of steel or iron, fixed crosswise to a handle. With busy hammers closing rivets up. Shak. 2. Something which in firm or action resembles the common hammer; as: (a) That part of a clock which strikes upon the bell to indicate the hour. (b) The padded mallet of a piano, which strikes the wires, to produce the tones. (c) (Anat.) The malleus. See under Ear. (Gun.)  That part of a gunlock which strikes the percussion cap, or firing pin; the cock; formerly, however, a piece of steel covering the pan of a flintlock musket and struck by the flint of the cock to ignite the priming. (e) Also, a person of thing that smites or shatters; as, St. Augustine was the hammer of heresies. He met the stern legionaries [of Rome] who had been the \"massive iron hammers\" of the whole earth. J. H. Newman. Atmospheric hammer, a dead-stroke hammer in which the spring is formed by confined air. -- Drop hammer, Face hammer, etc. See under Drop, Face, etc. -- Hammer fish. See Hammerhead. -- Hammer hardening, the process of hardening metal by hammering it when cold. -- Hammer shell (Zoöl.), any species of Malleus, a genus of marine bivalve shells, allied to the pearl oysters, having the wings narrow and elongated, so as to give them a hammer-shaped outline; -- called also hammer oyster. -- To bring to the hammer, to put up at auction.\n\n1. To beat with a hammer; to beat with heavy blows; as, to hammer iron. 2. To form or forge with a hammer; to shape by beating. \"Hammered money.\" Dryden. 3. To form in the mind; to shape by hard intellectual labor; -- usually with out. Who was hammering out a penny dialogue. Jeffry.\n\n1. To be busy forming anything; to labor hard as if shaping something with a hammer. Whereon this month I have hammering. Shak. 2. To strike repeated blows, literally or figuratively. Blood and revenge are hammering in my head. Shak.
hammer break |An interrupter in which contact is broken by the movement of an automatically vibrating hammer between a contact piece and an electromagnet, or of a rapidly moving piece mechanically driven.
hammer lock |A hold in which an arm of one contestant is held twisted and bent behind his back by his opponent.
hammer-beam |A member of one description of roof truss, called hammer-beam truss, which is so framed as not to have a tiebeam at the top of the wall. Each principal has two hammer-beams, which occupy the situation, and to some extent serve the purpose, of a tiebeam.
hammer-dressed |Having the surface roughly shaped or faced with the stonecutter's hammer; -- said of building stone.
hammer-harden |To harden, as a metal, by hammering it in the cold state.
hammer-less |Without a visible hammer; -- said of a gun having a cock or striker concealed from sight, and out of the way of an accidental touch.
hammerable |Capable of being formed or shaped by a hammer. Sherwood.
hammercloth |The cloth which covers a coach box.
hammerer |One who works with a hammer.
hammerhead |1. (Zoöl.)  A shark of the genus Sphyrna or Zygæna, having the eyes set on projections from the sides of the head, which gives it a hammer shape. The Sphyrna zygæna is found in the North Atlantic. Called also hammer fish, and balance fish. 2. (Zoöl.)  A fresh-water fish; the stone-roller. 3. (Zoöl.)  An African fruit bat (Hypsignathus monstrosus); -- so called from its large blunt nozzle.
hammerkop |A bird of the Heron family; the umber.
hammerman |A hammerer; a forgeman.
hammochrysos |A stone with spangles of gold color in it.
hammock |1. A swinging couch or bed, usually made of netting or canvas about six feet wide, suspended by clews or cords at the ends. 2. A piece of land thickly wooded, and usually covered with bushes and vines. Used also adjectively; as, hammock land. [Southern U. S.] Bartlett. Hammock nettings (Naut.), formerly, nets for stowing hammocks; now, more often, wooden boxes or a trough on the rail, used for that purpose.
hamose |Having the end hooked or curved.
hamous |Having the end hooked or curved.
hamper |A large basket, usually with a cover, used for the packing and carrying of articles; as, a hamper of wine; a clothes hamper; an oyster hamper, which contains two bushels.\n\nTo put in a hamper.\n\nTo put a hamper or fetter on; to shackle; to insnare; to inveigle; hence, to impede in motion or progress; to embarrass; to encumber. \"Hampered nerves.\" Blackmore. A lion hampered in a net. L'Estrange. They hamper and entangle our souls. Tillotson.\n\n1. A shackle; a fetter; anything which impedes. W. Browne. 2. (Naut.)  Articles ordinarily indispensable, but in the way at certain times. Ham. Nav. Encyc. Top hamper (Naut.), unnecessary spars and rigging kept aloft.
hamshackle |To fasten (an animal) by a rope binding the head to one of the fore legs; as, to hamshackle a horse or cow; hence, to bind or restrain; to curb.
hamster |A small European rodent (Cricetus frumentarius). It is remarkable for having a pouch on each side of the jaw, under the skin, and for its migrations.
hamstring |One of the great tendons situated in each side of the ham, or space back of the knee, and connected with the muscles of the back of the thigh.\n\nTo lame or disable by cutting the tendons of the ham or knee; to hough; hence, to cripple; to incapacitate; to disable. So have they hamstrung the valor of the subject by seeking to effeminate us all at home. Milton.
hamular |Hooked; hooklike; hamate; as, the hamular process of the sphenoid bone.
hamulate |Furnished with a small hook; hook-shaped. Gray.
hamule |A little hook.
hamulose |Bearing a small hook at the end. Gray.
hamulus |1. (Anat.)  A hook, or hooklike process. 2. (Zoöl.)  A hooked barbicel of a feather.
han |To have; have. [Obs.] Piers Plowman. Him thanken all, and thus they han an end. Chaucer.
hanap |A rich goblet, esp. one used on state occasions. [Obs.]
hanaper |A kind of basket, usually of wickerwork, and adapted for the packing and carrying of articles; a hamper. Hanaper office, an office of the English court of chancery in which writs relating to the business of the public, and the returns to them, were anciently kept in a hanaper or hamper. Blackstone.
hance |To raise; to elevate. [Obs.] Lydgate.\n\n1. (Arch.)  See Hanse. 2. (Naut.)  A sudden fall or break, as the fall of the fife rail down to the gangway.
hanch |1. (Arch.)  See Hanse. 2. (Naut.)  A sudden fall or break, as the fall of the fife rail down to the gangway.
