olfactor |A smelling organ; a nose. [R.]
olive |1. (Bot.) (a) A tree (Olea Europæa) with small oblong or elliptical leaves, axillary clusters of flowers, and oval, one-seeded drupes. The tree has been cultivated for its fruit for thousands of years, and its branches are the emblems of peace. The wood is yellowish brown and beautifully variegated. (b) The fruit of the olive. It has been much improved by cultivation, and is used for making pickles. Olive oil is pressed from its flesh. 2. (Zoöl.) (a) Any shell of the genus Oliva and allied genera; -- so called from the form. See Oliva. (b) The oyster catcher. [Prov.Eng.] 3. (a) The color of the olive, a peculiar dark brownish, yellowish, or tawny green. (b) One of the tertiary colors, composed of violet and green mixed in equal strength and proportion. 4. (Anat.)  An olivary body. See under Olivary. 5. (Cookery)  A small slice of meat seasoned, rolled up, and cooked; as, olives of beef or veal. Note: Olive is sometimes used adjectively and in the formation of self-explaining compounds; as, olive brown, olive green, olive- colored, olive-skinned, olive crown, olive garden, olive tree, olive yard, etc. Bohemian olive (Bot.), a species of Elæagnus (E. angustifolia), the flowers of which are sometimes used in Southern Europe as a remedy for fevers. -- Olive branch. (a) A branch of the olive tree, considered an emblem of peace. (b) Fig.: A child. -- Olive brown, brown with a tinge of green. -- Olive green, a dark brownish green, like the color of the olive. -- Olive oil, an oil expressed from the ripe fruit of the olive, and much used as a salad oil, also in medicine and the arts. -- Olive ore (Min.), olivenite. -- Wild olive (Bot.), a name given to the oleaster or wild stock of the olive; also variously to several trees more or less resembling the olive.\n\nApproaching the color of the olive; of a peculiar dark brownish, yellowish, or tawny green.
olived |Decorated or furnished with olive trees. [R.] T. Warton.
olivenite |An olive-green mineral, a hydrous arseniate of copper; olive ore.
oliver |1. Etym: [OF. oliviere.]  An olive grove. [Obs.] Chaucer. 2. Etym: [F. olivier.]  An olive tree. [Obs.] Chaucer.\n\nA small tilt hammer, worked by the foot.
oliverian |An adherent of Oliver Cromwell. Macaulay.
olivewood |(a) The wood of the olive. (b) An Australian name given to the hard white wood of certain trees of the genus Elæodendron, and also to the trees themselves.
olivil |A white crystalline substance, obtained from an exudation from the olive, and having a bitter-sweet taste and acid proporties. [Written also olivile.] Gregory.
olivin |A complex bitter gum, found on the leaves of the olive tree; -- called also olivite.
olivine |A common name of the yellowish green mineral chrysolite, esp. the variety found in eruptive rocks.
olivite |See Olivin.
olla |1. A pot or jar having a wide mouth; a cinerary urn, especially one of baked clay. 2. A dish of stewed meat; an olio; an olla-podrida.
olla-podrida |1. A favorite Spanish dish, consisting of a mixture of several kinds of meat chopped fine, and stewed with vegetables. 2. Any incongruous mixture or miscellaneous collection; an olio. B. Jonson.
ology |A colloquial or humorous name for any science or branch of knowledge. He had a smattering of mechanics, of physiology, geology, mineralogy, and all other ologies whatsoever. De Quincey.
olpe |Originally, a leather flask or vessel for oils or liquids; afterward, an earthenware vase or pitcher without a spout.
olusatrum |An umbelliferous plant, the common Alexanders of Western Europe (Smyrnium Olusatrum).
olympiad |A period of four years, by which the ancient Greeks reckoned time, being the interval from one celebration of the Olympic games to another, beginning with the victory of Coroebus in the foot race, which took place in the year 776 b.c.; as, the era of the olympiads.
olympian |Of or pertaining to Olympus, a mountain of Thessaly, fabled as the seat of the gods, or to Olympia, a small plain in Elis. Olympic games, or Olympics (Greek Antiq.), the greatest of the national festivals of the ancient Greeks, consisting of athletic games and races, dedicated to Olympian Zeus, celebrated once in four years at Olympia, and continuing five days.
olympian games |A modified revival of the ancient Olympian games, consisting of international athletic games, races, etc., now held once in four years, the first having been at Athens in 1896.
olympianism |Worship of the Olympian gods, esp. as a dominant cult or religion.
olympic |Of or pertaining to Olympus, a mountain of Thessaly, fabled as the seat of the gods, or to Olympia, a small plain in Elis. Olympic games, or Olympics (Greek Antiq.), the greatest of the national festivals of the ancient Greeks, consisting of athletic games and races, dedicated to Olympian Zeus, celebrated once in four years at Olympia, and continuing five days.
olympic games |A modified revival of the ancient Olympian games, consisting of international athletic games, races, etc., now held once in four years, the first having been at Athens in 1896.
olympionic |An ode in honor of a victor in the Olympic games. [R.] Johnson.
om |A mystic syllable or ejaculation used by Hindus and Buddhists in religious rites, -- orig. among the Hindus an exclamation of assent, like Amen, then an invocation, and later a symbol of the trinity formed by Vishnu, Siva, and Brahma. -- Om mani padme hun, a sacred formula of buddhism (esp. of the Lamaists) translated \"O, the Jewel in the Lotus, Amen,\" and referring to Amitabha, who is commonly represented as standing or sitting within a lotus.
omagra |Gout in the shoulder.
omahas |A tribe of Indians who inhabited the south side of the Missouri River. They are now partly civilized and occupy a reservation in Nebraska.
omander wood |The wood of Diospyros ebenaster, a kind of ebony found in Ceylon.
omasum |The third division of the stomach of ruminants. See Manyplies, and Illust. under Ruminant.
omber |A game at cards, borrowed from the Spaniards, and usually played by three persons. Pope. When ombre calls, his hand and heart are free, And, joined to two, he fails not to make three. Young.
ombre |A game at cards, borrowed from the Spaniards, and usually played by three persons. Pope. When ombre calls, his hand and heart are free, And, joined to two, he fails not to make three. Young.\n\nA large Mediterranean food fish (Umbrina cirrhosa): -- called also umbra, and umbrine.
ombrometer |An instrument for measuring the rain that falls; a rain gauge.
omega |1. The last letter of the Greek alphabet. See Alpha. 2. The last; the end; hence, death. \"Omega! thou art Lord,\" they said. Tennyson. Alpha and Omega, the beginning and the ending; hence, the chief, the whole. Rev. i. 8. The alpha and omega of science. Sir J. Herschel.
omegoid |Having the form of the Greek capital letter Omega (
omelet |Eggs beaten up with a little flour, etc., and cooked in a frying pan; as, a plain omelet.
omen |An occurrence supposed to portend, or show the character of, some future event; any indication or action regarded as a foreshowing; a foreboding; a presage; an augury. Bid go with evil omen, and the brand Of infamy upon my name. Milton.\n\nTo divine or to foreshow by signs or portents; to have omens or premonitions regarding; to predict; to augur; as, to omen ill of an enterprise. The yet unknown verdict, of which, however, all omened the tragical contents. Sir W. Scott.
omened |Attended by, or containing, an omen or omens; as, happy-omened day.
omental |Of or pertaining to an omentum or the omenta.
omentum |A free fold of the peritoneum, or one serving to connect viscera, support blood vessels, etc.; an epiploön. Note: The great, or gastrocolic, omentum forms, in most mammals, a great sac, which is attached to the stomach and transverse colon, is loaded with fat, and covers more or less of the intestines; the caul. The lesser, or gastrohepatic, omentum connects the stomach and liver and contains the hepatic vessels. The gastrosplenic omentum, or ligament, connects the stomach and spleen.
omer |A Hebrew measure, the tenth of an ephah. See Ephah. Ex. xvi. 36.
omicron |Lit., the little, or short, O, o; the fifteenth letter of the Greek alphabet.
omiletical |Homiletical. [Obs.]
ominate |To presage; to foreshow; to foretoken. [Obs.] Dr. H. More.
omination |The act of ominating; presaging. [Obs.] Fuller.
ominous |Of or pertaining to an omen or to omens; being or exhibiting an omen; significant; portentous; -- formerly used both in a favorable and unfavorable sense; now chiefly in the latter; foreboding or foreshowing evil; inauspicious; as, an ominous dread. He had a good ominous name to have made a peace. Bacon. In the heathen worship of God, a sacrifice without a heart was accounted ominous. South. -- Om\"i*nous*ly, adv. -- Om\"i*nous*ness, n.
omissible |Capable of being omitted; that may be omitted.
omission |1. The act of omitting; neglect or failure to do something required by propriety or duty. The most natural division of all offenses is into those of omission and those of commission. Addison. 2. That which is omitted or is left undone.
omissive |Leaving out; omitting. Bp. Hall. -- O*mis\"sive*ly, adv.
omit |1. To let go; to leave unmentioned; not to insert or name; to drop. These personal comparisons I omit. Bacon. 2. To pass by; to forbear or fail to perform or to make use of; to leave undone; to neglect. Her father omitted nothing in her education that might make her the most accomplished woman of her age. Addison.
omittance |The act of omitting, or the state of being omitted; forbearance; neglect. Shak.
omitter |One who omits. Fuller.
ommateal |Of or pertaining to an ommateum.
ommateum |A compound eye, as of insects and crustaceans.
ommatidium |One of the single eyes forming the compound eyes of crustaceans, insects, and other invertebrates.
omni- |A combining form denoting all, every, everywhere; as in omnipotent, all-powerful; omnipresent.
omnibus |1. A long four-wheeled carriage, having seats for many people; especially, one with seats running lengthwise, used in conveying passengers short distances. 2. (Glass Making)  A sheet-iron cover for articles in a leer or annealing arch, to protect them from drafts. Omnibus bill, a legislative bill which provides for a number of miscellaneous enactments or appropriations. [Parliamentary Cant, U.S.] -- Omnibus box, a large box in a theater, on a level with the stage and having communication with it. [Eng.] Thackeray.
omnicorporeal |Comprehending or including all bodies; embracing all substance. [R.] Cudworth.
omniety |That which is all-pervading or all-comprehensive; hence, the Deity. [R.] Omniety formed nullity into an essence. Sir T. Browne.
omnifarious |Of all varieties, forms, or kinds. \"Omnifarious learning.\" Coleridge.
omniferous |All-bearing; producing all kinds.
omnific |All-creating. \"The omnific word.\" Milton.
omniform |Having every form or shape. Berkeley.
omniformity |The condition or quality of having every form. Dr. H. More.
omnify |To render universal; to enlarge. [R.] Omnify the disputed point into a transcendent, and you may defy the opponent to lay hold of it. Coleridge.
omnigenous |Consisting of all kinds. [R.]
omnigraph |A pantograph. [R.]
omniparient |Producing or bringing forth all things; all-producing. [R.]
omniparity |Equality in every part; general equality.
omniparous |Producing all things; omniparient.
omnipatient |Capable of enduring all things. [R.] Carlyle.
omnipercipience |Perception of everything.
omnipercipiency |Perception of everything.
omnipercipient |Perceiving everything. Dr. H. More.
omnipotence |1. The state of being omnipotent; almighty power; hence, one who is omnipotent; the Deity. Will Omnipotence neglect to save The suffering virtue of the wise and brave Pope. 2. Unlimited power of a particular kind; as, love's omnipotence. Denham.
omnipotency |1. The state of being omnipotent; almighty power; hence, one who is omnipotent; the Deity. Will Omnipotence neglect to save The suffering virtue of the wise and brave Pope. 2. Unlimited power of a particular kind; as, love's omnipotence. Denham.
omnipotent |1. Able in every respect and for every work; unlimited in ability; all-powerful; almighty; as, the Being that can create worlds must be omnipotent. God's will and pleasure and his omnipotent power. Sir T. More. 2. Having unlimited power of a particular kind; as, omnipotent love. Shak. The Omnipotent, The Almighty; God. Milton.
omnipotently |In an omnipotent manner.
omnipresence |Presence in every place at the same time; unbounded or universal presence; ubiquity. His omnipresence fills Land, sea, and air, and every kind that lives. Milton.
omnipresency |Omnipresence. [Obs.]
omnipresent |Present in all places at the same time; ubiquitous; as, the omnipresent Jehovah. Prior.
omnipresential |Implying universal presence. [R.] South.
omniprevalent |Prevalent everywhere or in all things. Fuller.
omniscience |The quality or state of being omniscient; -- an attribute peculiar to God. Dryden.
omnisciency |Omniscience.
omniscient |Having universal knowledge; knowing all things; infinitely knowing or wise; as, the omniscient God. -- Om*nis\"cient*ly, adv. For what can scape the eye Of God all-seeing, or deceive his heart Omniscient Milton.
omniscious |All-knowing. [Obs.] Hakewill.
omnispective |Beholding everything; capable of seeing all things; all-seeing. [R.] \"Omnispective Power!\" Boyse.
omnium |The aggregate value of the different stocks in which a loan to government is now usually funded. M'Culloch.
omnium-gatherum |A miscellaneous collection of things or persons; a confused mixture; a medley. [Colloq. & Humorous] Selden.
omnivagant |Wandering anywhere and everywhere. [R.]
omnivora |A group of ungulate mammals including the hog and the hippopotamus. The term is also sometimes applied to the bears, and to certain passerine birds.
omnivorous |All-devouring; eating everything indiscriminately; as, omnivorous vanity; esp. (Zoöl.), eating both animal and vegetable food. -- Om*niv\"o*rous*ness, n.
omo- |A combining form used in anatomy to indicate connection with, or relation to, the shoulder or the scapula.
omohyoid |Of or pertaining to the shoulder and the hyoid bone; as, the omohyoid muscle.
omophagic |Eating raw flesh; using uncooked meat as food; as, omophagic feasts, rites.
omoplate |The shoulder blade, or scapula.
omostegite |The part of the carapace of a crustacean situated behind the cervical groove.
omosternal |Of or pertaining to the omosternum.
omosternum |(a) The anterior element of the sternum which projects forward from between the clavicles in many batrachians and is usually tipped with cartilage. (b) In many mammals, an interarticular cartilage, or bone, between the sternum and the clavicle.
omphacine |Of, pertaining to, or expressed from, unripe fruit; as, omphacine oil.
omphalic |Of or pertaining to the umbilicus, or navel.
omphalo- |A combining form indicating connection with, or relation to, the umbilicus, or navel.
omphalocele |A hernia at the navel.
omphalode |The central part of the hilum of a seed, through which the nutrient vessels pass into the rhaphe or the chalaza; -- called also omphalodium.
omphalomancy |Divination by means of a child's navel, to learn how many children the mother may have. Crabb.
omphalomesaraic |Omphalomesenteric.
omphalomesenteric |Of or pertaining to the umbilicus and mesentery; omphalomesaraic; as, the omphalomesenteric arteries and veins of a fetus.
omphalopsychite |A name of the Hesychasts, from their habit of gazing upon the navel.
omphalopter |An optical glass that is convex on both sides. [Obs.] Hutton.
omphaloptic |An optical glass that is convex on both sides. [Obs.] Hutton.
omphalos |The navel.
omphalotomy |The operation of dividing the navel-string.
omy |Mellow, as land. [Prov.Eng.] Ray.
on |The general signification of on is situation, motion, or condition with respect to contact or support beneath; as: -- 1. At, or in contact with, the surface or upper part of a thing, and supported by it; placed or lying in contact with the surface; as, the book lies on the table, which stands on the floor of a house on an island. I stood on the bridge at midnight. Longfellow. 2. To or against the surface of; -- used to indicate the motion of a thing as coming or falling to the surface of another; as, rain falls on the earth. Whosoever shall fall on this stone shall be broken. Matt. xxi. 44. 3. Denoting performance or action by contact with the surface, upper part, or outside of anything; hence, by means of; with; as, to play on a violin or piano. Hence, figuratively, to work on one's feelings; to make an impression on the mind. 4. At or near; adjacent to; -- indicating situation, place, or position; as, on the one hand, on the other hand; the fleet is on the American coast. 5. In addition to; besides; -- indicating multiplication or succession in a series; as, heaps on heaps; mischief on mischief; loss on loss; thought on thought. Shak. 6. Indicating dependence or reliance; with confidence in; as, to depend on a person for assistance; to rely on; hence, indicating the ground or support of anything; as, he will promise on certain conditions; to bet on a horse. 7. At or in the time of; during; as, on Sunday we abstain from labor. See At (synonym). 8. At the time of, conveying some notion of cause or motive; as, on public occasions, the officers appear in full dress or uniform. Hence, in consequence of, or following; as, on the ratification of the treaty, the armies were disbanded. 9. Toward; for; -- indicating the object of some passion; as, have pity or compassion on him. 10. At the peril of, or for the safety of. \"Hence, on thy life.\" Dryden. 11. By virtue of; with the pledge of; -- denoting a pledge or engagement, and put before the thing pledged; as, he affirmed or promised on his word, or on his honor. 12. To the account of; -- denoting imprecation or invocation, or coming to, falling, or resting upon; as, on us be all the blame; a curse on him. His blood be on us and on our children. Matt. xxvii. 25. 13. In reference or relation to; as, on our part expect punctuality; a satire on society. 14. Of. [Obs.] \"Be not jealous on me.\" Shak. Or have we eaten on the insane root That takes the reason prisoner Shak. Note: Instances of this usage are common in our older writers, and are sometimes now heard in illiterate speech. 15. Occupied with; in the performance of; as, only three officers are on duty; on a journey. 16. In the service of; connected with; of the number of; as, he is on a newspaper; on a committee. Note: On and upon are in general interchangeable. In some applications upon is more euphonious, and is therefore to be preferred; but in most cases on is preferable. On a bowline. (Naut.) Same as Closehauled. -- On a wind, or On the wind (Naut.), sailing closehauled. -- On a sudden. See under Sudden. -- On board, On draught, On fire, etc. See under Board, Draught, Fire, etc. -- On it, On't, of it. [Obs. or Colloq.] Shak. -- On shore, on land; to the shore. -- On the road, On the way, On the wing, etc. See under Road, Way, etc. -- On to, upon; on; to; -- sometimes written as one word, onto, and usually called a colloquialism; but it may be regarded in analogy with into. They have added the -en plural form on to an elder plural. Earle. We see the strength of the new movement in the new class of ecclesiastics whom it forced on to the stage. J. R. Green.\n\n1. Forward, in progression; onward; -- usually with a verb of motion; as, move on; go on. \"Time glides on.\" Macaulay. The path is smooth that leadeth on to danger. Shak. 2. Forward, in succession; as, from father to son, from the son to the grandson, and so on. 3. In continuance; without interruption or ceasing; as, sleep on, take your ease; say on; sing on. 4. Adhering; not off; as in the phrase, \"He is neither on nor off,\" that is, he is not steady, he is irresolute. 5. Attached to the body, as clothing or ornament, or for use. \"I have boots on.\" B. Gonson. He put on righteousness as a breastplate. Is. lix. 17. 6. In progress; proceeding; as, a game is on. Note: On is sometimes used as an exclamation, or a command to move or proceed, some verb being understood; as, on, comrades; that is, go on, move on. On and on, continuously; for a long time together. \"Toiling on and on and on.\" Longfellow.
on dit |They say, or it is said. -- n.  A flying report; rumor; as, it is a mere on dit.
on-hanger |A hanger-on.
on-looker |A looker-on.
on-looking |Looking on or forward.
onager |1. (Rom.Antiq.)  A military engine acting like a sling, which threw stones from a bag or wooden bucket, and was operated by machinery. Fairholt. 2. (Zoöl.)  A wild ass, especially the koulan.
onagga |The dauw.
onagraceous |Pertaining to, or resembling, a natural order of plants (Onagraceæ or Onagrarieæ), which includes the fuchsia, the willow- herb (Epilobium), and the evening primrose ().
onagrarieous |Pertaining to, or resembling, a natural order of plants (Onagraceæ or Onagrarieæ), which includes the fuchsia, the willow- herb (Epilobium), and the evening primrose ().
onanism |Self-pollution; masturbation.
onappo |A nocturnal South American monkey (Callithrix discolor), noted for its agility; -- called also ventriloquist monkey.
once |The ounce.\n\n1. By limitation to the number one; for one time; not twice nor any number of times more than one. Ye shall . . . go round about the city once. Josh. vi. 3. Trees that bear mast are fruitful but once in two years. Bacon. 2. At some one period of time; -- used indefinitely. My soul had once some foolish fondness for thee. Addison. That court which we shall once govern. Bp. Hall. 3. At any one time; -- often nearly equivalent to ever, if ever, or whenever; as, once kindled, it may not be quenched. Wilt thou not be made clean When shall it once be Jer. xiii. 27. To be once in doubt Is once to be resolved. Shak. Note: Once is used as a noun when preceded by this or that; as, this once, that once. It is also sometimes used elliptically, like an adjective, for once-existing. \"The once province of Britain.\" J. N. Pomeroy.. At once. (a) At the same point of time; immediately; without delay. \"Stand not upon the order of your going, but go at once.\" Shak. \"I . . . withdrew at once and altogether.\" Jeffrey. (b) At one and the same time; simultaneously; in one body; as, they all moved at once. -- Once and again, once and once more; repeatedly. \"A dove sent forth once and again, to spy.\" Milton.
oncidium |A genus of tropical orchidaceous plants, the flower of one species of which (O. Papilio) resembles a butterfly.
oncograph |An instrument for registering the changes observable with an oncometer.
oncometer |An instrument for measuring the variations in size of the internal organs of the body, as the kidney, spleen, etc.
oncost |In cost accounting, expenditure which is involved in the process of manufacture or the performance of work and which cannot be charged directly to any particular article manufactured or work done (as where different kinds of goods are produced), but must be allocated so that each kind of goods or work shall bear its proper share. [Brit.]
oncotomy |The opening of an abscess, or the removal of a tumor, with a cutting instrument. [Written also onkotomy.] Dunglison.
onde |Hatred; fury; envy. [Obs.]
ondogram |The record of an ondograph.
ondograph |An instrument for autographically recording the wave forms of varying currents, esp. rapidly varying alternating currents.
ondometer |An electric wave meter.
ondoyant |Wavy; having the surface marked by waves or slightly depressed furrows; as, ondoyant glass.
one |1. Being a single unit, or entire being or thing, and no more; not multifold; single; individual. The dream of Pharaoh is one. Gen. xli. 25. O that we now had here But one ten thousand of those men in England. Shak. 2. Denoting a person or thing conceived or spoken of indefinitely; a certain. \"I am the sister of one Claudio\" [Shak.], that is, of a certain man named Claudio. 3. Pointing out a contrast, or denoting a particular thing or person different from some other specified; -- used as a correlative adjective, with or without the. From the one side of heaven unto the other. Deut. iv. 32. 4. Closely bound together; undivided; united; constituting a whole. The church is therefore one, though the members may be many. Bp. Pearson 5. Single in kind; the same; a common. One plague was on you all, and on your lords. 1 Sam. vi. 4. 6. Single; inmarried. [Obs.] Men may counsel a woman to be one. Chaucer. Note: One is often used in forming compound words, the meaning of which is obvious; as, one-armed, one-celled, one-eyed, one-handed, one-hearted, one-horned, one-idead, one-leaved, one-masted, one- ribbed, one-story, one-syllable, one-stringed, one-winged, etc. All one, of the same or equal nature, or consequence; as, he says that it is all one what course you take. Shak. -- One day. (a) On a certain day, not definitely specified, referring to time past. One day when Phoebe fair, With all her band, was following the chase. Spenser. (b) Referring to future time: At some uncertain day or period; some day. Well, I will marry one day. Shak.\n\n1. A single unit; as, one is the base of all numbers. 2. A symbol representing a unit, as 1, or i. 3. A single person or thing. \"The shining ones.\" Bunyan. \"Hence, with your little ones.\" Shak. He will hate the one, and love the other. Matt. vi. 24. That we may sit, one on thy right hand, and the other on thy left hand, in thy glory. Mark x. 37. After one, after one fashion; alike. [Obs.] Chaucer. -- At one, in agreement or concord. See At one, in the Vocab. -- Ever in one, continually; perpetually; always. [Obs.] Chaucer. -- In one, in union; in a single whole. -- One and one, One by one, singly; one at a time; one after another.\"Raising one by one the suppliant crew.\" Dryden.\n\nAny person, indefinitely; a person or body; as, what one would have well done, one should do one's self. It was well worth one's while. Hawthorne. Against this sort of condemnation one must steel one's self as one best can. G. Eliot. Note: One is often used with some, any, no, each, every, such, a, many a, another, the other, etc. It is sometimes joined with another, to denote a reciprocal relation. When any one heareth the word. Matt. xiii. 19. She knew every one who was any one in the land of Bohemia. Compton Reade. The Peloponnesians and the Athenians fought against one another. Jowett (Thucyd. ). The gentry received one another. Thackeray.\n\nTo cause to become one; to gather into a single whole; to unite; to assimilite. [Obs.] The rich folk that embraced and oned all their heart to treasure of the world. Chaucer.
one-hand |Employing one hand; as, the one-hand alphabet. See Dactylology.
one-horse |1. Drawn by one horse; having but a single horse; as, a one-horse carriage. 2. Second-rate; inferior; small. [Slang, U.S.]
one-sided |1. Having one side only, or one side prominent; hence, limited to one side; partial; unjust; unfair; as, a one-sided view or statement. \"Unguarded and one-sided language.\" T. Arnold. 2. (Bot.)  Growing on one side of a stem; as, one-sided flowers. -- One`-sid\"ed-ly, adv. -- One`-sid\"ed*ness, n.
oneberry |The herb Paris. See Herb Paris, under Herb.
oneidas |A tribe of Indians formerly inhabiting the region near Oneida Lake in the State of New York, and forming part of the Five Nations. Remnants of the tribe now live in New York, Canada, and Wisconsin.
oneirocritic |An interpreter of dreams. Bp. Warburton. Addison.\n\nOf or pertaining to the interpretation of dreams. Addison.
oneirocritical |Of or pertaining to the interpretation of dreams. Addison.
oneirocriticism |The art of interpreting dreams.
oneirocritics |The art of interpreting dreams.
oneiromancy |Divination by means of dreams. De Quincey.
oneiroscopist |One who interprets dreams.
oneiroscopy |The interpretation of dreams.
oneliness |The state of being one or single. [Obs.] Cudworth.
onely |See Only. [Obs.] Spenser.
onement |The state of being at one or reconciled. [Obs.] Bp. Hall.
oneness |The state of being one; singleness in number; individuality; unity. Our God is one, or rather very oneness. Hooker.
onerary |Fitted for, or carrying, a burden. Johnson.
onerate |To load; to burden. [Obs.] Becon.
oneration |The act of loading. [Obs.]
onerous |Burdensome; oppressive. \"Too onerous a solicitude.\" I. Taylor. Onerous cause (Scots Law), a good and legal consideration; -- opposed to gratuitous.
onerously |In an onerous manner.
ones |Once. [Obs.] Chaucer.
oneself |A reflexive form of the indefinite pronoun one. Commonly writen as two words, one's self. One's self (or more properly oneself), is quite a modern form. In Elizabethan English we find a man's self=one's self. Morris.
onethe |Scarcely. See Unnethe. [Obs.] Chaucer.
ongoing |The act of going forward; progress; (pl.) affairs; business; current events. The common ongoings of this our commonplace world, and everyday life. Prof. Wilson.
onguent |An unguent.
onion |A liliaceous plant of the genus Allium (A.cepa), having a strong-flavored bulb and long hollow leaves; also, its bulbous root, much used as an article of food. The name is often extended to other species of the genus. Onion fish (Zoöl.), the grenadier. -- Onion fly (Zoöl.) a dipterous insect whose larva feeds upon the onion; especially, Anthomyia ceparum and Ortalis flexa. -- Welsh onion. (Bot.) See Cibol. -- Wild onion (Bot.), a name given to several species of the genus Allium.
onionskin |A kind of thin translucent paper with a glossy finish.
onirocritic |See Oneirocritic.
onliness |The state of being alone. [Obs.]
onloft |Aloft; above ground. [Obs.] She kept her father's life onloft. Chaucer.
only |1. One alone; single; as, the only man present; his only occupation. 2. Alone in its class; by itself; not associated with others of the same class or kind; as, an only child. 3. Hence, figuratively: Alone, by reason of superiority; preëminent; chief. \"Motley's the only wear.\" Shak.\n\n1. In one manner or degree; for one purpose alone; simply; merely; barely. And to be loved himself, needs only to be known. Dryden. 2. So and no otherwise; no other than; exclusively; solely; wholly. \"She being only wicked.\" Beau. & Fl. Every imagination . . . of his heart was only evil. Gen. vi. 5. 3. Singly; without more; as, only-begotten. 4. Above all others; particularly. [Obs.] His most only elected mistress. Marston.\n\nSave or except (that); -- an adversative used elliptically with or without that, and properly introducing a single fact or consideration. He might have seemed some secretary or clerk . . . only that his low, flat, unadorned cap . . . indicated that he belonged to the city. Sir W. Scott.
onocerin |A white crystalline waxy substance extracted from the root of the leguminous plant Ononis spinosa.
onology |Foolish discourse. [R.]
onomancy |Divination by the letters of a name; nomancy. [R.] Camden.
onomantic |Of or pertaining to onomancy. [R.]
onomantical |Of or pertaining to onomancy. [R.]
onomastic |Applied to a signature when the body of the instrument is in another's handwriting. Burrill.
onomasticon |A collection of names and terms; a dictionary; specif., a collection of Greek names, with explanatory notes, made by Julius Pollux about A.D.180.
onomatechny |Prognostication by the letters of a name.
onomatologist |One versed in the history of names. Southey.
onomatology |The science of names or of their classification.
onomatope |An imitative word; an onomatopoetic word.
onomatopoeia |The formation of words in imitation of sounds; a figure of speech in which the sound of a word is imitative of the sound of the thing which the word represents; as, the buzz of bees; the hiss of a goose; the crackle of fire. Note: It has been maintained by some philologist that all primary words, especially names, were formed by imitation of natural sounds.
onomatopoeic |Onomatopoetic. Whitney.
onomatopoetic |Of or pertaining to onomatopoeia; characterized by onomatopoeia; imitative; as, an onomatopoetic writer or word. Earle.
onomatopy |Onomatopoeia.
onomomancy |See Onomancy.
onondagas |A tribe of Indians formerly inhabiting what is now a part of the State of New York. They were the central or head tribe of the Five Nations.
onrush |A rushing onward.
