faultiness |Quality or state of being faulty. Round, even to faultiness. Shak.
fawn |1. (Zoöl.)  A young deer; a buck or doe of the first year. See Buck. 2. The young of an animal; a whelp. [Obs.] [The tigress] . . . followeth . . . after her fawns. Holland. 3. A fawn color.\n\nOf the color of a fawn; fawn-colored.\n\nTo bring forth a fawn.\n\nTo court favor by low cringing, frisking, etc., as a dog; to flatter meanly; -- often followed by on or upon. You showed your teeth like apes, and fawned like hounds. Shak. Thou with trembling fear, Or like a fawning parasite, obeyest. Milton. Courtiers who fawn on a master while they betray him. Macaulay.\n\nA servile cringe or bow; mean flattery; sycophancy. Shak.
fawn-colored |Of the color of a fawn; light yellowish brown.
fawner |One who fawns; a sycophant.
fawningly |In a fawning manner.
faxed |Hairy. [Obs.] amden.
fay |A fairy; an elf. \"Yellow-skirted fays.\" Milton.\n\nFaith; as, by my fay. [Obs.] Chaucer.\n\nTo fit; to join; to unite closely, as two pieces of wood, so as to make the surface fit together.\n\nTo lie close together; to fit; to fadge; -- often with in, into, with, or together. Faying surface, that surface of an object which comes with another object to which it is fastened; -- said of plates, angle irons, etc., that are riveted together in shipwork.
fayalite |A black, greenish, or brownish mineral of the chrysolite group. It is a silicate of iron.
fayence |See Fa.
faytour |See Faitour. [Obs.] Spenser.
faze |See Feeze.
fazzolet |A handkerchief. [R.] percival.
feaberry |A gooseberry. [Prov. Eng.] Prior.
feague |To beat or whip; to drive. [Obs.] Otway.
feal |Faithful; loyal. [Obs.] Wright.
fealty |1. Fidelity to one's lord; the feudal obligation by which the tenant or vassal was bound to be faithful to his lord; the special oath by which this obligation was assumed; fidelity to a superior power, or to a government; loyality. It is no longer the practice to exact the performance of fealty, as a feudal obligation. Wharton (Law Dict. ). Tomlins. 2. Fidelity; constancy; faithfulness, as of a friend to a friend, or of a wife to her husband. He should maintain fealty to God. I. Taylor. Makes wicked lightnings of her eyes, and saps The fealty of our friends. tennyson. Swore fealty to the new government. Macaulay. Note: Fealty is distinguished from homage, which is an acknowledgment of tenure, while fealty implies an oath. See Homage. Wharton. Syn. -- Homage; loyality; fidelity; constancy.
fear |A variant of Fere, a mate, a companion. [Obs.] Spenser.\n\n1. A painful emotion or passion excited by the expectation of evil, or the apprehension of impending danger; apprehension; anxiety; solicitude; alarm; dread. Note: The degrees of this passion, beginning with the most moderate, may be thus expressed, -- apprehension, fear, dread, fright, terror. Fear is an uneasiness of the mind, upon the thought of future evil likely to befall us. Locke. Where no hope is left, is left no fear. Milton. 2. (Script.) (a) Apprehension of incurring, or solicitude to avoid, God's wrath; the trembling and awful reverence felt toward the Supreme Belng. (b) Respectful reverence for men of authority or worth. I will put my fear in their hearts. Jer. xxxii. 40. I will teach you the fear of the Lord. Ps. xxxiv. 11. render therefore to all their dues; tribute to whom tribute is due . . . fear to whom fear. Rom. xiii. 7. 3. That which causes, or which is the object of, apprehension or alarm; source or occasion of terror; danger; dreadfulness. There were they in great fear, where no fear was. Ps. liii. 5. The fear of your adventure would counsel you to a more equal enterprise. Shak. For fear, in apprehension lest. \"For fear you ne'er see chain nor money more.\" Shak.\n\n1. To feel a painful apprehension of; to be afraid of; to consider or expect with emotion of alarm or solicitude. I will fear no evil, for thou art with me. Ps. xxiii. 4. Note: With subordinate clause. I greatly fear my money is not safe. Shak. I almost fear to quit your hand. D. Jerrold. 2. To have a reverential awe of; to solicitous to avoid the displeasure of. Leave them to God above; him serve and fear. Milton. 3. To be anxious or solicitous for. [R.] The sins of the father are to be laid upon the children, therefore . . . I fear you. Shak. 4. To suspect; to doubt. [Obs.] Ay what else, fear you not her courage Shak. 5. To affright; to terrify; to drive away or prevent approach of by fear. z2 fera their people from doing evil. Robynsin (More's utopia). Tush, tush! fear boys with bugs. Shak. Syn. -- To apprehend; drad; reverence; venerate.\n\nTo be in apprehension of evil; to be afraid; to feel anxiety on account of some expected evil. I exceedingly fear and quake. Heb. xii. 21.
fearer |One who fars. Sir P. Sidney.
fearful |1. Full of fera, apprehension, or alarm; afraid; frightened. Anxious amidst all their success, and fearful amidat all their power. Bp. Warburton. 2. inclined to fear; easily frightened; without courage; timid. What man is there that is fearful and fain-hearted Deut. xx. 8. 3. Indicating, or caused by, fear. Cold fearful drops stand on my trembling flesh. Shak. 4. Inspiring fear or awe; exciting apprehension or terror; terrible; frightful; dreadful. This glorious and fearful name, The Lord thy God. Deut. xxviii. 58. Death is a fearful thing. Shak. In dreams they fearful precipices tread. Dryden. Syn. -- Apprehensive; afraid; timid; timorous; ho
fearfully |In a fearful manner.
fearfulness |The state of being fearful.
fearless |Free from fear. Syn. -- Bold; courageous; interpid; valor -- Fear\"less*ly, adv. -- Fera\"less*ness, n.
fearnaught |1. A fearless person. 2. A stout woolen cloth of great thickness; dreadnaught; also, a warm garment.
fearsome |1. Frightful; causing fear [Scotch] \"This fearsome wind.\" Sir W. Scott 2  . Easily frightened; timid; timorous. \"A silly fearsome thing.\" B. Taylor
feasibility |The quality of being feasible; practicability; also, that which is feasible; as, before we adopt a plan, let us consider its feasibility. Men often swallow falsities for truths, dubiosities for certainties, possibilities for feasibilities. Sir T. Browne.
feasible |1. Capable of being done, executed, or effected; practicable. Always existing before their eyes as a thing feasible in practice. Burke. It was not feasible to gratify so many ambitions. Beaconsfield. 2. Fit to be used or tailed, as land. [R.] R. Trumbull. Fea\"si*ble*ness, n. --Fea\"si*bly, adv.
feast |1. A festival; a holiday; a solemn, or more commonly, a joyous, anniversary. The seventh day shall be a feast to the Lord. Ex. xiii. 6. Now his parents went to Jerusalem every year at the feast of the passover. Luke ii. 41. Note: Ecclesiastical fasts are called immovable when they always occur on the same day of the year; otherwise they are called movable. 2. A festive or joyous meal; a grand, ceremonious, or sumptuous entertainment, of which many guests partake; a banquet characterized by tempting variety and abundance of food. Enough is as good as a feast. Old Proverb. Belshazzar the King made a great feast to a thousand of his lords. Dan. v. 1. 3. That which is partaken of, or shared in, with delight; something highly agreeable; entertainment. The feast of reason, and the flow of soul. Pope. Feast day, a holiday; a day set as a solemn commemo Syn. -- Entertainment; regale; banquet; treat; carousal; festivity; festival. -- Feast, Banquet, Festival, Carousal. A feast sets before us viands superior in quantity, variety, and abudance; a banquet is a luxurious feast; a festival is the joyful celebration by good cheer of some agreeable event. Carousal is unrestrained indulgence in frolic and drink.\n\n1. To eat sumptuously; to dine or sup on rich provisions, particularly in large companies, and on public festivals. And his sons went and feasted in their houses. Job. i. 4. 2. To be highly gratified or delighted. With my love's picture then my eye doth feast. Shak.\n\n1. To entertain with sumptuous provisions; to treat at the table bountifully; as, he was feasted by the king. Hayward. 2. To delight; to gratify; as, to feast the soul. Feast your ears with the music a while. Shak.
feaster |1. One who fares deliciously. 2. One who entertains magnificently. Johnson.
feastful |Festive; festal; joyful; sumptuous; luxurious. \"Feastful days.\" Milton. -- Feast\"ful*ly, adv.
feat |1. An act; a deed; an exploit. The warlike feats I have done. Shak. 2. A striking act of strength, skill, or cunning; a trick; as, feats of horsemanship, or of dexterity.\n\nTo form; to fashion. [Obs.] To the more mature, A glass that feated them. Shak.\n\nDexterous in movements or service; skillful; neat; nice; pretty. [Archaic] Never master had a page . . . so feat. Shak. And look how well my garments sit upon me --Much feater than before. Shak.
feat-bodied |Having a feat or trim body. [Obs.] Beau. & Fl.
feateous |Dexterous; neat. [Obs.] Johnson. -- Feat\"e*ous*ly, adv.
feather |1. One of the peculiar dermal appendages, of several kinds, belonging to birds, as contour feathers, quills, and down. Note: An ordinary feather consists of the quill or hollow basal part of the stem; the shaft or rachis, forming the upper, solid part of the stem; the vanes or webs, implanted on the rachis and consisting of a series of slender laminæ or barbs, which usually bear barbicels and interlocking hooks by which they are fastened together. See Down, Quill, Plumage. 2. Kind; nature; species; -- from the proverbial phrase, \"Birds of a feather,\" that is, of the same species. [R.] I am not of that feather to shake off My friend when he must need me. Shak. 3. The fringe of long hair on the legs of the setter and some other dogs. 4. A tuft of peculiar, long, frizzly hair on a horse. 5. One of the fins or wings on the shaft of an arrow. 6. (Mach. & Carp.)  A longitudinal strip projecting as a fin from an object, to strengthen it, or to enter a channel in another object and thereby prevent displacement sidwise but permit motion lengthwise; a spline. 7. A thin wedge driven between the two semicylindrical parts of a divided plug in a hole bored in a stone, to rend the stone. Knight. 8. The angular adjustment of an oar or paddle-wheel float, with reference to a horizontal axis, as it leaves or enters the water. Note: Feather is used adjectively or in combination, meaning composed of, or resembling, a feather or feathers; as, feather fan, feather- heeled, feather duster. Feather alum (Min.), a hydrous sulphate of alumina, resulting from volcanic action, and from the decomposition of iron pyrites; -- called also halotrichite. Ure. -- Feather bed, a bed filled with feathers. -- Feather driver, one who prepares feathers by beating. -- Feather duster, a dusting brush of feathers. -- Feather flower, an artifical flower made of feathers, for ladies' headdresses, and other ornamental purposes. -- Feather grass (Bot.), a kind of grass (Stipa pennata) which has a long feathery awn rising from one of the chaffy scales which inclose the grain. -- Feather maker, one who makes plumes, etc., of feathers, real or artificial. -- Feather ore (Min.), a sulphide of antimony and lead, sometimes found in capillary forms and like a cobweb, but also massive. It is a variety of Jamesonite. -- Feather shot, or Feathered shot (Metal.), copper granulated by pouring into cold water. Raymond. -- Feather spray (Naut.), the spray thrown up, like pairs of feathers, by the cutwater of a fast-moving vessel. -- Feather star. (Zoöl.) See Comatula. -- Feather weight. (Racing) (a) Scrupulously exact weight, so that a feather would turn the scale, when a jockey is weighed or weighted. (b) The lightest weight that can be put on the back of a horse in racing. Youatt. (c) In wrestling, boxing, etc., a term applied to the lightest of the classes into which contestants are divided; -- in contradistinction to light weight, middle weight, and heavy weight. A feather in the cap an honour, trophy, or mark of distinction. [Colloq.] -- To be in full feather, to be in full dress or in one's best clothes. [Collog.] -- To be in high feather, to be in high spirits. [Collog.] -- To cut a feather. (a) (Naut.) To make the water foam in moving; in allusion to the ripple which a ship throws off from her bows. (b) To make one's self conspicuous.[Colloq.] -- To show the white feather, to betray cowardice, -- a white feather in the tail of a cock being considered an indication that he is not of the true game breed.\n\n1. To furnish with a feather or feathers, as an arrow or a cap. An eagle had the ill hap to be struck with an arrow feathered from her own wing. L'Estrange. 2. To adorn, as with feathers; to fringe. A few birches and oaks still feathered the narrow ravines. Sir W. Scott. 3. To render light as a feather; to give wings to.[R.] The Polonian story perhaps may feather some tedions hours. Loveday. 4. To enrich; to exalt; to benefit. They stuck not to say that the king cared not to plume his nobility and people to feather himself. Bacon. Dryden. 5. To tread, as a cock. Dryden. To feather one's nest, to provide for one's self especially from property belonging to another, confided to one's care; -- an expression taken from the practice of birds which collect feathers for the lining of their nests. -- To feather an oar (Naut), to turn it when it leaves the water so that the blade will be horizontal and offer the least resistance to air while reaching for another stroke. -- To tar and feather a person, to smear him with tar and cover him with feathers, as a punishment or an indignity.\n\n1. To grow or form feathers; to become feathered; -- often with out; as, the birds are feathering out. 2. To curdle when poured into another liquid, and float about in little flakes or \"feathers;\" as, the cream feathers [Colloq.] 3. To turn to a horizontal plane; -- said of oars. The feathering oar returns the gleam. Tickell. Stopping his sculls in the air to feather accurately. Macmillan's Mag. 4. To have the appearance of a feather or of feathers; to be or to appear in feathery form. A clump of ancient cedars feathering in evergreen beauty down to the ground. Warren. The ripple feathering from her bows. Tennyson.
feather-brained |Giddy; frivolous; feather-headed. [Colloq.]
feather-edge |1. (Zoöl.)  The thin, new growth around the edge of a shell, of an oyster. 2. Any thin, as on a board or a razor.
feather-edged |Having a feather-edge; also, having one edge thinner than the other, as a board; -- in the United States, said only of stuff one edge of which is made as thin as practicable.
feather-few |Feverfew.
feather-foil |An aquatic plant (Hottonia palustris), having finely divided leaves.
feather-head |A frivolous or featherbrained person. [Colloq.] H. James.
feather-headed |Giddy; frivolous; foolish. [Colloq.] G. Eliot.
feather-heeled |Light-heeled; gay; frisky; frolicsome. [Colloq.]
feather-pated |Feather-headed; frivolous. [Colloq.] Sir W. Scott.
feather-veined |Having the veins (of a leaf) diverging from the two sides of a midrib.
featherbone |A substitute for whalebone, made from the quills of geese and turkeys.
feathered |1. Clothed, covered, or fitted with (or as with) feathers or wings; as, a feathered animal; a feathered arrow. Rise from the ground like feathered Mercury. Shak. Nonsense feathered with soft and delicate phrases and pointed with pathetic accent. Dr. J. Scott. 2. Furnished with anything featherlike; ornamented; fringed; as, land feathered with trees. 3. (Zoöl.)  Having a fringe of feathers, as the legs of certian birds; or of hairs, as the legs of a setter dog. 4. (Her.)  Having feathers; -- said of an arrow, when the feathers are of a tincture different from that of the shaft.
featheriness |The state or condition of being feathery.
feathering |1. (Arch.)  Same as Foliation. 2. The act of turning the blade of the oar, as it rises from the water in rowing, from a vertical to a horizontal position. See To feather an oar, under Feather, v. t. 3. A covering of feathers. Feathering float (Naut.), the float or paddle of a feathering wheel. -- Feathering screw (Naut.), a screw propeller, of which the blades may be turned so as to move edgewise through the water when the vessel is moving under sail alone. -- Feathering wheel (Naut.), a paddle wheel whose floats turn automatically so as to dip about perpendicularly into the water and leave in it the same way, avoiding beating on the water in the descent and lifting water in the ascent.
featherless |Destitute of feathers.
featherly |Like feathers. [Obs.] Sir T. Browne.
featherness |The state or condition of being feathery.
featherstitch |A kind of embroidery stitch producing a branching zigzag line.
feathery |Pertaining to, or resembling, feathers; covered with, or as with, feathers; as, feathery spray or snow. Milton. Ye feathery people of mid air. Barry Cornwall.
featly |Neatly; dexterously; nimbly. [Archaic] Foot featly here and there. Shak.
featness |Skill; adroitness. [Archaic] Johnson.
feature |1. The make, form, or outward appearance of a person; the whole turn or style of the body; esp., good appearance. What needeth it his feature to descrive Chaucer. Cheated of feature by dissembling nature. Shak. 2. The make, cast, or appearance of the human face, and especially of any single part of the face; a lineament. (pl.) The face, the countenance. It is for homely features to keep home. Milton. 3. The cast or structure of anything, or of any part of a thing, as of a landscape, a picture, a treaty, or an essay; any marked peculiarity or characteristic; as, one of the features of the landscape. And to her service bind each living creature Through secret understanding of their feature. Spenser. 4. A form; a shape. [R.] So scented the grim feature, and upturned His nostril wide into the murky air. Milton.
featured |1. Shaped; fashioned. How noble, young, how rarely featured! Shak. 2. Having features; formed into features. The well-stained canvas or the featured stone. Young.
featureless |Having no distinct or distinctive features.
featurely |Having features; showing marked peculiarities; handsome. [R.] Featurely warriors of Christian chivalry. Coleridge.
feaze |To untwist; to unravel, as the end of a rope. Johnson.\n\nTo beat; to chastise; also, to humble; to harass; to worry. [Obs.] insworth.\n\nA state of anxious or fretful excitement; worry; vexation. [Obs.]
feazings |The unlaid or ragged end of a rope. Ham. Nav. Encyc.
febricitate |To have a fever. [Obs.] Bailey.
febriculose |Somewhat feverish. [Obs.] Johnson.
febrifacient |Febrific. Dunglison. -- n.  That which causes fever. Beddoes.
febriferous |Causing fever; as, a febriferous locality.
febrific |Producing fever. Dunglison.
febrifugal |Having the quality of mitigating or curing fever. Boyle.
febrifuge |A medicine serving to mitigate or remove fever. -- a.  Antifebrile.
febrile |Pertaining to fever; indicating fever, or derived from it; as, febrile symptoms; febrile action. Dunglison.
february |The second month in the year, said to have been introduced into the Roman calendar by Numa. In common years this month contains twenty-eight days; in the bissextile, or leap year, it has twenty- nine days.
februation |Purification; a sacrifice. [Obs.] Spenser.
fecal |relating to, or containing, dregs, feces, or ordeure; fæcal.
fecche |To fetch. [Obs.] Chaucer.
feces |dregs; sediment; excrement. See FÆces.
fecial |Pertaining to heralds, declarations of war, and treaties of peace; as, fecial law. Kent.
fecifork |The anal fork on which the larvæ of certain insects carry their fæces.
feck |1. Effect. [Obs.] 2.  Efficacy; force; value. [Scot. & Prov. Eng.] 3.  Amount; quantity. [Scot. & Prov. Eng.] He had a feck o' books wi' him. R. L. Stevenson. The most feck, or The feck, the greater or larger part. \"The feck o' my life.\" Burns.
feckless |Spiritless; weak; worthless. [Scot]
fecklessness |absence of merit. [WordNet 1.5]
fecks |A corruption of the word faith. Shak.
fecula |Any pulverulent matter obtained from plants by simply breaking down the texture, washing with water, and subsidence. Especially: (a) The nutritious part of wheat; starch or farina; -- called also amylaceous fecula. (b) The green matter of plants; chlorophyll.
feculence |1. The state or quality of being feculent; muddiness; foulness. 2. That which is feculent; sediment; lees; dregs.
feculency |Feculence.
feculent |Foul with extraneous or impure substances; abounding with sediment or excrementitious matter; muddy; thick; turbid. Both his hands most filthy feculent. Spenser.
fecund |Fruitful in children; prolific. Graunt.
fecundate |1. To make fruitful or prolific. W. Montagu. 2. (Biol.)  To render fruitful or prolific; to impregnate; as, in flowers the pollen fecundates the ovum through the stigma.
fecundation |The act by which, either in animals or plants, material prepared by the generative organs the female organism is brought in contact with matter from the organs of the male, so that a new organism results; impregnation; fertilization.
fecundify |To make fruitful; to fecundate. Johnson.
fecundity |1. The quality or power of producing fruit; fruitfulness; especially (Biol.), the quality in female organisms of reproducing rapidly and in great numbers. 2. The power of germinating; as in seeds. 3. The power of bringing forth in abundance; fertility; richness of invention; as, the fecundity of God's creative power. Bentley.
fed |imp. & p. p. of Feed.
fedary |A feodary. [Obs.] Shak.
federal |1. Pertaining to a league or treaty; derived from an agreement or covenant between parties, especially between nations; constituted by a compact between parties, usually governments or their representatives. The Romans compelled them, contrary to all federal right, . . . to part with Sardinia. Grew. 2. Specifically: (a) Composed of states or districts which retain only a subordinate and limited sovereignty, as the Union of the United States, or the Sonderbund of Switzerland. (b) Consisting or pertaining to such a government; as, the Federal Constitution; a Federal officer. (c) Friendly or devoted to such a government; as, the Federal party. see Federalist. Federal Congress. See under Congress.\n\nSee Federalist.
federalism |the principles of Federalists or of federal union.
federalist |An advocate of confederation; specifically (Amer. Hist.), a friend of the Constitution of the United States at its formation and adoption; a member of the political party which favored the administration of president Washington.
federalize |To unite in compact, as different States; to confederate for political purposes; to unite by or under the Federal Constitution. Barlow.
federary |A partner; a confederate; an accomplice. [Obs.] hak.
federate |United by compact, as sovereignties, states, or nations; joined in confederacy; leagued; confederate; as, federate nations.
federation |1. The act of uniting in a league; confederation. 2. A league; a confederacy; a federal or confederated government. Burke.
federative |Uniting in a league; forming a confederacy; federal. \"A federative society.\" Burke.
fedity |Turpitude; vileness. [Obs.] Bp. Hall.
fee |1. property; possession; tenure. \"Laden with rich fee.\" Spenser. Once did she hold the gorgeous East in fee. Wordsworth. 2. Reward or compensation for services rendered or to be rendered; especially, payment for professional services, of optional amount, or fixed by custom or laws; charge; pay; perquisite; as, the fees of lawyers and physicians; the fees of office; clerk's fees; sheriff's fees; marriage fees, etc. To plead for love deserves more fee than hate. Shak. 3. (Feud. Law)  A right to the use of a superior's land, as a stipend for services to be performed; also, the land so held; a fief. 4. (Eng. Law)  An estate of inheritance supposed to be held either mediately or immediately from the sovereign, and absolutely vested in the owner. Note: All the land in England, except the crown land, is of this kind. An absolute fee, or fee simple, is land which a man holds to himself and his heirs forever, who are called tenants in fee simple. In modern writers, by fee is usually meant fee simple. A limited fee may be a qualitified or base fee, which ceases with the existence of certain conditions; or a conditional fee, or fee tail, which is limited to particular heirs. Blackstone. 5. (Amer. Law)  An estate of inheritance belonging to the owner, and transmissible to his heirs, absolutely and simply, without condition attached to the tenure. Fee estate (Eng. Law), land or tenements held in fee in consideration or some acknowledgment or service rendered to the lord. -- Fee farm (Law), land held of another in fee, in consideration of an annual rent, without homage, fealty, or any other service than that mentioned in the feoffment; an estate in fee simple, subject to a perpetual rent. Blackstone. -- Fee farm rent (Eng. Law), a perpetual rent reserved upon a conveyance in fee simple. -- Fee fund (Scot. Law), certain court dues out of which the clerks and other court officers are paid. -- Fee simple (Law), an absolute fee; a fee without conditions or limits. Buy the fee simple of my life for an hour and a quarter. Shak. -- Fee tail (Law), an estate of inheritance, limited and restrained to some particular heirs. Burill.\n\nTo reward for services performed, or to be performed; to recompense; to hire or keep in hire; hence, to bribe. The patient . . . fees the doctor. Dryden. There's not a one of them but in his house I keep a servant feed. Shak.
fee-faw-fum |A nonsensical exclamation attributed to giants and ogres; hence, any expression calculated to impose upon the timid and ignorant. \"Impudent fee-faw-fums.\" J. H. Newman.
feeble |1. Deficient in physical strenght; weak; infirm; debilitated. Carried all the feeble of them upon asses. 2 Chron. xxviii. 15. 2. Wanting force, vigor, or efficiency in action or expression; not full, loud, bright, strong, rapid, etc.; faint; as, a feeble color; feeble motion. \"A lady's feeble voice.\" Shak.\n\nTo make feble; to enfeeble. [Obs.] Shall that victorious hand be feebled here Shak.
feeble-minded |Weak in intellectual power; wanting firmness or constancy; irresolute; vacilating; imbecile. \"comfort the feeble-minded.\" 1 Thess. v. 14. -- Fee\"ble-mind\"ed*ness, n.
feebleness |The quality or condition of being feeble; debility; infirmity. That shakes for age and feebleness. Shak.
feebly |In a feeble manner. The restored church . . . contended feebly, and with half a heart. Macaulay.
