stirless |Without stirring; very quiet; motionless. \"Lying helpless and stirless.\" Hare.
stock |1. The stem, or main body, of a tree or plant; the fixed, strong, firm part; the trunk. Though the root thereof wax old in the earth, and the stock thereof die in the ground, yet through the scent of water it will bud, and bring forth boughs like a plant. Job xiv. 8,9. 2. The stem or branch in which a graft is inserted. The scion overruleth the stock quite. Bacon. 3. A block of wood; something fixed and solid; a pillar; a firm support; a post. All our fathers worshiped stocks and stones. Milton. Item, for a stock of brass for the holy water, seven shillings; which, by the canon, must be of marble or metal, and in no case of brick. Fuller. 4. Hence, a person who is as dull and lifeless as a stock or post; one who has little sense. Let's be no stoics, nor no stocks. Shak. 5. The principal supporting part; the part in which others are inserted, or to which they are attached. Specifically: -- (a) The wood to which the barrel, lock, etc., of a musket or like firearm are secured; also, a long, rectangular piece of wood, which is an important part of several forms of gun carriage. (b) The handle or contrivance by which bits are held in boring; a bitstock; a brace. (c) (Joinery) The block of wood or metal frame which constitutes the body of a plane, and in which the plane iron is fitted; a plane stock. (d) (Naut.) The wooden or iron crosspiece to which the shank of an anchor is attached. See Illust. of Anchor. (e) The support of the block in which an anvil is fixed, or of the anvil itself. (f) A handle or wrench forming a holder for the dies for cutting screws; a diestock. (g) The part of a tally formerly struck in the exchequer, which was delivered to the person who had lent the king money on account, as the evidence of indebtedness. See Counterfoil. [Eng.] 6. The original progenitor; also, the race or line of a family; the progenitor of a family and his direct descendants; lineage; family. And stand betwixt them made, when, severally, All told their stock. Chapman. Thy mother was no goddess, nor thy stock From Dardanus. Denham. 7. Money or capital which an individual or a firm employs in business; fund; in the United States, the capital of a bank or other company, in the form of transferable shares, each of a certain amount; money funded in government securities, called also the public funds; in the plural, property consisting of shares in joint-stock companies, or in the obligations of a government for its funded debt; -- so in the United States, but in England the latter only are called stocks, and the former shares. 8. (Bookkeeping)  Same as Stock account, below. 9. Supply provided; store; accumulation; especially, a merchant's or manufacturer's store of goods; as, to lay in a stock of provisions. Add to that stock which justly we bestow. Dryden. 10. (Agric.)  Domestic animals or beasts collectively, used or raised on a farm; as, a stock of cattle or of sheep, etc.; -- called also live stock. 11. (Card Playing)  That portion of a pack of cards not distributed to the players at the beginning of certain games, as gleek, etc., but which might be drawn from afterward as occasion required; a bank. I must buy the stock; send me good cardings. Beau. & Fl. 12. A thrust with a rapier; a stoccado. [Obs.] 13. Etym: [Cf. Stocking.]  A covering for the leg, or leg and foot; as, upper stocks (breeches); nether stocks (stockings). [Obs.] With a linen stock on one leg. Shak. 14. A kind of stiff, wide band or cravat for the neck; as, a silk stock. 15. pl.  A frame of timber, with holes in which the feet, or the feet and hands, of criminals were formerly confined by way of punishment. He shall rest in my stocks. Piers Plowman. 16. pl. (Shipbuilding)  The frame or timbers on which a ship rests while building. 17. pl.  Red and gray bricks, used for the exterior of walls and the front of buildings. [Eng.] 18. (Bot.)  Any cruciferous plant of the genus Matthiola; as, common stock (Matthiola incana) (see Gilly-flower); ten-weeks stock (M. annua). 19. (Geol.)  An irregular metalliferous mass filling a large cavity in a rock formation, as a stock of lead ore deposited in limestone. 20. A race or variety in a species. 21. (Biol.)  In tectology, an aggregate or colony of persons (see Person), as trees, chains of salpæ, etc. 22. The beater of a fulling mill. Knight. 23. (Cookery)  A liquid or jelly containing the juices and soluble parts of meat, and certain vegetables, etc., extracted by cooking; -- used in making soup, gravy, etc. Bit stock. See Bitstock. -- Dead stock (Agric.), the implements of husbandry, and produce stored up for use; -- in distinction from live stock, or the domestic animals on the farm. See def. 10, above. -- Head stock. See Headstock. -- Paper stock, rags and other material of which paper is made. -- Stock account (Bookkeeping), an account on a merchant's ledger, one side of which shows the original capital, or stock, and the additions thereto by accumulation or contribution, the other side showing the amounts withdrawn. -- Stock car, a railway car for carrying cattle. -- Stock company (Com.), an incorporated company the capital of which is represented by marketable shares having a certain equal par value. -- Stock duck (Zoöl.), the mallard. -- Stock exchange. (a) The building or place where stocks are bought and sold; stock market; hence, transactions of all kinds in stocks. (b) An association or body of stockbrokers who meet and transact business by certain recognized forms, regulations, and usages. Wharton. Brande & C. -- Stock farmer, a farmer who makes it his business to rear live stock. -- Stock gillyflower (Bot.), the common stock. See Stock, n., 18. -- Stock gold, gold laid up so as to form a stock, or hoard. -- Stock in trade, the goods kept for sale by a shopkeeper; the fittings and appliances of a workman. Simmonds. -- Stock list, a list of stocks, or shares, dealt in, of transactions, and of prices. -- Stock lock, a lock inclosed in a wooden case and attached to the face of a door. -- Stock market. (a) A place where stocks are bought and sold; the stock exchange. (b) A market for live stock. -- Stock pigeon. (Zoöl.) Same as Stockdove. -- Stock purse. (a) A common purse, as distinguished from a private purse. (b) (Mil.) Moneys saved out of the expenses of a company or regiment, and applied to objects of common interest. [Eng.] -- Stock shave, a tool used by blockmakers. -- Stock station, a place or district for rearing stock. [Australia] W. Howitt. -- Stock tackle (Naut.), a tackle used when the anchor is hoisted and secured, to keep its stock clear of the ship's sides. Totten. -- Stock taking, an examination and inventory made of goods or stock in a shop or warehouse; -- usually made periodically. -- Tail stock. See Tailstock. -- To have something on the stock, to be at work at something. -- To take stock, to take account of stock; to make an inventory of stock or goods on hand. Dickens. -- To take stock in. (a) To subscribe for, or purchase, shares in a stock company. (b) To put faith in; to accept as trustworthy; as, to take stock in a person's fidelity. [Slang] -- To take stock of, to take account of the stock of; to take an inventory of; hence, to ascertain the facts in regard to (something). [Eng.] At the outset of any inquiry it is proper to take stock of the results obtained by previous explorers of the same field. Leslie Stephen. Syn. -- Fund; capital; store; supply; accumulation; hoard; provision.\n\n1. To lay up; to put aside for future use; to store, as merchandise, and the like. 2. To provide with material requisites; to store; to fill; to supply; as, to stock a warehouse, that is, to fill it with goods; to stock a farm, that is, to supply it with cattle and tools; to stock land, that is, to occupy it with a permanent growth, especially of grass. 3. To suffer to retain milk for twenty-four hours or more previous to sale, as cows. 4. To put in the stocks. [R.] Shak. To stock an anchor (Naut.), to fit it with a stock, or to fasten the stock firmly in place. -- To stock cards (Card Playing), to arrange cards in a certain manner for cheating purposes. [Cant] -- To stock down (Agric.), to sow, as plowed land, with grass seed, in order that it may become swarded, and produce grass. -- To stock up, to extirpate; to dig up.\n\nUsed or employed for constant service or application, as if constituting a portion of a stock or supply; standard; permanent; standing; as, a stock actor; a stock play; a stock sermon. \"A stock charge against Raleigh.\" C. Kingsley. Stock company (Theater), a company of actors regularly employed at one theater, or permanently acting together in various plays under one management.
stock-blind |Blind as a stock; wholly blind.
stock-still |Still as a stock, or fixed post; perfectly still. His whole work stands stock-still. Sterne.
stockade |1. (Mil.)  A line of stout posts or timbers set firmly in the earth in contact with each other (and usually with loopholes) to form a barrier, or defensive fortification. [Written also stoccade.] 2. An inclosure, or pen, made with posts and stakes.\n\nTo surround, fortify, or protect with a stockade.
stockbroker |A broker who deals in stocks.
stockdove |A common European wild pigeon (Columba ænas), so called because at one time believed to be the stock of the domestic pigeon, or, according to some, from its breeding in the stocks, or trunks, of trees. Note: The name is applied, also, to other related species, as the Indian stockdove (Palumbæna Eversmanni).
stocker |One who makes or fits stocks, as of guns or gun carriages, etc.
stockfish |1. Salted and dried fish, especially codfish, hake, ling, and torsk; also, codfish dried without being salted. 2. (Zoöl.)  Young fresh cod.
stockholder |One who is a holder or proprietor of stock in the public funds, or in the funds of a bank or other stock company.
stockinet |An elastic textile fabric imitating knitting, of which stockings, under-garments, etc., are made.
stocking |A close-fitting covering for the foot and leg, usually knit or woven. Blue stocking. See Bluestocking. -- Stocking frame, a machine for knitting stockings or other hosiery goods.\n\nTo dress in GBs. Dryden.
stockinger |A stocking weaver.
stockish |Like a stock; stupid; blockish. Since naught so stockish, hard, and full of rage, But music for the time doth change his nature. Shak.
stockjobber |One who speculates in stocks for gain; one whose occupation is to buy and sell stocks. In England a jobber acts as an intermediary between brokers.
stockjobbing |The act or art of dealing in stocks; the business of a stockjobber.
stockman |A herdsman; a ranchman; one owning, or having charge of, herds of live stock. [Australia & U.S.] W. Howitt.
stockwork |1. (Mining)  A system of working in ore, etc., when it lies not in strata or veins, but in solid masses, so as to be worked in chambers or stories. 2. (Geol.)  A metalliferous deposit characterized by the impregnation of the mass of rock with many small veins or nests irregularly grouped. This kind of deposit is especially common with tin ore. Such deposits are worked in floors or stories.
stocky |1. Short and thick; thick rather than tall or corpulent. Addison. Stocky, twisted, hunchback stems. Mrs. H. H. Jackson. 2. Headstrong. [Prov. Eng.] G. Eliot.
stodgy |Wet. [Prov. Eng.] G. Eliot.
stoechiology |See Stoichiology, Stoichiometry, etc.
stoechiometry |See Stoichiology, Stoichiometry, etc.
stogy |heavy; coarse; clumsy. [Colloq.]\n\n1. A stout, coarse boot or shoe; a brogan. 2.  A kind of cheap, but not necessary inferior, cigar made in the form of a cylindrical roll.
stoic |1. A disciple of the philosopher Zeno; one of a Greek sect which held that men should be free from passion, unmoved by joy or grief, and should submit without complaint to unavoidable necessity, by which all things are governed. 2. Hence, a person not easily excited; an apathetic person; one who is apparently or professedly indifferent to pleasure or pain. A Stoic of the woods, a man without a tear. Campbell. School of Stoics. See The Porch, under Porch.\n\n1. Of or pertaining to the Stoics; resembling the Stoics or their doctrines. 2. Not affected by passion; manifesting indifference to pleasure or pain. -- Sto\"ic*al*ly, adv. -- Sto\"ic*al*ness, n.
stoical |1. Of or pertaining to the Stoics; resembling the Stoics or their doctrines. 2. Not affected by passion; manifesting indifference to pleasure or pain. -- Sto\"ic*al*ly, adv. -- Sto\"ic*al*ness, n.
stoichiological |Of or pertaining to stoichiology.
stoichiology |1. That part of the science of physiology which treats of the elements, or principles, composing animal tissues. 2. (Logic)  The doctrine of the elementary requisites of mere thought. Sir W. Hamilton. 3. The statement or discussion of the first principles of any science or art.
stoichiometric |Of or pertaining to stoichiometry; employed in, or obtained by, stoichiometry.
stoichiometrical |Of or pertaining to stoichiometry; employed in, or obtained by, stoichiometry.
stoichiometry |The art or process of calculating the atomic proportions, combining weights, and other numerical relations of chemical elements and their compounds.
stoicism |1. The opinions and maxims of the Stoics. 2. A real or pretended indifference to pleasure or pain; insensibility; impassiveness.
stoicity |Stoicism. [Obs.] B. Jonson.
stoke |1. To stick; to thrust; to stab. [Obs.] Nor short sword for to stoke, with point biting. Chaucer. 2. To poke or stir up, as a fire; hence, to tend, as the fire of a furnace, boiler, etc.\n\nTo poke or stir up a fire; hence, to tend the fires of furnaces, steamers, etc.
stokehold |The space, or any of the spaces, in front of the boilers of a ship, from which the furnaces are fed; the stokehole of a ship; also, a room containing a ship's boilers; as, forced draft with  closed stokehold; -- called also, in American ships, fireroom.
stokehole |The mouth to the grate of a furnace; also, the space in front of the furnace, where the stokers stand.
stoker |1. One who is employed to tend a furnace and supply it with fuel, especially the furnace of a locomotive or of a marine steam boiler; also, a machine for feeding fuel to a fire. 2. A fire poker. [R.] C. Richardson (Dict.).
stokey |Close; sultry. [Prov. Eng.]
stola |A long garment, descending to the ankles, worn by Roman women. The stola was not allowed to be worn by courtesans, or by women who had been divorced from their husbands. Fairholt.
stole |imp. of Steal.\n\nA stolon.\n\n1. A long, loose garment reaching to the feet. Spenser. But when mild morn, in saffron stole, First issues from her eastern goal. T. Warton. 2. (Eccl.)  A narrow band of silk or stuff, sometimes enriched with embroidery and jewels, worn on the left shoulder of deacons, and across both shoulders of bishops and priests, pendent on each side nearly to the ground. At Mass, it is worn crossed on the breast by priests. It is used in various sacred functions. Groom of the stole, the first lord of the bedchamber in the royal household. [Eng.] Brande & C.
stoled |Having or wearing a stole. After them flew the prophets, brightly stoled In shining lawn. G. Fletcher.
stolen |p. p. of Steal.
stolid |Hopelessly insensible or stupid; not easily aroused or excited; dull; impassive; foolish.
stolidity |The state or quality of being stolid; dullness of intellect; obtuseness; stupidity. Indocile, intractable fools, whose stolidity can baffle all arguments, and be proof against demonstration itself. Bentley.
stolidness |Same as Stolidity.
stolon |1. (Bot.)  A trailing branch which is disposed to take root at the end or at the joints; a stole. 2. (Zoöl.)  An extension of the integument of the body, or of the body wall, from which buds are developed, giving rise to new zooids, and thus forming a compound animal in which the zooids usually remain united by the stolons. Such stolons are often present in Anthozoa, Hydroidea, Bryozoa, and social ascidians. See Illust. under Scyphistoma.
stoloniferous |Producing stolons; putting forth suckers.
stoma |1. (Anat.)  One of the minute apertures between the cells in many serous membranes. 2. (Bot.) (a) The minute breathing pores of leaves or other organs opening into the intercellular spaces, and usually bordered by two contractile cells. (b) The line of dehiscence of the sporangium of a fern. It is usually marked by two transversely elongated cells. See Illust. of Sporangium. 3. (Zoöl.)  A stigma. See Stigma, n., 6 (a) & (b).
stomach |1. (Anat.)  An enlargement, or series of enlargements, in the anterior part of the alimentary canal, in which food is digested; any cavity in which digestion takes place in an animal; a digestive cavity. See Digestion, and Gastric juice, under Gastric. 2. The desire for food caused by hunger; appetite; as, a good stomach for roast beef. Shak. 3. Hence appetite in general; inclination; desire. He which hath no stomach to this fight, Let him depart. Shak. 4. Violence of temper; anger; sullenness; resentment; willful obstinacy; stubbornness. [Obs.] Stern was his look, and full of stomach vain. Spenser. This sort of crying proceeding from pride, obstinacy, and stomach, the will, where the fault lies, must be bent. Locke. 5. Pride; haughtiness; arrogance. [Obs.] He was a man Of an unbounded stomach. Shak. Stomach pump (Med.), a small pump or syringe with a flexible tube, for drawing liquids from the stomach, or for injecting them into it. -- Stomach tube (Med.), a long flexible tube for introduction into the stomach. -- Stomach worm (Zoöl.), the common roundworm (Ascaris lumbricoides) found in the human intestine, and rarely in the stomach.\n\n1. To resent; to remember with anger; to dislike. Shak. The lion began to show his teeth, and to stomach the affront. L'Estrange. The Parliament sit in that body . . . to be his counselors and dictators, though he stomach it. Milton. 2. To bear without repugnance; to brook. [Colloq.]\n\nTo be angry. [Obs.] Hooker.
stomachal |1. Of or pertaining to the stomach; gastric. 2. Helping the stomach; stomachic; cordial.\n\nA stomachic. Dunglison.
stomacher |1. One who stomachs. 2. (  An ornamental covering for the breast, worn originally both by men and women. Those worn by women were often richly decorated. A stately lady in a diamond stomacher. Johnson.
stomachful |Willfully obstinate; stubborn; perverse. [Obs.] -- Stom\"ach*ful*ly, adv. [Obs.] -- Stom\"ach*ful*ness, n. [Obs.]
stomachic |1. Of or pertaining to the stomach; as, stomachic vessels. 2. Strengthening to the stomach; exciting the action of the stomach; stomachal; cordial.\n\nA medicine that strengthens the stomach and excites its action.
stomachical |1. Of or pertaining to the stomach; as, stomachic vessels. 2. Strengthening to the stomach; exciting the action of the stomach; stomachal; cordial.
stomaching |Resentment. [Obs.]
stomachless |1. Being without a stomach. 2. Having no appetite. [R.] Bp. Hall.
stomachous |Stout; sullen; obstinate. [Obs.] With stern looks and stomachous disdain. Spenser.
stomachy |Obstinate; sullen; haughty. A little, bold, solemn, stomachy man, a great professor of piety. R. L. Stevenson.
stomapod |One of the Stomapoda.
stomapoda |An order of Crustacea including the squillas. The maxillipeds are leglike in form, and the large claws are comblike. They have a large and elongated abdomen, which contains a part of the stomach and heart; the abdominal appendages are large, and bear the gills. Called also Gastrula, Stomatopoda, and Squilloidea.
stomate |A stoma.
stomatic |Of or pertaining to a stoma; of the nature of a stoma.\n\nA medicine for diseases of the mouth. Dunglison.
stomatiferous |Having or producing stomata.
stomatitis |Inflammation of the mouth.
stomatoda |A division of Protozoa in which a mouthlike opening exists.
stomatodaeum |Same as Stomodæum.
stomatode |Having a mouth; -- applied to certain Protozoa. -- n.  One of the Stomatoda.
stomatogastric |Of or pertaining to the mouth and the stomach; as, the stomatogastric ganglion of certain Mollusca.
stomatology |Scientific study or knowledge of the mouth.
stomatoplastic |Of or pertaining to the operation of forming a mouth where the aperture has been contracted, or in any way deformed.
stomatoplasty |Plastic surgery of the mouth.
stomatopod |One of the Stomatopoda.
stomatopoda |Same as Stomapoda.
stomatopodous |Of or pertaining to the Stomatopoda.
stomatoscope |An apparatus for examining the interior of the mouth.
stomatous |Having a stoma.
stomodaeum |1. (Anat.)  A part of the alimentary canal. See under Mesenteron. 2. (Zoöl.)  The primitive mouth and esophagus of the embryo of annelids and arthropods.
stomp |To stamp with the foot. [Colloq.] \"In gallant procession, the priests mean to stomp.\" R. Browning.
stond |1. Stop; halt; hindrance. [Obs.] Bacon. 2. A stand; a post; a station. [Obs.] Spenser.\n\nTo stand. [Obs.] Chaucer.
stone |1. Concreted earthy or mineral matter; also, any particular mass of such matter; as, a house built of stone; the boy threw a stone; pebbles are rounded stones. \"Dumb as a stone.\" Chaucer. They had brick for stone, and slime . . . for mortar. Gen. xi. 3. Note: In popular language, very large masses of stone are called rocks; small masses are called stones; and the finer kinds, gravel, or sand, or grains of sand. Stone is much and widely used in the construction of buildings of all kinds, for walls, fences, piers, abutments, arches, monuments, sculpture, and the like. 2. A precious stone; a gem. \"Many a rich stone.\" Chaucer. \"Inestimable stones, unvalued jewels.\" Shak. 3. Something made of stone. Specifically: - (a) The glass of a mirror; a mirror. [Obs.] Lend me a looking-glass; If that her breath will mist or stain the stone, Why, then she lives. Shak. (b) A monument to the dead; a gravestone. Gray. Should some relenting eye Glance on the where our cold relics lie. Pope. 4. (Med.)  A calculous concretion, especially one in the kidneys or bladder; the disease arising from a calculus. 5. One of the testes; a testicle. Shak. 6. (Bot.)  The hard endocarp of drupes; as, the stone of a cherry or peach. See Illust. of Endocarp. 7. A weight which legally is fourteen pounds, but in practice varies with the article weighed. [Eng.] Note: The stone of butchers' meat or fish is reckoned at 8 lbs.; of cheese, 16 lbs.; of hemp, 32 lbs.; of glass, 5 lbs. 8. Fig.: Symbol of hardness and insensibility; torpidness; insensibility; as, a heart of stone. I have not yet forgot myself to stone. Pope. 9. (Print.)  A stand or table with a smooth, flat top of stone, commonly marble, on which to arrange the pages of a book, newspaper, etc., before printing; -- called also imposing stone. Note: Stone is used adjectively or in composition with other words to denote made of stone, containing a stone or stones, employed on stone, or, more generally, of or pertaining to stone or stones; as, stone fruit, or stone-fruit; stone-hammer, or stone hammer; stone falcon, or stone-falcon. Compounded with some adjectives it denotes a degree of the quality expressed by the adjective equal to that possessed by a stone; as, stone-dead, stone-blind, stone-cold, stone- still, etc. Atlantic stone, ivory. [Obs.] \"Citron tables, or Atlantic stone.\" Milton. -- Bowing stone. Same as Cromlech. Encyc. Brit. -- Meteoric stones, stones which fall from the atmosphere, as after the explosion of a meteor. -- Philosopher's stone. See under Philosopher. -- Rocking stone. See Rocking-stone. -- Stone age, a supposed prehistoric age of the world when stone and bone were habitually used as the materials for weapons and tools; -- called also flint age. The bronze age succeeded to this. -- Stone bass (Zoöl.), any one of several species of marine food fishes of the genus Serranus and allied genera, as Serranus Couchii, and Polyprion cernium of Europe; -- called also sea perch. -- Stone biter (Zoöl.), the wolf fish. -- Stone boiling, a method of boiling water or milk by dropping hot stones into it, -- in use among savages. Tylor. -- Stone borer (Zoöl.), any animal that bores stones; especially, one of certain bivalve mollusks which burrow in limestone. See Lithodomus, and Saxicava. -- Stone bramble (Bot.), a European trailing species of bramble (Rubus saxatilis). -- Stone-break. Etym: [Cf. G. steinbrech.] (Bot.) Any plant of the genus Saxifraga; saxifrage. -- Stone bruise, a sore spot on the bottom of the foot, from a bruise by a stone. -- Stone canal. (Zoöl.) Same as Sand canal, under Sand. -- Stone cat (Zoöl.), any one of several species of small fresh- water North American catfishes of the genus Noturus. They have sharp pectoral spines with which they inflict painful wounds. -- Stone coal, hard coal; mineral coal; anthracite coal. -- Stone coral (Zoöl.), any hard calcareous coral. -- Stone crab. (Zoöl.) (a) A large crab (Menippe mercenaria) found on the southern coast of the United States and much used as food. (b) A European spider crab (Lithodes maia). Stone crawfish (Zoöl.), a European crawfish (Astacus torrentium), by many writers considered only a variety of the common species (A. fluviatilis). -- Stone curlew. (Zoöl.) (a) A large plover found in Europe (Edicnemus crepitans). It frequents stony places. Called also thick- kneed plover or bustard, and thick-knee. (b) The whimbrel. [Prov. Eng.] (c) The willet. [Local, U.S.] -- Stone crush. Same as Stone bruise, above. -- Stone eater. (Zoöl.) Same as Stone borer, above. -- Stone falcon (Zoöl.), the merlin. -- Stone fern (Bot.), a European fern (Asplenium Ceterach) which grows on rocks and walls. -- Stone fly (Zoöl.), any one of many species of pseudoneuropterous insects of the genus Perla and allied genera; a perlid. They are often used by anglers for bait. The larvæ are aquatic. -- Stone fruit (Bot.), any fruit with a stony endocarp; a drupe, as a peach, plum, or cherry. -- Stone grig (Zoöl.), the mud lamprey, or pride. -- Stone hammer, a hammer formed with a face at one end, and a thick, blunt edge, parallel with the handle, at the other, -- used for breaking stone. -- Stone hawk (Zoöl.), the merlin; -- so called from its habit of sitting on bare stones. -- Stone jar, a jar made of stoneware. -- Stone lily (Paleon.), a fossil crinoid. -- Stone lugger. (Zoöl.) See Stone roller, below. -- Stone marten (Zoöl.), a European marten (Mustela foina) allied to the pine marten, but having a white throat; -- called also beech marten. -- Stone mason, a mason who works or builds in stone. -- Stone-mortar (Mil.), a kind of large mortar formerly used in sieges for throwing a mass of small stones short distances. -- Stone oil, rock oil, petroleum. -- Stone parsley (Bot.), an umbelliferous plant (Seseli Labanotis). See under Parsley. -- Stone pine. (Bot.) A nut pine. See the Note under Pine, and Piñon. -- Stone pit, a quarry where stones are dug. -- Stone pitch, hard, inspissated pitch. -- Stone plover. (Zoöl.) (a) The European stone curlew. (b) Any one of several species of Asiatic plovers of the genus Esacus; as, the large stone plover (E. recurvirostris). (c) The gray or black-bellied plover. [Prov. Eng.] (d) The ringed plover. (e) The bar-tailed godwit. [Prov. Eng.] Also applied to other species of limicoline birds. -- Stone roller. (Zoöl.) (a) An American fresh-water fish (Catostomus nigricans) of the Sucker family. Its color is yellowish olive, often with dark blotches. Called also stone lugger, stone toter, hog sucker, hog mullet. (b) A common American cyprinoid fish (Campostoma anomalum); -- called also stone lugger. -- Stone's cast, or Stone's throw, the distance to which a stone may be thrown by the hand. -- Stone snipe (Zoöl.), the greater yellowlegs, or tattler. [Local, U.S.] -- Stone toter. (Zoöl.) (a) See Stone roller (a), above. (b) A cyprinoid fish (Exoglossum maxillingua) found in the rivers from Virginia to New York. It has a three-lobed lower lip; -- called also cutlips. -- To leave no stone unturned, to do everything that can be done; to use all practicable means to effect an object.\n\n1. To pelt, beat, or kill with stones. And they stoned Stephen, calling upon God, and saying, Lord Jesus, receive my spirit. Acts vii. 59. 2. To make like stone; to harden. O perjured woman! thou dost stone my heart. Shak. 3. To free from stones; also, to remove the seeds of; as, to stone a field; to stone cherries; to stone raisins. 4. To wall or face with stones; to line or fortify with stones; as, to stone a well; to stone a cellar. 5. To rub, scour, or sharpen with a stone.
stone-blind |As blind as a stone; completely blind.
stone-cold |Cold as a stone. Stone-cold without, within burnt with love's flame. Fairfax.
stone-dead |As dead as a stone.
stone-deaf |As deaf as a stone; completely deaf.
stone-hearted |Hard-hearted; cruel; pitiless; unfeeling.
stone-horse |Stallion. [Obs.] Mortimer.
stone-still |As still as a stone. Shak.
stonebird |The yellowlegs; -- called also stone snipe. See Tattler, 2. [Local, U.S.]
stonebow |A kind of crossbow formerly used for shooting stones. Shak.
stonebrash |A subsoil made up of small stones or finely-broken rock; brash.
stonebrearer |A machine for crushing or hammering stone. Knight.
stonebuck |See Steinbock.
stonechat |(a) A small, active, and very common European singing bird (Pratincola rubicola); -- called also chickstone, stonechacker, stonechatter, stoneclink, stonesmith. (b) The wheatear. (c) The blue titmouse. Note: The name is sometimes applied to various species of Saxicola, Pratincola, and allied genera; as, the pied stonechat of India (Saxicola picata).
stonecray |A distemper in hawks.
stonecrop |1. A sort of tree. [Obs.] Mortimer. 2. (Bot.)  Any low succulent plant of the genus Sedum, esp. Sedum acre, which is common on bare rocks in Europe, and is spreading in parts of America. See Orpine. Virginian, or Ditch, stonecrop, an American plant (Penthorum sedoides).
stonecutter |One whose occupation is to cut stone; also, a machine for dressing stone.
